年	ปี
自由	อิสรภาพ
自由	เสรีภาพ
自由	liberty
自由	ฟรี
自由	อิสระ
自由	ว่าง
自由	เสรี
自由	free
黃	วอง
黃	หวง
黃	หวง
黃	เหลือง
獲得	รับ
光	สว่าง
光	เบา
光	ไลท์
光	แสง
重要	สำคัญ
工程	วิศวกรรมศาสตร์
工程	วิศวกรรม
工程	ทำงาน
港	พอร์ต
港	ท่าเรือ
列	คอลัมน์
最後	last
最後	สุดท้าย
最後	ล่าสุด
提交	ส่ง
需要	ต้องการ
需要	ต้องการ
江	แม่น้ำ
江	เจียง
臺灣	ไต้หวัน
臺灣	ไต้หวัน
這個	นี้
這個	นี่
這個	ดิส
泰	แท
泰	แท่
泰	ไท
泰	ไท่
泰	ต่าย
泰	ไต้
系列	ซีรี่ส์
系列	อนุกรม
電視	โทรทัศน์
電視	ทีวี
登	เติ้ง
登	เตง
黑	เข้ม
黑	มืด
黑	ดำ
花	ฮา
花	ดอกไม้
花	ดอกไม้
花	flower
神	อัลลอฮ์
神	พระเจ้า
神	อัลลอฮฺ
遊戲	เกม
遊戲	เกมส์
遊戲	เกม
遊戲	เกมส์
清	ชิง
最高	ท็อป
最高	สูงสุด
要求	ขอ
要求	คำขอ
要求	ร้องขอ
要求	อุปสงค์
要求	อุปทาน
要求	คำขอ
讓	ยีน
讓	จีน
讓	ฌอง
版本	เวอร์ชัน
版本	เวอร์ชั่น
版本	เวอร์ชัน
版本	เวอร์ชั่น
發現	พบ
發現	เจอ
發現	สำรวจ
語	ภาษา
只有	เท่านั้น
只有	เฉพาะ
內容	เนื้อหา
最大	แม็กซ์
最大	แม๊กซ์
最大	แม็ก
華	หัว
華	ว้า
華	วา
製作	ผลิต
出生	เกิด
出生	เกิด
出生	กำเนิด
朱	จู
朱	จู
朱	จูง
航空	แอร์
航空	อากาศ
航空	air
數	จำนวนนับ
數	นับ
數	จำนวน
數	หมายเลข
發展	พัฒนาการ
發展	พัฒนา
成功	สำเร็จ
成功	สำเร็จ
面積	บริเวณ
面積	พื้นที่
系統	ระบบ
系統	ระบบ
蘭	ลาน
劉	ยู
劉	หลิว
劉	เหลา
班	ทีม
班	squad
班	หน่วย
班	หมู่
冠軍	champ
冠軍	แชมป์
冠軍	แชมป์
冠軍	แชมเปี้ยน
問題	ปัญหา
問題	คำถาม
問題	คำถาม
康	คัง
島	เกาะ
率	อัตรา
名稱	ชื่อ
名稱	ชื่อ
愛	ชอบ
愛	รัก
得到	รับ
平	แบน
平	แฟลต
平	ping
平	ผิง
印度	อินเดีย
街道	ถนน
街道	street
刪除	ลบ
刪除	ลบ
設計	ดีไซน์
設計	ดีไซน์
設計	ออกแบบ
設計	ออกแบบ
群	กลุ่ม
服務	บริการ
服務	เสิร์ฟ
服務	เสริฟ
服務	บริการ
機	เครื่องจักร
機	แมชชีน
機	เครื่อง
任何	ใดๆ
列表	รายการ
唐	ถัง
唐	ดอน
唐	don
西班牙	สเปน
頁	เพจ
頁	หน้าที่
頁	หน้า
兩	สอง
兩	two
當	เมื่อไร
當	เมื่อ
當	ตอน
超	ultra
超	super
丁	ติง
以上	เหนือ
著名	ดัง
聖	นักบุญ
聖	เซนต์
志	ชิ
志	chi
志	จิ
梁	คาน
梁	beam
梁	บีม
梁	ลำแสง
梁	คาน
專輯	อัลบั้ม
專輯	อัลบั้ม
角色	บทบาท
角色	บทบาท
半	ครึ่ง
成員	member
成員	สมาชิก
成員	สมาชิก
東京	โตเกียว
新聞	ข่าวสาร
新聞	ข่าว
劇	ดราม่า
劇	ละคร
後來	ทีหลัง
女性	สตรี
女性	หญิง
女性	หญิง
女性	สตรี
說	กล่าว
說	พูด
男	ตัวผู้
之前	ก่อน
門	เกต
門	เกท
門	ประตู
卷	กลิ้ง
卷	ม้วน
卷	ม้วน
位置	จุดยืน
位置	ตำแหน่ง
位置	ตำแหน่งที่ตั้ง
位置	ตำแหน่ง
活動	กิจกรรม
活動	เหตุการณ์
活動	กิจกรรม
活動	เหตุการณ์
活動	กิจกรรม
活動	กิจกรรม
只	เท่านั้น
只	เฉพาะ
歷史	ประวัติศาสตร์
歷史	ประวัติการ
歷史	ประวัติ
歌曲	เพลง
歌曲	ซง
歌曲	เพลง
點	จุด
點	ดอท
點	dot
點	จุด
點	point
點	ชี้
點	จุด
點	ประเด็น
植物	พืช
植物	โรงงาน
植物	ต้นไม้
植物	พืช
封	ผนึก
皮	หนัง
非常	มาก
而且	และ
而且	แล้ว
比賽	เกม
比賽	เกมส์
比賽	แข่ง
比賽	ประกวด
聯賽	สันนิบาต
聯賽	ลีก
九	เก้า
學校	โรงเรียน
學校	โรงเรียน
完全	สมบูรณ์
完全	สุดๆ
信	จดหมาย
接受	ยอมรับ
書	หนังสือ
書	สมุด
書	หนังสือ
交通	ขนส่ง
交通	จราจร
交通	ขนส่ง
木	ไม้
木	วูด
木	ไม้
討論	อภิปราย
討論	อภิปราย
故事	เรื่อง
直接	ตรง
直接	โดยตรง
直接	direct
直接	โดยตรง
朗	แลง
朗	ลอน
湖	ทะเลสาบ
根	ราก
根	รูท
根	รากฐาน
根	ราก
保留	จอง
希望	โฮป
希望	หวัง
手	มือขวา
手	มือ
手	หัตถ์
手	hand
手	มือ
心	heart
心	ใจ
心	หัวใจ
心	หัวใจ
巴士	รถเมล์
播放	เล่น
播放	เล่น
音	พยัญชนะ
音	โทน
增加	เพิ่ม
角	มุม
角	มุม
角	เชิงมุม
角	แหลม
角	เคป
角	point
角	ชี้
角	จุด
角	ประเด็น
耶	เย
耶	เย่
丹	dan
丹	แดน
徐	seo
徐	ซอ
徐	tsui
永	ปีก
永	วิง
永	ยง
永	หยง
歌	เพลง
歌	ซง
歌	เพลง
美元	ดอลลาร์
美元	ดอลลาร์
圖	แผนภาพ
圖	กราฟ
圖	แผนภูมิ
圖	ชาร์ต
圖	ภูมิ
圖	คิด
投票	โหวต
投票	โพล
投票	โพลล์
灣	ปากน้ำ
灣	อ่าว
民主	ประชาธิปไตย
寺	วิหาร
寺	วัด
雖然	แม้ว่า
雖然	แม้ว่า
特別	พิเศษ
控制	ควบคุม
控制	คอนโทรล
蒙	mont
戰	ศึก
戰	รบ
戰	สงคราม
戰	สงคราม
電視台	โทรทัศน์
電視台	ทีวี
七	seven
七	เจ็ด
口	ปาก
仁	จิน
編輯	แก้ไข
編輯	แก้ไข
資料	อินเทอร์เน็ต
資料	ข้อมูล
隆	ริว
青	จิง
青	ชิง
青	ชิง
年度	ปี
宋	ซง
宋	เพลง
附近	ใกล้
店	ร้าน
二十	ยี่สิบ
組織	องค์กร
組織	องค์การ
組織	มโน
組織	องค์กร
組織	องค์การ
組織	เนื้อเยื่อ
組織	ดิวิชั่น
分類	จำแนก
教授	ศาสตราจารย์
盃	คัพ
盃	ถ้วย
源	ต้นทาง
八	แปด
法國	ฝรั่งเศส
除了	ยกเว้น
文字	ข้อความ
民族	ชาติพันธุ์
民族	สัญชาติ
主席	ประธาน
主席	ประธานาธิบดี
主席	ประธาน
不過	แต่
老	เก่าๆ
老	แก่
老	เก่า
女子	หญิง
選	เลือก
世紀	ศตวรรษ
鐵	เหล็ก
鐵	เตารีด
德國	เยอรมนี
票	ตั๋ว
票	บัตร
票	ตั๋ว
票	ใบสั่ง
票	บัตร
打	ต่อสู้
打	สู้
關係	สัมพันธ์
關係	สัมพันธ์
佛	พระพุทธเจ้า
少	น้อย
網站	เว็บไซต์
網站	ไซต์
網站	เว็บไซต์
模板	ต้นแบบ
頭	หัว
頭	เฮด
擁有	กรรมสิทธิ์
學生	นักเรียน
學生	นักศึกษา
學生	นักเรียน
學生	นักศึกษา
鎮	town
鎮	เมือง
鎮	ทาวน์
南部	ใต้
南部	south
南部	ใต้
語言	ภาษา
語言	ภาษา
模式	โหมด
模式	โหมด
相關	เกี่ยวข้อง
相關	เกี่ยวข้อง
楊	แจน
楊	ยัน
楊	ยาง
楊	หยาง
楊	แหยง
楊	แยง
楊	ยอ
方向	ทิศทาง
方向	ทิศทาง
方向	ปฐมนิเทศ
郭	กัว
影響	impact
影響	อิทธิพล
影響	อิทธิพล
許多	มากมาย
許多	หลาย
秀	ซู
死	ตาย
蘇	ซู
蘇	sue
甚至	แม้น
甚至	แม้
甚至	แม้แต่
甚至	แม้ว่า
開	เปิด
見	เห็น
見	ดู
只是	แค่
結束	จบ
結束	end
結束	ยุติ
巴西	บราซิล
共同	สามัญ
共同	ทั่วไป
保護	ป้องกัน
保護	ปกป้อง
保護	ป้องกัน
加上	เพิ่ม
加上	บวก
加上	พลัส
加上	plus
食	กิน
獨立	อิสระ
獨立	เอกราช
獨立	อิสรภาพ
獨立	เอกราช
包含	บรรจุ
社會	สังคม
社會	สังคม
社會	สังคม
加拿大	แคนาดา
兩個	สอง
兩個	two
公尺	เมตร
公尺	มิเตอร์
公尺	เมตร
公尺	เมตร
還	ยัง
哥	น้อง
歐洲	ยุโรป
歐洲	ยุโรป
像	ชอบ
像	เหมือน
像	แบบ
像	ถูกใจ
像	ไลค์
像	อย่าง
功能	ฟังก์ชัน
功能	คุณสมบัติ
功能	คุณสมบัติ
功能	คุณลักษณะ
功能	ฟีเจอร์
聯盟	สหพันธ์
聯盟	สหภาพแรงงาน
聯盟	สหภาพ
聯盟	สันนิบาต
聯盟	ลีก
聯盟	พันธมิตร
洪	แขวน
洪	ฮอง
洪	ฮง
利用	ใช้
平均	เฉลี่ย
平均	เฉลี่ย
雙	ดับเบิล
雙	ดับเบิ้ล
再次	อีก
網	เว็บ
網	ตาข่าย
網	net
網	สุทธิ
網	เน็ต
網	ถ้วน
施	ชิ
施	ชี
量	ปริมาณ
演員	เฝือก
演員	โยน
演員	actress
亞洲	เอเชีย
亞洲	บอล
亞洲	เอเชีย
全球	รวมๆ
全球	globe
全球	ลูกโลก
全球	โกลบอล
全球	global
全部	ทั้งหมด
全部	ทุก
北部	อุดร
北部	เหนือ
北部	เหนือ
運動	สปอร์ต
運動	กีฬา
運動	เคลื่อนไหว
運動	สปอร์ต
運動	sport
運動	กีฬา
運動	ขบวนการ
中共	cpc
中共	ccp
毛	เหมา
草	หญ้า
直到	จนถึง
直到	จน
直到	จนกว่า
名字	ชื่อ
地球	earth
地球	โลก
地球	ธรณี
中華	zhonghua
死亡	ตาย
戰爭	สงคราม
溪	รีก
邦	pong
邦	ปิงปอง
紅	แดง
紅	เรด
唱片	บันทึก
唱片	สถิติ
安全	เซฟ
安全	ปลอดภัย
安全	ปลอดภัย
玉	หยก
玉	เจด
學院	สถาบัน
學院	academy
學院	วิทยาลัย
學院	มหาวิทยาลัย
學院	วิทยาลัย
學院	มหาวิทยาลัย
鄉	ตำบล
鄉	สิริ
原因	เหตุผล
原因	เหตุ
原因	เหตุผล
原因	สาเหตุ
原因	เพราะ
原因	สาเหตุ
通過	ผ่าน
通過	ผ่าน
通過	ผ่าน
管	ท่อ
管	ท่อ
管	หลอด
強	เข้ม
強	strong
強	แรง
強	แข็งแกร่ง
辛	ชีน
辛	บาป
辛	ซิน
漢	ฮาน
漢	ฮัน
漢	ฮั่น
法律	กฎหมาย
法律	กฎ
法律	กฎหมาย
革命	ปฏิวัติ
計劃	แพ็คเกจ
計劃	วางแผน
計劃	แผน
計劃	แผน
時代	ไทม์
時代	ครั้ง
男性	ตัวผู้
男性	ผู้ชาย
男性	men
男性	ชาย
男性	บุรุษ
形式	ฟอร์ม
形式	ฟอร์แมต
鄭	จอง
鄭	จอง
鄭	จุง
蔡	choy
蔡	แช
葉	ใบไม้
葉	ยิบ
單位	ยูนิต
單位	หน่วย
單位	ยูนิต
單位	หน่วย
修	แก้
修	แก้ไข
修	ซ่อม
科技	วิทยาการ
科技	เทคโนโลยี
科技	เทค
科技	เทคโนโลยี
流	ไหล
流	กระแส
流	ลำน้ำ
流	ลำธาร
流	ลำธาร
蒙古	มองโกเลีย
蒙古	มองโกเลีย
結果	ผลลัพธ์
結果	ผล
結果	ผลลัพธ์
結果	ผล
結果	ผลลัพธ์
教	สอน
教	สอน
祖	โจ
祖	joe
體	body
體	ร่าง
體	กาย
體	ร่างกาย
球隊	ทีม
球隊	ทีม
球隊	team
左	ซ้าย
左	เหลือ
戴	สวม
戴	ใส่
自然	natural
自然	ธรรมชาติ
自然	สันดาน
自然	ธรรมชาติ
台北	ไทเป
澳門	มาเก๊า
澳門	มาเก๊า
澳門	macau
新的	นิว
新的	ใหม่
經濟	เศรษฐศาสตร์
經濟	เศรษฐกิจ
經濟	เศรษฐกิจ
傑	เจย์
傑	jay
切	กรีด
切	คัท
切	ตัด
越南	เวียดนาม
越南	เวียดนาม
快速	รวดเร็ว
快速	ด่วน
快速	ไว
快速	รวดเร็ว
快速	เร็ว
快速	ด่วน
快速	fast
快速	ไว
職業	อาชีพ
職業	อาชีพ
職業	อาชีพ
職業	อาชีพ
廣	wide
廣	กว้าง
廣	กว้าง
相同	เดียวกัน
類	ห้องเรียน
類	คลาส
類	เรียน
兵	ทหาร
分鐘	นาที
分鐘	นาที
松	ต้นสน
發	ขน
發	เส้นผม
政策	นโยบาย
政策	นโยบาย
銀	ซิลเวอร์
銀	เงิน
日期	เดท
普通	สามัญ
普通	ธรรมดา
鰭	fin
男子	ผู้ชาย
男子	men
男子	ชาย
男子	บุรุษ
共和國	สาธารณรัฐ
理由	เหตุผล
理由	เหตุ
理由	เหตุผล
理由	สาเหตุ
交流	แลก
總統	ประธาน
總統	ประธานาธิบดี
公分	เซนติเมตร
標準	เกณฑ์
標準	มาตรฐาน
標準	มาตรฐาน
排名	จุดยืน
排名	อันดับ
排名	อันดับ
表	ตาราง
表	โต๊ะ
韓國	เกาหลี
韓國	เกาหลี
博士	ดอกเตอร์
博士	หมอ
博士	แพทย์
尾	หาง
尾	หาง
尾	ก้อย
漫畫	การ์ตูน
漫畫	การ์ตูน
漫畫	การ์ตูน
漫畫	การ์ตูน
短	สั้น
短	สั้นๆ
短	เตี้ย
坑	หลุม
坑	บ่อ
大型	ใหญ่
凱	kai
凱	ไค
凱	เคย์
生物	ชีวภาพ
生物	ชีววิทยา
城鎮	town
城鎮	เมือง
城鎮	ทาวน์
春	spring
春	สปริง
公路	ถนน
公路	ทางหลวง
公路	ถนน
公路	road
公路	ทางด่วน
公路	ทางหลวง
公路	ไฮเวย์
冠	crown
冠	มงกุฎ
空	ว่างๆ
空	ว่าง
雪	หิมะ
牛	วัว
牛	ปศุสัตว์
牛	วัว
牛	นมวัว
牛	กระทิง
火	ไฟ
火	เพลิง
攻擊	โจมตี
值	ค่า
值	มูลค่า
值	ค่า
十二	twelve
新加坡	สิงคโปร์
琳	ลิน
西部	เวสต์
土	ดิน
土	ลูกรัง
土	สกปรก
土	ดิน
早期	ต้น
速度	ความเร็ว
速度	ความเร็ว
合併	consolidation
建築	ตึก
建築	อาคาร
建築	ตึก
建築	อาคาร
建築	ก่อสร้าง
建築	สถาปัตยกรรม
道路	ถนน
道路	ถนน
道路	road
低	ลด
低	ต่ำ
低	ล่าง
低	โลว์
低	ต่ำ
庫	เล้า
色	สี
色	สีสัน
轉	เลี้ยว
轉	หัน
轉	พลิก
轉	เปิด
仍然	ยัง
來自	จาก
技術	เทคนิค
技術	เทคโนโลยี
技術	เทคนิค
技術	วิทยาการ
技術	เทคโนโลยี
技術	เทคนิค
畢業	บัณฑิต
設	กำหนด
設	ตั้ง
館	ศาลา
天主教	คาทอลิก
富	ริช
富	รวย
富	คนรวย
富	ร่ำรวย
千	พัน
芬	fen
芬	fin
大部分	ที่สุด
程	เชง
房	ห้อง
柏	por
太平洋	แปซิฟิก
太平洋	แปซิฟิค
情況	สถานการณ์
來源	ต้นทาง
來源	แหล่ง
首都	พระนคร
首都	ทุน
牌	บัตร
牌	การ์ด
牌	ไพ่
杯	คัพ
杯	ถ้วย
廣告	โฆษณา
廣告	โฆษณา
廣告	โฆษณา
深	ลึก
深	deep
描述	บรรยาย
描述	อธิบาย
皇帝	จักรพรรดิ
域	โดเมน
域	โดเมน
團體	กลุ่ม
流行	นิยม
流行	ป็อป
流行	ป๊อป
流行	pop
潘	pam
潘	แพม
潘	แพ
潘	แพน
計畫	แพ็คเกจ
計畫	วางแผน
計畫	แผน
列車	รถไฟ
列車	รถไฟ
環	แหวน
環	วงแหวน
環	ring
環	ริง
環	วงแหวน
環	แหวน
環	ลูป
環	วน
取代	แทนที่
取代	แทนที่
取代	แทน
兄弟	น้อง
物理	กายภาพ
底	ล่าง
右	ขวา
右	ถูก
武器	อาวุธ
武器	อาวุธ
顯示	แสดง
顯示	แสดง
顯示	โชว์
顯示	แสดง
報告	รายงาน
報告	รายงาน
秒	วินาที
秒	วินาที
秒	วินาที
秒	sec
雲	เมฆ
雲	เมฆ
雲	ยุน
小說	นิยาย
小說	นวนิยาย
小說	นิยาย
小說	นวนิยาย
小說	นิยาย
小說	นวนิยาย
風	สายลม
風	ลม
程度	ปริญญา
和平	สันติภาพ
和平	สันติ
和平	สันติสุข
圈	วงกลม
圈	วงกลม
修改	แก้ไข
修改	แก้ไข
直	ตรง
生產	ผลิต
生產	ผลิต
申請	แอพพลิเคชัน
單	single
單	โสด
谷	หุบเขา
谷	ตานี
魏	อุย
巴黎	paris
巴黎	ปารีส
家庭	ตระกูล
家庭	ครอบครัว
家庭	family
宗教	ศาสนา
宗教	ศาสนา
宗教	ศาสนา
英格蘭	อังกฤษ
拜	บาย
作用	บทบาท
作用	บทบาท
改革	ปฏิรูป
藝術	ศิลปะ
藝術	ศิลปศาสตร์
藝術	อาร์ต
藝術	อาร์ท
藝術	art
藝術	ศิลปะ
處理	รับมือ
處理	จัดการ
香	ธูป
先生	เซอร์
旅	กองพล
人員	บุคลากร
虎	tiger
虎	เสือ
虎	เสือก
超級	super
土地	land
土地	แลนด์
土地	ที่ดิน
彭	peng
彭	เผิง
彭	ผิง
展	นิทรรศการ
特色	คุณสมบัติ
特色	คุณสมบัติ
特色	คุณลักษณะ
特色	ฟีเจอร์
公園	จอด
公園	สวน
公園	สวน
包	ถุง
包	กระเป๋า
包	แบ็ค
包	แพ็คเกจ
包	เปา
包	bao
包	แพ็คเกจ
包	แพ็ค
包	ฝูง
包	แพค
韋	อุย
翼	ปีก
翼	วิง
翼	ปีก
孔	ฮ่องกง
孔	หลุม
孔	รู
孔	โพรง
麥	หมาก
盧	ลู
研究所	สถาบัน
協會	สมาคม
主演	นำแสดง
文學	วรรณกรรม
文學	วรรณคดี
文學	วรรณกรรม
文學	วรรณคดี
頻道	ช่อง
頻道	ช่อง
少年	teen
少年	ทีน
少年	เยาวชน
少年	junior
少年	เยาวชน
舊	เก่าๆ
舊	แก่
舊	เก่า
股份	แชร์
股份	หุ้น
紀錄	บันทึก
紀錄	สถิติ
影片	ภาพยนตร์
影片	หนัง
影片	ภาพยนต์
影片	ภาพยนตร์
影片	วีดีโอ
影片	วิดีโอ
影片	ภาพยนตร์
影片	ฟิล์ม
基地	ฐาน
基地	ฐาน
基地	ฐานทัพ
必須	ต้อง
文件	แฟ้ม
文件	แฟ้ม
電視劇	ดราม่า
電視劇	ละคร
更多	อื่นๆ
更多	มากกว่า
藍	น้ำเงิน
藍	สีน้ำเงิน
藍	บลู
居住	ที่พัก
板	ทะเบียน
板	จาน
板	กระดาน
板	บอร์ด
船	เรือ
船	ยาน
船	เรือ
文章	บทความ
意見	หมายเหตุ
意見	คอมเมนท์
同意	ยินยอม
最多	ที่สุด
最多	แม็กซ์
最多	แม๊กซ์
最多	แม็ก
地下	ใต้ดิน
十	ten
十	สิบ
銀行	ธนาคาร
銀行	แบงค์
銀行	ธนาคาร
銀行	แบงค์
銀行	แบงก์
非洲	แอฟริกา
非洲	แอฟริกา
媒體	สื่อ
支援	สนับสนุน
支援	รองรับ
支援	สำรอง
第十	tenth
拍攝	ยิง
拍攝	ถ่าย
還有	และ
還有	แล้ว
俄羅斯	รัสเซีย
節	เทศกาล
分析	วิเคราะห์
榮	ร่อง
榮	หรง
榮	รง
偉	หวาย
旗	ธงชาติ
旗	flags
旗	ธง
旗	ธงชาติ
旗	ธง
旗	แบนเนอร์
北海道	ฮอกไกโด
皇家	รอยัล
皇家	ราชวงศ์
電子	อิเล็กตรอน
電子	อิเล็กทรอนิกส์
電子	อิเล็กทรอนิกส์
倫敦	london
倫敦	ลอนดอน
範圍	ช่วง
範圍	ช่วง
範圍	ระยะ
黨	พรรค
黨	ปาร์ตี้
微	micro
微	ไมโคร
教堂	โบสถ์
教堂	ศาสนจักร
