मिसाल	przypowieść
निर्मल	przezroczyste
कार्यक्षेत्र	zakres
मोटरसाइकिल	motocykli
मोटरसाइकिल	motocykle
मोटरसाइकिल	motor
मोटरसाइकिल	motocyklista
मोटरसाइकिल	motocykle
मोटरसाइकिल	motocykl
मोटरसाइकिल	motocykla
पुनरावृत्ति	powtórka
गल्फ	zatoka
गल्फ	zatoce
अंटार्कटिक	antarktyda
अंटार्कटिक	antarktyki
खतरों	niebezpieczeństwa
डैनी	danny
बेड़े	flota
बेड़े	floty
किशोरावस्था	nastolatkiem
किशोरावस्था	nastolatka
किशोरावस्था	nastolatek
किशोरावस्था	dojrzewania
किशोरावस्था	dojrzewanie
पंद्रह	fifteen
पंद्रह	piętnaście
महंगा	drogie
महंगा	droga
महंगा	drogo
महंगा	kosztowne
महंगा	drogi
प्रबंधित	zarządzane
प्रबंधित	udało
प्रबंधित	zarządzany
मनोरंजक	fajne
मनोरंजक	zabawy
मनोरंजक	zabawa
मनोरंजक	fajnie
सजाया	urządzone
सजाया	odznaczony
एडम	adam
एडम	adamie
अनगिनत	nieskończona
अनगिनत	nieskończenie
अनगिनत	nieskończone
अनगिनत	nieskończoność
अनगिनत	nieskończonej
अनगिनत	niezliczone
अनगिनत	niezliczone
सुन्नी	sunnitów
आदर्शों	ideałów
आदर्शों	ideały
डिवाइस	urządzenia
डिवाइस	wyrób
डिवाइस	urządzenie
डिवाइस	urządzenia
लियोन	leona
लियोन	leon
हीन	drobne
ऑब्जेक्ट	przedmiot
ऑब्जेक्ट	obiekt
ऑब्जेक्ट	obiekty
ऑब्जेक्ट	obiektu
ऑब्जेक्ट	obiekty
ऑब्जेक्ट	przedmioty
ऑब्जेक्ट	obiektów
पेंटिंग	obraz
पेंटिंग	malarstwo
पेंटिंग	malowanie
सूचियाँ	listy
सूचियाँ	wykazy
एमटीवी	mtv
एवरेस्ट	everest
आतंकवादियों	bojowników
आतंकवादियों	terrorystów
आतंकवादियों	terroryści
बकरी	kozioł
बकरी	kozie
बकरी	kozy
बकरी	koza
बकरी	kóz
स्विफ्ट	swift
कुर्सी	krzesła
कुर्सी	krzesło
कुर्सी	fotel
सांचे	pleśń
सिंधी	sindhi
क्षितिज	horyzoncie
क्षितिज	horyzont
दोहरा	podwójny
दोहरा	podwójna
दोहरा	podwójne
दोहरा	podwójnie
दोहरा	podwójne
रैली	rally
रैली	zlot
रैली	rajd
रैली	jamboree
माघ	magh
संविदा	pakt
संविदा	paktu
संविदा	umowa
संविदा	zlecenie
संविदा	kontrakt
संविदा	umowy
शोधकर्ता	naukowiec
शोधकर्ता	badacz
नेटस्केप	netscape
रॉबिन	robin
रॉबिन	robina
बैंगनी	purpurowe
बैंगनी	fioletowy
बैंगनी	purpurowy
बैंगनी	fioletowe
बैंगनी	fiołki
बैंगनी	fioletowy
बैंगनी	fioletowe
बैंगनी	violet
व्यू	portier
प्रक्षेपास्त्र	rakietę
प्रक्षेपास्त्र	rakiety
प्रक्षेपास्त्र	rakieta
प्रक्षेपास्त्र	pocisk
प्रक्षेपास्त्र	rakieta
बीजिंग	pekinie
स्वैच्छिक	dobrowolne
स्वैच्छिक	wolontariat
स्वैच्छिक	dobrowolnie
स्वैच्छिक	dobrowolny
स्वैच्छिक	dobrowolnego
फोटोग्राफी	fotografie
फोटोग्राफी	fotografii
फोटोग्राफी	photography
फोटोग्राफी	fotografia
फोटोग्राफी	zdjęcia
प्रौढ़	dorośli
प्रौढ़	dorosły
प्रौढ़	dorosłych
प्रौढ़	dorosła
कैलिफ़ोर्निया	kalifornii
कैलिफ़ोर्निया	california
कैलिफ़ोर्निया	kalifornia
धड़	tułów
धड़	korpus
धड़	tułowia
कैलगरी	calgary
पैकेट	pakiet
साउंडट्रैक	soundtrack
महलों	pałace
वार्तालाप	rozmowę
वार्तालाप	rozmowy
वार्तालाप	rozmowa
वार्तालाप	konwersacji
वार्तालाप	rozmów
वार्तालाप	konwersacji
वार्तालाप	rozmowy
टीले	wydmy
बुद्धिमान	inteligentna
बुद्धिमान	inteligentny
बुद्धिमान	inteligentne
उभरते	wschodzących
फोकस	skupienie
फोकस	koncentracja
फोकस	skupić
वन्यजीव	przyroda
वन्यजीव	przyrody
वर्चस्व	zdominowany
जावेद	javed
रुझान	trend
रुझान	tendencje
रुझान	tendencja
रुझान	trendy
रुझान	tendencje
रुझान	tendencji
रुझान	najpopularniejsze
रुझान	popularne
वेशभूषा	kostium
वेशभूषा	kostiumy
वेशभूषा	strój
वेशभूषा	kostiumy
वेशभूषा	stroje
भागीदार	uczestników
भागीदार	uczestnikom
भागीदार	uczestnicy
भागीदार	uczestnika
भागीदार	uczestnik
स्पेंसर	spencer
अस्पतालों	szpitale
विक्रेताओं	sprzedawcy
विक्रेताओं	sprzedawców
विक्रेताओं	sprzedający
वान	vana
वान	furgonetka
वान	van
पुस्तिका	broszura
नाभि	pępka
तुर्कमेनिस्तान	turkmenistan
देखिए	patrz
देखिए	zobacz
आधुनिकता	nowoczesność
रॉबर्ट्स	roberts
क्लाइंट	klienta
क्लाइंट	klient
क्लाइंट	klientka
क्लाइंट	klienci
क्लाइंट	klientów
राँची	ranchi
गर्भाधान	zapłodnienie
डायरी	dziennik
डायरी	pamiętniku
डायरी	pamiętnik
अपडेट	aktualizacja
अपडेट	aktualizacji
अपडेट	uaktualnienie
अपडेट	uaktualnienia
अपडेट	aktualizacje
प्रतिरोधक	opornik
चैम्पियन	mistrzu
चैम्पियन	mistrz
चैम्पियन	champion
चैम्पियन	mistrzyni
डेनिस	denise
डेनिस	dennisa
डेनिस	dennis
डेनिस	denis
जोएल	joel
मैगज़ीन	czasopism
मैगज़ीन	magazyny
मैगज़ीन	czasopisma
सीमाएं	limity
सीमाएं	ograniczenia
शंघाई	szanghaju
वाइस	wice
वाइस	vice
किट	zestaw
किट	kit
भ्रमित	zagubiona
भ्रमित	zmieszany
भ्रमित	zagubiony
हिसार	hisar
बाप	ojcze
बाप	ojciec
राजेंद्र	rajendra
थाली	płytka
थाली	talerz
थाली	płyta
नग्न	nagi
नग्न	nago
नग्न	nagie
नग्न	nadzy
नग्न	naga
नग्न	nagi
नग्न	nago
नग्न	nadzy
नग्न	nagość
नग्न	naga
कार्यभार	przydziały
कार्यभार	zadania
कार्यभार	przydział
कार्यभार	zadanie
एनालॉग	analogowe
रुकावट	zator
रुकावट	niedrożność
रुकावट	przeszkoda
प्रतिबिंब	odbicie
प्रतिबिंब	odbicia
प्रतिबिंब	refleksji
प्रतिबिंब	lustro
प्रतिबिंब	lusterko
ब्लेड	blade
ब्लेड	ostrze
ब्लेड	ostrza
ब्लेड	łopatki
सदिश	wektor
सदिश	wektorów
स्थगित	zawiesza
स्थगित	zawiesić
स्थगित	oczekiwanie
गिरोह	banda
गिरोह	gangu
गिरोह	gang
दायित्वों	zobowiązania
दायित्वों	obowiązki
पावन	święty
पावन	święte
मर्यादा	godność
मर्यादा	godności
बैले	baletu
बैले	balet
बसंत	wiosenny
बसंत	spring
बसंत	wiosny
बसंत	wiosna
शर्ट	koszule
शर्ट	koszulka
शर्ट	koszula
शर्ट	koszulki
शर्ट	koszule
शर्ट	koszulki
न्यायाधीशों	sędziów
न्यायाधीशों	sędziowie
तेरी	teri
सेंसर	sensory
सेंसर	czujniki
सेंसर	czujnik
सेंसर	czujniki
सेंसर	czujnika
स्टैंड	stać
स्टैंड	stoisko
स्टैंड	stoi
स्टैंड	stoiska
उपनिवेशों	kolonia
उपनिवेशों	kolonii
उपनिवेशों	kolonię
बहुवचन	mnoga
एकाधिकार	monopolu
एकाधिकार	monopol
एकदिवसीय	odi
विनाशकारी	katastrofalne
मिसौरी	missouri
बहुराष्ट्रीय	wielonarodowych
मारी	marie
मारी	mari
कार्गो	cargo
कार्गो	ładunek
शुभारंभ	uruchomienie
आमेर	amer
दारा	darius
दारा	dariusz
दारा	dara
फ़्रांसीसी	francuski
फ़्रांसीसी	francuska
फ़्रांसीसी	french
फ़्रांसीसी	francuskie
जादूगर	czarodzieja
जादूगर	czarodziej
जादूगर	asystent
जादूगर	czarnoksiężnik
जादूगर	magika
जादूगर	magik
पड़ेगा	gotta
प्रतिमान	wzorzec
प्रतिमान	wzór
प्रतिमान	paradygmat
सच्चा	prawda
सच्चा	prawdziwe
सच्चा	true
अमोनिया	amoniaku
विश्लेषणात्मक	analityczne
विश्लेषणात्मक	analityczna
विश्लेषणात्मक	analitycznych
प्रतिबद्धता	zobowiązania
प्रतिबद्धता	zaangażowanie
प्रतिबद्धता	zobowiązanie
डू	doo
विधायिका	legislatura
पकड़ा	chwycił
कॉफ़ी	odcięcie
कॉफ़ी	kawa
कॉफ़ी	kawy
कॉफ़ी	kawie
उल्टा	odwrócić
उल्टा	odwrócony
एलेन	ellen
किराए	taryf
किराए	taryfy
किराए	wynajem
किराए	dzierżawa
किराए	czynsz
न्यायालयों	sądy
एस्टन	aston
मांसपेशी	mięśnie
मांसपेशी	mięsień
मांसपेशी	mięśni
विषाक्त	toksyczne
विषाक्त	toksyczny
तूफ़ान	burze
तूफ़ान	tajfun
तूफ़ान	burza
तूफ़ान	storm
तूफ़ान	sztorm
कड़ा	ciasne
कड़ा	ciasno
कड़ा	mocno
कड़ा	twardy
कड़ा	hard
कड़ा	ciężko
कड़ा	twarde
कड़ा	twarda
बारूद	proch
पड़ाव	milowym
एंजाइम	enzymu
एंजाइम	enzym
एंजाइम	enzymy
मूसा	moses
मूसा	mojżesz
मूसा	mojżesza
मूसा	musa
पिंक	różowy
पिंक	różowa
पिंक	róż
पिंक	różowe
पिंक	różowo
बैरी	barry
बैरी	antagonistą
कॉमर्स	handlu
कॉमर्स	handel
जीप	jeep
जीप	jeepa
चलाना	exec
चलाना	realizacja
चलाना	egzekucja
चलाना	wykonanie
दादी	babci
दादी	babcia
दादी	babka
दादी	babci
दादी	babcia
कमिश्नर	komisarz
पहाड़ियाँ	wzgórza
पहाड़ियाँ	hills
मैथ्यू	mateusza
मैथ्यू	mateusz
मैथ्यू	maciej
गंधक	siarki
गंधक	siarki
षड्यंत्र	spisek
अंडमान	andaman
दूषित	uszkodzone
दूषित	uszkodzony
पश्च	tylny
पश्च	tyły
पश्च	tylne
पश्च	tył
पश्च	tylna
रीडर	reader
मिर्ज़ा	mirza
क्रांतिकारियों	rewolucjonistów
हीरे	diamenty
हीरे	karo
प्रशिक्षक	trener
प्रशिक्षक	trenerem
प्रशिक्षक	instruktor
नास्तिक	ateizm
नास्तिक	ateistą
जासूसी	szpiegostwo
प्रचारित	promowane
प्रचारित	promowany
प्रवर्धक	wzmacniacz
फसलें	upraw
फसलें	uprawy
डायोड	dioda
अमूर्त	abstrakcyjne
सौभाग्य	fortuny
सौभाग्य	fortuna
सौभाग्य	losy
सौभाग्य	fortuna
सौभाग्य	fortunę
सौभाग्य	fortuny
ब्रायंट	bryant
गैरी	garry
गैरी	gary
कुश	kush
साइमन	szymon
साइमन	simon
कार्बोनेट	węglan
हिब्रू	hebrajski
बर्ड	ptaka
बर्ड	ptak
बर्ड	bird
बर्ड	ptaszek
एथलेटिक्स	lekkoatletyka
तैराकी	pływania
तैराकी	pływanie
हक	huck
हक	haq
संस्थागत	instytucjonalnych
संस्थागत	instytucjonalne
चिट्ठा	blog
चिट्ठा	bloga
चिट्ठा	blogu
ठंड	zimno
ठंड	chłód
ठंड	zimne
ठंड	zimny
ठंड	zimna
चूहे	myszki
चूहे	myszy
चूहे	szczury
लीड	prowadzi
लीड	tropy
लीड	ołów
लीड	prowadź
लीड	ołowiu
दरार	rift
दरार	szczelina
दरार	pęknięcie
दरार	crack
दार्शनिकों	filozofów
नेहरु	nehru
पंकज	pankaj
संवेदना	kondolencje
सॉफ़्टवेयर	oprogramowanie
सॉफ़्टवेयर	oprogramowania
सॉफ़्टवेयर	software
परवाह	opieki
परवाह	opieka
परवाह	dba
बहुविकल्पी	ujednoznacznienie
महेन्द्र	mahendra
बमबारी	bombardowanie
बमबारी	bomby
बमबारी	bomba
कीड़े	robaki
कठपुतली	marionetką
अधीनस्थ	podwładnego
अधीनस्थ	podporządkowane
ग्रीनहाउस	szklarni
ग्रीनहाउस	cieplarnianych
कैम्प	obozy
कैम्प	obozu
कैम्प	camp
कैम्प	obóz
कैम्प	obozy
कैम्प	obozach
किस्में	odmian
किस्में	odmiany
किस्में	odmiany
किस्में	odmianę
किस्में	odmiana
किस्में	różnorodność
विषाक्तता	zatrucie
विषाक्तता	zatrucia
सम्मेलनों	konferencje
चिंतित	niespokojny
चिंतित	zaniepokojony
चिंतित	zaniepokojony
चिंतित	martwić
चिंतित	zaniepokojony
स्टारबक्स	starbucks
छुटकारा	ratuje
जॉर्डन	jordana
जॉर्डन	jordan
एथलीट	lekkoatleta
एथलीट	sportowiec
एथलीट	sportowcy
एथलीट	sportowców
विधिक	legalnie
विधिक	prawny
विधिक	prawne
विधिक	legalne
असुरक्षित	niepewne
असुरक्षित	niepewność
असुरक्षित	niepewna
असुरक्षित	niepewnie
असुरक्षित	niepewny
रेखीय	liniowe
शहद	miód
शहद	kochanie
शहद	skarbie
अम्लीय	kwaśnych
ऑपरेटर	operator
ऑपरेटर	operatora
ऑपरेटर	podmioty
ऑपरेटर	operatorów
ऑपरेटर	operatorzy
नल	null
प्रेसीडेंसी	prezydencja
प्रेसीडेंसी	prezydencji
कुक	cook
कुक	kucharza
कुक	kucharz
कुक	gotować
मनी	pieniądze
मनी	pieniądz
मनी	kasy
मनी	kasa
मनी	money
मनी	mani
नारा	slogan
चढ़	rdza
सेक्टर	sektor
सेक्टर	branża
सेक्टर	sektory
सेक्टर	sektory
महासागरीय	oceania
क्रियाशील	aktywne
क्रियाशील	aktywna
क्रियाशील	aktywni
क्रियाशील	aktywny
क्रियाशील	czynne
क्रियाशील	przymiotnik
बैठकों	zebrania
बैठकों	spotkania
बैठकों	spotkań
बैठकों	posiedzenia
बैठकों	posiedzenia
भट्ठी	piec
कारें	samochody
कारें	samochodów
क्योकि	bo
क्योकि	ponieważ
सभ्य	przyzwoicie
सभ्य	przyzwoity
सभ्य	przyzwoite
विकलांगता	niepełnosprawności
विकलांगता	niepełnosprawność
अनजाने	nieświadomie
नोट्स	nuty
नोट्स	noty
नोट्स	notatek
नोट्स	notatki
नोट्स	zauważa
विलास	vilas
कहें	powiedz
एव	ave
सामी	sami
धर्मशास्त्र	teologii
आर्क	łuk
आर्क	arc
ट्रम्प	atut
ट्रम्प	trump
मौद्रिक	pieniężnej
यीशु	jezu
यीशु	jezus
चश्मे	gogle
चश्मे	okulary
चश्मे	kieliszki
चश्मे	szklanki
एक्यूपंक्चर	akupunktury
प्लूटो	pluton
प्लूटो	pluto
डेनियल	daniela
डेनियल	daniel
डेनियल	danilo
पैरिस	paryżu
पैरिस	paryż
कामयाबी	sukces
कामयाबी	sukcesu
कामयाबी	sukcesów
कामयाबी	sukcesy
कामयाबी	powodzenie
प्रोटोटाइप	prototyp
अभय	abhay
सिलसिले	silas
कुरु	kuru
फर्क	odróżnić
फर्क	różnica
फर्क	różnice
इयान	ian
इयान	lan
दुग्ध	mlecznych
दुग्ध	mleczne
भयभीत	przestraszony
भयभीत	przerażony
वसूली	odzyskanie
वसूली	odzysk
वसूली	odzyskiwanie
वसूली	odzysku
मौन	niemy
मौन	niema
मौन	cisza
डिप्लोमा	dyplomy
डिप्लोमा	dyplom
घटा	zmniejszyć
घटा	spadek
घटा	zmniejszenie
अमरीश	amrish
पॉइंट	punkty
पॉइंट	punktów
पॉइंट	punkt
पॉइंट	pkt
पॉइंट	point
त्वरण	przyspieszenie
त्वरण	przyspieszenia
जमैका	jamajka
स्केल	skali
स्केल	skala
मक्खन	masło
मक्खन	masła
साम्राज्यवाद	imperializm
सूत	przędzy
सूत	przędza
सूत	bawełnę
सूत	bawełny
सूत	bawełna
सूत	cotton
इज़राइल	izrael
वैधता	legalności
वैधता	ważność
अनन्य	wyłączność
अनन्य	ekskluzywne
अनन्य	ekskluzywny
अनन्य	wyłączne
मिथक	mit
मिथक	mity
श्रृंगार	makijażu
श्रृंगार	makijaż
प्रावधानों	postanowienia
प्रावधानों	przepisy
नतीजा	fallout
अर्ल	earl
अर्ल	earla
अर्ल	hrabia
आवंटित	przydzielony
आवंटित	przydzielona
आवंटित	przyznane
आवंटित	przydzielone
निर्देशिका	spis
निर्देशिका	katalog
निर्देशिका	katalogu
निर्देशिका	indeks
निर्देशिका	spis
निर्देशिका	wskaźnik
निर्देशिका	indeksu
निर्देशिका	katalogów
निर्देशिका	katalogi
आंग्ल	anglo
समता	parytetu
समता	równości
समता	równość
एवेन्यू	aleja
एवेन्यू	avenue
बेरोजगारी	bezrobocia
बेरोजगारी	bezrobocie
लत	uzależnienie
लत	nałóg
लत	uzależnienia
जुर्माना	grzywien
जुर्माना	grzywny
जुर्माना	kary
क़ुरान	koran
पूर्णता	zakończenia
पूर्णता	wypełnianie
पूर्णता	zakończenie
पूर्णता	wypełnienie
पूर्णता	ukończenie
पूर्णता	ideał
पूर्णता	doskonałości
पूर्णता	perfekcji
पूर्णता	doskonałość
ओमान	oman
मार्केटिंग	marketing
मार्केटिंग	obrót
मार्केटिंग	marketingu
पीड़ितों	ofiarami
पीड़ितों	ofiar
पीड़ितों	ofiary
शक्तियां	uprawnienia
शक्तियां	moce
शक्तियां	uprawnień
शक्तियां	powers
शक्तियां	kompetencje
शक्तियां	sił
शक्तियां	siły
बादलों	chmury
चतुर्भुज	czworokąt
चतुर्भुज	prostokąt
चीता	cheetah
चीता	leopard
मूक	cichy
मूक	niemy
मूक	niema
लीन	lyn
प्रतिभाशाली	geniusz
प्रतिभाशाली	genialne
प्रतिभाशाली	genialny
प्रतिभाशाली	utalentowany
प्रतिभाशाली	talent
प्रतिभाशाली	zdolny
प्रतिभाशाली	zdolna
प्रतिभाशाली	utalentowana
पनीर	cheese
पनीर	sera
पनीर	ser
पनीर	sery
स्मार्ट	mądry
स्मार्ट	mądrze
स्मार्ट	mądra
स्मार्ट	inteligentne
स्मार्ट	smart
नियोक्ता	pracodawcy
नियोक्ता	pracodawców
नियोक्ता	pracodawca
नियोक्ता	pracodawca
नियोक्ता	pracodawcy
पश्तो	paszto
मैडोना	madonna
मैडोना	madonny
बराक	barack
बराक	barak
चमकदार	świetliste
चमकदार	błyszczący
चमकदार	błyszczące
चमकदार	lśniące
नाड़ी	impuls
नाड़ी	puls
नाड़ी	tętno
कादर	kader
स्पीकर	głośnik
स्पीकर	mówca
गैसें	gazy
सहभागिता	aktywność
सहभागिता	zaangażowanie
सहभागिता	zaręczyny
सहभागिता	interakcje
सहभागिता	współdziałanie
सहभागिता	interakcji
यों	plank
यों	deska
गतिविधियाँ	działania
गतिविधियाँ	działalności
गतिविधियाँ	działalność
इसराइल	izrael
वाट	watt
वाट	wat
कोच्चि	kochi
कृषक	rolników
कृषक	farmerzy
कृषक	rolnicy
ब्राउजर	przeglądarka
ब्राउजर	przeglądarkę
ब्राउजर	przeglądarki
ब्राउजर	przeglądarce
गुदा	odbytu
गुदा	odbyt
गुदा	analny
टीकाकरण	szczepienie
टीकाकरण	szczepień
टीकाकरण	szczepienia
मूर्तिकला	rzeźby
मूर्तिकला	rzeźba
मूर्तिकला	rzeźbę
शाश्वत	wieczności
शाश्वत	wieczność
किरणें	promienie
वैश्वीकरण	globalizacja
वैश्वीकरण	globalizacji
बैग	torebka
बैग	worek
बैग	torba
बैग	torbę
बैग	torby
बैग	worki
बैग	torby
बैग	torebki
नर्तक	tancerki
नर्तक	tancerzy
नर्तक	tancerz
नर्तक	tancerka
ग्लूकोज	glukozy
नीतियाँ	polityki
प्रतिभागियों	uczestników
प्रतिभागियों	uczestnikom
प्रतिभागियों	uczestnicy
दत्ता	dutta
पढ़ना	czytania
पढ़ना	czytanie
पढ़ना	czytam
पढ़ना	lektura
पढ़ना	odczyt
आपरेशन	funkcjonowanie
आपरेशन	operacja
आपरेशन	działanie
आपरेशन	operacje
ब्रॉडबैंड	szerokopasmowych
मैनुअल	ręczne
मैनुअल	instrukcja
मैनुअल	ręczna
मैनुअल	podręcznik
दर्जन	dozen
दर्जन	tuzin
सुखद	przyjemne
सुखद	przyjemne
सुखद	przyjemnie
सुखद	przyjemny
सुखद	przyjemna
सस्ती	tania
सस्ती	tanio
सस्ती	tani
सस्ती	tanie
सस्ती	taniej
बेखम	beckham
स्याही	atrament
स्याही	tusz
रॉस	rossa
रॉस	ross
हवाओं	wiatry
परम्पराओं	tradycja
परम्पराओं	tradycji
परम्पराओं	tradycje
पूछे	pyta
पूछे	zapytała
पूछे	poprosił
पूछे	pytał
पूछे	zapytał
सेब	jabłko
सेब	apple
सेब	jabłka
रो	ro
रो	rho
रो	płakać
रो	płacze
रो	płacz
पुस्तकालयों	biblioteki
पुस्तकालयों	bibliotek
पुस्तकालयों	bibliotekę
पुस्तकालयों	biblioteka
पुस्तकालयों	biblioteki
पुस्तकालयों	bibliotece
चौकी	checkpoint
चौकी	placówka
बहनों	sióstr
बहनों	siostrzyczki
बहनों	siostrami
बहनों	siostry
अश्लील	porno
अश्लील	pornografia
आपात	nagłe
आपात	awaryjne
रेसलमेनिया	wrestlemania
नामीबिया	mołdawia
नामीबिया	namibii
स्त्रियाँ	kobiet
स्त्रियाँ	kobietki
स्त्रियाँ	kobiety
स्त्रियाँ	damskie
एनी	annie
मामा	mama
मामा	mamuśka
मामा	mamusia
मामा	wujek
मामा	wuju
रूपांतर	wariant
रूपांतर	odmiana
नगरीय	urban
नगरीय	miejskie
नगरीय	miejski
नगरीय	miejskich
नगरीय	miejska
जैकी	jacek
जैकी	jacky
क्रोधित	wściekłe
क्रोधित	wściekły
क्रोधित	wściekła
क्रोधित	wściekli
क्रोधित	zła
क्रोधित	złość
क्रोधित	wściekły
क्रोधित	zły
तात्कालिक	pilne
तात्कालिक	natychmiastowe
तात्कालिक	natychmiastowa
तात्कालिक	natychmiastowy
हलके	lekko
कमांड	poleceń
कमांड	komendy
कमांड	polecenia
कमांड	dowództwo
कमांड	polecenie
कमांड	komenda
कमांड	polecenia
कोबेन	cobain
बुराई	zło
बुराई	zły
बुराई	evil
