زئوس	zeus
شعله	api
شعله	flame
شعله	api
شعله	nyalaan
کوچولو	kecik
تلفیق	penyatuan
تلفیق	campurkan
فک	rahang
زعفران	kunyit
زعفران	crocus
تعاریف	takrifan
دامن	skirt
دامن	skirt
گیلمور	gilmour
گیلمور	gilmore
مفصلی	artritis
مفصلی	arthritis
گیتاریست	guitarist
گوینده	penutur
گوینده	talker
حرام	terlarang
حرام	dilarang
حرام	terlarang
حرام	dilarang
محراب	altar
محراب	sanctuary
اقیانوسی	oceanic
اقیانوسی	samudera
اقیانوسی	lautan
اقیانوسی	ocean
گیتی	universe
گیتی	semesta
گیتی	kosmos
رید	reid
رید	reed
عموی	pakcik
جودو	judo
پژو	peugeot
مسائلی	masalah
بالاتری	tinggi
بالاتری	higher
تامیل	tamil
نوسنگی	neolithic
کورت	curt
کورت	kurt
لاریجانی	larijani
خطبه	khutbah
نزاع	pertikaian
نزاع	pertikaikan
نزاع	perselisihan
نزاع	konflik
نزاع	bertengkar
نزاع	berbalah
نزاع	pergaduhan
داروین	darwin
غواصی	diving
غواصی	terjun
غواصی	menyelam
غواصی	dive
غواصی	menyelam
بلوط	balut
بلوط	oak
بلوط	ek
دستورات	pesanan
تقارن	simetri
اسراییل	israel
اشباع	kepekatan
اشباع	ketepuan
اشباع	tepu
اشباع	jenuh
کوئین	quinn
پلاتین	platinum
پشتیبان	sokongan
پشتیبان	support
پشتیبان	sokong
پشتیبان	backup
اسکندریه	iskandariah
اسکندریه	alexandria
مرکوری	mercury
پخت	masakan
پخت	memasak
پخت	cooking
پخت	bake
موری	maury
موری	murray
تضعیف	attenuation
تضعیف	melemah
خزانه	perbendaharaan
شهروندی	kewarganegaraan
شهروندی	kerakyatan
شهروندی	warganegara
شهروندی	citizen
فین	finn
زانو	lutut
زانو	lutut
آرنا	arena
آرنا	gelanggang
فلش	flash
ورنر	werner
تنبیه	dihukum
تنبیه	ganjarannya
تنبیه	hukuman
تنبیه	azab
اشتباهات	kesilapan
ویدئوی	video
مناره	minaret
تقلب	curang
تقلب	penipuan
تقلب	pemalsuan
نشینی	berundur
موزامبیک	mozambique
ایرویز	airways
مغان	magi
حقایق	fakta
رواندا	rwanda
مونترآل	montréal
تامسون	thompson
تامسون	thomson
انتقادات	criticisms
مانکن	supermodel
مانکن	mannequin
پاور	tenaga
پاور	power
پاور	kuasa
پاور	dikuasakan
پاور	bertenaga
پاور	powered
جنجال	kontroversi
تبت	tibet
تبت	tibet
میتسوبیشی	mitsubishi
نورد	kerete
نورد	nord
اهلی	prt
اهلی	domestik
تیرداد	tiridates
خاکستر	ash
خاکستر	abu
اساطیری	avatar
میانجی	pengantaraan
میانجی	pertengahan
استریت	jln
استریت	street
گوجه	tomato
زرهی	panzer
زرهی	berperisai
قندهار	kandahar
خروس	cock
خروس	kec
خروس	zakar
کاریکاتور	caricature
توت	tut
اطاعت	mentaati
اطاعت	patuhi
سلیمانی	soleimani
سلیمانی	slimani
نمادین	simbolik
آگهی	iklan
آگهی	pengiklanan
آگهی	mengiklan
آگهی	advertising
آگهی	pengiklanan
واکسن	vaksin
واکسن	vaksin
منفرد	manfred
نیجر	niger
تامی	tommy
وارن	warren
سیلندر	silinder
رستاخیز	kiamat
رستاخیز	kebangkitan
حشره	serangga
بیوگرافی	biographies
بیوگرافی	biografi
امانوئل	emanuel
امانوئل	emanuele
امانوئل	emmanuel
امانوئل	emmanuelle
جبری	algebra
شورشی	pemberontak
شکوفایی	mekar
منطبق	serupa
عهدنامه	perjanjian
اقتصاددان	economist
کنش	action
کنش	tindakan
کنش	aksi
کنش	laga
کنش	tindakan
پاهای	kaki
آرون	harun
آرون	aaron
تنظیمات	pelarasan
تنظیمات	keutamaan
تنظیمات	tetapan
آمیخته	campuran
آمیخته	mixtures
لیسبون	lisbon
دانیال	daniel
خوانی	keistimewaannya
حماس	hamas
دوز	dose
فرانکو	franco
تحقیقی	biasiswa
فمینیسم	feminisme
حلب	aleppo
سکولار	sekular
تأخیر	lengahan
تأخیر	lengah
تأخیر	delay
تأخیر	tunda
آشوب	kecoh
آشوب	kekacauan
آشوب	kekusutan
پارکر	parker
بالقوه	potensi
بالقوه	berpotensi
ادموند	edmund
غلامعلی	gholam
زینتی	ornamental
زینتی	hiasan
سقط	keguguran
سقط	pengguguran
تاتنهام	tottenham
دیزل	diesel
محفل	perhimpunan
محفل	assembly
ناسیونال	nationale
ناسیونال	nacional
تماشای	watching
تماشای	menyaksikan
تماشای	memerhati
تماشای	menonton
دوبلین	dublin
الکترونی	elektron
یاهو	yahoo
درآمدی	pendapatan
قطره	gugurkan
قطره	drop
قطره	titisan
باطل	palsu
باطل	false
باطل	kekosongan
باطل	keangkuhan
باطل	kesombongan
باطل	batil
نیرومند	kuat
خداحافظی	goodbye
آنالوگ	analog
جونگ	jong
جونگ	joong
جونگ	jeong
جونگ	jung
رون	ron
اصابت	impak
اصابت	hentaman
عاطفی	emosional
عاطفی	beremosi
دوندگان	pelumba
دوندگان	pelari
اسکن	imbasan
اسکن	imbas
اسکن	scan
مایعات	diperam
مایعات	bendalir
وات	watt
عدسی	lens
الجزیره	algiers
کریستیان	christian
کریستیان	kristian
کریستیان	cristian
امارت	emiriah
امارت	amiriah
صدیق	siddiq
مستطیل	segiempat
پورشه	porsche
سوگند	sumpah
کرنل	cornell
کرنل	cornel
آشتیانی	ashtiani
کاج	kaj
کاج	merana
کاج	pine
بایت	byte
بایت	bait
بایت	byte
بایت	bait
باروک	barok
تبخیر	rotary
تبخیر	penyejatan
کاتالونیا	catalunya
کاتالونیا	catalonia
برفی	salji
برفی	snowy
مهربان	kind
سوالات	soalan
سوالات	pertanyaan
رنگین	dicelup
راکی	rocky
راکی	berbatu
نوسازی	pembaharuan
نوسازی	renovasi
نوسازی	renovation
ریموند	raymond
شوک	syok
شوک	shock
شوک	kejut
شوک	renjatan
میخی	meracau
میخی	cuneiform
ابتکار	inisiatif
ابتکار	improvisation
نمادی	simbolik
ورد	jampi
ورد	eja
ورد	verde
زدایی	deregulation
امیلی	emily
بور	bur
بور	bor
بور	bohr
بور	burr
بور	boron
اسپورت	sport
اسپورت	sukan
اسپورت	sukan
آرت	seni
آرت	kesenian
موانع	rintangan
تاخیر	lengahan
تاخیر	lengah
تاخیر	delay
تاخیر	tunda
کولی	gipsi
ناتوانی	inability
ناتوانی	kecacatan
تاکسی	teksi
تاکسی	cab
تاکسی	teksi
زشت	hodoh
فرید	farid
ماهر	berkemahiran
ماهر	maher
پایانه	terminal
توس	birch
مصادف	bertepatan
عجایب	keajaiban
تعدیل	pelarasan
زراعت	tanaman
زراعت	perladangan
زراعت	bertani
زراعت	pertanian
واجب	wajib
واجب	diperlukan
راستش	sebenarnya
لوی	levi
لوی	loy
لوی	levy
سبزیجات	sayur
سبزیجات	sayuran
سبزیجات	sayur
مازیار	maz
داس	sabit
داس	sabit
داس	das
هموار	licin
قرائت	bacaan
قرائت	bacaannya
قرائت	bacaan
قرائت	reading
قرائت	pembacaan
قرائت	membaca
نیا	nia
آناتومی	anatomi
سوق	pemacu
هیلز	hills
وفاداری	fidelity
وفاداری	kesetiaan
بارانی	pancuran
بارانی	shower
بارانی	mandi
بارانی	hujan
بیچ	beech
بیچ	beach
بیچ	pantai
کیفری	penjenayah
کیفری	jenayah
آرزو	wish
آرزو	hajat
آرزو	wishing
آرزو	mendoakan
تصمیمات	keputusan
دانشگاهیان	academia
ضرر	kerugian
جنون	demensia
جنون	kegilaan
جنون	kegilaan
جنون	kewarasan
متقاعد	meyakinkan
متقاعد	meyakinkan
متقاعد	meyakinkan
تایلر	tyler
عزت	kehormatan
عزت	honour
عزت	maruah
عزت	maruah
عزت	kehormatan
عزت	kemegahan
عزت	glory
عزت	kemuliaan
عزت	keagungan
تمبر	cop
تمبر	cap
تمبر	setem
تمبر	sirim
بلگراد	belgrade
معاملات	berniaga
معاملات	perjanjian
معاملات	transaksi
یاقوت	safir
یاقوت	ruby
نوزده	nineteen
پرسی	percy
دستکاری	memanipulasi
دستکاری	manipulasi
معجزه	keajaiban
معجزه	mukjizat
معجزه	miracle
معجزه	keajaiban
باهم	bersama
خوردگی	corrosion
خوردگی	kakisan
لوکوموتیو	lokomotif
بدهی	hutang
بدهی	hutang
بدهی	debit
یدالله	yadollah
کلیساها	gereja
پرستوی	telan
چادر	perkhemahan
چادر	khemah
عمو	pakcik
نوسان	ayunan
نوسان	ayunan
نوسان	swing
سرنشین	penumpang
سرنشین	kru
سرنشین	krew
زنجیر	jirah
زنجیر	rantai
ریوی	pulmonary
اسپانیای	sepanyol
ایزوتوپ	isotop
ین	yen
دلالت	implication
نیزه	lembing
مشهود	disaksikan
مشهود	menyaksikan
اسپنسر	spencer
طوطی	parrots
طوطی	parrot
آپالاشیا	appalachia
لاتزیو	lazio
بلژیکی	belgium
اسکاندیناوی	skandinavia
اسکاندیناوی	scandinavia
بارو	barrow
کمینه	minima
کمینه	minimum
کمینه	minimum
کاراته	karate
دستگاهی	peranti
کوپه	compartment
کوپه	coupé
کوپه	coupe
سرما	sejukkan
سرما	sejuk
آموزگار	cikgu
آموزگار	teacher
آموزگار	guru
شجاعت	keberanian
توران	turan
برهم	lonjakan
پرستار	nurse
پرستار	jururawat
مشکی	black
مشکی	hitam
بنگال	benggala
الحاق	accession
توریستی	pelancong
توریستی	tourist
ایان	ian
استیضاح	impeachment
جاوه	javan
جاوه	jawa
جاوه	java
متعهد	minuteman
متعهد	terikat
متعهد	diikat
بلیز	belize
مسمومیت	keracunan
مسمومیت	keracunan
مجرد	single
مجرد	bachelor
عروقی	vaskular
سرگئی	sergei
درخشش	bersinar
درخشش	glowing
درخشش	kilauan
درخشش	glitter
درخشش	teja
درخشش	bercahaya
درخشش	berseri
اینترنشنال	antarabangsa
دیترویت	detroit
فرعون	firaun
سهره	finch
هارون	harun
صمد	samad
شنوایی	pendengaran
جواهر	permata
جواهر	jewel
جواهر	permata
جواهر	kemas
جواهر	perhiasan
هیجان	keghairahan
هیجان	keterujaan
هیجان	kegembiraan
هیجان	sensasi
هیجان	teruja
پرتره	potret
پرتره	portrait
تومور	tumor
کپسول	kapsul
بیسبال	besbol
کروموزوم	kromosom
خستگی	keletihan
خستگی	kebosanan
بسامد	frekuensi
بسامد	kekerapan
چاپلین	chaplin
الکتریسیته	eletrik
الکتریسیته	elektrik
کریک	creek
پنجاب	punjab
غیرممکن	impossible
غیرممکن	mustahil
اشیا	objek
مشت	tebuk
مشت	punch
مشت	penumbuk
سهولت	kemudahan
کنسولگری	konsulat
کنسولگری	perunding
جسیکا	jessica
مجنون	gila
مجنون	sewel
مجنون	giler
مجنون	mad
ویکیپدیای	wikipedia
بالکان	balkan
بالکان	balkan
باروری	kesuburan
باروری	gestation
هوافضا	aeroangkasa
عزاداری	berkabung
عزاداری	berkabung
اضطراب	kebimbangan
اضطراب	kecemasan
اضطراب	kegelisahan
شرلوک	sherlock
نسیم	bayu
نسیم	sepoi
نسیم	nasim
نسیم	naseem
اضطراری	kecemasan
اضطراری	emergency
ثور	thur
ثور	thor
فروهر	pati
فروهر	essence
فروهر	intipati
باکس	box
باکس	kotak
اسکوشیا	scotia
تعصب	prasangka
تعصب	dogma
تفنگداران	musketeers
تفنگداران	kor
تفنگداران	corps
کرک	kirk
رحیمی	rahimi
درصدی	peratus
درصدی	peratusan
سنتز	sintesis
افغانی	afghanistan
افغانی	afghani
افغانی	afn
افغانی	afghan
نیر	nir
اصولی	sistematik
وارده	sustained
سپید	white
سپید	putih
واسکو	vasco
متناهی	terhingga
هدر	heather
طبع	baran
نیکولا	nicola
نیکولا	nikola
دریچه	valve
دریچه	injap
دریچه	menetas
احساسی	emosional
احساسی	beremosi
انجیر	fig
انجیر	anjir
ثالث	tertiari
جوهر	toner
جوهر	dakwat
پلاستیکی	plastik
پن	penn
پن	pan
تیموری	shahrukh
سس	ngam
تیغ	blade
تیغ	bilah
مولر	müller
مولر	mueller
مولر	muller
اشنویه	oshnavieh
مبدا	asal
مبدا	asalnya
آذرشهر	azarshahr
رولز	rolls
رولز	gulung
آرژانتینی	argentina
آرژانتینی	argentina
کیل	kale
کیل	kiel
وقفه	sampukan
وقفه	sampukan
گواهینامه	lesen
گواهینامه	sijil
روال	rutin
فراموشی	lupa
آمینه	amino
زامبیا	zambia
تم	tam
تم	tema
فاش	reveal
فاش	dedahkan
فاش	pendedahan
ویروسی	viral
بابلی	babylon
صداهای	suara
سوسن	susan
رینگ	ring
رینگ	cincin
خطرات	risiko
هاردی	hardy
مخالفین	pertentangan
گوزن	moose
گوزن	rusa
گوزن	karibu
نیومن	newman
نیومن	neumann
دورتموند	dortmund
الیاس	elijah
الیاس	ilyas
الیاس	elias
لیزری	laser
پاداش	bonus
پاداش	rewards
پاداش	ganjaran
پاداش	pahala
پاداش	ganjaran
پاداش	reward
نفرین	sumpahan
نفرین	kutukan
نفرین	mencarut
لمس	touch
لمس	sentuhan
لمس	sentuh
لمس	touching
لمس	menyentuh
لمس	terharu
لمس	touched
لمس	tersentuh
سوئیسی	switzerland
سوئیسی	swiss
واگذاری	delegasi
کارن	karen
مهندسین	jurutera
جعفرآباد	jafarabad
قشر	korteks
طاووس	merak
طاووس	merak
اسکلت	chassis
اسکلت	casis
اسکلت	rangka
پدربزرگ	atok
پدربزرگ	datuk
پدربزرگ	atuk
پدربزرگ	datuk
گروپ	berkumpulan
گروپ	group
گروپ	kumpulan
انحصار	monopoli
منجمد	frozen
منجمد	beku
فواصل	sela
فلامینگو	flamingo
خدایی	allah
سیار	mobile
سیار	bimbit
پادگان	garrison
گرمایش	pemanas
گرمایش	pemanasan
خلاقیت	kreativiti
خلاقیت	kreatif
اسپورتینگ	sporting
امریکایی	american
امریکایی	amerika
بارون	baron
بارون	hujan
بیکر	baker
بروسیا	borussia
گی	gay
تهمت	defamation
تهمت	fitnah
تهمت	fitnah
تهمت	fitnah
تاسیسات	kemudahan
تاسیسات	fasiliti
بلوچ	baloch
آبیلا	ávila
مخازن	repositori
حسگر	penderia
حسگر	sensor
مستعمره	colony
مستعمره	jajahan
بودا	buda
بودا	buddha
حجازی	hijazi
مکاتب	communicator
صاریغ	possum
صاریغ	oposum
خودگردان	autonomi
قسطنطنیه	constantinople
ایمن	aman
ایمن	ayman
ایمن	amani
ایمن	secure
ایمن	eamon
جفرسون	jefferson
کاوشگر	kuar
کاوشگر	lander
کاوشگر	penjelajah
کاوشگر	peneroka
کاوشگر	explorer
ویرانی	merosakkan
ویرانی	kemusnahan
غده	tumor
غده	kelenjar
بروک	brooke
بروک	brook
یزید	yazid
کاله	kalle
کاله	calais
مرمر	marble
مرمر	marmar
مقاصد	niat
مقاصد	destinasi
زیارتگاه	kuil
گراد	grad
سنتور	sentora
انعقاد	penggumpalan
توفیق	bantuan
رکن	pillar
پاسخگویی	jawapan
پاسخگویی	respon
جنسیتی	jantina
گیلبرت	gilbert
پدرو	pedro
تریلر	ngeri
تریلر	thriller
تریلر	trailer
تریلر	treler
چاک	chuck
ضلعی	quadrilateral
خوک	khinzir
خوک	khinzir
خوک	babi
بازوی	lengan
دوازدهمین	twelfth
مدیاویکی	mediawiki
بیداری	terjaga
جامی	cups
جامی	piala
جامی	cup
جامی	cawan
نیکون	nikon
اکبرآباد	akbarabad
بازتابی	flashbacks
آری	yea
آری	aye
تزئینات	hiasan
شوهرش	suaminya
شوهرش	suami
کالین	colin
برونو	bruno
مارپیچی	pilin
باخ	bach
قذافی	gaddafi
مونتاژ	montaj
گمنام	anonymous
گمنام	awanama
ناراحتی	sedih
ناراحتی	sad
محبت	kebaikannya
محبت	kebaikan
همخوانی	ketekalan
باک	buck
باک	bak
باک	bock
کارا	kara
کارا	cara
جنبشی	kinetik
وبا	taun
جهانگردان	penjelajah
جهانگردان	peneroka
آستوریاس	asturias
تزئین	hiasan
تزئین	hias
تزئین	menghias
تزئین	menghiasi
پیشوند	awalan
بیهوشی	bius
بیهوشی	blackout
شایان	cheyenne
نیایش	penyembahan
نیایش	doa
انصراف	tamatkan
انصراف	quit
بیشه	aikah
بیشه	bisheh
کلامی	lisan
کلامی	linguistik
تناقض	paradox
تناقض	kontradiksi
قضائیه	kehakiman
تعطیلی	matikan
تعطیلی	shutdown
لیندا	linda
لیندا	lynda
قسم	menyumpah
قسم	sumpah
کمبوجیه	cambyses
آرم	lengan
دلاور	delaware
اتصالات	sambungan
اتصالات	etisalat
فراخوانی	saman
فراخوانی	menelefon
فراخوانی	memanggil
فراخوانی	calling
اسیدی	acidic
اسیدی	asam
اسیدی	asid
بیکاری	pengangguran
فلفل	pepper
فلفل	lada
هاپکینز	hopkins
مگس	lalat
کالاها	komoditi
کالاها	barangan
لیبریا	liberia
لیبریا	liberian
محو	kabur
محو	blur
لای	lai
لای	lay
پنجشنبه	thu
پنجشنبه	khamis
بقای	survival
نامیبیا	namibia
سورینام	suriname
کمدین	pelawak
جن	jen
جن	jenn
عذرخواهی	kemaafan
میکس	mix
میکس	campuran
میکس	campur
میکس	campurkan
یوهانس	johannes
بذر	biji
بذر	benih
بذر	semai
بذر	seed
بذر	biji
بذر	benih
عملگر	operator
تکن	tekken
فرصتی	peluang
فرصتی	kesempatan
اخطار	notification
اخطار	makluman
اخطار	pemberitahuan
اخطار	pemakluman
اخطار	amaran
اخطار	warning
بخارست	bucharest
حباب	buih
حباب	gelembung
حباب	bubble
حباب	buih
حباب	gelembung
پالس	denyutan
پالس	nadi
پالس	denyut
گرانت	grant
گرانت	hibah
گرانت	geran
هیلاری	hillary
هیلاری	hilary
بهاری	spring
مزدا	mazda
نقدهای	semakan
تفریح	rekreasi
گان	gunn
نرگس	narcissus
نرگس	nargis
سبزی	sabzi
سبزی	berkhasiat
کپنهاگ	copenhagen
کارولین	caroline
صدمه	kerosakan
صدمه	sakit
صدمه	terluka
شارژ	cas
شارژ	caj
شارژ	charge
شارژ	libas
شارژ	dicaj
شارژ	dicas
شارژ	mengecas
شارژ	didakwa
خنده	gelak
خنده	gelak
خنده	ketawa
ملایم	gentle
ملایم	lembut
ملایم	soft
ملایم	lembut
ارسنجان	arsanjan
ییلاق	countryside
ییلاق	country
ییلاق	negara
مایا	maya
اشتوتگارت	stuttgart
چنگیز	genghis
کلاله	kalaleh
لانه	sarang
لانه	den
منسوخ	outdated
منسوخ	usang
منسوخ	lapuk
سانسکریت	sanskrit
محکومیت	convictions
امتیازات	keistimewaan
استعمال	penggunaan
استعمال	kegunaan
محفوظ	terlindung
محفوظ	dilindungi
محفوظ	dikekalkan
شبح	phantom
شبح	ghost
شبح	hantu
دورانی	salutan
انگل	engel
انگل	parasit
انگل	parasit
فروشنده	pengeluar
فروشنده	pembekal
کمیل	camille
کمیل	kamil
تانسور	tensor
منظره	landskap
منظره	lanskap
واتیکان	vatican
گریس	grace
اتلتیک	athletic
اتلتیک	atlit
موضوعاتی	topik
آیدین	aydın
سالمندان	nursing
سالمندان	jururawat
سالمندان	kejururawatan
سالمندان	penyusuan
ماموران	pegawai
ماموران	perwira
روحیه	morale
روحیه	moral
عشقی	love
عشقی	cinta
موجودیت	entiti
مارکسیست	marxist
تدبیر	plan
سفال	tembikar
رودریگز	rodriguez
رودریگز	rodrigues
رودریگز	rodríguez
ریس	reese
ریس	rhys
ریس	reiss
بشریت	kemanusiaan
کوهن	cohn
کوهن	cohen
کوهن	kohn
فیجی	fiji
سمرقند	samarkand
هانتر	pemburu
هانتر	hunter
مارینو	marino
پناهنده	penyeludupan
رزرو	booking
رزرو	reserved
رزرو	tempahan
رزرو	reservation
رزرو	tempahan
رزرو	rizab
یخبندان	glasier
یخبندان	ais
متقارن	simetri
رابینسون	robinson
کویینز	queens
بخواند	panggilan
بخواند	calls
ملودی	melodi
ملودی	melody
اسبق	awalan
فخرالدین	fakhruddin
زیربخش	subbahagian
ریاض	riyadh
مکزیکو	mexicali
وحی	wahyu
دلو	baldi
دلو	aquarius
مهرآباد	mehrabad
ضخیم	tebal
کربنات	karbonat
انقباض	kontraksi
انقباض	pengecutan
انقباض	pengecutan
انقباض	contraction
شفت	shaft
سوفیا	sofia
بوانات	bavanat
امیدوار	berharap
بتی	betty
دستورالعمل	resipi
دستورالعمل	resepi
دستورالعمل	arahan
خلیلی	khalili
بیعت	kesetiaan
منتسب	dugaan
محتوی	kontena
معصوم	innocent
کارتون	karton
کارتون	kartun
کارتون	cartoon
کارتون	kartun
آموخته	diajar
دربی	derby
گرامر	tatabahasa
سپیده	subuh
سپیده	fajar
نیکو	niko
نیکو	nico
بخت	meramal
بخت	keberuntungan
بخت	fortune
هاله	halle
هاله	aura
هاله	halo
بهنام	behnam
بهنام	pemakan
بهنام	eater
توری	kekisi
توری	grid
بنویسد	tulis
همسران	isteri
قراردادهای	mengecut
قراردادهای	kontrak
قراردادهای	protokol
هوندا	honda
دیداری	visual
آتی	futures
بهای	harga
بهای	price
آیفون	iphone
گیلاس	cherry
گیلاس	ceri
ارکان	pillar
ارکان	erkan
گزاره	dalil
شایستگی	berkelayakan
شایستگی	layak
شایستگی	merit
مشتقات	terbitan
اسکای	skye
اسکای	sky
اسکای	langit
سنگر	bunker
تصدی	komisen
تصدی	suruhanjaya
تصدی	commission
همجوار	contiguous
بروجن	borujen
موجی	ombak
موجی	lambai
موجی	wave
موجی	gelombang
موجی	gelombang
موجی	ombak
کارآمد	cekap
انعطاف	anjal
انعطاف	fleksibel
ادارات	pejabat
ردیابی	penyurihan
ردیابی	tracking
ردیابی	menjejaki
ردیابی	penjejakan
ردیابی	pengesanan
ردیابی	penjejak
ردیابی	surih
ردیابی	jejak
ماهانه	bulanan
قدیس	saint
تهی	kekosongan
تهی	kosong
رفیع	tinggi
رفیع	rafi
نگاشت	peta
جمجمه	tengkorak
عطار	attar
سوزن	jarum
سوزن	jarum
بنادر	pelabuhan
بنادر	port
جوزپه	giuseppe
اعتدال	kesederhanaan
اعتدال	ekuinoks
پذیرایی	penginapan
پذیرایی	penerimaan
پذیرایی	persandingan
پذیرایی	reception
پذیرایی	resepsi
پذیرایی	hiburan
پذیرایی	entertainment
عروسک	dolls
عروسک	boneka
عروسک	doll
چیزها	perkara
تزیین	menghias
عجم	ajam
سلیقه	berselera
یقین	certain
یقین	tertentu
یقین	kepastian
قاطع	tegas
اریتره	eritrea
دهقان	petani
هریسون	harrison
بولونیا	bologna
حک	ukiran
حک	mengukir
انشعاب	fork
انشعاب	garfu
انشعاب	garpu
انشعاب	cawangan
وایمار	weimar
گردنه	curam
مارسل	marcel
کسر	pecahan
کسر	defisit
کسر	pecahan
عبادت	sembah
عبادت	beribadat
عبادت	beribadah
متراکم	padat
جنایات	jenayah
آئودی	audi
ترمینال	terminal
شبستر	shabestar
نامحدود	infinite
نامحدود	unlimited
سرنگون	menggulingkan
آپاچی	apache
مشروط	kontingen
عرضی	landskap
عرضی	lanskap
ذرت	jagung
بدانید	tau
بدانید	kenali
بدانید	tahu
وبر	weber
سرودن	gubah
تعاونی	koperasi
تکنیکی	teknikal
زی	zee
گسیل	pemancaran
گسیل	pancaran
داوطلبانه	sukarela
خائن	pembelot
خائن	pengkhianat
رویس	royce
گریگوری	gregory
کنراد	conrad
چکاوک	lark
بالتیک	baltik
آیوی	ivy
راجرز	rogers
میرسد	menjangkau
میرسد	mencapai
ادوین	edwin
رنگهای	warna
هسن	hesse
یونس	younes
یونس	yunus
یونس	yunus
یونس	younis
همسایگی	kejiranan
همسایگی	kejiranan
راو	mentah
راو	raw
آهسته	berbisik
آهسته	slow
آهسته	perlahan
زاگرب	zagreb
نوی	neu
نیکول	nicole
گوگ	gogh
فری	feri
فری	ferry
فری	frey
فری	fray
تقطیر	penyulingan
سرنگونی	menggulingkan
آلتو	alto
نیکلای	nikolai
نیکلای	nikolai
رؤیا	roya
رؤیا	mimpi
رؤیا	dream
اهدای	penderma
پرل	pearl
پرل	mutiara
پرل	perl
رفیق	dude
رفیق	rakan
لیو	liv
بدانند	tau
بدانند	kenali
بدانند	tahu
عظمت	kemegahan
عظمت	grandeur
عظمت	kehebatan
عظمت	kebesaran
مناظره	debat
مناظره	berdebat
مناظره	perbahasan
مناظره	perdebatan
میکرو	micro
میکرو	mikro
ادراک	persepsi
تاب	berayun
تاب	ayunan
تاب	swing
ناتینگهام	nottingham
بیاورید	bawa
بیاورید	bawak
صمیمی	intim
زینب	zainab
زینب	zeynep
قربان	sir
قربان	tuan
قربان	encik
سوءاستفاده	menyalahgunakan
سوءاستفاده	penyalahgunaan
سوءاستفاده	penderaan
سوءاستفاده	penyalahgunaan
جنوا	genoa
گنگ	geng
مچ	pergelangan
یخی	fros
یخی	ais
قحطی	kebuluran
