முன்னோர்கள்	пращурів
எதிர்பார்த்த	очікувані
எதிர்பார்த்த	очікувалося
வடிகட்டி	фільтрувати
வடிகட்டி	фільтр
நுட்பங்களை	методику
நுட்பங்களை	експериментувати
நுட்பங்களை	методики
சூத்திரங்கள்	формули
புனல்	лійка
துவங்குகிறது	починає
துவங்குகிறது	починається
துவங்குகிறது	запускає
துவங்குகிறது	стартує
துவங்குகிறது	починаючи
துவங்குகிறது	починається
துவங்குகிறது	початок
துவங்குகிறது	починаються
துவங்குகிறது	запуск
தீவிரவாதி	терорист
தீவிரவாதி	терористичних
தீவிரவாதி	терориста
பிளாக்பெர்ரி	blackberry
ஆதரிக்கிறது	підтримує
தந்தைக்கு	батька
தந்தைக்கு	батько
தந்தைக்கு	батьку
தந்தைக்கு	отець
கொங்கணி	конкані
மதியம்	полудень
இம்மானுவேல்	іммануїл
இம்மானுவேல்	еммануель
லோபஸ்	лопес
லோபஸ்	лопес
ஹாலே	галле
பழங்குடியின	аборигенів
வலைப்பூ	блог
பெங்காலி	бенгальська
காற்றியக்கவியல்	аеродинаміка
படகில்	пором
சுரங்கங்கள்	тунелів
சுரங்கங்கள்	тунелі
ஏகாதசி	екадаші
போற்றப்படுகிறது	обожнювали
அழுத்தி	компресор
பழுது	ремонту
பழுது	ремонт
பழுது	ремонт
மௌலானா	медичний
அறுகோண	гексагональні
ஊஞ்சல்	swing
பைபிள்	біблія
அடியார்கள்	слуги
தோற்றங்கள்	зображення
தோற்றங்கள்	зображень
புன்னகை	посмішка
புன்னகை	усмішка
சைரஸ்	cyrus
கால்களை	ніжки
கால்களை	ноги
பரிமாணம்	вимір
இவான்	іван
இவான்	іванко
இவான்	еван
அரபிக்	арабський
லில்லி	ліллі
லில்லி	лілі
லில்லி	лілія
வார்த்தைகளை	слів
வார்த்தைகளை	слова
முன்பதிவு	бронювання
முன்பதிவு	розкладка
முன்பதிவு	резервна
முன்பதிவு	резерв
முன்பதிவு	резервний
முன்பதிவு	заповідник
குறிப்பிடவில்லை	зазначені
குறிப்பிடவில்லை	вказано
குறிப்பிடவில்லை	вказана
குறிப்பிடவில்லை	зазначений
குறிப்பிடவில்லை	вказаний
எடையை	вагу
எடையை	вага
பராமரிக்க	утримати
பராமரிக்க	підтримання
பராமரிக்க	зберігати
பராமரிக்க	підтримувати
கியூரி	кюрі
கட்டமைக்கப்பட்ட	структурне
பிரெட்	бретт
பிரெட்	фред
பாரா	бара
பாரா	para
அவளின்	her
அவளின்	нею
அவளின்	її
அவளின்	їй
சுறா	акули
சுறா	акула
கொம்புகள்	horns
அகராதிகள்	словників
அகராதிகள்	словники
அணிய	носи
அணிய	ношу
அணிய	носити
உருகுவே	уругвай
நிபந்தனை	умова
அச்சுப்பொறிகள்	принтери
அச்சுப்பொறிகள்	принтерів
பின்னம்	частка
பின்னம்	дріб
பின்னம்	точність
பின்னம்	дробів
மீட்டரில்	безодня
போராடினார்	билися
போராடினார்	бився
போராடினார்	воював
போராடினார்	боролися
போராடினார்	воювали
டேல்	дейл
எஸ்டேட்	майно
பாண்டு	панду
ஓடை	потік
ஓடை	струмок
எந்திர	оброблення
ஊற்று	фонтан
விளையாடுபவர்	гравця
விளையாடுபவர்	програвач
விளையாடுபவர்	гравець
விளையாடுபவர்	гравців
விளையாடுபவர்	гравці
விமானத்தை	літак
விமானத்தை	площина
வெங்காயம்	цибулю
வெங்காயம்	цибулею
வெங்காயம்	цибулі
விசைகள்	клавіші
விசைகள்	ключі
விசைகள்	гачок
விசைகள்	задіяти
விசைகள்	прицілом
விளையாடுகிறார்	грає
விளையாடுகிறார்	програвання
விளையாடுகிறார்	відтворення
பலரை	обрали
பலரை	вибрав
பலரை	обрав
பலரை	вибрала
அழிப்பு	чистка
நுண்ணுயிரியல்	мікробіологія
அன்றாடம்	щоденне
அன்றாடம்	щоденно
அன்றாடம்	щодня
அன்றாடம்	щоденні
சக்கரங்கள்	колеса
நிவாரணம்	рельєф
நிவாரணம்	полегшенням
நாடா	стрічку
நாடா	стрічка
நாடா	плівка
நாடா	стрічки
சுருக்கி	стисненням
முகாமில்	кемпінг
குறைந்துள்ளது	зменшити
மாலிப்டினம்	молібден
தீர்ப்பை	причому
வைத்திருந்தது	зберегла
தோ	tho
முகவரியை	адреса
முகவரியை	звертайтеся
முகவரியை	адресу
வோல்ட்	volt
பைன்	сосна
வாரன்	воррен
நிறுவுதல்	встановлення
டவர்	вежа
டவர்	tower
டவர்	башта
தனியுரிமை	приватність
தனியுரிமை	конфіденційність
தனியுரிமை	конфіденційності
அணிவகுப்பு	парад
ஆன்டர்சன்	андерсон
கேமரா	камера
கேமரா	фотоапарат
கேமரா	камери
இறுதியான	фінал
இறுதியான	остаточний
இறுதியான	final
இறுதியான	ultimate
போக்குகள்	тренди
போக்குகள்	тенденції
உணரப்பட்டது	зрозуміла
சாலமன்	соломон
சாலமன்	соломона
மட்டை	bat
கார்ட்டூன்	мультик
கார்ட்டூன்	мультфільмів
சிகரெட்	цигарки
சிகரெட்	сигарета
சிகரெட்	сигарету
சிகரெட்	сигарети
சிகரெட்	цигарки
சிகரெட்	сигарети
வேன்	van
வேன்	ван
வேன்	фургон
மூத்தவர்	старший
மூத்தவர்	сеньйор
வெண்ணெய்	масло
முயற்சிக்கும்	спроб
முயற்சிக்கும்	намагається
மரியாள்	магдалена
சிங்கர்	співак
சிங்கர்	співачка
சிங்கர்	співака
மனோ	mano
நிழல்கள்	тіні
ஆர்சனல்	арсенал
வின்ஸ்டன்	вінстон
புதுப்பிக்கப்பட்டது	оновлено
புதுப்பிக்கப்பட்டது	оновлений
புதுப்பிக்கப்பட்டது	оновлені
அனிமேஷன்	анімація
அனிமேஷன்	анімаційний
அனிமேஷன்	анімаційна
அனிமேஷன்	аніме
தேரை	жаба
தேரை	ропуха
மூவி	фільм
மூவி	кіно
கொள்வனவு	покупки
கொள்வனவு	шопінг
பேரிடர்	катастрофа
எறும்புகள்	мурахи
தட்டி	кран
உபயோகம்	користування
உபயோகம்	використання
உபயோகம்	утиліта
மெழுகு	віск
வெளிப்புறம்	зовнішня
ஹாக்	яструб
ஹாக்	hawk
ஹாக்	гоук
காய்ந்த	сухий
காய்ந்த	суха
காய்ந்த	сухо
காய்ந்த	сухе
காய்ந்த	сухі
பயங்கரவாத	жах
பயங்கரவாத	терор
செயற்பட	функціональні
செயற்பட	функціональна
சொத்துரிமை	власники
சொத்துரிமை	належність
சொத்துரிமை	власник
சொத்துரிமை	власність
ஹான்ஸ்	ганс
பட்டர்	масло
ராணா	rana
அனுபவத்தை	досвід
ஆசான்	наставник
பாராட்டும்	любителів
குறைந்தளவு	консервативна
ரொனால்டோ	роналду
சக்திவாய்ந்த	потужний
சக்திவாய்ந்த	потужно
திங்கட்கிழமை	понеділок
நீளமானது	запрацювала
ஆண்குறி	пеніс
டெர்ரி	террі
படைத்தவர்	творець
படைத்தவர்	автор
படைத்தவர்	створив
மண்டேலா	мандела
கொள்கலன்	контент
கொள்கலன்	вміст
கொள்கலன்	зміст
கொள்கலன்	матеріали
கொள்கலன்	контейнер
இப்ராகிம்	ібрагім
அடிப்படைகள்	основи
கூந்தல்	шерсть
கூந்தல்	волосся
மறையும்	сховати
மறையும்	приховати
மறையும்	ховати
அருமை	фантастика
அருமை	фантастичні
அருமை	фантастична
அருமை	фантастичний
அருமை	фантастично
அருமை	розкішна
அருமை	гарно
இயங்கியல்	оперативного
இயங்கியல்	оперативна
இயங்கியல்	готовності
மகனே	сина
மகனே	сину
மகனே	син
தலையீடு	втручання
கரிய	темніший
கரிய	темні
குழப்பங்கள்	конфлікти
குழப்பங்கள்	конфліктів
குழப்பங்கள்	конфлікт
விருப்பப்படி	власний
விருப்பப்படி	особлива
விருப்பப்படி	нетипові
விருப்பப்படி	індивідуально
விருப்பப்படி	нетиповий
உள்ளடக்கங்கள்	вміст
உள்ளடக்கங்கள்	зміст
வானவில்	райдуга
வானவில்	веселка
ஓசியானியா	океанії
யாங்	ян
எட்வார்ட்	едвард
எட்வார்ட்	едуард
நகை	прикрасу
நகை	прикраси
கமிஷன்	комісія
ஆலோசனைகள்	рекомендації
ஆலோசனைகள்	пропозиції
சொந்தம்	власне
சொந்தம்	власні
சொந்தம்	власний
தொடும்	зворушлива
பாலன்	балан
ருத்ர	рудра
பாஸ்பரஸ்	фосфор
மாறிகள்	змінну
மாறிகள்	змінної
மாறிகள்	змінна
மாறிகள்	змінні
நுண்ணோக்கி	мікроскоп
ஐசக்	ісаак
வாழ்வது	живі
வெற்றிபெற்று	переміг
வெற்றிபெற்று	виграв
வெற்றிபெற்று	вон
வெற்றிபெற்று	виграли
ஓவல்	овал
சலாம்	салам
மேலாளராக	керівник
மேலாளராக	менеджер
சலுகை	пропозиція
சலுகை	пропонуємо
ரசாயன	хімічна
ரசாயன	хімічні
ரசாயன	хімічний
ஸ்வீடன்	швеція
ஸ்வீடன்	швеції
ரிஷி	ріші
லாக்	блокування
லாக்	зафіксувати
லாக்	замкнути
லாக்	заблокувати
லாக்	журнал
லாக்	лог
லாக்	log
கரோலினா	кароліна
பார்பரா	барбара
செலுத்தப்பட்டது	сплачено
செலுத்தப்பட்டது	платне
அந்தோனியார்	ентоні
அந்தோனியார்	антоні
ஸ்டாக்ஹோம்	стокгольм
புரூணை	брунею
பள்ளிக்கூடம்	школа
பள்ளிக்கூடம்	училище
ஸ்கோடா	skoda
ஸ்கோடா	škoda
வர்ணம்	намалювала
வர்ணம்	малюють
வர்ணம்	пігмент
ரோஜாக்கள்	рози
ரோஜாக்கள்	троянди
மாட்	мет
மாட்	метт
சொத்துகள்	активи
சக்	чак
பூரி	пурі
டொனால்ட்	дональд
டிரைவ்	драйв
டிரைவ்	пристрій
டிரைவ்	привід
டிரைவ்	drive
பேட்ரிக்	патрік
பாடுகிறார்	співає
பாடுகிறார்	спів
பாடுகிறார்	співати
பாடுகிறார்	співає
போயர்	бур
ஒப்பனை	макіяж
ஒப்பனை	грим
ஒப்பனை	косметика
ஒப்பனை	косметику
தாமிரம்	міді
தாமிரம்	мідь
கவனத்திற்கு	увага
ஆந்தை	сова
பிரபலங்கள்	знаменитостей
பிரபலங்கள்	знаменитості
ஜூலியா	юлія
ஜூலியா	джулія
குச்சி	палицю
குச்சி	дотримуються
இனக்குழு	національність
டாமன்	деймон
கொன்றார்	вбив
கொன்றார்	вбили
கிரியோல்	креольська
காளான்	гриб
காளான்	гриби
போதைப்பொருள்	препарати
போதைப்பொருள்	наркотик
துணிகள்	тканини
இடித்து	розбився
மதங்கள்	релігії
மதங்கள்	релігій
ஓடுகள்	плиток
ஓடுகள்	плитки
டெர்	дер
ஃபோர்ப்ஸ்	forbes
இயக்கிகள்	драйвери
இயக்கிகள்	водії
பிலடெல்பியா	філадельфія
இரங்கல்	співчуття
கடிகாரங்கள்	годинники
கடிகாரங்கள்	зацікавленість
கடிகாரங்கள்	спостерігає
ராஸ்	рос
ராஸ்	росс
எலுமிச்சை	лимон
எலுமிச்சை	lime
மனிதனும்	душу
மனிதனும்	душа
மனிதனும்	soul
மனிதனும்	душею
பதக்கங்களை	медалі
ரீட்	рід
ஆனந்தம்	радості
ஆனந்தம்	радість
மார்க்கம்	релігія
மார்க்கம்	релігії
காய்கறி	овочі
காய்கறி	овочеві
முதிர்ச்சி	погашення
வழங்கவும்	надають
வழங்கவும்	надати
ஷேன்	шейн
சிட்ரிக்	лимонна
குறும்படம்	мініатюра
குறும்படம்	ескіз
குறும்படம்	мініатюр
குறும்படம்	мініатюри
குறும்படம்	ікона
குறும்படம்	значок
சோனியா	соня
இலைகளை	листочки
இலைகளை	листя
அசுரன்	монстр
கிளாரா	клара
நிழலில்	згортання
நிழலில்	тони
நிழலில்	відтінок
நிழலில்	згорнути
அரி	арі
செயல்படுத்துகிறது	опрацювання
செயல்படுத்துகிறது	обробки
செயல்படுத்துகிறது	обробку
செயல்படுத்துகிறது	обробка
சளி	холодні
சளி	холодна
சளி	холод
சளி	холодно
சளி	холодний
கொடூரமான	жорстокий
கொடூரமான	жорстока
கொடூரமான	жорстоко
கொடூரமான	жорстокі
கொடூரமான	жорстокість
கொடூரமான	брутальний
கொடூரமான	шалена
முசோலினி	муссоліні
தூதுவர்	посол
செக்ஸ்	стать
செக்ஸ்	секс
செக்ஸ்	sex
பாலினம்	стать
பாலினம்	статі
பாலினம்	гендерна
குணப்படுத்தும்	цілющі
கைபேசி	клітинка
கைபேசி	комірки
கைபேசி	комірку
கைபேசி	клітини
கைபேசி	комірка
கைபேசி	мобільна
கைபேசி	мобільний
கைபேசி	мобільного
கைபேசி	мобільні
முரணாக	іронічно
காலாண்டு	quarterly
காலாண்டு	квартал
காலாண்டு	чверть
புலங்கள்	поля
அன்னிய	іноземних
அன்னிய	іноземні
அன்னிய	іноземний
சாஸ்திரம்	шастра
ஏறு	сходження
ஏறு	лазити
ஏறு	підйом
ஏறு	лізти
மரபை	застаріла
மரபை	спадок
புகலிடம்	притулку
புகலிடம்	притулок
எண்ணங்களை	думки
மடிப்பு	переносити
மடிப்பு	розбиття
அளவுகோல்	масштаб
அளவுகோல்	шкала
புதுப்பிக்கத்தக்க	відновлюваної
நகர்வுகள்	рухається
நகர்வுகள்	ходи
நகர்வுகள்	ходів
ஹெக்டர்	ектор
வெண்கல	бронза
குணப்படுத்த	лікують
குணப்படுத்த	вакцина
குணப்படுத்த	вилікувати
ரோல்	рол
ரோல்	roll
ரோல்	кинути
ஆல்பங்கள்	альбомів
ஆல்பங்கள்	альбоми
கெல்லி	келлі
முதுகெலும்பு	хребет
பாக்கியம்	блаженні
பாக்கியம்	благословив
பாக்கியம்	милостивий
பாக்கியம்	blessed
சிறகு	крилом
சிறகு	крило
சிறகு	крила
பட்டாணி	запашна
அங்கீகரிக்கப்பட்டது	підтверджено
அங்கீகரிக்கப்பட்டது	затверджено
ஆற்றலும்	енергія
கூட்டுக்	комбінований
ஆக்கி	процесор
கடற்படையினர்	вмс
கற்பு	доброчесність
ஈடன்	едем
கொன்றது	вбив
கொன்றது	вбили
அதிகபட்சம்	макс
அதிகபட்சம்	максимальний
அதிகபட்சம்	максимальне
அதிகபட்சம்	максимальна
அதிகபட்சம்	максимум
சுருங்கி	зменшення
சுருங்கி	зменшити
சுருங்கி	психологом
கிட்	ганебний
கிட்	git
கிட்	кіт
கிட்	kit
செய்தியாளர்	преса
செய்தியாளர்	натиснути
செய்தியாளர்	прес
செய்தியாளர்	press
செய்தியாளர்	репортер
வகுத்தது	твердим
மறியல்	пікет
சிப்	чіп
புக்கர்	букер
கேளிக்கை	відпочинок
கேளிக்கை	розваги
கேளிக்கை	entertainment
சமோவா	самоа
பந்துகள்	кульки
பந்துகள்	яйця
பந்துகள்	кульок
பருவங்கள்	сезони
குடியேற்றவாத	колонізація
வாத	жах
வாத	терор
நிலுவையில்	очікуванні
நிலுவையில்	очікує
நிலுவையில்	очікується
நிலுவையில்	затримані
யுனிக்ஸ்	unix
தொட்டில்	колиска
வாசம்	подих
துன்பங்கள்	сум
கோளம்	сфера
கோளம்	сфери
கோளம்	куля
திரையரங்கு	театр
பின்புலம்	тло
பின்புலம்	тла
பின்னோக்கி	назад
பின்னோக்கி	назад
தத்து	таб
தத்து	tab
தத்து	вкладку
தத்து	вкладка
லம்போர்கினி	lamborghini
ஆலோசனைக்	консультацію
ஆலோசனைக்	консультація
ஆலோசனைக்	консультації
தனிமையில்	наодинці
தனிமையில்	поодинці
தனிமையில்	сама
தனிமையில்	самі
தனிமையில்	самотнім
தனிமையில்	самотня
தனிமையில்	самотні
தனிமையில்	самотньо
தனிமையில்	самотність
வழிகாட்டல்	вказівки
தன்னைத்தானே	себе
பார்வைகள்	відвідувань
பார்வைகள்	відвідування
பார்வைகள்	переглядів
பார்வைகள்	погляди
பார்வைகள்	перегляди
நோக்கங்களை	наміри
பளிங்கு	marble
பளிங்கு	мармур
மனிதர்களும்	людини
மனிதர்களும்	люди
வாக்கியம்	фраза
வாக்கியம்	фразу
வாக்கியம்	речення
வாக்கியம்	вирок
சொற்பொருள்	семантичний
எதிரானது	проти
அனுப்புகிறது	відсилання
அனுப்புகிறது	надсилання
சுமேரிய	шумерська
கலந்துகொண்டார்	відвідали
கலந்துகொண்டார்	поїхала
கலந்துகொண்டார்	ходив
கலந்துகொண்டார்	поїхав
பூனைகள்	коти
பூனைகள்	кішки
வார்சா	варшавський
வார்சா	варшава
வார்சா	варшавська
புள்ளிவிவரம்	статистика
புள்ளிவிவரம்	статистикою
புள்ளிவிவரம்	статистику
புள்ளிவிவரம்	статистики
புள்ளிவிவரம்	статистика
புள்ளிவிவரம்	статистики
புள்ளிவிவரம்	статистику
புள்ளிவிவரம்	аналіз
பாஸ்கல்	паскаль
மார்க்கெட்	маркет
மார்க்கெட்	ринкова
மார்க்கெட்	ринок
மார்க்கெட்	ринку
கணங்கள்	moments
கணங்கள்	моменти
கணங்கள்	моментів
கணங்கள்	моментами
சோமாலியா	сомалі
படத்தொகுப்பு	колаж
மீனவர்	рибалки
மீனவர்	рибалок
மீனவர்	рибалка
பென்சீன்	бензен
இருக்கவும்	залишитися
இருக்கவும்	залишатися
இருக்கவும்	stay
துல்லியம்	точність
குவளை	чашці
தொழிற்சாலையில்	фабрика
ராக்கெட்	ракети
ராக்கெட்	ракета
ஆல்ப்ஸ்	альпи
இயல்பை	природа
இயல்பை	природня
வித்து	насіння
வித்து	потомство
பானங்கள்	напої
பானங்கள்	алкоголю
பானங்கள்	напої
நினைக்கும்	думаю
நினைக்கும்	think
நினைக்கும்	думайте
நினைக்கும்	згадай
நினைக்கும்	подумайте
பெயர்ச்சி	замініть
பெயர்ச்சி	заміна
பெயர்ச்சி	замінити
தற்செயலாக	випадково
சந்த்	чанд
சமத்துவம்	нейтралітет
சமத்துவம்	рівність
சமத்துவம்	доходів
நடப்பில்	постійну
நடப்பில்	триває
நடப்பில்	складну
நடனங்கள்	танці
நிபந்தனைகள்	умови
விடு	залиште
விடு	leave
விடு	залишити
விடு	крапля
விடு	викинути
விடு	скинути
விடு	кинути
தொழுகை	салах
அன்ட்ரூ	ендрю
நெருங்கி	наближається
ரேகை	довгота
பாலைவனத்தில்	пустелі
பாலைவனத்தில்	пустеля
லூசியானா	луїзіана
கரைப்பான்	розчинника
எறிந்து	зіграла
கலீபா	халіф
தந்திரம்	хитрість
தந்திரம்	трюк
தந்திரம்	аналізи
அறிவார்ந்த	розумні
அறிவார்ந்த	інтелектуальний
மதிப்பாய்வு	переглянути
மதிப்பாய்வு	рецензування
மதிப்பாய்வு	відгук
மதிப்பாய்வு	огляд
குவான்	гуань
குவான்	цюань
ஆர்எஸ்எஸ்	rss
நேர்மை	чесність
பொறாமை	заздрить
பொறாமை	заздрість
பொறாமை	ревнощів
கச்சா	грубо
கச்சா	грубий
கோட்டா	кота
வரவிருக்கும்	наступних
வரவிருக்கும்	майбутні
அவுட்லுக்	outlook
சூசன்	сьюзен
காமெடி	комедія
காமெடி	комедії
கமிட்டி	комітету
கமிட்டி	комітет
தீராத	хронічне
வைக்கோல்	крапля
இப்ராஹிம்	ібрагім
முத்துக்கள்	перли
ஆமைகள்	черепахи
அலெக்சாந்திரியா	alexandria
மென்பொருளில்	вимикає
புள்ளிவிவர	статистичні
புள்ளிவிவர	статистичних
பங்களா	котеджі
பங்களா	бангладешу
ஜூலியஸ்	юліус
ஜூலியஸ்	юлій
ஈஸ்ட்	дріжджі
பரிணாமம்	еволюція
பரிணாமம்	evolution
பங்கேற்பு	участі
பங்கேற்பு	участь
பங்கேற்பு	присутнім
சோலார்	сонячний
சோலார்	сонячне
சோலார்	сонячні
சோலார்	сонячна
மேகங்கள்	хмари
மேகங்கள்	хмар
கேம்ஸ்	ігор
கேம்ஸ்	games
கேம்ஸ்	ігри
நீரோ	nero
பூத	фізична
பூத	фізичні
பூத	фізичне
நெரிசல்	затор
வாய்க்கால்	канал
இறைவனிடம்	господь
இறைவனிடம்	господа
இறைவனிடம்	володар
இறைவனிடம்	лорд
ரொனால்ட்	рональд
கொலராடோ	колорадо
மிதவை	плаваючий
மிதவை	пливуть
முதலீட்டாளர்	інвестор
உணரிகள்	датчики
சோர்வு	втома
சோர்வு	втомився
சோர்வு	втомилися
எவரெஸ்ட்	еверест
திறக்க	відкрити
திறக்க	відкрита
திறக்க	відкрито
திறக்க	відкриті
திறக்க	відкритий
வானியற்பியல்	астрофізика
இடைவெளிகள்	простори
இடைவெளிகள்	пробіли
இரவும்	ночі
இரவும்	ніч
அத்தியாவசிய	необхідних
அத்தியாவசிய	необхідного
அத்தியாவசிய	необхідний
ஏதுமில்லை	жодного
ஏதுமில்லை	відсутнє
ஏதுமில்லை	немає
ஏதுமில்லை	жодних
ஏதுமில்லை	відсутній
முன்னோக்கி	переслати
முன்னோக்கி	вперед
முன்னோக்கி	пересилання
உணவாகும்	grub
பயன்முறை	режим
பயன்முறை	лад
பயன்முறை	mode
பெர்க்சையர்	беркшир
ஜிமெயில்	gmail
கவர்ச்சியான	сексі
சுலைமான்	сулейман
சுலைமான்	сулейман
பேழை	касета
தெருக்கள்	вулицям
தெருக்கள்	вулиць
தெருக்கள்	вуличками
தெருக்கள்	вулицями
தெருக்கள்	вулиці
ஆர்ச்சர்	арчер
கீரை	шпинату
கீரை	шпинат
ஜெப்ரி	джеффрі
சன்னி	сонячний
சன்னி	сонячно
பாதுகாக்கவும்	захищати
பாதுகாக்கவும்	захистити
பாதுகாக்கவும்	стараються
பாதுகாக்கவும்	захисти
படையணி	батальйон
மோட்சம்	відданості
சொரெஸ்	сорос
பேசுகிறது	розмовляє
பேசுகிறது	говорить
பேசுகிறது	говорячи
பேசுகிறது	speaking
ஈடுபட்டுள்ள	заручена
ஈடுபட்டுள்ள	вивели
ஏழ்மை	бідність
ஏழ்மை	бідності
ஏழ்மை	злидні
உடற்கூறு	анатомія
புவிவெப்ப	геотермальна
பயங்கர	жахливий
பயங்கர	жахливо
பயங்கர	жахливе
பயங்கர	жахлива
மேலாளர்கள்	менеджерів
மீதம்	баланс
மீதம்	залишилося
மீதம்	залишилось
மீதம்	лишилось
மீதம்	ліворуч
மீதம்	ліва
மீதம்	лівий
மீதம்	зліва
பீச்	бук
பீச்	береза
பீச்	персики
பீச்	персик
குதுப்	кутб
லுட்விக்	людвіг
நெற்றியில்	чоло
நெற்றியில்	лоб
பொறுப்பான	відповідальний
பொறுப்பான	відповідальна
கன்று	теля
கன்று	дитинча
தீவிரவாதம்	тероризм
குறுக்கீடு	переривання
குறுக்கீடு	перервати
குறுக்கீடு	завада
எள்	кунжут
வடிவமைக்க	налаштувати
மனப்பான்மை	attitude
மனப்பான்மை	ставлення
எட்ஜ்	ребро
எட்ஜ்	край
எட்ஜ்	ребра
எட்ஜ்	edge
செய்கிறான்	причинами
செய்கிறான்	причини
பிளந்து	зябрової
மாவீரன்	воїн
டொமினிக்கன்	домініканський
வாருங்கள்	come
வாருங்கள்	приходь
வாருங்கள்	приходьте
ஆன்மீகம்	духовні
மெகாடெத்	megadeth
அனைவருமே	everybody
அனைவருமே	усі
உள்நாட்டில்	локально
வியூகம்	стратегія
வியூகம்	стратегії
மாம்பழம்	манго
மாம்பழம்	mango
கழுதை	осел
வயிற்றுப்போக்கு	діарея
முஸ்தபா	мустафа
நம்பிக்கையுடன்	сподіваючись
நம்பிக்கையுடன்	сподіваюсь
நம்பிக்கையுடன்	сподіваємося
நம்பிக்கையுடன்	напевне
நம்பிக்கையுடன்	сподіваємось
கிரகம்	planet
கிரகம்	планета
தலைக்கு	head
தலைக்கு	голова
தலைக்கு	голівка
மாறிவிட்டது	змінився
மாறிவிட்டது	змінилася
மாறிவிட்டது	змінено
மாறிவிட்டது	змінений
மாறிவிட்டது	змінені
மியாமி	miami
மியாமி	маямі
பொறித்த	смажені
நிக்கோலஸ்	ніколя
நிக்கோலஸ்	миколай
நிக்கோலஸ்	ніколас
நிக்கோலஸ்	миколая
கொரில்லா	горила
நானா	nana
மோகம்	passion
மோகம்	пристрасті
மோகம்	пристрасть
தெரிவித்துக்	відвідала
தெரிவித்துக்	відвідали
தெரிவித்துக்	відвідав
தெரிவித்துக்	відвідував
கால்நடைகள்	корова
கால்நடைகள்	порода
தொலைகாட்சி	oled
ஓட்டோ	отто
நாளைய	завтра
நாளைய	tomorrow
சிர்க்கோனியம்	цирконій
சந்தர்ப்பம்	контекст
சந்தர்ப்பம்	контексту
ஆண்டர்சன்	андерсон
சிக்னல்	сигнал
மோடம்	модем
கிளென்	глен
கிளென்	гленн
விவகாரங்கள்	справ
காபூல்	кабул
அரிவாள்	серп
பேச்சாளர்கள்	спікерів
எலிகள்	миші
எலிகள்	мишей
வைன்	вина
வைன்	вино
வாடிக்கையாளரின்	клієнта
வாடிக்கையாளரின்	клієнт
பட்டினி	голоду
