prošnje	คำขอ
drugačni	ต่าง
prerok	ศาสดา
koruza	ข้าวโพด
koruza	ข้าวโพด
mao	เหมา
strasti	กิเลส
strasti	ตัณหา
kraljestev	อาณาจักร
ječo	ใต้ดิน
float	ลอยตัว
float	ลอย
dodaj	เพิ่ม
vroča	ร้อนๆ
vroča	ร้อน
vroča	hot
vodič	คู่มือ
vodič	แนวทาง
python	ไพธอน
sociologija	สังคมวิทยา
filter	กรอง
bogomir	geoffroy
časopisi	หนังสือพิมพ์
toma	toma
toma	ทอม
toma	tom
kazensko	อาชญากร
kazensko	อาชญากรรม
peking	beijing
peking	ปักกิ่ง
peking	ปักกิ่ง
cochrane	cochrane
črevo	ลำไส้
črevo	ลำไส้
črevo	ลำไส้
izdani	ทรยศ
rainer	rainer
sorodnik	สัมพันธ์
sorodnik	ญาติ
sorodnik	ญาติ
kokaina	โคเคน
ribnik	สระ
ribnik	บ่อ
bivališče	ที่พัก
bivališče	hab
ing	ing
vprašalnik	แบบสอบถาม
zdrav	สุขภาพ
florio	florio
izogibanje	เลี่ยง
protestantske	โปรเตสแตนต์
uhfffaoysa	uhfffaoysa
gostilna	ผับ
misija	ภารกิจ
misija	mission
lou	ลู
drag	แพงๆ
drag	แพง
bari	บาร์
bari	แท่ง
nevesta	bride
fia	fia
etničnih	ชาติพันธุ์
vložil	ลงทุน
topla	อบอุ่น
topla	อุ่น
izgubljeno	หลง
izgubljeno	แพ้
izgubljeno	เสีย
vožnja	ขี่
vožnja	ไดรฟ์
vožnja	ไดร์ฟ
vožnja	ขับ
vožnja	ขับขี่
potrjeno	ยืนยัน
dotik	touch
dotik	แตะ
dotik	ทัช
dotik	สัมผัส
acta	acta
predvajanje	เล่น
prilagojena	serum
premiero	ปฐมทัศน์
manjkajo	หาย
manjkajo	ขาด
bok	บก
predan	อุทิศ
predan	ทุ่มเท
predan	ทุ่มเท
komik	การ์ตูน
vatikanu	วาติกัน
pipe	แตะ
pipe	แตะ
pipe	แท็ป
težji	หนัก
dotika	แตะ
dotika	สัมผัส
dotika	ซึ้ง
lepoto	งาม
che	che
burger	burger
kaseta	เทป
masko	หน้ากาก
oglasi	โฆษณา
severn	severn
nemiri	จลาจล
nemiri	จลาจล
revni	คนจน
revni	ยากจน
sodba	ตัดสิน
tekoča	ของเหลว
tekoča	เหลว
metropolis	เมโทรโปลิส
metropolis	มหานคร
vrgli	โยน
nagy	nagy
vredna	มูลค่า
vredna	คุ้ม
vredna	คู่ควร
eksplozijo	ระเบิด
lahek	เบา
xviii	xviii
ustvarjati	สร้าง
kamere	กล้อง
uničeno	ทำลาย
korejo	เกาหลี
spremenjeno	เปลี่ยน
spremenjeno	แก้ไข
gradove	ปราสาท
izraziti	express
odbil	ricochet
učenjaki	บัณฑิต
lynn	ลิน
bagdad	แบกแดด
hal	ฮาล
bourg	bourg
stephan	stephan
čolni	เรือ
prisiljena	บังคับ
starodavnih	โบราณ
balkana	balkan
prevzem	กระบะ
siemens	เมนส์
sedel	นั่ง
zver	อสูร
zver	สู
zapuščina	มรดก
iransko	อิหร่าน
sts	sts
connor	คอนเนอร์
skorjo	เปลือก
zatekel	บวม
zatekel	บวมๆ
politop	polytope
izgnanstvo	เนรเทศ
zaviranje	เบรก
nuts	ถั่ว
konice	ทิป
konice	หนาม
stopnice	บันได
renu	โนรี
titlestyle	titlestyle
puy	puy
neuspeh	ขัดข้อง
amor	amor
peruju	เป
peruju	เปรู
peruju	เปเป
kristalno	ใส
virusne	ไวรัส
modrost	ปัญญา
modrost	ภูมิปัญญา
eskadrilja	ฝูงบิน
ring	แหวน
ring	วงแหวน
ring	ring
ring	ริง
piha	พัด
piha	ฟุ้ง
piha	เป่า
kajenje	บุหรี่
kajenje	ควัน
astronomski	ดาราศาสตร์
psevdonim	นามแฝง
aids	เอดส์
aids	เอดส์
zeitung	zeitung
mhz	เมกะเฮิรตซ์
joyce	จอยซ์
joyce	จอยส์
revolucionarne	ปฏิวัติ
aria	เรีย
strupeni	พิษ
vmesna	กลาง
hormoni	ฮอร์โมน
teatro	teatro
svež	สด
svež	สดๆ
svež	สดชื่น
kašelj	ไอ
kašelj	ไอ
plamen	ไฟ
materialno	วัสดุ
ipairs	ipairs
vrstica	เส้น
vrstica	บรรทัด
vrstica	line
vrstica	แถว
yuan	อ้วน
yuan	หยวน
rice	ข้าว
žice	ลวด
strelivo	ยุทธภัณฑ์
strelivo	กระสุน
seminar	สัมมนา
obstojnost	เสถียรภาพ
prilagojene	serum
vleče	ลาก
tobak	ยาสูบ
osnutek	ร่าง
polnim	ชาร์จ
jung	จอง
jung	จุง
dedno	กรรมพันธุ์
mia	mia
peace	สันติภาพ
peace	สันติ
peace	สันติสุข
glasove	เสียง
globalni	โกลบอล
globalni	global
načrtovan	วางแผน
kuba	คิวบา
dlake	ขน
dlake	เส้นผม
izlet	ทริป
prelom	แตกหัก
zunanjost	ภายนอก
športniki	นักกีฬา
evolucija	วิวัฒนาการ
prijetno	สวย
roussillon	roussillon
lave	ลาวา
bistvene	สำคัญ
bartolomeo	bartolomeo
vzdušje	บรรยากาศ
vzdušje	บรรยากาศ
vzdušje	อารมณ์
burke	burke
burke	เบิร์ก
bon	บอ
bon	บอน
bon	bon
einer	einer
govedo	วัว
govedo	ปศุสัตว์
koze	แพะ
fiksno	ตายตัว
fiksno	ซ่อมแซม
mgl	mgl
okrasni	ตกแต่ง
navijači	แฟนๆ
obrazec	ฟอร์ม
tomáš	tomáš
parki	สวน
najden	พบ
najden	เจอ
gian	gian
ozki	แคบ
neskončnosti	infinity
neskončnosti	อนันต์
frenchopenresult	frenchopenresult
golo	เปลือย
vrtovih	สวน
tkivih	เนื้อเยื่อ
kunst	kunst
internetni	อินเทอร์เน็ต
internetni	อินเตอร์เน็ต
michelle	michelle
precejšnje	สำคัญ
solomon	โซโลมอน
multi	หลาย
multi	มัลติ
eye	ดวงตา
eye	สายตา
eye	ตา
religij	ศาสนา
nož	มีด
krek	ร่อง
krek	ร้าว
incident	เหตุการณ์
čustvena	อารมณ์
xxii	xxii
strojna	ฮาร์ดแวร์
mecen	maecenas
grožnja	ข่มขู่
grožnja	ขู่
obveščevalna	ปัญญา
dvigalo	ลิฟท์
polji	ฟิลด์
polji	ช่อง
kolena	เข่า
kolena	เข่า
ceni	ทะนุถนอม
ceni	หวงแหน
pošteno	แฟร์
pošteno	ยุติธรรม
cima	cima
navbox	navbox
cink	สังกะสี
nevtralni	ฉนวน
preobrat	บิด
variacije	แปรผัน
variacije	แปรผัน
kir	kir
plesno	เต้นรำ
plesno	เต้น
plesalec	dancer
carinski	ศุลกากร
franche	franche
gil	กิล
debelina	หนา
sex	เพศ
sex	เซ็กซ์
sex	sex
prijazen	ชนิด
prijazen	ใจดี
prijazen	มิตร
biro	สำนักงาน
biro	สำนัก
promocija	โปรโมท
promocija	โปรโมชัน
ženskam	หญิง
ženskam	สตรี
belgijske	เบลเยียม
belgijske	เบลเยี่ยม
ustavna	รัฐธรรมนูญ
kuhinja	อาหาร
kuhinja	ทำครัว
kuhinja	ครัว
liu	หลิว
leonhard	leonhard
oper	oper
opekline	เบิร์น
arija	อารีย์
arija	อารี
hipoteza	สมมติฐาน
hipoteza	สมมุติฐาน
mvp	mvp
inženirji	วิศวกร
riž	ข้าว
ozke	แคบ
čarovnik	มายากล
günter	günter
spanje	นอน
spanje	หลับ
spanje	นอน
sophie	sophie
razum	มายด์
razum	จิต
razum	ใจ
razum	mind
razum	รังเกียจ
cvetove	กลีบ
jutra	เช้า
lucky	ลัคกี้
lucky	โชค
tramvaj	กระเช้า
tramvaj	ราง
romanja	romagna
ultra	ultra
povabi	ชวน
povabi	เชิญ
ročni	คู่มือ
magnezija	แมกนีเซียม
cenjen	มูลค่า
oddelki	ส่วน
oddelki	แผนก
kamenje	หิน
gnezda	nest
gnezda	รัง
gnezda	รัง
face	ใบหน้า
face	หน้า
face	หน้าตา
face	face
wolfram	wolfram
sekundah	วินาที
osvajanja	ชัยชนะ
prepoznati	จำ
sestanek	พบปะ
sestanek	ประชุม
kontekst	บริบท
posteljo	นอน
posteljo	ที่นอน
posteljo	เตียง
novinarji	สื่อ
novinarji	กด
bat	ค้างคาว
baterije	แบตเตอรี่
baterije	แบตเตอรี่
pobeg	หนี
kanali	ช่อง
kanali	คลอง
seštevek	ซำ
ozka	แคบ
statistike	สถิติ
steyr	steyr
springfield	สปริงฟิลด์
civilizacija	อารยธรรม
neskončna	อนันต์
prilagajanje	ดัดแปลง
naroči	ติดตาม
naroči	สมัคร
naroči	ลำดับ
nasilne	รุนแรง
štetje	จำนวนนับ
štetje	นับ
meseci	เดือน
mmc	mmc
megla	หมอก
megla	หมอก
zavetje	ที่พัก
bliže	ใกล้ๆ
bliže	ใกล้
dopušča	อนุญาต
yves	yves
pohištvo	เฟอร์นิเจอร์
zabava	สนุก
zabava	สนุกสนาน
zabava	พรรค
zabava	ปาร์ตี้
zabava	บันเทิง
mejnik	landmark
izmenjava	แลก
kost	กระดูก
metulj	ผีเสื้อ
trpel	ทรมาน
trpel	ประสบ
trpel	ทรมาน
deutschland	deutschland
hessen	hessen
odstavek	ย่อหน้า
tenis	เทนนิส
frazier	frazier
hoje	เดิน
koša	ตะกร้า
bojevnik	นักรบ
najel	เช่า
najel	จ้าง
azijski	เอเชีย
azijski	บอล
sijaj	ประกาย
sijaj	ส่อง
kolona	คอลัมน์
obnovitev	ฟื้นฟู
obnovitev	ซ่อมแซม
izstrelek	ขีปนาวุธ
togo	โตโก
opisati	บรรยาย
opisati	อธิบาย
zavarovanja	ประกัน
oranžno	ส้ม
demokratični	ประชาธิปไตย
fosfor	ฟอสฟอรัส
filipini	ฟิลิปปินส์
crystal	ใส
bloki	บล็อก
ilirija	illyria
xix	xix
distributer	จำหน่าย
grey	เทา
nemce	เยอรมัน
edinstven	เอกลักษณ์
jacky	jacky
socializem	สังคมนิยม
gruzija	จอร์เจีย
hana	ฮา
hana	ฮาน
hana	ฮัน
hana	ฮั่น
nit	ด้าย
spa	ปาส
spa	ปา
spa	สปา
odporna	ดื้อยา
zapletena	ปม
zapletena	complex
nujna	ด่วน
satelitska	ดาวเทียม
vzporedni	ขนาน
rez	กรีด
rez	คัท
rez	ตัด
najdena	พบ
najdena	เจอ
zapuščine	มรดก
hendrik	hendrik
tona	โทน
benedetto	benedetto
razkriva	เผย
rov	อุโมงค์
delnice	แชร์
delnice	หุ้น
katerekoli	ใดๆ
čila	ชิลี
vesti	สำนึก
vesti	จิตสำนึก
vesti	มโนธรรม
skupinsko	กลุ่ม
koraki	ฝีเท้า
tribune	ทริบูน
psihološka	จิตวิทยา
preveri	ยืนยัน
preveri	เช็ค
preveri	ตรวจ
sedemnajst	seventeen
nosečnost	ครรภ์
mešana	ผสม
ugodnosti	ประโยชน์
ugodnosti	ประโยชน์
ugodnosti	ข้อดี
pripravnik	ฝึกงาน
pripravnik	ฝึกงาน
pripravnik	ฝึกหัด
pripravnik	อบรม
strupena	พิษ
lupine	เปลือก
lupine	ปลอก
mame	มารดา
rakov	ปู
rakov	ปู
bunker	บังเกอร์
humor	ขัน
slovesnost	พิธีการ
slovesnost	พิธี
pijača	ดื่ม
prepovedan	แบน
italiana	italiana
fly	ฟลาย
fly	บิน
prstov	นิ้ว
kvintet	quintet
izkušnja	ประสบการณ์
kvaliteta	คุณภาพ
muzikal	มิวสิค
obkrožajo	ล้อม
castello	castello
opazila	สังเกต
moody	หงุดหงิด
spirala	เกลียว
novinarstvo	วารสารศาสตร์
izpusti	ปล่อย
izpusti	วาง
izpusti	หย่อน
izpusti	หยด
izpusti	ดรอป
izpusti	ละเว้น
nathan	ธาน
nathan	เนธาน
brskalnik	เบราว์เซอร์
paket	แพ็คเกจ
odstopi	ถอน
carinska	ศุลกากร
akademske	วิชาการ
zabavno	สนุก
zabavno	สนุกสนาน
ograje	ฟันดาบ
ograje	รั้ว
bert	เบิร์ต
pokopani	ฝัง
kriteriji	เกณฑ์
pogojno	ภาคทัณฑ์
goa	กัว
disciplino	วินัย
razvojna	พัฒนาการ
močvirje	บึง
panoga	อุตสาหกรรม
pričakovano	คาด
constantin	constantin
predstavljene	แนะนำ
spomni	ตอกย้ำ
spomni	เตือน
kristal	ใส
pomolu	ท่าเรือ
pritokov	tributaries
kant	kant
zasedanju	เซสชั่น
zasedanju	เซสชัน
subsp	subsp
deseta	tenth
stafford	stafford
absorbirajo	ซึมซับ
absorbirajo	ซึม
konteksta	บริบท
albume	อัลบั้ม
posodobitev	อัพเดต
posodobitev	อัปเดต
dlako	ขน
milost	เมตตา
milost	ปราณี
mostove	สะพาน
eduardo	eduardo
racionalno	ตรรก
dlr	dlr
polnjenje	ชาร์จ
raketo	พลุ
raketo	จรวด
obalno	ชายฝั่ง
mehanizme	กลไก
vicenza	vicenza
najljubša	ขวัญใจ
najljubša	ชอบ
debeline	หนา
taktika	กลยุทธ์
taktika	ยุทธวิธี
bakterijske	แบคทีเรีย
roe	roe
roe	โร
natura	natura
ustvarjen	สร้าง
pritrjena	แนบ
trta	องุ่น
dobrine	สินค้า
poraženi	พ่าย
imagesize	imagesize
nine	เก้า
trier	trier
odvzem	ถอน
komuniciranje	สื่อสาร
komuniciranje	สื่อสาร
plinij	pliny
izraelske	อิสราเอล
pin	pin
praktične	ปฏิบัติ
zaveznik	พันธมิตร
zevs	ซุส
zevs	ซุซุ
lastništvo	กรรมสิทธิ์
klasse	klasse
pam	pam
pam	แพม
pam	แพ
menjava	แลก
menjava	สลับ
menjava	แลก
menjava	เทรด
menjava	ค้า
vulkan	ภูเขาไฟ
borba	ต่อสู้
borba	สู้
rant	โวยวาย
upokojitev	เกษียณ
upokojitev	เกษียน
bledo	ซีด
oboževalci	แฟนๆ
plastika	พลาสติก
plastika	พลาสติก
raku	มะเร็ง
kamui	kamui
hannover	hannover
psihiater	จิตแพทย์
psihiater	หด
psihiater	จิตแพทย์
bratranca	ญาติ
geologija	ธรณีวิทยา
superpokal	supercup
kamero	กล้อง
ikone	ไอคอน
proračun	งบ
žalostna	เศร้าๆ
žalostna	เศร้า
stopinje	ปริญญา
stopinje	องศา
stopinje	ฝีเท้า
rudarstvo	เหมือง
kirk	เคิร์ก
vuk	vuk
trajne	ยั่งยืน
čevlje	รองเท้า
kava	กาแฟ
deutschen	deutschen
gekko	ตุ๊กแก
ogromna	ใหญ่
sforza	sforza
fin	fin
sevilla	sevilla
kopanje	ขุด
kopanje	อ่างอาบน้ำ
kopanje	อาบ
listje	ใบไม้
chase	เชด
chase	เชส
trden	ทึบ
trden	ของแข็ง
trden	มั่นคง
trden	solid
trden	แข็ง
grehov	บาป
pia	เพียร์
zrakoplov	อากาศยาน
dino	dino
dora	dora
ustreli	ยิง
ustreli	ถ่าย
centro	centro
nogi	ขา
nogi	ขา
rum	รัม
prekinjena	ขัดจังหวะ
prekinjena	ระงับ
inteligenca	ปัญญา
gensko	พันธุกรรม
metulji	ผีเสื้อ
drage	แพงๆ
drage	แพง
friends	เพื่อนๆ
friends	เพื่อน
udaril	ตี
udaril	ถล่ม
udaril	ชน
udaril	จีบ
predmestja	ชานเมือง
etienne	etienne
spremenjene	แก้ไข
ohišje	ปลอก
diamanti	เพชร
zbeži	วิ่ง
zbeži	รัน
zbeži	หนี
vajenec	ฝึกหัด
vajenec	อบรม
vajenec	ศิษย์
merlin	เมอร์ลิน
prednik	บรรพบุรุษ
krajšo	สั้น
šibek	อ่อนแอ
šibek	อ่อน
končano	จบ
nego	แคร์
nego	สน
nego	สนใจ
tommaso	tommaso
debata	อภิปราย
debata	โต้วาที
gmail	gmail
prage	ปราก
prage	ปราง
azijskih	เอเชีย
azijskih	บอล
kawasaki	kawasaki
kmetija	farm
kmetija	ไร่
kmetija	ฟาร์ม
plakat	โปสเตอร์
dvigala	เหิร
pisano	สีสัน
odmev	ก้อง
odmev	echo
grenoble	grenoble
opeka	อิฐ
odporni	ดื้อยา
napredno	ก้าวหน้า
napredno	ก้าวหน้า
datoteko	แฟ้ม
ikona	คอน
ikona	ไอคอน
računalnike	คอมพิวเตอร์
nevesto	bride
čebel	ผึ้ง
tragedije	โศกนาฏกรรม
mobilnih	mobile
datoteka	แฟ้ม
palestini	palestine
palestini	ปาเลสไตน์
denver	เดนเวอร์
akutno	เฉียบพลัน
dfc	dfc
uničene	ทำลาย
tipo	tipo
objektiv	เลนส์
poglej	มอง
poglej	ดู
hood	hood
opremljeno	ตกแต่ง
pripombe	หมายเหตุ
pripombe	คอมเมนท์
trend	trend
kartica	ไพ่
kartica	การ์ด
kartica	บัตร
spisek	รายการ
senca	shadow
senca	เงา
hum	ฮัม
združbe	แก๊ง
posodi	ยืม
sulejman	suleiman
pospeševanje	เร่ง
pospeševanje	ความเร่ง
kerry	kerry
dedič	ทายาท
tišina	เงียบ
vene	เส้นเลือด
vene	เส้นเลือด
podrl	ตอก
eve	อีฟ
eve	eve
strehi	หลังคา
strehi	ดาดฟ้า
virtualni	เสมือน
pmid	pmid
vlažno	ชื้น
vlažno	ชื้น
vlažno	เปียก
pljučnica	ปอดบวม
dotok	inflow
sepc	sepc
indonezija	อินโดนีเซีย
vstajenje	คืนชีพ
jud	ยิว
mergedtoprow	mergedtoprow
schleswig	schleswig
usmrtitev	ประหาร
nalaganje	โหลด
nalaganje	อัพโหลด
legendarni	ตำนาน
častna	เกียรติ
častna	เกียรติยศ
plastičnih	พลาสติก
zgradi	สร้าง
curie	curia
bae	เบ
bae	เบเบ
bae	ที่รัก
bae	เบย์
bae	เบย
dopust	ทิ้ง
dopust	holiday
krsta	โลง
gregorio	gregorio
pritožbe	บ่น
pritožbe	อุทธรณ์
ločitve	หย่า
australianopenresult	australianopenresult
ujetniki	นักโทษ
ujetniki	เชลย
beton	คอนกรีต
audi	audi
predlagano	แนะ
predlagano	แนะนำ
verjeti	เชื่อ
jabolka	แอ๊ปเปิ้ล
jabolka	แอปเปิล
jabolka	เปิ้ล
jabolka	แอปเปิล
jabolka	apple
nadarjenost	พรสวรรค์
komentarjev	หมายเหตุ
komentarjev	คอมเมนท์
postojanke	นิคม
umetnega	เทียม
umetnega	ประดิษฐ์
zori	รุ่งอรุณ
pad	ผัด
pad	pad
trajna	ทนทาน
trajna	ถาวร
trajna	ดัด
trajna	ยั่งยืน
trde	แรง
trde	โหม
trde	ลำบาก
trde	หนัก
trde	ฮาร์ด
trde	ยาก
marinci	นาวิก
praha	ฝุ่น
moses	โมเสส
pridelkov	พืชพันธุ์
pridelkov	พืช
banks	ธนาคาร
banks	แบงค์
josh	จอช
zajček	กระต่าย
zajček	บัน
zajček	กระต่าย
much	มาก
much	มากมาย
školjke	หอย
najem	เช่า
najem	จ้าง
najem	เช่า
najem	เช่า
najem	เช่า
seje	ประชุม
seje	เซสชั่น
seje	เซสชัน
moralni	คุณธรรม
vela	vela
pregrade	อุปสรรค
piko	ดอท
piko	dot
piko	จุด
mainsnak	mainsnak
predvideval	สันนิษฐาน
mongoliji	มองโกเลีย
ograjo	รั้ว
vpleten	เกี่ยวข้อง
specializirane	เชี่ยวชาญ
ole	ole
vrtove	สวน
smeti	ขยะ
smeti	ขยะ
currentclub	currentclub
banda	แก๊ง
sužnje	บ่าว
sužnje	ทาส
ascari	ascari
lama	llama
navada	นิสัย
rebra	ซี่โครง
rebra	ซี่โครง
mallory	mallory
randy	randy
candy	ลูกอม
candy	candy
candy	ขนม
propagando	โฆษณาชวนเชื่อ
paše	พอดี
aix	aix
molk	เงียบ
tempo	จังหวะ
taktike	กลยุทธ์
taktike	ยุทธวิธี
proizvodi	สินค้า
proizvodi	ผลิตภัณฑ์
stolpec	คอลัมน์
simbole	สัญลักษณ์
swing	แกว่ง
swing	สวิง
swing	เหวี่ยง
kritičen	วิกฤติ
kritičen	วิกฤต
västerås	västerås
honorij	honorius
peščena	ทราย
azijske	เอเชีย
azijske	บอล
realnost	เรียลลิตี้
mein	mein
dizajn	ดีไซน์
dizajn	ออกแบบ
krik	กรี๊ด
tekmovalni	แข่งขัน
gate	เกต
gate	เกท
komercialna	พาณิชย์
komercialna	โฆษณา
etiopiji	เอธิโอเปีย
kožuh	ขน
spomnil	จดจำ
neale	neale
pasivno	passive
gay	เกย์
gay	gay
ags	ags
čeljusti	กราม
čeljusti	ราม
preskus	สอบ
preskus	ทดสอบ
duhov	ผี
zlat	golden
zlat	โกลเด้น
zlat	ทองคำ
zlat	ทอง
zlat	โกลด์
zlat	ทองคำ
zrcalo	กระจกเงา
zrcalo	กระจก
boben	กลอง
xbox	xbox
karto	ตั๋ว
karto	ใบสั่ง
karto	บัตร
okrepitve	สำรอง
num	num
verovanja	ศาสนา
duši	วิญญาณ
duši	สำลัก
droga	dope
utrip	ชีพจร
bencin	น้ำมัน
bencin	แก๊ส
bencin	ก๊าซ
bencin	น้ำมัน
bencin	เบนซิน
bencin	น้ำมัน
tragično	สลด
rasa	แข่ง
mix	ผสม
mix	มิกซ์
jemanje	การพา
meščan	พลเมือง
dodani	เพิ่ม
starodavna	โบราณ
arg	arg
kozje	แพะ
cvetka	blossom
kampanja	campania
kampanja	แคมเปญ
liberalni	เสรีนิยม
trajnostni	ยั่งยืน
fosforja	ฟอสฟอรัส
leiden	leiden
kazenskih	อาชญากร
kazenskih	อาชญากรรม
bloch	bloch
vrv	เชือก
zanke	ลูป
zanke	ลูป
zanke	วน
nadja	nadja
mineralnih	แร่
tajska	ไทย
tajska	thailand
tajska	ประเทศไทย
tajska	ไทย
utype	utype
violine	ไวโอลิน
maslo	เนย
vezano	มัด
prodana	ขาย
burmi	พม่า
reese	รีซ
reese	รีส
bik	กระทิง
krave	วัว
ego	อัตตา
oglje	ถ่าน
želodec	ท้อง
želodec	กระเพาะ
velikan	ยักษ์
velikan	colossus
kralje	กษัตริย์
kralje	ราชา
podaljša	ขยาย
velikanski	ยักษ์
opravljeno	จบ
liststyle	liststyle
lance	ทวน
emanuele	emanuele
kačo	งู
počasno	ชะลอ
počasno	ช้า
počasno	ช้าๆ
agglomération	agglomération
cola	โคล
platforme	แพลตฟอร์ม
povišanje	เพิ่ม
sodna	ตุลาการ
helikopterja	เฮลิคอปเตอร์
gala	กาลา
predsedniki	ประธานาธิบดี
demospace	demospace
menjalnik	เกียร์
impulz	ชีพจร
podzemna	ใต้ดิน
kroge	วงกลม
midi	midi
dokumentacija	เอกสาร
obvladovanje	ควบคุม
obvladovanje	คอนโทรล
mrež	ตาข่าย
tech	เทค
tech	เทคโนโลยี
listclass	listclass
slepe	บอด
slepe	ตาบอด
magnezij	แมกนีเซียม
pic	รูป
deutsch	deutsch
glav	หัว
glav	head
kay	เคย์
skromen	เจียม
skromen	ถ่อม
kraljevsko	รอยัล
kraljevsko	ราชวงศ์
