மற்றும்	och
புதிய	nyhet
புதிய	nya
புதிய	nytt
புதிய	färskt
புதிய	färsk
புதிய	fräsch
புதிய	färska
அவரது	hans
அவரது	hennes
அவரது	her
அவரது	henne
மொத்தம்	totalt
மொத்தம்	sammanlagt
மொத்தம்	total
மொத்தம்	totala
மொத்தம்	summa
இவை	dessa
சிறந்த	jättebra
சிறந்த	härligt
சிறந்த	toppen
சிறந்த	bästa
சிறந்த	bäst
சிறந்த	förträffligt
சிறந்த	utmärkt
அரசு	regering
அரசு	regeringen
வசதிகள்	anläggningar
வசதிகள்	faciliteter
இந்தியா	indiska
இந்தியா	india
இந்தியா	indiskt
இந்தியா	indien
பெரிய	jättebra
பெரிய	härligt
பெரிய	toppen
பெரிய	big
பெரிய	stora
பெரிய	stor
பெரிய	stort
பெரிய	large
பெரிய	stora
பெரிய	stor
பெரிய	stort
ஊரக	landsbygd
ஊரக	landsbygdens
நாள்	dag
நாள்	dagen
நாள்	day
பிறப்பு	generiska
பிறப்பு	generiskt
பிறப்பு	generisk
பிறப்பு	född
பிறப்பு	born
பிறப்பு	födda
பிறப்பு	födelse
பிறப்பு	födsel
பிறப்பு	födseln
பிறப்பு	luckan
பிறப்பு	lucka
பிறப்பு	hatch
இருந்தது	var
முக்கிய	huvudsakliga
முக்கிய	main
முக்கிய	huvudsaklig
முக்கிய	viktigaste
முக்கிய	viktiga
முக்கிய	viktig
முக்கிய	viktigt
பல்வேறு	sort
பல்வேறு	variation
பல்வேறு	diverse
பல்வேறு	olika
இருந்த	var
திரைப்படங்கள்	filmer
பிற	annan
பிற	övrig
பிற	övriga
பிற	andra
பிற	övrigt
பிற	annat
அவர்கள்	dem
அவர்கள்	dom
அவர்கள்	de
அவர்கள்	dom
மொழி	språket
மொழி	språk
முறை	metoden
முறை	metod
முறை	förfarandet
முறை	procedur
முறை	förfarande
முறை	läge
கோயில்	templet
கோயில்	tempel
கோயில்	temple
விருது	utmärkelse
விருது	tilldelning
பொதுவாக	allmän
பொதுவாக	allmänna
பொதுவாக	allmänt
அக்டோபர்	oktober
அக்டோபர்	okt
செய்து	engagerad
செய்து	begått
செய்து	engagerade
செய்து	engagerat
தன்	hans
தன்	kastar
தொடர்ந்து	behåll
தொடர்ந்து	keep
இரண்டாம்	sekund
இரண்டாம்	andra
இரண்டாம்	sekundära
இரண்டாம்	sekundär
இரண்டாம்	sekundärt
சென்னை	chennai
வரும்	komma
வரும்	kommer
மே	may
மே	maj
ஒவ்வொரு	varenda
ஒவ்வொரு	varje
ஒவ்வொரு	varje
ஒவ்வொரு	vardera
மட்டுமே	bara
மட்டுமே	enbart
மட்டுமே	endast
வரலாறு	historia
வரலாறு	historik
வரலாறு	historiken
பகுதியில்	area
பகுதியில்	område
பகுதியில்	området
பகுதியில்	yta
நூல்கள்	böcker
சேர்ந்த	tillhörighet
பின்	fästa
பின்	fäst
பின்	stift
பின்	pin
பின்	efteråt
பின்	after
பின்	efter
பின்	tillbaks
பின்	tillbaka
பின்	bakåt
பின்	rygg
பின்	backa
இல்லை	inte
இல்லை	ej
நவம்பர்	november
அதிக	high
அதிக	höga
அதிக	hög
அதிக	högt
காலத்தில்	perioden
காலத்தில்	period
காலத்தில்	tidsperiod
மிக	mycket
மிக	tandvärk
நான்கு	fyra
பிறகு	sedan
பிறகு	sen
பிறகு	då
பிறகு	senare
பிறகு	efteråt
பிறகு	after
பிறகு	efter
அரசியல்	politik
அரசியல்	politiker
அரசியல்	politisk
அரசியல்	politiska
அரசியல்	politiskt
பகுதி	partiell
பகுதி	partiella
பகுதி	delvis
பகுதி	partiellt
பகுதி	area
பகுதி	område
பகுதி	området
பகுதி	yta
பகுதி	region
பகுதி	regionen
பகுதி	delen
பகுதி	del
பகுதி	segmentet
பகுதி	segment
பற்றி	ungefär
ஆறு	sexa
ஆறு	six
ஆறு	sex
ஆறு	river
ஆறு	floden
ஆறு	flod
மீண்டும்	igen
மீண்டும்	återigen
இங்கிலாந்து	england
காலம்	årstid
காலம்	säsong
காலம்	säsongen
காலம்	perioden
காலம்	period
காலம்	tidsperiod
காலம்	tid
காலம்	tidpunkt
காலம்	dags
காலம்	klockslag
காலம்	tiden
நிலை	ställning
நிலை	position
நிலை	ståndpunkt
நிலை	befattning
நிலை	stat
நிலை	statliga
நிலை	delstat
நிலை	statligt
நிலை	nivå
நிலை	level
ஒரே	samma
ஒரே	detsamma
போர்	kriga
போர்	kriget
போர்	krig
போர்	war
காரணமாக	vederbörlig
காரணமாக	due
பொருள்	material
பொருள்	materiellt
பொருள்	produkten
பொருள்	produkt
பொருள்	objektet
பொருள்	objekt
பொருள்	föremål
பொருள்	synonymer
பொருள்	föremål
பொருள்	ämne
அறிவியல்	vetenskap
அறிவியல்	naturvetenskap
அறிவியல்	vetenskapen
பேச்சு	tal
பேச்சு	anförande
பேச்சு	talet
பேச்சு	snacka
பேச்சு	föredrag
பேச்சு	prat
பேச்சு	talk
பேச்சு	prata
இதனால்	med
அனைத்து	allt
அனைத்து	alla
கல்வி	utbildning
ஏப்ரல்	apr
ஏப்ரல்	april
உலக	world
உலக	värld
உலக	världen
உலக	globala
உலக	global
உலக	globalt
கே	bög
கே	gay
முடியும்	kan
முடியும்	can
கீழ்	down
கீழ்	neråt
கீழ்	nere
கீழ்	nedåt
கீழ்	ner
கீழ்	nedre
கீழ்	lägre
கீழ்	undre
கீழ்	under
கீழ்	botten
கீழ்	nedre
கீழ்	nerifrån
இடம்	ställe
இடம்	place
இடம்	placera
இடம்	plats
இடம்	platsen
இடம்	läge
இடம்	plats
இடம்	mellanslag
இடம்	rymd
இடம்	rymden
இடம்	utrymme
செப்டம்பர்	september
பேர்	andra
பேர்	övriga
பெரும்	jättebra
பெரும்	härligt
பெரும்	toppen
சி	chi
நாடுகள்	länderna
நாடுகள்	länder
தொகுதி	album
தொகுதி	systemet
தொகுதி	system
தொகுதி	modulen
தொகுதி	modul
கிழக்கு	östra
கிழக்கு	österut
கிழக்கு	öst
கிழக்கு	öster
கிழக்கு	orienten
கிழக்கு	östra
கிழக்கு	öst
கிழக்கு	östlig
அமைப்பு	fälla
அமைப்பு	konfigurera
அமைப்பு	konfiguration
அமைப்பு	systemet
அமைப்பு	system
அமைப்பு	inställning
அமைப்பு	organisation
அமைப்பு	organisationen
அமைப்பு	organisering
அமைப்பு	strukturen
அமைப்பு	struktur
அமைப்பு	strukturera
அளவு	belopp
அளவு	mängd
அளவு	mängd
அளவு	kvantitet
அளவு	fjäll
அளவு	skalan
அளவு	skala
அளவு	storlek
அளவு	storleken
நகர்	nagar
மற்ற	annan
மற்ற	övrig
மற்ற	övriga
மற்ற	andra
மற்ற	övrigt
மற்ற	annat
இந்து	hindu
இவற்றையும்	dessa
தற்போது	nu
பாடல்	låten
பாடல்	sång
பாடல்	song
உண்டு	tillgänglig
உண்டு	tillgängligt
உண்டு	tillgängliga
உண்டு	har
உண்டு	ha
வாழும்	living
வாழும்	levande
இருக்கிறது	tillgänglig
இருக்கிறது	tillgängligt
இருக்கிறது	tillgängliga
நிறுவனம்	sällskap
நிறுவனம்	bolag
நிறுவனம்	företag
நிறுவனம்	företaget
நிறுவனம்	arbetsgivaren
நிறுவனம்	arbetsgivarens
நிறுவனம்	arbetsgivare
நிறுவனம்	arbetsgivares
நிறுவனம்	organisation
நிறுவனம்	organisationen
நிறுவனம்	organisering
நிறுவனம்	organisation
நிறுவனம்	organisationen
நிறுவனம்	organisering
நபர்கள்	människor
நபர்கள்	personer
நபர்கள்	folk
நபர்கள்	people
துடுப்பாட்டக்காரர்	cricketspelare
காலனி	koloni
காலனி	kolonin
மேற்கு	västra
மேற்கு	väst
மேற்கு	väster
மேற்கு	västerut
மேற்கு	västra
மேற்கு	västlig
தலைவர்	president
தலைவர்	ordförande
தலைவர்	ordföranden
தலைவர்	talmannen
தலைவர்	ledaren
தலைவர்	ledare
தலைவர்	leader
முதலில்	först
முதலில்	första
சார்ந்த	relativ
சார்ந்த	relativt
சார்ந்த	relativa
சார்ந்த	släkting
சார்ந்த	beroende
சார்ந்த	baserad
சார்ந்த	baserade
சார்ந்த	baserat
மேல்	överst
மேல்	toppen
மேல்	topp
நாடு	landet
நாடு	land
மட்டும்	bara
மட்டும்	enbart
மட்டும்	endast
அடிப்படையில்	basis
அடிப்படையில்	grund
அடிப்படையில்	grundval
எண்	antal
எண்	greve
எண்	räkna
எண்	tal
எண்	antal
எண்	nummer
குறிப்பிட்ட	uppgav
குறிப்பிட்ட	specificerat
குறிப்பிட்ட	specificerade
குறிப்பிட்ட	angiven
குறிப்பிட்ட	specificerad
குறிப்பிட்ட	angivet
குறிப்பிட்ட	specifik
குறிப்பிட்ட	specifika
குறிப்பிட்ட	särskilda
குறிப்பிட்ட	specifikt
செய்ய	gör
செய்ய	fabrikat
செய்ய	göra
சிறிய	small
சிறிய	små
சிறிய	litet
சிறிய	liten
சிறிய	little
சிறிய	lilla
சிறிய	litet
சிறிய	liten
வந்த	kom
வேறு	annan
வேறு	övrig
வேறு	övriga
வேறு	andra
வேறு	övrigt
வேறு	annat
மார்ச்	marsch
மார்ச்	marschera
மார்ச்	march
மார்ச்	demonstrationståg
மார்ச்	mars
நிலையில்	skick
நிலையில்	villkor
நிலையில்	scen
நிலையில்	etapp
நிலையில்	stadium
நிலையில்	skede
பெண்	flicka
பெண்	tjej
பெண்	kvinnan
பெண்	woman
பெண்	kvinna
பெண்	kvinnliga
பெண்	hona
பெண்	kvinnligt
பெண்	kvinna
வெற்றி	framgångar
வெற்றி	succé
வெற்றி	framgång
வெற்றி	vinner
வெற்றி	vinster
வெற்றி	segrar
வெற்றி	vinna
வெற்றி	vinnande
வெற்றி	vunna
வெற்றி	won
வெற்றி	vunnit
வெற்றி	vann
வெற்றி	segern
வெற்றி	seger
வெற்றி	segra
வெற்றி	win
வெற்றி	vinst
வெற்றி	vinna
வெற்றி	vinn
இணைப்பு	anslutningen
இணைப்பு	anknytning
இணைப்பு	koppling
இணைப்பு	anslutning
இணைப்பு	samband
இணைப்பு	länk
இணைப்பு	länken
இணைப்பு	länka
இணைப்பு	bilagor
இணைப்பு	bilaga
இணைப்பு	bilagan
திரைப்படம்	film
திரைப்படம்	filma
திரைப்படம்	film
வகை	kategori
வகை	kategorin
வகை	typ
வகை	läge
ஐந்து	fem
ஐந்து	five
அதே	samma
அதே	detsamma
சிறப்பு	visade
சிறப்பு	utvalda
சிறப்பு	utvalt
சிறப்பு	speciellt
சிறப்பு	särskild
சிறப்பு	speciell
சிறப்பு	särskilda
சிறப்பு	speciella
தமிழர்	tamiler
விட	än
சுமார்	ungefär
என்பதை	huruvida
கட்டுரைகள்	artiklar
கட்டுரைகள்	artiklarna
படி	läs
படி	läst
படி	läser
படி	läsa
படி	läste
படி	kliv
படி	step
படி	steg
மனித	mänskliga
மனித	mänsklig
மனித	mänskligt
மனித	människa
பெரும்பாலும்	nästan
பெரும்பாலும்	ofta
பெரும்பாலும்	oftast
பெரும்பாலும்	mest
பெரும்பாலும்	mestadels
கட்சி	party
கட்சி	fest
கட்சி	part
கட்சி	kalas
கட்சி	parti
பொது	vanligt
பொது	gemensamt
பொது	vanlig
பொது	vanliga
பொது	gemensamma
பொது	offentliga
பொது	offentligt
பொது	offentlig
பொது	allmän
பொது	allmänna
பொது	allmänt
கல்லூரி	högskolan
கல்லூரி	college
கல்லூரி	högskola
இசை	music
இசை	musikåret
இசை	musik
முறையில்	läge
நாட்டின்	landet
நாட்டின்	land
மத்திய	centrala
மத்திய	centralen
மத்திய	central
மத்திய	centralt
மத்திய	mellersta
மில்லியன்	miljon
மில்லியன்	miljoner
மில்லியன்	miljontals
மில்லியன்	miljoner
நகரம்	staden
நகரம்	city
நகரம்	ort
நகரம்	stad
நகரம்	orten
எந்த	någon
எந்த	vilka
எந்த	vilket
எந்த	vilken
எந்த	som
எனப்படும்	ringde
எனப்படும்	ringt
எனப்படும்	kallas
எனப்படும்	kallad
நீர்	vatten
செய்யும்	gör
விக்கிப்பீடியா	wikipedia
சென்று	borta
சென்று	åkt
சென்று	gått
பார்க்க	see
பார்க்க	se
அணி	matrisen
அணி	matrix
அணி	matris
அணி	matriser
அணி	laget
அணி	lag
அணி	team
எழுதிய	skriftliga
எழுதிய	skrivet
எழுதிய	skrivit
எழுதிய	skriftligt
எழுதிய	skrivna
எழுதிய	skrev
எழுதிய	skrivit
நிலையம்	järnvägsstation
நிலையம்	station
நிலையம்	stationen
தொடர்பான	relaterad
தொடர்பான	relaterat
தொடர்பான	släkt
தொடர்பான	närstående
தொடர்பான	relaterade
மீட்டர்	meter
மீட்டர்	mätare
மீட்டர்	meter
மீட்டர்	mätare
மீட்டர்	meter
இடத்தில்	ställe
இடத்தில்	place
இடத்தில்	placera
இடத்தில்	plats
கோவில்	templet
கோவில்	tempel
கோவில்	temple
மாதம்	månaden
மாதம்	månad
மாதம்	manad
மதுரை	madurai
ஆய்வு	studier
ஆய்வு	studie
ஆய்வு	studera
ஆய்வு	forska
ஆய்வு	forskning
வட	norr
வட	norra
வட	norrut
வட	nord
குறைந்த	mindre
குறைந்த	lägst
குறைந்த	lägsta
குறைந்த	låga
குறைந்த	lågt
குறைந்த	low
குறைந்த	låg
குறைந்த	mindre
குறைந்த	färre
டிசம்பர்	december
டிசம்பர்	dec
முன்	front
முன்	främre
முன்	framsidan
முன்	fram
முன்	framsida
முன்	pre
முன்	före
முன்	förut
முன்	innan
வாழ்க்கை	life
வாழ்க்கை	livet
வாழ்க்கை	livstid
வாழ்க்கை	liv
சனவரி	januari
புனித	fy
புனித	heliga
புனித	helig
புனித	helige
புனித	heligt
ஆகியவை	vis
இரண்டாவது	sekund
இரண்டாவது	andra
இரண்டாவது	sekundära
இரண்டாவது	sekundär
இரண்டாவது	sekundärt
ஆங்கிலம்	swedish
ஆங்கிலம்	engelska
அங்கு	där
தொழில்	affärsverksamhet
தொழில்	affärer
தொழில்	business
தொழில்	företag
தொழில்	näringsliv
தொழில்	industrin
தொழில்	industri
தொழில்	bransch
தொழில்	yrke
தொழில்	yrket
பழைய	gamla
பழைய	gammal
பழைய	gammalt
பழைய	äldre
ஆண்டுகள்	years
ஆண்டுகள்	åratal
ஆண்டுகள்	åren
ஆண்டுகள்	år
குறிப்பாக	särskilt
குறிப்பாக	speciellt
குறிப்பாக	särskilt
குறிப்பாக	specifikt
குறிப்பாக	speciellt
பார்க்கவும்	besöker
பார்க்கவும்	besöka
பார்க்கவும்	besök
பார்க்கவும்	klocka
பார்க்கவும்	titta
துறை	departement
துறை	department
துறை	avdelning
துறை	avdelningen
துறை	departementet
துறை	hamn
துறை	hamnen
துறை	portvin
துறை	port
துறை	babord
குறிக்கும்	pekar
குறிக்கும்	peka
கடல்	marina
கடல்	marin
கடல்	marine
கடல்	marint
கடல்	marinsoldat
கடல்	sea
கடல்	sjö
கடல்	hav
கடல்	havet
கடல்	oceanen
கடல்	havet
கடல்	hav
கடல்	ocean
போல	gilla
போல	gillar
போல	som
போல	like
இதற்கு	för
சிறு	small
சிறு	små
சிறு	litet
சிறு	liten
சிறு	minderårig
சிறு	mindre
சிறு	minor
தென்	syd
தென்	söderut
தென்	söder
தென்	södra
உயர்	high
உயர்	höga
உயர்	hög
உயர்	högt
உயர்	deluxe
வடக்கு	norr
வடக்கு	norra
வடக்கு	norrut
வடக்கு	nord
ஆட்சி	kingdom
ஆட்சி	kungarike
ஆட்சி	rike
ஆட்சி	kungariket
ஆட்சி	regeln
ஆட்சி	regel
ஆட்சி	härska
ஆட்சி	styre
ஆட்சி	styrning
ஆட்சி	regera
ஆட்சி	härska
மக்களின்	människor
மக்களின்	personer
மக்களின்	folk
மக்களின்	people
நோய்	sjukdom
நோய்	sjukdomar
நோய்	sjukdom
தேர்தல்	val
உற்பத்தி	produktionen
உற்பத்தி	produktion
உற்பத்தி	tillverkning
உற்பத்தி	tillverkning
உற்பத்தி	tillverkningsindustrin
உற்பத்தி	tillverkningsindustri
ஆக	aug
வந்தது	anlänt
வந்தது	framme
வந்தது	anlände
வந்தது	kom
கலை	arts
கலை	konst
கலை	art
கலை	konsten
கலை	konst
தங்கள்	deras
தங்கள்	sina
சமூக	socialt
சமூக	sociala
சமூக	social
போல்	bol
போல்	gilla
போல்	gillar
போல்	som
போல்	like
தர	kvalité
தர	kvalitet
தர	kvaliteten
நூற்றாண்டு	sekel
நூற்றாண்டு	århundrade
நூற்றாண்டு	århundradet
அவருடைய	hans
உலகின்	världar
அமெரிக்கா	america
அமெரிக்கா	amerika
அமெரிக்கா	amerika
பகுதிகளில்	områden
வந்து	come
வந்து	kommer
வந்து	kom
பரிசு	pris
பரிசு	present
பரிசு	gåva
பிரிவு	kategori
பிரிவு	kategorin
பிரிவு	division
பிரிவு	delning
பிரிவு	avsnitt
பிரிவு	sektionen
பிரிவு	sektion
பிரிவு	avdelning
பிரிவு	avsnittet
உடல்	body
உடல்	kropp
உடல்	kroppen
உடல்	kropps
இவர்கள்	dessa
கூட	jämn
கூட	även
கூட	också
கூட	även
கூட	också
கூட	oxå
கூட	too
கூட	alltför
எழுத்தாளர்	writer
எழுத்தாளர்	skribent
எழுத்தாளர்	författare
குழு	gruppen
குழு	grupp
குழு	gruppera
இலக்கிய	litteratur
இலக்கிய	litteraturen
இலக்கிய	litterär
இலக்கிய	litterära
விளையாட்டு	gaming
விளையாட்டு	spelande
விளையாட்டு	sporter
விளையாட்டு	sport
விளையாட்டு	idrott
விளையாட்டு	sports
விளையாட்டு	spel
விளையாட்டு	spelet
விளையாட்டு	game
விளையாட்டு	match
விளையாட்டு	vilt
விளையாட்டு	sporten
விளையாட்டு	sport
விளையாட்டு	idrott
விளையாட்டு	idrotten
உறுப்பினர்கள்	medlemmars
உறுப்பினர்கள்	medlemmarna
உறுப்பினர்கள்	medlemmar
உறுப்பினர்கள்	ledamöter
இறப்பு	död
இறப்பு	döden
இறப்பு	death
இறப்பு	dödsfall
இறப்பு	dödlighet
இறப்பு	mortalitet
அடி	fot
அடி	fötterna
அடி	fötter
அடி	slog
அடி	påkörd
அடி	träffad
அடி	träff
துணை	kompanjon
துணை	partner
துணை	delägare
துணை	support
துணை	stöd
துணை	stötta
துணை	stödja
துணை	vice
துணை	sub
துணை	ställföreträdare
துணை	biträdande
துணை	ställföreträdande
துணை	vice
பதிப்பு	utgåvan
பதிப்பு	upplagan
பதிப்பு	upplaga
பதிப்பு	utgåva
பதிப்பு	edition
பதிப்பு	version
பதிப்பு	versionen
சொல்	say
சொல்	säg
சொல்	säga
சொல்	ord
சொல்	word
சொல்	berätta
சொல்	tell
தெற்கு	syd
தெற்கு	söderut
தெற்கு	söder
தெற்கு	södra
கட்டுரை	uppsats
கட்டுரை	uppsatsen
கட்டுரை	artikeln
கட்டுரை	artikel
கட்டுரை	sammansättningen
கட்டுரை	sammansättning
கட்டுரை	artiklar
கட்டுரை	artiklarna
வட்டம்	circle
வட்டம்	cirkel
வட்டம்	cirklar
வட்டம்	cirkeln
சராசரி	genomsnitt
சராசரி	genomsnittligt
சராசரி	medelvärde
சராசரி	genomsnittliga
சராசரி	genomsnittlig
சராசரி	medelvärde
சராசரி	elakt
சராசரி	elak
சராசரி	menar
சராசரி	mena
சராசரி	mean
தொலைக்காட்சி	tv
தொலைக்காட்சி	television
தொலைக்காட்சி	televisionen
முன்னாள்	tidigare
எண்ணிக்கை	antal
எண்ணிக்கை	greve
எண்ணிக்கை	räkna
எண்ணிக்கை	frekvensen
எண்ணிக்கை	frekvens
தவிர	utesluta
தவிர	utesluter
தவிர	utom
தவிர	förutom
நடிகர்	aktör
நடிகர்	skådespelare
பாடல்கள்	låtar
பாடல்கள்	sånger
இன்று	idag
சட்டம்	ramen
சட்டம்	ramar
சட்டம்	ram
சட்டம்	motiv
சட்டம்	juridik
சட்டம்	lagen
சட்டம்	lag
சட்டம்	law
சட்டம்	rättsligt
சட்டம்	rättslig
சட்டம்	lagligt
சட்டம்	juridiska
சட்டம்	rättsliga
சட்டம்	act
சட்டம்	akt
சட்டம்	agera
அருகில்	nära
அருகில்	närliggande
நேரம்	tid
நேரம்	tidpunkt
நேரம்	dags
நேரம்	klockslag
நேரம்	tiden
முதலாவது	först
முதலாவது	första
நாம்	let
நாம்	låt
நாம்	låter
மூலமாக	via
மூலமாக	igenom
மூலமாக	genom
உணவு	livsmedel
உணவு	mat
உணவு	föda
குறித்து	ungefär
பெப்ரவரி	februari
பகுதிகள்	segment
பகுதிகள்	beståndsdel
பகுதிகள்	komponenten
பகுதிகள்	komponent
பகுதிகள்	regioner
பகுதிகள்	regionerna
பகுதிகள்	områden
பகுதிகள்	delar
பகுதிகள்	områden
நிறுவனங்கள்	organisationer
நிறுவனங்கள்	bolag
நிறுவனங்கள்	företag
ஜனவரி	januari
எழுத்தாளர்கள்	författare
நல்ல	duktiga
நல்ல	god
நல்ல	duktig
நல்ல	gott
நல்ல	bra
அடுத்த	nästa
அடுத்த	härnäst
படம்	bilden
படம்	bild
படம்	photo
படம்	foto
படம்	avbild
படம்	bilden
படம்	image
படம்	bild
பாதுகாப்பு	försvaret
பாதுகாப்பு	försvar
பாதுகாப்பு	säkert
பாதுகாப்பு	kassaskåp
பாதுகாப்பு	säker
பாதுகாப்பு	säkra
பாதுகாப்பு	beskydd
பாதுகாப்பு	skydd
பாதுகாப்பு	säkerhet
பாதுகாப்பு	säkerheten
பாதுகாப்பு	trygghet
பாதுகாப்பு	säkerhet
பாதுகாப்பு	säkerheten
பாதுகாப்பு	trygghet
தந்தை	far
தந்தை	fader
தந்தை	fadern
தந்தை	pappa
பங்கு	rollen
பங்கு	roll
பார்க்கப்பட்ட	visade
பார்க்கப்பட்ட	visad
பார்க்கப்பட்ட	visat
பயன்படுத்தி	använda
பயன்படுத்தி	använder
அவர்களின்	deras
அவர்களின்	sina
செய்த	made
செய்த	tillverkad
செய்த	tillverkade
செய்த	tillverkat
செய்த	gjorda
நியூ	niue
பதிவு	intrycket
பதிவு	intryck
பதிவு	registrera
பதிவு	register
பதிவு	registret
பதிவு	registrera
பதிவு	rekord
பதிவு	record
பதிவு	registrering
பதிவு	inskrivning
பதிவு	registreringen
பதிவு	inlägg
பதிவு	publicera
பதிவு	inlägget
பதிவு	post
ஐரோப்பிய	europeisk
ஐரோப்பிய	europeiskt
ஐரோப்பிய	europeiska
ஐரோப்பிய	europé
முழுவதும்	fullt
முழுவதும்	helt
முழுவதும்	fullständigt
முழுவதும்	fulla
முழுவதும்	fullständig
முழுவதும்	full
முழுவதும்	fullt
முழுவதும்	kompletta
முழுவதும்	fullständigt
முழுவதும்	slutför
முழுவதும்	komplett
முழுவதும்	fullständig
பயனர்	användar
பயனர்	användaren
பயனர்	användare
தொடர்	serie
தொடர்	fortsätter
தொடர்	fortsätt
தொடர்	fortsätta
போன்றவை	etc
போன்றவை	osv
ஜூன்	jun
ஜூன்	juni
ஜூன்	june
வழியாக	via
உறுப்பினர்	medlem
உறுப்பினர்	medlemmen
உறுப்பினர்	ledamot
உறுப்பினர்	medlemskapet
உறுப்பினர்	medlemskap
உறுப்பினர்	klienten
உறுப்பினர்	kunden
உறுப்பினர்	klient
உறுப்பினர்	kund
ஆசிரியர்	redigerare
ஆசிரியர்	redaktör
ஆசிரியர்	editor
ஆசிரியர்	lärare
