katastroofi	desastre
formaat	format
iru	iru
vöönd	zona
pühitsetud	consagrar
hetk	moment
telefon	telèfon
telefon	telèfon
carol	carol
arktika	àrtic
locke	locke
spektri	espectre
soomlased	finlandesos
mag	mag
minevik	passat
luksemburg	luxemburg
gerard	gerard
teadvus	consciència
lasku	baixen
aadel	noblesa
faktor	factor
tegur	factor
lepingud	contractes
lepingud	tractats
lepingud	acords
curie	curie
räägi	speak
valima	escolliu
valima	tria
valima	escollir
valima	escull
valima	seleccioneu
valima	selecciona
oksad	branques
portreed	retrats
lahkumine	deixant
eelistatud	preferit
demo	demostració
demo	demo
efektiivsus	eficiència
efektiivsus	eficàcia
efektiivsus	efectivitat
efektiivsus	eficàcia
ülesehitus	reconstrucció
ülesehitus	estructura
norbert	norbert
esperanto	esperanto
resolutsiooni	resolució
vao	vao
tuuri	tours
reformid	reformes
laskemoona	municions
laskemoona	munició
väljund	sortida
clara	clara
ligipääs	accés
psühholoogiline	psicològic
psühholoogiline	psicològica
ekvatoriaal	equatorial
ekvatoriaal	equatorials
tsivilisatsiooni	civilització
tsivilisatsiooni	custodiaven
saun	sauna
presidendid	presidents
komponendi	component
domineerib	domina
kirjutised	escrits
asendus	substitució
asendus	substitut
asendus	reemplaça
asendus	substitueix
davidson	davidson
maksud	exaccions
maksud	impostos
elmo	elmo
päikest	sol
päikest	solana
päikest	sunshine
võidetud	guanyat
võidetud	derrotat
võidetud	vençut
võidetud	vençuts
mõjukas	influents
laua	taula
laua	quadre
ursula	ursula
ursula	úrsula
nõudmised	peticions
nõudmised	exigències
nõudmised	demandes
kriteeriumid	criteris
allkiri	firma
allkiri	signatura
maas	down
ten	deu
otsustav	decisiu
mainis	esmentat
meteoroloogia	meteorologia
stepan	stepan
demokraadid	demòcrates
motiivid	motius
vastuvõetud	acceptada
vastuvõetud	acceptats
vastuvõetud	acceptat
vastuvõetud	adoptats
vastuvõetud	adoptat
xxiii	xxiii
baleriin	ballarina
ipod	ipod
edwards	edwards
kraater	cràter
kauge	llunyà
kauge	distant
istus	sat
claudio	claudio
coli	coli
ajakirjad	diaris
ajakirjad	revistes
turner	turner
nähtamatu	invisible
jätkati	continuat
jätkati	continuada
luxembourg	luxemburg
piip	bip
piip	pipa
piip	canonada
clément	clément
vastuolud	incongruències
vastuolud	incoherències
tõstmine	veina
tõstmine	aixecament
tõstmine	aixecant
connor	connor
kilogrammi	quilograms
kilogrammi	quilogram
baer	baer
sas	sas
raamatukogude	biblioteques
kümnes	desena
kümnes	desè
jahu	farina
jahu	àpat
täiustatud	millorat
täiustatud	avançat
täiustatud	avançada
täiustatud	advanced
blu	blu
zeusi	zeus
ajad	vegades
marine	marine
agentuur	agència
entomoloog	entomòleg
kuulis	escoltat
rocca	rocca
mesopotaamia	mesopotàmia
karabahhi	karabakh
natura	natura
blackberry	blackberry
blackberry	móra
uskumused	creences
nõid	bruixa
maandus	aterrar
sõltuvust	dependència
steel	acer
isabella	isabella
mozilla	mozilla
teatab	declara
olivier	olivier
alexis	alexis
kohtunud	met
legaat	legatus
mürk	verí
emilie	emilie
igavesti	forever
heidi	heidi
unustatud	oblidats
unustatud	oblidat
reform	reforma
tseremoonia	cerimònia
tõlk	traductor
tõlk	traductora
tõlk	intèrpret
registrisse	registre
raadius	radi
iowa	iowa
kasvajate	tumors
antonius	antony
jesse	jesse
walther	walther
muudatus	esmena
muudatus	canvia
muudatus	canvi
nõrgad	dèbil
nõrgad	feble
einstein	einstein
ice	gel
kann	gerro
santi	santi
juur	arrel
tundlik	sensible
tundlik	sensibles
diplomaatia	diplomàcia
elupaikade	hàbitats
elupaikade	hàbitat
väärib	mereix
väärib	mereixedores
tõhus	eficient
tõhus	eficients
tõhus	efectiu
hingamisteede	respiratori
hingamisteede	respiratòria
täiendav	addicional
täiendav	addicionals
täiendav	complementària
täiendav	complementaris
täiendav	complementàries
täiendav	complementari
värvitud	pintat
värvitud	tenyit
ertshertsog	arxiduc
janne	janne
tööriist	eina
rikutud	arruïnat
rikutud	consentida
kohustuse	compromís
protesti	protesta
tonga	tonga
edit	edita
gaboni	gabon
reageerivad	reaccionar
reageerivad	reaccionen
vaenlased	enemics
khan	khan
doc	doc
eeldus	presumpció
eeldus	premissa
mitmekordne	múltiples
mitmekordne	múltiple
haute	haute
kandidaadid	candidats
kandidaadid	candidates
kandidaadid	aspirants
dom	dom
girls	xiques
girls	nenes
girls	noies
girls	girls
césar	césar
teras	acer
benedetto	benedetto
nool	arrow
nool	fletxa
veronika	veronika
tasand	nivell
eeskiri	regulació
eeskiri	reglament
eeskiri	reglamentació
eeskiri	regla
allveelaeva	submarí
detailid	detalls
unikaalne	úniques
unikaalne	únic
švaabimaa	suàbia
kasvatatud	plantejat
kasvatatud	criats
bluetooth	bluetooth
pomm	bomba
automaatne	auto
automaatne	automàtica
automaatne	automàtic
automaatne	automàtica
vaene	pobre
vaene	pobres
pseudonüüm	pseudònim
loomaarst	veterinari
loomaarst	veterinari
pidamine	mantenint
parandamine	reparació
parandamine	correcció
parandamine	rectificació
parandamine	millora
eile	ahir
popper	popper
hella	hella
volta	volta
polüneesia	polinèsia
tagumine	posterior
rikkumine	infracció
enrique	enrique
tamara	tamara
rob	rob
basel	basilea
lamp	làmpada
võistleja	concursant
võistleja	aspirant
betty	betty
kullast	or
kullast	gold
ellis	ellis
institutsioon	institució
lint	cinta
sõrmuse	anell
pilvede	núvols
vilistlased	alumni
philips	philips
preestrid	cures
jälgimine	traçat
jälgimine	seguiment
jälgimine	rastrejant
jälgimine	monitoratge
väärtuslik	valuós
väärtuslik	valuosa
aruba	aruba
argumendi	argument
konkurents	competició
konkurents	competència
kurjategija	delinqüent
kurjategija	criminal
kurjategija	penals
kurjategija	penal
kurjategija	infractor
teemant	diamond
teemant	diamant
laava	lava
kaitsjad	defensors
kaitsjad	protectors
kaitsjad	tutors
argumendid	arguments
asjaolud	circumstància
asjaolud	circumstàncies
nordisk	nordisk
türklased	turcs
vask	coure
theodore	theodore
theodore	teodor
unistus	somia
unistus	somiar
unistus	somni
järeldus	concertació
järeldus	conclusió
kvartalis	trimestrals
kvartalis	trimestral
konsultant	consultor
konstruktsioon	construcció
ilona	ilona
vaikselt	silenciosament
soovitab	recomana
soovitab	suggereix
platoo	altiplà
córdoba	córdoba
malmö	malmö
chuck	chuck
lambert	lambert
silvio	silvio
dialoogi	diàleg
fine	multa
süüdistuse	fiscalia
vaz	vaz
kristian	kristian
ramón	ramón
seinad	murs
seinad	parets
uss	cuc
ümmargune	ronda
next	pròxima
next	següent
next	propera
next	next
ravida	curar
katki	trencats
katki	trencat
taktika	tàctiques
taktika	tàctica
õigusega	encertadament
takistuse	obstacle
skandaali	escàndol
teenus	servei
vedel	líquid
vedel	liquid
partner	soci
partner	associat
alalise	permanent
alalise	permanents
namiibia	namíbia
lõhn	olor
lõhn	olor
zeit	zeit
seadusandlik	legislatura
pruunid	marró
pruunid	brown
allutatud	subordinat
allutatud	subordinat
cia	cia
cia	cia
saarlased	illencs
algebra	càlcul
algebra	àlgebra
vastastikune	mutual
vastastikune	mútues
vastastikune	mútua
vastastikune	mutu
armand	armand
bakuu	baku
ostsid	comprat
vabanenud	estrenat
vabanenud	estrenats
nupp	botó
annie	annie
reich	reich
sisend	input
sisend	aportació
tadžikistani	tadjikistan
hillary	hillary
harvard	harvard
jyväskylä	jyväskylä
dong	dong
luige	cigne
luige	swan
neljakordne	quàdruple
areneda	evolucionar
istanbuli	istanbul
kalevala	kalevala
kübar	barret
peatub	parades
lao	lao
plaane	plans
libeeria	libèria
libeeria	liberià
lõigu	segment
monarh	monarca
luna	luna
ehitaja	constructor
heidelbergi	heidelberg
hollywoodi	hollywood
lilla	porpra
lilla	morat
publik	públic
publik	audiència
publik	multitud
kaovad	desaparèixer
laupäeval	dissabte
lahendamine	dirimir
lahendamine	resolució
fin	aleta
kaevatud	cavat
lööb	batecs
lööb	batega
vastavusse	alinea
rubens	rubens
tugevdada	reforçar
tugevdada	enfortir
tugevdada	reforcen
algoritm	algorisme
algoritm	algoritme
populatsioon	població
alias	àlies
identne	idèntiques
identne	idèntic
hero	manovella
hero	heroi
grupis	grup
indutseeritud	induït
kepler	kepler
mõrv	homicidi
mõrv	assassinat
ahvenamaa	åland
filtri	filtre
esivanemad	avantpassats
armas	lovely
veenis	persuadir
pass	passaport
õuna	poma
õuna	apple
château	château
jenny	jenny
umberto	umberto
henryk	henryk
kentucky	kentucky
pilved	núvols
pilved	núvol
mer	mer
lipnik	alferes
padova	pàdua
franki	frank
tähendusi	significats
osaleja	participant
õlu	cervesa
paratamatu	inevitable
reklaam	comercial
reklaam	mercantils
reklaam	comercials
reklaam	publicitat
selma	selma
kogemused	experiències
kogemused	experiencia
kogemused	experiència
tagurpidi	reverteix
ümar	arrodonida
ümar	ronda
genfis	ginebra
vaatluse	observació
aspekti	aspecte
sünagoog	sinagoga
paigal	congelar
paigal	quiet
kolmnurk	triangle
lõksu	trampa
lõksu	trap
regulaarne	regulars
regulaarne	regular
sümmeetria	simetria
paleontoloog	paleontòleg
teadust	ciència
teadust	ciències
stig	stig
edith	edith
aspektid	aspectes
hahn	hahn
organisatsioone	organitzacions
positiivsed	positiu
positiivsed	positiva
positiivsed	positius
dostojevski	dostoievski
valgevenelased	bielorussos
tsitaat	citació
liepāja	liepāja
valdkonnad	zones
valdkonnad	àrees
valdkonnad	àmbits
pearl	pearl
pearl	perla
joonas	jonah
ohutu	inofensiu
iraak	iraq
györgy	györgy
bissau	bissau
janet	janet
viktoria	viktoria
legendaarne	llegendari
legendaarne	llegendàries
petra	petra
brad	brad
kubrick	kubrick
ühendused	connexions
ühendused	associacions
ühendused	interconnexions
kaksikud	gemini
kaksikud	twins
kaksikud	bessones
kaksikud	bessons
mängitud	jugat
mängitud	tocava
seisnes	constava
monroe	monroe
tuuled	vents
tingimusteta	incondicionalment
tingimusteta	incondicional
kitsad	estret
eeliseid	avantatges
selgitab	explica
häiritud	interrompudes
nathan	nathan
liiklus	trànsit
liiklus	tràfic
nicola	nicola
hoidja	guardià
müüt	mite
rääkinud	parlat
mosambiigi	moçambic
mõõdukas	moderat
renate	renate
konteksti	context
kihid	capes
pühakute	sants
kama	kama
plii	plom
tais	tailàndia
liivakivi	gres
laused	frases
laused	frases
sarnasus	semblança
sarnasus	similitud
scsi	scsi
ardo	ardó
palavik	febre
sanders	sanders
vallandati	acomiadat
vallandati	disparat
hääldatakse	pronunciat
hääldatakse	pronunciada
patareid	bateries
patareid	piles
ohver	víctima
tycho	tycho
kiirabi	ambulància
raúl	raúl
hääletus	votació
hääletus	vot
hääletus	vota
hääletus	votacions
marcello	marcello
tähevärav	stargate
pereira	pereira
säde	espurna
toni	toni
varade	actius
reuters	reuters
aianduse	horticultura
aianduse	hortícoles
tantsud	danses
tantsud	balls
cannes	canes
cannes	cannes
dieter	dieter
larissa	larissa
larissa	larissa
isiksus	personalitat
olendid	éssers
kanalid	canals
kanalid	canals
kanalid	canal
põletatud	cremat
põletatud	cremat
smirnov	smirnov
kontaktid	contactes
korteris	apartament
suremus	mortalitat
juhend	guia
juhend	instruccions
moe	moe
usbekistani	uzbekistan
osce	osce
pankur	banker
claire	claire
stefano	stefano
kana	pollastre
kana	hen
täitmine	omplint
täitmine	rebliment
täitmine	execució
koopad	coves
nebraska	nebraska
keeld	veta
keeld	ban
keeld	prohibició
täiendavad	addicional
täiendavad	addicionals
hart	hart
komplekt	estableix
komplekt	conjunt
komplekt	kit
kolju	crani
pms	pms
kadusid	desaparegut
abdul	abdul
winston	winston
alabama	alabama
arendaja	desenvolupador
otsad	finalitza
löök	percussió
löök	vaga
löök	puntada
tundsid	sentia
tundsid	feltre
fbi	fbi
pzkpfw	panzer
bismarck	bismarck
uks	porta
wells	pous
athena	atena
leiutatud	inventat
susi	susi
kõrva	oïda
kõrva	orella
pippin	pippin
liikumised	moviments
soovitav	desitjable
vietnam	vietnam
veronica	veronica
rahaühik	divisa
rahaühik	moneda
greg	greg
auru	vapor
alto	alto
houston	houston
kukub	cascades
pannoonia	àvars
ibrahim	ibrahim
küpros	xipre
galaktikate	galàxies
pealkirjad	titulars
pealkirjad	títols
kõrvad	orelles
kõrvad	espigues
kõrvad	oïdes
luisa	luisa
atlantis	atlàntida
louisiana	louisiana
fauna	fauna
laos	laos
vabrik	fàbrica
kloostrid	monestirs
mathias	mathias
sõiduki	vehicle
mehhanismid	mecanismes
kehti	aplica
paaris	parelles
paaris	parells
ash	cendra
mauritiuse	maurici
raport	informe
süüdistatud	imputats
pavia	pavia
vie	vie
nõudlus	demanda
erapooletu	abstenció
erapooletu	imparcial
erapooletu	neutre
erapooletu	neutral
gotha	gotha
duke	duke
duke	duc
juut	jueva
juut	jueu
juut	jueu
lahendused	solucions
laulda	cantar
laulda	sing
planeerimine	planificació
planeerimine	planejament
cesare	cesare
ameeriklased	americans
tehnoloogiad	tecnologies
kohtuda	conèixer
diktatuuri	dictadura
mercia	mèrcia
okt	oct
louvre	louvre
kuude	mesos
ministrid	ministres
kümned	desenes
kümned	dotzenes
racing	racing
solanum	solanum
kent	kent
tudengid	estudiants
tudengid	alumnat
tudengid	alumnes
quintus	quint
ülevõtmine	transposició
piirkondlikud	regional
piirkondlikud	regionals
windsor	windsor
kasvatus	criança
kasvatus	educar
ari	ari
hondurase	hondures
sõnastik	glossari
sõnastik	diccionari
teravilja	cereals
teravilja	cereal
hädavajalik	indispensables
hädavajalik	imprescindibles
hädavajalik	imprescindible
hädavajalik	essencial
hädavajalik	essencials
kristin	kristin
martino	martino
keerukas	complexes
keerukas	complex
põrgu	infern
põrgu	hell
lucca	lucca
laboratooriumi	laboratori
eranditult	exclusivament
hms	hms
kollektsioon	recollida
spordiala	esport
spordiala	sport
toetaja	defensora
toetaja	partidari
moto	lema
bradley	bradley
dünamo	dinamo
pilk	mirada
elektriliselt	elèctricament
porta	porta
hamiltoni	hamilton
lõpetamine	finalització
lõpetamine	compleció
lõpetamine	tancament
lõpetamine	graduació
lõpetamine	rescissió
lõpetamine	terminació
como	como
potentsiaal	potencials
potentsiaal	potencial
faso	faso
klient	client
edastamine	transmissió
skt	pib
fanny	fanny
sajad	centenars
sajad	moltíssims
pakistan	pakistan
dis	dis
clement	clement
ühtlane	uniforme
poodi	botiga
poodi	compres
poodi	shopping
poodi	botiga
lazio	lazio
birger	birger
seks	sexe
seks	sex
renoveeritud	reformat
renoveeritud	repassat
lausanne	lausana
lausanne	begues
stabiilsus	estabilitat
tausta	antecedents
tausta	fons
reaalsus	realitat
evolutsioon	evolució
metaani	metà
konfliktid	conflictes
konfliktid	conflicte
signaalid	senyals
julien	julien
phelps	phelps
junior	júnior
junior	junior
junior	subalterns
phd	doctorat
sõjalised	militars
sõjalised	militar
salvatore	salvatore
süüdistus	acusació
süüdistus	càrrec
süüdistus	imputació
kartes	tement
airbus	airbus
setted	sediments
uraan	urani
uraan	urà
bussi	bus
bussi	autobús
süstemaatiliselt	sistemàticament
maadlus	lluita
karol	karol
piibel	bíblia
bryan	bryan
borussia	borussia
dee	dee
palk	salari
palk	sou
palk	salaris
riba	franja
riba	striptease
sojuz	soiuz
õlut	cervesa
hüljatud	abandonat
kavatsusest	intenció
levin	levin
pingeid	tensió
pingeid	tensions
nacional	nacional
vahekord	coit
tolly	tolly
warner	warner
failid	fitxers
failid	arxius
tõlgendus	interpretació
proosa	prosa
mõistmine	enteniment
mõistmine	comprensió
mõistmine	entesa
mõistmine	entenent
gustave	gustave
kuraator	comissària
mutatsioonid	mutacions
viiulit	violí
metsik	wild
metsik	salvatge
aacheni	aachen
streik	vaga
karistada	sancionar
kalli	abraçada
vangid	presos
vangid	presoners
vangid	cons
sami	sami
määratleb	defineix
vaatlused	enquestes
tunnustus	reconeixement
martha	martha
kara	kara
diagnostika	diagnòstica
diagnostika	diagnòstics
cpu	cpu
füüsilised	físic
peer	parell
meeleavaldajate	manifestants
crystal	cristall
ustav	fidels
ustav	lleials
münsteri	münster
politseinikud	policies
kubernerkond	governació
lahutatud	desconnectat
lahutatud	divorciat
vanuatu	vanuatu
hollywood	hollywood
sobilik	apropiat
sobilik	correspongui
neeru	renal
neeru	ronyó
lilian	lillian
lilian	lilian
mendelssohn	mendelssohn
falcon	falcon
falcon	falcó
kremli	kremlin
gmbh	gmbh
alkohol	alcohol
kristen	kristen
holokausti	holocaust
hinged	frontisses
hinged	souls
hinged	ànimes
hinged	esperits
paigutus	emplaçament
paigutus	disposició
kinnitamine	confirmant
kinnitamine	validació
veinid	vins
veinid	vi
botswana	botswana
temperatuurid	temperatures
günter	günter
jumalik	divina
jumalik	adorable
jumalik	adorables
aneemia	anèmia
arch	arch
suurendamine	increment
suurendamine	augment
suurendamine	augmentant
suurendamine	augmentation
freeman	freeman
jõude	inactiu
uni	dorm
uni	dormir
uni	uni
alfredo	alfredo
vältimatu	inevitables
vältimatu	inevitable
kehad	cossos
monica	mònica
monica	monica
str	str
armastan	amor
kartaago	cartago
alta	alta
epideemia	epidèmies
epideemia	epidèmia
telekommunikatsiooni	telecomunicacions
telekommunikatsiooni	telecomunicació
kink	regal
tooli	cadira
pood	botiga
pood	botiga
subjektiivne	subjectiu
sonja	sonja
kahjustused	danys
soojus	calor
grove	grove
grove	olivar
hara	hara
marche	marche
sark	sark
issand	lord
issand	senyor
trumm	drum
trumm	tambor
sõdu	guerres
puudega	discapacitats
puudega	inhabilitat
puudega	deshabilitat
tamili	tamil
ruttu	ràpidament
registreerida	registre
sõrme	dit
gertrude	gertrude
gertrude	gertrudis
tagasihoidlik	modest
tagasihoidlik	modesta
tagasihoidlik	humil
tagasihoidlik	humils
mauri	mauri
järjekindlalt	coherentment
nano	nano
toetamine	recolzant
toetamine	suport
intensiivne	intensius
intensiivne	intensiva
intensiivne	intensiu
intensiivne	intens
lahustub	solubles
ergo	ergo
helid	sons
šiauliai	šiauliai
täiskogu	plenari
teadaolevad	conegut
cash	cash
cash	efectiu
jose	jose
jerome	jerome
beatrice	beatriu
bogdan	bogdan
sülearvuti	portàtil
teatanud	comunicat
vastuseid	respostes
renessanss	renaixement
saag	saw
kael	coll
progress	progrés
richter	richter
uskuma	creure
mitmuses	plural
tolmu	pols
ettevalmistamine	elaboració
ettevalmistamine	preparació
ettevalmistamine	preparant
spetsiifilised	específics
spetsiifilised	específic
steiner	steiner
marius	marius
eksperimentaalne	experimental
sokid	mitjons
sokid	socks
jupiter	júpiter
earl	earl
tööandja	empresari
kahjulik	nocius
kahjulik	nocives
kahjulik	nociu
kahjulik	perjudicar
hjalmar	hjalmar
allikat	font
hiline	tard
vaidluse	litigi
vaidluse	controvèrsia
vaidluse	disputa
lou	lou
foster	foster
hiroshima	hiroshima
dokumenteeritud	documentada
dokumenteeritud	documentat
beiträge	beiträge
toro	toro
üritused	esdeveniments
gemini	gemini
kohtunikud	magistrats
kohtunikud	jutges
pauline	pauline
alpha	alpha
alpha	alfa
teraapia	teràpia
tiberius	tiberi
fraas	frase
jamie	jamie
autobiograafia	autobiografia
lauter	lauter
antropoloogia	antropologia
bailey	bailey
tadžiki	tadjik
siluri	depurador
sébastien	sébastien
iata	iata
katherine	katherine
machiavelli	maquiavel
vologda	vólogda
kirjeldused	descripcions
kits	cabra
tuberkuloos	tuberculosi
müüb	ven
prunus	prunus
staadium	etapa
staadium	escenari
jeltsin	ieltsin
juliana	juliana
proov	mostra
roosevelt	roosevelt
lionel	lionel
terminal	terminal
väljakutse	challenge
väljakutse	repte
väljakutse	desafiament
eisen	eisen
gravitatsiooni	gravitatòria
bernd	bernd
üleandmine	traspàs
üleandmine	transferència
üleandmine	trasllat
mia	mia
hindu	hindú
ace	as
ace	ace
eritrea	eritrea
kirjalik	escrit
gertrud	gertrud
tuhk	cendres
tuhk	cendra
pühapäev	diumenge
täpsust	precisió
täpsust	precisió
täpsust	exactitud
fidži	fiji
lääs	oest
cola	cola
lämmastik	nitrogen
strateegiline	estratègiques
strateegiline	estratègic
strateegiline	estratègica
strateegiline	estratègics
detektiiv	detectiu
vastuvõtt	recepció
märkused	notes
märkused	comentaris
märkused	observacions
liitlane	aliat
gaz	gaz
magus	dolç
magus	dolços
magus	dolça
rongid	entrena
rongid	trens
irving	irving
rebecca	rebecca
aruanne	informe
liinid	línies
manustamine	administració
vastasid	respost
vastasid	respost
vastasid	contestat
vastasid	contestada
eksperiment	experiment
akustiline	acústic
dagmar	dagmar
elekter	electricitat
elekter	elèctric
elekter	electric
varastatud	robada
varastatud	robat
karlsson	karlsson
gibraltari	gibraltar
pat	pat
sünonüüm	sinònim
amplituud	amplitud
dominique	dominique
üksikult	individualment
territoriaalse	territorial
territoriaalse	territorials
ultra	ultra
ward	ward
positsioonid	posicions
bennett	bennett
primaarne	primària
primaarne	primari
testid	proves
tsoon	zona
täiuslik	perfecte
täiuslik	perfecta
aserbaidžaan	azerbaidjan
maxwell	maxwell
tööline	treballador
negatiivselt	negativament
nähtused	fenòmens
kasahstan	kazakhstan
churchill	churchill
diplom	diplomat
diplom	diploma
mikael	mikael
dag	dag
kehtetuks	invalidar
kopsu	pulmó
puruks	smash
aken	finestra
hills	turons
isabelle	isabelle
passiivne	passiu
eno	eno
antonov	antónov
dumas	dumas
meele	ment
hare	hare
hare	llebre
