историографии	историографија
планете	планетата
леви	леви
леви	ливи
потомков	потомци
регистр	регистрираат
регистр	регистар
регистр	регистар
прототип	прототип
творческий	креативна
творческий	креативен
творческий	креативни
творческий	креативно
геологии	геологија
химический	хемиско
химический	хемиски
ближайший	најблиску
ближайший	најблискиот
ближайший	најблиска
ближайший	најблизу
ближайший	најблиска
ближайший	најблиску
ближайший	најблиските
ближайший	најблиски
астрономы	астрономи
препараты	лекови
нижние	долна
нижние	пониско
нижние	долен
чистой	чиста
чистой	чисто
чистой	чисти
чистой	чист
чистой	исчисти
украинцы	украинците
украинцы	украински
продолжая	продолжуваме
продолжая	продолжува
коды	шифри
коды	кодови
среду	среда
уголовное	злосторник
уголовное	кривично
уголовное	кривични
уголовное	кривична
уголовное	криминално
капитал	престолнина
капитал	капитал
монография	монографијата
росс	рос
гвинеи	гвинеја
гвинеи	гвинејски
вкус	вкус
вкус	вкусови
вкус	вкус
племя	племето
племя	племе
дама	дама
дама	лејди
дама	даме
атлетика	атлетика
трудящихся	работниците
трудящихся	работници
ставки	облози
ставки	влогови
ставки	обложувањето
ставки	обложување
ставки	стапките
ставки	стапки
ставки	колци
ставки	влогови
люблю	љубов
люблю	љубовта
подруга	девојка
подруга	другарка
подруга	пријател
сицилии	сицилија
клиентов	муштерија
клиентов	клиенти
клиентов	муштерии
клиентов	клиенти
выпускник	дипломиран
возникновение	појавување
возникновение	појава
остановка	запирање
гвинея	гвинеја
реформа	реформа
реформа	реформи
реформа	реформа
войти	најавување
войти	најава
войти	внеси
войти	внесете
дева	девица
дева	девица
травму	трауми
травму	траума
висит	виси
висит	бесење
висит	виси
полицейских	полицајци
конвенции	конвенција
конвенции	конвенции
местоположения	локации
обнаружить	откријте
душа	туширање
душа	туш
душа	душа
медведь	мече
медведь	мечка
чёрное	црн
чёрное	црна
чёрное	црно
чёрное	црни
чёрное	црнец
эхо	ехо
кипра	кипар
быстрый	брзо
быстрый	бргу
быстрый	брзо
быстрый	бргу
быстрый	брз
быстрый	брзи
кратеров	кратери
тан	танг
тан	тан
тан	тен
спектр	спектар
спектр	спектар
спектр	спектор
курт	курт
курт	курт
ширину	ширина
нации	нација
джин	џин
джин	џин
джин	жан
джин	џин
джин	џин
джин	ген
продано	продадени
продано	продадено
продано	продадена
продано	продаден
материнская	мајчинска
мощный	моќен
мощный	моќна
мощный	моќно
мощный	моќни
кругах	кругови
записать	рекорд
записать	запис
испанская	шпански
испанская	шпанско
испанская	шпанска
комплексы	комплекси
разнообразные	разновидна
мол	мал
мол	mal
мол	мол
моложе	помладо
моложе	помлади
моложе	помлад
моложе	помлада
интерпретации	толкувања
льда	лед
льда	мраз
северные	северен
северные	северна
сопровождении	придружувани
зимний	зима
институты	институти
институты	институции
немецкое	германски
немецкое	герман
немецкое	германска
норвежский	норвешкиот
норвежский	норвешки
норвежский	норвешка
командиров	командири
командиров	команданти
взяв	земање
лейтенанты	поручници
вулкан	вулкан
вулкан	вулканот
вулкан	вулканска
вулкан	вулкански
дополнительная	дополнително
дополнительная	дополнителни
дополнительная	дополнителна
дополнительная	додатни
дополнительная	дополнителен
дополнительная	екстра
десятилетий	декади
десятилетий	децении
выросла	порасна
выросла	растеше
выросла	пораснала
гостиницы	хотели
конкретный	специфична
конкретный	специфично
конкретный	специфични
конкретный	конкретни
конкретный	специфичен
конкретный	одредено
конкретный	конкретни
конкретный	конкретна
конкретный	бетон
конкретный	бетонски
конкретный	конкретен
верить	верувајте
верить	верувам
верить	поверувале
верить	веруваат
верить	верувај
купить	купи
верность	верност
верность	верноста
верность	верност
верность	лојалност
верность	лојалноста
поднять	укине
поднять	покачување
поднять	подигање
поднять	подигне
плата	хонорар
плата	давачки
плата	такса
репутацию	репутација
коммуникации	комуникации
костюм	костими
костюм	костум
костюм	костим
костюм	костуми
костюм	одело
костюм	костум
избирательный	селективно
избирательный	селективна
маяк	светилникот
маяк	светилник
норма	норма
норма	норм
отдельное	одделни
отдельное	одделно
отдельное	одвоени
воин	воин
крус	круз
отбора	селекција
отбора	избор
отбора	избирање
бойцы	борци
бойцы	борци
бойцы	борците
лук	allium
лук	кромид
лук	кромид
лук	лакот
лук	поклонување
лук	лак
ушел	заминати
прусской	берлинско
бабушка	прабаба
бабушка	баба
бабушка	бабата
бабушка	бабичка
бабушка	баба
бабушка	бабо
бабушка	баба
бабушка	бабичка
фишер	фишер
фишер	фишер
симфония	симфонија
скажите	кажи
скажите	речи
разрешено	овластени
разрешено	овласти
разрешено	дозволени
разрешено	дозволено
разрешено	дозволена
разрешено	дозволени
разрешено	дозволено
разрешено	одобрено
разрешено	овластени
разрешено	овластен
разрешено	авторизиран
гражданские	граѓански
гражданские	граѓанска
гражданские	граѓанско
гражданские	цивил
гражданские	цивилен
гражданские	цивили
марино	марино
александров	александров
вызвали	повикан
вызвали	повикани
богдан	богдан
проектирование	дизајн
проектирование	проектирање
проектирование	дизајнирање
повышенной	зголемени
функционирования	функционална
функционирования	функционален
функционирования	функционални
функционирования	функционирање
низкая	ниско
низкая	ниски
низкая	ниска
низкая	низок
краснодар	краснодар
завершено	заврши
завершено	завршено
завершено	завршив
завершено	заврши
завершено	завршена
завершено	завршено
сталинская	сталинистичкиот
франс	франс
франс	франс
франс	франција
индейцы	индијци
индейцы	индијанците
индейцы	индијанци
трио	трио
польшу	полска
толщиной	дебела
толщиной	густи
толщиной	дебели
толщиной	дебело
толщиной	дебел
достоинство	достоинствено
достоинство	достоинство
верующих	верниците
верующих	верници
верующих	верен
верующих	верници
верующих	верниците
верующих	верна
верующих	верни
пустыни	пустинска
пустыни	пустински
пустыни	пуст
пустыни	пустина
пустыни	пустината
пустыни	пустини
оборона	одбрана
оборона	одбрана
оборона	одбрамбена
оборона	одбранбен
оборона	одбранбена
аллен	ален
технически	технички
дяди	чичковци
христос	христос
христос	христа
героиня	хероина
снята	повлечен
снята	повлечена
снята	повлечени
эрика	ерика
эрика	ерика
упомянуть	спомнувам
упомянуть	споменување
пещера	пештерата
пещера	пештера
кабардино	кабардино
снимаю	снимањето
гости	посетители
гости	гости
обнаружена	откриени
обнаружена	откриено
обнаружена	откриена
обнаружена	откриен
обнаружена	откриена
переворот	удар
южные	јужен
южные	јужна
южные	јужни
афганистан	афганистан
афганистан	авганистан
перри	пери
обслуживание	сервиси
обслуживание	услуги
обслуживание	служби
обслуживание	сервисирање
обслуживание	услуги
обслуживание	служба
обслуживание	сервис
обслуживание	услуга
религиозный	верски
религиозный	религиозен
религиозный	религиски
религиозный	религиозно
религиозный	религиозна
сортов	видови
выделение	селекција
выделение	избор
выделение	избирање
вероятности	веројатности
степанов	степанов
банки	бенкс
банки	банките
банки	банки
банки	тегли
банки	лименки
банки	конзерви
патриархата	патријаршија
используемый	искористен
используемый	користени
используемый	користена
используемый	искористена
используемый	користен
настоящие	вистински
настоящие	реално
настоящие	вистинско
настоящие	вистинска
настоящие	реална
настоящие	реал
настоящие	автентична
настоящие	автентично
настоящие	автентичен
тяжёлый	тешка
тяжёлый	тежок
тяжёлый	тешки
тяжёлый	тешкото
сорок	четириесет
сорок	forty
ларри	лери
ларри	larry
ларри	лари
курган	курган
зам	zam
стояла	стоеше
стояла	стоеја
стояла	стоела
запретить	забрани
запретить	забрана
запретить	бан
запретить	забрануваат
запретить	забрани
крыша	кровот
крыша	кров
крыша	кров
крыша	покрив
крыша	покривот
промышленный	индустриски
промышленный	индустриско
промышленный	индустриска
продюсеры	продуценти
продюсеры	производители
объяснение	објаснување
объяснение	објаснение
уэст	запад
уэст	западно
уэст	вест
атмосферу	атмосфера
добавления	дополнувања
прорыв	пробив
прорыв	бекство
сложный	комплекс
сложный	комплексен
сложный	комплицирано
сложный	комплициран
сложный	комплицирана
сложный	комплицирани
мастерство	изработка
мастерство	мајсторство
мастерство	вештини
мастерство	вештина
сущность	суштина
сущность	екстракт
сущность	екстрактот
дизель	дизел
приоритет	приоритетни
приоритет	приоритет
кратко	накусо
кратко	накратко
боли	болката
боли	болки
боли	болка
секс	секс
уолтер	волтер
уолтер	валтер
инцидент	инциденти
инцидент	инцидент
посредничества	посредство
посредничества	посредување
серый	сив
серый	греј
серый	сиво
серый	сиви
серый	grad
серый	сив
серый	сиво
серый	сива
серый	греј
серый	сиви
филармонии	филхармонија
точность	прецизност
точность	прецизност
точность	точност
точность	точноста
просмотра	гледање
политбюро	политбиро
альянс	сојуз
альянс	алијанса
альянс	алијансата
заявляет	изјавил
заявляет	прогласи
проза	проза
упорно	тврдоглаво
белки	протеини
белки	протеин
белки	верверички
мяса	месо
управляет	успева
скандал	скандал
свадьбы	венчавки
свадьбы	свадби
свадьбы	венчавка
свадьбы	свадба
ранение	повреда
ранение	повреди
ранение	раната
ранение	рана
подразумевает	имплицира
подразумевает	подразбира
подразумевает	имплицира
фсб	фсб
пенсильвания	пенсилванија
арбитра	арбитер
цепь	коло
цепь	синџир
цепь	ланец
видна	видливо
видна	видлива
видна	видлив
видна	видливи
пруд	понд
пруд	барата
звёздный	ѕвездена
пятой	петти
пятой	петта
пятой	петто
волгоград	волгоград
делегации	делегации
персона	персона
умершего	починати
умершего	почината
умершего	починат
длиннее	подолго
длиннее	подолга
длиннее	подолг
длиннее	подолги
заменены	заменета
заменены	замени
заменены	заменети
заменены	заменето
заменены	заменет
процессор	процесор
процессор	процесор
изредка	повремено
эксперименты	експерименти
монах	монах
монах	калуѓер
монах	монк
гражданина	граѓанин
флоренции	флоренс
флоренции	фиренца
занят	зафатен
занят	зафатено
занят	зафатена
занят	зафатени
баз	бази
баз	базите
баз	baz
добровольцев	волонтери
добровольцев	доброволци
добровольцев	волонтер
добровольцев	доброволец
добровольцев	волонтерска
добровольцев	доброволни
добровольцев	волонтерски
рождение	породувања
рождение	раѓање
рождение	раѓањето
отменить	откажи
отменить	врати
винтовки	пушки
самостоятельный	автономни
самостоятельный	автономен
самостоятельный	автономна
доски	одбори
доски	даски
доски	табли
отступить	повлекување
очевидна	очигледен
очевидна	очигледно
очевидна	очигледни
очевидна	очигледна
вступление	вовед
вступление	најавата
существо	суштество
открытая	отворено
открытая	отворени
открытая	отворена
открытая	отворен
открытая	опен
открытая	отвори
знати	благородници
знати	благородниците
принесли	донесен
принесли	донесени
принесли	доведен
принесли	донесе
принесли	донесено
принесли	изведен
единство	единство
восьмой	eight
восьмой	осуммина
восьмой	осум
восьмой	осмиот
восьмой	осма
восьмой	осми
столкновение	судар
столкновение	судир
батарея	акумулатор
батарея	батерија
оценил	рангирани
оценил	оценети
оценил	ценета
оценил	ценети
оценил	ценат
топливо	гориво
топливо	горива
зенит	зенит
зенит	зенит
педагогических	педагошкиот
рико	рико
снятие	повлекувања
снятие	дигање
снятие	укинување
снятие	повлекување
прекращения	прекинување
купил	купени
купил	купена
купил	купено
купил	купен
купил	купена
купил	купи
купил	купено
купил	купила
срочно	итно
срочно	итно
похожие	слично
похожие	сличен
похожие	слична
похожие	слични
похожие	слична
похожие	слични
врачи	лекари
врачи	доктори
врачи	лекари
глубину	длабочина
галактики	галаксии
собирать	собираат
собирать	собирам
собирать	соберете
уникальный	единствени
уникальный	уникатни
уникальный	уникатна
уникальный	уникатно
уникальный	уникатен
массачусетс	масачусетс
мюллер	милер
мюллер	мулер
мюллер	милер
мостов	мостови
миллион	милион
миллион	милиони
комнаты	собите
комнаты	соби
ралли	рели
ралли	собир
ралли	митинг
сократить	скрати
сократить	намали
сократить	намалување
сократить	рез
сократить	исечи
сократить	сечи
стрельба	стрелање
стрельба	пукање
стрельба	пукотници
раскопки	ископувања
раскопки	ископувањето
раскопки	ископување
раскопки	ископувања
раскопки	ископувањата
корпорация	корпорација
австрийская	австрискиот
австрийская	австриски
австрийская	австриска
австрийская	австриско
вершина	теме
перестал	запрен
перестал	запре
перестал	престана
перестал	застанале
перестал	застанал
стрелок	стрелец
стрелок	шутер
стрелок	напаѓач
региональный	регионален
региональный	регионалната
региональный	регионално
региональный	регионални
региональный	регионална
резиденция	живеалиште
резиденция	престој
резиденция	резиденција
катание	лизгање
католицизм	католицизмот
эпитет	епитет
изготовление	производство
изготовление	производство
изготовление	правење
победителей	добитниците
победителей	добитници
победителей	победниците
победителей	победници
пользователи	корисници
полу	полу
борисов	борисов
землетрясения	земјотресите
землетрясения	земјотреси
землетрясения	земјотрес
колоний	колонии
христиане	христијански
христиане	кристијан
христиане	христијан
христиане	христијани
христиане	христијанин
христиане	христијани
тыл	задна
тыл	заден
кипр	кипар
мифы	митови
судьбу	судбината
судьбу	судбина
судьбу	судбината
судьбу	судбина
глубины	длабочините
глубины	длабочини
глубины	длабочина
ногу	нога
ногу	стапало
ногу	нога
страх	стравот
страх	страв
страх	стравопочит
интересная	интересни
интересная	интересно
интересная	интересна
интересная	интересен
заседания	состаноци
побеждает	победува
побеждает	победи
разработчик	развивач
разработчик	програмер
статуи	статуи
активная	активни
активная	активно
активная	активна
активная	активен
оперативной	оперативно
оперативной	оперативен
оперативной	оперативни
оперативной	оперативна
начальное	примарна
начальное	примарно
начальное	примарен
растворяется	раствори
заметили	забележал
заметили	забележаа
вмешательства	мешање
вмешательства	интервенции
вмешательства	интервенција
корона	круна
корона	корона
политиков	политичарите
политиков	политичари
посла	амбасадор
регулярного	редовна
регулярного	регуларен
регулярного	регуларно
регулярного	редовни
регулярного	редовен
регулярного	регуларни
разногласия	разлики
разногласия	несогласување
разногласия	несогласувања
разногласия	несогласувањата
операторы	оператори
производственного	продуктивен
производственного	продуктивно
производственного	продуктивни
риа	риа
традиционный	традиционални
традиционный	традиционално
традиционный	традиционална
традиционный	традиционален
генералов	генерали
фонтан	фонтана
авторство	авторските
ресторан	ресторан
присутствовали	присуствувале
присутствовали	присуствувал
присутствовали	присуствуваа
углы	ќошиња
углы	агли
углы	агли
партизаны	партизаните
партизаны	партизани
отчет	пријави
отчет	извештај
экспорт	извозот
экспорт	извоз
экспорт	извоз
экспорт	изнесување
экспорт	изнесување
антония	антонија
целое	integer
целое	цела
целое	целина
вещь	ствар
учебников	учебниците
учебников	учебници
подтверждено	потврдено
подтверждено	потврди
подтверждено	потврдена
подтверждено	потврден
лёгкий	лесна
шведская	шведскиот
шведская	шведска
шведская	шведски
товарищества	дружење
враг	непријателот
враг	непријател
изменилось	променето
изменилось	променет
наследник	наследник
наследник	наследничка
наследник	наследникот
коммунистическая	комунистичка
коммунистическая	комунистички
коммунистическая	комунист
широкая	широки
широкая	широка
широкая	широко
широкая	широка
широкая	широк
широкая	широки
мюзикл	музички
мюзикл	музичка
мюзикл	мјузикл
мюзикл	музичко
резерв	резерви
резерв	резервисти
резерв	резерва
резерв	резерват
репрессий	репресија
репрессий	одмазди
прозвища	прекари
поняли	разбрав
поняли	разбираше
поняли	разбра
поняли	сфати
интересный	интересни
интересный	интересно
интересный	интересна
интересный	интересен
реальные	вистински
реальные	реално
реальные	вистинско
реальные	вистинска
реальные	реална
реальные	реал
теннис	тенис
теннис	тениски
теннис	тенисот
теннис	тениско
ключи	клучевите
ключи	тастери
ключи	клучеви
ключи	копчиња
сделанные	направи
сделанные	направени
сделанные	направен
сделанные	made
восприятия	перцепции
банды	банди
татарский	татарски
духовное	духовна
духовное	духовни
духовное	духовен
духовное	духовно
славу	слава
славу	слава
таиланд	тајланд
финансирование	финансирање
финансирование	финансирање
финансирование	финансирање
финансирование	финансии
младшая	најмладиот
младшая	најмладите
младшая	најмлад
младшая	помладо
младшая	помлади
младшая	помлад
младшая	помлада
глазго	глазгов
соперников	ривали
пакистан	пакистан
робин	робин
робин	робин
библиотек	библиотеките
библиотек	библиотеки
угроза	закана
угроза	закана
председатели	столици
председатели	столчиња
председатели	столови
председатели	претседатели
подростков	тинејџери
подростков	тинејџери
демо	демо
демо	демос
военнопленных	заробеници
трагедия	трагична
трагедия	трагичен
трагедия	трагично
трагедия	трагедија
заседание	седница
заседание	сесија
заседание	средба
заседание	состанок
ушла	заминати
теоретик	теоретичар
луки	лакови
луки	поклонува
луки	лука
луки	лука
таиланда	тајланд
таиланда	тајландски
таиланда	тајландска
пройдя	усвојувањето
пройдя	поминување
пройдя	минување
советники	советници
советники	советници
советники	советниците
советники	советници
отправили	испратени
отправили	испрати
отправили	испратено
отправили	испратена
отправили	пратен
отправили	испратен
аэропорты	аеродроми
гитлер	хитлер
связанный	поврзани
связанный	поврзано
связанный	поврзан
оплаты	исплата
оплаты	плаќање
организмов	организми
присоединиться	приклучи
хьюстон	хјустон
счастье	среќа
загрузки	симнувања
холл	сала
культ	култ
культ	секта
домашнее	домашно
лесных	шума
лесных	шумски
никитин	никитин
поколений	поколенија
поколений	генерации
македония	македонија
кондратьев	kondratiev
утверждено	одобрено
утверждено	одобрен
утверждено	одобрени
утверждено	одобри
утверждено	одобрена
волос	влакна
волос	коса
создатели	креатори
создатели	креаторите
покрытия	насловната
покрытия	корица
покрытия	насловна
ферма	фармата
ферма	фарма
грозный	грозни
условие	услов
условие	состојба
объединять	комбинира
португальский	португалски
низкий	ниско
низкий	ниски
низкий	ниска
низкий	низок
никуда	никаде
древесины	дрво
древесины	дрва
уменьшить	намали
уменьшить	намалување
уменьшить	намали
уменьшить	намалување
уменьшить	опаѓање
уменьшить	психијатар
уменьшить	смалување
типичный	типично
типичный	типичен
типичный	типична
типичный	типични
геолог	геолозите
мобильных	мобилен
мобильных	мобилни
мобильных	мобиле
получены	примен
получены	добиени
получены	доби
получены	примена
получены	примиле
азота	азот
усовершенствования	подобрувања
мозг	мозок
мозг	мозокот
мозг	мозок
мозг	мозоци
поднял	израснат
поднял	одгледан
бред	бред
бред	делириум
бред	заблуда
дэнни	дени
дэнни	дани
секция	рез
секция	оддел
секция	отсек
секция	секција
десятка	десетмина
десятка	ten
десятка	десетка
десятка	десет
десятка	десетина
десятка	дузина
нацистской	нацистичка
нацистской	нацистички
нацистской	нацист
нацистской	наци
господин	мистер
господин	господине
господин	господин
господин	доминус
богатых	богата
богатых	богато
богатых	богат
богатых	богати
богатых	рич
богатых	богати
сау	сау
биология	биологија
акулы	ајкули
акулы	ајкула
диалектов	дијалекти
сложность	потешкотии
сложность	сложеност
сложность	тешкотија
сложность	комплексност
сложность	комплексноста
прибытия	пристигнување
осло	осло
расписание	распоред
расписание	распоред
введено	воведена
введено	воведен
введено	воведе
введено	воведени
квантовой	квантна
джонатан	џонатан
снималась	глумеше
разрыв	распадот
разрыв	раскинување
разрыв	празнина
разрыв	јаз
разрыв	гап
пошла	тргна
пошла	отиде
пошла	отишол
греки	грци
греки	грците
греки	грчки
греки	грчка
греки	грк
проявления	манифестации
проявления	манифестација
богослов	теолог
эволюция	еволуција
подписания	потпишувањето
подписания	потпишување
подписания	потпис
леонардо	леонардо
сеньор	сењор
сеньор	сењор
водитель	шофер
водитель	возачот
водитель	управувач
водитель	возач
постоянная	траен
постоянная	трајна
постоянная	трајно
постоянная	постојана
постоянная	постојан
постоянная	постојано
постоянная	константно
постоянная	константна
постоянная	константа
монахов	монаси
монахов	монасите
паоло	паоло
завоевать	освојување
вино	вино
бокс	бокс
прожил	живееја
прожил	живеел
прожил	живееше
прожил	живеев
прожил	живееле
рабов	робови
формируется	формирање
формируется	формирајќи
боливии	боливија
популярная	популарно
популярная	популарен
популярная	популарни
популярная	популарна
фрегезия	freguesia
желающие	посакувајќи
шейх	шеик
шейх	шеикот
шейх	шеикот
охлаждения	ладење
охлаждения	замрзнување
путешественник	патник
путешественник	патникот
путешественник	патник
путешественник	патничка
гаити	хаити
арсенал	арсенал
отбор	селекција
отбор	избор
отбор	избирање
заменена	заменета
заменена	замени
заменена	заменети
заменена	заменето
заменена	заменет
автономии	автономија
мадам	мадам
мадам	госпоѓа
мадам	мадам
молока	млеко
специалиста	специјалист
словари	речници
длительность	времетраење
длительность	траење
окончательный	final
окончательный	финална
окончательный	конечен
окончательный	конечна
мера	измери
мера	мерка
мера	мера
департаменты	оддели
фазы	фази
рекорды	рекорди
рекорды	евиденција
рекорды	записи
меню	мени
меню	менијата
меню	менија
белград	белград
белград	белградски
вилли	вили
вилли	вили
хлеба	леб
владельцев	сопственици
археологических	археолошки
археологических	археолошко
археологических	археолошки
сорока	четириесет
сорока	forty
соблюдать	набљудувај
наталия	наталија
приносит	носи
приносит	донесува
инициатором	иницијатор
дерби	дерби
дерби	дербито
глеб	глеб
голода	глад
голода	глад
испанию	шпанија
ассамблеи	собранија
ассамблеи	собранието
ассамблеи	собрание
фернандес	фернандез
фернандес	фернандез
снаружи	надвор
археолог	археологот
археолог	археолог
отмечена	означени
отмечена	означена
отмечена	означен
отмечена	означено
отмечена	означени
отмечена	означено
отмечена	обележани
отмечена	одбележан
отмечена	обележано
баскетбол	кошарка
константинополь	цариград
константинополь	цариградски
константинополь	константинопол
гектаров	хектари
предпочтение	претпочитана
общение	комуникација
общение	комуникации
общение	комуницираат
встретились	запознав
встретились	сретна
встретились	исполнето
джефф	jeff
джефф	џеф
абд	абд
луч	зрак
луч	бим
луч	греда
противоречия	контрадикции
противоречия	контрадикција
амстердам	амстердам
эми	ејми
антуан	антоан
цветок	цвеќе
цветок	цвет
философские	филозофски
частная	приватно
частная	приватен
частная	приватна
частная	приватни
цру	циа
цру	cia
цру	циа
калия	калиум
ленте	храни
ленте	довод
морган	морган
прокурор	обвинител
мигель	мигел
равных	еднакво
равных	еднаков
равных	еднакви
равных	еднаквите
коммуне	комуна
сомали	сомалија
арк	лак
арк	арка
арк	арката
чай	чај
этапы	фази
этапы	фази
этапы	чекори
этапы	пресвртници
родственники	роднини
родственники	роднините
доверие	самодоверба
доверие	доверба
доверие	верувајте
доверие	веруваат
доверие	верувај
доверие	доверба
интерьер	ентериер
интерьер	внатрешност
уничтожено	уништен
уничтожено	уништени
уничтожено	уништено
уничтожено	уништена
мэтт	мет
мэтт	мат
блоки	блока
блоки	блокови
михаэль	михаел
михаэль	мајкл
михаэль	михаил
михаэль	michael
аргентинский	аргентинска
афанасий	афанасиј
хью	хју
леопольд	леополд
склоне	падина
сер	господине
сер	сер
нормальная	нормален
нормальная	нормално
нормальная	нормална
нормальная	нормални
нос	нос
произношение	изговор
произношение	изговорот
наследника	наследник
наследника	наследничка
наследника	наследникот
пит	пит
адама	адам
ионизации	јонизација
кишинёв	кишинев
уверенно	уверен
уверенно	уверени
уверенно	самоуверен
уверенно	убеден
абрамович	абрамович
кукол	куклите
кукол	кукли
луций	луциј
луций	луциус
зерна	зрна
зерна	зрно
зерна	житарици
зерна	жито
зерна	зрна
зерна	зрнца
еврейские	еврејка
еврейские	евреин
еврейские	еврејски
еврейские	евреј
еврейские	еврејско
габриэль	габриел
габриэль	гаврил
габриэль	габриел
габриэль	габриела
дракон	змеј
тенденции	трендови
монархии	монархија
разбил	уништен
пекин	пекинг
девочек	девојчиња
девочек	девојки
дарья	дарја
дарья	дарија
жозе	жозе
жозе	хозе
жозе	жозе
жозе	хозе
жозе	хосе
поставки	пратки
поставки	дотур
поставки	набавка
поставки	залиха
поставки	снабдување
поставки	дотурот
поставки	испораки
поставки	дотур
поставки	залихи
поставки	намирници
грудь	гради
грудь	градите
грудь	гради
грудь	дојка
грудь	градите
грудь	гради
интересует	заинтересираните
интересует	заинтересиран
интересует	заинтересирани
интересует	заинтересирана
бросил	напуштено
бросил	напуштени
бросил	напуштен
бросил	напуштена
бросил	фрлени
бросил	фрлиле
бросил	фрлале
самолет	летала
самолет	авионски
самолет	авионски
самолет	авион
самолет	авионски
самолет	авион
картер	картер
противостояние	соочување
противостояние	конфронтација
противостояние	опозициски
противостояние	опозицијата
противостояние	противење
противостояние	опозиција
изабелла	изабел
изабелла	изабела
союзники	сојузници
