年	taon
交通	trapiko
交通	transportasyon
交通	sasakyan
木	kahoy
木	wood
討論	talakayan
討論	talakayin
討論	usapan
故事	story
故事	kuwento
故事	kwento
故事	kuwento
直接	direktang
直接	direct
直接	direkta
直接	direkta
參與	paglahok
參與	pagsali
參與	engagement
參與	paglahok
朗	lon
湖	lawa
根	ugat
根	root
根	roots
保留	reserbasyon
保留	reserved
保留	reservation
希望	umaasa
希望	umasa
希望	sana
手	kamay
手	kamay
手	hands
心	heart
心	puso
心	hearts
巴士	bus
巴士	bus
播放	broadcast
播放	pagsasahimpapawid
播放	dula
播放	play
播放	makipaglaro
播放	maglaro
播放	gumaganap
播放	paglalaro
播放	naglalaro
音	tone
音	tono
增加	pagtaas
增加	dagdagan
增加	taasan
增加	pagtaas
增加	tataas
增加	nadagdagan
角	kanto
角	sulok
角	anggulo
角	angular
角	cape
角	tangos
角	kabo
角	puntong
角	punto
角	point
天文台	obserbatoryo
耶	yehey
丹	dan
太	masyadong
太	rin
徐	seo
徐	tsui
永	wing
永	pakpak
永	yong
歌	kanta
歌	songs
歌	awitin
歌	kanta
歌	awit
美元	dolyar
美元	dolyar
圖	diagram
圖	grapo
圖	tsart
圖	chart
圖	pigura
圖	personalidad
圖	figure
投票	boto
投票	bumoto
投票	pagboto
投票	voting
投票	boboto
投票	botohan
投票	poll
灣	pumapasok
灣	sapa
灣	cove
灣	look
灣	bay
民主	demokrasya
寺	templo
雖然	bagaman
雖然	although
參加	dumalo
參加	paglahok
參加	pagsali
參加	dadalo
特別	espesyal
特別	special
控制	kontrol
控制	kontrolin
控制	pagkontrol
控制	kinokontrol
蒙	mont
戰	labanan
戰	digmaan
戰	digmaang
電視台	telebisyon
以下	ibaba
然而	subalit
然而	gayunman
然而	gayunpaman
七	pitong
七	seven
七	pito
口	bunganga
口	bibig
仁	jin
仁	jen
委員會	commission
委員會	komisyon
編輯	edit
編輯	editing
編輯	editor
資料	datos
資料	data
隆	takashi
隆	ryu
青	ching
青	tsing
播出	broadcast
播出	pagsasahimpapawid
路線	ruta
路線	route
倫	lun
年度	taon
宋	awitin
宋	kanta
宋	awit
附近	malapit
附近	malapit
附近	kalapit
歌手	singers
歌手	singer
店	shop
店	tindahan
店	mamili
店	tindahan
店	store
二十	bente
二十	dalawampu
組織	organisasyon
組織	tissue
組織	division
組織	dibisyon
分類	klasipikasyon
教授	professor
教授	propesor
盃	tasa
盃	kopa
源	source
源	pinagkunan
八	walong
八	otso
八	walo
法國	pransiya
法國	france
除了	puwera
除了	maliban
除了	pwera
文字	text
文字	txt
文字	teksto
民族	lahi
民族	nationalities
主席	pangulo
主席	presidente
主席	chairperson
主席	chairman
不過	ngunit
不過	pero
文物	artifacts
文物	antiquities
文物	relics
老	matanda
老	luma
女子	babae
選	pick
選	pumili
世紀	siglo
世紀	century
鐵	bakal
鐵	iron
德國	germany
德國	alemanya
德國	mikrobyo
票	tiket
票	ticket
票	tiket
動畫	anime
打	lumaban
關係	kaugnayan
關係	relasyon
關係	ugnayang
關係	ugnayan
關係	relasyon
關係	pinagsamahan
關係	kaugnayan
關係	relasyon
能力	kapasidad
能力	makayanan
能力	kakayahan
能力	kakayahang
能力	kakayahan
能力	kakayahan
能力	kapabilidad
佛	buddha
少	kaunti
少	less
網站	website
網站	site
網站	website
模板	template
模板	template
頭	head
頭	ulo
個人	personal
個人	indibiduwal
擁有	pagkontrol
擁有	aari
學生	estudyante
學生	studyante
學生	student
學生	estudyante
鎮	bayan
南部	katimugang
南部	southern
南部	timog
語言	wika
語言	alangan
語言	wikang
語言	tausug
模式	pattern
模式	pattern
模式	mode
相關	kaugnayan
相關	kaugnay
決定	nagpasiya
決定	nagdesisyon
決定	desisyon
楊	jan
楊	yang
楊	yeo
方向	direksiyon
方向	direction
方向	direksiyon
方向	direksyon
方向	oryentasyon
方向	orientation
郭	guo
方法	paraan
方法	pamamaraan
影響	epekto
影響	epekto
影響	impluwensiya
影響	impluwensya
影響	effects
影響	epekto
影響	nakakaimpluwensiya
影響	impluwensya
許多	maraming
許多	marami
第四	ikaapat
第四	fourth
秀	soo
死	patay
自治	autonomy
蘇	sue
甚至	kahit
開	buksan
開	bukas
開	open
見	makita
見	see
見	makakita
見	tingnan
田	tian
只是	lng
只是	nalang
只是	basta
結束	matatapos
結束	katapusan
結束	pagtatapos
結束	tapusin
結束	dulo
巴西	brazil
共同	karaniwan
共同	karaniwang
出版社	publisher
提名	nominations
提名	nominate
保護	pagprotekta
保護	proteksyon
保護	pinoprotektahan
保護	protektado
加上	magdagdag
加上	add
加上	idagdag
加上	plus
食	kain
食	kumakain
獨立	indie
獨立	malayang
獨立	independent
獨立	independence
獨立	kalayaan
包含	naglalaman
距離	layo
距離	distansya
距離	distansiya
社會	lipunan
社會	panlipunan
社會	social
社會	sosyal
加拿大	canada
兩個	dalawang
兩個	dalawa
兩個	two
公尺	meters
公尺	metro
公尺	meter
還	rin
還	din
哥	kuya
歐洲	europa
歐洲	gresya
歐洲	europeo
歐洲	european
像	parang
像	like
像	gustuhin
鐵路	riles
鐵路	railway
鐵路	riles
鐵路	riles
居民	residente
功能	tungkulin
功能	punsiyon
功能	tampok
功能	katangian
功能	pagganap
功能	tampok
功能	itampok
功能	paggana
功能	functionality
功能	andar
聯盟	unyon
聯盟	union
聯盟	unyong
聯盟	league
聯盟	liga
聯盟	alyansa
聯盟	samahan
聯盟	coalition
洪	hung
洪	hong
利用	gamitin
最終	eventually
最終	kalaunan
平均	karaniwan
侵	assault
雙	dobleng
雙	double
雙	doble
再次	ulit
再次	again
再次	muli
再次	nanaman
網	web
網	network
網	net
施	shi
量	dami
演員	cast
演員	actors
演員	aktor
演員	aktres
演員	artista
演員	actress
演員	artista
演員	actor
演員	aktor
亞洲	asyano
亞洲	asian
亞洲	asya
全球	globally
全球	globo
全球	globe
全球	pandaigdigang
全球	global
全球	pandaigdigan
全部	all
全部	puro
全部	lahat
北部	north
北部	hilagang
北部	hilaga
北部	hilagang
運動	palakasan
運動	isports
運動	sports
運動	galaw
運動	mosyon
運動	gumagalaw
運動	palakasan
運動	sport
運動	isport
運動	paggalaw
運動	kilusan
中共	cpc
中共	ccp
毛	mao
草	damo
直到	hanggang
名字	pangalan
名字	pong
地球	daigdig
地球	lupa
死亡	kamatayan
戰爭	digmaan
戰爭	digmaang
戰爭	wars
溪	creek
邦	pong
紅	pula
紅	red
唱片	record
唱片	talaan
唱片	rekord
安全	ligtas
安全	safe
安全	ligtas
安全	secure
玉	jade
學院	academy
學院	college
學院	kolehiyo
學院	colleges
勝	sheng
豪	howe
鄉	nayon
原因	dahilan
原因	sanhi
原因	cause
通過	via
通過	through
通過	pumasa
通過	ipasa
通過	pass
管	pipe
管	tubo
管	tube
強	malakas
強	strong
選舉	halalan
選舉	eleksyon
辛	kasalanan
辛	xin
漢	han
法律	batas
革命	himagsikang
革命	rebolusyon
革命	matris
計劃	plano
計劃	plan
計劃	magplano
計劃	plano
時代	times
時代	beses
男性	males
男性	male
男性	lalaki
男性	kalalakihan
目的	naglalayong
形式	anyo
形式	format
鄭	zheng
鄭	jeong
鄭	jung
基本	basic
蔡	tsai
蔡	cai
蔡	choy
蔡	chae
葉	dahon
葉	yip
單位	units
單位	yunit
單位	yunit
單位	unit
惠	megumi
修	ayusin
科技	teknolohiya
科技	tech
青年	kabataan
流	streaming
流	daloy
流	streams
流	batis
流	daloy
蒙古	mongolia
結果	outcome
結果	kinalabasan
結果	resulta
結果	resulta
教	pagtuturo
教	turuan
教	magturo
解放	paglaya
解放	liberation
解放	liberated
祖	joe
體	katawan
球隊	team
昌	cheong
左	natitira
左	pakaliwa
左	iniwan
左	naiwan
左	kaliwa
戴	dai
戴	nagsusuot
戴	magsuot
自然	natural
自然	naturally
自然	likas
自然	natural
自然	kalikasan
自然	nature
台北	taipei
澳門	macao
澳門	macau
新的	new
新的	bago
新的	bagong
經濟	economics
經濟	ekonomiya
經濟	economic
經濟	ekonomiya
傑	jie
傑	jay
切	hiwa
切	cut
一起	sama
一起	magkasama
越南	vietnam
越南	vietnamese
權	kwon
快速	mabilisan
快速	dali
快速	mabilis
快速	kabilis
快速	fast
學	learning
學	matutunan
學	matuto
學	aralan
學	malaman
職業	career
職業	karera
職業	propesyon
團	regiment
百	daang
廣	malapad
廣	malawak
相同	magkapareho
相同	parehong
相同	same
類	klase
兵	sundalo
兵	kawal
億	billion
億	bilyon
分鐘	minuto
分鐘	minuto
松	pino
發	hair
發	buhok
政策	patakaran
政策	patakaran
銀	pilak
銀	silver
日期	date
日期	petsa
日期	dates
單曲	singles
普通	ordinaryo
普通	ordinaryong
鰭	fin
男子	kalalakihan
共和國	republika
理由	dahilan
南京	nanjing
交流	palitan
交流	palit
交流	pagpapalitan
總統	pangulo
總統	presidente
標準	pamantayan
標準	pamantayan
標準	criterion
標準	pamantayan
標準	karaniwang
標準	standard
排名	ranking
排名	ranggo
排名	standings
排名	rankings
排名	rank
排名	ranggo
排名	ranked
表	lamesa
表	mesa
表	talahanayan
表	table
韓國	korean
韓國	koreano
韓國	korea
行動	aksiyon
行動	pagkilos
行動	aksyon
行動	operation
行動	operasyong
行動	operasyon
行動	aksyon
行動	aksiyon
桑	moras
博士	doktor
博士	doctor
立法	legislation
尾	tail
尾	buntot
尾	krus
熱帶	tropikal
熱帶	tropiko
議員	senador
議員	senator
議員	congressman
漫畫	komiks
漫畫	cartoons
漫畫	comic
漫畫	manga
漫畫	cartoon
短	maiksi
短	maikli
短	short
短	pandak
短	maikling
坑	hukay
坑	pit
大型	large
大型	malaki
大型	malaking
凱	kai
凱	kay
生物	biology
生物	biyolohiya
生物	nilalang
生物	organismo
生物	organism
生物	nilalang
生物	creature
城鎮	bayan
春	spring
春	tagsibol
海軍	naval
公路	daan
公路	lansangan
公路	highway
公路	daan
公路	highway
冠	korona
作家	manunulat
作家	manunulat
雪	niyebe
雪	snow
牛	baka
牛	baka
牛	toro
牛	bull
火	fire
火	sunog
火	apoy
攻擊	umaatake
攻擊	attack
攻擊	atake
攻擊	assault
值	halaga
十二	labindalawang
十二	dose
新加坡	singapore
琳	lynn
西部	west
西部	kanluran
西部	kanluranin
西部	western
土	dumi
土	lupa
早期	maagang
早期	maaga
速度	hagibis
速度	bilis
合併	merger
合併	pagsamahin
合併	nagsasama
合併	pagpapatatag
建築	gusali
建築	konstruksiyon
建築	construction
建築	konstruksyon
建築	architecture
建築	arkitektura
道路	daan
道路	daan
發表	paglalathala
發表	publishing
發表	ilathala
發表	publish
發表	inilathala
發表	publish
低	lower
低	mababang
低	mababa
低	low
色	kulay
樂	lok
轉	turn
轉	lumiko
仍然	parin
來自	mula
天津	tianjin
技術	teknikal
技術	pamamaraan
技術	teknolohiya
技術	pamamaraan
主任	direktor
主任	director
畢業	nagtapos
畢業	pagtatapos
畢業	graduation
畢業	graduate
設	set
設	itakda
機場	airport
機場	paliparan
機場	airports
威廉	william
館	pavilion
天主教	katolisismo
天主教	katoliko
富	mayaman
富	rich
富	mayayaman
千	libong
千	libo
芬	fen
芬	fin
大部分	pinaka
大部分	karamihan
程	cheng
房	silid
房	kuwarto
房	kwarto
柏	por
最早	earliest
她的	her
她的	kanya
她的	siya
太平洋	pasipiko
太平洋	pacific
費	fee
費	bayad
情況	situation
情況	sitwasyon
最初	initially
來源	source
來源	pinagkunan
來源	sources
來源	pinagmumulan
來源	pagkukunan
首都	capital
首都	kabisera
首都	kapital
牌	baraha
杯	tasa
杯	kopa
廣告	ads
廣告	patalastas
廣告	pagpapatalastas
廣告	advertising
廣告	anunsyo
廣告	anunsiyo
廣告	advertisement
廣告	patalastas
深	lalim
深	malalim
深	deep
描述	describe
描述	ilarawan
描述	paglalarawan
描述	estadistikang
皇帝	emperador
侯	hou
域	domain
域	domain
流行	popular
流行	sikat
流行	pop
潘	pam
潘	pan
計畫	plano
計畫	plan
計畫	magplano
列車	tren
列車	tren
環	ring
環	singsing
環	tawagan
環	singsing
環	rings
環	loop
父	ama
父	tatay
父	father
取代	pinagpalit
取代	pinalitan
取代	palitan
兄弟	kuya
物理	pisikang
物理	pisika
物理	pisikal
底	ibaba
底	ilalim
右	diba
右	kanang
武器	sandata
武器	armas
武器	sandata
顯示	ipinapakita
顯示	ipinapakita
顯示	nagpapakita
顯示	ipakita
顯示	ipapakita
顯示	display
顯示	magpakita
顯示	ipakita
顯示	pakita
顯示	show
制度	regime
報告	iulat
報告	ulat
報告	inuulat
報告	ulat
秒	seconds
秒	segundo
秒	pangalawa
秒	sec
第五	ikalimang
第五	panglima
雲	ulap
雲	ulap
雲	yun
小說	nobela
小說	nobelang
小說	fiction
風	hangin
程度	degree
程度	antas
導演	direktor
導演	director
父親	ama
父親	tatay
父親	father
和平	peace
和平	kapayapaan
西北	northwestern
西北	northwest
產生	pagbuo
圈	activities
圈	bilog
修改	binago
直	straight
直	tuwid
直	diretso
生產	paggawa
生產	produksyon
生產	production
申請	aplikasyon
申請	aplikasyon
單	single
單	solong
谷	lambak
谷	valley
谷	tani
魏	wei
巴黎	paris
巴黎	parokya
家庭	kapamilya
家庭	pamilya
流域	basin
流域	watershed
宗教	pananampalataya
宗教	relihiyon
宗教	relihiyoso
表演	gumaganap
英格蘭	inglatera
英格蘭	england
拜	bye
聯合	dugtong
聯合	pinagsamang
當地	lokal
不久	nagtagal
不久	soon
作用	tungkulin
改革	reporma
改革	reformed
藝術	sining
藝術	art
藝術	sining
球員	player
球員	manlalaro
球員	manlalaro
教區	parokya
教區	diocese
處理	paghawak
處理	hawakan
處理	pinoproseso
處理	pagpoproseso
處理	processing
處理	pagproseso
先生	sir
寧	ning
建議	advice
建議	payo
建議	rekomendasyon
建議	mungkahi
建議	mungkahi
建議	rekomendasyon
建議	proposal
旅	brigada
全國	nationwide
人員	tauhan
虎	tiger
虎	tigre
超級	super
土地	lupain
土地	lupa
彭	peng
四川	sichuan
曹	cao
展	eksibisyon
展	exhibition
特色	tampok
特色	katangian
特色	tampok
特色	itampok
公園	liwasan
公園	park
公園	parke
公園	parks
包	supot
包	bag
包	pakete
包	package
包	bao
包	pack
中部	midlands
韋	wei
翼	tsubasa
翼	wing
翼	pakpak
翼	wings
翼	pakpak
孔	butas
麥	mak
盧	lou
十一	labing
研究所	institute
研究所	suriang
研究所	institutes
協會	association
主演	starring
文學	pampanitikan
文學	panitikan
文學	panitikang
頻道	channels
頻道	channel
頻道	channel
少年	teen
少年	tinedyer
少年	junior
舊	matanda
舊	luma
大家	lahat
股份	namamahagi
股份	pagbabahagi
泉	izumi
紀錄	record
紀錄	talaan
紀錄	rekord
紀錄	records
紀錄	talaan
影片	films
影片	pelikula
影片	sine
影片	movie
影片	video
身份	identities
身份	pagkakakilanlan
身份	pagkakilanlan
身份	katauhan
義	katwiran
義	katuwiran
基地	base
必須	dapat
文件	files
文件	file
文件	tipunan
文件	magsampa
文件	talaksan
文件	file
電視劇	drama
更多	pa
更多	pang
藍	blue
藍	bughaw
藍	asul
居住	paninirahan
居住	residence
居住	tirahan
力量	lakas
力量	tibay
板	plates
板	plato
板	plate
板	plato
秦	shih
浙江	zhejiang
禁	forbidden
禁	ipinagbabawal
船	barko
船	bangka
文章	akda
文章	artikulo
意見	opinyon
意見	comments
意見	opinyon
公主	princess
公主	prinsesa
同意	pumayag
同意	agree
果	prutas
最多	pinaka
最多	karamihan
最多	max
地下	underground
十	sampung
十	sampu
銀行	pampang
銀行	bangko
銀行	bangko
非洲	africa
非洲	aprika
非洲	aprikano
非洲	african
媒體	media
媒體	midya
支援	suportahan
支援	support
支援	sumusuporta
支援	suporta
支援	sumuporta
支援	sinusuportahan
支援	backup
陵	mausoleum
第十	tenth
拍攝	shoot
拍攝	bumaril
拍攝	barilin
拍攝	kumuha
拍攝	film
拍攝	shooting
拍攝	pagbaril
拍攝	pamamaril
還有	at
