نيبال	nepalu
يولد	urodzona
يولد	urodzone
حرق	płonie
حرق	spalić
حرق	spal
حرق	spalanie
حرق	pali
حرق	płonie
حرق	palenie
حرق	spalenie
حرق	pieczenie
النيجر	niger
نقش	napis
فلورنسا	florencja
بورت	burt
بورت	portu
بورت	port
مترجم	tłumacz
مترجم	tłumacza
مترجم	tłumacz
مترجم	tłumacza
جلسات	sesji
جلسات	sesje
القراءات	odczyty
القراءات	odczyt
عال	wysoka
عال	wysokie
عال	high
عال	wysoki
عال	wysoko
عال	głośne
عال	głośno
عال	głośny
مريض	pacjentka
مريض	pacjenta
مريض	cierpliwy
مريض	pacjent
مريض	chore
مريض	chora
مريض	chory
مريض	chorzy
بطريق	pingwin
بطريق	pingwiny
جرعة	dawkowanie
جرعة	dawkę
جرعة	dawka
جرعة	dawki
مناورات	manewry
مناورات	manewry
مثيرة	sexy
المقيمين	rezydentów
المقيمين	mieszkańców
المقيمين	mieszkańcy
المثالية	idealizm
الشفاء	leczenie
شتاء	winter
شتاء	zimowy
شتاء	zimy
شتاء	zima
شتاء	zimowe
شرب	pije
شرب	picie
شرب	piła
شرب	pić
شرب	pić
شرب	napój
اكتساب	nabyć
اكتساب	pozyskanie
اكتساب	przejęcie
اكتساب	nabywanie
اكتساب	nabycie
اكتساب	pozyskiwanie
اكتساب	nabycia
ليوناردو	leonardo
المتاحف	muzea
بورما	birmie
بورما	birmy
بورما	birmański
سين	sen
النزاعات	konflikty
النزاعات	konfliktów
النزاعات	konflikt
النزاعات	kłótnie
النزاعات	sporów
النزاعات	spory
منتظم	zwykły
منتظم	regularne
منتظم	regularnie
منتظم	regularny
الزكاة	jałmużnę
الجيولوجية	geologiczne
رمزي	ramzi
رمزي	symboliczne
رمزي	symbol
استكشاف	zwiedzanie
استكشاف	zwiedzania
استكشاف	odkrywanie
درعا	zbroja
درعا	zbroję
درعا	zbroi
درعا	pancerz
درعا	tarcze
درعا	osłony
درعا	tarcza
درعا	osłona
درعا	tarczy
الصانع	wytwórca
الصانع	producent
الصانع	producenta
فرس	mare
فرس	klacz
الذئاب	wilków
الذئاب	wilki
المواصفات	specyfikacja
المواصفات	specyfikacje
المواصفات	specyfikacji
المواصفات	specyfikacja
المواصفات	specyfikacja
المواصفات	specyfikacje
كيب	kip
زر	guzik
زر	przycisk
القبلية	plemienia
الطيبة	życzliwość
الطيبة	dobroć
الطيبة	dobroci
الطيبة	uprzejmość
جوقة	chóru
جوقة	chór
موانئ	portów
موانئ	porty
شعور	uczucie
شعور	czucie
العملاق	gigant
العملاق	olbrzymie
العملاق	olbrzymi
العملاق	olbrzym
ريفية	wiejskich
ريفية	wiejski
ليلا	laila
ليلا	nocy
ليلا	nocny
ليلا	night
ليلا	noc
العجز	niepełnosprawności
العجز	niepełnosprawność
العجز	deficytu
العجز	deficyt
الانتقام	zemsty
الانتقام	zemsta
جرام	gram
جرام	grama
بولونيا	bolonii
نيكولا	nicola
الضابط	oficer
الضابط	funkcjonariusz
الضابط	oficerze
الفاكهة	owoce
الفاكهة	owoców
الفاكهة	owoc
الكود	kodu
الكود	code
الكود	kod
حريق	ogień
حريق	pożar
شواطئ	plaże
الخلط	mieszania
الخلط	mieszanie
الخلط	niejasności
الخلط	zamęt
الخلط	zamieszanie
الخلط	zakłopotanie
الخلط	zagubiona
الخلط	zmieszany
الخلط	zagubiony
الزهراء	zahra
زمان	zaman
المقابر	cmentarzu
المقابر	cmentarz
تصريح	autoryzacja
تصريح	upoważnienie
تصريح	zezwolenie
تصريح	pozwolenie
دلالة	znaczenie
منفصل	rozdzielone
منفصل	oddzielone
منفصل	osobne
منفصل	odrębne
منفصل	oddzielne
هود	hood
هود	kaptur
بديلة	alternatywna
بديلة	alternatywne
بديلة	alternatywa
بديلة	alternatywny
بديلة	alternatywnie
بديلة	zastępca
بديلة	alternatywny
بديلة	zastępców
بديلة	alternatywne
بديلة	alternatywna
ذروة	climax
ذروة	pik
ذروة	szczyt
ذروة	peak
الشيعية	szyickiej
الشهادات	zaświadczenie
الشهادات	certyfikat
الشهادات	świadectwo
الشهادات	certyfikaty
الشهادات	referencje
الشهادات	certyfikaty
الشهادات	świadectwa
التنبؤ	przewidywania
التنبؤ	prognoza
التنبؤ	prognozy
التنبؤ	przepowiednia
التنبؤ	przewidywanie
المشرف	moderatora
المشرف	przełożony
المشرف	nadzorca
المشرف	opiekun
المشرف	administracja
المشرف	administrator
المشرف	administratora
المشرف	administratorem
ترميز	kodowanie
ترميز	kodowania
ترميز	kodowanie
هيلين	helena
هيلين	helen
يفتح	otwiera
مثبطات	inhibitorów
مثبطات	inhibitory
الحمد	chwała
الحمد	chwalić
الصيانة	utrzymanie
الصيانة	utrzymania
الصيانة	konserwacja
الانتقالية	przejściowe
الانتقالية	przejściowa
الانتقالية	przejściowy
التبغ	tytoń
التبغ	tytoniu
اصدار	wydanie
اصدار	wyd
اصدار	edycja
اصدار	wersja
اصدار	wersji
اصدار	wersję
اصدار	emisja
اصدار	wydanie
اصدار	zagadnienie
ليلي	lily
فيشر	fisher
فيشر	fishera
كول	cole
صغار	młoda
صغار	młody
صغار	młode
صغار	młodzi
صغار	young
راسل	russel
راسل	russell
راسل	russella
صديقة	dziewczyna
صديقة	dziewczynę
شتات	diaspory
الجمجمة	czaszka
الجمجمة	czaszki
الجمجمة	czaszkę
الكبريت	siarki
الكبريت	siarki
الظل	cieni
الظل	cienie
الظل	cień
الظل	cieniu
الظل	cienia
الظل	shadow
الظل	cień
الظل	odcień
الظل	cienia
الظل	cieniu
الظل	cień
يختار	zaznacza
يختار	wybiera
يختار	wybiera
كارتر	carter
نيفادا	nevada
القلم	pen
القلم	długopis
القلم	pióro
التقديرات	oszacowania
التقديرات	oszacowanie
التقديرات	oszacowania
التقديرات	szacunki
تدرج	gradientu
تدرج	wstawić
تدرج	wstaw
مواصلة	kontynuacja
مواصلة	kontynuacji
مواصلة	kontynuować
كاي	kai
كاي	kay
التنين	smoka
التنين	smok
التنين	dragon
تغيرت	zmieniono
تغيرت	zmienione
تغيرت	zmienił
تغيرت	zmieniony
اريد	chcesz
اريد	chce
هول	hala
هول	sala
هول	holu
هول	hall
مشارك	uczestnika
مشارك	uczestnik
الطقوس	rytuał
الطقوس	rytuały
الطقوس	rytuały
الفطر	grzybów
الفطر	grzyby
الفطر	grzybki
المعتقدات	przekonania
المعتقدات	wierzenia
دل	del
جرذ	rat
جرذ	szczur
سكاي	niebo
سكاي	niebie
سكاي	sky
سكاي	nieba
ثمان	ośmiu
ثمان	ósemka
ثمان	osiem
مشاركات	akcje
مشاركات	udostępnienia
مشاركات	udziały
باعتبار	rozważając
باعتبار	zważywszy
الناجحة	udanych
الناجحة	udane
الناجحة	udany
الناجحة	udana
السجل	rekord
السجل	zapis
السجل	płyta
السجل	rejestru
السجل	rejestr
السجل	dziennik
السجل	log
السجل	rejestru
السجل	rejestr
موحدة	zjednoczone
موحدة	jednolitego
موحدة	zjednoczona
موحدة	jednolite
موحدة	jednolita
موحدة	uniform
موحدة	jednolity
موحدة	mundur
التحدي	wyzwanie
التحدي	challenge
التحدي	wyzwania
سونغ	sung
سونغ	piosenka
سونغ	piosenki
سونغ	utwór
سونغ	pieśń
سونغ	song
محاضرة	wykłady
محاضرة	wykład
النانو	nano
الالكترونية	elektroniczne
الالكترونية	elektroniczna
الالكترونية	elektroniczny
هوليوود	hollywood
بوير	boyer
البقرة	krowy
البقرة	krowie
البقرة	krowa
الديناصورات	dinozaury
الديناصورات	dinozaurów
الديناصورات	dinozaurów
الديناصورات	dinozaury
الديناصورات	dinozaura
الديناصورات	dinozaur
شمسي	słoneczna
شمسي	słoneczny
شمسي	słoneczne
اربع	czterech
اربع	cztery
الحافة	edge
الحافة	krawędź
الحافة	krawędzi
خريف	jesień
خريف	jesieni
فرح	radość
فرح	radości
فرح	joy
فرح	farah
صناعات	industries
الخبرات	ekspertyzy
الخبرات	doświadczenia
الخبرات	przeżycia
الخبرات	doświadczeń
الخبرات	doznania
الخبرات	doświadczenia
الخبرات	doświadczenie
المدار	orbity
المدار	orbicie
المدار	orbitę
متسابق	racer
التشريح	anatomii
التشريح	autopsji
تشي	chi
تشي	che
ظاهر	widoczna
ظاهر	widoczny
ظاهر	widoczne
ظاهر	oczywista
ظاهر	widocznej
دفعة	promować
دفعة	partia
دفعة	partii
دفعة	wypłata
دفعة	zapłata
دفعة	płatności
دفعة	płatność
النسوية	feminizm
النسوية	feministyczne
لوح	pokładzie
لوح	zarząd
لوح	wyżywienie
لوح	deska
لوح	tablica
لوح	tabletka
لوح	tabletki
لوح	tabliczka
لوح	fala
لوح	fali
لوح	fale
عينات	próbek
عينات	próbki
الميل	tilt
الميل	mile
الميل	mila
مزايا	korzyści
مزايا	zalet
مزايا	zalety
مغلقة	zamknięty
مغلقة	nieczynne
مغلقة	zamknięte
مغلقة	zamknięta
منصات	platform
منصات	platformy
منصات	podkładki
منصات	klocki
منصات	palety
المدرج	wybiegu
المليون	milion
المليون	mln
المليون	miliony
تقليد	tradycję
تقليد	tradycja
تقليد	tradycji
تقليد	tradycje
ميكانيكية	mechaniczny
ميكانيكية	mechaniczne
السعة	pojemności
السعة	pojemność
السعة	zdolność
السعة	amplitudy
التهديد	zagrożenia
التهديد	zagrożenie
التهديد	groźba
التهديد	groźby
الموانئ	portów
الموانئ	porty
عقل	mózg
عقل	rozum
عقل	umysł
عقل	mózgu
عقل	umysłu
عقل	umysł
دنيا	minimalna
دنيا	minimum
دنيا	minimalny
الطلاق	rozwód
خفيف	light
خفيف	światło
خفيف	światła
خفيف	lekka
خفيف	lekki
مونتريال	montrealu
الكومنولث	commonwealth
الكومنولث	wspólnota
جلدية	skóry
جلدية	skóra
الفائزين	wygrane
الفائزين	zwycięzców
الفائزين	zwycięzcy
الفائزين	zwycięzcami
المرجح	ważona
بطليموس	ptolemeusz
تهديد	grozi
تهديد	grozić
تهديد	zagrożenia
تهديد	zagrożenie
تهديد	groźba
تهديد	groźby
المعيار	kryterium
المعيار	standardowy
المعيار	standardowa
المعيار	norma
المعيار	standardowe
المعيار	standard
الهياكل	konstrukcje
الهياكل	budowle
الهياكل	struktury
الهياكل	konstrukcji
المنفى	wygnanie
تشابه	podobieństwo
تشابه	podobieństwa
الرباعي	kwartet
المصلحة	interesie
المصلحة	odsetki
المصلحة	odsetek
المصلحة	zainteresowanie
المصلحة	zainteresowania
مجلدات	teczki
مجلدات	foldery
مجلدات	katalogi
مجلدات	objętości
الحفظ	uratowanie
الحفظ	oszczędność
الحفظ	oszczędności
الحفظ	ratowanie
الحفظ	zapisywanie
الحفظ	oszczędzania
الحفظ	konserwacja
باراغواي	paragwaju
استخدامات	wykorzystuje
استخدامات	używa
استخدامات	zastosowań
استخدامات	zastosowania
يوميات	dziennik
يوميات	czasopismo
يوميات	journal
يوميات	pamiętnik
يوميات	dziennik
يوميات	pamiętniku
يوميات	pamiętnik
فرديناند	ferdinand
تعليقات	uwagi
تعليقات	komentarzy
تعليقات	komentarze
المهن	zawodów
المهن	kariera
المهن	kariery
المهن	zawodów
تلفاز	telewizja
تلفاز	tv
تلفاز	telewizor
تلفاز	telewizji
السلبي	biernego
قيود	limity
قيود	ograniczenia
قيود	ograniczeń
قيود	ograniczenia
قيود	ograniczenia
جيب	jeep
جيب	jeepa
جيب	kieszeni
جيب	kieszenie
جيب	kieszeń
حقن	zastrzyki
حقن	wstrzyknięcia
حقن	wstrzykiwań
حقن	wstrzykiwań
حقن	wstrzyknięcia
حقن	wstrzyknięcie
حقن	zastrzyk
ساوث	południe
بالضبط	dokładnie
بالضبط	dokladnie
البطالة	bezrobocia
البطالة	bezrobocie
الفصائل	frakcje
تجهيز	przetwarzania
تجهيز	przetwarzanie
تجهيز	przetwórstwo
تجهيز	obróbka
الجلسة	sesja
الجلسة	sesję
الجلسة	sesje
الجلسة	sesji
الجلسة	spotkania
الجلسة	posiedzenie
الجلسة	zebranie
الجلسة	spotkanie
الحريات	swobody
الحريات	swobód
تغلب	beat
تغلب	pokonać
احداث	zdarzenia
احداث	opowiadania
احداث	historie
احداث	opowieści
احداث	zdarzenia
احداث	wydarzenia
احداث	imprezy
احداث	wydarzeń
احداث	imprez
ركوب	przejazd
ركوب	przejażdżka
ركوب	jazda
نمر	tygrys
نمر	tiger
نمر	leopard
الخريف	jesień
الخريف	jesieni
الخريف	upadek
الخريف	jesień
شمسية	parasol
شمسية	słoneczna
شمسية	słoneczny
شمسية	słoneczne
النجار	carpenter
النهج	podejścia
النهج	podejść
النهج	podejście
النهج	podejścia
جامايكا	jamajka
جامايكا	jamajski
روضة	przedszkola
روضة	przedszkole
تدمر	zniszczyć
الكثيرون	wielu
الكثيرون	wiele
التوجهات	trendy
التوجهات	tendencje
التوجهات	tendencji
التوجهات	orientacji
تقاطع	skrzyżowania
تقاطع	skrzyżowaniu
تقاطع	skrzyżowanie
نشيد	pochwalić
نشيد	hymn
تاريخيا	historycznie
عنف	gwałtowne
عنف	przemoc
عنف	przemocy
عنف	brutalny
عنف	gwałtowny
عنف	przemoc
عنف	przemocy
المناظر	celownik
المناظر	zabytków
المناظر	zabytki
شيد	szopy
شيد	szopa
شيد	szopie
وين	wayne
وين	łukasz
وين	wen
تدهور	pogorszenie
تدهور	degradacji
الصراعات	konflikty
الصراعات	konfliktów
الصراعات	konflikt
الصراعات	konflikty
الصراعات	konfliktu
الصراعات	konflikt
بيانو	pianinie
بيانو	fortepian
بيانو	pianino
مسافات	przestrzenie
مسافات	odległości
اخذ	zrobione
اخذ	podjęte
اخذ	wzięcie
اخذ	branie
اخذ	biorąc
اخذ	przyjmowanie
اخذ	weź
اخذ	brać
اخذ	bierz
سامة	toksyczne
سامة	toksyczny
سامة	trujące
سامة	trujący
الفترات	okresy
الفترات	okresów
واقعية	realistyczne
واقعية	realistycznie
واقعية	realistyczny
واقعية	realizm
النيتروجين	azotu
النيتروجين	azot
زرقاء	blue
زرقاء	niebieski
زرقاء	niebieska
زرقاء	niebieskie
هياكل	konstrukcje
هياكل	budowle
هياكل	struktury
هياكل	konstrukcji
الورد	róże
الورد	róż
منطق	logika
منطق	logiczne
منطق	logikę
منطق	logiki
يرفع	wyciągów
يرفع	wyciągi
يرفع	windy
شحنة	cargo
شحنة	ładunek
شحنة	przesyłka
شحنة	przesyłki
شحنة	dostawa
شحنة	przemieszczanie
نشطة	aktywne
نشطة	aktywna
نشطة	aktywni
نشطة	aktywny
نشطة	czynne
قنابل	bomb
قنابل	bomby
الفرص	szanse
الفرص	możliwość
الفرص	okazje
الفرص	okazja
الفرص	okazje
الفرص	możliwości
الفولاذ	stal
الفولاذ	stalowe
الفولاذ	stali
نشوء	powstanie
نشوء	wystąpienie
المثل	przysłowie
السجناء	więźniowie
السجناء	więźniów
سلمية	pokojowe
سلمية	pokojowych
سلمية	spokojne
سلمية	spokojna
ترميم	przywrócenie
ترميم	odbudowa
ترميم	odtworzenie
ترميم	przywrócenia
عيوب	wady
عيوب	skazy
عيوب	wady
عيوب	usterki
عيوب	wad
عيوب	wady
عيوب	niedoskonałości
المحافظين	konserwatyści
راية	banner
الملاك	anioł
الملاك	aniele
الملاك	aniołek
الملاك	angel
العروس	narzeczona
كابتن	kapitan
كوبنهاغن	kopenhagi
كوبنهاغن	kopenhadze
عارض	przeglądarka
عارض	widza
عارض	wzór
عارض	model
عارض	modelka
عارض	przeciwieństwo
بيكر	baker
فلوريد	fluorek
ضريبة	podatki
ضريبة	podatek
مطالب	żądania
مطالب	żądań
ثانوي	wtórne
ثانوي	drugorzędne
ثانوي	wtórnego
جاذبية	atrakcja
جاذبية	przyciąganie
جاذبية	atrakcyjność
جاذبية	atrakcje
جاذبية	grawitacja
جاذبية	grawitację
غني	sing
غني	śpiewaj
غني	bogata
غني	bogate
غني	rich
غني	bogaty
سعادة	szczęście
سعادة	szczęścia
العشرات	dziesiątki
العشرات	tuzin
العشرات	kilkadziesiąt
شين	podbródek
شين	broda
شين	chin
شين	china
شين	shin
المبلغ	kwota
المبلغ	ilość
المبلغ	sum
المبلغ	sumę
المبلغ	sumy
المبلغ	kwota
المبلغ	suma
وارسو	warszawa
ذكية	mądry
ذكية	mądrze
ذكية	mądra
ذكية	inteligentne
ذكية	smart
الزيارة	odwiedziny
الزيارة	wizyta
الزيارة	wizyty
الزيارة	zwiedzanie
الزيارة	odwiedziny
الزيارة	odwiedza
دوما	zawsze
ملاكم	bokser
تنزانيا	tanzanii
ميلر	miller
ميلر	millera
البوب	pop
حاشية	przypis
حاشية	świta
حاشية	postscript
بيتي	betty
دمرت	zniszczona
دمرت	zniszczone
دمرت	zniszczony
العلاجات	leczenie
العلاجات	zabiegi
العلاجات	zabiegów
العلاجات	terapii
العلاجات	terapie
ضروري	niezbędny
ضروري	konieczny
ضروري	konieczna
ضروري	niezbędne
ضروري	konieczne
سديم	mgławicy
سديم	mgławica
ليه	leh
لاوس	laos
التراب	brud
فرضية	hipoteza
موثوقة	wiarygodne
موثوقة	niezawodne
موثوقة	rzetelne
موثوقة	wiarygodny
موثوقة	niezawodny
تجار	przedsiębiorcy
تجار	handlarze
تجار	handlowców
تجار	kupcy
تجار	kupców
تجار	dealerów
تجار	handlarze
تجار	dystrybutorzy
تجار	pośrednicy
واجهت	napotkanych
التوصيل	dostawa
التوصيل	przesyłka
التوصيل	dostarczanie
التوصيل	dostawy
بشري	ludzkie
بشري	ludzka
بشري	ludzki
بشري	człowiek
بشري	human
بشري	człowieka
الرحالة	podróżnych
الرحالة	podróżnicy
العلاجية	lecznicze
العلاجية	terapeutycznych
العلاجية	terapeutyczne
ركاب	pasażerowie
ركاب	pasażerom
ركاب	pasażerów
رينيه	renee
الكهف	jaskinia
الكهف	jaskini
الحارس	straż
الحارس	strażnik
لينين	lenin
المطاعم	restauracje
حازم	firma
حازم	kancelaria
معماري	architektem
معماري	architekta
معماري	architekt
معماري	architektoniczne
معماري	architektury
الروك	skała
الروك	kamień
الروك	skały
الروك	rock
خشبية	drewniany
خشبية	drewniana
خشبية	drewniane
عانت	poniesionej
عانت	cierpiał
عانت	cierpiała
الترخيص	licencja
الترخيص	licencje
الترخيص	licencji
الترخيص	autoryzacja
الترخيص	upoważnienie
الترخيص	licencje
الترخيص	licencjonowania
الترخيص	licencja
الترخيص	licencji
الترخيص	licencje
الترخيص	rozliczenie
المعاملات	transakcje
المعاملات	transakcji
المعاملات	transakcja
المعاملات	transakcje
المعاملات	transakcji
المختبر	laboratorium
المختبر	laboratoryjne
المختبر	laboratorium
شعاع	wiązka
شعاع	promień
شعاع	wiązki
التحرك	przenoszenie
التحرك	przeprowadzka
التحرك	przeprowadzki
اكتملت	zrealizowane
اكتملت	zakończone
اكتملت	zakończona
اكتملت	zaliczone
اكتملت	ukończone
سلمى	selma
سلمى	salma
غسان	ghassan
واقعة	incydent
ينشر	publikuje
ستيفان	stefana
ستيفان	stefan
ستيفان	stefanie
قضائية	sądowy
قضائية	sądowej
قضائية	sądowe
قضائية	sądowa
دينامو	dynamo
الشريك	partner
الشريك	partnerka
الشريك	partnerem
الشريك	partnera
الشريك	wspólnik
القران	koran
القران	koran
كاميرا	kamery
كاميرا	aparatu
كاميرا	kamera
كاميرا	aparat
التجريبي	demo
التجريبي	demonstracja
وجبة	posiłek
وجبة	mączka
وجبة	mączki
هوارد	howard
البقاع	bekaa
دافع	motyw
دافع	motywacji
دافع	motywacja
بارد	zimno
بارد	chłód
بارد	zimne
بارد	zimny
بارد	zimna
مسجلة	zarejestrowany
مسجلة	zarejestrowano
مسجلة	zarejestrowana
مسجلة	zarejestrowane
مسجلة	zarejestrowanych
الاشتراك	subskrypcji
كيلي	kelly
الجذر	korzenie
الجذر	korzeń
الجذر	root
الجذر	pierwiastek
قمع	represji
قمع	represje
قمع	stłumić
قمع	lej
قمع	lejek
قمع	tłumiąc
قمع	tłumienia
الجنسيات	narodowości
الولاء	lojalności
الولاء	wierność
الولاء	lojalność
تنافس	rywalizacja
تنافس	zawody
تنافس	konkurencja
تنافس	konkurs
تنافس	konkurencji
مستقرة	stabilny
مستقرة	stabilna
مستقرة	stabilne
متفرقة	rozproszone
ريفر	rzeki
ريفر	river
ريفر	rzeka
ميلا	mila
جيرمان	germain
السند	obligacji
السند	więź
السند	wiązanie
السند	bond
السند	sindh
بلانك	plancka
بلانك	plank
بلانك	deska
الاحتراق	spalania
الاحتراق	spalanie
تقاليد	tradycję
تقاليد	tradycja
تقاليد	tradycji
تقاليد	tradycje
تقاليد	tradycja
تقاليد	tradycji
تقاليد	tradycje
جيري	jerry
سنان	sinan
مكتوم	maktum
مكتوم	stłumiony
مكسيكو	meksyk
هاوس	house
هاوس	domu
هاوس	dom
الشك	wątpliwość
الشك	wątpliwości
المخيم	obozy
المخيم	obozu
المخيم	camp
المخيم	obóz
كيس	torebka
كيس	worek
كيس	torba
كيس	torbę
كيس	torby
كيس	worek
مد	przypływ
مد	pływów
لورنس	lawrence
شخصيا	osobiscie
شخصيا	osobiście
البشير	bashir
موثقة	udokumentowane
عصابة	banda
عصابة	gangu
عصابة	gang
هلسنكي	helsinkach
البخار	parowa
البخار	pary
البخار	para
مسارات	ścieżki
مسارات	ścieżek
مسارات	utwory
مسارات	tory
مسارات	ścieżki
مسارات	szlaki
مسارات	ślady
مسارات	ścieżki
مسارات	szlaki
الحفريات	skamieniałości
الحفريات	wykopalisk
تفجيرات	zamachów
تفجيرات	wybuchy
تفجيرات	eksplozje
تفجيرات	eksplozji
براين	brian
براين	briana
الانفصال	rozdzielenie
الانفصال	separacji
الانفصال	oddzielenie
التحدث	mówić
وال	oraz
هان	hana
هان	han
القطط	kotów
القطط	kotki
القطط	koty
المرمى	bramka
المرمى	gol
المرمى	cel
مصير	losy
مصير	los
مصير	przeznaczenia
مصير	przeznaczenie
زنجبار	zanzibar
بون	bonn
المرتبط	powiązany
المرتبط	związany
المرتبط	powiązane
المرتبط	związane
بلغراد	belgradzie
وهب	dały
وهب	dał
نينوى	niniwie
صدى	echa
صدى	echo
المعلوماتية	informatyka
الحجاب	welon
معمل	laboratorium
يرسل	przesyła
يرسل	wysyła
ذهبي	złote
ذهبي	golden
ذهبي	złoty
ذهبي	złota
ذهبي	złota
ذهبي	złoto
ذهبي	gold
ذهبي	złoty
ساكسونيا	saksonii
ساكسونيا	saksonia
عموم	piotruś
عموم	pan
القنبلة	bomby
القنبلة	bomba
مسبق	zaliczki
مسبق	uprzednie
دعاية	propaganda
دعاية	propagandy
وزيرة	ministrze
وزيرة	ministrowie
وزيرة	minister
احتفال	świętowanie
احتفال	świętuje
احتفال	świętowanie
احتفال	uroczystości
احتفال	święto
احتفال	świętowania
احتفال	uroczystość
التحديد	selekcja
التحديد	zaznaczenie
التحديد	wybór
التحديد	wyboru
التحديد	dobór
التحديد	identyfikacja
التحديد	identyfikacji
ليفي	opłata
الاستخدامات	wykorzystuje
الاستخدامات	używa
الاستخدامات	zastosowań
الاستخدامات	zastosowania
العبودية	niewolnictwa
العبودية	niewolnictwo
العبودية	niewoli
فوج	fogg
فوج	vogue
ينحدر	zstąpił
منحنى	krzywa
منحنى	krzywej
منحنى	krzywą
السلك	drutu
السلك	drut
السلك	druty
لغوية	językowej
وطن	ojczyzna
وطن	ojczyzny
يعترف	przyznaje
يعترف	przyznaje
يعترف	uznaje
استضافة	hosting
استضافة	organizowane
استضافة	gospodarzem
المحاكمة	proces
المحاكمة	próba
المحاكمة	rozprawa
المحاكمة	oskarżyciel
المحاكمة	oskarżenie
المحاكمة	ściganie
الشبكية	siatkówki
وجوه	twarze
تعامل	traktowanie
تعامل	traktować
تعامل	traktuj
تعامل	leczyć
عنق	kark
عنق	szyja
عنق	szyi
التشريع	prawodawstwo
التشريع	prawodawstwa
التشريع	ustawodawstwo
انعدام	brak
كونيتيكت	connecticut
بادن	baden
الاطفال	dzieci
الاطفال	dzieciaki
الاطفال	dzieci
الاطفال	maluchy
