частная	privaat
мэттью	matthew
мэттью	matteus
медицинское	mediese
медицинское	medies
эрнест	ernest
треугольник	geteël
дональд	donald
автоматического	outomatiese
автоматического	outomaties
мыши	muise
мыши	ngc
мыши	muis
лагерей	kampe
реабилитации	rehabilitasie
симона	simone
рик	rick
оригинальная	oorspronklik
оригинальная	oorspronklike
богатый	ryk
грэм	graeme
грэм	graham
необходимое	nodige
призыв	appèl
призыв	appelleer
чехов	tsjechof
ибрагим	ibrahim
протокола	protokol
толедо	toledo
канадская	kanadese
канадская	kanadees
послов	ambassadeurs
ходит	walks
моисей	moses
моисей	musa
предки	voorvaders
дайте	gee
записано	opgeneem
теоретические	teoretiese
корень	stam
корень	root
невский	nefski
черный	swart
аполлон	apollo
кении	kenia
кении	kenya
иностранный	buitelandse
иностранный	foreign
шансы	kanse
раса	ras
раса	resies
точные	presiese
точные	akkurate
точные	akkuraat
ближнем	middelste
ближнем	midde
непрерывно	voortdurend
непрерывно	deurlopend
непрерывно	heeltyd
непрерывно	aaneenlopende
прованс	provence
низами	nizami
опасных	gevaarlike
опасных	gevaarlik
опасных	gevaarlike
недопустимо	onaanvaarbare
филиппин	filippyne
филиппин	philippines
филиппин	filippynse
предпринимателей	entrepreneurs
подозрения	suspicion
подозрения	bedenkinge
шеф	chef
шеф	sjef
шеф	chief
исчезает	verdwyning
фестивалей	festivals
физически	fisies
инди	indie
инди	indy
пособия	voordele
покрытием	bedek
ничто	niks
новость	nuus
новость	berig
петрограде	petrograd
чешской	tsjeggiese
чешской	tsjeggië
идеология	ideologie
идеология	ideologies
вилла	villa
нейтральной	neutraal
тень	skadu
тень	skaduwee
тень	skadu
тень	shade
предоставление	toestaan
рассуждения	redenasie
терминал	terminaal
упор	beklemtoning
упор	benadruk
племен	tribes
племен	tribal
бин	blik
бин	boontjie
бин	bean
тепла	heat
тепла	hitte
тепла	warmte
традиционная	tradisioneel
традиционная	tradisionele
купол	dome
миссисипи	mississippi
конкуренции	kompetisie
бернард	bernard
симферополь	simferopol
смита	smith
маска	masker
дели	delhi
ионов	ions
референдум	referendum
пейзаж	landskap
задних	agterste
принимая	vat
платить	pay
платить	betaal
враги	vyand
враги	vyande
мексиканский	meksikaanse
мексиканский	mexican
кошки	katte
кошки	cats
исход	exodus
протесты	betoging
протесты	protes
строка	lyn
строка	blaai
строка	ry
строка	row
соломон	solomon
соломон	salomo
сторонник	ondersteuner
альбрехт	albrecht
передние	voorkant
передние	voor
передние	front
миров	worlds
миров	wêrelde
томе	tomé
томе	tome
помогло	gehelp
молдова	moldowa
листов	lakens
листов	velle
мэй	may
мэй	mei
мэй	mag
мэй	mae
трофей	trofee
бригад	brigades
спасителя	saviour
спасителя	verlosser
призрак	spook
призрак	phantom
акцент	beklemtoning
акцент	benadruk
акцент	accent
акцент	aksent
ожидания	expectations
ожидания	verwagting
ранены	verwond
ранены	slagting
пациента	geduldig
пациента	patient
серые	grys
серые	grys
серые	grey
восприятие	perception
джоан	johanna
джоан	joan
помогли	gehelp
самец	manlike
самец	mannetjie
хелен	helene
хелен	helen
симптомы	simptome
лошадь	horse
лошадь	perd
ника	nick
ника	niek
солнечный	sunny
солнечный	sonnige
солнечный	sonnig
диана	diana
диана	diane
уэйн	wayne
вернер	verner
вернер	werner
арабские	arab
коммерческие	kommersiële
коммерческие	kommersieel
даллас	dallas
миллиардов	miljarde
завершение	voltooiïng
атаковал	aangeval
джесси	jessie
джесси	jesse
хуана	juan
временные	tydelik
временные	geheue
временные	tydelike
перси	percy
гамильтон	hamilton
рамон	ramón
рамон	ramone
рамон	ramon
обзора	resensie
обзора	hersiening
обзора	oorsig
обзора	hersien
павильон	pavilion
неофициальный	unofficial
неофициальный	informele
агентов	agente
баланс	saldo
баланс	balans
персии	persia
разведку	exploration
комарка	comarca
обозреватель	rubriekskrywer
псков	pskof
разведка	intelligensie
разведка	exploration
защитники	defenders
защитники	verkondig
ткань	broek
рыцари	knights
низ	nih
низ	bodem
низ	onder
низ	onderkant
низ	bottom
партизанского	partydige
регистрация	registreer
регистрация	registrasie
архангельск	archangelsk
гомер	homer
служащий	werknemer
миссий	missions
ужас	gruwel
ужас	riller
ужас	horror
рязань	rjazan
эльст	elst
консультант	konsultant
поступления	inkomste
поступления	inkomste
патент	patent
франкфурт	frankfurt
моделирования	simulasie
потоков	strome
читайте	lees
читайте	gelees
лоренцо	lorenzo
точной	akkurate
точной	akkuraat
отверстия	openings
краков	krakow
краков	krakau
пятна	ruimtes
пятна	kolle
зимбабве	zimbabwe
уши	ore
нагрузка	laai
нагрузка	las
андреас	andreas
блюда	etes
блюда	disse
обычная	gewoon
джеки	jackie
джеки	jacky
стекло	glas
запрещена	verbode
запрещена	verbande
запрещена	verban
совершено	begaan
бол	bol
системные	sistemiese
нпо	ngo
маккартни	mccartney
жив	lewendig
спросить	vra
эксперты	deskundiges
эксперты	kundiges
эксперты	kenners
эксперты	experts
рэп	kletsrym
рэп	rap
трансляции	uitgesaai
трансляции	uitsending
трансляции	uitsaai
трансляции	uitsendings
фауны	fauna
членство	lidmaatskap
майер	maier
майер	mayer
майер	meier
майер	meyer
норман	norman
кристи	christie
кристи	christy
главу	hoofstuk
голод	hongersnood
алтарь	altar
страсти	passies
страсти	passie
страсти	passion
антропологии	antropologie
товарищи	companions
товарищи	kamerade
товарищи	comrades
отменил	gekanselleer
слушателей	luisteraars
сет	gestel
сет	instel
сет	stel
сет	seth
роже	roger
общаться	kommunikeer
валюты	geldeenhede
толщина	dikker
билет	kaartjie
диски	skywe
диски	drives
диски	skywe
автоматическая	outomatiese
автоматическая	outomaties
распад	ontleding
распад	uiteensetting
распад	decay
распад	ontbinding
распад	disintegration
восточное	oosterse
похороны	burial
похороны	funeral
похороны	begrafnis
хабаровск	chabarofsk
крыши	dakke
эмили	emily
потребность	nood
потребность	benodig
бег	hardloop
тов	tov
карен	karen
новичок	nuweling
песнь	liedjie
песнь	lied
рауль	raoul
рауль	raúl
эсперанто	esperanto
скала	scala
скала	rock
совместный	gesamentlike
совместный	joint
герцеговина	herzegowina
альтернативный	afwissel
альтернативный	alternatiewe
абсолютная	absolute
анатомии	anatomy
духовный	geestelik
владельцы	eienaars
математические	wiskundige
беккер	becker
сахара	sahara
поблизости	nabye
поблизости	nabygeleë
поблизости	naby
простая	eenvoudige
простая	eenvoudig
кожа	leer
кожа	vel
дисциплин	disciplines
плену	captive
плену	gevangenskap
тимур	timoer
сценарии	scenarios
пак	puck
пак	park
брест	brest
систематически	sistematies
собранные	versamelde
плотины	dam
плотины	dams
ханство	khanate
японцы	japannese
японцы	japannees
религий	gelowe
интеллектуальной	intellektuele
фланг	flank
организовано	georganiseerde
страхования	versekering
положительный	positiewe
положительный	positief
бренд	handelsmerk
доблестный	valiant
инфекции	infeksies
инфекции	infeksie
отрицательно	negatiewe
отрицательно	negatief
перевели	vertaalde
синие	blou
бегство	vlug
хаус	house
хаус	huis
найдена	gekry
найдена	gevind
нэнси	nancy
отмечали	gevier
напишите	skryf
бедных	poor
бедных	arme
бедных	swak
бедных	armes
гражданское	siviele
отдых	ontspanning
отдых	vakansie
отдых	rus
отдых	res
отдых	vakansie
чжоу	zhou
забыли	vergeet
прокси	volmag
прокси	instaan
пули	bullets
ирландский	ierse
ирландский	irish
ирландский	iers
запасов	aandele
совместных	gesamentlike
совместных	joint
пустой	leeg
пустой	leë
пустой	egipte
пустой	leë
пустой	blank
уничтожена	vernietig
люси	lucy
аляска	alaska
ноль	nul
ноль	zero
ноль	nul
ноль	nil
первичные	primêr
первичные	primary
первичные	primêre
первичные	belangrikste
чжао	zhao
кэмпбелл	campbell
практическая	praktiese
пенсии	pensioen
зло	boos
зло	bose
махмуд	mahmood
махмуд	mahmoed
махмуд	mahmoud
сетях	netwerke
ронни	ronnie
вероника	veronica
купола	dome
успешное	suksesvol
успешное	suksesvolle
шахта	shaft
рона	rona
рона	rhône
рона	ron
презентация	voorlegging
презентация	presentation
антонов	antonov
организованной	georganiseerde
организованной	georganiseerd
организованной	georganiseer
мат	skaakmat
формирований	formasies
комната	kamer
расстройства	disorder
расстройства	kwale
труба	pyp
труба	trompet
тенор	tenoor
тенор	tenor
арабов	arabiere
ставка	aanbod
ставка	bod
ставка	gradeer
ставка	tarief
ставка	beoordeel
ставка	bie
ставка	bet
римляне	romeine
бока	boca
рао	rao
эмма	emma
косвенно	indirekte
косвенно	implisiet
косвенно	indirek
косвенно	hoedanigheid
маркиза	markiesin
фрегат	fregat
сельскохозяйственные	agricultural
архивы	argiewe
врата	hek
врата	gateway
врата	portaal
выходные	naweke
выходные	naweek
добычу	prey
психолог	sielkundige
глубокий	diep
коробка	boks
синоним	sinoniem
лесли	lesley
лесли	les
лесли	leslie
вольфганг	wolfgang
кенни	kenny
карачаево	karatsjai
сёстры	susters
винтовка	geweer
изменено	gewysig
изменено	gewysig
набрать	dial
набрать	bel
алиев	əliyev
видение	visie
харрис	harris
богатые	ryk
физический	fisiese
физический	fisieke
закрыты	geslote
закрыты	gesluit
закрыты	toegemaak
паспорт	paspoort
вмешательство	steuring
вмешательство	inmenging
вмешательство	intervensie
вмешательство	broodnodige
отображения	vertoon
отображения	aansig
обратное	inverse
обратное	omgekeer
обратное	reverse
обратное	agteruit
парагвая	paraguay
преобладает	onduidelikheid
толкование	interpretasie
рейх	reich
статистику	statistiek
статистику	statistieke
статистику	insigte
ветки	takke
рай	hemel
рай	heaven
рай	rai
рай	paradise
демократия	demokrasie
контент	tevrede
серая	grys
серая	grys
серая	grey
шмидт	schmidt
депортиво	deportivo
психиатрии	psigiatrie
землетрясение	aardbewing
повествование	narratief
конгрегации	gemeenten
кошка	kat
клаус	claus
клаус	klaus
обратный	omgekeer
обратный	reverse
обратный	agteruit
стадия	phase
стадия	fase
стадия	verhoog
стадия	stadium
стадия	etage
син	shin
син	sonde
персонал	personeel
персонал	staff
алессандро	alessandro
купер	cooper
тупик	pat
раствор	oplossing
дикой	natuurlewe
гена	gene
чужие	vreemdelinge
юта	utah
объявление	aankondiging
орландо	orlando
буда	buda
буда	boeda
кухни	kombuis
паук	spinnekop
уникальные	unieke
уникальные	uniek
кои	koi
кои	beskeie
артиллерийские	artillery
матрица	matrix
продажа	verkoop
продажа	verkoop
продажа	verkope
чиновники	departementele
чиновники	amptenare
страха	skrik
избрание	verkiesing
выступающие	speakers
выступающие	luidsprekers
овец	skaap
жуан	joão
режимы	modusse
режимы	regimes
эсминцев	destroyers
гамбург	hamburg
мощные	powerful
мощные	kragtige
элис	alice
очистки	skoonmaak
турцию	turkye
наро	naro
кнопки	knoppies
тай	tai
прыжок	spring
прыжок	spring
местонахождение	location
местонахождение	ligging
отраслей	industries
наземных	terrestriële
подавать	dien
подавать	bedien
прежний	former
прежний	voormalige
бенедикт	benedictus
яркий	helder
клара	klara
клара	clara
удивительно	amazing
удивительно	ongelooflik
потребителей	openbaring
потребителей	verbruiker
потребителей	verbruikers
кубани	koeban
виден	sigbare
виден	sigbaar
мышцы	spiere
мышцы	spier
обелиск	obelisk
прыжки	spring
мордовии	mordowië
ггц	ghz
дуб	quercus
дуб	oak
брюсселе	brussels
брюсселе	brusselse
брюсселе	brussel
пий	pius
византийский	bisantynse
декларации	verklarings
дипломатической	diplomatieke
вооружений	arms
эдгар	edgar
авраам	abraham
жестоко	cruel
жестоко	wreed
братство	fellowship
братство	koshuis
братство	broederskap
братство	broederskap
изучить	verken
стокгольм	stockholm
оливье	olivier
введен	ingestel
мао	mao
сухая	droë
сухая	dry
сухая	droog
сообщалось	gerapporteer
спросил	gevra
прадеш	pradesh
агенты	agente
европейское	europees
европейское	europese
генератор	generator
змея	snake
змея	slang
пива	bier
пива	beers
кадр	raam
кадр	skoot
охотник	hunter
охотник	jagter
монтевидео	montevideo
архипелаг	argipel
кинематографистов	filmmakers
юмор	humor
гавани	harbour
бренда	handelsmerk
бренда	brenda
алюминия	aluminium
алюминия	aluminium
квадрат	vierkantig
квадрат	vierkant
квадрат	vierkantige
