tulburări	διαταραχές
intervenție	παρέμβασης
intervenție	παρέμβαση
galilor	γαλάτες
fenomene	φαινόμενα
fenomene	φαινομένων
austrieci	αυστριακοί
austrieci	αυστριακός
austrieci	αυστριακό
austrieci	αυστριακές
austrieci	αυστριακή
costume	στολές
costume	κουστούμια
costume	κοστούμια
costume	στολές
costume	κουστούμια
costume	κοστούμια
cânta	τραγουδήστε
cânta	τραγούδα
cânta	τραγουδούν
grija	φροντίδα
grija	φροντίδα
corul	χορωδία
corul	χορωδία
modelele	μοντέλα
modelele	υποδείγματα
îndeplini	εκπληρώσει
îndeplini	εκπλήρωσε
reich	ράιχ
originile	προέλευση
originile	καταγωγή
khan	χαν
khan	καν
khan	khan
mutarea	μετακόμιση
mutarea	μετακίνηση
mutarea	κινείται
moscheea	τζαμί
moscheea	τέμενος
lățimea	πλάτος
cooper	cooper
cooper	κούπερ
invazie	εισβολή
ehf	ehf
brabant	brabant
dealuri	λόφοι
dealuri	χιλς
dealuri	hills
dealuri	λόφους
danny	ντάνι
determinată	καθορίζεται
determinată	αποφασισμένος
determinată	αποφασισμένοι
determinată	αποφασισμένη
tag	ετικέτα
tag	ταγκ
tag	tag
perete	wall
perete	τοίχος
perete	τοίχο
perete	τείχος
perete	γουόλ
nicholas	νίκολας
istoricii	ιστορικοί
istoricii	ιστορικούς
străină	ξένος
străină	ξένο
străină	ξένη
străină	ξένα
iubit	αγάπησα
iubit	αγάπησε
iubit	αγαπούσε
iubit	αγαπημένος
iubit	αγαπημένη
entitate	οντότητα
platină	πλατίνα
rezolva	λύσει
rezolva	επίλυση
indivizi	άτομα
continental	ηπειρωτική
caesar	καίσαρας
caesar	σίζαρ
caesar	καίσαρ
caesar	καίσαρα
cruci	σταυρούς
maiorescu	μαγιορέσκου
pcupdate	pcupdate
pierdute	χάθηκε
pierdute	χαμένος
pierdute	χάσαμε
pierdute	χαμένη
pierdute	χάσει
pierdute	χαμένοι
perioadele	περίοδοι
perioadele	περιόδους
bianco	μπιάνκο
cardinal	καρδινάλιος
vulcan	ηφαίστειο
moștenit	κληρονόμησε
moștenit	κληρονομική
curentului	νυν
curentului	τρέχουσα
curentului	ρεύμα
curentului	τρέχουσες
curentului	τρέχον
destinație	προορισμός
destinație	προορισμό
hawaii	χαβάη
sunetul	ήχο
sunetul	ήχος
xbox	xbox
inca	ακόμη
inca	ακομα
inca	ακόμα
gama	γάμμα
baby	μωρό
evaluarea	αποτίμησης
evaluarea	αποτίμηση
evaluarea	εκτίμηση
evaluarea	αξιολόγηση
evaluarea	αξιολόγηση
cinematografie	κινηματογραφία
danez	δανικό
danez	δανοί
danez	δανική
danez	δανικά
raportat	αναφέρθηκε
raportat	αναφέρθηκαν
râurilor	ποτάμια
râurilor	ρίβερς
râurilor	ποταμών
râurilor	ποταμούς
paula	πόλα
paula	πάολα
paula	πώλα
acoperiș	ταράτσα
acoperiș	σκεπή
acoperiș	στέγη
acoperiș	οροφή
acoperiș	ταράτσα
conferință	σύσκεψη
conferință	συνδιάσκεψη
conferință	διάσκεψη
conferință	συνέδριο
legală	νομικά
legală	νόμιμη
legală	νομικός
legală	νομικό
legală	νομική
elisabeth	ελισάβετ
citește	διαβάσει
citește	διάβαζε
citește	ανάγνωση
citește	διαβάστε
citește	διάβασε
variate	ποικίλες
bros	αδέρφια
bros	bros
prăbușit	συνετρίβη
prăbușit	κατέρρευσε
clasificate	απόρρητα
clasificate	απόρρητο
clasificate	αγγελίες
pic	pic
pic	φωτό
administrare	διοίκηση
administrare	χορήγηση
cereale	σιτηρά
cereale	δημητριακά
cereale	δημητριακά
warren	γουόρεν
warren	γουώρεν
warren	warren
parlamentară	κοινοβουλευτική
parlamentară	κοινοβουλευτικές
ferenc	ferenc
pictori	ζωγράφοι
stein	στάιν
basel	βασιλείας
basel	βασιλεία
doo	ντου
trafic	κίνηση
trafic	κυκλοφορία
baraj	dam
baraj	φράγμα
absolvent	απόφοιτος
absolvent	πτυχιούχος
islamică	ισλαμική
islamică	ισλαμικό
islamică	ισλαμιστές
derivă	παρασύρεται
balta	λιμνούλα
balta	λίμνη
balta	λακκούβα
aires	άιρες
roberts	ρόμπερτς
kingdom	βασίλειο
statuie	άγαλμα
tennessee	τενεσί
toamnă	φθινόπωρο
moștenirea	κληρονομιά
moștenirea	κληρονομιά
oslo	όσλο
turner	turner
turner	τέρνερ
adăugate	πρόσθεσε
adăugate	προστέθηκε
adăugate	προστέθηκαν
adăugate	προστίθεται
beta	βήτα
beta	beta
aripi	φτερούγες
aripi	φτερά
aripi	πτέρυγες
golf	γκολφ
interzisă	απαγορεύεται
interzisă	απαγορευμένα
interzisă	απαγορευμένη
interzisă	απαγορευμένο
interzisă	απαγορεύονται
interzisă	απαγορευμένο
interzisă	απαγορευμένη
interzisă	απαγορεύεται
numirea	ραντεβού
numirea	διορισμός
contactul	επικοινωνήστε
contactul	επαφη
contactul	επαφή
contactul	επικοινωνία
java	java
alexandre	αλεξάντρ
siberia	σιβηρία
inspector	επιθεωρητής
inspector	επιθεωρητή
ocean	ωκεανού
ocean	ωκεανός
ocean	ωκεανό
claudia	κλαούντια
claudia	κλόντια
claudia	κλώντια
plăcut	άρεσε
plăcut	ευχάριστα
plăcut	ευχάριστη
plăcut	ευχάριστο
plăcut	ευχάριστος
evans	έβανς
evans	evans
franceza	γάλλοι
franceza	γάλλος
franceza	γαλλική
franceza	γαλλικό
franceza	γαλλικά
wien	wien
edge	άκρη
declarație	δήλωση
declarație	διακήρυξη
declarație	δήλωση
discursul	λόγος
discursul	ομιλία
alabama	αλαμπάμα
intrând	είσοδος
tabel	πίνακας
tabel	πινακας
tabel	τραπέζι
indiei	ινδία
indiei	ινδίας
keith	κηθ
keith	keith
keith	κιθ
asigurată	ασφαλισμένο
emise	εκδόθηκε
emise	εκδοθέν
emise	εξέδωσε
emise	εκδίδεται
campionatele	πρωταθλήματα
manastirea	μοναστήρι
manastirea	μονή
louisiana	λουιζιάνα
baschet	μπάσκετ
organ	όργανο
hotelul	hotel
hotelul	ξενοδοχείο
oarecum	κάπως
tranziție	μετάβαση
distanțe	αποστάσεις
cald	ζέστη
cald	ζεστό
cald	καυτός
cald	καυτό
cald	καυτή
cald	ζεστή
cald	ζεστό
cald	ζεστός
cald	ζεστά
adânc	βαθύς
adânc	βαθιά
adânc	βαθύ
adânc	βαθειά
salvare	σωτηρία
salvare	λύτρωση
salvare	διάσωση
salvare	διάσωσης
vacanță	γιορτή
vacanță	αργία
vacanță	διακοπές
vacanță	διακοπές
malta	μάλτα
malta	malta
fotbalul	φούτμπολ
fotbalul	football
fotbalul	ποδόσφαιρο
radical	ριζοσπαστικό
radical	ριζοσπαστική
radical	ριζική
asalt	επίθεση
renault	ρενό
renault	renault
sierra	sierra
sierra	σιέρρα
sierra	σιέρα
specializate	εξειδικευμένες
specializate	εξειδικευμένο
specializate	εξειδικευμένη
buenos	μπουένος
dificultăți	δυσχέρεια
dificultăți	δυσκολίες
dificultăți	δυσκολία
dificultăți	δυσχέρειες
dificultăți	δυσκολίας
dificultăți	δυσκολίες
dificultăți	δυσχέρειες
râurile	ποτάμια
râurile	ρίβερς
râurile	ποταμών
râurile	ποταμούς
tribuna	tribune
lapte	γάλα
grove	γκρόουβ
memoriile	απομνημονεύματα
memoriile	απομνημονεύματα
viteze	ταχύτητες
studios	στούντιο
clara	clara
clara	κλάρα
vieți	ζωές
vieți	ζει
boemia	βοημία
oferind	προσφέροντας
letonia	λεττονία
letonia	λετονία
letonia	λετονίας
islanda	ισλανδίας
islanda	ισλανδία
hanovra	hannover
rahman	rahman
edinburgh	εδιμβούργου
edinburgh	εδιμβούργο
hlist	hlist
silva	silva
silva	σίλβα
democratic	δημοκρατικά
democratic	δημοκρατικός
democratic	δημοκρατικό
democratic	δημοκρατική
strategice	στρατηγικό
utilizând	χρησιμοποιώντας
numeric	αριθμητική
numeric	αριθμητικό
simte	νιώθω
simte	νιώσε
lloyd	λόυντ
lloyd	λόιντ
lloyd	lloyd
robinson	robinson
robinson	ρόμπινσον
oldenburg	oldenburg
controverse	αντιπαράθεση
controverse	διαμάχη
lunile	μήνες
lunile	μηνών
rase	ιπποδρομίες
rase	φυλές
rase	κούρσες
rase	φυλών
bordeaux	μπορντώ
bordeaux	μπορντό
lecții	μαθήματα
jay	τζέι
jay	jay
soră	αδελφή
soră	αδερφή
teste	τεστ
teste	εξετάσεις
teste	δοκιμασίες
teste	δοκιμές
aventuri	περιπέτειες
aventuri	περιπέτεια
autorități	αρχές
autorități	αρχες
estimare	εκτίμηση
comparativ	συγκριτικό
comparativ	συγκριτικά
comparativ	συγκριτική
comparativ	συγκριτικές
comparativ	συγκριτικά
islamice	ισλαμική
islamice	ισλαμικό
islamice	ισλαμιστές
salt	άλμα
salt	άλας
salt	σολτ
salt	αλάτι
tensiune	ένταση
tensiune	τάση
tensiune	τάσης
banda	ταινία
banda	κασέτα
batman	μπάτμαν
pius	πίος
trăiască	ζήσε
trăiască	ζω
trăiască	ζωντανά
trăiască	live
trăiască	ζήσω
exprimate	καστ
exprimate	γύψο
exprimate	εκφράζεται
exprimate	εκφρασμένο
exprimate	εξέφρασε
moneda	νόμισμα
moneda	κέρμα
moneda	νόμισμα
instalații	εγκαταστάσεις
romeo	ρομέο
romeo	ρωμαίος
romeo	ρωμαίο
aruncă	πέτα
conservare	διατήρηση
conservare	διαφύλαξη
conservare	διατήρηση
matilda	ματίλντα
recentă	πρόσφατα
recentă	πρόσφατο
recentă	πρόσφατη
recentă	πρόσφατες
accentul	προφορά
trenul	αμαξοστοιχίας
trenul	τρένο
trenul	αμαξοστοιχία
trenul	τραίνο
bate	νικήσει
bate	χτυπάει
propuse	προτεινόμενη
propuse	προτεινόμενο
propuse	προτεινόμενος
propuse	προτεινόμενες
manuscris	χειρόγραφο
manuscris	χειρόγραφα
tanc	τανκ
tanc	δεξαμενή
veliko	βέλικο
zguduit	συγκλόνισε
bolnav	άρρωστος
bolnav	άρρωστοι
bolnav	άρρωστη
bolnav	άρρωστο
prix	πρι
teodorescu	τεοντορέσκου
nguyen	nguyen
afectează	επηρεάζει
afectează	επηρεάσει
afectează	επηρεάζουν
fiice	κόρες
nigeria	νιγηρίας
nigeria	νιγηρία
gust	γεύση
gust	γούστο
gilbert	γκίλμπερτ
minnesota	μινεσότα
allah	αλλάχ
joan	ιωάννα
joan	joan
joan	τζόαν
joan	τζοάν
latina	λατινικά
latina	λατινική
latina	λατίνα
vila	vila
vila	villa
vila	βίλα
vila	βίλλα
bor	μπορ
bor	βόριο
muncitori	εργαζόμενοι
muncitori	εργαζομένων
muncitori	εργάτες
györgy	györgy
strategic	στρατηγικά
strategic	στρατηγικό
privit	παρακολούθησα
privit	παρακολούθησε
privit	παρακολουθούσε
dennis	ντένις
dennis	dennis
geografia	γεωγραφία
miami	μαϊάμι
lang	λανγκ
multumesc	ευχαριστούμε
multumesc	ευχαριστίες
multumesc	ευχαριστω
multumesc	ευχαριστώ
bugetul	προϋπολογισμού
bugetul	προϋπολογισμός
matthew	μάθιου
intervalul	εύρος
intervalul	εμβέλεια
intervalul	απόσταση
intervalul	διάστημα
wisconsin	γουισκόνσιν
wisconsin	ουισκόνσιν
străzile	δρόμους
străzile	δρόμοι
sunete	ακούγεται
sunete	ήχους
sunete	ήχοι
cablu	καλώδιο
cablu	καλώδια
cablu	καλωδιακή
barajul	dam
barajul	φράγμα
autonom	αυτόνομη
autonom	αυτόνομο
autonom	αυτόνομες
autonom	αυτόνομα
lucas	λούκας
lucas	λουκά
lucas	lucas
justin	τζάστιν
justin	justin
laurent	laurent
lingvistice	γλωσσική
northern	βόρειος
northern	βόρειο
northern	βόρεια
northern	βορεια
astea	αυτά
astea	αυτές
astea	οἱ
astea	αυτα
procedura	διαδικασία
marx	μαρξ
lector	καθηγητής
primăvară	ελατήριο
primăvară	ανοιξιάτικες
primăvară	άνοιξη
primăvară	ανοιξη
aprox	περ
gândirea	σκέψης
gândirea	σκέψη
esențial	απαραίτητος
esențial	ουσιώδης
esențial	απαραίτητο
esențial	ουσιώδες
consecutive	συνεχόμενες
consecutive	διαδοχικά
navarra	ναβάρα
asimov	ασίμοφ
carnivore	σαρκοφάγα
carnivore	σαρκοφάγο
carnivore	σαρκοφάγα
repere	στιγμιότυπα
repere	επισημαίνει
repere	ορόσημα
repere	αξιοθέατα
repere	ορόσημα
cifră	ψηφίο
singapore	σιγκαπούρη
acoperire	επικάλυψη
acoperire	επίστρωση
acoperire	κάλυμμα
acoperire	κάλυψη
acoperire	εξώφυλλο
acoperire	κάλυψη
fontsize	fontsize
wells	γουέλς
wells	πηγάδια
pasăre	μπερντ
pasăre	πουλί
pasăre	πτηνό
ocazional	περιστασιακή
ocazional	περιστασιακά
ocazional	περιστασιακές
ocazional	περιστασιακά
dedesubt	κατωτέρω
dedesubt	κάτω
dedesubt	παρακάτω
dedesubt	κατω
atei	άθεοι
fundul	πισινό
fundul	κώλο
stadiul	στάδιο
transforma	μετατρέψει
transforma	μεταμόρφωση
grădină	κήπος
grădină	κήπο
grădină	garden
springs	ελατήρια
springs	σπρινγκς
detaliate	λεπτομερείς
detaliate	λεπτομερές
detaliate	λεπτομερής
detaliate	λεπτομερή
estimat	εκτιμώμενη
estimat	εκτιμώμενο
derivate	παράγωγα
derivate	παράγωγο
liban	λίβανος
liban	λίβανο
scaune	καρέκλες
scaune	έδρες
scaune	καθίσματα
scaune	θέσεις
béla	μπίλα
regii	βασιλιάδες
regii	βασιλείς
regii	βασιλέων
regii	κινγκς
emma	έμμα
emma	έμα
emma	εμα
doyle	doyle
doyle	ντόιλ
efectuarea	φτιάχνοντας
efectuarea	κάνοντας
organe	όργανο
surori	αδερφές
surori	αδελφές
goethe	γκαίτε
cazimir	casimir
eforturi	προσπάθειες
bobby	μπόμπι
bobby	μπόμπυ
ring	δακτύλιο
ring	ρινγκ
ring	δακτύλιος
ring	δαχτυλίδι
sever	σοβαρή
faze	φάσεις
faze	στάδια
pielea	δέρμα
pielea	πετσί
pielea	δερμα
abordare	προσέγγιση
vorbind	μιλώντας
apărat	υπερασπίστηκε
bretagne	bretagne
mina	μίνα
mina	mina
pactului	σύμφωνο
cameron	κάμερον
revistele	περιοδικά
decisiv	αποφασιστική
decisiv	αποφασιστικός
decisiv	αποφασιστικό
decisiv	καθοριστική
decisiv	καθοριστικό
sălbatice	αγρια
sălbatice	άγρια
sălbatice	άγριος
sălbatice	άγριο
sălbatice	άγριες
definiția	ορισμός
stins	ξεθωριάσει
averea	πλούτος
averea	πλούτο
averea	πλούτη
dați	δώστε
dați	δώσε
țintă	στόχο
țintă	στόχος
țintă	target
țintă	στόχευση
comunitățile	κοινότητες
nenumărate	αμέτρητες
nenumărate	αμέτρητα
vânzare	πώληση
cunoștință	γνωριμία
cunoștință	γνωστός
vărul	ξαδέρφη
vărul	ξάδελφος
mer	μερ
automată	αυτόματο
automată	αυτόματη
automată	αυτόματος
automată	αυτόματες
automată	αυτόματα
refugiați	πρόσφυγες
fereastră	παράθυρο
rector	πρύτανης
propagandă	προπαγάνδα
dominat	κυριάρχησε
crească	μεγαλώνουν
rebel	επαναστάτης
rebel	επαναστάτη
ccd	ccd
lanțul	αλυσίδα
lanțul	αλυσίδες
uruguay	ουρουγουάης
uruguay	ουρουγουάη
pascal	πασκάλ
mecanica	μηχανική
mecanica	μηχανικοί
iugoslaviei	γιουγκοσλαβία
iugoslaviei	γιουγκοσλαβίας
damian	ντέμιαν
roll	roll
roll	ρολό
preluarea	εξαγορά
preluarea	κατάληψη
coadă	ουρά
coadă	ουράς
coadă	ουρά
judecător	δικαστής
judecător	δικαστή
judecător	κριτής
semnează	σημάδι
semnează	υπόγραψε
palermo	παλέρμο
hugh	χιου
hugh	χιού
hugh	hugh
termică	θερμική
termică	θερμικές
laos	λάος
argumentele	επιχειρήματα
argumentele	επιχειρηματολογία
fir	σύρματα
fir	καλώδιο
fir	σύρμα
fir	νήμα
fir	κλωστή
legiunea	λεγεώνα
chip	τσιπ
prefect	νομάρχης
coroană	στεφάνι
coroană	κορώνα
coroană	στέμμα
coroană	κράουν
coroană	κορόνα
localizată	εντοπίστηκε
triburile	φυλές
mon	mon
mon	μον
lisa	λίζα
lisa	λίσα
lisa	lisa
platoul	οροπέδιο
jpg}}	jpg}}
păsările	πουλιά
păsările	πτηνά
arcul	τόξο
arcul	υπόκλιση
square	τετράγωνο
square	πλατεία
doc	doc
doc	ντοκ
încet	αργά
call	καλέστε
call	κλήση
call	κάλεσε
cerul	ουρανού
cerul	ουρανός
cerul	ουρανό
cerul	sky
cerul	σκάι
esențiale	απαραίτητος
esențiale	ουσιώδης
esențiale	απαραίτητο
esențiale	ουσιώδες
transferul	μεταφορά
transferul	μετάθεση
transferul	μεταβίβαση
creatorul	δημιουργού
creatorul	δημιουργός
creatorul	δημιουργό
companiile	εταιρίες
companiile	εταιρείες
silvia	σίλβια
silvia	σύλβια
silvia	σίλβια
silvia	σύλβια
gibson	γκίμπσον
înconjurată	περικυκλωμένος
înconjurată	περικυκλωμένοι
viktor	βίκτορ
viktor	βίκτωρ
adulți	ενηλίκων
adulți	ενήλικοι
adulți	ενήλικες
adulți	ενήλικο
adulți	ενήλικας
adulți	ενήλικα
adulți	ενήλικος
adulți	ενήλικες
adulți	ενηλίκων
nivele	βαθμίδες
nivele	επίπεδα
copertă	κάλυμμα
copertă	κάλυψη
copertă	εξώφυλλο
atribuită	απέδωσε
atribuită	αποδόθηκε
atribuită	αποδίδεται
wood	ξύλο
wood	ξυλεία
abc	abc
geo	geo
coordonatele	συντεταγμένες
johan	γιόχαν
santos	santos
santos	σάντος
gif	gif
armament	οπλισμό
armament	εξοπλισμών
credit	πιστωτική
credit	πίστωση
credit	credit
marcând	βαθμολόγησης
visul	ονειρο
visul	όνειρο
visul	dream
visul	όνειρα
eddie	eddie
eddie	έντι
eddie	έντυ
întreprinderi	επιχειρήσεις
mir	μιρ
entități	οντοτήτων
entități	οντότητες
pescuit	αλιεία
pescuit	αλιείας
pescuit	αλιεία
pescuit	ψάρεμα
pescuit	αλιείας
proporție	αναλογία
opoziția	αντιπολίτευσης
opoziția	αντίθεση
opoziția	αντιπολίτευση
jorge	χόρχε
frecvența	συχνότητα
atribuite	απέδωσε
atribuite	αποδόθηκε
atribuite	αποδίδεται
bursă	υποτροφία
etaje	όροφοι
etaje	πατώματα
etaje	ορόφους
rază	ακτίνα
dragomir	ντράγκομιρ
reciproc	αμοιβαία
reciproc	αμοιβαίο
extra	έξτρα
extra	extra
avansate	προηγμένη
avansate	προχωρημένο
avansate	προχωρημένη
avansate	προηγμένο
trenuri	τραίνα
trenuri	τρένα
trenuri	αμαξοστοιχίες
antena	πιάτο
antena	κεραία
umbra	σκιά
umbra	σκιά
umbra	απόχρωση
vocală	φωνήεν
omorât	δολοφονήθηκε
omorât	δολοφονήθηκαν
omorât	δολοφόνησε
omorât	σκότωσε
omorât	σκοτώθηκε
omorât	σκοτώθηκαν
mărturii	μαρτυρίες
mărturii	μαρτυρίες
mărturii	κατάθεση
mărturii	μαρτυρία
aaron	ααρών
aaron	aaron
aaron	άαρον
falls	πτώσεις
falls	καταρράκτες
falls	φολς
falls	πέφτει
figură	σχήμα
paraná	παρανά
transformare	μεταμόρφωση
academică	ακαδημαϊκή
academică	ακαδημαϊκά
academică	ακαδημαϊκό
promovează	προωθήστε
promovează	προώθηση
promovează	ώθηση
promovează	τόνωση
promovează	προωθήστε
digitale	ψηφιακό
digitale	ψηφιακά
digitale	ψηφιακή
digitale	ψηφιακές
digitale	digital
abbas	αμπάς
grafic	γραφική
grafic	γράφημα
grafic	διάγραμμα
grafic	γραφικό
grafic	γραφικά
grafic	γράφημα
grafic	διάγραμμα
antrenori	προπονητές
antrenori	εκπαιδευτές
antrenori	εκπαιδευτών
contul	account
contul	λογαριασμός
contul	λογαριασμό
pedeapsa	ποινή
pedeapsa	πέναλτι
pedeapsa	τιμωρία
bancă	τράπεζα
bancă	bank
bancă	πάγκος
bancă	παγκάκι
bancă	πάγκο
mei	μέι
sevilla	sevilla
sevilla	σεβίλλη
sevilla	σεβίλλη
domnule	κύριε
definite	ορίζεται
definite	καθορισμένα
definite	καθορισμένη
definite	καθορισμένο
pauză	παύση
pauză	διάλειμμα
pauză	σπάσε
pauză	διακοπή
pauză	σπάσιμο
allan	άλαν
seminarul	σεμινάριο
săptămâna	βδομάδα
săptămâna	εβδομάδα
globală	παγκόσμια
globală	global
globală	παγκόσμιο
torre	torre
conan	κόναν
brescia	brescia
sarcini	καθήκοντα
circuitul	κύκλωμα
înfrânt	ηττήθηκε
înfrânt	νίκησε
hrușciov	χρουστσόφ
ferrara	φεράρα
string	χορδή
julian	τζούλιαν
julian	julian
mandatului	εντολή
collins	collins
collins	κόλλινς
collins	κόλινς
ontario	οντάριο
valoroase	πολύτιμος
valoroase	πολύτιμο
valoroase	πολύτιμες
valoroase	πολύτιμη
manifestat	εκδηλώνεται
manifestat	εκδηλώθηκε
pianist	πιανίστα
pianist	πιανίστας
reclamă	εμπορική
reclamă	διαφήμιση
tong	τονγκ
comunicații	επικοινωνιών
comunicații	επικοινωνίες
comunicații	επικοινωνία
manga	manga
electorală	εκλογική
indo	ινδο
marketing	marketing
marketing	μάρκετινγκ
marketing	εμπορία
declara	δηλώνω
declara	κηρύξει
montreal	μόντρεαλ
ribbentrop	ρίμπεντροπ
scade	μείωση
scade	ελάττωση
ton	τόνου
ton	τόνο
ton	τόνος
ton	τόνο
ton	τόνος
cheia	κλειδί
cheia	πλήκτρο
cheia	κλείδα
britannica	μπριτάνικα
romanov	ρομανόφ
vidin	βιντίν
mecanice	μηχανικά
mecanice	μηχανικό
ascunde	απόκρυψη
ascunde	κρύψει
mobil	mobile
mobil	κινητό
mobil	κινητή
mobil	κινητά
sean	σον
sean	sean
sean	σων
schi	σκι
schi	σκι
fondarea	ιδρυτικό
fondarea	ίδρυση
depozite	αποθήκες
depozite	καταθέσεις
maplandia	maplandia
aeroport	αεροδρόμιο
aeroport	αερολιμένας
talentul	ταλέντο
talentul	ταλέντα
oklahoma	οκλαχόμα
terestră	επίγεια
permisiunea	άδεια
permisiunea	αδεια
bernhard	bernhard
nepoata	εγγονή
nepoata	ανιψιά
nepoata	ανηψιά
bătut	χτυπημένο
bătut	χτυπημένος
pragul	κατώφλι
ouă	αβγά
ouă	αυγά
ușa	πορτα
ușa	πόρτα
aristotel	αριστοτέλη
alpha	alpha
alpha	άλφα
alpha	αλφα
atlético	ατλέτικο
sprijină	υποστηρίζει
sprijină	στηρίγματα
tipărită	τυπωμένο
tipărită	τυπωμένα
rica	ρίκα
imnul	ύμνος
imnul	ύμνο
chirurgie	χειρουργική
chirurgie	εγχείρηση
chirurgie	χειρουργείο
afecta	επηρεάσει
afecta	επηρεάζουν
madison	μάντισον
icoana	εικονίδιο
icoana	είδωλο
amy	amy
amy	έιμυ
amy	έιμι
klaus	κλάους
klaus	klaus
adriana	αντριάνα
pași	σκαλιά
pași	στάδια
pași	σκαλοπάτια
pași	βήματα
pași	βαθμίδες
spațial	χωρικών
legislația	νομοθεσία
butler	μπάτλερ
discutat	συζητήθηκε
discutat	συζήτησε
inutil	ανούσιο
inutil	άσκοπο
inutil	άσκοπη
inutil	άχρηστο
inutil	άχρηστη
inutil	ανώφελο
inutil	άχρηστος
inutil	χρηστος
rolling	κύλισης
explicație	επεξήγηση
explicație	εξήγηση
ritm	ρυθμός
ritm	ρυθμό
hudson	χάντσον
placa	πλακέτα
bursa	προύσα
bursa	υποτροφία
nori	συννεφιά
nori	σύννεφα
edmund	έντμουντ
edmund	έντμοντ
mercedes	mercedes
mercedes	μερσέντες
mercedes	μερσεντές
intelectuali	διανοούμενοι
intelectuali	πνευματική
intelectuali	διανοητική
împotrivă	ενάντια
împotrivă	κόντρα
împotrivă	εναντίον
proprietari	ιδιοκτήτες
proprietari	κάτοχοι
protejat	προστατεύεται
protejat	προστατευμένο
protejat	προστατευμένη
protejat	προστατευόμενων
protejat	προστατευμένος
ronald	ρόναλντ
alin	alin
colective	συλλογική
colective	συλλογικό
colective	συλλογικά
colective	συλλογικές
popularitate	δημοτικότητα
gândit	σκέψη
homo	χόμο
homo	γκέι
homo	ομοφυλόφιλος
homo	gay
castle	καστρο
castle	κάστρο
castle	castle
droguri	ναρκωτικά
droguri	πρέζα
droguri	φάρμακο
droguri	ναρκωτικό
droguri	ναρκωτικών
willem	willem
execuție	εκτέλεση
jucând	παίζοντας
jucând	παίξιμο
jucând	παίζω
jucând	παίζει
intervenit	παρενέβη
generat	παραγόμενα
generat	παράγεται
succese	επιτυχίες
succese	επιτυχής
succese	επιτυχία
bratislava	μπρατισλάβα
damasc	δαμασκό
nuvelă	μυθιστόρημα
nuvelă	νουβέλα
nuvelă	novella
publica	δημοσιεύει
publica	δημοσίευση
card	κάρτα
reformei	μεταρρύθμιση
reformei	αναμόρφωση
reformei	μεταρρυθμίσεις
necunoscute	άγνωστη
necunoscute	άγνωστα
necunoscute	άγνωστος
necunoscute	άγνωστο
filipine	φιλιππίνες
secundară	δευτερεύον
secundară	δευτεροβάθμια
secundară	δευτερεύουσα
carabus	carabus
promis	υποσχέθηκε
rin	ριν
rin	ρήνου
rin	ρήνο
incident	περιστατικό
incident	συμβάν
semnificația	σημασία
plecare	αποχώρηση
plecare	αναχώρηση
memorii	απομνημονεύματα
memorii	απομνημονεύματα
gândire	σκέψης
gândire	σκέψη
identificate	αναγνωρίστηκε
vladimirescu	βλαντιμιρέσκου
anatomia	ανατομία
farmacie	φαρμακείο
farmacie	φαρμακείο
biți	bit
rightarm	rightarm
mexican	μεξικάνικο
mexican	μεξικάνος
