yang	ян
hari	днів
hari	дні
google	google
google	гаджети
pemain	гравців
pemain	гравці
pemain	гравця
pemain	програвач
pemain	гравець
melayu	малайська
kerajaan	царство
kerajaan	kingdom
kerajaan	королівство
kerajaan	імперія
kerajaan	королівства
kerajaan	правління
kerajaan	уряд
sama	дорівнює
sama	рівне
sama	збігається
sama	однаковий
sama	однакові
sama	same
sama	самий
iran	іранці
iran	іран
iran	ірану
iran	іранське
ahli	член
ahli	учасник
ahli	учасника
ahli	члена
ahli	учасники
ahli	члени
kedua	другий
kedua	друге
kedua	друга
kedua	секунда
pasukan	поповнення
pasukan	війська
pasukan	команди
pasukan	команда
islam	ісламський
islam	іслам
mana	звідки
mana	де
mana	where
mana	куди
ketua	шеф
ketua	вождь
ketua	головний
ketua	голова
ketua	головою
masa	тайм
masa	час
lagu	конкурс
lagu	пісня
lagu	пісень
lagu	пісні
lagu	songs
style	стиль
tengah	середня
tengah	посередині
tengah	середньої
tengah	середина
tengah	середній
jerman	німецька
jerman	німець
jerman	герман
jerman	німецькою
jerman	німецький
jerman	німеччини
jerman	німеччині
jerman	німеччина
jerman	німеччину
jerman	німці
jalan	дорожні
jalan	дорога
cet	cet
utama	головний
utama	основне
utama	головна
utama	головні
utama	головне
utama	основний
utama	основне
utama	основна
banyak	багато
banyak	багатьох
salah	неправильна
salah	невірно
salah	неправильний
salah	неправильне
salah	неправильна
salah	неправильно
salah	неправильний
apabila	коли
bahagian	ділення
bahagian	дивізіон
bahagian	поділ
bahagian	розділ
bahagian	секція
bahagian	секції
bahagian	частини
bahagian	частинами
bahagian	розділи
bahagian	частина
menggunakan	користування
menggunakan	використання
lagi	знов
lagi	знову
lagi	більше
jenis	типу
jenis	тип
jenis	типи
sungai	річок
sungai	річки
sungai	ріки
sungai	річка
sungai	ріка
kota	місто
kota	кота
jepun	японія
jepun	японію
jepun	японії
jepun	японська
jepun	японський
jepun	японці
jepun	японські
anak	дитя
anak	дитяче
anak	дитяча
anak	дитина
anak	нащадок
ada	туди
ada	там
ada	євангелія
tanah	земля
tanah	ґрунту
tanah	ґрунт
tanah	земля
tanah	земель
tanah	землею
tanah	землю
national	національна
national	націонал
national	національне
national	національний
national	національні
bersama	взаємного
bersama	спільний
bersama	взаємно
bersama	разом
dikenali	впізнав
dikenali	визнано
dikenali	визначив
dikenali	відома
dikenali	відоме
dikenali	відомі
hanya	просто
hanya	щойно
sebelum	перед
sebelum	before
air	вода
air	водні
air	водяний
air	водяне
air	вод
air	air
air	повітряна
air	повітря
sepanyol	іспанію
sepanyol	іспанія
sepanyol	іспанії
sepanyol	іспанською
sepanyol	іспанської
sepanyol	іспанська
raja	раджа
raja	кінг
raja	король
raja	цар
perang	війна
perang	війн
perang	війни
wanita	дами
wanita	леді
wanita	дівчатка
wanita	пані
wanita	жінка
wanita	жінок
wanita	жінки
kuala	куала
sistem	система
sistem	системи
sistem	системний
sistem	системне
sistem	системна
sistem	систем
sistem	systems
pulau	пулау
pulau	острів
team	команда
provinsi	провінція
provinsi	провінції
kanak	дитя
kanak	дитяче
kanak	дитяча
kanak	дитина
kanak	нащадок
termasuk	включено
termasuk	включені
termasuk	включаючи
termasuk	включно
termasuk	зокрема
termasuk	включно
termasuk	включено
termasuk	включення
termasuk	входить
termasuk	включає
pendidikan	освітня
pendidikan	навчальна
pendidikan	освітні
pendidikan	навчальних
pendidikan	освіта
pendidikan	освіти
pendidikan	education
musim	season
musim	сезон
musim	сезону
musim	сезони
penduduk	мешканці
penduduk	мешканців
penduduk	населення
kini	тепер
kini	зараз
semasa	поточні
semasa	поточний
semasa	поточна
semasa	течія
semasa	струм
semasa	поки
carian	пошуки
carian	шукати
carian	пошук
cest	cest
kemudian	потім
kemudian	тоді
serbia	сербія
serbia	сербії
serbia	сербів
serbia	сербська
tiga	три
tiga	втрьох
tiga	трійка
keseluruhan	огляд
keseluruhan	загальна
keseluruhan	загальний
keseluruhan	цілу
keseluruhan	цілий
keseluruhan	ціла
tinggi	високий
tinggi	висока
tinggi	значне
tinggi	високе
tinggi	високі
tinggi	вищу
tinggi	вищий
tinggi	вище
tinggi	вищі
tinggi	вища
tinggi	висота
guru	викладач
guru	вчителю
guru	вчитель
guru	учитель
guru	вчителька
guru	учителі
guru	вчителів
guru	вчителі
czech	чеською
czech	чеської
czech	чеська
czech	чех
wikipedia	вікіпедія
melalui	via
melalui	віа
melalui	через
melalui	крізь
melalui	наскрізь
melalui	через
melalui	передивився
setiap	кожен
setiap	кожні
setiap	кожну
setiap	кожного
setiap	кожному
setiap	кожен
setiap	кожна
menteri	міністр
menteri	міністру
menteri	міністрів
menteri	міністри
semua	усі
semua	всі
semua	все
semua	всіх
bulan	місяця
bulan	місяць
bulan	мун
bulan	місячні
bulan	супутник
bulan	місяці
bulan	місяцями
bulan	місяців
bulan	місяця
bulan	місяць
kapal	судно
kapal	судна
kapal	судно
kapal	корабель
kapal	кораблів
kapal	кораблі
kecil	малий
kecil	малі
kecil	маленькі
kecil	маленькі
taman	парк
taman	садку
taman	садок
taman	сад
taman	парки
album	альбому
album	альбом
album	альбомів
album	альбоми
azerbaijan	азербайджану
azerbaijan	азербайджанський
azerbaijan	азербайджан
azerbaijan	азербайджанська
new	нові
new	нове
new	нова
new	новий
new	створити
club	club
club	клуб
mukim	парафія
mukim	парафії
eropah	європу
eropah	європа
eropah	європі
eropah	європейський
eropah	європейські
eropah	європейська
inggeris	англія
inggeris	англійською
inggeris	англійська
gambar	picture
gambar	зображення
gambar	картинка
gambar	фото
gambar	зображення
gambar	картинки
gambar	фотографії
gambar	світлини
gambar	світлин
gambar	фото
batu	камені
batu	камінці
batu	каменів
batu	камінь
batu	stone
batu	стоун
batu	бату
batu	скеля
batu	рок
batu	кручі
batu	rock
buku	книжки
buku	книг
buku	книги
rumah	дім
rumah	домівка
rumah	домашній
rumah	додому
rumah	будинках
rumah	доми
rumah	будинки
rumah	будинків
rumah	домів
rumah	хати
rumah	будинок
bola	кулька
bola	бал
kedudukan	розташування
kedudukan	позиція
kedudukan	положення
kedudukan	позиції
kedudukan	розташування
huruf	листи
huruf	літер
huruf	літери
huruf	лист
huruf	літера
huruf	листі
itali	італії
itali	італія
itali	італію
itali	італійською
itali	італійський
itali	італієць
itali	італійська
itali	італійської
laporan	повідомити
laporan	скарга
laporan	звіт
laporan	звітності
laporan	звітування
laporan	звітів
laporan	звіти
data	дані
data	data
flag	прапорці
flag	прапори
china	china
china	китаї
china	китаю
china	китай
china	китайською
china	китайські
china	китайська
china	китайці
china	китайський
pusat	центрах
pusat	центрів
pusat	центрами
pusat	central
pusat	центральний
pusat	центральна
pusat	центр
pusat	центр
sultan	султан
country	країни
country	країна
country	кантрі
paling	найцікавіше
paling	більшість
rasmi	офіційні
rasmi	офіційна
rasmi	офіційний
rasmi	офіційне
murid	учні
murid	студенти
murid	учням
murid	студентів
murid	студентам
murid	учні
murid	disciple
bersatu	уніфіковані
bersatu	універсальний
bersatu	united
bersatu	юнайтед
bersatu	єднайтеся
masih	still
masih	ще
masih	надалі
masih	досі
naib	віце
naib	заступник
anjing	собака
anjing	собачка
anjing	пес
anjing	псів
anjing	собак
anjing	собаки
anjing	пси
mula	запустити
mula	розпочати
mula	старт
mula	запускати
mula	початок
mula	почати
semula	знов
semula	знову
awal	рання
awal	рано
awal	раннє
awal	ранній
pelakon	акторів
pelakon	актори
pelakon	актриса
pelakon	акторка
pelakon	актор
terhadap	проти
peta	карта
peta	мапа
peta	карти
peta	мапи
peta	картах
bentuk	форму
bentuk	форма
pernah	ever
bin	скринька
waktu	тайм
waktu	час
mendapat	здобуває
mendapat	отримує
kereta	автомобілем
kereta	машина
kereta	авто
kereta	автомобіль
kereta	автомобілі
kereta	тачки
kereta	потяг
kereta	поїзд
kuasa	живить
kuasa	здібності
kuasa	силами
kuasa	влада
kuasa	живлення
kuasa	сила
kuasa	power
clubnat	clubnat
sejarah	історична
sejarah	історичне
sejarah	історичні
sejarah	журнал
sejarah	історія
sejarah	історії
walaupun	хоча
walaupun	хоча
walaupun	щоправда
report	повідомити
report	скарга
report	звіт
masjid	мечеть
sendiri	наодинці
sendiri	поодинці
sendiri	сама
sendiri	самі
sendiri	власне
sendiri	власні
sendiri	власний
piala	трофей
piala	чашка
piala	чаша
piala	кубок
pecahan	зриву
pecahan	дробів
pecahan	частка
pecahan	дріб
pecahan	точність
pecahan	дробів
kira	кіра
kira	обчислення
kira	обчислити
kira	підрахувати
pilihan	вибір
pilihan	актуально
pilihan	додатковий
pilihan	варіанти
sejak	відтоді
sejak	відколи
agama	релігія
agama	релігії
agama	релігійна
agama	релігійні
agama	релігії
agama	релігій
pos	pos
pos	дописі
pos	опублікувати
pos	допис
pos	допису
pos	поштова
pos	поштовий
pos	поштові
jakarta	джакарта
universiti	університети
universiti	університет
antarabangsa	міжнародний
antarabangsa	міжнародна
antarabangsa	міжнародні
antarabangsa	інтернаціонал
antarabangsa	міжнародне
kuno	давніх
kuno	стародавні
kuno	давні
kuno	стародавній
kuno	давній
namun	незважаючи
namun	однак
namun	ще
tiada	жодного
tiada	відсутнє
tiada	немає
tiada	жодних
tiada	відсутній
parti	вечірка
parti	партії
parti	вечірки
parti	партія
parti	party
parti	вечірок
parti	вечірки
parti	партій
bermula	почалося
bermula	почалось
bermula	почали
bermula	розпочато
bermula	почався
bermula	почато
bermula	починає
bermula	починається
bermula	запускає
bermula	стартує
bermula	починаючи
bermula	починається
bermula	початок
bermula	починаються
bermula	запуск
bermula	починається
para	para
pula	пула
saya	сая
pelbagai	декілька
pelbagai	multi
pelbagai	різноманітні
pelbagai	різні
pelbagai	різне
kadar	оцінити
kadar	частота
kadar	швидкість
kadar	оцініть
kadar	ставка
kadar	курси
kadar	швидкостей
bukan	не
bukan	not
perak	срібла
perak	срібло
perak	silver
perak	срібний
meter	метр
meter	метрах
meter	метрів
meter	метри
meter	метр
meter	метрів
meter	метри
abdul	абдул
asia	азійський
asia	азія
burung	птахи
burung	птаха
burung	пташка
burung	птах
burung	птахи
burung	пташки
september	вересня
september	вересні
september	вересень
bukit	букіт
bukit	пагорб
bukit	хілл
bukit	hill
bukit	гілл
diri	себе
diri	собі
diri	собою
diri	виступили
diri	власна
diri	власний
diri	себе
diri	власноруч
diri	собі
diri	собою
kepelbagaian	різноманітність
kepelbagaian	diversity
kepelbagaian	різноманітності
kepelbagaian	різноманіття
kepelbagaian	різноманітність
kepelbagaian	сорти
kepelbagaian	різноманітності
kepelbagaian	диверсифікації
kepelbagaian	різне
kepelbagaian	варіант
jantina	стать
jantina	статі
jantina	гендерна
jantina	родами
jantina	стать
jantina	секс
jantina	sex
januari	січні
januari	січень
januari	січня
pokok	дерево
pokok	ялинки
pokok	дерев
pokok	дерева
jun	червня
jun	червні
jun	червень
bar	барів
bar	смужки
bar	бари
bar	гратами
bar	бруси
bar	bar
bar	бар
bar	смужка
perdana	prime
pentadbiran	адміністратор
pentadbiran	адміністратора
pentadbiran	адміністратором
pentadbiran	губернія
pentadbiran	адміністрація
pentadbiran	адміністрації
pentadbiran	адміністрування
pentadbiran	адміністратори
ibu	мамо
ibu	мама
ibu	матір
ibu	мати
ibu	матері
cina	china
cina	китаї
cina	китаю
cina	китай
cina	китайською
cina	китайські
cina	китайська
cina	китайці
cina	китайський
ogos	схилення
ogos	схил
ogos	dec
ogos	серпні
ogos	серпня
ogos	серпень
datuk	дідусь
datuk	дідусь
datuk	дід
datuk	дідуся
nombor	число
nombor	кількість
nombor	номер
nombor	номера
nombor	числа
nombor	номери
nombor	цифри
siri	серія
siri	серії
siri	ряд
siri	ряди
siri	сірі
mungkin	maybe
mungkin	можливо
rakyat	народний
rakyat	народного
rakyat	фольклор
rakyat	народні
rakyat	фолк
rakyat	народна
rakyat	народ
rakyat	людей
rakyat	люди
jpg	jpg
bahan	складові
bahan	інгредієнти
bahan	матеріал
bahan	матеріали
bahan	матеріали
lama	лама
imagesize	imagesize
populasi	населення
april	квітень
april	квітня
april	квітні
empat	четвірка
empat	чотирьох
empat	чотири
kode	код
ideologi	ідеологія
muzik	музика
muzik	музики
muzik	музик
muzik	музиці
muzik	музику
mac	mac
mac	мак
mac	березні
mac	березень
mac	березня
biasa	звичний
biasa	звичайні
biasa	формальні
biasa	регулярний
biasa	звичайний
biasa	формальний
bangunan	будівля
bangunan	будівництво
bangunan	будуємо
bangunan	будівельні
bangunan	будівлі
bangunan	будівлі
bangunan	будівель
pesawat	літак
pesawat	літаків
pesawat	авіаційна
pesawat	відправитися
pesawat	літаком
pesawat	літак
manusia	людини
manusia	люди
manusia	людина
manusia	людський
mei	травнева
mei	травня
mei	травневі
mei	травні
mei	травень
mei	мей
november	листопаді
november	листопад
november	листопада
sekitar	around
sekitar	довкола
sekitar	навколо
british	британці
british	британська
british	британські
british	british
british	англієць
berjaya	успішно
berjaya	успішне
berjaya	вдало
berjaya	успішний
berjaya	вдалась
berjaya	успішно
berjaya	успіх
hidup	життя
hidup	лайф
anugerah	подарунку
anugerah	подарунок
anugerah	нагорода
anugerah	нагороди
lumpur	бруд
lumpur	мул
johor	джохор
juta	мільйон
utc	utc
location	розміщення
location	місцезнаходження
location	локація
location	місце
location	розташування
mampu	здатний
mampu	здатен
arab	арабських
arab	арабський
arab	аравія
arab	аравії
arab	арабські
arab	арабська
arab	араби
biasanya	зазвичай
biasanya	зазвичай
pembangunan	розвитку
pembangunan	розвиток
pembangunan	розробка
membaca	читає
membaca	читання
disember	грудень
disember	грудня
disember	грудні
lahir	народження
lahir	народився
lahir	борн
lahir	народилась
lahir	народилася
lahir	народження
perlawanan	збігається
perlawanan	матчів
perlawanan	відповідає
perlawanan	сірники
perlawanan	опору
perlawanan	опір
peringkat	звання
selangor	селангор
politik	політика
politik	політичний
politik	політичне
politik	політична
politik	політичні
united	united
united	юнайтед
julai	липень
julai	липні
julai	липня
tanpa	без
label	надписи
label	фірмовий
label	позначки
label	мітки
label	надпис
label	мітку
label	напис
label	мітка
udara	air
udara	повітряна
udara	повітря
gunung	гірський
gunung	гора
gunung	гірська
gunung	гора
gunung	маунт
gunung	монтувати
gunung	монтування
majlis	рада
majlis	ради
majlis	нагоди
oktober	жовтень
oktober	жовтня
oktober	жовтні
sukan	спорт
sukan	спорт
sukan	спортивні
sukan	спорту
kebanyakan	найцікавіше
kebanyakan	більшість
seri	серія
seri	серії
seri	ряд
seri	ряди
asal	джерело
asal	походження
sahaja	лише
sahaja	тільки
tentang	приблизно
tentang	інфо
tentang	про
tentang	щодо
norway	норвезька
norway	норвегії
norway	норвегія
sebahagian	частково
sebahagian	розкладання
sebahagian	часткове
sebahagian	часткова
apa	apa
diterbitkan	опублікований
diterbitkan	оприлюднено
diterbitkan	опубліковано
hak	права
mata	очі
mata	очей
mata	очам
mata	eye
mata	око
mata	mata
masyarakat	суспільство
masyarakat	товариства
masyarakat	товариство
masyarakat	товариств
terbaik	кращий
terbaik	найкраща
terbaik	найкращий
terbaik	найкраще
terbaik	найкращі
isbn	isbn
terdiri	складено
terdiri	складається
singapura	сінгапурі
singapura	сінгапуру
abad	ст
abad	століття
abad	century
ketinggian	висота
ketinggian	висоти
ketinggian	висота
ketinggian	висота
liga	льє
liga	ліга
liga	ліга
korea	корейці
korea	корейська
korea	корея
korea	кореї
keluarga	сімей
keluarga	родин
keluarga	родини
keluarga	сімейство
keluarga	сімейний
keluarga	сімейні
keluarga	родина
watak	характер
watak	символів
watak	персонаж
watak	символ
watak	символів
watak	персонажі
watak	ієрогліфи
watak	літери
watak	символи
sumber	джерело
sumber	джерела
sumber	виконавця
sumber	ресурсу
sumber	ресурс
sumber	виконавець
sumber	ресурси
sumber	виконавців
sumber	виконавці
sumber	ресурси
sumber	джерела
sumber	джерел
mengikut	читачі
menyebabkan	причинами
menyebabkan	причини
membawa	несуть
membawa	несе
membawa	везти
pejabat	чиновники
pejabat	чиновників
pejabat	заклади
pejabat	працевлаштування
pejabat	офіс
pejabat	office
saint	святий
saint	saint
saint	сен
menerima	отримання
menerima	отримувати
menerima	приймає
menerima	підтвердити
dasar	політики
dasar	правила
dasar	правила
dasar	політики
dasar	policy
dasar	політика
dasar	політикою
anda	тобою
anda	ви
anda	ти
anda	тебе
aras	рівні
aras	рівнів
aras	рівень
februari	лютому
februari	лютий
februari	лютого
kata	каже
kata	ката
ramai	переповнений
terkenal	всесвітньо
kementerian	міністерства
kementerian	міністерство
kurang	менше
ahmad	ахмад
aircraft	літак
aircraft	літаків
aircraft	авіаційна
dewan	рада
dewan	ради
juara	чемпіон
juara	чемпіони
bagaimanapun	однак
sering	часто
australia	австралійська
australia	австралійський
australia	австралія
australia	australia
australia	австралії
web	web
web	веб
kerja	роботи
kerja	робота
kerja	працюю
kerja	працюють
kerja	роботу
kerja	робочий
dibina	побудовано
dibina	побудували
dibina	зібрано
dibina	побудовано
dibina	проведена
panas	гаряча
panas	hot
panas	гарячий
panas	гаряче
panas	гарячі
panas	теплом
panas	спека
reference	довідник
reference	посилання
reference	зразковий
group	група
group	групова
group	груповий
group	групу
group	спільнота
alam	алам
alam	природа
alam	природня
http	http
kelas	класи
kelas	клас
rendah	низький
rendah	низька
rendah	low
kod	код
kod	коди
kod	кодів
bumi	землею
bumi	earth
bumi	землі
bumi	земля
bumi	землян
ketiga	третє
ketiga	третій
ketiga	третя
panjang	тривалість
panjang	довжина
panjang	довжини
panjang	довгий
panjang	хай
panjang	лонг
panjang	long
panjang	довга
panjang	довгі
bidang	поля
bidang	поля
bidang	поле
lima	ліма
kelab	club
kelab	клуб
kelab	клуби
kelab	жир
kelab	клубів
welcome	запрошуємо
video	відео
video	відеозапис
video	відео
api	fire
api	вогнем
api	вогонь
api	пожежа
api	api
api	flame
api	flames
sri	шрі
umum	загальні
umum	генерал
umum	загальний
umum	загальне
owl	сова
owl	сови
keadaan	стан
keadaan	держава
sarawak	саравак
memberi	віддавали
memberi	віддавати
memberi	віддаю
memberi	даючи
memberi	даєш
cara	шляхи
cara	способи
cara	кара
cara	cara
perkhidmatan	послуги
perkhidmatan	служби
perkhidmatan	служби
perkhidmatan	service
perkhidmatan	служба
perkhidmatan	послуга
perkhidmatan	сервіс
unit	одиниці
unit	юніт
unit	одиниці
unit	одиниця
sangat	дуже
sangat	сильно
persekutuan	альянс
persekutuan	федерація
persekutuan	федеральний
persekutuan	братства
persekutuan	товариство
persekutuan	союзи
makanan	харчування
makanan	їжа
makanan	foods
ekonomi	економіка
ekonomi	економічне
ekonomi	економічні
ekonomi	економічна
ekonomi	економічний
ekonomi	корупцію
ekonomi	господарство
ekonomi	економіка
ekonomi	економія
versi	версія
versi	версії
versi	версій
sementara	тимчасове
sementara	тимчасові
sementara	тимчасова
sementara	тимчасово
sementara	тимчасовий
haiwan	звірі
haiwan	тварини
haiwan	тварини
haiwan	тварина
haiwan	animal
sabah	сабах
penting	важлива
penting	важливі
penting	важливий
penting	важливе
penting	важливо
penting	необхідних
penting	необхідного
penting	необхідний
merah	червона
merah	ред
merah	червоний
merah	червоне
merah	червоні
seni	мистецтво
seni	арт
seni	мистецтво
seni	художня
perlu	need
perlu	треба
perlu	потрібно
perlu	потреби
perlu	потреба
latd	latd
sekali	once
longd	longd
stesen	станція
stesen	станції
stesen	вокзал
stesen	станції
latns	latns
longew	longew
polis	коп
polis	поліцейський
polis	поліція
polis	поліцейських
muda	янг
muda	молода
muda	молоді
muda	молодою
muda	молодий
muda	молодим
kelantan	келантан
amat	надзвичайно
fail	файли
fail	файлів
fail	файл
serangan	приступ
serangan	атакує
serangan	напади
serangan	атаки
serangan	наступ
serangan	напад
serangan	атака
serangan	атаки
serangan	десант
serangan	напад
putih	білий
putih	біла
putih	біле
putih	білі
putih	вайт
berbeza	відрізняється
berbeza	different
berbeza	інше
berbeza	різні
berbeza	різних
berbeza	відмінні
berbeza	відрізняються
berbeza	різною
berbeza	змінюється
haji	хаджі
sains	наука
sains	науки
sains	наук
gol	голі
gol	gol
gol	мета
hasil	результати
hasil	порції
hasil	прибуток
penyanyi	співаки
penyanyi	співак
penyanyi	співачка
penyanyi	співака
permainan	ігри
permainan	гра
permainan	гри
permainan	гру
permainan	ігор
permainan	games
permainan	ігри
awam	публічний
awam	громадське
awam	паблік
awam	відкритий
awam	публічна
awam	громадського
muhammad	мухаммед
muhammad	мухаммад
badan	тіло
badan	тіла
tempatan	локально
tempatan	локальні
tempatan	місцеві
tempatan	локальна
tempatan	локальний
tempatan	місцевий
tempatan	місцеві
tempatan	жителів
tempatan	кредитування
kejohanan	конкурсів
kejohanan	змагань
kejohanan	змагання
kejohanan	чемпіонський
kejohanan	чемпіонат
kejohanan	турнір
berasal	походити
berasal	отримує
berasal	похідний
com	com
komuniti	громад
komuniti	громада
komuniti	спільнота
komuniti	спільноти
belanda	нідерланди
belanda	нідерландах
belanda	нідерландів
belanda	голландії
belanda	голландія
belanda	нідерландська
belanda	голландська
menunjukkan	показ
menunjukkan	відзначено
kaki	ніжку
kaki	нога
kaki	нозі
kaki	ногу
kaki	ногами
kaki	ноги
kaki	стопи
kaki	футів
kaki	нога
kaki	ногою
kaki	фут
kaki	пішки
kaki	лапка
kaki	ніжки
kaki	ноги
nepal	непал
nepal	непальська
cinta	любов
cinta	кохаю
cinta	кохання
bermain	грає
bermain	програвання
bermain	відтворення
belakang	позаду
belakang	back
belakang	назад
belakang	ззаду
belakang	повернулася
belakang	спина
belakang	задній
belakang	строю
pengguna	користувачі
pengguna	користувачів
pengguna	користувача
pengguna	користувач
tempoh	тривалість
tempoh	строк
tempoh	період
tempoh	строк
tempoh	строків
popular	популярні
popular	популярне
popular	популярна
popular	популярний
maklumat	info
maklumat	інформації
maklumat	інформація
maklumat	відомості
maklumat	інформація
hitam	чорні
hitam	чорне
hitam	чорна
hitam	чорний
shah	шах
kemudiannya	потім
kemudiannya	тоді
kemudiannya	згодом
kemudiannya	пізніше
kemudiannya	потому
memberikan	віддавали
memberikan	віддавати
memberikan	віддаю
memberikan	даючи
memberikan	даєш
pegawai	офіцери
pegawai	офіцерів
pegawai	наглядач
pegawai	офіцер
akhirnya	зрештою
akhirnya	нарешті
warna	кольорах
warna	кольори
warna	колір
warna	кольорова
warna	барви
warna	кольори
warna	кольорів
warna	колір
warna	кольорова
city	місто
penggunaan	користування
penggunaan	використання
hampir	майже
terbesar	найбільші
terbesar	найбільша
terbesar	найбільшу
terbesar	найбільший
terbesar	greatest
terbesar	найбільшим
terbesar	найбільших
terbesar	найбільші
terbesar	найбільша
latm	latm
longm	longm
program	програма
program	програма
program	програми
perkataan	словом
perkataan	слово
perkataan	слів
perkataan	слова
jawatankuasa	комітету
jawatankuasa	комітет
seed	насіння
seed	потомство
parlimen	парламентська
parlimen	парламент
london	лондонський
london	london
london	лондон
dianggap	вважається
dianggap	вважаються
dianggap	вважають
