čtvrtí	naseljima
rozhovory	intervjue
rozhovory	razgovori
rozhovory	pregovori
plánované	planirani
plánované	planirano
plánované	planirana
plánované	planirane
radost	radost
radost	sretan
radost	sretna
radost	happy
office	ured
office	office
office	kancelarija
odměny	nagrade
dostatečné	dovoljan
dědice	nasljednik
dědice	naslednika
dědice	nasljeđuju
ukázat	show
ukázat	emisiju
ukázat	nastup
ukázat	šou
ukázat	sou
impérium	carstvo
podrobně	detaljan
podrobně	detaljne
dopisy	pisma
dopisy	slova
roberto	roberta
roberto	roberto
ledu	led
obilí	žita
obilí	zrno
působnosti	opseg
odborník	specijalista
odborník	stručnjak
odborník	stručna
odborník	ekspertni
odborník	stručni
odborník	stručnjak
odborník	ekspert
portály	portala
deklarace	deklaracija
deklarace	proglašenje
upravené	sare
upravené	mijenjati
upravené	modificirana
upravené	modifikovan
přidání	dodavši
přidání	ubacuju
přidání	dodajući
přidání	dodavanje
přidání	dodaju
přidání	dodati
přidání	dodajte
náměstek	zamjenik
plod	fetus
plod	fetus
plod	fetusa
instalace	ustanovama
instalace	instalira
instalace	instalacija
instalace	instalaciju
instalace	instalacija
chlapci	momci
chlapci	boys
chlapci	dječaci
organické	organska
nejblíže	najbliži
nejblíže	najbliža
revize	reviziju
indiana	indiana
morální	moralna
morální	moralne
koalici	koalicija
double	dvostruki
double	dupla
double	dvostruko
double	dvostruke
nelson	nelson
utrpení	patnja
utrpení	stradanja
utrpení	patnje
utrpení	pate
utrpení	muke
utrpení	pati
utrpení	bijede
pseudonym	pseudonim
nářečí	dialects
závislé	zavisna
závislé	zavisne
báze	baza
fotografování	fotografija
rozšiřuje	proširuje
vysoko	visoko
vysoko	visoki
sadu	smokvama
ken	ken
luigi	luigi
získávání	sticanja
vlastník	vlasnik
politiků	političari
střela	projektil
střela	raketa
ptáky	ptice
hluboko	duboka
hluboko	duboke
hluboko	duboko
hluboko	dubok
hluboko	deep
definovat	definisati
definovat	definisanje
nacisty	nacisti
eddie	eddie
eddie	edi
snadné	lak
snadné	lako
snadné	lahko
snadné	polahko
barry	barry
vizuální	vizuelni
vizuální	vizuelno
vizuální	vizuelna
vizuální	visual
vchod	ulaz
viditelné	vidljiv
viditelné	vidljiva
viditelné	vidljivi
viditelné	vidljivo
pochod	mart
dětská	dijete
trpěl	pretrpjela
hit	hit
hit	pogođena
hit	udario
hit	pogodio
připojen	povezani
připojen	povezana
poznal	priznat
vždycky	uvijek
vždycky	uvek
spiknutí	zavjera
spiknutí	zavjere
spiknutí	zavjera
spiknutí	crteža
naději	nadaju
naději	nada
naději	nade
nan	nan
stanoví	navodi
továrně	fabrika
pořady	pokazuje
křesťanská	hrišćanski
křesťanská	christian
křesťanská	hrišćanska
křesťanská	kršćanska
křesťanská	hrišćanin
křesťanská	kristijan
nepomuk	nepomuk
odhalení	otkrivanju
odhalení	otkrovenje
odhalení	ajete
odhalení	ajetima
odhalení	ajeti
pojmenoval	nazvana
pojmenoval	nazvane
pojmenoval	nazvan
pojmenoval	proglašen
cyril	ćira
keith	keith
terén	terenu
sociolog	sociolog
trend	trend
dno	dno
přesvědčen	uvjeren
aktivista	aktiviste
aktivista	aktivistkinja
arabové	arapi
císařovna	carica
udržovat	održavaju
aspekty	aspekata
aspekty	aspektima
aspekty	aspekti
souvislost	veza
souvislost	veza
souvislost	link
nejoblíbenější	miljenika
nejoblíbenější	omiljeni
nejoblíbenější	miljenik
nejoblíbenější	omiljeno
pobočka	ogranak
pobočka	grana
irena	irena
irena	irene
švýcarské	švicarska
švýcarské	švicarski
ukládání	spašavanje
dočasné	privremeno
dočasné	privremenu
dočasné	privremene
chaty	kew
chaty	kabine
chaty	kolibe
fakta	činjenica
fakta	činjenice
admirál	admiral
ontario	ontario
řazení	rang
tkáně	tkiva
tkáně	tkivo
tkáně	tkiva
tkáně	tkivu
orel	orao
jasný	jasni
jasný	jasnih
jasný	jasno
jasný	jasna
jasný	jasan
učebnice	udžbenika
učebnice	udžbenici
ozbrojené	naoružani
ozbrojené	oružane
poskytl	obezbjeđen
poskytl	obezbijeđen
poskytl	obezbijedila
poskytl	obezbjeđena
jennifer	jennifer
značek	brendove
značek	brendova
podzimní	jesen
patnáct	petnaest
tibetu	tibet
klíčové	ključni
klíčové	ključ
hity	hitovi
tragédie	tragičnog
tragédie	tragedija
kritické	kritična
kritické	kritično
cenné	vrijedne
cenné	vrijedna
faktor	faktor
hebrejsky	hebrejski
soudy	sudovima
soudy	sudovi
příbuzný	relativna
chodit	walking
chodit	hod
nežádoucí	neželjene
nežádoucí	neželjena
nežádoucí	nepoželjan
vrah	ubicu
vrah	ubica
vrah	ubicu
vrah	ubica
tvůrci	kreatori
potenciální	potencijal
koho	ko
koho	koji
souboj	duel
znečištění	zagađenje
znečištění	zagađenost
bytosti	bića
bytosti	bićima
bytosti	stvorenja
léčení	liječenje
léčení	ljekovita
léčení	liječenje
léčení	lečenje
léčení	tretman
léčení	tretmanu
písničky	pesama
písničky	pjesme
písničky	pesme
písničky	pjesmama
písničky	pjesama
vyžadují	zahtijevaju
bolest	bol
ploché	ravan
ploché	ravne
elitní	elita
peugeot	peugeot
opakování	ponavljanje
roviny	avioni
rozvíjí	razvija
klasického	klasični
wan	wan
bloků	blokovi
ohně	požari
doporučená	preporučuje
doporučená	preporučio
doporučená	preporučila
sněhu	snijeg
veden	upućen
veden	vođen
leonard	leonard
florencie	florence
propagaci	promocija
vegas	vegas
stupnice	skala
zeleně	zelena
stuart	stuart
přehrada	brana
přehrada	reservoir
kristina	kristina
menšiny	manjina
menšiny	manjinska
menšiny	manjinu
menšiny	manjine
sebastian	sebastian
ted	ted
odráží	ogleda
odráží	odražava
photo	foto
photo	fotografija
usnesení	rezolucija
stěna	zid
tendence	trendova
tendence	trendovi
tendence	trendove
tendence	trendovima
tendence	tendencija
berdych	berdych
tma	tami
tma	tama
tma	tame
madridu	madrid
počítačová	računar
prsten	ring
prsten	prsten
kořist	plijena
kořist	nagradni
kořist	plen
skladatelů	kompozitora
skladatelů	kompozitori
virginie	virginia
účastníky	učesnici
demonstrace	demonstracije
demonstrace	demonstracija
demonstrace	demonstracije
demonstrace	demonstracijama
posílení	jačanje
posílení	jačanju
blood	krv
způsobilo	izazvalo
způsobilo	uzrokovala
způsobilo	uzrokovane
způsobilo	izazvao
způsobilo	izazvala
metoděje	metodija
metoděje	metodije
interní	unutrašnje
interní	unutrašnja
interní	unutrašnji
rohy	uglovi
rohy	rogova
odstraněny	uklonjena
tokio	tokio
spuštění	startup
spuštění	pokretanju
spuštění	pokretanje
spuštění	pokretanje
spuštění	pokrenuti
lotus	lotus
dodává	dodaje
váhy	vaga
váhy	tegove
váhy	težina
závislá	zavisna
marseille	marseille
bibliografie	bibliography
hnědá	brown
potter	potter
charlotte	charlotte
roland	roland
vlajku	zastava
těsné	uska
náboje	bullets
náboje	metaka
náboje	granate
náboje	granata
indianapolis	indianapolis
náhradní	rezervnih
náhradní	zamjena
sportovec	sportista
sportovec	sportista
vykonává	nastupa
fyzika	fizika
warner	warner
krk	krk
krk	vrat
rameno	rame
edmund	edmund
udělení	davanje
pri	pri
klein	klein
automatické	auto
automatické	automatsko
oskar	oskar
oskar	oskar
oskar	oscar
živá	live
živá	lively
živá	živa
spektrum	spectra
spektrum	spektar
spektrum	spektra
spektrum	spektru
integrace	integracija
mediawiki	mediawiki
pečlivě	pažljivo
kardinála	kardinal
vyzval	izazvani
faktorů	faktori
disciplíny	discipline
disciplíny	disciplinama
robinson	robinson
duo	duo
sousedních	susjednoj
sousedních	susjedna
podlehla	podlegao
lékařská	medicinska
lékařská	medicinski
lékařská	medical
otevřeně	otvoreno
arch	arch
vražda	ubistva
vražda	ubistvo
příjmy	prihoda
příjmy	prihodi
příjmy	prihode
příjmy	prihod
příjmy	prihodi
hnízdo	gnijezdo
rozlišuje	razlikuje
knihovnu	biblioteka
argentiny	argentina
rozvod	razvod
poskytování	odredbom
poskytování	odredbu
poskytování	opskrba
spotřeba	potrošnja
spotřeba	potrošnju
fyzicky	fizički
vinohrady	vinohrady
herců	glumaca
herců	glumci
sofie	sofija
sofie	sofija
sofie	sophia
bohatý	bogata
bohatý	bogato
bohatý	bogati
bohatý	bogatim
bohatý	bogat
bohatý	bogati
výchova	njeguje
výchova	odgoj
výchova	odgoja
výchova	odgoj
konflikty	sukobi
konflikty	sukob
konflikty	konflikt
main	glavne
main	glavna
main	glavno
main	glavni
růžové	ružičasta
révy	vine
creek	creek
saturn	saturn
malba	slikarstvo
šedé	gray
šedé	siva
šedé	sive
šedé	sivi
šedé	siva
graham	graham
atmosféru	atmosfera
atmosféru	atmosferu
nalezena	našla
nalezena	pronađen
nalezena	pronađena
nalezena	pronašli
nalezena	pronašao
nalezena	utvrdila
vánoce	božić
byliny	bilje
byliny	bilja
byliny	herb
dánské	danski
kvartet	kvarteta
kvartet	kvartet
sériové	serijske
sériové	serijski
sériové	serijskog
sériové	serijska
plavání	plivanju
výrazy	izrazi
výrazy	pojmove
výrazy	uslovi
popsat	opisati
popsat	opisivanje
stewart	stewart
těžká	heavy
těžká	teški
těžká	težak
těžká	teška
těžká	teške
voličů	glasača
voličů	glasačke
voličů	glasačima
voličů	birači
voličů	glasači
zdánlivě	naizgled
mostů	mostove
mostů	mostovi
mostů	mostova
svazky	tomova
předsednictva	biro
stoupá	rastuće
kódování	kodiraju
výměna	razmjenu
výměna	razmjena
vyjednávání	pregovori
vyjednávání	pregovori
smetana	krem
smetana	krema
zachovat	očuvati
zachovat	očuvanje
zachovat	održavaju
zachovat	zadrži
zachovat	keep
zaměstnance	radnik
zaměstnance	uposlenici
alberto	alberta
alberto	alberto
slovesa	glagola
příroda	priroda
maďarská	mađarski
zubů	zube
zubů	zuba
zubů	zubi
zubů	zubima
formulace	formulacija
experimenty	eksperimenti
experimenty	eksperimenata
šířku	širine
šířku	širina
kultur	kultura
obtížně	teškom
obtížně	teški
obtížně	težak
obtížně	teško
obtížně	teška
lidský	čovjek
thompson	thompson
svatyně	oltar
svatyně	hram
fiat	fiat
jam	yam
jam	jam
magnetické	magnetno
magnetické	magnetni
magnetické	magnetne
magnetické	magnetsko
norské	norveški
potlačení	represija
potlačení	suzbijanje
musica	musica
lou	lu
lou	lou
omezit	smanji
omezit	ograničavaju
omezit	ograničenje
nehody	nezgoda
úředníků	zvaničnici
hrobky	grob
hrobky	grobnica
hrobky	grobnicama
referendum	referendum
přepis	transkripcija
přepis	transcript
slabší	slabije
slabší	slabiji
určeno	namijenjeni
určeno	namijenjene
určeno	namijenjena
určeno	namijenjen
larvy	larva
reklamy	ads
reklamy	oglašavanje
vyhnout	izbjeći
vyhnout	izbjegavati
vyhnout	izbjegne
vyhnout	izbjegavanja
tenis	tenis
bakterií	bakterije
uzel	čvor
uzel	čvor
ahoj	alo
ahoj	halo
léčby	liječenje
léčby	lečenje
léčby	tretman
léčby	tretmanu
filharmonie	filharmonija
ann	ann
obranné	odbrambene
obranné	odbrambena
bayern	bayern
uspěl	uspjeli
uspěl	uspjela
uspěl	uspio
návštěva	posjetilac
návštěva	posjetu
návštěva	posjeta
alpes	alpes
limit	ograničavaju
limit	ograničenje
pevný	čvrsto
pevný	čvrste
pevný	firma
magic	sihr
přítomen	prisutan
specifický	specifične
specifický	konkretne
specifický	specifična
stáhnout	preuzimanje
stáhnout	povuče
kolegové	kolege
kolegové	saradnici
hluboká	duboka
hluboká	duboke
hluboká	duboko
hluboká	dubok
hluboká	deep
očekávání	očekivanja
nowrap	nowrap
vyrobené	made
vyrobené	napravio
vyrobené	napravljena
vyrobené	napravljen
vyrobené	napravila
vyrobené	proizvedena
vyrobené	proizveo
vyrobené	proizvela
catherine	catherine
catherine	katarina
potřebují	treba
překonat	prevazići
víra	vjera
víra	vjerovanje
víra	vjerovanja
harrison	harrison
swe	swe
joachim	joachim
okrsek	okrug
spáchal	počinjenih
spáchal	počinjenim
spáchal	počinila
spáchal	izvršio
spáchal	počinio
spáchal	počinili
marián	marián
specialista	specijalista
specialista	stručnjak
strachu	strah
erupce	erupcija
erupce	erupcije
masakr	masakr
masakr	pokolj
nezávislá	independent
nezávislá	nezavisno
nezávislá	nezavisni
nezávislá	nezavisna
bezprostřední	skorom
pozdě	kasni
pozdě	kasno
bin	bin
kousek	komad
schéma	dijagram
schéma	šeme
oblíbený	popularna
oblíbený	popularan
oblíbený	popularni
oblíbený	miljenika
oblíbený	omiljeni
oblíbený	miljenik
oblíbený	omiljeno
bavorsko	bavarska
posouzení	procjenu
posouzení	procjene
posouzení	ocjena
dlouholetý	dugogodišnji
obnova	obnovu
obnova	oporavak
obnova	oporavka
obnova	obnavljanje
obnova	obnova
obnova	obnove
obnova	obnovu
epidemie	epidemija
epidemie	epidemija
satelitní	sateliti
abbrev	abbrev
mimořádné	izuzetne
mimořádné	izvanredan
mimořádné	neuobičajena
mimořádné	izuzetnim
mimořádné	izuzetne
mimořádné	izuzetno
mimořádné	izuzetan
přežití	opstanak
přežití	preživljavanje
přežití	preživeli
řekové	grci
aktivitu	aktivnost
přiznal	priznao
herečky	glumice
herečky	glumica
auf	auf
morgan	morgan
reprezentativní	zastupnik
reprezentativní	predstavnik
flotily	flota
arábie	arabija
arábie	arabiju
těhotenství	trudnoća
občan	građanin
ohrožené	ugrožena
ohrožené	ugrozili
klára	klara
klára	clara
alpy	alpi
kiss	poljubac
kiss	kiss
terry	terry
vajec	jaja
jakýkoliv	bilo
spolky	društvima
spolky	društva
spolky	društava
tramvaj	tram
tramvaj	streetcar
odmítli	odbio
dáno	dat
přijel	stigao
přijel	stigli
přijel	stigla
specializované	specijalizirane
specializované	specijalizovani
daly	daly
provence	provence
kulturně	kulturno
parc	parc
beatles	beatles
parky	parkovi
michigan	michigan
kost	kost
znalost	znanje
višnjan	višnjan
podvozek	šasije
klobouk	hat
klobouk	šešir
protesty	protest
protesty	proteste
protesty	protesti
posloupnost	niz
skotska	škotska
nedostatky	nedostatke
nedostatky	nedostataka
nedostatky	nedostaci
nedostatky	nedostatke
nedostatky	slabosti
stáhl	povukle
stáhl	povukla
daň	porez
bohemia	bohemia
bohemia	bohemije
soutěžní	takmičenje
soutěžní	takmičarski
dodávky	isporuka
dodávky	isporuke
dodávky	zalihe
dodávky	zaliha
dodávky	opskrbljuje
dodávky	namirnica
oblouk	arch
rytíře	vitezova
trenéři	treneri
trenéři	predavači
konfliktů	sukobi
pozic	pozicija
pozic	pozicije
pozic	položaje
pozic	pozicijama
čtrnáct	četrnaest
reagoval	reagovao
reagoval	odgovorio
miluje	voli
cestování	putovanje
cestování	putovanja
cestování	putovanju
cestování	putujući
holub	pigeon
porodu	porođaj
logické	logično
logické	logičan
logické	logika
železnici	pruga
pozvání	pozive
pozvání	pozvati
pozvání	pozivamo
pozvání	poziv
veronika	veronika
veronika	veronika
hrdinů	heroji
vyrobeny	proizvedena
vyrobeny	made
vyrobeny	napravio
vyrobeny	napravljena
vyrobeny	napravljen
vyrobeny	napravila
myšlenek	misli
bonaparte	bonaparte
minutu	minuta
živě	live
popření	uskraćivanja
mitchell	mitchell
výroční	godišnjim
výroční	godišnji
výroční	godišnjem
výroční	godišnja
bytů	bajtova
orange	orange
orange	narandžasta
náhorní	nagorno
chorvatské	hrvatski
prodává	prodaje
hektarů	hektara
parků	parkovi
psáno	pisani
psáno	napisano
psáno	zapisano
psáno	napisao
psáno	pisan
psáno	pisao
xml	xml
kate	kate
url	url
url	urls
okolnosti	okolnosti
okolnosti	okolnosti
okolnosti	okolnostima
liška	lisica
liška	fox
peří	perje
carter	carter
výhodu	prednost
silva	silva
pocity	osećanja
pocity	osjećanja
patrik	patrik
patrik	patrick
sopka	vulkan
produktu	proizvod
produktu	produkt
potraviny	hrana
potraviny	namirnice
odstraněna	deleted
odstraněna	uklonjena
kult	kult
kůry	kora
silver	srebro
kovové	metalna
kovové	metalnih
kovové	metalni
trubka	cijev
trubka	cijev
trubka	truba
joan	joan
zajímá	zainteresovani
zajímá	zainteresovan
zajímá	zainteresiran
zajímá	zainteresovana
zajímá	zainteresirani
zajímá	zainteresovane
reklama	oglašavanje
reklama	oglas
matematika	matematika
matematika	matematike
matematika	matematička
matematika	matematici
matematika	matematika
návod	uputstvo
návod	priručnik
návod	uputstvu
návod	uputstva
návod	upute
návod	instrukcije
naši	naše
naši	naša
naši	naš
sierra	sierra
caesar	cezar
pohyby	poteza
pohyby	pokret
pohyby	kretanje
pohyby	pokreti
poškozen	oštećeni
poškozen	oštećeno
poškozen	oštećen
výjimku	izuzetak
čelní	frontalni
umožnila	omogućena
umožnila	omogućio
true	istina
true	tačna
podepsána	potpisan
orgánu	organ
řidiče	vozači
řidiče	vozač
řidiče	vozača
oddělené	razdvojene
oddělené	odvojenih
oddělené	odvojene
oddělené	odvojiti
vyhláška	uredba
vyhláška	propis
vyhláška	dekretom
vyhláška	dekret
neštěstí	katastrofe
neštěstí	katastrofa
wiener	wiener
aktivních	aktivna
aktivních	aktivni
aktivních	aktivan
loví	lovi
velvyslanectví	ambasada
ovlivnit	uticaja
ovlivnit	utjecaj
ovlivnit	uticaj
svobodná	single
kovy	metal
kovy	metale
kovy	metali
sinclair	sinclair
předsedal	predsjedavao
pilotní	pilot
zobrazí	pokazuje
nepřátel	neprijateljima
nepřátel	neprijatelji
nepřátel	neprijatelja
hradecká	hradecká
architektonické	arhitektonski
inteligentní	intelligent
přímá	direktni
přímá	direktna
přímá	direktan
italia	italia
vkládá	uveo
vkládá	ubačeni
obhájce	defender
obhájce	branilac
dokonale	savršeno
larry	larry
rozložení	distribuciji
rozložení	distribucija
rozložení	distribuciju
rozložení	raspored
finance	finansije
finance	finansije
finance	finansije
norma	norma
norma	norma
norma	norme
norma	standardni
příkazy	komande
příkazy	komanduje
příkazy	naređenje
příkazy	naređenja
napsali	pisala
napsali	napisao
napsali	pisao
blake	blake
čluny	brodove
čluny	brodovi
zpíval	pjevao
dovnitř	unutrašnjost
dovnitř	unutar
osobám	osobe
pravdy	istine
soukromí	privatnost
podlaží	kata
podlaží	spratu
podlaží	poda
podlaží	sprat
luk	luk
luk	sedžde
luk	luk
jednotlivců	pojedinci
vzory	modeli
podpořit	podrška
olympic	olimpijski
zraněn	povrijeđeno
zraněn	ranjen
volná	free
temné	tamne
temné	dark
temné	mraku
temné	tamna
temné	mračna
stockholmu	stockholm
řádek	linija
řádek	redom
jürgen	jürgen
pokorný	humble
zkratkou	prečice
studuje	proučava
studuje	proučavaju
posun	pomak
potvrzeno	potvrdila
potvrzeno	potvrdio
potvrzeno	potvrđeno
slabé	slabi
slabé	slaba
slabé	slab
tmavé	tamne
tmavé	dark
tmavé	mraku
tmavé	tamna
tmavé	mračna
germain	germain
texasu	texas
bull	bik
spektra	spectra
spektra	spektar
spektra	spektra
spektra	spektru
sedmý	sedma
sedmý	sedmi
mann	men
obdobné	slični
obdobné	slične
obdobné	sličan
obdobné	slična
obdobné	sličnim
ana	ana
zvýšené	povećan
zvýšené	povećana
zvýšené	povećane
zvýšené	povećanu
zvýšené	povećanog
zvýšené	povišene
pokrok	napredak
ověření	verifikacije
ověření	verifikaciju
buk	buk
paulo	paulo
paulo	paula
vzestup	uzdizanje
vzestup	rast
vzestup	uspon
vzestup	usponu
provedeno	uradio
provedeno	urađen
provedeno	završeno
provedeno	urađeno
potřeb	treba
odvozené	dobijeni
náhodně	slučajno
odměnu	nagrada
grace	grace
oslavy	proslava
oslavy	proslavama
oslavy	proslave
oslavy	proslava
oslavy	proslave
oslavy	slavlje
oslavy	proslavu
poddruh	podvrsta
dallas	dallas
zrychlení	ubrzanje
útočiště	pješačko
útočiště	utočište
čekat	čekanje
čekat	čekajući
čekat	čeka
čekat	čekaju
čekat	čekanja
organismy	organizmi
organismy	organizme
obytné	stambeni
obytné	stambene
zachována	zadržala
zachována	održavala
zachována	održavana
leonardo	leonardo
váže	vezuje
začleňování	uključenje
mor	mor
mor	kuge
mor	kuga
fiala	fiala
arabsky	arapski
julian	julian
julian	juliana
julian	julijanski
estonsko	estonija
missouri	missouri
jedině	samo
přírodovědec	prirodnjak
obrat	preokret
doklady	dokumentima
doklady	dokumenata
doklady	dokumenti
doklady	dokumente
doklady	papire
césar	cezar
césar	césar
atlantis	atlantida
zásahy	intervencija
zásahy	intervencije
plošiny	platformi
viru	virus
sestavy	routines
mlýny	mills
ramat	ramat
podvozku	šasije
hamburku	hamburg
nejdéle	najduži
nejdéle	najduža
kantonů	kantona
kantonů	kantoni
profilu	profil
kanadská	kanadski
slam	slam
partner	partnera
partner	partner
etnicky	etnički
konkurenční	takmičarski
transformace	transformacija
transformace	transformacije
transformace	transformaciju
transformace	transformacije
jonas	jonas
profesionál	profesionalne
profesionál	profesionalna
profesionál	profesionalni
profesionál	professional
inspiroval	inspirisan
inspiroval	inspirisala
odpověděl	odgovorio
odpověděl	odgovorio
odpověděl	odgovorila
odpověděl	odgovorio
gilles	gilles
zpravodaj	bilten
zpravodaj	bulletin
přeložen	prebačen
přeložen	prebačena
sdělení	komunikacija
sdělení	komunikacija
pruh	lane
piloti	piloti
piloti	pilota
oldfield	oldfield
důlní	rudarstvo
