irmandade	veljeskunta
confesión	tunnustuksen
estanse	ovat
estanse	ovatko
loitan	taistelut
loitan	taistella
loitan	taistelevat
loitan	ovat
loitan	ovatko
loitan	taistella
loitan	taistele
loitan	ottelu
loitan	taistelu
medicinas	lääkettä
medicinas	lääketiede
medicinas	lääkkeet
medicinas	lääke
perden	hävitä
perden	häviä
perden	menettää
perden	häviää
culturas	kulttuurit
culturas	kulttuurien
interpretación	tulkinta
interpretación	tulkintaa
escoitan	kuunnella
escoitan	kuuntelee
escoitan	kuuntelemassa
dinámica	dynaamisia
dinámica	dynaamiset
dinámica	dynaaminen
dinámica	dynaamista
dinámica	dynamiikka
dinámica	dynamiikkaa
populares	suosittu
populares	suosittua
populares	suosittuja
populares	suositut
aumenta	will
aumenta	tahto
aumenta	lisäys
aumenta	lisätä
aumenta	kasvu
aumenta	korotus
sida	aids
sida	tuet
sida	aidsin
similar	samanlaisia
similar	samankaltaiset
similar	samankaltaista
similar	samanlaiset
similar	samanlainen
similar	samankaltainen
espectadores	katsojat
espectadores	katsojia
decateime	tajusi
saibas	tietää
saibas	tiedä
saibas	sinä
garantía	vakuus
garantía	takuun
garantía	takuu
garantía	takaus
garantía	taata
ken	ken
bambú	bamboo
falsos	väärä
falsos	väärät
sexades	sinä
pensaban	luulin
pensaban	ajatus
pensaban	luuli
pensaban	ne
pensaban	he
pódense	voi
coñecida	tiedossa
coñecida	tunnetaan
coñecida	tunnetut
coñecida	tunnettu
emocionante	jännää
emocionante	jännittävää
emocionante	jännä
emocionante	jännittävä
emocionante	jännittävää
emocionante	jännittävä
xulgado	oikeus
xulgado	tuomioistuin
extensión	laajentaminen
extensión	pidentäminen
extensión	laajennus
extensión	laajentamisesta
expansión	laajentuminen
expansión	laajentaminen
expansión	laajeneminen
expansión	laajennus
azar	sattuma
azar	chance
azar	mahdollisuus
necesitan	tarve
necesitan	tarvitaan
necesitan	tarpeen
necesitan	tarvita
necesitan	tarvetta
necesitan	ne
necesitan	he
senon	mutta
organizacións	organisaatiot
organizacións	järjestöt
organizacións	yhdistykset
organizacións	organisaatioita
organizacións	järjestöjen
individual	yksittäiset
individual	yksilö
individual	yksittäisten
individual	yksilöllinen
individual	yksittäinen
web	sivuston
web	sivusto
web	verkkosivusto
web	web
novamente	uudestaan
novamente	uudelleen
novamente	taas
novamente	jälleen
intres	hetket
intres	hetkiä
específico	erityiset
específico	erityinen
específico	erityisiä
específico	erityistä
ordenadores	tietokoneita
ordenadores	tietokoneet
ordenadores	tietokoneet
ordenadores	tietokone
ordenadores	tietokoneen
estatísticas	tilastotietoja
estatísticas	tilastotiedot
estatísticas	tilastot
estatísticas	tilastojen
estatísticas	tilastoja
fiel	uskollinen
fiel	uskolliset
capturado	vangittu
trece	kolmetoista
trece	thirteen
características	piirteet
características	ominaisuuksia
características	ominaisuudet
características	piirteet
características	ominaispiirteet
características	ominaisuudet
residencia	kotipaikka
residencia	residence
residencia	asuinpaikka
residencia	oleskelu
paran	lopeta
paran	ne
paran	he
pensara	ajattele
pensara	mieti
pensara	luulin
pensara	ajatus
pensara	luuli
calefacción	lämpöä
calefacción	kuumuus
calefacción	lämpö
calefacción	helle
calefacción	lämmitys
respondeu	vastattu
respondeu	vastasi
décadas	vuosikymmeniä
décadas	vuosikymmenten
décadas	vuosikymmenien
décadas	vuosikymmen
enfermos	sairasta
enfermos	sairas
enfermos	sairaat
compartimos	jakaa
compartimos	osuus
compartimos	jaa
compartimos	jakanut
compartimos	jakoi
compartimos	jaettu
compartimos	jaetut
redución	vähennys
redución	vähentäminen
redución	pienentäminen
redución	väheneminen
arder	polttaminen
arder	palava
arder	poltetaan
arder	polttaa
arder	palaa
arder	polta
arder	pala
arder	poltetaan
arder	polttaa
volcán	tulivuori
kg	kiloa
oriental	itä
oriental	itäinen
oriental	itämainen
violín	viulu
violín	viulua
sufriu	kärsi
sufriu	kärsineet
sufriu	kärsinyt
roubei	varasti
roubei	varastivat
usado	käytetyt
usado	käytetty
usado	käytettyjä
explorar	tutkia
explorar	tutustu
explorar	tutki
explorar	tutkimassa
explorar	tutustuminen
xeralmente	yleisesti
xeralmente	yleensä
teléfonos	puhelimet
teléfonos	puhelimia
estruturas	rakenteita
estruturas	rakenteet
estruturas	rakenteiden
fusión	fuusio
fusión	fuusion
suma	summaa
suma	summa
mentais	henkinen
mentais	henkistä
mentais	psyykkinen
tanque	säiliö
tanque	tank
tanque	tankki
eventos	tapahtumat
eventos	tapahtumien
eventos	tapahtumia
america	america
america	amerikan
america	amerikka
axenda	agenda
bancos	pankit
bancos	pankkien
pensaron	luulin
pensaron	ajatus
pensaron	luuli
pensaron	ne
pensaron	he
instrucións	ohjeet
instrucións	ohjeita
chamábase	hänen
chamábase	nimi
chamábase	nimeä
chamábase	oli
chamábase	oliko
chamábase	kutsuttu
chamábase	nimeltään
chamábase	soitti
pluma	kynän
pluma	kynä
pluma	sulka
murray	murray
espido	alastomana
espido	alasti
espido	alaston
técnicos	teknikot
técnicos	tekninen
verbas	sanoja
verbas	sanat
deixalos	poistu
deixalos	lähde
deixalos	jätä
vanme	ne
vanme	he
conclusión	tuo
conclusión	että
conclusión	päätelmät
conclusión	päätelmä
conclusión	johtopäätös
orgullosos	ylpeitä
orgullosos	ylpeänä
orgullosos	ylpeä
converterse	ryhdy
chegarán	will
chegarán	tahto
chegarán	ne
chegarán	he
escoitou	kuultu
escoitou	kuullut
escoitou	kuulin
escoitou	kuuli
músculos	lihaksia
músculos	lihakset
músculos	lihasten
demostración	osoittaminen
demostración	mielenosoitus
computador	tietokoneet
computador	tietokone
computador	tietokoneen
xogadores	pelaajat
xogadores	pelaajia
xogadores	toimijoiden
xogadores	pelaajien
xogadores	pelaajia
xogadores	pelaajat
gañando	voittaa
gañando	voitto
gañando	voitolla
gañando	voittaminen
quedaron	ne
quedaron	he
preguntando	kysyy
supostamente	oletettavasti
facelos	make
facelos	tee
facelos	tehdä
violación	raiskaus
violación	rikkomisen
violación	rikkomus
violación	rikkomuksen
violación	rikkominen
violación	rikkoo
escribiume	kirjoitti
escribiume	kirjoitin
gustoume	tykkää
gustoume	kuten
gustoume	kuin
gustoume	piti
gustoume	tykännyt
gustoume	pidetty
xefa	head
xefa	pää
xefa	päätä
xefa	pään
vestida	pukeutunut
neveira	jääkaappi
neveira	jääkaapin
potente	voimakasta
potente	voimakkaita
potente	voimakas
hanoi	hanoi
islam	islamin
islam	islam
profeta	profeetta
chámanlle	kutsu
chámanlle	soita
chámanlle	puhelu
cas	mukaan
cas	mukana
cas	with
cas	kanssa
perigosa	vaarallista
perigosa	vaarallinen
perigosa	vaaralliset
categoría	kategoria
categoría	luokan
categoría	luokka
estatal	osavaltio
estatal	valtion
estatal	valtio
amargo	katkera
equivocado	väärä
equivocado	väärin
equivocado	vikaa
representante	asiamies
representante	proxy
representante	edustava
representante	edustaja
levárono	otti
levárono	vei
levárono	hänet
levárono	ne
levárono	he
xogamos	pelattu
xogamos	soitettu
xogamos	pelasi
xogamos	pelannut
xogamos	soita
xogamos	pelata
xogamos	pelaa
xogamos	play
feitas	tehdyt
feitas	tehty
feitas	valmistettu
feitas	made
renunciar	antamassa
renunciar	antaminen
logro	saavutus
logro	saavuttaminen
estranxeira	ulkomaan
estranxeira	ulkomaalainen
estranxeira	ulkomainen
estranxeira	ulkomaiset
estranxeira	ulkomaalainen
favorita	suosikki
favorita	lempi
seguranza	urakoitsija
subtítulos	tekstitys
subtítulos	tekstitykset
ciclo	kierto
ciclo	syklin
dirán	ne
dirán	he
dirán	sano
viaxa	matkustaa
viaxa	matkustaminen
viaxa	matkat
viaxa	matkailu
viaxa	matka
néboa	sumun
néboa	sumu
néboa	sumua
ducia	tusina
ducia	tusinaa
localización	sijainti
levado	vietiin
levado	ottaa
levado	viety
levado	otettu
cidadás	kansalaisten
cidadás	kansalaisia
cidadás	kansalaiset
satisfacer	tyydytä
satisfacer	tyydyttää
parker	parker
pioneiros	edelläkävijöitä
esperan	toivoa
esperan	toivo
esperan	toivottavasti
esperan	odottaen
esperan	odottaa
esperan	odottaminen
esperan	odotetaan
esperan	odottamassa
taza	kuppi
taza	kuppia
taza	muki
taza	cupin
taza	cup
lémbrome	muista
lémbrome	muistakaa
metais	metallit
lixeiro	kevyt
lixeiro	valoa
lixeiro	valo
lixeiro	light
manchester	manchester
raíces	juuria
raíces	juuret
evidentemente	ilmiselvästi
evidentemente	selvästi
evidentemente	ilmeisesti
tina	tinaa
tina	tina
prometín	luvattu
prometín	lupasivat
prometín	luvannut
prometín	lupasi
condena	aika
condena	ajan
condena	aikaa
defunto	myöhäinen
defunto	myöhässä
defunto	myöhään
defunto	kuolleet
defunto	kuollut
fuga	raajan
fantasma	vaunut
fantasma	vaunu
fantasma	ghost
fantasma	haamu
fantasma	kummitus
fantasma	aave
regrese	takaisin
regrese	selkä
regrese	taaksepäin
escapou	pois
escapou	alkaen
escapou	from
escapou	pakeni
escapou	paennut
escapou	karannut
escapou	karkasi
tumbas	hautoja
tumbas	graves
amada	rakasti
amada	rakastanut
amada	rakastettu
cooperativas	osuuskunta
cooperativas	osuuskuntien
jenny	jenny
jenny	jenni
colgar	hirteen
óesme	sinä
óesme	kuulla
óesme	kuule
internado	sairaala
internado	sairaalassa
molesto	järkyttynyt
pensado	luulin
pensado	ajatus
pensado	luuli
sabas	lakanat
sermón	saarna
barriga	vatsa
barriga	maha
refires	ilkeä
refires	tarkoita
gustaríalle	tykkää
gustaríalle	kuten
gustaríalle	kuin
gustaríalle	olisi
parado	seistä
parado	stand
parado	seiso
mátote	tapa
mátote	tappaa
mátote	tappakaa
mátote	sinä
esperas	sinä
esperas	odottaen
esperas	odottaa
esperas	odottaminen
esperas	odotetaan
esperas	odottamassa
caín	putosi
caín	kaatui
escravo	orja
escravo	orjan
socorro	apua
socorro	ohje
mandou	lähetetty
mandou	lähetetyt
mandou	lähetti
joseph	joosef
joseph	joseph
seda	silkkiä
secreta	salaisuuden
secreta	salaista
secreta	salainen
secreta	salaisuus
xusta	vain
vido	tuli
vido	tulis
ombreiro	olkapää
dispararon	laukaus
dispararon	ammuttu
dispararon	ampui
dispararon	ne
dispararon	he
potencia	teho
potencia	power
potencia	voima
potencia	voimia
potencia	valta
potencia	valtaa
terlle	hänet
prometo	lupaus
prometo	lupaa
prometo	luvata
planos	suunnitelmia
planos	suunnitelmien
planos	suunnitelmat
polis	poliisit
polis	poliiseja
seguirá	will
seguirá	tahto
seguirá	vielä
seguirá	vieläkin
seguirá	edelleen
seguirá	yhä
vervos	nää
vervos	katso
vervos	sinä
sóltame	hanki
sóltame	saada
sóltame	saa
sóltame	hae
ataques	iskujen
ataques	hyökkäykset
ataques	iskut
celosa	kateellisia
celosa	kateellinen
celosa	mustasukkainen
estabades	olivat
estabades	olivatko
estabades	sinä
interesada	kiinnostuneita
interesada	kiinnostunut
interesada	kiinnostaa
interesada	kiinnostuneet
escoitaches	sinä
escoitaches	kuulla
escoitaches	kuule
escoitaches	kuultu
escoitaches	kuullut
escoitaches	kuulin
escoitaches	kuuli
fálame	noin
fálame	kerro
vendas	myy
vendas	myyminen
vendas	myydä
vendas	myydään
vendas	myynnin
vendas	myynti
vendas	myyntiä
parezo	katso
vinnie	vinnie
permíteme	touko
permíteme	toukokuu
permíteme	voi
permíteme	toukokuun
permíteme	toukokuuta
pague	maksa
pague	palkka
pague	maksaa
pague	maksettava
colar	kaulakorun
colar	kaulakoru
levarte	sinä
levarte	ottaa
levarte	ota
levarte	otetaan
sacaches	hanki
sacaches	saada
sacaches	saa
sacaches	hae
sacaches	teki
sacaches	sinä
xudea	edessä
xudea	edestä
xudea	rintama
xudea	etu
lima	lima
rezo	rukoile
rezo	rukoilla
refíreste	sinä
refíreste	ilkeä
refíreste	tarkoita
soñando	unta
soñando	haaveilla
adoro	rakasta
adoro	rakkautta
adoro	rakastaa
adoro	love
adoro	rakkaus
dillo	kerro
dillo	hänet
trent	trent
jean	jean
saigón	saigon
ámoa	rakasta
ámoa	rakkautta
ámoa	rakastaa
ámoa	love
ámoa	rakkaus
ámoa	hänen
dakar	dakarissa
dylan	dylan
xastre	räätäli
enxergar	ymmärrä
enxergar	ymmärtää
quizabes	vois
quizabes	voisi
boulevard	boulevard
autoestrada	moottoritie
clermont	clermont
crucifixión	ristiinnaulitseminen
geneviève	geneviève
serventa	piika
serventa	sisäkkö
serventa	sisäkkö
melinda	melinda
clotilde	clotilde
père	pere
imperfecto	epätäydellinen
flipper	flipper
refuxiados	pakolaisten
refuxiados	pakolaisten
refuxiados	pakolaisille
refuxiados	pakolaisia
refuxiados	pakolaiset
viñan	tuli
viñan	tulis
viñan	ne
viñan	he
levei	otti
levei	vei
cambian	vaihda
cambian	muuta
cambian	muutos
cambian	muuttaa
honestidade	rehellisyys
honestidade	rehellisyyttä
granxas	maatilojen
mozart	mozart
dados	noppaa
mestra	opettaja
mestra	mestariteos
occidental	western
occidental	läntinen
occidental	länsi
occidental	west
occidental	lännessä
occidental	läntinen
occidental	länsi
representar	edustaa
representar	edusta
representar	edustavat
actuación	suorituskyvyn
actuación	tehokkuus
actuación	esitys
actuación	suoritus
actuación	suorituskykyä
actuación	suorituskyky
impresionante	vaikuttava
impresionante	vaikuttavia
impresionante	vaikuttavaa
encaixa	into
encaixa	sopii
encaixa	mahtuu
tomaba	otti
tomaba	vei
king	king
king	kuningas
king	kunkku
andy	andy
archie	archie
fantasía	fantasia
xulgar	judge
xulgar	tuomari
xulgar	tuomarina
vicepresidente	puhemies
vicepresidente	presidentti
vicepresidente	puheenjohtaja
fase	vaihe
fase	näyttämö
fase	vaiheessa
fase	lava
fase	vaihe
veredes	nää
veredes	katso
veredes	sinä
deixala	hänen
deixala	sinä
extraordinario	poikkeuksellisia
extraordinario	poikkeuksellinen
anderson	andersonin
anderson	anderson
contesta	vastaa
contesta	vastaus
contesta	vastata
pagas	maksa
pagas	palkka
pagas	maksaa
pagas	maksettava
pagas	sinä
preguntoume	ja
preguntoume	pyydetty
preguntoume	kysyttiin
preguntoume	pyysi
preguntoume	kysyi
preguntoume	kysytty
impedir	lopeta
impedir	säilytä
impedir	pidä
congreso	kongressi
congreso	kongressin
congreso	kongressiin
recibiron	vastaanotettu
recibiron	saadut
recibiron	saanut
recibiron	saatu
collen	ottaa
collen	ota
collen	otetaan
béisbol	baseballia
béisbol	baseballin
béisbol	baseball
medrei	kasvoi
medrei	kasvanut
electrónico	sähköiset
electrónico	sähköisen
electrónico	sähköinen
electrónico	elektroninen
electrónico	elektroniset
reto	haaste
reto	haastaa
reto	haasteet
postura	ryhti
postura	asema
postura	kannan
postura	asento
postura	kanta
postura	sijainti
interacción	yhteisvaikutus
interacción	vuorovaikutusta
interacción	yhteisvaikutuksia
interacción	vuorovaikutus
interacción	yhteisvaikutukset
relacionado	liittyvä
relacionado	liittyvät
relacionado	liittyy
tocas	sinä
despedida	hyvästi
convencer	vakuuta
convencer	vakuuttaa
ego	ego
prioridades	painopisteet
largo	hanki
largo	saada
largo	saa
largo	hae
largo	ulos
experto	asiantuntijaa
experto	asiantuntija
experto	asiantuntijan
referencia	viittaus
referencia	viite
tiveses	sinä
tiveses	oli
preocupar	noin
preocupar	huoli
necesitaba	tarvita
necesitaba	tarvittiin
necesitaba	tarvitaan
necesitaba	tarvittu
gafas	laseja
gafas	silmälasit
gafas	lasit
secundarios	puoli
secundarios	puolella
secundarios	side
secreto	salaisuuden
secreto	salaista
secreto	salainen
secreto	salaisuus
verdadeiros	real
verdadeiros	todellinen
verdadeiros	oikea
verdadeiros	aito
verdadeiros	todellista
verdadeiros	true
verdadeiros	totta
similares	samanlaisia
similares	samankaltaiset
similares	samankaltaista
similares	samanlaiset
similares	samanlainen
similares	samankaltainen
desafío	haaste
desafío	haastaa
desafío	haasteet
desafío	defiance
capturar	talteenotto
capturar	vangita
profundidade	syvyys
profundidade	syvyyteen
profundidade	syvälle
profundidade	syvällä
profundidade	syvä
profundidade	syvät
profundidade	deep
capas	kerroksia
capas	kultaa
capas	kulta
capas	kullan
utiliza	käyttää
utiliza	käyttö
utiliza	käytä
utiliza	käytettävä
orientais	itä
orientais	itäinen
nalgures	jonnekin
nalgures	jossain
nalgures	jossakin
maquinaria	koneet
maquinaria	koneisto
maquinaria	koneiden
maquinaria	laite
maquinaria	koneen
maquinaria	kone
renda	vuokra
renda	vuokrataan
renda	vuokraa
renda	vuokraus
renda	tuotot
renda	tulo
renda	tulot
admitir	myönnä
admitir	haluu
inxección	injektio
instrumento	välineen
instrumento	instrumentti
instrumento	instrumentin
instrumento	väline
diaños	helvetti
micrófono	mikrofonin
micrófono	mikrofoni
micrófono	mic
micrófono	mikki
micrófono	mikrofoni
cheguen	ne
cheguen	he
cheguen	hanki
cheguen	saada
cheguen	saa
cheguen	hae
placas	laatat
placas	lautaset
placas	lautasia
placas	levyt
placas	kilvet
habitacións	huoneita
habitacións	huoneet
habitacións	huonetta
habitacións	eläkkeet
actuais	tämänhetkinen
actuais	tämänhetkiset
actuais	nykyiset
actuais	nykyinen
construíu	rakensi
construíu	rakennettu
contrasinal	salasanan
contrasinal	salasana
dispositivos	laitteita
dispositivos	laitteiden
dispositivos	laitteet
mandela	mandela
mark	merkkaa
mark	merkitse
mark	merkki
mark	mark
porca	likaista
porca	likainen
porca	likaiset
entrevistas	haastattelut
entrevistas	haastatteluja
lendo	lukema
lendo	käsittelyssä
lendo	lukeminen
lendo	lukemista
sa	terveellistä
sa	terveet
sa	terveellinen
sa	terve
queixa	valitus
queixa	valitukset
queixa	kantelun
queixa	kantelu
verdades	totuuksia
tomen	ottaa
tomen	ota
tomen	otetaan
manifestación	osoittaminen
manifestación	mielenosoitus
ética	etiikkaa
ética	eettinen
cruzando	ylittää
cruzando	ylittäminen
cruzando	ylitys
opresión	sorron
opresión	sortoa
serra	sierra
argumento	argumentti
argumento	perustelu
xen	gene
xen	geeni
asilo	sairaanhoitaja
asilo	sairaanhoito
asilo	kotiin
asilo	kodin
asilo	kotona
asilo	koti
autor	tekijä
autor	kirjailija
autor	tekijän
autor	esittäjä
autor	kirjoittaja
ducha	suihku
ducha	suihkun
amabilidade	ystävällisyyttä
simon	simon
simon	simo
nucleares	ydinvoima
propiedades	omaisuutta
propiedades	kiinteistö
propiedades	ominaisuus
propiedades	omaisuus
propiedades	kiinteistöt
propiedades	tontti
propiedades	kiinteistöt
propiedades	ominaisuudet
henry	henrik
henry	henry
gañadores	voittajia
gañadores	voittajat
use	käyttää
use	käyttö
use	käytä
use	käytettävä
paramos	lopeta
aparecer	näytä
aparecer	show
buracos	reikiä
buracos	aukkoja
buracos	reiät
buracos	aukot
ensaio	oikeudenkäyntiä
ensaio	oikeudenkäynnin
ensaio	oikeudenkäynti
mercados	markkina
mercados	markkinoiden
mercados	markkinat
mercados	markkinoiden
mercados	markkinat
suecia	ruotsissa
suecia	ruotsi
pares	lopeta
dentista	hammaslääkäri
obtivo	sai
obtivo	sain
comín	söivät
comín	söi
reside	valheet
reside	valheita
reside	valehtelee
farían	olisi
farían	ne
farían	he
xerais	yleinen
xerais	yleiset
xerais	kenraali
xerais	yleistä
xerais	kenraalit
golpes	puhaltaa
golpes	iskuja
meniño	kulta
meniño	vauva
meniño	beibi
meniño	muru
meniño	poika
colleron	ne
colleron	he
debiamos	pitäisi
debiamos	pitäis
debiamos	pitäisikö
debiamos	oli
teredes	sinä
nazis	natsien
nazis	natsit
nazis	natseja
nazis	natsi
cazadores	metsästäjiä
cazadores	metsästäjät
cazadores	metsällä
cazadores	metsästämässä
cazadores	metsästystä
cazadores	metsästys
trataba	oli
trataba	oliko
musulmáns	muslimien
musulmáns	muslimeja
musulmáns	muslimit
barrios	alueilla
barrios	alueet
entendía	ymmärretty
entendía	ymmärrä
entendía	ymmärtää
bater	osui
bater	osu
bater	lyö
bater	osuma
bater	osuu
manteñen	säilytä
manteñen	pidä
manteñen	ne
manteñen	he
elemento	elementti
mecánico	mekaanisen
mecánico	mekaaninen
mecánico	mekaaniset
mecánico	mekaanikko
desaparición	katoamisesta
desaparición	katoaminen
piden	kysyä
piden	kysy
piden	pyydä
piden	varten
piden	ne
piden	he
durmimos	uni
durmimos	nuku
durmimos	nukkua
esquezo	unohtaa
esquezo	unohda
refire	ilkeä
refire	tarkoita
espacial	hubble
espacial	tila
espacial	avaruus
espacial	tilaa
espacial	space
estacións	kaudet
estacións	asemat
barra	baariin
barra	baarissa
barra	baari
barra	baarin
barra	kilon
barra	kilo
rabaño	parvi
rabaño	lauma
national	kansallinen
national	kansalliset
national	kansallisten
osos	karhuja
osos	karhut
diálogo	vuoropuhelu
diálogo	vuoropuhelua
diálogo	vuoropuhelun
personalidade	persoonallisuus
personalidade	luonne
personalidade	persoona
gertrude	gertrude
sinceramente	todella
sinceramente	oikeesti
perdidos	menettänyt
perdidos	kadonnut
perdidos	hukassa
perdidos	hävisi
perdidos	hävinnyt
perdidos	menetetty
hara	hara
bebendo	juomisen
bebendo	juoma
bebendo	juo
bebendo	juoda
bebendo	juominen
acusación	syytös
acusación	syyte
acusación	lataus
acusación	syyte
vivido	asunut
vivido	asui
vivido	elänyt
lanzamento	pudotus
lanzamento	pudota
recorda	muista
recorda	muistakaa
recorda	sinä
green	vihreä
green	vihreät
green	vihreää
clásico	klassisen
clásico	klassinen
clásico	klassista
clásico	klassinen
clásico	classic
clásico	klassista
clásico	klassikko
armado	aseellinen
armado	viritetty
armado	aseistettu
mobles	huonekalut
mobles	huonekaluja
mobles	kalusteet
negociar	neuvottelee
negociar	neuvotella
afastados	pois
afastados	alkaen
afastados	from
xestos	eleitä
disturbios	mellakoita
intelectual	henkisen
averiguar	ulos
averiguar	löydä
averiguar	etsi
averiguar	etsiä
averiguar	löytää
presencia	läsnäolon
presencia	läsnä
presencia	läsnäolo
teríamos	olisi
brando	pehmeää
brando	pehmeät
brando	pehmeä
sospeita	epäilys
sospeita	epäilykset
sospeita	epäilyt
sospeita	epäiltyjä
sospeita	epäillyt
sospeita	epäilee
mestura	sekoitus
mestura	sekoita
mestura	sekoitetaan
mestura	sekoittaminen
novidade	uudet
novidade	uusi
novidade	uutta
novidade	uusia
mañán	aamu
mañán	aamuna
mañán	aamun
mañán	huomenta
mañán	morning
mañán	huomenna
mañán	huominen
tua	sinun
tua	rakastava
sintes	tunne
sintes	tuntea
sintes	tuntuu
asentos	istuimet
asentos	paikat
fondos	varat
fondos	rahastot
fondos	varojen
soto	kellari
soto	kellarissa
soto	kellariin
soto	kellari
soto	kellarin
soto	kellariin
príncipes	prinssit
ocuparse	välitä
ocuparse	ottaa
ocuparse	ota
ocuparse	otetaan
eterna	ikuinen
eterna	ikuista
eterna	ikuisen
elixido	valittu
elixido	valitut
elixido	yks
elixido	yksi
elixido	yhden
elixido	one
fíxate	katso
socialismo	sosialismi
traio	tuoda
traio	tuo
créame	uskoa
créame	uskoo
créame	usko
georgie	georgie
dareille	antaa
dareille	annetaan
mantemento	huolto
mantemento	kunnossapito
mantemento	ylläpito
privilexios	oikeudet
privilexios	etuoikeuksia
sabíao	tiesi
sabíao	tiesivät
cansos	väsynyt
cansos	väsyttää
cansos	väsy
pases	aika
pases	ajan
pases	aikaa
botes	veneet
botes	veneitä
botes	laivat
tivésemos	oli
algodón	puuvillan
algodón	puuvilla
algodón	puuvillaa
tirado	valehtelee
tirado	valehtelu
pazo	palace
pazo	palatsi
pazo	huvila
pazo	villa
volvería	olisi
volvería	takaisin
volvería	selkä
volvería	taaksepäin
volvería	uudestaan
volvería	uudelleen
volvería	taas
volvería	jälleen
saes	sinä
saes	ulos
solitario	yksinäistä
solitario	yksinäiseksi
solitario	yksinäinen
aturo	voi
aturo	ottaa
aturo	ota
aturo	otetaan
aturo	seistä
aturo	stand
aturo	seiso
direiche	kerro
responsábeis	vastuullinen
responsábeis	vastuussa
responsábeis	vastuuntuntoinen
responsábeis	varten
desexaría	toivottaa
desexaría	toive
desexaría	kunpa
aparta	hanki
aparta	saada
aparta	saa
aparta	hae
municións	ammuksia
municións	ammukset
municións	ammuksia
municións	ammukset
escocés	viskiä
escocés	viski
quite	ottaa
quite	ota
quite	otetaan
louis	louis
louis	louisin
recordas	muista
recordas	muistakaa
miami	miami
miami	miamiin
miami	miamin
descansa	lepo
descansa	lepää
descansa	levätä
descansa	lepoa
pedido	tilata
pedido	tilaus
pedido	järjestys
pedido	tilaa
stratton	stratton
francesas	ranska
francesas	ranskan
francesas	ranskalaiset
francesas	ranskalaisia
francesas	ranskalainen
perdes	sinä
perdes	hävitä
perdes	häviä
perdes	menettää
perdes	häviää
falaron	ne
falaron	he
falaron	puhui
zeke	zeke
detente	lopeta
servirá	will
servirá	tahto
digno	arvoinen
amarelo	keltainen
amarelo	keltaisia
amarelo	keltaiset
wheeler	wheeler
fama	mainetta
fama	maine
fama	kuuluisuus
canibalismo	kannibalismia
duras	kova
duras	kovaa
duras	rankkaa
aceno	ele
estouche	sinä
della	della
trucos	temput
trucos	temppuja
trucos	likainen
alumnado	oppilaat
alumnado	oppilaiden
alumnado	oppilaita
alumnado	ovat
alumnado	ovatko
alumnado	opiskelijat
alumnado	opiskelijoille
alumnado	oppilaat
alumnado	oppilaita
alumnado	opiskelijoita
burgueses	porvari
vera	vera
tentativa	yritettiin
bárbaros	villit
entendín	ymmärretty
movédevos	siirrä
movédevos	siirry
stan	stan
stan	sinä
west	west
west	lännessä
west	läntinen
west	länsi
bild	bild
marines	merijalkaväki
marines	meren
marines	merijalkaväki
marines	sotilas
dickie	dickie
lucinda	lucinda
cóidate	ottaa
cóidate	ota
cóidate	otetaan
cóidate	välitä
cóidate	itsellesi
cóidate	itse
armenia	armenian
correde	suorita
correde	juokse
turista	turistit
turista	matkailu
turista	turisti
mann	mannin
