williamsi	williams
vastupidine	opostos
vastupidine	oposto
bois	bois
kilp	escudo
kilp	shield
miami	miami
sidemeid	ligaduras
tähelepanuväärne	notável
tähelepanuväärne	notáveis
abu	abu
olof	olof
magic	mágica
magic	mágico
magic	magic
magic	mágicas
magic	magia
vali	escolhe
vali	escolha
vali	escolher
vali	selecionar
vali	seleciona
vali	seleccionar
vali	selecione
hubble	hubble
osalus	participativo
osalus	participativa
osalus	participação
modifitseeritud	modificada
modifitseeritud	alterado
modifitseeritud	modificados
modifitseeritud	modificado
gregorio	gregorio
glasgow	glasgow
patricia	patrícia
patricia	patricia
quercus	quercus
vahemaa	distância
vahemaa	distâncias
vahemaa	distancia
karm	áspero
karm	bruto
karm	duro
karm	durão
karm	difícil
karm	dura
seimi	sejm
kauplus	loja
koore	casca
marja	baga
marja	bagas
marja	berry
sektsioon	seção
sektsioon	secção
huvid	interesses
huvid	juros
huvid	interesse
mõõk	sword
mõõk	espada
naan	naan
ensüüm	enzimas
ensüüm	enzima
retseptorid	receptor
retseptorid	receptores
ülemineku	transição
föderatsioon	federação
pronks	bronze
laager	acampamento
laager	camp
laager	campo
saatja	transmissor
saatja	remetente
price	preço
price	preços
price	price
sõltuv	dependentes
sõltuv	dependente
tunnistab	reconhece
tunnistab	admite
tunnistab	reconhece
index	index
index	indice
index	índices
index	índice
tarbija	consumidores
tarbija	consumidor
kolmkümmend	trinta
kolmkümmend	thirty
mündid	moedas
vastutus	passivo
vastutus	responsabilidade
vastutus	responsabilidades
vastutus	responsabilidade
apostel	apóstolo
apostel	mensageiro
arusaadav	percebido
arusaadav	entendido
arusaadav	entendi
arusaadav	entendeu
arusaadav	compreendido
arusaadav	compreendeu
arusaadav	compreensíveis
arusaadav	compreensível
lõpmatu	infinitos
lõpmatu	infinito
lõpmatu	infinita
lõpmatu	infinitas
struve	struve
osatähtsus	intensidade
osatähtsus	intensidades
dean	dean
dean	reitor
dean	decano
dean	reitora
seisukohad	vistas
seisukohad	visualizações
britid	bretões
sakslane	alemã
sakslane	alemães
sakslane	alemão
sergio	sergio
sergio	sérgio
liikuva	móvel
liikuva	telemóvel
liikuva	celular
liikuva	móveis
põõsas	mato
põõsas	bush
põõsas	arbusto
põõsas	arbusto
mozart	mozart
puudel	poodle
presley	presley
mehitatud	tripulado
mehitatud	tripulados
mehitatud	tripulada
raad	raad
vaidlused	diferendos
vaidlused	litígios
vaidlused	disputas
lugemine	lidos
lugemine	ler
lugemine	leia
lugemine	lê
lugemine	ler
lugemine	lendo
lugemine	leitura
vertikaalselt	verticalmente
henning	henning
parimat	melhor
parimat	melhores
parimat	best
marin	marin
marin	marín
alonso	alonso
peidetud	ocultado
peidetud	oculta
peidetud	escondidos
peidetud	oculto
peidetud	escondido
dünaamika	dinâmicas
dünaamika	dinâmica
dünaamika	dinâmico
dünaamika	dinâmicos
dünaamika	dinâmicas
dünaamika	dynamic
dünaamika	dinâmica
domeeni	domínio
domeeni	dominio
muhammad	muhammad
muhammad	maomé
edukad	sucesso
tutvustab	introduz
kinnine	fechou
kinnine	fechado
kinnine	fechada
kinnine	fechados
federico	frederico
federico	federico
lászló	lászló
kirjuta	escreve
kirjuta	escreva
kirjuta	escrever
tüüringi	turíngia
täpsus	pontualidade
täpsus	precisão
täpsus	exactidão
täpsus	rigor
täpsus	precisão
täpsus	exatidão
kombinatsioon	combinação
christie	christie
üliõpilane	aluno
üliõpilane	aluna
üliõpilane	estudante
üliõpilane	student
hapnikku	oxigénio
hapnikku	oxigênio
vöö	cinto
vöö	cinturão
vöö	correia
maalitud	pintado
maalitud	pintada
maalitud	pintadas
maalitud	pintados
maalitud	pintou
arizona	arizona
komi	komi
segatud	mista
segatud	misturados
segatud	misturado
segatud	misto
segatud	misturado
valley	valley
valley	vale
juhani	juhani
armin	armin
mars	marte
mars	mars
vennaskonna	fraternidade
väljuvad	cessante
kõrgused	heights
kõrgused	alturas
lõigatud	corta
lõigatud	cut
lõigatud	corte
lõigatud	cortar
põhjendatud	fundamentado
põhjendatud	fundamentados
põhjendatud	justificado
põhjendatud	justificadas
põhjendatud	justificados
põhjendatud	justificada
epitsenter	epicentro
samoa	samoa
samoa	samoa
seksuaalne	sexuais
seksuaalne	sexual
juurdepääs	acessar
juurdepääs	acessos
juurdepääs	acesso
juurdepääs	acessibilidade
igavene	eterna
igavene	eterno
igavene	eternas
igavene	eternos
ootamatu	inesperada
ootamatu	inesperados
ootamatu	inesperadas
ootamatu	inesperado
bayern	bayern
rääkides	falando
madu	cobra
madu	snake
madu	serpente
madu	serpente
tükk	pedaço
tükk	peça
tasakaal	saldo
tasakaal	balança
tasakaal	balanço
tasakaal	equilíbrio
tasakaal	equilíbrio
mateeria	matéria
ühised	comum
ühised	frequentes
ühised	common
ühised	frequente
olend	criatura
neutraalne	neutral
neutraalne	neutro
neutraalne	neutra
neutraalne	neutralidade
neutraalne	neutros
inspiratsiooni	inspiração
discovery	descobertas
discovery	descoberta
discovery	discovery
omavalitsused	municípios
petri	petri
sööt	feed
sööt	isco
sööt	isca
sööt	iscas
sööt	engodo
piero	piero
tüür	leme
liitrit	litros
liitrit	litro
liitrit	litros
mootorid	motores
mootorid	motors
mootorid	motores
läbipaistev	translúcido
läbipaistev	transparentes
läbipaistev	transparente
potentsiaali	potencialidades
potentsiaali	potencial
potentsiaali	potenciais
leslie	leslie
keiserlik	imperiais
keiserlik	imperial
lineaarne	linear
lineaarne	lineares
illustratsioonid	ilustrações
traadita	wireless
muda	lamas
muda	lama
mõõtmine	medir
mõõtmine	medindo
mõõtmine	medição
mõõtmine	medições
mõõtmine	medições
mõõtmine	mensuração
mõõtmine	medição
krull	krull
lõhna	cheiro
lõhna	cheirar
lõhna	cheira
lõhna	fragrância
lõhna	fragrâncias
õnnetus	acidente
suurused	tamanhos
kommunismi	comunismo
babüloonia	babilônica
babüloonia	babilônia
semper	semper
tragöödia	tragédia
tragöödia	tragédias
meeli	sentidos
eeldused	pressupostos
eeldused	hipóteses
eeldused	suposições
václav	václav
valdkond	domínio
valdkond	dominio
valdkond	area
valdkond	área
konkurentsi	concurso
konkurentsi	competição
konkurentsi	concorrência
vulgaris	vulgaris
vicente	vicente
liu	liu
johansson	johansson
jälgib	monitores
jälgib	monitora
marge	marge
stein	stein
pen	pen
pen	caneta
pen	canetas
arendab	desenvolve
ungarlased	húngaros
germain	germain
kommentaar	comentem
kommentaar	comente
kommentaar	comentar
kommentaar	comenta
kommentaar	comentário
sean	sean
shanghai	shanghai
shanghai	xangai
armastaja	amante
armastaja	lover
orange	orange
orange	laranja
sõnaraamat	dicionário
tuld	fire
tuld	fogueira
tuld	fogo
tuld	incêndio
viimasena	último
viimasena	últimas
viimasena	last
viimasena	últimos
viimasena	última
ilmaliku	secular
ilmaliku	seculares
edge	borda
edge	aresta
edge	edge
kiili	libélula
kiili	libelinha
individuaalne	indivíduo
individuaalne	individual
individuaalne	individuais
myspace	myspace
robot	robô
robot	robot
geneetiliselt	geneticamente
pilv	nuvens
pilv	nuvem
pilv	cloud
autosid	automóveis
autosid	carros
litsents	licença
litsents	licenças
litsents	licença
kristlus	cristianismo
kristlus	cristandade
java	java
opel	opel
esinemise	ocorrência
nero	nero
pakkumise	concurso
pakkumise	tender
pakkumise	terno
säilitab	conservas
säilitab	preserva
säilitab	conserva
säilitab	retém
säilitab	mantém
thorpe	thorpe
mir	mir
konsul	cônsul
rõõm	prazer
rõõm	joy
rõõm	alegria
rõõm	alegrias
olümpia	olympic
olümpia	olímpico
olümpia	olímpica
olümpia	olímpicos
dünaamiline	dinâmico
dünaamiline	dinâmicos
dünaamiline	dinâmicas
dünaamiline	dynamic
dünaamiline	dinâmica
owen	owen
järg	sequela
järg	sequência
järg	continuação
järg	sequencia
seen	fungo
seen	fungos
thor	thor
agentuuri	agencia
agentuuri	agência
sang	sang
sang	cantava
sang	cantou
sang	cantaram
terav	afiada
terav	sharp
terav	afiados
terav	afiado
foorum	fórum
foorum	foro
foorum	forum
luuletus	poema
luuletus	poesia
õpetab	ensina
väidetud	alegado
väidetud	reivindicado
väidetud	alegou
väidetud	reclamou
orto	orto
orto	ortopedia
traditsioonilised	tradicional
traditsioonilised	tradicionais
sõnumid	mensagens
timothy	timothy
timothy	timóteo
cat	gato
cat	gata
kajastab	reflete
kajastab	reflecte
kajastab	reflita
gnu	gnu
faktid	fatos
faktid	factos
täpsed	exato
täpsed	exatas
pete	pete
diameeter	diâmetro
gloria	glória
gloria	gloria
kursused	cursos
suomen	suomen
constantin	constantin
horisontaalselt	horizontalmente
suurenemine	aumente
suurenemine	aumentem
suurenemine	aumento
suurenemine	aumentar
suurenemine	aumenta
triinu	ella
vassiljev	vasiliev
léon	léon
strauss	strauss
institutsioonid	instituições
romantiline	romântico
romantiline	românticos
romantiline	românticas
romantiline	romântica
uhke	orgulhoso
uhke	orgulhosos
uhke	orgulho
uhke	orgulhosa
uhke	chique
kirjutades	digitando
kirjutades	digitação
haruldased	raros
haruldased	rara
haruldased	raras
haruldased	raro
vista	vista
kohvi	cafezinho
kohvi	café
marianne	mariana
marianne	marianne
tegija	criador
tegija	maker
jeemeni	iêmen
jeemeni	iémen
jeemeni	iemenita
omar	omar
pinnas	solo
pinnas	solos
kodakondsus	nacionalidade
kodakondsus	cidadania
ajavahemik	periodo
ajavahemik	período
giulio	giulio
standardid	normas
standardid	padrões
allveelaev	submarino
allveelaev	submarinos
albumid	álbuns
pühendunud	devoto
pühendunud	devotado
pühendunud	dedicado
pühendunud	dedicada
pühendunud	dedicados
pühendunud	dedicado
pühendunud	cometeu
pühendunud	empenhado
pühendunud	comprometida
pühendunud	comprometido
pühendunud	cometido
tselluloosi	celulose
liigitada	classificar
tasapisi	devagarinho
tasapisi	lentamente
tasapisi	devagar
romano	romano
resolutsioon	resolução
andrzej	andrzej
philadelphia	filadélfia
philadelphia	philadelphia
oulu	oulu
mürgine	tóxicos
mürgine	tóxico
mürgine	tóxica
mürgine	tóxicas
mürgine	venenosa
mürgine	venenoso
mürgine	venenosa
mürgine	venenosas
mürgine	venenosos
mürgine	venenoso
väärt	valendo
väärt	worth
tapmine	abate
tapmine	matança
tapmine	chacina
tapmine	massacre
tapmine	abate
tapmine	matança
tapmine	matando
tapmine	matar
esa	sce
esa	sec
esa	aee
esa	esa
read	filas
read	linhas
read	fileiras
read	linhas
michele	michele
korsika	corso
korsika	córsega
kaksteist	doze
kaksteist	twelve
histoloogia	histologia
ekspert	perito
ekspert	expert
ekspert	especialista
ökoloogiline	ecológica
ökoloogiline	ecológicas
ökoloogiline	ecológicos
ökoloogiline	ecologia
ökoloogiline	ecológico
sool	sal
jung	jung
müük	sales
müük	vendas
müük	venda
vähendamine	redução
vähendamine	diminuição
vähendamine	redução
vähendamine	redutores
vähendamine	reduzir
vähendamine	reduzindo
vähendamine	redutor
smithi	silva
smithi	smith
smart	esperta
smart	esperto
smart	smart
smart	inteligente
loobunud	renunciado
loobunud	renunciou
viljakas	fértil
viljakas	férteis
viljakas	prolífico
viljakas	frutífera
viljakas	frutuosa
hell	gentil
hell	meigo
kokkupõrge	impact
kokkupõrge	impacte
kokkupõrge	impacto
kokkupõrge	impactos
kokkupõrge	colisão
paber	paper
paber	papel
alasti	nus
alasti	pelada
alasti	nu
alasti	nuas
alasti	nua
alasti	nude
alasti	nuas
alasti	nua
alasti	nu
alasti	nus
sammas	colunas
sammas	coluna
sammas	pilares
sammas	pilar
maatriks	matrix
maatriks	matriz
neljandaks	quarta
parameeter	parâmetro
parameeter	parâmetros
žanr	género
žanr	gênero
stella	stella
oskuste	habilidade
oskuste	perícia
oskuste	habilidades
otsustanud	decidida
otsustanud	decididas
otsustanud	decidi
otsustanud	decidiu
otsustanud	decidido
sinised	blue
sinised	azul
sinised	azuis
schultz	schultz
lapselaps	neta
lapselaps	neto
lapselaps	neto
wales	gales
elbe	elba
kogemata	acidentalmente
hani	goose
hani	ganso
hani	hani
hani	han
rex	rex
territoriaalne	territorial
territoriaalne	territoriais
jeffersoni	jefferson
bengali	bengala
harrison	harrison
maia	maia
mehaanilise	mecanicamente
ümbritsev	circundante
chicagos	chicago
turba	turfa
hävitatud	destruídos
hävitatud	destruído
hävitatud	destruída
hävitatud	arrasaram
hävitatud	exterminados
karistuse	punição
karistuse	castigos
karistuse	punições
karistuse	castigo
liigitus	classificação
hävitamine	destruam
hävitamine	destrua
hävitamine	destrói
hävitamine	destruir
hävitamine	destruição
korrus	chão
korrus	pavimento
korrus	piso
korrus	andar
beach	praia
beach	praias
õiglane	justo
õiglane	íntegro
õiglane	justos
õiglane	justo
õiglane	fair
õiglane	feira
pööre	twist
pööre	torção
pööre	reviravolta
pööre	torcer
pööre	torce
pööre	vire
pööre	turn
pööre	vira
pööre	virar
sõitja	passageira
sõitja	passageiros
sõitja	passageiro
sõitja	ocupante
sõitja	ocupantes
astrofüüsik	astrofísico
astrofüüsik	astrofísica
kuru	passe
kuru	passar
kuru	passa
kuru	pass
kliendi	cliente
kliendi	clientes
kliendi	cliente
katoliiklased	católicos
pidulik	festiva
pidulik	festivo
võrreldav	comparável
võrreldav	comparáveis
phillips	philips
phillips	phillips
kaas	tampa
lennata	fly
lennata	voe
lennata	mosca
lennata	voar
lennata	voa
lõpetatud	completa
lõpetatud	completos
lõpetatud	complete
lõpetatud	completo
lõpetatud	completou
lõpetatud	concluída
lõpetatud	concluído
lõpetatud	concluídas
lõpetatud	concluídos
lõpetatud	terminei
lõpetatud	terminou
lõpetatud	acabado
lõpetatud	concluído
lõpetatud	terminado
lõpetatud	terminada
alumiiniumi	alumínio
yves	yves
ted	ted
kümmekond	dúzias
kümmekond	dúzia
abt	abade
möödub	passes
möödub	passa
tõlked	traduções
camille	camille
claus	claus
meeldis	amei
meeldis	amava
meeldis	amado
meeldis	amada
meeldis	amados
meeldis	amadas
meeldis	gostou
meeldis	curtido
meeldis	gostei
meeldis	gostava
liides	interface
liides	interfaces
toll	centímetro
toll	polegadas
toll	polegada
toll	portagens
toll	portagem
toll	costumes
toll	alfândegas
toll	aduaneira
toll	alfândega
tammeka	carvalho
tammeka	carvalhos
tammeka	oak
kaaslased	companheiras
kaaslased	companheiros
cook	cook
cook	cozinhar
cook	cozinheiro
stressi	stress
stressi	estresse
stressi	stresse
varad	activos
varad	ativos
amy	amy
kive	stones
kive	pedras
kive	rochedos
kive	pedras
kive	rochas
kive	rocks
zürichi	zurique
brüssel	bruxelas
kaltsiumi	cálcio
gonzález	gonzález
sigmund	sigmund
berni	berna
ahven	poleiro
ahven	percas
suurendatud	aumentado
suurendatud	aumentados
suurendatud	aumentou
suurendatud	aumentada
laienenud	dilatadas
laienenud	dilatação
laienenud	alargada
laienenud	ampliado
laienenud	ampliada
laienenud	alargado
töölised	trabalhadores
töölised	operários
töölised	trabalhadoras
flash	clarão
flash	flash
göteborgi	gotemburgo
projektid	projectos
projektid	projetos
june	june
june	junho
allāh	allāh
parasvöötme	temperado
parasvöötme	temperada
parasvöötme	temperadas
gérard	gérard
konsooli	consola
konsooli	consoles
konsooli	console
siena	siena
verner	verner
verona	verona
singapuri	singapura
singapuri	cingapura
kalm	kalm
rühmitus	agrupamento
käsitöö	artesanato
käsitöö	artesanal
käsitöö	artesanato
käsitöö	artesanais
käsitöö	artesanal
käsitöö	artesanato
religioosne	religiosos
religioosne	religiosa
religioosne	religioso
religioosne	religiosas
muljet	impressionar
vincenzo	vincenzo
ülekanne	transmissão
ülekanne	transfer
ülekanne	transferência
ülekanne	transferir
ülekanne	difusão
ülekanne	emissão
ülekanne	radiodifusão
ülekanne	transmissão
mõjud	efeitos
arvud	figuras
arvud	números
määr	taxa
määr	classifique
opositsioon	oposição
irene	irene
leidmine	encontrar
leidmine	encontrando
üheksas	nono
üheksas	nona
fourier	fourier
mošee	mesquita
benito	benito
valentina	valentina
mõistab	entende
mõistab	compreende
revolutsiooniline	revolucionária
revolutsiooniline	revolucionários
revolutsiooniline	revolucionárias
revolutsiooniline	revolucionário
astuuria	astúrias
mitmekesine	diverso
mitmekesine	diversa
mitmekesine	diversificado
joonia	jónico
tervishoid	saude
tervishoid	saúde
käimine	namoro
käimine	encontros
käimine	namorando
käimine	namorar
käimine	namora
bauer	bauer
pidulikult	solenemente
näita	mostra
näita	espetáculo
näita	mostrar
näita	show
budism	budismo
koguma	cobrar
koguma	recolher
koguma	coletar
laenatud	emprestado
laenatud	emprestada
tunnistama	reconhecer
magma	magma
raudteede	ferrovias
sektor	sector
sektor	setor
enterprise	empreendimento
enterprise	empresa
enterprise	enterprise
keskmised	mídia
keskmised	médio
keskmised	média
keskmised	meio
keskmised	médium
keskmised	médias
joone	line
joone	linha
sõnum	recado
sõnum	mensagem
tiigid	lagoas
beethoven	beethoven
arenema	evoluir
teadis	sabia
teadis	conhecia
teadis	sabiam
tipu	vértice
tipu	vértices
città	città
augusta	augusta
bio	bio
bio	biografia
biokeemia	bioquímica
nielsen	nielsen
fra	fra
jános	jános
hobused	cavalos
rongi	treinar
rongi	trem
rongi	comboio
rongi	comboios
rikkus	riquezas
rikkus	riqueza
rikkus	riquezas
rikkus	riqueza
rikkus	arruinada
rikkus	arruinou
rikkus	arruinados
rikkus	estragou
rikkus	arruinado
etendus	mostra
etendus	espetáculo
etendus	mostrar
etendus	show
marshalli	marshall
marshalli	marechal
kvalifikatsioon	qualificações
kvalifikatsioon	habilitações
kvalifikatsioon	qualificações
kvalifikatsioon	qualificação
koondatud	agregada
koondatud	agregado
koondatud	agregados
intensiivsus	intensidade
marss	marte
marss	mars
springer	springer
teave	informações
teave	informação
signaale	sinais
ridades	fileiras
kõrgele	alto
kõrgele	high
kõrgele	altos
kõrgele	altas
kõrgele	alta
dakota	dakota
dakota	dacota
rey	rey
dresdeni	dresden
katastroofi	catástrofe
katastroofi	desastres
katastroofi	desastre
muusikal	musical
muusikal	musicais
nigeri	níger
satelliit	satélite
satelliit	satellite
satelliit	satélites
rick	rick
poom	boom
poom	bum
astronaut	astronautas
astronaut	astronauta
unenägu	sonhar
unenägu	dream
unenägu	sonho
suundumused	tendências
herakles	hercules
herakles	hércules
herakles	hercule
aspekte	aspetos
aspekte	aspectos
vastastikku	mutuamente
vastastikku	reciprocamente
vastastikku	reciprocamente
lootes	esperando
mässulised	insurgentes
andersen	andersen
firmad	corporações
firmad	firmas
firmad	companhias
firmad	empresas
michelangelo	michelangelo
võti	chave
võti	tecla
võti	chaves
võti	key
kliiniline	clínico
kliiniline	clínicas
kliiniline	clínica
väljatöötamine	elaboração
väljatöötamine	desenvolver
väljatöötamine	desenvolvendo
välised	externas
välised	externo
välised	externos
välised	externa
välised	exteriores
välised	exterior
võõras	estranha
võõras	estranho
võõras	forasteiro
tuttav	familiar
tuttav	familiarizado
tuttav	familiaridade
tuttav	conhecido
tuttav	conhecidos
madalamad	lower
madalamad	inferior
baltimore	baltimore
päevik	jornal
päevik	diário
päevik	journal
päevik	diário
platvorm	plataforma
paradigma	paradigma
nähtavad	visíveis
nähtavad	visível
emilia	emilia
emilia	emília
metallica	metallica
pidu	partido
pidu	party
pidu	festa
meeleolu	disposição
meeleolu	humor
sata	sata
sidus	coerentes
sidus	coerente
alternatiiv	alternativo
alternatiiv	alternativas
alternatiiv	alternativa
alternatiiv	alternativo
alternatiiv	suplente
alternatiiv	alternar
hiv	vih
hiv	hiv
tarn	tarn
disainitud	concebidos
disainitud	projetado
disainitud	desenhado
disainitud	concebido
disainitud	projetada
geneetika	genética
gov	gov
adolph	adolph
täitnud	preenchidas
täitnud	cumprida
täitnud	cumprido
ingel	anjinho
ingel	ángel
ingel	anjo
ingel	angel
kohane	adequado
kohane	apropriada
kohane	adequados
kohane	apropriados
kohane	apropriado
enrico	enrico
vangistatud	aprisionado
vangistatud	capturado
vangistatud	capturaram
vangistatud	capturados
vangistatud	capturadas
vangistatud	capturada
vaatas	assisti
vaatas	assistido
vaatas	assistiu
vaatas	assistiram
rev	rev
rev	reverendo
akna	janela
maximus	máximo
maximus	maximus
meelega	deliberadamente
samsung	samsung
clemente	clemente
variandid	variantes
hüüdnime	apelido
hüüdnime	alcunha
pühak	santo
pühak	saint
pühak	santa
craig	craig
honda	honda
florence	florença
reporter	repórter
reporter	reporter
geoloogiline	geológico
geoloogiline	geológica
geoloogiline	geológicas
geoloogiline	geológico
geoloogiline	geológica
geoloogiline	geológicas
hampshire	hampshire
jutud	histórias
atmosfäär	atmosfera
lahinguid	batalhas
sissetulek	renda
sissetulek	rendimento
sissetulek	receitas
sissetulek	proveitos
sissetulek	rendimentos
ületanud	excedeu
ületanud	excedido
ületanud	ultrapassou
ületanud	ultrapassado
elena	helena
elena	elena
brand	brand
brand	marca
augustin	augustin
võrgus	online
hunter	caçador
hunter	caçadora
hunter	hunter
nõutud	solicitada
nõutud	solicitado
nõutud	pedida
nõutud	obrigatório
nõutud	necessária
nõutud	necessário
nõutud	exigido
nõutud	requerido
moodul	módulo
han	han
chapelle	chapelle
täide	piolhos
täide	piolho
mungad	monges
sauna	sauna
ameeriklane	americano
ameeriklane	americanos
ameeriklane	american
ameeriklane	americana
hinnad	preços
diktaator	ditador
meta	meta
lane	lane
armastatud	amada
armastatud	amado
armastatud	amados
eesistuja	presidente
ragnar	ragnar
canterbury	cantuária
canterbury	canterbury
kulu	custo
kulu	cost
kulu	custos
kulu	gastos
kulu	despesa
kulu	gasto
ettepanekuid	propostas
tagajärg	conseqüência
tagajärg	consequência
julge	arrojado
julge	negrito
julge	ousada
julge	ousado
julge	corajoso
julge	corajosa
julge	corajosos
julge	ousar
julge	ousadia
julge	ousada
julge	ousado
mune	ovos
mõjuvõimu	empoderamento
mõjuvõimu	habilitação
mõjuvõimu	capacitação
konkreetsete	específicas
konkreetsete	específicos
konkreetsete	específica
konkreetsete	especifico
konkreetsete	específico
olli	olli
voyager	voyager
jõulud	natal
jõulud	christmas
plus	plus
nõbu	primo
nõbu	prima
nõbu	primo
klaviatuuri	teclado
ökosüsteemi	ecossistema
ökosüsteemi	ecossistemas
aurora	aurora
kirgiisi	quirguistão
kirgiisi	quirguiz
stanislav	stanislav
spencer	spencer
kõneleja	orador
kõneleja	falante
kõneleja	oradora
kõneleja	palestrante
kõneleja	falador
kõneleja	locutor
terminoloogia	terminologia
nokk	bico
hirv	veados
hirv	veado
hirv	cervo
jefferson	jefferson
tunnel	túnel
tunnel	tunel
mahajäetud	abandonadas
mahajäetud	abandonou
mahajäetud	abandonada
mahajäetud	abandonado
mahajäetud	abandonados
kiired	raios
bagdadi	bagdade
bagdadi	bagdá
bagdadi	bagdad
leib	pães
leib	pão
lendavad	voando
lendavad	voar
lendavad	flying
isabel	isabel
edvard	edvard
secret	segredo
secret	secret
secret	secreto
secret	secreta
laagris	acampamento
laagris	camp
laagris	campo
snake	cobra
snake	snake
snake	serpente
avaldus	declaração
avaldus	afirmação
avaldus	extrato
väiksemaks	menor
kontor	estância
kontor	gabinete
kontor	escritório
oskus	habilidade
oskus	perícia
oskus	habilidades
emily	emily
aldo	aldo
väljendus	expressão
kattis	coberto
kattis	cobertas
kattis	cobertos
kattis	abrangidos
kattis	abrangido
kattis	coberta
kahur	canhões
kahur	cannon
kahur	canhão
esitus	apresentação
esitus	atuações
esitus	performances
esitus	desempenhos
esitus	actuações
paas	jejum
tervist	saude
tervist	saúde
toodang	produção
dante	dante
bordeaux	bordeaux
bordeaux	bordéus
nuku	boneca
nuku	bonequinha
nuku	boneco
nuku	doll
stsenaarium	cenário
õigustada	justificar
õigustada	justifique
kaar	arc
kaar	arco
kaar	arcos
kaar	arco
kaar	arc
kaar	arch
skp	pib
autod	automóveis
autod	carros
oranž	orange
oranž	laranja
ideaalne	perfeito
ideaalne	perfeitas
ideaalne	perfeitos
ideaalne	perfeita
ideaalne	perfect
ideaalne	ideal
ideaalne	ideais
leedulased	lituanos
ani	ani
serv	borda
serv	aresta
serv	edge
muster	padrão
castle	castelo
identiteet	identidade
zhang	zhang
geoffrey	godofredo
geoffrey	geoffrey
zhou	zhou
par	par
ainulaadne	únicos
ainulaadne	único
ainulaadne	única
ainulaadne	únicas
algataja	cedente
algataja	remetente
algataja	iniciador
algataja	instigador
sissetung	invasões
sissetung	invasão
sissetung	intrusão
sissetung	intromissão
avastamise	deteção
avastamise	detecção
altari	altar
magneesiumi	magnésio
mona	mona
grey	cinzenta
grey	cinzento
grey	cinza
grey	grey
grey	cinzentos
teresa	teresa
luca	luca
oskused	skills
oskused	habilidades
oskused	aptidões
oskused	competências
oskused	habilidade
oskused	perícia
oskused	habilidades
solomon	solomon
solomon	salomão
intervall	intervalo
oklahoma	oklahoma
leopard	leopardo
osaka	osaka
rikkumise	infrações
rikkumise	infracções
rikkumise	infração
rikkumise	infracção
kusagil	algures
vastused	respostas
vastused	respostas
vastused	respostas
tundeid	sensações
tundeid	sentimentos
hannah	hannah
trotski	trotsky
esitamine	apresentação
esitamine	envio
esitamine	finalização
esitamine	submissão
järjekord	fila
järjekord	ordem
järjekord	encomendar
järjekord	encomenda
geneetik	geneticista
motoriseeritud	motorizados
motoriseeritud	motorizado
franklini	franklin
karistus	penalidade
karistus	penalização
karistus	sanção
karistus	pena
karistus	punição
karistus	castigos
karistus	punições
karistus	castigo
montgomery	montgomery
eripära	especificidades
ilmnes	manifestou
ilmnes	manifestada
ilmnes	manifestado
ilmnes	manifestadas
kuulnud	ouviu
kuulnud	ouviram
kuulnud	ouvido
kuulnud	ouvi
aspekt	faceta
aspekt	aspecto
benedict	benedict
benedict	bento
filter	filtro
filter	filtrar
filter	filtros
lindi	fita
lindi	cassete
terje	terje
milton	milton
vinci	vinci
pol	pol
pan	panela
