매크로	makro
모욕	įžeidimas
웹스터	webster
말투	akcentas
계산하기	apskaičiuoti
간간	kepenys
펄프	minkštimas
펄프	plaušienos
펄프	plaušiena
홍보하기	skatinti
간호	slaugytojų
간호	slaugytoja
간호	slaugos
마비	paralyžius
튀김	kepti
갤러거	gallagher
매니아	manija
테이트	teit
근본주의	fundamentalizmo
티모르	timoras
헨리에타	henrietos
순찰	patruliuoja
순찰	patruliavimo
공격성	agresijos
공격성	agresija
제조업체	gamintojai
제조업체	gamintojas
바르가스	vargas
잔잔한	ramus
자넷	sudomino
레반트	levant
루아르	loire
하트퍼드	hartfordo
만성적인	lėtinis
만성적인	lėtinė
만성적인	lėtinio
상대편	oponentas
본머스	bournemouth
아르놀트	arnoldas
수신기	gavėjas
수신기	imtuvas
딕슨	dixon
명상	meditacija
명상	medituoti
폴라리스	polaris
생리	laikotarpius
생리	laikotarpiai
압바스	abbas
고전주의	klasikinio
고전주의	klasicizmas
타이밍	laikas
자석	magnetas
자석	magnetai
갈륨	galio
연금술	alchemija
이리나	irina
장어	ungurių
장어	unguriai
온난화	šildymo
파드	fahd
강습	pamokos
아스퍼거	aspergerio
카메론	cameron
터키인	turkai
보스토크	vostok
아수라	asura
시뮬레이터	simuliatoriai
낫다	pasveikti
클리닉	klinika
클리닉	klinikos
클리닉	klinikoje
조회수	variantų
클라우디우스	klaudijus
집단살해	genocidas
녹조류	dumblių
녹조류	dumbliai
타밀어	tamilų
재킷	švarkas
재킷	liemenės
재킷	striukės
재킷	švarkai
재킷	striukes
좌절	nusivylę
좌절	nusivylimas
좌절	nusivylimą
로리타	lolita
피쉬	žuvis
피쉬	žuvys
피쉬	žuvų
아몬드	migdolai
아몬드	migdolų
마일즈	myles
마일즈	km
콩코드	concorde
맨스필드	mansfield
오이디푸스	edipas
페르세폴리스	persepolis
멀티플레이어	multiplayer
크리크	upelio
노화	senėjimo
노화	senėjimas
노화	senėjimo
디저트	desertai
디저트	desertas
수사학	retorika
시연	demonstravimo
부엌	virtuves
팔라비	pahlavi
런닝	veikiančių
런닝	važiavimas
런닝	vykdyti
갱스터	gangsteris
갱스터	gangsta
이자벨	izabele
셸리	shelley
셸리	šeli
옵서버	stebėtojams
옵서버	stebėtojai
보조금	subsidija
보조금	subsidijas
보조금	subsidijų
보조금	subsidijos
보조금	stipendijos
보조금	dotacijos
꾸란	koranas
미네랄	mineralai
미네랄	mineralų
미네랄	mineralinių
미네랄	mineralinis
스페인인	ispanai
스페인인	ispanija
스페인인	ispanijos
플레밍	fleming
홍차	arbata
홍차	arbatos
빨라	greitas
빨라	greita
빨라	greiti
빨라	greitai
빨라	greit
강수	kritulių
쿠마	kuma
해치	liukas
키키	kiki
워터스	vandenyse
워터스	vandenis
워터스	vandenys
홀로그램	holograma
레거시	palikimas
러쉬	rush
칼뱅주의	kalvinizmas
비닐	vinilo
신랑	jaunikis
유로로	euras
유로로	euro
세관	muitinė
세관	muitinės
당나귀	asilai
당나귀	asilas
당나귀	asilai
농담	pokštas
농담	juokelių
다람쥐	voverė
다람쥐	voveres
호프먼	hoffmann
호프먼	hofmanas
운전사	vairuotojai
운전사	vairuotojų
운전사	vairuotojo
운전사	mašinistas
운전사	vairuotojas
예고편	priekabos
예고편	priekabų
예고편	priekaba
젤리	želė
곤살로	gonzalo
프라다	prada
루비듐	rubidis
살아남기	išgyventi
수확	derliaus
효율	veiksmingumas
안데르센	andersen
더미	manekenas
글로스터	glosteris
싱가폴	singapūre
싱가폴	singapūro
싱가폴	singapūras
항소	skundai
항소	apeliacijos
항소	skundas
동물학	gyvūnai
동물학	gyvuliai
동물학	gyvūnas
동물학	gyvūno
동물학	gyvūnų
복부	pilvą
복부	pilvo
복부	pilvas
늑대인간	vilkolakiai
늑대인간	vilkolakis
엄지	nykščiu
유니콘	unicorn
다윗	david
다윗	deividas
다윗	dovydas
유동성	likvidumą
유동성	likvidumas
파이프라인	vamzdynų
파이프라인	vamzdynas
티탄	titan
파열음	plyšimas
식민지화	kolonizacija
노스럽	northrop
나이오븀	niobio
카를로만	karlomanas
리빙스턴	livingston
리빙스턴	livingstone
바로가기	derinys
주사위	kauliukai
토루	toru
전보	telegrama
반역죄	išdavystę
루체른	liucernos
기생충	parazitų
팔리어	pali
지출	praleidžia
지출	praleido
지출	praleistas
지출	išleista
경상	kiongsango
비극적	tragiška
비극적	tragiškas
캐피털	sostinės
캐피털	kapitalas
캐피털	kapitalo
빙글빙글	verpimo
워크숍	seminaras
수수료	mokestis
수수료	mokestis
수수료	mokesčiai
삭감	gabalai
크롬웰	cromwell
나이스	gražiai
나이스	gražus
나이스	gražūs
나이스	gražu
페스트	maras
스테이크	kepsnys
헥타르	hektarų
고등어	skumbrės
스탠딩	nuolatinio
활기찬	energinga
트렌드	tendencija
양치기	aviganis
양치기	piemenys
국제화	internacionalizacijos
율리아	džiulija
율리아	julija
재고	aprašas
재고	aprašo
재고	atsargų
비대칭	asimetrija
본능	instinktas
본능	instinktai
퀘이커	kvazaras
허벅지	blauzdos
허벅지	šlaunies
테리어	terjeras
이마	kaktą
이마	kaktos
축적	kaupimasis
축적	kaupimosi
해리엇	harieta
담화	diskursas
무바라크	mubarak
일곱번째	septintasis
일곱번째	septintoji
고용주	darbdaviai
고용주	darbdavys
이트륨	itrio
가뭄	sausra
생명공학	biotechnologijos
주름	raukšlės
주름	raukšles
소고기	jautiena
소고기	jautienos
성형	kosmetikos
셀러	pardavėjai
척추동물	stuburinių
트라키아	trakijos
대두	sojų
브로커	brokeris
파손	vandalizmo
플라이스토세	pleistoceno
타이핑	taipingų
변위	poslinkio
도버	dover
건강하게	ekonomiką
의존성	priklausomybė
의존성	priklausomybės
의존성	priklausomybių
의존성	priklausomybės
올림피아드	olimpiada
브로츠와프	wrocław
비누	muilo
비누	muilas
약품	narkotikai
타이슨	tyson
툴라	tulos
잠재	latentinis
괴물이	pabaisa
괴물이	monstras
공격적	agresyvus
바르바리	berberinis
고메즈	gomez
고메즈	gómez
시코르스키	sikorsky
강력하다	galingas
강력하다	galinga
강력하다	galingi
안데르손	andersson
알렉시오스	aleksijus
왁스	vaškas
에스프레소	espresso
제곱수	aikštės
구체	konkrečių
개릿	garrett
베르트랑	bertrand
성취	pasiekimai
성취	pasiekimų
성취	pasiekimus
성취	laimėjimai
아멜리아	amelija
괴롭힘	patyčias
괴롭힘	priekabiavimas
염소자리	ožiaragis
염소자리	ožkų
염소자리	ožys
스카	ska
철자	rašybos
참새목	sperou
후회	gailestį
그립	gniaužtuose
베라크루스	verakrusas
라데온	radeon
수영복	maudymosi
불안정	nestabilumas
도레미	remis
방화벽	ugniasienė
운전자	vairuotojai
운전자	vairuotojų
아람	aram
페스티발	festivalius
이든	eden
함수형	funkcinė
함수형	funkcinis
함수형	funkcinių
플로라	floros
유비소프트	ubisoft
아이돌이	idol
아나스타샤	anastasija
관념	idealizmas
누리	nuri
카와사키	kawasaki
낙지	aštuonkojis
안젤리나	angelina
칸타타	cantata
스포팅	sporto
플로	srauto
플로	srautas
헤이스팅스	hastings
마이어스	meyers
좁다	siauros
좁다	siauras
좁다	siaura
세륨	cerio
쿨롱	kulonas
오번	kaštoniniai
음경	varpos
가전제품	prietaisai
능력자	gebėjimas
능력자	gebėjimą
정중히	mandagiai
심포지엄	simpoziumas
지혜로운	išmintinga
필터링	filtras
필터링	filtruoti
필터링	filtruojamas
필터링	filtravimo
필터링	filtruoti
슐츠	schulze
슐츠	schulz
라빈	lavigne
라빈	rabin
클로이	kloja
종합진흥국	subprefektūra
자존심	pasididžiavimas
과야킬	gvajakilio
라크로스	lakroso
굶어	badauti
부츠	įkrovos
부츠	batai
부츠	batus
반점	taškai
반점	erdvę
도팽	dauphin
진심	rimtai
버거	burger
재발	periodinio
카탈루냐어	katalonų
습도	drėgnumas
습도	drėgnis
습도	drėgmė
메시아	messiah
손톱	nagų
손톱	nagus
손톱	nagai
코르넬리우스	kornelijus
중개	tarpininkas
탐색기	explorer
차오	menam
별거	atskirtas
별거	atskirta
만다린	mandarinų
두분	du
카일리	kylie
오스본	osbourne
부엉이	pelėdikė
부엉이	pelėda
진동자	osciliatorius
넬리	nelly
넬리	nellie
셀룰러	ląstelių
모라비아	moravijos
덩크	dunk
생강	imbiero
레지스트리	registro
레지스트리	registras
라즈베리	aviečių
방문객	lankytojų
방문객	lankytojai
방문객	lankytojų
소녀들	mergaitės
소녀들	mergaites
소녀들	merginos
빈트후크	vindhukas
안락사	eutanazijos
카우나스	kauno
카우나스	kaunas
카우나스	kaune
텍스처	tekstūra
망막	tinklainės
나바호	navahų
안정적	stabilus
빌더	builder
와인스타인	weinstein
레슨	pamokos
레슨	pamoka
재닛	sudomino
낙서	graffiti
버트런드	bertrand
스턴	laivagalio
캐주얼	laisvai
캐슬린	karin
압박	slėgis
압박	slėgio
압박	spaudimu
압박	slėgis
마일리	km
저장하기	išsaugoti
캐딜락	cadillac
카셀	kassel
보름	kirmėlių
나일론	nailono
앤젤레스	miesta
대장장이	kalvis
지브리	ghibli
호러스	horacijus
포스트모더니즘	postmodernizmas
묻어	palaidoti
발데스	valdez
말라리아	maliarija
툴롱	tulono
샤워	dušo
로마노	romano
닉네임	slapyvardis
양심	sąžinės
메시나	mesina
글로리	šlovės
글로리	garbė
노리스	norisas
신시아	sintija
퀘이사	kvazaras
힐튼	hilton
달마티아	dalmatija
천사들	angelai
크리티컬	esminė
푸에블라	puebla
예보	prognozavimo
에밀리아	emilija
행운	pasisekė
갠지스	ganga
격리	atskirtis
격리	izoliacija
격리	izoliacijos
격리	karantinas
덜레스	dulles
안젤리크	andželika
루드비히	ludwig
스테퍼니	stefani
연필	pieštukas
연필	pieštukai
영리한	protinga
영리한	protingas
영리한	protingi
워크샵	seminaras
친근한	draugiška
친근한	draugiškai
친근한	draugiškas
친근한	draugišką
친근한	draugiški
문방구	raštinės
예금	indėlių
예금	indėlis
예금	indėliai
모랄레스	morales
올보르	aalborg
성숙	terminas
성숙	subrendęs
캡슐	kapsulė
캡슐	kapsulės
캡슐	kapsulių
캡슐	kapsulės
에미넴	eminem
바스켓	krepšelį
바스켓	krepšys
에머슨	emerson
성공적	sėkmingai
성공적	sėkmingai
성공적	sėkmė
성공적	sėkmės
봉사활동	savanoriškos
금발	blondinė
금발	blonde
금발	blondinė
앵글	kampas
앵글	kampai
상환	grąžinimo
불태웠다	sudegino
쓸모없는	bevertis
쓸모없는	beprasmiška
레네	rené
반역	išdavystę
카르티에	cartier
금연	rūkymas
금연	rūkymo
물린	kanda
전시장	salonas
질질	makšties
배스	žemi
오딘	odinas
샤프트	veleno
드리프트	drift
설명서	dokumentacija
설명서	dokumentai
설명서	įrodymai
설명서	dokumentacijos
설명서	dokumentus
설명서	rankinis
싱클레어	sinclair
브로디	brody
루시아	liucija
살레	salih
컨설턴트	konsultantas
컨설턴트	konsultavimo
녹아웃	nokautas
알류샨	aleutų
겁쟁이	bailys
겁쟁이	boba
백스트리트	backstreet
절망	neviltį
압축기	kompresorius
폭풍우	audros
폭풍우	audra
설득력	įtikinamas
설득력	įtikinama
소망	norai
마르셀로	marcelo
시럽	sirupas
갑상선	skydliaukės
에스테반	esteban
증폭	amp
불가리아어	bulgarų
앤트워프	antverpene
트레일	pėdsakai
엑소시스트	egzorcistas
힐링	gijimo
책임감	atsakomybė
습득	įsigijo
습득	įsigijimų
습득	įsigijimo
습득	įsigijimas
습득	įgijimas
세이퍼트	seiferto
앨버커키	albuquerque
질레트	gillette
양육	globos
레크리에이션	poilsis
해서웨이	hathaway
템스	thames
베르됭	verdenas
피날레	finale
보이보디나	voivodinoje
카롤리나	karolina
흡입	įsiurbimo
비비	bibi
농작물	augalai
농작물	pasėliai
농작물	derlius
농작물	pasėlių
민지	min
이슬	yr
이슬	rasos
이슬	rasa
걷는다	vaikšto
낭만적	romantiška
달라스	dalasas
출혈	kraujavimas
출혈	kraujuoti
진흥국	subprefektūra
안면	veido
분출	išsiveržimas
추상화	abstraktus
참석자	dalyvis
참석자	svečias
참석자	svečiai
닷지	dodge
음료수	gėrimas
음료수	gerti
음료수	geria
음료수	gėrimai
음료수	gėrimams
음료수	gėrimai
음료수	gėrimų
음료수	gėrimas
음료수	gėrimų
구겐하임	gugenheimo
얄타	jaltos
아티스트가	atlikėjai
아티스트가	menininkai
아티스트가	atlikėjas
스핑크스	sfinksai
수채화	akvarele
가져오기	importuota
가져오기	importuoti
가져오기	importuojamas
가져오기	importuojama
가져오기	importuojama
힌덴부르크	hindenburg
블랑	blanc
민아	min
코모	como
사이러스	cyrus
리허설	repeticija
리허설	repetuoti
리허설	repetavo
수미	sumi
망고	mangai
망고	mango
워릭	warwick
천공	perforacija
밀수	vežama
밀수	kontrabandininkų
졸리	linksmas
시너지	sinergija
카르노	karno
지질학자	geologas
정형외과	orto
헵번	hepburn
사진술	photography
사진술	fotografijos
사진술	fotografija
잔다	stiklas
잔다	stiklinė
잔다	stiklo
동창생	alumni
무관심	abejingumo
무관심	abejingi
성관계	lytis
누나부트	nunavutas
투척	chuck
통조림	konservuoti
환희	hwan
혼잡	perkrovos
괴짜	keistuolis
룸메이트	kambariokas
놀이기구	joja
멘트	vyrai
고침	atnaujinti
마셨다	išgėrė
커넥터	jungtys
햄프턴	hampton
인대	girnelės
인대	raiščių
캔버스	drobė
재결합	rekombinacijos
발렌티나	valentina
칼로리	kalorijų
칼로리	kalorijų
잡음	triukšmo
잡음	triukšmas
잡음	ūžia
화씨	fahrenheit
촘스키	chomsky
아르메니아어	armėnų
누출	nuotėkio
누출	nutekėjimas
누출	nuotėkio
누출	nuotėkis
누출	nutekėjimas
자랑	didžiuojuosi
자랑	pasigirti
메뚜기	skėriai
스타일스	parengtus
벵갈루루	bangalore
승낙	sutikimas
승낙	sutikimo
두꺼비	dau
책갈피	mėgstami
축전기	kondensatorius
염색	dažymas
염색	dažai
염색	dažiklis
염색	dažų
증폭기	amp
증폭기	stiprina
정확성	tikslumo
정확성	tikslumas
노예제도	vergovė
스파르타쿠스	spartakas
저녁식사	vakarienė
미나마타	minamatos
바이오스	bios
생물권	biosferos
골절	lūžių
골절	lūžio
골절	lūžių
골절	lūžis
인상주의	impresionizmas
타이푼	taifūnas
슬립	slydimo
인간인	žmonijos
인간인	žmogaus
인간인	žmogus
텐트	palapinės
칼뱅	kalvinai
타타	tata
크로퍼드	crawford
안타나나리보	antananaryvas
사진들	nuotraukos
사진들	fotografijos
사진들	nuotraukų
폭력적	smurtinių
울음	verkti
울음	verkia
삐삐	pepė
상추	salotų
상추	salotos
프린트	spausdinti
독사	angis
마일리지	km
마일리지	rida
허셜	herschel
바이올렛	violeta
딜레마	dilema
클루니	clooney
해파리	medūzos
뼈대	skeletas
아일랜드인	airių
아일랜드인	airijos
아일랜드인	airiai
사마귀	karpos
증발	garavimo
도덕성	dėsnis
조르당	jordan
조르당	jordanija
조르당	jordanijos
슈타이어	steyr
스토크스	stoke
접두사	priešdėliai
감동	sužavėtas
여우원숭이	lemūras
베인	beinas
베인	bain
암모늄	amonio
약혼	sužadėtuvių
이어폰	ausines
광부	kalnakasiai
미용	gražuolė
미용	grožis
머지사이드	mersisaido
카멜레온	chameleonai
삼부작	trilogija
최적	optimali
최적	optimalus
최적	optimalų
쉼터	priedangos
코스모	cosmo
라디오방송	radijas
라디오방송	radijo
송어	upėtakis
제너	jenner
금주	blaivybę
아리아나	ariana
내수	atsparus
내수	atsparių
아타카마	atakamos
멜리사	melisa
손수건	nosinės
곡식	grūdų
곡식	grūdai
곡식	grūdai
단위계	vienetai
카페인	kofeino
아카데미아	akademija
관찰자	stebėtojams
관찰자	stebėtojai
퀴라소	kiurasao
블랙풀	blackpool
구스타보	gustavo
수코타이	sukotajaus
환기	vėdinimo
기념품	suvenyrų
옴스크	omskas
엘리아스	elias
미드나잇	vidurnakčio
패트리샤	patricija
캄팔라	kampala
재능있는	talentinga
재능있는	talentingas
매그너스	magnus
카자크	kazokas
골목	alėjos
곡사포	haubica
위임통치령	įgaliojimai
위임통치령	mandatas
산호	koralų
쿠스코	kusko
페르가나	ferganos
네스토르	nestor
딜러	prekiautojas
딜러	prekybininkas
딜러	prekybininkai
딜러	prekiautojai
딜러	pardavėjai
흑사병	maras
캔디스	candice
모네	monetas
흥분	įtampa
흥분	susijaudinęs
범퍼	buferis
그르노블	grenoble
어둡게	tamsus
어둡게	tamsi
어둡게	tamsiai
어둡게	dima
어둡게	tamsesnė
미생물학	mikrobiologija
대류	konvekcija
라켓	raketės
유용	naudingumas
벤틀리	bentley
스콜피온	skorpionas
즉흥	improvizacija
시각화	vizualizacijos
등반	lipant
등반	laipioja
콜레스테롤	cholesterolio
테구시갈파	tegusigalpa
입찰	pasiūlymai
골수	čiulpų
란다우	landau
제트기	jet
황무지	laukinės
크리틱스	kritikas
약국	vaistinėse
약국	vaistinės
약국	vaistinės
약국	vaistinė
제어하기	kontrolė
스낵	užkandis
스낵	užkandžių
오프사이드	nuošalėje
소외	susvetimėjimą
쉬워	lengva
쉬워	lengvai
흡수해	absorbuoti
흡수해	sugerti
랍비	rabinas
기부금	donorystės
기부금	donorystės
포옹	apkabinti
입력기	įvesties
팩트	faktai
팩트	faktas
축복	palaima
축복	dovanos
드보르자크	dvoržakas
뚜껑	dangčiu
제르맹	germain
트렌트	trent
프랙털	fraktalų
세레나데	serenade
맥도넬	mcdonnell
채권자	kreditoriai
채권자	kreditorių
채권자	skolininkas
채권자	kreditorius
채권자	kreditoriai
콜레라	choleros
파워포인트	powerpoint
가와무라	kawamura
정산	išmokėjimo
주방장	šefas
크루거	kruger
효모	mielės
효모	mielių
아미앵	amiens
조리법	receptai
변칙	anomalija
스팟	erdvę
바네사	vanesa
프로젝터	projektorius
프로젝터	projektoriai
라이언스	liūtai
로스토크	rostock
바시키르	baškirų
전극	elektrodas
전극	elektrodai
크리슈나	krišna
무르만스크	murmansko
발작	traukuliai
발작	priepuolių
프라이데이	penktadienis
프라이데이	penktadienį
시몬스	simons
톰스크	tomsko
침실	miegamieji
혼수	koma
혼수	komos
프로즌	užšaldyti
야생동물	laukinių
구절	vers
샤넬	chanel
티아	tia
육식성	carnivore
미팅	susirinkimai
미팅	susitikimai
미팅	posėdžiai
헤이든	hayden
천식	astma
퓨리	fury
노크	tuk
센다	sen
브로콜리	brokolių
관련성	aktualumas
관련성	reikalingumas
청바지	džinsai
영묘	mauzoliejus
브르노	brno
동무	drauge
동무	draugas
평가하기	reitingų
평가하기	reitingas
평가하기	įvertinimas
평가하기	įvertis
클레멘트	clement
프스코프	pskovo
아스트로	astro
양복	siuvėjas
양복	tinka
양복	kostiumas
셀마	selma
축하드립니다	sveikinimai
바텐더	barmenas
벨라스케스	velaskesas
포르탈레자	fortaleza
로프	virvės
로프	virvė
로프	lynai
로프	virvės
로프	virves
눈썹	antakiai
눈썹	blakstienos
눈썹	antakių
벙어리	kvailas
살인범	žudikas
케랄라	kerala
귀여워	mielas
귀여워	fainas
드림캐스트	dreamcast
벨기에인	belgai
