политехнический	polytechnic
плата	avgift
плата	honorar
медики	saniteten
репутацию	omdømme
репутацию	rykte
репутацию	ry
школьников	skoleklasser
школьников	skolebarn
коммуникации	kommunikasjon
костюм	kostyme
костюм	kostymet
костюм	drakta
костюм	dressen
костюм	dress
костюм	drakt
избирательный	selektiv
маяк	fyr
маяк	fyrtårn
маяк	fyret
норма	norma
норма	norm
отдельное	separat
отдельное	skill
отдельное	atskilt
отдельное	skille
воин	kriger
крус	cruz
отбора	utvalg
отбора	utvalget
бойцы	jagerfly
лук	løk
лук	løk
лук	bukk
лук	baug
лук	bow
лук	bue
ушел	gone
ушел	gått
ушел	borte
прусской	prøyssisk
прусской	prøyssiske
бабушка	farmor
бабушка	bestemor
бабушка	bestemor
бабушка	farmor
бабушка	mormor
бабушка	bestemor
фишер	fisher
фишер	fischer
симфония	symfoni
скажите	sier
скажите	si
скажите	seie
скажите	say
разрешено	autoriserte
разрешено	autorisert
разрешено	tillatte
разрешено	tillatt
разрешено	tillatt
разрешено	autoriserte
разрешено	autorisert
гражданские	sivil
гражданские	sivilist
гражданские	sivilister
гражданские	sivile
марино	marino
александров	aleksandrov
вызвали	tilkalt
вызвали	tilkalte
вызвали	kallet
вызвали	innkalt
яковлев	jakovlev
богдан	bogdan
проектирование	design
проектирование	designer
функционирования	fungerer
функционирования	fungerende
низкая	lavmål
низкая	lav
низкая	lavt
низкая	low
низкая	lave
краснодар	krasnodar
завершено	fullført
завершено	gjennomført
завершено	fullførte
завершено	ferdige
завершено	fullførte
завершено	avsluttet
завершено	ferdig
сталинская	stalinistisk
франс	frans
франс	frankrike
франс	france
индейцы	indianere
индейцы	indere
индейцы	indianerne
трио	trio
польшу	polen
польшу	poland
толщиной	tjukk
толщиной	tykk
толщиной	tykt
толщиной	tykke
достоинство	verdighet
верующих	troende
верующих	trofaste
верующих	trofast
пустыни	ørken
пустыни	ørkenen
оборона	forsvar
оборона	defense
оборона	defensiv
аллен	allen
дяди	onkler
дяди	onklene
христос	kristus
христос	christ
героиня	heltinne
героиня	heroin
эрика	erika
эрика	erica
требовать	kreve
требовать	krever
требовать	krev
согласиться	enig
упомянуть	omtale
упомянуть	nevn
упомянуть	nevner
упомянуть	nevne
пещера	hule
пещера	cave
пещера	grotte
кабардино	kabardino
снимаю	filming
снимаю	filmingen
снимаю	filmer
гости	besøkende
гости	gjester
гости	gjestene
обнаружена	oppdaget
обнаружена	oppdaget
переворот	kupp
переворот	statskupp
южные	sørlige
южные	southern
южные	søndre
афганистан	afghanistan
перри	perry
обслуживание	tjenester
обслуживание	servise
обслуживание	tjeneste
обслуживание	service
религиозный	religiøst
религиозный	religiøse
религиозный	religiøs
сортов	varianter
выделение	utvalg
выделение	utvalget
вероятности	sannsynligheter
степанов	stepanov
банки	banks
банки	banker
банки	krukker
используемый	brukt
используемый	brukes
используемый	brukte
настоящие	real
настоящие	ekte
настоящие	reelt
настоящие	autentiske
настоящие	autentisk
тяжёлый	heavy
тяжёлый	tungt
тяжёлый	kraftig
тяжёлый	tung
сорок	førti
сорок	forty
ларри	larry
курган	kurgan
зам	zam
стояла	stod
стояла	sto
временной	temporal
запретить	ban
запретить	forby
запретить	forbud
запретить	forbyr
крыша	taket
крыша	tak
промышленный	industrielle
продюсеры	produsenter
продюсеры	produsentene
объяснение	forklaring
уэст	west
уэст	vest
уэст	vesten
атмосферу	atmosfære
атмосферу	stemning
атмосферу	atmosfæren
прорыв	gjennombrudd
сложный	kompleks
сложный	komplisert
сложный	innviklet
мастерство	ferdighet
сущность	essensen
сущность	essens
дизель	diesel
приоритет	prioritet
приоритет	prioritert
приоритет	prioritering
кратко	kortfattet
боли	pain
боли	smerte
секс	sex
уолтер	walter
инцидент	hendelsen
посредничества	formidling
серый	gray
серый	grå
серый	grått
серый	grå
серый	grey
филармонии	philharmonic
точность	presisjon
точность	presisjon
точность	nøyaktighet
просмотра	visning
политбюро	politbyrået
альянс	alliance
альянс	allianse
альянс	alliansen
заявляет	erklærer
проза	prosa
белки	protein
белки	proteiner
мяса	kjøtt
мяса	meat
управляет	administrerer
скандал	skandalen
скандал	skandale
петровский	petrovskij
разницы	marg
разницы	margin
свадьбы	bryllup
свадьбы	brylluper
свадьбы	bryllup
ранение	skade
ранение	sår
орловская	orjol
подразумевает	implisert
подразумевает	underforstått
подразумевает	forutsetter
подразумевает	impliserer
подразумевает	antydninger
подразумевает	antyder
фсб	fsb
пенсильвания	pennsylvania
цепь	circuit
цепь	krets
цепь	kjede
цепь	kjetting
видна	synlig
видна	synlige
пруд	dam
пруд	dammen
пруд	tjern
пятой	femte
пятой	fifth
волгоград	volgograd
персона	persona
умершего	avdød
умершего	avdøde
длиннее	lenger
длиннее	lengre
длиннее	lengere
заменены	erstattet
процессор	prosessor
процессор	prosessor
изредка	tidvis
изредка	innimellom
эксперименты	eksperimentere
эксперименты	eksperimenterer
эксперименты	eksperimentert
эксперименты	eksperimenterte
эксперименты	eksperiment
эксперименты	eksperimenter
эксперименты	eksperimentering
монах	broder
монах	monk
монах	munk
гражданина	statsborger
гражданина	borger
флоренции	florence
флоренции	firenze
занят	travle
занят	travel
занят	busy
занят	opptatt
занят	travelt
баз	baser
баз	baz
добровольцев	frivillige
добровольцев	frivillige
добровольцев	frivillig
рождение	fødsler
рождение	fødsel
рождение	fødselen
отменить	avbryte
отменить	avlyse
отменить	angre
винтовки	geværer
винтовки	rifler
винтовки	gevær
винтовки	riflene
самостоятельный	autonome
доски	planker
доски	planker
отступить	retrett
очевидна	opplagt
очевидна	innlysende
очевидна	åpenbare
очевидна	åpenbart
вступление	presentasjon
вступление	intro
существо	wesen
существо	vesen
существо	skapning
открытая	åpne
открытая	åpen
открытая	åpent
открытая	open
знати	adelsmenn
принесли	brakte
принесли	brakt
принесли	bragt
единство	unity
единство	enhet
единство	samhold
восьмой	atte
восьмой	eight
восьмой	åtte
восьмой	eighth
восьмой	åttende
столкновение	kollisjon
столкновение	clash
батарея	batteri
батарея	battery
батарея	batteriet
оценил	vurderte
оценил	vurdert
оценил	rangert
оценил	verdsatt
оценил	verdsatte
топливо	drivstoff
зенит	zenit
зенит	zenith
кристаллическая	krystallinsk
рико	rico
снятие	uttak
снятие	uttak
снятие	abstinens
снятие	tilbaketrekning
прекращения	stenging
прекращения	oppsigelse
купил	kjøpt
купил	kjøpes
купил	kjøpt
купил	kjøpte
срочно	presserende
срочно	haster
срочно	inntrengende
петрозаводск	petrozavodsk
похожие	lignende
похожие	liknende
врачи	leger
врачи	doktorer
врачи	legene
врачи	leger
глубину	dybde
глубину	dybden
галактики	galakser
собирать	samler
собирать	samle
собирать	sanke
уникальный	unik
уникальный	unikt
уникальный	unike
павловна	pavlovna
массачусетс	massachusetts
мюллер	müller
мюллер	mueller
мюллер	muller
мостов	bridges
мостов	broer
мостов	broene
мостов	bruer
миллион	million
экспериментов	eksperimentering
комнаты	rom
ралли	rally
сократить	forkorte
сократить	redusere
сократить	reduser
сократить	kutt
сократить	cut
сократить	skjær
сократить	klipt
стрельба	skyting
раскопки	utgraving
корпорация	corporation
австрийская	østerriksk
вершина	apex
перестал	sluttet
перестал	stoppes
перестал	stoppet
перестал	stanset
перестал	slutta
перестал	stoppa
стрелок	shooter
стрелок	skytter
стрелок	revolvermann
региональный	regional
региональный	regionalt
региональный	regionale
резиденция	bosted
резиденция	bopel
резиденция	bolig
резиденция	residens
католицизм	katolisisme
эпитет	epitet
изготовление	produksjon
изготовление	produsere
изготовление	produksjon
изготовление	lager
изготовление	making
изготовление	lage
победителей	vinnere
пользователи	brukere
пользователи	brukerne
полу	semi
борисов	borisov
землетрясения	jordskjelv
землетрясения	jordskjelv
колоний	koloniene
колоний	kolonier
христиане	christian
христиане	kristen
христиане	kristne
рнк	rna
тыл	bakre
кипр	kypros
мифы	myter
судьбу	skjebnen
судьбу	skjebne
судьбу	destiny
судьбу	skjebnen
судьбу	skjebne
глубины	dypet
глубины	dybde
глубины	dybden
ногу	fot
ногу	foten
ногу	benet
ногу	etappe
ногу	beinet
страх	frykt
страх	fear
страх	redsel
страх	ærefrykt
интересная	interresant
интересная	interessante
интересная	interessant
заседания	møter
заседания	møtene
побеждает	vinner
побеждает	seiere
разработчик	utvikler
разработчик	utviklere
статуи	statuer
статуи	statuene
активная	aktive
активная	aktivt
активная	aktiv
активная	active
медико	medico
оперативной	operative
оперативной	operativ
начальное	primære
начальное	primærvalg
начальное	primær
вмешательства	forstyrrelse
вмешательства	innblanding
вмешательства	forstyrrelser
вмешательства	intervensjon
вмешательства	inngripen
корона	krone
корона	corona
политиков	politikere
политиков	politikerne
посла	ambassadør
регулярного	regulært
регулярного	regelmessige
регулярного	vanlig
нова	nova
разногласия	uenigheter
разногласия	forskjellene
разногласия	ulikheter
разногласия	forskjeller
разногласия	uenighet
разногласия	uenigheter
операторы	operatører
производственного	produktivt
производственного	produktive
производственного	produktiv
эмигрировал	emigrerte
эмигрировал	utvandret
риа	ria
традиционный	tradisjonelt
традиционный	tradisjonelle
традиционный	tradisjonell
генералов	generalene
генералов	generaler
фонтан	fontene
авторство	opphavsperson
ресторан	restaurant
присутствовали	deltok
присутствовали	deltatt
углы	hjørner
углы	hjørnene
углы	vinkler
настоящим	herved
отчет	rapportere
отчет	rapporterer
отчет	rapporter
отчет	rapport
экспорт	eksport
экспорт	eksportere
экспорт	eksport
экспорт	eksportere
экспорт	eksporterer
антония	antonia
целое	heltall
целое	helhet
целое	hel
целое	whole
вещь	thing
вещь	tingen
вещь	greie
учебников	lærebøker
учебников	skolebøker
подтверждено	bekreftet
лёгкий	lettvekt
шведская	svenske
шведская	svensk
товарищества	kameratskap
товарищества	kameraderi
враг	fiende
изменилось	endret
изменилось	forandret
изменилось	skiftet
изменилось	endra
изменилось	forandra
богдана	bohdan
наследник	arvingen
наследник	arving
коммунистическая	kommunist
коммунистическая	kommunistisk
широкая	bred
широкая	bredt
широкая	brede
широкая	wide
широкая	bred
широкая	bredt
широкая	brei
широкая	vid
мюзикл	musical
мюзикл	musikal
мюзикл	musikalsk
резерв	reserver
резерв	reserver
резерв	reserve
репрессий	undertrykkelse
репрессий	represalier
прозвища	kallenavn
поняли	forsto
поняли	forstått
поняли	forstod
поняли	forstatt
интересный	interresant
интересный	interessante
интересный	interessant
реальные	real
реальные	ekte
реальные	reelt
теннис	tennis
ключи	nøkler
ключи	keys
ключи	nøklene
лавры	laurbær
сделанные	lagd
сделанные	made
сделанные	laget
восприятия	oppfatninger
банды	gjenger
татарский	tatar
духовное	spirituell
духовное	åndelig
славу	berømmelse
славу	fame
славу	ære
славу	glory
славу	herlighet
поляна	poljana
таиланд	thailand
таиланд	thailands
финансирование	finansierer
финансирование	bevilgninger
финансирование	finansiering
финансирование	finans
младшая	yngst
младшая	yngste
младшая	yngre
глазго	glasgow
соперников	rivaler
пакистан	pakistan
робин	rødstrupe
робин	robin
робин	robyn
библиотек	biblioteker
угроза	trussel
мтс	bds
председатели	stolene
председатели	stoler
председатели	presidenter
подростков	tenårene
подростков	tenåringer
подростков	tenåringer
демо	demo
демо	demoer
трагедия	tragisk
трагедия	tragedie
заседание	session
заседание	sesjon
заседание	økt
заседание	møte
ушла	gone
ушла	gått
ушла	borte
теоретик	teoretiker
луки	bukker
луки	sløyfer
луки	buer
луки	luca
луки	luka
таиланда	thailand
таиланда	thailands
таиланда	thailandsk
таиланда	thai
пройдя	forbifarten
пройдя	bortgang
пройдя	passerer
советники	rådgivere
советники	rådgivere
троллейбус	trolleybuss
отправили	fraktet
отправили	sendes
отправили	sendt
отправили	sendte
отправили	sendt
аэропорты	flyplasser
гитлер	hitler
связанный	sammenkoblet
связанный	tilknyttet
связанный	knyttet
связанный	lenket
связанный	koblet
оплаты	betaling
оплаты	betalingen
организмов	organismer
присоединиться	join
хьюстон	houston
счастье	lykken
счастье	lykke
счастье	happiness
загрузки	nedlastinger
холл	hall
культ	cult
домашнее	hjemmelaget
лесных	skog
лесных	skogen
лесных	forest
никитин	nikitin
поколений	generasjoner
македония	makedonia
утверждено	godkjente
утверждено	godkjent
волос	hår
волос	håret
создатели	skaperne
создатели	skapere
покрытия	dekke
покрытия	cover
покрытия	deksel
покрытия	dekk
ферма	farm
ферма	gård
ферма	bondegård
произносится	uttalt
произносится	uttales
произносится	erklært
грозный	groznyj
условие	betingelsen
условие	betingelse
условие	tilstand
условие	stand
объединять	kombinere
португальский	portugisiske
португальский	portugisisk
низкий	lavmål
низкий	lav
низкий	lavt
низкий	low
низкий	lave
никуда	ingensteds
древесины	trevirke
древесины	wood
древесины	treverk
уменьшить	redusere
уменьшить	reduser
уменьшить	reduser
уменьшить	minsk
уменьшить	nedgang
уменьшить	redusere
уменьшить	psykiater
уменьшить	krymper
уменьшить	krympe
типичный	typisk
типичный	typiske
геолог	geolog
мобильных	mobile
мобильных	mobilt
мобильных	mobil
получены	mottok
получены	mottatte
получены	mottatt
азота	nitrogen
усовершенствования	forbedringer
усовершенствования	forbedringene
усовершенствования	forbedringer
усовершенствования	forbedringene
дань	hyllest
дань	tribute
дань	tributt
мозг	brain
мозг	hjernens
мозг	hjerne
мозг	hjernen
мозг	hjerner
мозг	hjerne
мозг	hjernen
поднял	oppdratt
поднял	hevet
поднял	oppvokst
поднял	fostret
поднял	oppfostret
бред	brad
бред	delirium
бред	vrangforestillinger
дэнни	danny
дэнни	denny
секция	seksjonen
секция	seksjon
секция	delen
десятка	tier
десятка	ten
десятка	ti
десятка	dusin
нацистской	nazist
господин	mister
господин	dominus
богатых	rikt
богатых	rike
богатых	rik
богатых	rich
богатых	rike
богатых	rik
богатых	velstående
биология	biologien
биология	biologi
акулы	haier
акулы	shark
диалектов	dialekter
сложность	vanskeligheter
сложность	vansker
сложность	kompleksitet
прибытия	ankomsten
прибытия	ankomst
осло	oslo
расписание	timeplan
расписание	timeplan
расписание	tidsplan
введено	introdusert
введено	presenterte
введено	introduserte
введено	innført
введено	presentert
квантовой	quantum
джонатан	jonatan
джонатан	jonathan
разрыв	revne
разрыв	gap
пошла	gikk
пошла	dro
пошла	gjekk
греки	grekere
греки	gresk
проявления	manifestasjoner
проявления	manifestasjon
богослов	teolog
эволюция	evolusjon
подписания	signering
подписания	signatur
подписания	underskrift
леонардо	leonardo
сеньор	señor
сеньор	signore
сеньор	signor
сеньор	señor
водитель	sjåfør
постоянная	permanente
постоянная	permanent
постоянная	constant
постоянная	konstant
монахов	munker
паоло	paolo
завоевать	hersk
завоевать	erobre
вино	vin
бокс	boksing
прожил	bodd
рабов	slaver
формируется	danner
боливии	boliviansk
боливии	bolivia
популярная	populært
популярная	populære
популярная	populær
популярная	folkelig
желающие	ønske
шейх	sheikh
шейх	sjeik
охлаждения	kjøling
путешественник	reisende
путешественник	traveller
гаити	haiti
арсенал	arsenal
отбор	utvalg
отбор	utvalget
заменена	erstattet
автономии	autonomi
мадам	madam
мадам	frue
мадам	madame
мадам	madame
молока	melk
специалиста	spesialist
специалиста	spesialisten
словари	ordbøkene
длительность	varighet
окончательный	finale
окончательный	final
окончательный	siste
мера	måle
департаменты	departementer
департаменты	avdelinger
новичков	nykommere
фазы	faser
рекорды	plater
рекорды	records
рекорды	rekorder
меню	menyen
меню	meny
меню	menyer
белград	beograd
вилли	willy
вилли	willi
вилли	willie
хлеба	brød
владельцев	eiere
дословно	ordrett
археологических	arkeologisk
сорока	førti
сорока	forty
сорока	skjære
соблюдать	observerer
соблюдать	observer
соблюдать	observere
наталия	natalia
приносит	bringer
инициатором	initiativtaker
дерби	derby
глеб	gleb
голода	sult
голода	sult
голода	hunger
испанию	spania
ассамблеи	montering
ассамблеи	forsamling
фернандес	fernandez
фернандес	fernández
фернандес	fernandes
снаружи	utenfor
снаружи	utafor
снаружи	utsiden
снаружи	ute
археолог	arkeolog
отмечена	tagget
отмечена	markert
отмечена	merket
баскетбол	basket
баскетбол	basketball
константинополь	konstantinopel
предпочтение	preferanse
предпочтение	foretrukket
предпочтение	foretrukne
предпочтение	foretrakk
общение	kommunikasjon
общение	kommunisere
общение	kommuniserer
общение	kommunikasjon
встретились	møtt
встретились	møtte
встретились	møttes
встретились	met
встретились	traff
джефф	geoff
джефф	jeff
абд	abd
луч	bjelke
луч	stråle
луч	beam
противоречия	selvmotsigelse
аст	ast
амстердам	amsterdam
эми	amy
антуан	antoine
цветок	blomst
цветок	flower
философские	filosofisk
частная	menig
частная	privat
частная	enerom
частная	private
цру	cia
калия	kalium
ленте	feed
ленте	mate
морган	morgan
прокурор	anklageren
прокурор	aktor
мигель	miguel
равных	likestilt
равных	like
равных	likeverdig
равных	likemenn
коммуне	kollektiv
сомали	somalia
сомали	somalisk
сомали	somaliere
арк	arc
арк	ark
чай	tea
чай	te
этапы	faser
этапы	stadier
этапы	trinnene
этапы	skritt
этапы	steg
этапы	trinn
этапы	milepæler
родственники	slektninger
доверие	tillit
доверие	fortrolighet
доверие	selvtillit
доверие	tillit
доверие	trust
интерьер	interiør
уничтожено	ødelagt
уничтожено	ødelegges
уничтожено	tilintetgjort
мэтт	matt
блоки	blokkeringer
блоки	kvartaler
михаэль	mikael
михаэль	michael
аргентинский	argentinsk
аргентинский	argentinske
хью	hugh
леопольд	leopold
склоне	skråning
сер	sir
нормальная	normalt
нормальная	normale
нормальная	normalen
нормальная	normal
нос	nese
нос	nesen
нос	nesa
произношение	uttale
наследника	arvingen
наследника	arving
пит	pete
пит	piet
адама	adam
адама	adama
ионизации	ionisering
уверенно	selvsikker
абрамович	abramovitsj
кукол	dukker
кукол	dokker
кукол	dolls
луций	lucius
зерна	korn
марг	marg
еврейские	jødisk
еврейские	jødiske
габриэль	gabriel
габриэль	gabrielle
дракон	drage
дракон	dragon
тенденции	trender
монархии	monarki
монархии	monarkiet
балла	balla
разбил	knust
разбил	knuste
разбил	smadret
пекин	beijing
девочек	girls
девочек	jentene
девочек	jenter
дарья	daria
жозе	jose
жозе	josé
жозе	josé
поставки	forsendelser
поставки	forsyning
поставки	leveringer
поставки	leveranser
поставки	forsyninger
грудь	brystkasse
грудь	brystet
грудь	bryst
грудь	bryster
грудь	bryst
грудь	brystene
новиков	novikov
интересует	interesserte
интересует	interessert
бросил	forlatte
бросил	forlatt
бросил	dumpa
бросил	dumpet
бросил	droppet
бросил	kasta
бросил	kastet
самолет	fly
самолет	fly
картер	carter
противостояние	konfrontasjon
противостояние	opposisjon
изабелла	isabel
изабелла	isabella
союзники	allierte
заговора	sammensvergelse
заговора	konspirasjon
противники	motstandere
противники	motstanderne
тула	tula
грузинская	georgisk
расчёт	beregning
расчёт	beregne
хотела	ønskes
хотела	ønsket
хотела	ettersøkt
хотела	etterlyst
чудо	marvel
чудо	mirakelet
чудо	mirakel
чудо	lurer
чудо	wonder
чудо	undring
юристы	advokater
четвёртая	fjerde
рак	kreft
редкие	skjelden
редкие	sjelden
редкие	sjeldent
редкие	sjeldne
доходы	inntekt
доходы	omsetning
доходы	inntekter
доходы	inntekt
миссури	missouri
алматы	almaty
первоначальный	innledende
поддерживается	støttede
поддерживается	forsørget
поддерживается	støttet
поддерживается	støttes
поддерживается	støtter
потребления	forbruk
женское	feminine
женское	hunkjønn
женское	kvinnelige
женское	hunn
женское	kvinne
женское	female
женское	kvinnelig
университеты	universiteter
привлечения	engasjerer
привлечения	engasjere
привлечения	engasjerende
привлечения	tiltrekke
привлечения	tiltrekker
привлечения	tiltrekke
привлечения	tiltrekker
вместимость	kapasitet
вместимость	kapasiteten
венесуэла	venezuela
венесуэла	venezuelas
заговор	plott
заговор	sammensvergelse
заговор	konspirasjon
монтаж	montasje
монтаж	redigerer
монтаж	redigere
монтаж	redigering
программирование	programmering
защищал	forsvart
защищал	forsvarte
торжественно	høytidelig
торжественно	høytidelig
священников	prestene
священников	prester
вселенная	universe
вселенная	univers
вселенная	universet
панели	panelene
панели	dashbordet
панели	dashbord
панели	panel
бизнесмен	forretningsmann
бизнесмен	forretningsfolk
резерва	reserver
резерва	reserve
зимние	vinteren
зимние	vinter
бич	beach
бич	stranda
бич	strand
оливер	oliver
слышал	hørt
слышал	hørte
слышал	hort
макаров	makarov
сун	sun
сун	sol
сун	søn
горький	gorkij
горький	bitter
горький	bittert
удобно	beleilig
удобно	praktisk
удобно	komfortabel
удобно	komfortabelt
удобно	behagelig
удобно	komfortable
удобно	komfortabelt
удобно	behagelig
удобно	komfortabel
удобно	praktisk
удобно	handy
удобно	hendig
лёгкие	lunge
лёгкие	lung
лёгкие	lungene
лёгкие	lunger
послание	melding
послание	budskap
послание	beskjed
препарат	rusmiddel
произведено	produseres
произведено	produserte
произведено	produsert
океании	oseania
скрипка	fiolin
избежание	unngå
избежание	unngår
молекулы	molekyl
молекулы	molekyler
скрипач	fiolinist
скрипач	fiolin
скрипач	spellemann
азербайджанская	aserbajdsjansk
азербайджанская	aserbajdsjanere
допускается	tillatte
допускается	tillatt
допускается	tillatt
романович	romanovitsj
формах	skjemaene
формах	former
формах	skjemaer
померания	pommern
терминологии	terminologi
сложнее	vanskeligere
сложнее	hardere
сложнее	tøffere
монреаль	montreal
вены	årer
вены	wien
вены	vienna
бонус	bonus
