व्यू	porter
कुरु	kuru
फर्क	distingir
फर्क	diferència
इयान	ian
दुग्ध	làctics
दुग्ध	lacti
भयभीत	espantat
वसूली	recuperació
मौन	silenciades
मौन	silenciat
मौन	tàcita
मौन	silenci
डिप्लोमा	diplomat
डिप्लोमा	diploma
घटा	disminució
पॉइंट	punts
पॉइंट	punt
त्वरण	acceleració
जमैका	jamaica
स्केल	escala
मुंशी	munshi
मक्खन	mantega
साम्राज्यवाद	imperialisme
सूत	sut
सूत	cotó
इज़राइल	israel
वैधता	legalitat
वैधता	validesa
अनन्य	exclusiu
अनन्य	exclusiva
सीना	cena
मिथक	mite
श्रृंगार	maquillatge
प्रावधानों	disposicions
अर्ल	earl
वेदान्त	vedanta
आवंटित	adjudicada
निर्देशिका	directori
निर्देशिका	index
निर्देशिका	índex
निर्देशिका	directoris
आंग्ल	anglo
समता	paritat
समता	igualtat
एवेन्यू	avinguda
बेरोजगारी	desocupació
बेरोजगारी	atur
लत	addiccions
लत	addicció
जुर्माना	multa
जुर्माना	multes
क़ुरान	alcorà
पूर्णता	finalització
पूर्णता	compleció
पूर्णता	perfecció
ओमान	oman
मार्केटिंग	màrqueting
मार्केटिंग	marketing
मार्केटिंग	comercialització
पीड़ितों	víctimes
शक्तियां	atribucions
शक्तियां	competències
शक्तियां	poders
शक्तियां	forces
बादलों	núvols
चतुर्भुज	quadrilàter
चतुर्भुज	rectangle
चीता	guepard
चीता	lleopard
मूक	silenciat
लीन	lyn
प्रतिभाशाली	genialitat
प्रतिभाशाली	geni
प्रतिभाशाली	talent
पनीर	formatge
स्मार्ट	smart
नियोक्ता	empresari
पश्तो	paixtu
मैडोना	madonna
बराक	barack
बराक	barak
चमकदार	lluminosa
चमकदार	lluminós
चमकदार	enlluernadora
कादर	kader
स्पीकर	altaveu
गैसें	gasos
सहभागिता	compromís
सहभागिता	interacció
गतिविधियाँ	activitats
इसराइल	israel
वाट	watt
वाट	wat
कोच्चि	kochi
कृषक	agricultors
कृषक	ramaders
संख्यात्मक	numeració
इंडीज़	índies
ब्राउजर	navegador
गुदा	anus
गुदा	anal
वैश्य	vaïxyes
टीकाकरण	vacunació
मूर्तिकला	escultura
शाश्वत	eternitat
किरणें	raigs
वैश्वीकरण	globalització
बैग	bossa
बैग	bosses
बैग	borses
नर्तक	ballarines
नर्तक	ballarins
नर्तक	ballarí
नर्तक	dancer
नर्तक	ballarina
ग्लूकोज	glucosa
नीतियाँ	polítiques
प्रतिभागियों	participants
दत्ता	datta
दत्ता	dutta
पढ़ना	llegint
पढ़ना	lectura
आपरेशन	funcionament
आपरेशन	operació
मैनुअल	manual
सुखद	amena
सुखद	pleasant
सुखद	plaent
सस्ती	assequibles
सस्ती	assequible
सस्ती	barat
बेखम	beckham
स्याही	tinta
रॉस	ross
हल्दी	cúrcuma
हवाओं	vents
परम्पराओं	tradicions
पूछे	preguntat
सेब	poma
सेब	apple
रो	ro
रो	plorant
रो	plor
पुस्तकालयों	biblioteques
पुस्तकालयों	biblioteca
बालाजी	balaji
पांडवों	pandavas
चौकी	reten
बहनों	germanes
अश्लील	porno
आपात	emergència
रेसलमेनिया	wrestlemania
नामीबिया	namíbia
स्त्रियाँ	dones
एनी	annie
मामा	oncle
मामा	tiet
रूपांतर	variant
नगरीय	urban
जैकी	jackie
जैकी	jacky
क्रोधित	agreujar
क्रोधित	furiós
क्रोधित	furious
क्रोधित	enfadat
तात्कालिक	urgent
तात्कालिक	immediata
तात्कालिक	immediat
हुक्म	nod
कमांड	ordres
कमांड	ordre
कमांड	comandament
कोबेन	cobain
विवेकानन्द	vivekananda
बुराई	maldats
बुराई	maldat
टाइपिंग	mecanografia
दशमलव	decimal
काई	kai
क्रूर	cruel
क्रूर	brutal
जोनाथन	jonathan
गढ़ी	garhi
गोपीनाथ	gopinath
फ्लाइट	vol
निकटता	proximitat
मीणा	meena
सैर	passeigs
सैर	caminades
सैर	passeig
चिकनी	suau
कैनेडी	kennedy
टाई	empat
टाई	corbata
विदेशियों	estrangers
अनुवादित	traduït
इंजीनियरों	enginyers
गा	cantar
गा	sing
सर्पिल	espiral
परिशिष्ट	apèndix
गवाही	testificar
गवाही	testimoni
वॉकर	walker
लेआउट	disposició
कैदियों	presos
कैदियों	presoners
फिजी	fiji
हुक	ganxo
हुक	garfi
रिटर्न	retorna
रिटर्न	rendiments
रिटर्न	retornar
रिटर्न	retorn
रिटर्न	devolució
प्लैटिनम	platí
फिल	phil
फिलीपींस	filipines
दीवारें	murs
दीवारें	parets
सपाट	plànols
सपाट	bemoll
सपाट	plana
नक़ल	còpia
नक़ल	còpies
नक़ल	exemplars
देशभक्ति	patriotisme
केन्या	kenya
बर्बाद	residus
महानदी	mahanadi
कस्टम	duanes
कस्टम	costums
कस्टम	custom
कस्टम	personalitzada
कस्टम	personalitzat
अकादमिक	acadèmica
अकादमिक	acadèmic
शेन	shane
असीम	infinitament
असीम	interminable
असीम	interminables
एकजुट	ajunta
कोलेस्ट्रॉल	colesterol
दांते	dante
सीबीआई	cbi
बगीचे	jardí
मुराद	murad
ईमान	fe
पोटैशियम	potassi
केली	kelly
लोकगीत	folklore
सर्बिया	sèrbia
स्प्रिंगस्टीन	springsteen
धर्मनिरपेक्ष	laic
धर्मनिरपेक्ष	laica
दृष्टिगोचर	visible
दृष्टिगोचर	visibles
तोप	canó
दूरभाष	telèfon
दुल्हन	núvia
जस्ता	zinc
उड़	fly
माली	maldives
माली	jardiner
माली	mali
परियोजनाएं	projectes
सिएटल	seattle
टायर	pneumàtics
टायर	pneumàtics
टायर	canso
टायर	pneumàtic
बाँस	bambú
सुधारक	reformer
अठारह	divuit
उत्खनन	excavació
उन्नयन	elevació
पेंशन	pensió
गरिमा	dignitat
सिलेंडर	cilindres
मैक्सिकन	mexicà
देशो	països
उर्वर	exuberant
खोपड़ी	crani
कोलम्बिया	colòmbia
छत्रपति	chhatrapati
गोलियों	trets
विद्रोहियों	rebels
पट्टिका	palet
स्टीवन	steven
टेल	cua
कबीले	tribu
सूर्योदय	albada
रणनीतिक	estratègiques
रणनीतिक	estratègic
रणनीतिक	estratègica
रणनीतिक	estratègics
रणनीतिक	tàctic
झटके	xocs
रीड	reed
प्रक्षेप	projecció
पर्यवेक्षण	supervisió
इसरो	isro
एमी	amy
एमी	emmy
प्लेटो	plató
मीन	pisces
कनाडाई	canadenc
रिसाव	filtracions
रिसाव	filtració
रिसाव	fuita
बाजीराव	bajirao
निषिद्ध	prohibit
निषिद्ध	prohibit
सेम	mongetes
सेम	sem
इटावा	etawah
रॉन	ron
शोधन	refinant
बरसात	dutxa
बरसात	plujós
बरसात	pluja
बनर्जी	banerjee
इंटेल	intel
फास्ट	ràpid
यथार्थवाद	realisme
उर्फ़	urf
बाह	bah
तालिबान	talibans
दर्शनशास्त्र	filosofia
स्वादिष्ट	saborosa
स्वादिष्ट	saborós
स्वादिष्ट	boníssim
स्वादिष्ट	deliciós
ज्वाला	flama
ईंटों	maó
कर्ज	deute
सलाद	enciams
सलाद	enciam
सलाद	amanides
सलाद	amanida
जलन	gelós
जलन	inflamatòries
जलन	irritació
शौकिया	amateur
शौकिया	aficionat
अनूठा	úniques
अनूठा	únic
कैरी	carrie
कैरी	carey
पेशावर	peshawar
पहेली	trencaclosques
पहेली	enigma
चादर	xal
चादर	fitxa
जामा	jama
नासिक	nasik
फ्रैंकलिन	franklin
एथिलीन	etilè
सेकेंड	segons
सेकेंड	segon
सेकेंड	segona
मानविकी	humanitats
महापौर	alcalde
आयताकार	rectangle
आयताकार	rectangular
प्रस्तावना	introducció
प्रस्तावना	pròleg
प्रस्तावना	preàmbul
मैनहटन	manhattan
मॉरीशस	maurici
गंगाधर	gangadhar
लावा	lava
बाधाओं	barreres
बाधाओं	obstacles
माइग्रेन	migranya
कुंवर	kunwar
परिधान	vestit
परिधान	vestuari
परिधान	disfresses
गोलीबारी	rodatge
गोलीबारी	tiroteig
जग	món
जग	world
मातृ	maternal
बायर	bayer
नाल	ferradura
पवित्रता	puresa
पवित्रता	santedat
श्रेष्ठता	superioritat
डोनाल्ड	donald
रमन	raman
पटियाला	patiala
प्रतिकृति	patró
प्रतिकृति	rèplica
प्रतिकृति	rèpliques
घराने	gèneres
ताड़	palm
धमाके	bang
सीटी	xiulet
परोसा	servit
परोसा	servits
कार्टर	carter
उपनिवेशवाद	colonialisme
उपनिवेशवाद	colònia
सैंडविच	sandvitx
सैंडविच	sandwich
सैंडविच	entrepà
सैंडविच	entrepans
चिप्स	fitxes
गुड़	melassa
चन्द	chand
विधियां	mètodes
बिखरे	dispersos
वेस्टमिंस्टर	westminster
टिहरी	tehri
सुनाया	pronunciat
सुनाया	pronunciada
शैतान	dimoni
शैतान	devil
शैतान	diable
शैतान	satan
शैतान	satanàs
शीट	fitxa
शीट	làmines
शीट	fulls
शीट	llençols
उद्धार	rescat
उद्धार	salvament
पैकेजिंग	envasos
पैकेजिंग	envasament
पैकेजिंग	empaquetat
पैकेजिंग	envasat
म्यूनिख	munic
शरीफ	sharif
बिस्तर	llit
दोहराया	repetit
गुम्बद	cúpula
गुम्बद	domes
सेवानिवृत्ति	jubilació
जश्न	celebracions
जश्न	celebració
जश्न	jamboree
नोबल	noble
शाहजहाँपुर	shahjahanpur
इंडीज	índies
टायसन	tyson
लहरों	ones
लहरों	onades
अस्थिरता	inestabilitat
स्पाइवेयर	spyware
संग्रहीत	arxivats
सीसा	plom
तना	tiges
तना	tija
कंकाल	esquelet
नाइट्राइट	nitrit
समीर	samir
तांबे	coure
समतुल्य	equivalent
जिन्ना	jinnah
फेरारी	ferrari
माईस्पेस	myspace
बलराम	balarama
एमआईटी	mit
भ्रामक	confús
संभावनाओं	possibilitats
नगण्य	trivial
केक	pastís
जिज्ञासा	curiositat
पालिका	palika
अन्याय	injustícia
अनुसूची	horari
हमीरपुर	hamirpur
एनिमेशन	animació
एनिमेशन	animacions
देखो	mira
देखो	look
इंतजार	espereu
इंतजार	espera
हिम्मत	coratge
हिम्मत	valentia
प्रमाणपत्र	certificats
प्रमाणपत्र	certificat
सांकेतिक	simbòlica
सांकेतिक	simbòlics
सांकेतिक	simbòlic
सिंधिया	scindia
सत्रहवीं	dissetena
असमानता	desigualtat
आमदनी	ingrés
आमदनी	ingressos
टिन	tin
टिन	llauna
चारा	farratge
चारा	farratges
चारा	esquer
ओलिवर	oliver
डिब्बे	llaunes
घनी	gruix
घनी	gruixut
इण्डिक	indic
एस्पिरिन	aspirina
सोर्स	font
पीर	parell
विश्लेषक	analista
नीम	neem
चेल्सी	chelsea
बाजरा	millet
पाण्डे	pande
पाम	pam
इच्छाओं	desitjos
रिश्तों	relacions
संन्यास	jubilació
पुनर्वास	rehabilitació
प्रोसेसर	processador
स्ट्रीम	fluxos
स्ट्रीम	riera
वक्तव्य	declaració
चंद्रगुप्त	chandragupta
मुमताज़	mumtaz
जालंधर	jalandhar
कृत्यों	funcions
बल्तिस्तान	baltistan
बारहवीं	xii
बारहवीं	dotzè
बारहवीं	dotzena
स्टुअर्ट	stuart
प्रदाताओं	proveïdors
फेंकने	tirant
शर्तें	termes
शर्तें	condicions
मॉड्यूल	mòduls
मॉड्यूल	mòdul
हिरण	cérvol
हिरण	caribou
पिकनिक	pícnic
पिकनिक	picnic
ईसाइयों	cristians
सईद	saeed
प्रेषित	enviats
प्रेषित	enviat
ज़िन्दगी	vida
ज़िन्दगी	life
बॉय	noi
अपघटन	descomposició
हजरत	hazrat
इब्राहिम	ibrahim
संवेदी	sensorials
संवेदी	sensorial
कार्लो	carlo
स्वार्थ	egoisme
तपेदिक	tuberculosi
फिल्मफेयर	filmfare
वीजा	visats
वीजा	visat
बैनर	estendards
बैनर	banderoles
बैनर	estendard
याहू	yahoo
वेदी	altar
उत्साहित	emocionat
प्रलय	catàstrofe
घटती	declinant
नन्द	nand
नागौर	nagaur
रिले	riley
रिले	relleus
चुनौतियों	reptes
चुनौतियों	impugnacions
खासी	khasi
बर्मन	burman
अनवर	anwar
फर्ग्यूसन	ferguson
हालात	situació
हालात	probabilitats
हालात	circumstàncies
भैंस	buffalo
महाद्वीपों	continents
इस्लामाबाद	islamabad
लेनिन	lenin
डैविल	davila
समाचारपत्र	periòdic
समाचारपत्र	periódico
समाचारपत्र	diari
साम्य	semblança
संतोषजनक	satisfactòries
संतोषजनक	satisfactòria
संतोषजनक	satisfactori
सफ़र	trajecte
विवेचना	deliberació
मनोरोग	psiquiàtrica
मनोरोग	psiquiàtric
खींचा	drew
सल्फर	sofre
स्क्वैश	esquaix
लॉक	bloqueig
लॉक	bloqueja
एबीसी	abc
वाल्टर	walter
डाकू	bandoler
डाकू	atracador
पीएचडी	doctorat
फ़ुटबॉल	futbol
गॉर्डन	gordon
बांस	bambú
वाटसन	watson
सहिष्णुता	tolerància
लूथर	luther
परिपक्वता	maduresa
परिपक्वता	venciment
पूज्य	venerable
निरंतरता	continuïtat
निरंतरता	sostenibilitat
पनामा	panamà
लॉरेंस	lawrence
हिरासत	custodia
हिरासत	custòdia
सांप्रदायिक	comunal
सांप्रदायिक	comunals
लड़	lluitant
गुणात्मक	qualitatiu
गुणात्मक	qualitativa
गुणात्मक	qualitatius
रेखाचित्र	dibuix
स्वदेश	nació
सुपरमैन	superman
बुल	bulldog
बुल	bull
धब्बे	pedaços
धब्बे	taques
विकिस्रोत	viquitexts
निक	nick
पीढी	generació
माउस	ratolí
बहुमुखी	múltiples
बहुमुखी	múltiple
बहुमुखी	versàtil
पहियों	wta
पहियों	rodes
स्पीयर्स	llances
बहू	núvia
बहू	bahu
छठा	sisena
छठा	sisè
स्पा	spa
स्पा	zepa
मातृभूमि	pàtria
मशीनें	màquines
पनडुब्बी	submarí
पूर्णांक	integer
पूर्णांक	enter
बचना	evasió
शौक	hobby
शौक	passatemps
शौक	aficions
वानर	ape
नौकर	servent
बोवी	bowie
अफगान	afganesa
दोहा	doha
टार्ज़न	tarzan
उदासीन	nostàlgic
बसों	autobusos
मॉर्गन	morgan
सतहों	superfícies
रसेल	russell
संगीतमय	musical
टिक	paparra
टिक	tic
क्राइस्ट	crist
अनुप्रस्थ	transversal
प्रायोजक	patrocinador
प्रायोजक	padrí
प्रायोजक	patrocinadors
ब्रिगेड	brigada
पॉलिसी	pòlissa
पॉलिसी	política
कलाई	canell
अल्फ्रेड	alfred
परित्याग	repudiar
कराटे	karate
ट्रैफिक	trànsit
ट्रैफिक	tràfic
सिखाया	imparteix
सिखाया	impartit
लिबरल	liberal
खंडहर	ruïnes
कर्क	càncer
प्रेरण	inducció
लामा	lama
लेज़र	laser
लेज़र	làser
बाइबल	bíblia
क्रमांक	número
क्रमांक	nombre
धक्का	push
धक्का	empeny
आविष्कारक	inventors
आविष्कारक	inventor
गोपनीय	xifrada
गोपनीय	secret
गोपनीय	confidencials
गोपनीय	confidencial
प्रेत	zombie
प्रेत	zombi
स्थलीय	terrestre
कब्रिस्तान	cementiris
कब्रिस्तान	cementiri
मैनपुरी	mainpuri
बुल्गारिया	bulgària
पासपोर्ट	passaport
बेशक	efectivament
बेशक	segurament
आइसलैंड	islàndia
प्रमाणीकरण	autenticació
टोयोटा	toyota
ब्लाक	bloqueja
ब्लाक	bloc
सत्यापन	verifica
सत्यापन	verificació
सत्यापन	autenticació
सत्यापन	verificació
रेशों	seda
प्रत्यावर्ती	alternant
ग्रैमी	grammy
लॉन्च	llançament
बीट	beat
इमेजिंग	imaging
कैटरीना	katrina
डिस्ट्रिक्ट	districte
काठमांडू	kathmandu
अरोड़ा	arora
सीखना	aprenentatge
डॉक्टरों	doctors
डॉक्टरों	metges
पक्का	segur
गला	coll
हैदर	haider
सुगमता	accessibilitat
स्ट्रॉस	strauss
गार्सिया	garcia
गार्सिया	garcía
निद्रा	dorm
निद्रा	dormir
बहाने	excuses
एक्सप्लोरर	exploradora
एक्सप्लोरर	explorer
एक्सप्लोरर	explorador
आलम	alam
बिज़नेस	negoci
बिज़नेस	negocis
प्रतिबद्ध	comès
कॉलोनी	colònia
आवंटन	assignació
बद्रीनाथ	badrinath
कार्लोस	carlos
अनीता	alice
अनीता	anita
अनोखा	úniques
अनोखा	únic
रिएक्टर	reactor
करीना	karina
कपाल	crani
श्रोता	oients
श्रोता	listener
श्रोता	públic
श्रोता	audiència
कॉमन	comunes
कॉमन	comú
कॉमन	comuns
आपेक्षिकता	relativitat
लेम्बोर्गिनी	lamborghini
प्याज	cebes
प्याज	ceba
असीमित	infinit
असीमित	infinites
असीमित	infinits
असीमित	infinita
असीमित	deslliga
माउंटबेटन	mountbatten
बग	bug
बग	fallades
बग	errors
बग	bugs
बग	bitxos
मॉस्को	moscou
बूटी	botí
सोम	soma
सोम	soms
सोम	som
सोम	mon
पानीपत	panipat
चन्द्रशेखर	chandrasekhar
टर्नर	turner
हिमानी	glacera
हिमानी	himàlaia
ट्रांस	trans
मेहमान	convidats
मेहमान	convidat
मेहमान	convidada
नियमन	regulació
नियमन	reglament
नियमन	reglamentació
जहर	verí
मगरमच्छ	cocodril
यूटीसी	utc
वेनिस	venècia
खांसी	tos
खांसी	toses
आईएसओ	iso
युगांडा	uganda
संख्याएँ	nombres
संख्याएँ	números
जब्त	intervinguda
सुगंध	aroma
जस्टिन	justin
सरकारें	governs
अहंकार	ego
ज़ाहिर	divulgar
अंबेडकर	ambedkar
ठेठ	típica
ठेठ	típic
फ़ोर्स	força
मोरक्को	marroc
सुमात्रा	sumatra
सीरम	sèrum
नतीजतन	conseqüentment
नतीजतन	consegüentment
दाम	preu
नहरें	canal
नहरें	rius
हमलावर	atacants
नॉर्मन	norman
सराहा	apreciada
सराहा	apreciats
सराहा	apreciat
लैंडिंग	aterratge
माँगा	manga
नाविक	mariner
प्रमाणों	yok
कावेरी	kaveri
हावर्ड	howard
परगना	parganas
हस्तिनापुर	hastinapur
साम्यवाद	comunisme
पैमाना	àmbit
पैमाना	abast
पैमाना	escala
तंबाकू	tabac
चिड़िया	ocell
सूर	sur
उमा	uma
प्री	pre
कफ	pavé
मैथुन	sexe
मैथुन	sex
ग्राफिक्स	gràfics
संचारित	transmissió
संचारित	transmetre
पराबैंगनी	ultraviolada
ताम्र	coure
योजनाएं	esquemes
केल्विन	kelvin
अल्पकालिक	efímera
अल्पकालिक	efímer
अनुपस्थित	absent
अनुपस्थित	desaparegut
अनुपस्थित	falta
अनुपस्थित	desapareguda
फाई	phi
मर्सिडीज	mercedes
लार	saliva
सुनहरे	rossa
आगंतुक	visitant
फ़ॉर्मूला	fórmula
चीज़ें	coses
लूप	repeteix
लूप	bucle
पेरी	peri
पेरी	perry
फिल्माया	rodat
चम्मच	cullera
ग्रा	gras
दुकानें	botigues
दुकानें	comerços
दुकानें	botigues
अनुपयुक्त	incongruent
नरेंद्र	narendra
विरोधाभास	paradoxa
जैम	zam
जैम	jam
जैम	melmelada
रिश्तेदार	relatiu
रिश्तेदार	familiars
रिश्तेदार	parents
कचरा	paperera
कचरा	escombraries
प्रतियोगियों	competidors
असिमोव	asimov
स्प्रिंग	primavera
पिज़्ज़ा	pizza
त्रावणकोर	travancore
कुलकर्णी	kulkarni
दैवी	oracle
दैवी	divina
साइबर	cyber
ग़रीब	pobre
ग़रीब	pobres
छात्रवृत्ति	beca
लिखें	escriu
लिखें	compon
लिखें	componen
लिखें	compondre
लिखें	cremar
लिखें	crema
देवों	devon
सोडा	refresc
सोडा	soda
हुकूमत	regne
हुकूमत	dominació
डॉक्टरेट	doctoral
विला	villas
विला	villa
सटीकता	precisió
सटीकता	exactitud
कोला	colombo
कोला	cola
धमनियों	artèries
प्रतिजन	antigen
अदालतों	tribunals
चोंच	bec
ग्राहम	graham
देशमुख	deshmukh
प्लेटों	matrícules
प्लेटों	plaques
रंजीत	ranjit
सिरा	sira
प्रमाणन	certificació
खरीदी	comprats
खरीदी	comprat
दुखी	miserable
दुखी	trista
दुखी	sad
दुखी	trist
न्यूट्रॉन	neutró
इमरान	imran
निरीक्षक	topògraf
निरीक्षक	supervisor
निरीक्षक	observador
अल्फ़ा	alpha
अल्फ़ा	alfa
हैरिस	harris
सावधान	discret
सावधान	discreta
गियर	engranatge
राजतंत्र	monarquia
सर्कस	circ
अल्बानिया	albània
हीलियम	heli
बादाम	ametlla
बादाम	ametlles
कगार	cornisa
निष्कर्षों	troballes
नागा	naga
प्राचल	paràmetre
मिनेसोटा	minnesota
पृथक्करण	segregació
पृथक्करण	segregacions
अंडा	ou
परवेज़	pervez
माइक्रो	micro
वर्दी	uniformes
वर्दी	uniforme
उत्कृष्टता	perfecció
सूर्यास्त	capvespre
ताँबा	coure
ऐश	cendra
कैलोरी	caloria
कैलोरी	calories
कैलोरी	cal
ईमानदारी	honestedat
ईमानदारी	earnest
ईमानदारी	sinceritat
मताधिकार	franquícia
वृत्ताकार	circular
निर्वासित	bandoler
सरस	sucosa
स्ट्रिंग	cadena
स्फटिक	quars
बुनाई	teixir
विवाहित	casats
विवाहित	casat
आभा	abha
आभा	aura
ईद	eid
मांसाहारी	carnívora
बॉन	bonn
पाँव	peus
केश	kesh
द्वेष	odi
द्वेष	malícia
रेखांकित	subratllat
रेखांकित	subratlla
कॉलम	columna
कॉलम	columnes
समस्थानिक	isòtop
