вогези	vosges
маркса	marksa
маркса	marx
отриманий	primio
отриманий	dobio
отриманий	dobila
отриманий	rezultirajući
ново	novo
бад	bad
перевірка	provjerava
перевірка	verifikacije
перевірка	verifikaciju
перевірка	test
заяви	izjave
схем	šeme
сидіння	mjesta
гості	gostiju
гості	gosti
представив	uvedeno
представив	uveo
представив	uveden
представив	uvedena
розбіжності	diff
розбіжності	neslaganjima
розбіжності	neslaganja
турецька	turski
міфів	mitova
міфів	mitovi
барон	baron
відправляється	odlazak
відправляється	napušta
відправляється	ostavljajući
відправляється	napuštanje
відправляється	ostavivši
бруно	bruno
визнає	priznaje
визнає	priznati
північне	sjeverna
північне	sjeverni
напруга	tenzije
напруга	tenzija
залишитися	ostala
залишитися	ostati
залишитися	ostanu
залишитися	boravka
міссурі	missouri
піраміди	piramide
піраміди	piramida
додавати	dodaju
додавати	dodati
додавати	dodajte
вектор	vektor
попереду	ispred
братство	bratstvo
братство	bratstvo
ланцюг	lanac
довів	dokazali
паспорт	pasoš
позитивно	pozitivna
позитивно	pozitivan
позитивно	pozitivne
позитивно	pozitivni
позитивно	pozitivno
внутрішнє	unutrašnje
внутрішнє	unutrašnja
внутрішнє	unutrašnji
внутрішнє	unutrašnji
внутрішнє	unutrašnja
кафедральний	skara
практична	praktične
практична	praktična
практична	praktični
кетрін	kathryn
кетрін	katharine
кетрін	katherine
сау	sau
панель	ploča
панель	panel
вихідні	vikend
вихідні	odlazeći
массачусетс	massachusetts
зсу	zsu
лавка	klupi
лавка	klupa
настає	lomi
оцінкою	rejting
зазначає	naveden
венесуели	venecuela
шанс	šansa
арнольд	arnold
підпілля	underground
підпілля	podzemni
підпілля	podzemna
навчальному	najlakše
евакуації	evakuaciju
виправлення	korekcija
виправлення	fixes
збільшує	povećava
гаїті	haiti
заборона	zabranjeno
заборона	prohibicije
пакистан	pakistan
легіон	legija
легіон	legiji
легіон	legije
полотна	platna
полотна	platno
позначають	ukazuju
хронологія	hronologija
вебер	weber
стилів	stilova
консультант	konsultant
консультант	konsultanta
консультант	konsalting
жер	gers
багатих	bogati
фінанси	finansijski
фінанси	finansije
фінанси	finansije
сталь	čelik
шахи	šah
темні	tamne
темні	dark
темні	mraku
темні	tamna
темні	mračna
інженери	tehničari
інженери	tehničara
інженери	inženjera
інженери	inženjeri
вюртемберг	württemberg
вивести	izlaz
вивести	proizvodnja
стандартна	standardni
ізраїлі	izrael
куба	kuba
соціологія	sociologija
читає	glasi
флоренція	florence
шкіра	koža
шкіра	koža
життєпис	hronologija
записано	pisani
записано	napisano
записано	zapisano
записано	napisao
записано	pisan
записано	pisao
записано	snimila
записано	snimljene
записано	snimljen
записано	snimio
визначений	definisani
визначений	definisano
визначений	definisan
визначений	definisane
визначений	definisana
визначений	definisanu
поклоніння	mesdžida
комети	komete
щоденник	žurnal
щоденник	dnevnika
щоденник	dnevniku
щоденник	dnevnik
документальні	dokumentaraca
делі	delhi
договорів	sporazumi
договорів	bavi
договорів	dila
договорів	ugovori
договорів	sporazume
сочі	sočiju
джорджія	giorgia
римляни	rimljani
промислова	industrijske
промислова	industrijska
промислова	industrijski
сейм	sejm
міллер	miller
спільна	zajedničke
бідності	siromaštvo
бідності	siromaštva
центрами	centri
центрами	centre
правова	legalno
правова	pravna
правова	pravne
правова	pravni
правова	pravnih
феномен	fenomen
турецький	osmanski
турецький	turski
союзники	saveznici
союзники	saveznike
обробці	parsed
довше	duže
моріс	maurice
сіра	sive
сіра	sivi
сіра	siva
симптоми	simptomi
індіанці	indijci
індіанці	indijanci
присвоєння	zadatak
необхідне	potrebnih
власна	pravilan
вінніпег	winnipeg
попов	popov
вікон	windows
хребетних	zoologija
рівно	stalan
рівно	postojan
старша	stariji
старша	starije
старша	starija
старша	stariji
стани	države
стани	država
розряд	singl
розряд	pražnjenja
розряд	otpuštanje
казав	rekli
казав	rekao
штурм	sturm
фестивалів	festivali
фестивалів	festivalima
замінили	zamijenio
замінили	zamijenjeni
роберто	roberto
шари	slojeva
шари	slojevi
кадри	kadrova
максимальний	maksimalna
максимальний	maksimalni
максимальний	maksimalne
максимальний	maksimum
максимальний	maksimalno
легкі	lak
легкі	lako
легкі	lahko
легкі	polahko
діалект	dijalekt
афганістан	afganistan
хіп	hip
блог	blog
термінології	terminologija
проголосували	izglasan
проголосували	glasali
проголосували	glasao
роджер	roger
інструкції	uputstvu
інструкції	uputstva
інструкції	upute
інструкції	instrukcije
атлетика	atletici
фантастика	fantastični
фантастика	fantastične
фантастика	izmišljen
фантастика	fikcija
сорти	raznovrsnost
сорти	različitih
зникла	nestao
зникла	nestali
зникла	otišli
зникла	otišla
виконавці	resursi
виконавці	resurse
виконавці	umjetnici
бульвар	rosewood
бульвар	boulevard
бульвар	bulevar
євангеліє	evanđelje
самиць	ženke
величин	količinama
величин	količine
профспілок	sindikati
польську	poljski
спадкоємець	nasljednik
спадкоємець	naslednika
негативні	negativan
негативні	negativne
негативні	negativni
негативні	negativno
сіро	ćiro
луцій	lucije
заряд	optužba
заряд	naboj
загроза	prijetnju
загроза	prijetnja
перегони	trka
перегони	rasa
перегони	racing
молодим	mladi
молодим	mlada
молодим	young
молодим	mladić
демонструє	demonstrira
ходи	poteza
монету	novčić
монету	novčića
кімната	sobu
кімната	soba
кімната	sobe
альянс	savez
альянс	alijansa
корпорація	korporacija
штук	zabio
мок	mok
кінь	konj
сенат	senat
батьківщина	domovina
батьківщина	fatherland
коробка	kutija
твердість	tvrdoća
ланка	lanke
ланка	lanka
запалення	upala
гази	gasove
гази	gasova
гази	gasovi
гази	gazi
оцінювання	sticanje
оцінювання	evaluacije
важливість	važnost
важливість	važnosti
важливість	značaj
важливість	hitnog
виживання	opstanak
виживання	preživljavanje
дизель	dizel
написала	pisala
написала	napisao
написала	pisao
багатство	bogatstvo
багатство	bogatstvo
винограду	grožđe
винограду	grožđe
судану	sudan
загреб	zagreb
сидить	sjede
персонал	osoblje
обмежені	ograničene
обмежені	ograničena
обмежені	ograničen
мухаммед	mohammad
мухаммед	muhammed
мухаммед	muhamed
мухаммед	mohammed
мухаммед	muhameda
вищому	premier
вищому	premijer
обрані	odabran
обрані	odabrano
обрані	odabrane
обрані	odabrana
нафта	ulje
нафта	nafta
сигнали	signali
сигнали	signale
розділити	fork
розділити	splitsko
розділити	split
розділити	splitska
сибір	sibira
конрад	konrad
конрад	conrad
конрад	konrad
безумовно	definitivno
род	rod
арсенал	arsenal
абсолютна	apsolutni
абсолютна	apsolutna
маргарет	margaret
сицилії	sicilija
технічно	tehnički
попередня	prethodna
попередня	prethodnim
попередня	prethodni
попередня	prethodno
попередня	prethodnom
попередня	prethodne
адм	adm
мазепа	mazepa
спереду	ispred
спереду	front
створюючи	osiguravanju
створюючи	osigurava
кандидатуру	kandidaturu
кандидатуру	kandidaturi
інженерних	inženjerstvo
крус	cruz
знаючи	znajući
поховали	bury
суцвіття	cvast
подолати	prevazići
проведених	čelu
підряд	uzastopnih
рівноваги	ravnoteža
пілотів	piloti
пілотів	pilota
ратуша	vijećnica
ратуша	dvorana
ратуша	hall
міра	mira
міра	mjera
міра	mjeri
спокою	serenity
виробляють	proizvoditi
мережах	mreže
мережах	mreža
впевнений	sure
впевнений	siguran
математичні	matematički
математичні	matematička
математичні	matematike
математичні	matematička
математичні	matematici
математичні	matematika
луїза	louisa
луїза	louisa
луїза	louise
залишатися	ostala
залишатися	ostati
залишатися	ostanu
залишатися	boravka
броні	oklop
найвищих	najviša
найвищих	najviših
запитів	zahtjevi
запитів	zahtjeva
зник	nestao
зник	nestali
зник	otišli
зник	otišla
зник	nestao
механічний	mehanički
механічний	mašinski
механічний	mašinsko
кераміка	grnčarija
кераміка	ware
кераміка	keramika
кераміка	keramika
астрономи	astronomi
астрономи	astronoma
дербі	darby
дербі	derbi
прапором	zastava
зерно	žita
зерно	zrno
студій	studijama
студій	proučavanja
студій	studije
ставка	stopa
всюди	globalnom
всюди	globalno
всюди	svuda
найвище	najviša
найвище	najviših
підтримання	održavaju
гідності	dostojanstvo
реалізацію	implementaciju
проза	proza
вираження	izražavajući
вираження	izrazivši
виграли	osvojen
виграли	pobijedio
виграли	pobijedila
виграли	osvojena
виграли	pobjedio
путівник	vodič
путівник	guidebook
матриця	matrica
розчин	rješenje
розчин	rješenja
розчин	rešenje
баланс	mjerilo
баланс	bilans
тунель	tunel
визначена	definisani
визначена	definisano
визначена	definisan
визначена	definisane
визначена	definisana
визначена	identificiran
визначена	identificirao
визначена	identificirale
визначена	identificirani
розгортання	proširenje
випускник	diplomirani
мат	mate
мат	mat
ветеран	veterana
ветеран	iskusni
вірогідно	navodno
герберт	herbert
похідні	derivati
змусили	primorala
змусили	prisiljeni
змусили	primorana
змусили	prisiljen
змусили	primoran
змусили	primorao
вирощують	rastu
вирощують	rasti
художниця	umjetnik
алкоголю	alkohol
медічі	medici
відзначення	kos
звільнили	otpustio
звільнили	otpušten
звільнили	puštene
бурятія	burjatija
занепад	doom
арабська	arapski
процесора	gpu
симона	simone
мартин	marcin
метали	metal
метали	metale
метали	metali
дені	dani
модулі	modula
дозволити	omogućili
дозволити	omogući
дозволити	omogućiti
дозволити	dozvoliti
дозволити	omogućile
дозволити	dozvoljavaju
дозволити	dopusti
їхньому	njihov
їхньому	njihovi
їхньому	njihovo
їхньому	njihova
їхньому	njihove
пшениці	pšenice
фірм	firmi
фірм	firme
співдружності	commonwealth
незалежний	independent
незалежний	nezavisno
незалежний	nezavisni
незалежний	nezavisna
величезна	ogromni
штучний	vještačko
штучний	vještačka
двадцяти	dvadeset
підтверджує	potvrđuje
подією	manifestacija
подією	događaj
рука	ruka
рука	šaka
реальність	stvarnost
тридцять	trideset
тридцять	thirty
подію	manifestacija
подію	događaj
покриті	osiromašeni
неправильно	krivo
неправильно	wrong
неправильно	pogrešan
неправильно	pogrešno
диски	diskovi
улюблений	favorit
улюблений	miljenika
улюблений	omiljeni
улюблений	miljenik
улюблений	omiljeno
іспанською	španski
доведено	dokazali
доведено	dokazan
доведено	dokazala
доведено	dokazana
доведено	dokazano
ззаду	nazad
ззаду	back
ззаду	vrati
жанрів	žanrova
суперників	rivala
суперників	protivnici
фернандо	fernando
шон	shawn
шон	shaun
шон	sean
янки	yankee
статистичні	statistička
статистичні	statističke
цвітіння	behar
фан	navijač
фан	fan
фан	fang
трикутник	trougao
клермон	clermont
радника	savetnik
радника	savjetnik
кіпру	kipar
самець	mužjak
емілія	emilia
емілія	amelia
голокосту	holokaustu
голокосту	holokaust
голокосту	holokausta
земельні	zeland
гессен	hesse
віл	wil
віл	hiv
леопольд	leopold
тяжіння	gravitacija
індонезія	indonezija
прованс	provence
вимова	pronunciation
наступником	nasljednik
наступником	nasljednika
наступником	nasljednica
серійний	serijske
серійний	serijski
серійний	serijskog
серійний	serijska
францію	francuska
автономний	autonomni
автономний	autonomne
автономний	autonomna
автономний	offline
включати	uključuju
включати	uključiti
арагон	aragón
тонкі	tanke
митці	umjetnici
сант	sant
підлітків	teen
підлітків	kompjutersku
закриті	zatvorena
закриті	zatvoreno
закриті	zatvorio
мідь	bakar
воїн	ratnik
уельс	vels
духовні	duhovne
духовні	duhovni
духовні	duhovnih
духовні	duhovno
духовні	duhovnog
духовні	duhovnu
розробник	adriatic
янг	mladi
янг	mlada
янг	young
янг	mladić
шостий	šesti
шостий	šestom
вісь	osi
єврейська	jevrejska
єврейська	jevrejsko
єврейська	jevrej
єврейська	jevrejski
єврейська	hebrejski
колон	colón
податок	porez
прокурора	advokat
прокурора	tužilac
рядка	linija
гранд	grandes
гранд	grande
гранд	velika
гранд	grand
гранд	reisul
сталін	staljin
дует	duet
секція	odeljak
секція	sekcija
латинська	latinski
шахтар	šahtar
шахтар	rudar
адаптації	adaptacija
позначені	označeni
позначені	obilježene
колеги	kolege
підтримати	podrška
дзеркала	ogledala
штучні	vještačko
штучні	vještačka
публікація	priča
публікація	objavljivanja
публікація	objavljivanje
публікація	izdavačka
публікація	izdavačke
публікація	izdavačkom
едмонтон	edmontonu
адріан	adrián
адріан	hadrijan
адріан	adrian
якесь	neki
італію	italija
кора	kore
кора	kora
кора	koru
кора	kora
спалили	spaljeno
спалили	spaljena
звіти	izvještaje
звіти	izvještajima
звіти	izveštaji
звіти	izvještaji
спеціалізовані	specijalizovani
правосуддя	pravda
правосуддя	pravde
пор	luka
пор	port
природним	prirodno
літом	summertime
колесо	točak
юлій	julije
враховувати	razmatranje
череп	lobanja
захоплені	zarobili
захоплені	uhvaćeni
вгорі	gornji
вгорі	top
коричневі	brown
колона	stub
рідкісний	rijetki
рідкісний	rijetko
піднімається	rastuće
купол	kupola
передбачав	predvidio
почути	čuti
почути	čujem
почути	hear
почути	čuju
лео	lav
лео	leo
жорстоко	brutalno
мандрівник	putnik
мандрівник	putopisac
мандрівник	wanderer
барі	bari
багатства	bogatstvo
худ	hood
тренування	obuke
тренування	trening
тренування	obuka
тренування	treninga
тренування	obuku
мільйон	milion
малювання	slikarstvo
малювання	crtež
сімейство	porodica
сімейство	porodično
прийоми	trikova
аполлон	apolon
рафаель	raphael
рафаель	rafael
рафаель	raphaël
урану	uranij
перевагою	prednost
судова	forenzička
судова	forenzički
судова	forenzičkim
зібрано	sagrađena
зібрано	izgrađena
зібрано	izgrađeno
зібрано	izgradio
зібрано	okupilo
переконати	uvjeriti
розлучення	razvod
виключення	isključi
виключення	izuzetak
пен	peng
пен	pin
сервера	server
штучно	vještački
штучно	izmišljen
фотограф	fotografa
стрічку	ticker
стрічку	traka
попит	potražnja
крайній	porno
винахід	izum
змінилася	promijenio
змінилася	promijenila
змінилася	promijenjen
записати	pisu
записати	napiši
записати	pišu
записати	rekord
записати	rekordno
записати	bilježe
записати	rekordnih
записати	burn
куби	kuba
уникати	izbjeći
уникати	izbjegavati
уникати	izbjegne
уникати	izbjegavanja
звільнено	otpustio
звільнено	oslobođeno
албанія	albanija
туристичний	turistička
туристичний	turističkih
дедалі	hladnije
дружба	prijateljstva
дружба	prijateljstava
дружба	prijateljstvo
дружба	prijateljstva
венера	venera
айрес	aires
зменшує	smanjuje
могилу	grob
підключення	povezuje
комбінації	kombinacija
поліцейський	policajca
поліцейський	policajac
поліцейський	policajac
конкретно	konkretno
конкретно	tačnije
позитивний	pozitivna
позитивний	pozitivan
позитивний	pozitivne
позитивний	pozitivni
туніс	tunis
туніс	tunis
чай	čaj
кримінальні	krivično
вірус	virus
зосереджені	koncentraciju
висловлювання	izlaz
висловлювання	proizvodnja
розрив	brejk
розрив	jaz
куля	sfera
куля	metak
легенд	legende
органічні	organska
капели	freske
ресторан	restoran
цілу	cijela
цілу	čitava
підняття	podizanje
згоду	odobravanje
згоду	odobrenje
згоду	saglasnost
коричневий	brown
каф	caf
археологічний	arheološka
археологічний	arheološki
археологічний	arheološko
коробки	kutije
коробки	kutija
лави	lave
лави	lavi
делла	della
сформовано	formirane
сформовано	formirana
собака	psa
собака	pas
собака	dog
собака	ker
повернули	pretvarajući
пропаганда	propaganda
таджикистану	tadžikistan
записані	pisani
записані	napisano
записані	zapisano
записані	napisao
записані	pisan
записані	pisao
впливати	uticaja
впливати	utjecaj
впливати	uticaj
швейцарський	švicarska
швейцарський	švicarski
підприємстві	objekat
ліцензію	licence
ліцензію	dozvola
ліцензію	licenca
ліцензію	dozvolu
ліцензію	licencu
курт	kurt
курт	curt
сумнів	sumnja
сумнів	sumnje
сумнів	sumnju
сумнів	sumnjaju
змішані	mješovite
змішані	mješovita
підтверджено	potvrdila
підтверджено	potvrdio
підтверджено	potvrđeno
підтверджено	odobrena
підтверджено	odobrio
підтверджено	odobreni
підтверджено	odobren
підтверджено	approved
індивідуальні	individualni
індивідуальні	individualne
заарештовано	uhapšeni
заарештовано	uhapšena
заарештовано	uhapšen
альтернативний	alternativna
альтернативний	alternativa
континенту	kontinent
небесної	nebeski
зла	zlo
траса	trag
траса	tragovi
встановлює	seta
чекає	čeka
чекає	waits
заслуговує	zaslužuje
холодна	hladno
фільтр	filter
сильна	jaka
сильна	jaki
мера	gradonačelnika
мера	gradonačelnik
важливості	važnost
важливості	važnosti
важливості	značaj
репертуар	repertoaru
ваз	vaz
ярмарок	fer
ярмарок	sajam
ліцензія	licence
ліцензія	dozvola
ліцензія	licenca
ліцензія	dozvolu
ліцензія	licencu
геть	away
геть	daleko
пісок	pesak
пісок	pijeska
пера	perje
гірше	gorom
гірше	gore
гірше	gori
гірше	gora
ворог	neprijatelj
невдало	propao
невдало	propali
девіз	moto
лицарі	vitezova
часті	česti
завершити	završiti
завершити	kraj
завершити	završeno
завершити	potpuna
завершити	kompletna
завершити	kompletan
підняти	podigne
підняти	lift
підняти	podići
підняти	podigne
підняти	podići
підняти	podigne
підняти	podizanje
відсутнє	nijedan
відсутнє	nijedna
розквіт	cveta
чоловічу	muškosti
клер	claire
клер	clair
нікого	svakoga
нікого	svako
нікого	neko
нікого	iko
нікого	niko
террі	terry
раннє	ranim
задня	posterior
вибрана	odabrane
вибрана	izabrao
вибрана	izabranim
інфраструктура	infrastruktura
реконструкцію	preuređenje
присвячено	posvetio
присвячено	posvećen
спорядження	opremu
кіото	kyoto
продюсери	proizvođača
навчальної	tutorial
реалізувати	provesti
реалізувати	provoditi
наміри	namjere
черепаха	kornjača
синонім	synonym
пропонував	doprinijela
пропонував	doprinijeli
пропонував	doprinio
пропонував	doprinijelo
кінематограф	kinematografija
кінематограф	kino
кінематограф	kinematografija
кінематограф	cinema
страв	jela
браян	brian
браян	bryan
рон	ron
ілюстрація	ilustracija
схему	šeme
традиційна	tradicionalna
традиційна	tradicionalne
традиційна	tradicionalno
симон	simon
іконостас	ikonostas
залізний	željezo
якоб	jakov
якоб	jakob
рукописи	rukopisi
рукописи	rukopisa
соліст	frontman
вихідний	odlazeći
збираються	skup
збираються	okupljanje
видати	pražnjenja
видати	otpuštanje
мовні	jezičke
привілеї	privilegije
міфи	mitova
міфи	mitovi
фольклор	folk
фольклор	folklora
фольклор	folklor
заповіт	testament
заповіт	zavjet
будівельник	graditelj
скарби	bogatstva
скарби	blaga
рання	ranim
джейсон	jason
комерційного	komercijalne
комерційного	komercijalni
комерційного	reklama
юліан	julian
юліан	juliana
юліан	julijanski
анатомія	anatomija
федеральний	federalni
федеральний	federalno
тед	ted
польщу	poljska
керрі	kerry
керрі	carrie
страйк	štrajk
віддали	dala
віддали	dao
віддали	dali
платівки	rekordi
платівки	zapisi
рибу	ribe
оригінал	originalni
оригінал	originalna
оригінал	prvobitni
оригінал	originalne
оригінал	original
підвищує	povećava
тихий	pacifik
тихий	pacifika
тихий	pacifički
тихий	pacifiku
відмова	neuspjeh
камер	kamere
себастьян	sebastian
стелі	plafonu
постійна	konstanta
євгеній	eugene
хоп	hop
підвищити	povećanje
підвищити	porast
підвищити	povećati
змії	zmija
змії	zmija
провідник	vodič
провідник	dirigent
провідник	provodnik
допомагали	pomogla
допомагали	pomogao
ютери	mašine
мільярдів	bilion
протести	proteste
протести	protesti
ельзас	alsace
шеф	načelnik
шеф	glavni
шеф	šef
завтра	sutra
боксери	bokseri
жозеф	joseph
зупинка	zaustavljanje
зупинка	prestala
зупинка	zaustavljen
зупинка	prestaju
зупинка	zaustaviti
зупинка	stop
зупинка	zaustavlja
зупинка	zaustavljanje
зупинка	stanica
зупинка	prekid
поліцейських	policajci
дзвін	bell
проміжок	interval
проміжок	whitespace
холодний	hladno
холодний	iced
кавалерії	konjica
сорок	forty
сорок	četrdeset
вантажний	teretni
епізоди	epizode
епізоди	epizoda
відпочинок	ostatak
автомат	mašina
автомат	automat
апостол	apostol
липа	lipa
липа	tilia
калію	kalij
кінцівок	ekstremiteta
цифр	brojke
змінився	promijenio
змінився	promijenila
змінився	promijenjen
замінено	zamijenio
замінено	zamijenjeni
пів	polovina
пів	polovinu
пів	pola
спираючись	oslanjanja
подвійний	dvostruki
подвійний	dupla
подвійний	dvostruko
подвійний	dvostruke
подвійний	dvostruku
подвійний	dvostruka
товариш	drug
вирішують	rješavanjem
вирішують	rješavanja
нараховується	nagrađeni
нараховується	dodijelila
сортування	sortiranje
розробок	dešavanja
організми	organizmi
організми	organizme
десант	napad
більшим	veći
більшим	veće
путін	putin
юридичні	legalno
юридичні	pravna
юридичні	pravne
юридичні	pravni
юридичні	pravnih
труси	bokseri
пишеться	urok
барбара	barbara
виняток	izuzetak
законодавчих	zakonodavnom
законодавчих	zakonodavne
законодавчих	zakonodavnim
колу	coke
колу	kolu
сосни	pines
копіювання	kopija
копіювання	copy
копіювання	kopiju
подарунок	dar
подарунок	poklon
подарунок	prisutan
буркіна	burkina
ата	carnet
блиск	sija
осип	osip
продати	sell
продати	prodati
продати	prodaje
продати	proda
помічника	pomoćnik
помічника	asistenta
помічника	asistent
стамбул	istanbul
рівність	jednakost
рівність	ravnopravnost
рівність	jednakosti
іноземців	strancima
іноземців	stranaca
фаза	faze
фаза	faza
відчуває	čulima
прочитати	čita
мовознавство	lingvistika
існуючі	postojeće
існуючі	postojećim
існуючі	postojećih
існуючі	postojeći
електроніка	elektronika
електроніка	elektronska
електроніка	elektronski
зімбабве	zimbabve
координації	koordinacija
координації	koordinaciju
перетворити	realizuju
перетворити	transformacija
перетворити	transformiše
ескадрильї	eskadrila
ескадрильї	eskadrile
дизайнер	dizajner
цинку	cink
комуністи	komunisti
комуністи	komunista
судові	sud
ленін	lenjin
болгарський	bugarski
говорили	pričao
говорили	pričao
говорили	govorio
говорили	razgovarao
фрукти	plod
фрукти	voće
фрукти	plod
марсі	marcy
міф	mit
здавалося	izgledalo
промені	zraci
промені	zrake
партнер	partnera
партнер	partner
дельта	delta
чудовий	divno
чудовий	divan
очікування	čekanje
очікування	čekajući
очікування	čeka
очікування	čekaju
очікування	čekanja
налаштування	postavku
налаштування	konfiguracija
налаштування	podešavanja
налаштування	postavke
налаштування	podešavanja
рушій	motor
старші	starije
старші	starija
старші	stariji
навички	vještine
навички	vještina
рядовий	pvt
завдали	izazvalo
завдали	uzrokovala
завдали	uzrokovane
завдали	izazvao
завдали	izazvala
зустрічей	imenovanja
зустрічей	sastanke
зустрічей	sastancima
зустрічей	sastanci
зустрічей	sastanaka
діалог	query
діалог	dijalog
едо	edo
купити	nabavku
купити	kupovina
купити	kupi
