காதர்	kader
விமானத்தை	zrakoplov
விமானத்தை	avion
விமானத்தை	avionom
வெங்காயம்	luk
வெங்காயம்	luk
விசைகள்	tipke
விசைகள்	ključeve
விசைகள்	ključevi
விசைகள்	okidač
விளையாடுகிறார்	igramo
விளையாடுகிறார்	igranje
பலரை	odabrao
பலரை	izabrao
பலரை	birao
நுண்ணுயிரியல்	mikrobiologije
அன்றாடம்	dnevno
அன்றாடம்	svakodnevno
அன்றாடம்	dnevna
அன்றாடம்	dnevni
சக்கரங்கள்	kotači
சக்கரங்கள்	kotačima
நிவாரணம்	olakšanje
நாடா	traka
பூச்சு	gips
குறைந்துள்ளது	smanji
மாலிப்டினம்	molibden
தீர்ப்பை	rasuđivanje
வைத்திருந்தது	zadržao
தோ	tho
தோ	toa
தோ	toe
முகவரியை	adresu
முகவரியை	adresa
வோல்ட்	volt
பைன்	bor
பைன்	pine
வாரன்	warrena
வாரன்	warren
நிறுவுதல்	instalacija
நிறுவுதல்	instalacije
நிறுவுதல்	instalaciju
டவர்	tower
டவர்	kula
டவர்	toranj
பிராக்	brač
தனியுரிமை	privatnosti
தனியுரிமை	privatnost
அணிவகுப்பு	parada
அணிவகுப்பு	parade
ஆன்டர்சன்	anderson
கேமரா	kameru
கேமரா	fotoaparat
கேமரா	kamera
கேமரா	kamere
இறுதியான	završni
இறுதியான	krajnja
இறுதியான	ultimate
போக்குகள்	trendove
உணரப்பட்டது	shvatio
சாலமன்	solomon
மட்டை	bat
மட்டை	šišmiš
மட்டை	palica
மங்கள	mangala
வெளியேற்றி	izbaci
வெளியேற்றி	izbacivanje
கார்ட்டூன்	crtić
கார்ட்டூன்	crtani
சிந்தனையாளர்	mislilac
சிகரெட்	cigareta
சிகரெட்	cigarete
சிகரெட்	cigareta
சிகரெட்	cigarete
வேன்	kombi
மூத்தவர்	senior
மூத்தவர்	stariji
மூத்தவர்	viši
வெண்ணெய்	maslac
வெண்ணெய்	maslaca
வெண்ணெய்	putar
முயற்சிக்கும்	pokuša
மரியாள்	magdalena
சிங்கர்	singer
சிங்கர்	pjevačica
சிங்கர்	pjevač
இடையிலுள்ள	autentičnost
மனோ	mano
நிழல்கள்	sjenke
நிழல்கள்	sjene
நிழல்கள்	senke
கலவரங்கள்	neredi
கலவரங்கள்	nemiri
ஆர்சனல்	arsenal
ஆர்சனல்	arsenala
வின்ஸ்டன்	winston
குடிசை	koliba
புதுப்பிக்கப்பட்டது	ažurirano
அனிமேஷன்	animirani
அனிமேஷன்	anime
தேரை	žaba
தேரை	žabac
மூவி	film
கொள்வனவு	kupovinu
கொள்வனவு	šoping
கொள்வனவு	kupnja
கொள்வனவு	shopping
கொள்வனவு	kupovina
பேரிடர்	katastrofe
பேரிடர்	katastrofa
எறும்புகள்	mravi
எறும்புகள்	mrava
எறும்புகள்	mrave
உபயோகம்	uporaba
உபயோகம்	upotreba
உபயோகம்	korištenje
உபயோகம்	komunalnih
மெழுகு	vosak
மெழுகு	voska
சிந்தி	sindhi
ஹாக்	jastreb
ஹாக்	hawk
ஹாக்	sokol
ஹாக்	hawke
காய்ந்த	suha
காய்ந்த	suhi
காய்ந்த	suho
பயங்கரவாத	užas
பயங்கரவாத	teror
செயற்பட	funkcionalan
சொத்துரிமை	vlasništvo
ஹான்ஸ்	hans
பட்டர்	maslac
பட்டர்	maslaca
பட்டர்	putar
ராணா	rana
அனுபவத்தை	iskustvo
அனுபவத்தை	iskustva
ஆசான்	mentor
பாராட்டும்	zahvalnost
குறைந்தளவு	konzervativna
ரொனால்டோ	ronaldo
சக்திவாய்ந்த	moćno
சக்திவாய்ந்த	moćna
சக்திவாய்ந்த	moćan
திங்கட்கிழமை	ponedjeljak
தனிநபர்கள்	pojedinci
ஆண்குறி	penis
ஆண்குறி	penisa
டெர்ரி	terry
படைத்தவர்	tvorac
படைத்தவர்	stvoritelj
படைத்தவர்	stvoritelja
மண்டேலா	mandela
கொள்கலன்	sadržaj
கொள்கலன்	kontejner
கொள்கலன்	spremnik
இப்ராகிம்	ibrahim
நிர்மலா	nirmala
அடிப்படைகள்	osnove
கூந்தல்	kose
கூந்தல்	dlaka
கூந்தல்	frizura
கூந்தல்	kosa
கூந்தல்	kosi
மறையும்	sakrij
அருமை	fantastično
அருமை	vrhunska
அருமை	lepo
அருமை	lijepo
அருமை	lijep
இயங்கியல்	operativne
இயங்கியல்	operativna
மகனே	sinko
மகனே	sine
மகனே	sin
தலையீடு	intervencija
தலையீடு	intervencije
கரிய	tamnije
குழப்பங்கள்	sukoba
குழப்பங்கள்	sukobi
குழப்பங்கள்	sukoba
குழப்பங்கள்	sukob
குழப்பங்கள்	sukobi
குழப்பங்கள்	konflikt
விருப்பப்படி	običaj
விருப்பப்படி	prilagođena
உள்ளடக்கங்கள்	sadržaj
இரக்கம்	samilost
இரக்கம்	suosjećanja
இரக்கம்	suosjećanje
வானவில்	duga
வானவில்	duge
ஓசியானியா	oceanija
யாங்	jang
யாங்	yang
எட்வார்ட்	edward
நகை	dragulj
நகை	nakita
நகை	nakit
கமிஷன்	povjerenstvo
கமிஷன்	komisija
கமிஷன்	komisije
கமிஷன்	provizije
ஆலோசனைகள்	sugestije
ஆலோசனைகள்	prijedloge
ஆலோசனைகள்	prijedlozi
சொந்தம்	vlastiti
சொந்தம்	posjedovati
தொடும்	dira
தொடும்	dirljivo
ஆரோக்கியம்	zdravlje
ஆரோக்கியம்	zdravlja
ஆரோக்கியம்	zdravstveni
பாஸ்பரஸ்	fosfor
மாறிகள்	varijabla
மாறிகள்	varijable
மாறிகள்	varijable
திலகர்	tilak
நுண்ணோக்கி	mikroskopom
நுண்ணோக்கி	mikroskop
ஐசக்	isaac
வெற்றிபெற்று	osvojio
வெற்றிபெற்று	pobijedio
வெற்றிபெற்று	pobjedio
ஓவல்	ovalnom
சலாம்	salam
மேலாளராக	upravitelj
மேலாளராக	menadžer
மேலாளராக	voditelj
சலுகை	ponudi
சலுகை	ponudu
சலுகை	ponuda
ரசாயன	kemikalija
ரசாயன	kemijski
ரசாயன	kemikalije
ரசாயன	kemijska
ஸ்வீடன்	švedska
ஸ்வீடன்	švedskoj
ஸ்வீடன்	švedski
ஸ்வீடன்	švedske
லாக்	zaključavanje
லாக்	dnevnik
கரோலினா	carolina
கரோலினா	karolina
பார்பரா	barbara
செலுத்தப்பட்டது	platio
செலுத்தப்பட்டது	plaćeno
செலுத்தப்பட்டது	plaćeni
செலுத்தப்பட்டது	plaćena
அந்தோனியார்	anthony
ஸ்டாக்ஹோம்	stockholmu
ஸ்டாக்ஹோம்	stockholm
புரூணை	bruneja
பள்ளிக்கூடம்	skola
பள்ளிக்கூடம்	školski
பள்ளிக்கூடம்	školska
பள்ளிக்கூடம்	škola
ஸ்கோடா	škoda
வர்ணம்	slikala
வர்ணம்	naslikao
வர்ணம்	pigmenta
ரோஜாக்கள்	ruža
ரோஜாக்கள்	ruže
மாட்	met
மாட்	matt
சொத்துகள்	imovine
சொத்துகள்	imovina
சக்	chuck
பூரி	puri
டொனால்ட்	donald
டொனால்ட்	donalda
டிரைவ்	pogon
டிரைவ்	vozi
ஒதுக்கப்பட்டது	rezervirano
ஒதுக்கப்பட்டது	rezervirana
ஒதுக்கப்பட்டது	rezerviran
பேட்ரிக்	patrick
பேட்ரிக்	patrik
பாடுகிறார்	pjeva
பாடுகிறார்	peva
பாடுகிறார்	pjevanje
பாடுகிறார்	pjevam
பாடுகிறார்	pjevajući
பாடுகிறார்	peva
பாடுகிறார்	pjeva
போயர்	boer
ஒப்பனை	šminku
ஒப்பனை	šminka
ஒப்பனை	kozmetike
தாமிரம்	bakra
தாமிரம்	bakar
கவனத்திற்கு	pažnja
ஆந்தை	sova
ஆந்தை	sove
ஆந்தை	sovu
ஜூலியா	julia
நீளமாக	ljepljiva
நீளமாக	ljepljive
நிணநீர்	limfne
குச்சி	štap
குச்சி	stick
இனக்குழு	nacionalnosti
பக்கவாட்டில்	postrance
பக்கவாட்டில்	bočno
டாமன்	damon
டாமன்	damona
கொன்றார்	ubijen
இருத்தலியல்	egzistencijalne
கிரியோல்	kreolski
காளான்	gljive
காளான்	gljiva
போதைப்பொருள்	lijek
போதைப்பொருள்	droge
போதைப்பொருள்	droga
துணிகள்	tkanine
இடித்து	srušio
மதங்கள்	religije
ஓடுகள்	pločice
டெர்	der
ஃபோர்ப்ஸ்	forbes
இயக்கிகள்	vozači
பிலடெல்பியா	philadelphiji
பிலடெல்பியா	philadelphia
ஜெயின்	jain
இரங்கல்	sućut
கடிகாரங்கள்	satovi
கடிகாரங்கள்	satova
கடிகாரங்கள்	satove
ராஸ்	ros
ராஸ்	ross
எலுமிச்சை	limun
எலுமிச்சை	limun
எலுமிச்சை	lime
மனிதனும்	duša
மனிதனும்	soul
பதக்கங்களை	medalje
பதக்கங்களை	odličja
ரீட்	reed
ஆனந்தம்	veselje
ஆனந்தம்	joy
ஆனந்தம்	radosti
ஆனந்தம்	radost
மார்க்கம்	religija
மார்க்கம்	vjera
மார்க்கம்	markham
காய்கறி	povrće
காய்கறி	biljka
முதிர்ச்சி	zrelosti
முதிர்ச்சி	zrelost
வழங்கவும்	pružiti
ஷேன்	shane
குறும்படம்	minijatura
குறும்படம்	ikona
சோனியா	sonia
நீரியல்	hidrologija
இலைகளை	lišće
அசுரன்	čudovište
அசுரன்	monstrum
கிளாரா	klara
கிளாரா	clara
தேவாலயத்தில்	piazza
நிழலில்	nijansa
நிழலில்	hlad
அரி	ari
செயல்படுத்துகிறது	obrada
சளி	hladna
சளி	hladno
சளி	prehlada
சளி	prehlade
கொடூரமான	okrutna
கொடூரமான	okrutni
கொடூரமான	okrutno
கொடூரமான	brutalna
கொடூரமான	brutalno
கொடூரமான	brutalan
முசோலினி	mussolini
தூதுவர்	veleposlanik
தூதுவர்	ambasador
செக்ஸ்	seks
செக்ஸ்	seksa
செக்ஸ்	sex
பாலினம்	spol
குணப்படுத்தும்	liječenje
குணப்படுத்தும்	ozdravljenje
கைபேசி	ćelija
கைபேசி	mobilni
கைபேசி	mobitel
முரணாக	ironija
முரணாக	ironično
காலாண்டு	četvrtina
காலாண்டு	quarter
காலாண்டு	četvrt
காலாண்டு	četvrtinu
பபெட்	buffett
புலங்கள்	polja
அன்னிய	strani
அன்னிய	strano
ஏறு	uspon
ஏறு	penjanje
மரபை	nasljedstvo
மரபை	nasljeđe
மரபை	ostavština
மரபை	naslijeđe
புகலிடம்	utočište
சவாலாக	izazvan
சவாலாக	izazvao
இம்ரான்	imran
எண்ணங்களை	misli
எண்ணங்களை	mislima
அளவுகோல்	skala
அளவுகோல்	obimu
அளவுகோல்	vaga
புதுப்பிக்கத்தக்க	obnovljivih
நகர்வுகள்	pokreti
நகர்வுகள்	potezi
ஹெக்டர்	hector
வெண்கல	brončana
குணப்படுத்த	lijek
ரோல்	roll
ஆல்பங்கள்	albuma
ஆல்பங்கள்	albume
கெல்லி	kelly
முதுகெலும்பு	kičma
முதுகெலும்பு	kralježnicu
முதுகெலும்பு	kralježnice
முதுகெலும்பு	kralježnica
பாக்கியம்	blagoslovljen
சிறகு	wing
சிறகு	krilo
சிறகு	krila
சிறகு	krilima
சிறகு	krilca
பட்டாணி	graška
பட்டாணி	graška
பட்டாணி	grašak
சர்ச்சில்	churchill
சர்ச்சில்	churchilla
அங்கீகரிக்கப்பட்டது	odobrena
அங்கீகரிக்கப்பட்டது	odobrio
அங்கீகரிக்கப்பட்டது	odobreno
அங்கீகரிக்கப்பட்டது	odobren
ஆற்றலும்	energija
ஆற்றலும்	energije
கூட்டுக்	kombinaciji
ஆக்கி	procesor
கடற்படையினர்	marinci
கடற்படையினர்	marince
நிபுணத்துவம்	stručnost
நிபுணத்துவம்	stručnosti
கவர்ந்தது	inspirira
கவர்ந்தது	nadahnjuje
ஈடன்	eden
கொன்றது	ubijen
அதிகபட்சம்	max
அதிகபட்சம்	maks
அதிகபட்சம்	maksimum
அதிகபட்சம்	maksimalno
கிட்	git
கிட்	kita
கிட்	kit
செய்தியாளர்	press
செய்தியாளர்	pritisnite
செய்தியாளர்	pritisni
செய்தியாளர்	novinari
செய்தியாளர்	novinarka
செய்தியாளர்	novinar
செய்தியாளர்	reporter
வகுத்தது	popločan
சிப்	čip
சிப்	chip
சிப்	cip
புக்கர்	booker
கேளிக்கை	rekreaciju
கேளிக்கை	zabava
சமோவா	samoe
பந்துகள்	kuglice
பந்துகள்	muda
பந்துகள்	lopte
பந்துகள்	loptice
குடியேற்றவாத	kolonizaciju
வாத	užas
வாத	teror
நிலுவையில்	čekanju
யுனிக்ஸ்	unix
தொட்டில்	kolijevku
தொட்டில்	kolijevka
விஸ்டா	vista
வாசம்	dah
துன்பங்கள்	tuge
கோளம்	sfera
கோளம்	kugla
திரையரங்கு	teatar
திரையரங்கு	kazalište
பின்புலம்	pozadina
பின்னோக்கி	unazad
பின்னோக்கி	unatrag
பின்னோக்கி	unazad
பின்னோக்கி	unatrag
தத்து	kartica
லம்போர்கினி	lamborghini
ஆலோசனைக்	konzultacije
ஆலோசனைக்	konzultacija
தனிமையில்	usamljeno
தனிமையில்	usamljeni
தனிமையில்	usamljena
தனிமையில்	samoća
தனிமையில்	samoći
தனிமையில்	samoću
வழிகாட்டல்	vodstvo
வழிகாட்டல்	smjernice
பார்வைகள்	posjeti
பார்வைகள்	posjete
பார்வைகள்	pogledi
நோக்கங்களை	nakane
நோக்கங்களை	namjera
நோக்கங்களை	namjere
பளிங்கு	mramor
வாக்கியம்	fraza
வாக்கியம்	kaznu
வாக்கியம்	presuda
வாக்கியம்	rečenica
வாக்கியம்	kazna
சொற்பொருள்	semantičke
எதிரானது	protiv
அனுப்புகிறது	šaljem
அனுப்புகிறது	slanje
சுமேரிய	sumerski
கலந்துகொண்டார்	prisustvovali
கலந்துகொண்டார்	nazočio
கலந்துகொண்டார்	prisustvovao
கலந்துகொண்டார்	otišao
துவக்கி	lanser
துவக்கி	pokretač
பூனைகள்	macke
பூனைகள்	mačke
வார்சா	varšavi
புள்ளிவிவரம்	statistika
புள்ளிவிவரம்	statistike
புள்ளிவிவரம்	analitika
பாஸ்கல்	pascal
மார்க்கெட்	tržište
மார்க்கெட்	tržištu
மார்க்கெட்	plac
மார்க்கெட்	tržnica
கணங்கள்	trenutci
கணங்கள்	trenutaka
கணங்கள்	momenti
கணங்கள்	trenuci
கணங்கள்	trenutke
சோமாலியா	somaliji
படத்தொகுப்பு	kolaž
மீனவர்	ribari
மீனவர்	ribara
மீனவர்	ribar
மீனவர்	ribara
பென்சீன்	benzena
இருக்கவும்	ostani
துல்லியம்	preciznost
துல்லியம்	precizno
தொழிற்சாலையில்	tvornica
தொழிற்சாலையில்	fabrike
தொழிற்சாலையில்	tvornici
தொழிற்சாலையில்	tvornice
ராக்கெட்	raketa
ஆல்ப்ஸ்	alpe
இயல்பை	priroda
இயல்பை	prirode
வித்து	seme
வித்து	sjeme
பானங்கள்	pića
பானங்கள்	pića
பானங்கள்	pije
பானங்கள்	piće
நினைக்கும்	misli
நினைக்கும்	razmislite
பெயர்ச்சி	zamjeni
பெயர்ச்சி	zamijeni
தற்செயலாக	slučajno
தற்செயலாக	nenamjerno
சந்த்	chand
நாட்டினர்	sunarodnjaci
சமத்துவம்	neutralnost
சமத்துவம்	jednakosti
சமத்துவம்	jednakost
நடப்பில்	tekuće
நடனங்கள்	plesove
நடனங்கள்	pleše
நிபந்தனைகள்	uvjete
நிபந்தனைகள்	uvjeti
நிபந்தனைகள்	uslovi
விடு	ostavi
விடு	napusti
விடு	ispusti
விடு	baci
அலபாமா	alabama
அலபாமா	alabame
தொழுகை	salah
அன்ட்ரூ	andrija
அன்ட்ரூ	andrew
பாலைவனத்தில்	pustinja
லூசியானா	louisiani
லூசியானா	louisiana
கரைப்பான்	otapalo
எறிந்து	gips
கலீபா	kalif
தந்திரம்	trick
தந்திரம்	trik
அறிவார்ந்த	inteligentni
அறிவார்ந்த	inteligentna
அறிவார்ந்த	inteligentan
அறிவார்ந்த	inteligentno
மதிப்பாய்வு	osvrt
மதிப்பாய்வு	pregled
மதிப்பாய்வு	umjerenost
மதிப்பாய்வு	umjereno
குவான்	guan
குவான்	quan
ஆர்எஸ்எஸ்	rss
நேர்மை	iskrenost
நேர்மை	poštenje
பொறாமை	ljubomora
பொறாமை	ljubomorna
பொறாமை	ljubomoran
பொறாமை	ljubomorni
பொறாமை	zavisti
பொறாமை	zavist
பொறாமை	ljubomora
பொறாமை	ljubomore
கச்சா	sirove
வரவிருக்கும்	nadolazeći
வரவிருக்கும்	predstojeće
வரவிருக்கும்	nadolazeće
சூசன்	suzan
சூசன்	susan
காமெடி	komedije
காமெடி	komedija
நையாண்டி	satira
கமிட்டி	odbor
கமிட்டி	komitet
ஜீலம்	jhelum
தீராத	kronična
வைக்கோல்	slama
வைக்கோல்	slame
இப்ராஹிம்	ibrahim
முத்துக்கள்	biseri
முத்துக்கள்	bisera
முத்துக்கள்	bisere
அலோர்	alor
ஆமைகள்	kornjače
ஆமைகள்	kornjače
யா	yaa
அலெக்சாந்திரியா	aleksandriji
சாதாரணமான	osrednji
புள்ளிவிவர	statistički
ஜூலியஸ்	julius
ஜூலியஸ்	julije
ஈஸ்ட்	kvasca
பரிணாமம்	evolucije
பரிணாமம்	evolucija
பங்கேற்பு	sudjelovanje
பங்கேற்பு	učešće
பங்கேற்பு	prisustvovati
பங்கேற்பு	prisustvuju
சோலார்	solarni
மேகங்கள்	oblaci
மேகங்கள்	oblake
மேகங்கள்	oblaka
கேம்ஸ்	utakmice
கேம்ஸ்	igre
கேம்ஸ்	igrice
கருட	garuda
நீரோ	nero
பூத	fizički
நெரிசல்	stampedo
வாய்க்கால்	kanal
கடலியல்	oceanografiju
இறைவனிடம்	gospode
ரொனால்ட்	ronald
ரொனால்ட்	ronalda
கொலராடோ	colorada
கொலராடோ	colorado
மிதவை	pluta
மிதவை	lebdi
முதலீட்டாளர்	investitora
முதலீட்டாளர்	investitor
முதலீட்டாளர்	ulagača
உணரிகள்	senzore
உணரிகள்	senzori
நசீர்	nasir
சோர்வு	umor
சோர்வு	umora
சோர்வு	umorna
சோர்வு	umorni
சோர்வு	umoran
எவரெஸ்ட்	everest
திறக்க	otvori
வானியற்பியல்	astrofizike
சையது	sayid
இடைவெளிகள்	prostorima
இடைவெளிகள்	prostore
இரவும்	noć
இரவும்	noći
இரவும்	noc
ஏதுமில்லை	nijedan
ஏதுமில்லை	nijedna
முன்னோக்கி	napred
முன்னோக்கி	proslijedi
முன்னோக்கி	naprijed
ராஜு	raju
பயன்முறை	način
பெர்க்சையர்	berkshire
ஜிமெயில்	gmail
ஆர்வமும்	sklonosti
ஆர்வமும்	tendencije
கவர்ச்சியான	sexy
கவர்ச்சியான	seksi
பேழை	kazeta
தெருக்கள்	ulice
தெருக்கள்	ulica
தெருக்கள்	ulicama
ஆர்ச்சர்	archer
கீரை	špinat
ஜெப்ரி	geoffrey
சன்னி	sunčani
சன்னி	sunčano
சன்னி	sunny
பாதுகாக்கவும்	zaštiti
பாதுகாக்கவும்	štiti
படையணி	bojna
படையணி	bataljun
படையணி	bataljon
மோட்சம்	predanost
சொரெஸ்	soros
பயிற்சியாளர்கள்	treneri
பேசுகிறது	govori
பேசுகிறது	govoreći
ஈடுபட்டுள்ள	zaručeni
ஈடுபட்டுள்ள	zaručen
ஏழ்மை	siromaštvo
ஏழ்மை	siromaštva
உடற்கூறு	anatomije
உடற்கூறு	anatomiju
புவிவெப்ப	geotermalna
பயங்கர	strasno
மேலாளர்கள்	menadžeri
மீதம்	ravnotežu
மீதம்	ravnoteža
மீதம்	balans
மீதம்	preostali
மீதம்	preostala
மீதம்	preostalo
மீதம்	lijevo
மீதம்	lijeva
பீச்	bukva
பீச்	breskve
பீச்	breskve
லுட்விக்	ludwig
நெற்றியில்	čelo
பொறுப்பான	odgovoran
பொறுப்பான	odgovorno
பொறுப்பான	odgovorni
பொறுப்பான	odgovorna
கன்று	tele
தீவிரவாதம்	terorizma
தீவிரவாதம்	terorizam
குறுக்கீடு	miješanje
குறுக்கீடு	smetnje
குறுக்கீடு	uplitanje
குறுக்கீடு	smetnja
எள்	sezam
வடிவமைக்க	podešavanje
மனப்பான்மை	stav
எட்ஜ்	rub
எட்ஜ்	rubu
செய்கிறான்	izaziva
செய்கிறான்	uzroci
செய்கிறான்	uzrokuje
மாவீரன்	ratnika
மாவீரன்	ratnica
மாவீரன்	ratnik
டொமினிக்கன்	dominikanskoj
வாருங்கள்	dođi
ஆன்மீகம்	duhovna
ஆன்மீகம்	duhovni
ஆன்மீகம்	duhovne
ஆன்மீகம்	duhovno
மெகாடெத்	megadeth
அனைவருமே	svi
உள்நாட்டில்	lokalno
வியூகம்	strategije
வியூகம்	strategiju
வியூகம்	strategija
மாம்பழம்	mango
மாம்பழம்	manga
கழுதை	magarac
வயிற்றுப்போக்கு	proljev
முஸ்தபா	mostafa
முஸ்தபா	mustafa
கிரகம்	planet
கிரகம்	planeta
தலைக்கு	glavu
தலைக்கு	glava
மாறிவிட்டது	promijenjen
மியாமி	miami
பொறித்த	pržene
பொறித்த	pržena
நிக்கோலஸ்	nicolas
நிக்கோலஸ்	nikolas
நிக்கோலஸ்	nikola
நிக்கோலஸ்	nicholas
நிக்கோலஸ்	nikole
கொரில்லா	gorile
கொரில்லா	gorila
நானா	nana
நானா	nane
மோகம்	strast
மோகம்	strasti
தெரிவித்துக்	posjetili
தெரிவித்துக்	posjetio
கால்நடைகள்	stoka
கால்நடைகள்	goveda
ஓட்டோ	otto
ஓட்டோ	oto
நாளைய	sutra
சிர்க்கோனியம்	cirkonij
சந்தர்ப்பம்	kontekst
ஆண்டர்சன்	anderson
சிக்னல்	signal
சிக்னல்	signala
மோடம்	modem
கிளென்	glen
கிளென்	glen
கிளென்	glenn
விவகாரங்கள்	afere
காபூல்	kabulu
அரிவாள்	srp
பேச்சாளர்கள்	zvučnika
பேச்சாளர்கள்	govornici
எலிகள்	miševi
வைன்	vina
வைன்	vino
வாடிக்கையாளரின்	klijent
வாடிக்கையாளரின்	klijenta
பட்டினி	gladi
பழமொழிகள்	poslovice
திறக்கும்	otvorenje
திறக்கும்	otvaranje
திறக்கும்	otvaram
ராபர்ட்ஸ்	roberts
ஜேக்மேன்	jackman
கிரி	kiri
அசிட்டேட்டு	acetat
மருமகன்	nećak
மருமகன்	nećaka
கிரகங்கள்	planete
கிரகங்கள்	planeta
கிரகங்கள்	planeti
தோழன்	mate
நாட்டியம்	dance
நாட்டியம்	pleši
நாட்டியம்	ples
நிறைவுற்ற	zasićen
கடனை	duga
கடனை	dugovi
கடனை	dug
உபரி	statista
உபரி	višak
குட்டிகள்	mladunce
குட்டிகள்	mladunci
ஓவியத்தை	slikarstvo
ஓவியத்தை	slikanje
மணமகள்	mlada
மணமகள்	nevjesta
மணமகள்	mladu
மணமகள்	mladenka
நிரூபிக்க	dokazati
ஜூலி	juli
ஜூலி	julie
சொல்லாட்சி	retoriku
அலங்கரிக்கப்பட்ட	uređena
அலங்கரிக்கப்பட்ட	odlikovan
ஒலிகள்	zvuci
ஒலிகள்	zvuči
ஒலிகள்	zvukovi
ஜோர்டான்	jordan
பிரபஞ்சம்	univerzum
பிரபஞ்சம்	svemir
பிரபஞ்சம்	galaksije
பிரபஞ்சம்	galaksiji
பிரபஞ்சம்	galaksija
பிரபஞ்சம்	galaxy
பிரபஞ்சம்	galaksiju
சிறுநீரகம்	bubrezi
சிறுநீரகம்	bubreg
சிறுநீரகம்	bubrega
மறக்க	zaboravite
மறக்க	zaboravi
பிளாங்க்	planck
நடித்தது	uloge
சுயசரிதை	biografija
சுயசரிதை	biografiju
சுயசரிதை	biografije
ரூபி	rubin
ரூபி	ruby
அத்தை	teta
அத்தை	strina
அத்தை	tetka
அத்தை	teta
அத்தை	tetka
அத்தை	teta
அத்தை	strina
அத்தை	ujna
அத்தை	tetka
துரோகம்	izdaje
துரோகம்	izdaja
துரோகம்	izdaju
துரோகம்	izdaje
துரோகம்	izdaja
சீரோ	ciro
சரியா	desno
சரியா	pravo
கார்லோ	carlo
கார்லோ	karlo
பக்கத்து	susjed
பக்கத்து	susjeda
அவகாசம்	predah
கருச்சிதைவு	pobacila
கருச்சிதைவு	pobačaj
ஆரியர்	arijevske
பண்பேற்றம்	modulaciju
படுக்கையில்	krevet
விவசாயி	seljak
விவசாயி	farmer
வழங்குநர்	domaćin
வழங்குநர்	voditelj
பதினொன்று	eleven
பதினொன்று	jedanaest
வெளிநாட்டில்	inozemstvu
வெளிநாட்டில்	inozemstvo
திறமைகளை	talenti
திறமைகளை	talente
திறமைகளை	sposobnosti
நிற்பது	stojimo
நிற்பது	stoji
நிற்பது	stojeći
நிற்பது	stajanje
நிற்பது	stojim
இரகசியமாக	tajno
இரகசியமாக	potajno
முன்னேற்றத்தை	napredak
முகமூடி	masku
முகமூடி	maske
முகமூடி	maska
கோல்ட்மேன்	goldman
எலியட்	eliot
வியாபாரிகள்	prodavači
பட்லர்	butler
பட்லர்	batler
காட்டப்பட்டது	odbaci
காட்டப்பட்டது	odbaciti
காட்டப்பட்டது	pokazao
காட்டப்பட்டது	prikazani
காட்டப்பட்டது	prikazano
காட்டப்பட்டது	prikazana
காட்டப்பட்டது	prikazan
தந்தையர்	očeve
தந்தையர்	očevi
முபாரக்	mubarak
வயர்லெஸ்	bežični
குளூனி	clooney
பென்னி	pjeni
பென்னி	penny
பென்னி	beni
பென்னி	benny
லூக்	luke
ஹன்னிபால்	hannibal
வில்லி	willy
வில்லி	vili
பொய்யான	lažni
பொய்யான	lažno
படத்தைப்	fotografiju
படத்தைப்	foto
படத்தைப்	fotografija
படத்தைப்	slika
முற்றத்தில்	yard
முற்றத்தில்	dvorištu
