неопходни	जरुरी
стрипови	कॉमिक्स
заслуга	श्रेय
заслуга	क्रेडिट
сајмон	साइमन
крие	छुपाता
крие	छुपाना
сантјаго	सैंटियागो
губат	खोने
губат	खोना
дијалог	संवाद
картер	कार्टर
елементот	अवयव
елементот	तत्व
колумбо	कोलंबस
тигри	बाघों
тигри	टाइगर्स
самостоен	solo
самостоен	सोलो
добиен	प्राप्त
терористи	आतंकवादियों
терористи	आतंकवादी
парламентарни	संसदीय
рој	राय
рој	रॉय
рој	पड़ेंगे
снабдување	आपूर्ति
снабдување	सप्लाई
стебло	वृक्ष
стебло	ट्री
стебло	पेड़
гази	ग़ाज़ी
гази	गाजी
гази	गाजी
обвинети	आरोपी
обвинети	अभियुक्त
обвинети	प्रतिवादियों
обвинети	चार्ज
војводите	dukes
цска	सीएसकेए
затвори	बन्द
затвори	करीब
затвори	बंद
затвори	बन्द
затвори	बंद
вакуум	शून्यता
вакуум	निर्वात
вакуум	वैक्यूम
студентски	विद्यार्थी
студентски	student
студентски	छात्र
фасада	मुखाग्र
присуствуваат	उपस्थित
одигран	निभाई
спротивност	विपरीत
продуценти	उत्पादकों
продуценти	निर्माता
орлеанс	ऑरलियन्स
заминување	प्रस्थान
миле	माइल
миле	मील
фасо	फ़ासो
образовен	शैक्षिक
образовен	शैक्षणिक
клас	कक्षा
клас	वर्ग
клас	क्लास
сена	sena
сена	सेना
сена	senna
полови	लिंग
непријателот	शत्रु
непријателот	दुश्मन
повторување	आवृत्ति
вотсон	वाटसन
научи	जानें
научи	सीखें
научи	सीख
тропска	उष्ण
тропска	तीव्र
серверот	सर्वर
релативна	संबंधी
релативна	रिश्तेदार
релативна	सापेक्ष
томи	टॉमी
развивањето	उद्गम
развивањето	विकासशील
процедури	प्रक्रियाओं
духовни	आध्यात्मिक
безбедно	सुरक्षित
безбедно	सकुशल
постигнато	संपन्नता
постигнато	हासिल
намерата	इरादा
намерата	इरादे
преостанатите	शेष
преостанатите	बाकी
велосипеди	साइकिल
велосипеди	बाइक
уставна	संवैधानिक
ископувања	उत्खनन
ископувања	खुदाई
олга	ओल्गा
стандардно	मूलभूत
стандардно	डिफ़ॉल्ट
стандардно	डिफॉल्ट
стандардно	मानक
американец	अमेरिकन
американец	अमेरिकी
американец	अमरीकी
домаќини	होस्ट
контраст	विरोध
контраст	कंट्रास्ट
поен	अंक
поен	स्कोर
задачата	कार्य
дијагноза	निदान
лоренцо	lorenzo
топки	गेंदों
топки	बॉल
топки	गेंदें
тргување	व्यापार
мој	मेरा
испратена	भेजी
испратена	प्रेषित
испратена	भेजा
туркменистан	तुर्कमेनिस्तान
гледачите	व्यूअर
гледачите	दर्शक
бизмарк	बिस्मार्क
регулира	विनियमित
регистрација	रजिस्ट्रेशन
регистрација	पंजीकरण
голдман	गोल्डमैन
пожарот	जहन्नुम
хемичар	केमिस्ट
хрватскиот	क्रोएशियाई
хелиум	हीलियम
транзиција	संक्रमण
транзиција	परिवर्तन
несреќи	दुर्घटनाओं
несреќи	क्रैश
апарати	उपकरण
винчи	विंची
верниците	ईमानवालों
верниците	ईमानवालों
верниците	वफादार
верниците	उपासक
царица	सम्राज्ञी
издавачки	प्रकाशन
духовна	आध्यात्मिक
организаторите	आयोजकों
организаторите	आयोजकों
слог	अक्षर
тенки	पतली
тенки	पतला
странска	विदेश
странска	विदेशी
глобална	वैश्विक
другар	कॉमरेड
другар	मेट
другар	mate
другар	पाल
другар	pal
другар	बड्डी
другар	बडी
другар	दोस्त
непријателски	प्रतिकूल
непријателски	विरोधी
непријателски	शत्रु
спорови	विवाद
спорови	विवादों
подароци	उपहार
кривично	आपराधिक
кривично	अपराधी
кривично	क्रिमिनल
кривично	मुजरिम
кривично	दण्ड
трендови	रुझान
комерцијална	वाणिज्यिक
јоханес	योहानेस
билки	पौधे
консензус	सर्वसम्मति
лизинг	पट्टे
семитски	सामीती
буркина	बुर्किना
соломон	सालमन
соломон	सोलोमन
соломон	सुलेमान
сликање	चित्रकारी
сликање	चित्रकला
сликање	चित्रकारों
сликање	पेंटिंग
миграција	प्रवास
миграција	माइग्रेशन
откуп	फिरौती
металика	मेटालिका
пристаништа	पोर्ट
дебелината	मोटापा
дик	डिक
дик	लंड
олимпик	ओलम्पिक
камерун	कैमरून
нелсон	नेल्सन
кандидатите	उम्मीदवार
одвоени	जुदा
одвоени	अलग
одвоени	पृथक
камата	रुचि
камата	रूचि
камата	ब्याज
ѓаволот	डेविल
ѓаволот	devil
ѓаволот	शैतान
поморска	मेरीटाइम
дипломатија	कूटनीति
пабло	पाब्लो
свирел	निभाई
лесни	आसान
единствени	अनोखा
единствени	अनूठा
единствени	बेजोड़
единствени	अद्वितीय
синатра	सिनात्रा
вебер	वेबर
деривати	डेरिवेटिव
инспирирани	प्रेरित
ураниум	यूरेनियम
приврзаниците	भक्तों
приврзаниците	भक्तो
потешки	अत्यधिक
фебруари	फरवरी
фебруари	फ़रवरी
аматерски	शौकिया
аматерски	amateur
функционална	कामकाज
функционална	कार्यात्मक
ракети	मिसाइलों
ракети	मिसाइल
ракети	मिसाइलें
штити	रक्षा
штити	protect
емерсон	एमर्सन
претходници	पूर्ववर्तियों
пустина	रेगिस्तान
пустина	मरुस्थल
хромозоми	गुणसूत्रों
основачи	संस्थापकों
тесен	कड़ा
тесен	टाइट
тесен	कस
тесен	तंग
тесен	संकीर्ण
тесен	तंग
тесен	सीमित
приватно	प्राइवेट
приватно	निजी
интересен	रोचक
интересен	दिलचस्प
рагби	रग्बी
коен	कोहेन
коен	कोह्न
кадри	ढांचा
кадри	फ्रेम
кадри	फ़्रेम
кадри	गठन
кадри	फ्रेम्स
систематски	व्यवस्थित
цвеќиња	फूल
цвеќиња	पुष्प
скарлет	स्कारलेट
скарлет	स्कारलेट
размер	पैमाना
размер	मापक
размер	स्केल
кратенка	शॉर्टकट
марин	मारिन
стапките	दरें
стапките	दरों
појаси	बेल्ट
колинс	कॉलिन्स
старбакс	स्टारबक्स
мочуришта	वेटलैंड्स
ајдахо	idaho
земјоделска	खेती
централа	पौधे
централа	पौधा
централа	पादप
централа	संयंत्र
централа	केंद्रीय
централа	मध्य
централа	सेंट्रल
централа	प्रेषण
трага	ट्रेल
трага	ट्रेस
трага	लीड
трага	सीसा
трага	सीसे
дрес	यूनिफॉर्म
дрес	यूनिफार्म
дрес	वर्दी
сериски	धारावाहिक
сериски	सीरियल
албанска	अल्बानियाई
зло	तकलीफ़
зло	बुरा
зло	बुराई
зло	दुष्ट
зло	अज़ाब
микроскоп	सूक्ष्मदर्शी
оператори	ऑपरेटर
ракописот	पाण्डुलिपि
датуми	तिथियाँ
исчезнат	अनुपलब्ध
исчезнат	अनुपस्थित
исчезнат	लापता
исчезнат	गायब
сенегал	सेनेगल
пинк	पिंक
пинк	गुलाबी
приоритет	प्राथमिकता
приоритет	प्रधानता
науру	नाउरू
науру	प्रकृति
заклетва	शपथ
хирургија	सर्जरी
бонд	बंधन
бонд	बॉन्ड
бонд	बंध
ретка	दुर्लभ
ретка	विरल
засолниште	आश्रय
засолниште	अभयारण्य
засолниште	शरण
реализам	यथार्थवाद
алфонсо	अलफोंसो
преведување	अनुवाद
преведување	अनुवाद
уво	कान
седи	बैठ
седи	बैठो
седи	बैठने
седи	बैठना
седи	बैठा
седи	बैठे
флеминг	फ्लेमिंग
изложување	प्रदर्शन
изложување	एक्सपोज़र
калциум	कैल्सियम
тонови	टोन
фреска	भित्ति
проценки	आकलन
марина	मरीना
интелектуална	बौद्धिक
катастрофа	आपदा
катастрофа	विपत्ति
катастрофа	प्रलय
наведените	अरदास
наведените	ऊपर
тед	टेड
индустрии	उद्योगों
индустрии	उद्योग
пери	पैरी
пери	पेरी
убави	सुंदर
убави	सूंदर
убави	ब्यूटीफुल
убави	खूबसूरत
терористите	आतंकवादियों
терористите	आतंकवादी
заработка	लाभ
заработка	कमाई
заработка	कमाई
заработка	आय
хем	हाम
хем	हैम
пиј	ड्रिंक
пиј	पीना
пиј	पेय
прост	prost
оценување	मूल्यांकन
долини	घाटियों
сузан	सुसान
сели	सैली
третини	तिहाई
монетарен	मौद्रिक
мед	हनी
мед	शहद
мед	मधु
јунак	हीरो
јунак	hero
јунак	नायक
јунак	नायिका
автобуси	बसों
автобуси	बसें
мексикански	मेक्सिकन
мексикански	मैक्सिकन
изненадување	सरप्राइज़
изненадување	आश्चर्य
дизајни	डिजाइन
миранда	मिरांडा
патка	बत्तख
патка	डक
патка	बतख
ема	एमा
ема	एम्मा
застапеност	प्रतिनिधित्व
хомер	होमर
маја	माया
маја	माजा
окленд	ऑकलैंड
стипендија	छात्रवृत्ति
стипендија	स्कॉलरशिप
маски	नकाब
маски	मास्क
седми	सातवीं
седми	सातवाँ
формална	औपचारिक
часовници	घड़ियाँ
часовници	घड़ियाँ
тркала	पहिये
тркала	पहियों
бохемија	बोहेमिया
победува	जीता
победува	जीत
победува	विन्स
оптика	प्रकाशिकी
магнетни	चुम्बकीय
кантон	कैण्टन
раководење	प्रबंधन
раководење	प्रबन्धन
случајна	बेतरतीब
случајна	यादृच्छिक
опиша	वर्णित
апсолутно	एकदम
апсолутно	बिलकुल
апсолутно	बिल्कुल
студена	कोल्ड
студена	ठंड
студена	सर्दी
студена	ठंडा
забранета	वर्जित
забранета	मनाही
забранета	निषिद्ध
забранета	हराम
забранета	निषिद्ध
забранета	प्रतिबंधित
забранета	बैन
афро	एफ्रो
доброволци	स्वयंसेवकों
доброволци	स्वयंसेवक
погубен	चलाया
терминологија	शब्दावली
нуклеарно	परमाणु
нуклеарно	न्यूक्लियर
нуклеарно	नाभिकीय
вулкани	ज्वालामुखी
данте	दांते
управител	गवर्नर
управител	राज्यपाल
едвардс	एडवर्ड्स
кристоф	क्रिस्टोफ
практични	व्यावहारिक
глазгов	ग्लासगो
истакнато	प्रदर्शित
референци	संदर्भ
референци	सन्दर्भ
зоја	ज़ोया
зоја	जोया
кент	केंट
отпорност	धैर्य
отпорност	धीरज
отпорност	स्थायित्व
отпорност	सहनशीलता
отпорност	प्रतिरोध
хејс	हेज़
невработеноста	बेरोज़गारी
невработеноста	बेकारी
невработеноста	बेरोजगारी
илустрација	चित्रण
илустрација	उदाहरण
тесни	संकीर्ण
тесни	तंग
тесни	सीमित
вртење	घूम
вртење	स्पिन
карактери	किरदार
карактери	अक्षर
карактери	वर्ण
прстите	उंगलियां
прстите	उंगलियों
прстите	उँगलियाँ
прстите	अंगुलियाँ
прстите	उंगलियाँ
моќна	शक्तिशाली
белешка	व्याख्या
белешка	नोट
ниче	नीत्शे
ганди	गाँधी
ганди	gandhi
ганди	गांधी
литературна	साहित्यिक
долар	डॉलर
долар	डालर
тувалу	तुवालू
седница	सत्र
сосем	काफी
пронаоѓање	ढूंढना
задачите	कार्य
полицајци	पुलिसवाले
полицајци	पुलिसकर्मियों
полицајци	अधिकारी
полицајци	अधिकारीयों
полицајци	अधिकारियों
земање	लेने
водеше	दौड़ा
водеше	भागा
водеше	led
комунист	कम्युनिस्ट
повика	प्रेरणाएं
повика	बुलाया
повика	पुकारा
грубо	रफ
грубо	रूखी
грубо	अशिष्ट
анкара	ankara
мареј	मरे
кривични	आपराधिक
кривични	अपराधी
кривични	क्रिमिनल
кривични	मुजरिम
кривични	दण्ड
хелен	हेलेन
електро	इलेक्ट्रो
повелба	चार्टर
генетика	आनुवंशिकी
точната	सटीक
претходен	पिछले
претходен	पिछला
анимиран	एनिमेटेड
инчи	इंच
сајтови	साइटें
сајтови	साइट्स
сајтови	साइट
сребрена	चाँदी
сребрена	चांदी
таџикистан	ताजिकिस्तान
погледнете	निहारने
покровителство	तत्वावधान
социјалистички	समाजवादी
рамо	कंधा
рамо	कंधे
рекламирање	विज्ञापन
алјаска	अलास्का
жлезда	ग्रंथि
скорпија	वृश्चिक
бактериите	जीवाणु
цвет	फूल
цвет	फ्लावर
цвет	पुष्प
селтик	सेल्टिक
семјуел	सैमुएल
монаси	भिक्षुओं
хардвер	हार्डवेयर
несогласувања	मतभिन्नता
факто	facto
штетни	हानिकारक
штетни	नुकसानदेह
штетни	हानिकारक
ладење	कूलिंग
остар	शार्प
федерални	संघीय
руралните	ग्रामीण
погребот	संस्कार
погребот	अंत्येष्टि
пронајдоци	आविष्कारों
натприродни	अलौकिक
мтв	एमटीवी
покрив	छतों
покрив	छतें
покрив	छत
чудо	चमत्कार
отсуството	अभाव
отсуството	अनुपस्थिति
рајт	राइट
матка	गर्भाशय
матка	कोख
матка	गर्भ
матка	मटका
бунтовниците	विद्रोहियों
топологија	संस्थितिविज्ञान
сличност	समानता
сличност	साम्य
сличност	प्रतिरूप
сличност	समानता
влажни	नम
влажни	नम
влажни	आर्द्र
влажни	भीग
влажни	गीली
влажни	वेट
влажни	गीला
прецизност	परिशुद्धता
прецизност	परिशुद्धता
прецизност	शुद्धता
прецизност	सटीकता
лама	लामा
автобиографија	आत्मकथा
муслиманско	मुसलमान
муслиманско	मुस्लमान
муслиманско	मुस्लिम
шведскиот	स्वीडिश
страст	जुनून
словачки	स्लोवाक
срцева	हृदय
величини	आकार
зраците	किरणें
професионалци	पेशेवरों
професионалци	पेशेवर
професионалци	फायदे
функционални	कामकाज
функционални	कार्यात्मक
конфигурација	कॉन्फ़िगरेशन
конфигурација	विन्यास
првичните	प्रारंभिक
првичните	आरंभिक
бремена	गर्भवती
тирана	तिराना
сериозен	गंभीर
испит	परीक्षा
испит	एग्जाम
испит	exam
хорор	डरावना
хорор	हॉरर
зрелост	परिपक्वता
тенка	पतली
тенка	पतला
древни	प्राचीन
хемијата	रसायन
романтична	रोमांटिक
лео	सिंह
лео	leo
мулти	मल्टी
мирно	स्थिर
мирно	शांतिपूर्ण
цивили	नागरिकों
планинарски	पर्वतारोहण
желби	बधाइयां
желби	इच्छा
желби	इच्छाओं
утврден	स्थापित
мат	मट
мат	मैट
мат	मैट
мат	mat
алтернативна	वैकल्पिक
насилно	हिंसक
свињи	सुअरों
свињи	सूअर
анимирани	एनिमेटेड
корелација	सहसंबंध
формација	गठन
ловец	हंटर
ловец	शिकारी
славни	हस्तियाँ
потсдам	पॉट्सडैम
длабок	दीप
длабок	गहरी
длабок	गहरा
длабок	गहन
земјотреси	भूकंप
покривот	छतों
покривот	छतें
покривот	छत
интересна	रोचक
интересна	दिलचस्प
виолина	वायलिन
виолина	सारंगी
пресуда	सजा
пресуда	वाक्य
пресуда	सत्ताधारी
пресуда	निर्णय
даб	डब
даб	ओक
мајер	मायर
пишан	लिखी
пишан	लिखा
чума	प्लेग
вокер	वॉकर
вокер	वाकर
регистар	रजिस्टर
регистар	पंजीकरण
регистар	रजिस्ट्री
проширен	विस्तारित
готфрид	गॉटफ्राइड
универзална	यूनिवर्सल
универзална	सार्वभौमिक
делегат	प्रतिनिधि
фото	photo
фото	फोटो
фото	फ़ोटो
емилија	एमिलिया
машко	पुरुष
машко	नर
машко	पुरूष
куполи	गुम्बद
перси	पर्सी
противниците	प्रतिद्वंद्वी
противниците	विरोधियों
противниците	प्रतिद्वंद्वियों
трон	अर्श
трон	सिंहासन
трон	ट्रोल
никарагва	निकारागुआ
ликвидност	चलनिधि
законодавство	विधान
гота	gotha
покажувајќи	प्रर्दशित
руанда	रवांडा
благодарност	सराहना
гласини	अफवाहें
гласини	अफवाहों
гласини	अफवाह
гласини	अफवाह
терени	पाठ्यक्रम
терени	मैदान
даноците	करों
даноците	कर
мапа	नक्शा
мапа	मानचित्र
мапа	मैप
масакр	नरसंहार
санто	सेंटो
голи	नंगे
голи	नंगा
голи	नग्न
голи	bare
поединец	व्यक्ति
поединец	व्यक्तिगत
формални	औपचारिक
бизнисмен	व्यापारी
бизнисмен	व्यवसायी
бизнисмен	बिजनेसमैन
старт	आरंभ
старт	प्रारंभ
плутон	यम
плутон	प्लूटो
персијците	फारसियों
духовно	आध्यात्मिक
плочки	टाइल
плочки	टाइलें
плочки	टाइल
оро	oro
оро	ओरो
укинување	उठाने
маите	mayan
творец	निर्माता
реге	रेग
реге	रेगी
одбиен	अस्वीकृत
одбиен	झुठलाया
одбиен	अस्वीकृत
фотограф	फोटोग्राफर
фотограф	फ़ोटोग्राफ़र
полноќ	मध्यरात्रि
сомалија	सोमालिया
примарен	प्राथमिक
покривање	कवरेज
алгоритам	एल्गोरिदम
алгоритам	एल्गोरिथ्म
вдовица	विधवा
иселеници	आप्रवासी
иселеници	प्रवासी
преведува	अनुवाद
навики	आदतें
галерии	गैलरी
слободи	लिबर्टीज
контроверзии	विवाद
филипини	फिलीपींस
филипини	फिलीपीन
тренери	कोच
месје	मेसियर
напредни	विस्तृत
напредни	उन्नत
фергусон	फर्ग्यूसन
партиски	party
партиски	दल
партиски	पार्टी
партиски	दलगत
новак	नोवाक
магдебург	मागदेबुर्ग
потпишување	हस्ताक्षर
галаксијата	गैलेक्सी
галаксијата	आकाशगंगा
дива	जंगली
дива	दिवा
реклама	वाणिज्यिक
маркус	मार्कस
глумеше	स्ट्रक्चर
пензиски	पेंशन
логор	कैम्प
логор	कैंप
логор	शिविर
фрајбург	freiburg
еднорог	unicorn
ерменски	अर्मेनियाई
риболов	फ़िशिंग
лестер	लेस्टर
лестер	लीसेस्टर
раствор	हल
раствор	समाधान
примаат	प्राप्त
разгледување	ब्राउज़िंग
ментално	मानसिक
ментално	दिमागी
ментално	मानसिक
поседувал	स्वामित्व
атлас	एटलस
кандидатот	उम्मीदवार
кандидатот	प्रत्याशी
мадона	मैडोना
мон	मोंट
мон	मोन
мон	सोम
летаат	उड़ना
летаат	उड़
летаат	मक्खी
роналд	रोनाल्ड
шерлок	शर्लक
кувајт	कुवैत
работилници	कार्यशालाओं
работилници	वर्कशॉप
грег	ग्रेग
вујко	अंकल
вујко	मामा
вујко	चाचा
вујко	ताऊ
затворање	कारावास
дерби	डर्बी
болтон	बोल्टन
глаголски	व्याकरणिक
мешаат	मिश्रण
мешаат	मिक्स
мешаат	मिक्सर
пелопонез	पेलोपोनीज़
кората	शील
прекината	बाधित
мирен	शांत
мирен	शांतिपूर्ण
баталјон	बटालियन
рик	रिक
рик	ric
индијанец	भारतीय
ридовите	हिल्स
ридовите	पहाड़ियाँ
одземање	घटाना
одземање	घटाना
одземање	घटाई
карневал	कार्निवाल
карневал	कार्निवल
