δυσκολίας	dificultades
πέφτοντας	caendo
πέφτοντας	derrube
πέφτοντας	ardendo
σοβαρός	serio
σοβαρός	seria
σοβαρός	en
σοβαρός	grave
μπολ	pratos
μπολ	bowl
μπολ	cunca
περιβαλλοντικών	ambientais
λιγότερους	menos
παράλληλο	paralelo
έλη	membros
έλη	do
τέλειος	perfecto
τέλειος	perfecta
τέλειος	perfectos
θρίαμβο	triunfo
μονο	único
μονο	só
μονο	única
μακντόναλντ	mcdonald
μακντόναλντ	macdonald
ευχές	desexa
ευχαρίστηση	pracer
ευχαρίστηση	encantado
ευχαρίστηση	gusto
ευχαρίστηση	placer
μοναχικό	soa
μοναχικό	só
πληγές	feridas
πληγές	as
προκλήθηκαν	causado
προκλήθηκαν	causa
προκλήθηκαν	causaba
γουέστερν	occidental
νεράιδα	de
νεράιδα	fadas
νεράιδα	fada
νεράιδα	marica
νεράιδα	lesbianas
πλήρωσε	paga
πλήρωσε	pagar
πλήρωσε	pagalo
πλήρωσε	pagar
πλήρωσε	pagou
ηθών	vicepresidente
ηθών	vicio
ηθών	iwabuchi
ηθών	antivicio
αρρώστια	enfermidade
λουλούδι	flor
καταμέτρηση	contan
καταμέτρηση	contar
καταμέτρηση	conde
καταμέτρηση	con
καταμέτρηση	conta
πολωνικό	polaca
δυναμικές	dinámica
δυναμικές	dinámicas
δυναμικές	dinámica
τροχό	roda
στρατοί	exércitos
δεσμά	cadeas
ευγένεια	amabilidade
ευγένεια	bondade
κουμπιά	botóns
ριζική	radical
ριζική	radicais
καρτ	carreta
καρτ	carro
καπνό	fume
καπνό	fumar
καπνό	para
καπνό	fumo
καπνό	tabaco
πανοπλία	armadura
πανοπλία	armadura
ζήτα	pedir
ζήτα	preguntar
ζήτα	pregunte
ζωνών	zonas
παρήχθησαν	producida
κοινωνιών	sociedades
κοινωνιών	sociedade
απόβλητα	lixo
απόβλητα	residuos
απόβλητα	perda
απόβλητα	perder
απόβλητα	tempo
τρέλα	tola
τρέλα	tolos
τρέλα	tolas
τρέλα	tolo
υπηρέτης	servo
υπηρέτης	criado
υπηρέτης	bedel
αξιόπιστα	fiables
αξιόπιστα	fiable
διέγερση	axitación
θνησιμότητας	infantil
θνησιμότητας	mortalidade
μάσκες	máscaras
κατάρτισης	formación
κατάρτισης	estudan
κατάρτισης	adestramento
μεσόγειος	mediterráneo
αγωγός	director
τζόελ	joel
τζόελ	recibiu
ευαίσθητη	sensibles
ευαίσθητη	sensible
προχωρημένη	avanzado
προχωρημένη	avanzada
παπάς	cura
εγω	min
εγω	me
ταξιδεύοντας	viaxando
τέχνασμα	truco
θύρες	as
θύρες	portas
θύρες	porta
πληρωμής	pago
ειρωνεία	ironía
τζάστιν	justin
ζεστά	calor
ζεστά	quentes
ζεστά	quente
ζεστά	cálida
υπηρέτρια	servo
υπηρέτρια	criado
υπηρέτρια	bedel
υπηρέτρια	criada
γουάλας	wallace
μαέστρος	director
βενζίνη	gasolina
βενζίνη	gas
βενζίνη	gasolina
βενζίνη	de
βενζίνη	gases
υπερβολή	exceso
υπερβολή	de
ευχάριστη	agradábel
αυτί	oído
αυτί	ouvido
αυτί	orella
αμαρτία	pecado
πλούτη	riqueza
πλούτη	riquezas
πλούτη	coa
γρίπη	gripe
μεγέθυνση	crecemento
μεγέθυνση	fixarnos
ιν	inn
ιν	hotel
μητέρες	nais
παράκληση	petición
συναισθηματικά	emocional
συναισθηματικά	emocionais
συναισθηματικά	emotivo
συναισθηματικά	sentimentais
συναισθηματικά	emocionalmente
διαφορετικός	diferentes
διαφορετικός	distintas
διαφορετικός	distinto
διαφορετικός	distintos
διαφορετικός	diferente
φτιαγμένα	fixen
φτιαγμένα	fixo
φτιαγμένα	feito
βδομάδα	semana
βδομάδα	á
τορπίλες	torpedos
γυναικες	mulleres
γυναικες	as
μετρώντας	contar
μετρώντας	contigo
διαμάντι	diamante
διαμάντι	verdade
ένιωσε	sentía
ένιωσε	sentíame
ένιωσε	que
ένιωσε	sentín
νεότεροι	máis
νεότεροι	novos
νεότεροι	nova
νεότεροι	novo
νεότεροι	menos
οργανικό	orgánico
κοντινές	preto
δάκτυλα	os
δάκτυλα	dedos
κατακόρυφα	verticais
κατακόρυφα	vertical
μακρινή	distante
μακρινή	afastado
καρέ	foto
ξύλινες	de
ξύλινες	madeira
εκπληκτικό	incrible
εκπληκτικό	incribles
εκπληκτικό	sorprendente
εκπληκτικό	abraiante
εκπληκτικό	o
εκπληκτικό	marabilloso
εκπληκτικό	asombroso
λίμα	lima
τούρινγκ	test
τούρινγκ	turing
προπόνηση	unha
προπόνηση	práctica
προπόνηση	practicar
προπόνηση	exercen
προπόνηση	formación
προπόνηση	estudan
προπόνηση	adestramento
ανάκληση	recordo
ανάκληση	lembro
αισθητήρα	sensor
κατηγορούμενοι	dos
κατηγορούμενοι	acusados
κατηγορούμενοι	acusado
κατηγορούμενοι	os
κατηγορούμενοι	imputados
αποθηκεύονται	almacénanse
αποθηκεύονται	almacenados
κινέζικο	os
κινέζικο	chineses
κινέζικο	chinés
κινέζικο	chinesas
κινέζικο	chinesa
κέρας	corno
πρόωρη	cedo
πρόωρη	primeiras
εξώφυλλα	cobre
έξυπνο	intelixente
έξυπνο	intelixente
έξυπνο	intelixentes
έξυπνο	listos
έξυπνο	moi
έξυπνο	listo
κοσμολογία	cosmoloxía
τύμπανο	drum
ξαφνική	súpeto
ξαφνική	de
ξαφνική	repentino
τιμωρήσει	castigar
ψηλή	alto
ψηλή	alta
μάιλς	km
μάιλς	quilómetros
μάιλς	millas
μάιλς	kilómetros
μάιλς	a
αδύναμη	débil
μπύρα	cervexa
καταναλώνουν	consumir
καταναλώνουν	consumimos
τροφοδοσία	comer
τροφοδοσία	alimentar
τροφοδοσία	poderán
τροφοδοσία	de
τροφοδοσία	manter
κριστιάν	christiane
κριστιάν	christian
κριστιάν	cristiáns
ρεαλιστική	realista
ρεαλιστική	realistas
ανεργίας	paro
παραδέχτηκε	mañá
χελώνες	tartarugas
μίκυ	mickey
μίκυ	micky
τηλεθεατές	espectadores
τηλεθεατές	audiencia
ομοσπονδιακός	federal
ομοσπονδιακός	circuíto
ομοσπονδιακός	federais
εξαφανίστηκαν	desapareceron
εξαφανίστηκαν	desapareceu
παρόμοιος	similar
παρόμοιος	similares
παρόμοιος	semellantes
παρόμοιος	semellante
παρόμοιος	parecido
παρόμοιος	parecidas
πνευματικός	espiritual
πνευματικός	senda
απλούστερο	máis
ρομαντικό	romántico
ρομαντικό	románticos
φωνάζει	berran
καλύβα	casa
καλύβα	cabana
πέρι	perry
γεμίσει	cubrir
γεμίσει	encher
καπιταλισμού	o
καπιταλισμού	capitalismo
εφιάλτης	pesadelo
τροχός	roda
αποθηκεύεται	almacénanse
αποθηκεύεται	almacenados
συμβόλαια	contratos
διάλεξε	elixir
διάλεξε	escollen
διάλεξε	escoller
διάλεξε	que
διάλεξε	o
διάλεξε	a
διάλεξε	escolle
διάλεξε	recoller
ξεχάσει	esqueceu
ξεχάσει	esqueciches
ξεχάσει	esquecín
τρίμηνο	cuarto
προεπιλογή	defecto
προεπιλογή	por
παράλογο	absurdas
λόφοι	outeiros
επεξήγηση	explicación
παρενόχληση	acoso
ψήφος	votamos
ψήφος	voto
ψήφος	votan
ψήφος	votar
ψήφος	votos
ψήφος	voten
ιρλανδοί	irlandés
ιρλανδοί	irlandeses
ιρλανδοί	irlandesa
πετώντας	a
πετώντας	voando
πετώντας	voar
μαμά	mamá
μαμά	nai
μαμά	mamá
μαμά	nai
μαμά	mamá
μαμά	nai
μαμά	mamá
μαμά	mami
έκαψε	queimado
έκαψε	queimaron
έκαψε	queimou
έκαψε	queimados
αιχμή	pico
εφήβους	adolescentes
εφήβους	adolescencia
πύραυλοι	mísiles
πύραυλοι	foguetes
πύραυλοι	pasaron
ριζοσπαστική	radical
ριζοσπαστική	radicais
εστίαση	centrar
εστίαση	centre
εστίαση	centrarse
εστίαση	centramos
εστίαση	centrarme
εστίαση	foco
εστίαση	focalizar
εστίαση	fixarnos
διασκέδαση	ben
διασκέδαση	divertido
διασκέδαση	divertida
διασκέδαση	entretemento
ρολόγια	ve
ρολόγια	reloxos
ρολόγια	mira
συνομιλία	conversación
συνομιλία	conversa
συνομιλία	sobre
φυλετική	racial
φυλετική	raciais
ταλέντα	talento
σπέρματα	sementes
τιμωρείται	castigada
τιμωρείται	castigado
ναυπήγηση	construción
ναυπήγηση	construcción
ναυπήγηση	construír
ναυπήγηση	construtora
ρεξ	rex
χωλ	hall
χωλ	corredor
χωλ	concello
χωλ	civil
χωλ	sede
ελευθεριών	liberdades
σταματάει	paradas
σταματάει	frea
σταματάει	detén
σταματάει	deixa
σταματάει	se
βίαιο	violentos
βίαιο	violenta
βίαιο	violentas
βίαιο	violento
βίαιο	violencia
επιβιώνουν	sobrevivir
επιβιώνουν	sobrevivimos
επιβιώνουν	á
επιβιώνουν	sobreviven
επιβιώνουν	sobreviva
επιβιώνουν	ser
επιβιώνουν	humano
λαιμός	gorxa
λαιμός	pescozo
λαιμός	par
λαιμός	deles
λαιμός	caluga
πουκάμισο	camisa
πουκάμισο	camiseta
χρυσάφι	ouro
χρυσάφι	de
βιταμίνης	vitamina
κατασκήνωση	campo
κατασκήνωση	campamento
κατασκήνωση	acampamento
κατασκήνωση	do
κατασκήνωση	campamento
κατασκήνωση	acampando
τρέχουσες	actual
τρέχουσες	actuais
τρέχουσες	que
τρέχουσες	súa
τρέχουσες	corrente
μαρς	marte
γκάι	tipo
γκάι	home
προσθέστε	engadir
προσθέστε	dous
λειτουργικές	funcionais
λειτουργικές	funcional
απόδραση	fuxida
απόδραση	escapar
απόδραση	da
απόδραση	fugarse
απόδραση	fuxir
απόδραση	fuga
απόλυτος	absoluta
απόλυτος	absoluto
απόλυτος	absolutos
απόλυτος	absolutamente
κριτής	xuíz
κριτής	xulgar
διεπαφή	interface
διεπαφή	usuario
μαριάννα	marianne
μαριάννα	marianka
παγωμένο	xeado
παγωμένο	conxelación
χάρμπορ	porto
επηρεάστηκαν	afectados
καταστροφικές	devastadora
πανικό	pánico
πλαστική	plásticos
πλαστική	os
πλαστική	de
πλαστική	plástico
άξια	dignos
άξια	respectábeis
βοοειδή	gando
βοοειδή	vacas
βοοειδή	gado
ταξίδευε	por
ταξίδευε	viaxou
έκαστος	entre
έκαστος	cada
έκαστος	uns
έκαστος	un
γίγαντα	un
γίγαντα	xigantes
γίγαντα	xigante
μετοχή	compartir
μετοχή	comparten
μετοχή	compartimos
μετοχή	a
μετοχή	parte
ψέμα	mentiras
ψέμα	mentira
ψέμα	mentir
αμφισβήτησε	interrogado
εισοδήματα	os
εισοδήματα	ingresos
εισοδήματα	do
εισοδήματα	ingreso
εισοδήματα	renda
τρόμο	terror
γραμματόσημο	filatelia
γραμματόσημο	selo
λιγότεροι	menos
κάμερες	cámaras
ομιλητής	♪
ομιλητής	falante
μοναξιά	fica
μοναξιά	illado
μοναξιά	soidade
μοναξιά	soa
μοναξιά	só
γενναίος	valentes
γενναίος	valente
καταφύγια	refuxios
προηγούμενος	anteriores
πέτα	e
πέτα	pilotar
πέτα	voar
πέτα	voan
πέτα	voarei
πέτα	voe
πέτα	voo
περίπλοκο	complicado
περίπλοκο	complexas
περίπλοκο	complicadas
ένδεκα	once
μεγαλώνουν	crecen
μεγαλώνουν	medrar
μεγαλώνουν	medran
μεγαλώνουν	cultivar
μεγαλώνουν	crecer
μεγαλώνουν	medra
προφανή	obvio
προφανή	obvia
προφανή	evidentes
προφανή	normal
προφανή	fixo
προφανή	claro
πρίν	de
πρίν	antes
ασφαλείς	salvo
ασφαλείς	segura
ασφαλείς	seguro
ασφαλείς	seguros
ασφαλείς	a
σκέτο	chaira
σκέτο	costa
σκέτο	plano
σκέτο	claro
σκέτο	tenra
καθορισμός	determinación
κεραυνό	canóns
κεραυνό	trono
κεραυνό	os
κεραυνό	tronos
υπέροχη	marabillosas
υπέροχη	marabilloso
υπέροχη	marabillosa
υπέροχη	fermoso
υπέροχη	encantador
υπέροχη	preciosa
ζέστη	calefacción
ζέστη	calor
ζέστη	o
ζέστη	quente
ζέστη	calor
διαβήτης	diabetes
πάρτυ	festa
πάρτυ	partido
πολυ	moi
εφηύρε	inventou
ελλαδα	grecia
οικονομίες	aforros
οικονομίες	economías
μικρόφωνο	micrófono
μικρόφωνο	micrófono
βλήματα	mísiles
πιθανός	posible
πιθανός	sexa
πιθανός	posíbel
σύναξη	reunión
εξάσκηση	unha
εξάσκηση	práctica
εξάσκηση	practicar
εξάσκηση	exercen
δουλεύοντας	traballando
δουλεύοντας	a
δουλεύοντας	traballar
δουλεύοντας	traballo
βάρκες	barcos
βαθύτερα	máis
κοίτα	mira
χωρικοί	campesiños
χωρικοί	dos
χωρικοί	labregos
χωρικοί	aldeáns
επιβίωσε	sobrevivir
επιβίωσε	sobrevivimos
επιβίωσε	á
επιβίωσε	sobreviven
επιβίωσε	sobreviva
επιβίωσε	ser
επιβίωσε	humano
πισίνα	piscina
πισίνα	a
σχεδιασμένα	deseñados
σχεδιασμένα	para
σχεδιασμένα	deseñadas
σχεδιασμένα	deseñado
σχεδιασμένα	deseñamos
ύποπτος	sospeitoso
φόρεμα	vestido
φόρεμα	traxes
φόρεμα	vestido
φόρεμα	roupa
εταίρος	socio
γέλιο	risos
γέλιο	risas
γέλιο	rir
γέλιο	de
γέλιο	nunca
γέλιο	rir
γέλιο	risa
γέλιο	rían
απόψε	esta
απόψε	noite
απόψε	hoxe
ενοχή	culpa
υποκείμενα	temas
υποκείμενα	suxeitos
τεμάχια	pezas
τεμάχια	clave
τεμάχια	anacos
τεμάχια	pedazos
γκλόρια	gloria
βιώσιμη	sostible
ιπτάμενο	a
ιπτάμενο	voando
ιπτάμενο	voar
οπές	buratos
οπές	buracos
νότιγχαμ	nottingham
μετάξι	seda
μετάξι	de
ταμίας	caixeiro
ευκολότερο	máis
ευκολότερο	doado
ευκολότερο	fácil
ομοιόμορφη	uniforme
απαγορευμένη	prohibido
απαγορευμένη	prohibidas
ακίνητα	vivenda
ακίνητα	propiedade
ακίνητα	propiedades
αντιλαμβάνονται	percibir
θνησιμότητα	infantil
θνησιμότητα	mortalidade
γενετικό	xenética
γενετικό	xenéticas
γενετικό	xenéticos
γενετικό	xenético
εμπορεύματα	bens
εμπορεύματα	luxo
εμπορεύματα	o
εμπορεύματα	ben
οπως	como
οπως	coma
οπως	así
σπόρων	sementes
σπόρων	semente
παχυσαρκία	obesidade
παχυσαρκία	a
γουίλι	willie
τζέφερσον	jefferson
συμπαγές	sólida
υποψήφιες	candidatos
μειοψηφία	minoría
απόκριση	á
απόκριση	resposta
απόκριση	reacción
τζίνι	jeannie
τζίνι	e
αιφνίδια	súpeto
αιφνίδια	de
αιφνίδια	repentino
πράσινος	verde
πράσινος	verdes
πράσινος	green
ορμόνες	hormonas
φάρμα	granxa
φάρμα	a
φάρμα	campo
φάρμα	leira
φάρμα	casa
φάρμα	reserva
έμπειρος	experimentou
έμπειρος	experiencia
έμπειρος	experimentado
έμπειρος	nisto
κρυμμένο	oculto
κρυμμένο	oculta
κρυμμένο	ocultas
κρυμμένο	escondidos
κρυμμένο	escondidas
μαθήτρια	estudante
μαθήτρια	estudantes
μαθήτρια	alumno
σχετικός	parente
γενναία	valentes
γενναία	valente
έρημος	deserto
έρημος	sobremesa
συνειδητά	consciente
συνειδητά	conscientemente
δανικά	danés
δανικά	daneses
σκαλοπάτια	escaleiras
σκαλοπάτια	as
σκαλοπάτια	escaleira
σκαλοπάτια	pasos
σύζυγοι	mulleres
σύζυγοι	as
σύζυγοι	esposas
σύζυγοι	súas
γράψτε	escribir
γράψτε	escribe
γράψτε	escribo
κούρσα	carreira
κούρσα	raza
κούρσα	a
κούρσα	internacional
δοκίμασε	tentar
δοκίμασε	intentar
οικιακή	doméstica
οικιακή	caseira
βιολιά	violíns
ντακότα	dakota
φανταστικά	fantástico
φανταστικά	fantástica
ένσταση	obxección
γεφυρών	bridges
γεφυρών	pontes
πολεμοφόδια	munición
πολεμοφόδια	municións
πολεμοφόδια	cartuchos
πάρε	a
στρατούς	exércitos
απρίλη	abril
απρίλη	de
ραβδί	quedarei
στρογγυλή	redondo
στρογγυλή	redondos
στρογγυλή	xira
στρογγυλή	arredor
στρογγυλή	preto
μόλυβδος	conducir
μόλυβδος	levar
μόλυβδος	a
μόλυβδος	até
υποδοχέα	receptor
μπαμπά	pai
μπαμπά	papá
μπαμπά	pai
μπαμπά	papá
μπαμπά	papá
κασέτα	cinta
μπάνιο	ducha
μπάνιο	baño
μπάνιο	cuarto
μπάνιο	baño
αλλάχ	alá
βιολογικό	biolóxicas
βιολογικό	biolóxica
βιολογικό	biolóxico
βιολογικό	biolóxicos
πρωτοπόροι	pioneiros
βοηθήματα	sida
επιφύλαξη	reserva
πειραματικές	experimental
ογδόντα	aquí
πόθος	desexo
άμεσος	directa
υπαίθρια	fóra
υπαίθρια	aire
υπαίθρια	exterior
επέτειος	aniversario
ντίλαν	dylan
δίκαιη	xusto
δίκαιη	feira
αδίκημα	delito
μπέι	baía
διασυνδέσεις	conexións
τζέφρι	geoffrey
αλλοίωση	lesión
ζημίες	perdas
ζημίες	as
ζημίες	danos
ζημίες	dano
άγνωστοι	estraños
άγνωστοι	descoñecidos
άγνωστοι	forasteiros
οπλισμένο	armados
οπλισμένο	armado
οπλισμένο	armada
οπλισμένο	armadas
ψευδή	falsa
ψευδή	falso
γέρος	anos
γέρος	vellos
γέρος	vello
γέρος	vella
πίστεψε	cres
πίστεψε	creo
πίστεψε	que
πίστεψε	crer
πίστεψε	cremos
εργάτης	traballador
εργάτης	social
εργάτης	obreiro
εργάτης	obreiros
εργάτης	parado
κεντρο	centro
κεντρο	center
κεντρο	de
προκατάληψη	prexuízos
απομένει	segue
απομένει	queda
απομένει	a
απομένει	ser
απομένει	restos
απομένει	continúa
απομένει	fica
απομένει	restante
απομένει	para
επίγνωση	conciencia
επίγνωση	cognición
σπάζοντας	mesmo
γρηγορότερα	máis
γρηγορότερα	rápido
γρηγορότερα	axiña
γρηγορότερα	rápida
ιεροκήρυκας	sacerdote
διάβασμα	lendo
διάβασμα	ler
διάβασμα	lectura
διάβασμα	a
σίνγκερ	cantante
βέιλ	vail
βέιλ	sra
έγραψες	escribín
έγραψες	escribiron
έγραψες	escribiume
έγραψες	escribiu
έγραψες	a
ψηλός	alto
ψηλός	alta
τυπικός	típico
διαφυγή	fuxida
διαφυγή	escapar
διαφυγή	da
διαφυγή	fugarse
διαφυγή	fuxir
διαφυγή	fuga
ασήμαντο	trivial
συσκευασία	paquete
πωλητής	vendedor
πωλητής	vendedor
πωλητής	libro
πωλητής	máis
πωλητής	vendido
βαθειά	no
βαθειά	fondo
βαθειά	profundo
βαθειά	profundidade
βαθειά	de
φρουροί	gardas
κόκκινοι	comunistas
τεράστιος	enormes
τεράστιος	enorme
τεράστιος	gran
τεράστιος	xigante
τεράστιος	grande
τεράστιος	enorme
τεράστιος	enormes
ταλιμπάν	talibáns
κοινωνιολόγος	sociólogo
κοινωνιολόγος	toma
ομολογίες	confesións
μουν	lúa
μουν	moon
έξυπνη	intelixente
έξυπνη	intelixente
έξυπνη	intelixentes
έξυπνη	intelixente
έξυπνη	intelixentes
έξυπνη	listos
έξυπνη	moi
έξυπνη	listo
κάηκαν	queimado
κάηκαν	queimaron
κάηκαν	queimou
κάηκαν	queimados
αντισταθεί	resistir
αντισταθεί	resista
αντισταθεί	os
συνηθισμένος	común
συνηθισμένος	cotiáns
συνηθισμένος	era
συνηθισμένος	ordinario
συνηθισμένος	correntes
συνηθισμένος	normais
συνηθισμένος	simple
συνηθισμένος	banal
ενήλικο	adultos
ενήλικο	adulta
ενήλικο	adulto
ενήλικο	dun
αιματηρή	maldito
αιματηρή	idiota
αιματηρή	malditos
τζόι	joey
τζόι	pío
τζόι	joska
φιλοδοξία	aspiración
φιλοδοξία	obxetivo
φιλοδοξία	ambición
άδειο	baleira
άδειο	baleiro
άδειο	baleiras
άδειο	valeiro
έκλεψε	roubei
έκλεψε	roubaron
έκλεψε	roubaches
έκλεψε	o
έκλεψε	roubou
έκλεψε	estola
έκλεψε	rouboume
αναμόρφωση	rehabilitación
αναμόρφωση	reforma
αναμόρφωση	reformatorio
τρελή	tola
τρελή	tolos
τρελή	tolas
τρελή	tolo
απομονωμένη	illado
απομονωμένη	illada
εδω	aquí
σκοτεινά	escuras
σκοτεινά	escuro
σκοτεινά	escura
σκοτεινά	escuridade
σκοτεινά	noite
τάιλερ	tyler
ενθάρρυνση	e
κατάσκοπος	espía
κανονικός	regularmente
κανονικός	normal
κανονικός	típica
κανονικός	de
κανονικός	taxis
κανονικός	regular
στοίχημα	aposta
στοίχημα	apostar
στοίχημα	a
στοίχημα	aposto
στοίχημα	que
στοίχημα	seguro
ευχάριστο	agradábel
πιάστηκε	atrapado
πιάστηκε	colleran
νταϊάνα	diana
γιατι	por
γιατι	que
γιατι	iso
επιτήρηση	vixilancia
θόρυβος	ruido
θόρυβος	ruído
θόρυβος	son
φιλανθρωπική	caridade
καθολικές	católica
καθολικές	católico
καθολικές	catholic
θύλακες	nos
θύλακες	petos
καθαρότητας	pureza
κυρίες	señoras
κυρίες	damas
κυρίες	mozas
κυρίες	señores
κυρίες	señoritas
κυρίες	donas
κυρίες	as
μπαταρία	batería
υγιή	san
υγιή	saúde
υγιή	sans
υγιή	saudable
συνιστώσα	compoñente
χο	ho
χο	veña
οδήγησης	conducir
οδήγησης	conducindo
οδήγησης	a
αλήθειες	verdades
αντλία	surtidor
στίγματα	manchas
φυλακισμένος	preso
φυλακισμένος	prisioneira
φυλακισμένος	prisioneiro
φυλακισμένος	prisioneiros
πικ	picnic
σκουπίδια	lixo
σκουπίδια	lixo
σκουπίδια	do
σκουπίδια	parvadas
ζωολογικό	ángeles
ζωολογικό	zoolóxico
ζωολογικό	zoo
καταστροφικό	devastadora
καθρέφτη	o
καθρέφτη	espello
πολική	polar
πολική	polares
καταναλωτών	consumidores
χαντ	cazar
συκώτι	fígado
σούπα	sopa
σούπα	xantar
κίτρινος	amarelos
κίτρινος	amarelas
κίτρινος	amarela
κίτρινος	marelo
κίτρινος	taxi
απομονωμένο	illado
απομονωμένο	illada
μαρξιστική	marxista
χαμένος	perdeu
χαμένος	perderon
χαμένος	perdín
χαμένος	perdemos
χαμένος	perdido
θαυμαστής	fan
χάμφρεϊ	humphrey
δρομολόγιο	ruta
σύντηξη	fusión
σύντηξη	reactor
κραυγές	berran
κραυγές	prantos
κραυγές	chora
κραυγές	os
ποικιλομορφία	diversidade
κάθισμα	sentar
κάθισμα	asento
κάθισμα	sitio
κάθισμα	senta
κάθισμα	séntese
κάθισμα	sente
εννοώντας	significado
εννοώντας	sentido
εννοώντας	que
εννοώντας	significa
εννοώντας	explican
εννοώντας	o
σιταριού	trigo
περίεργη	curioso
πανικού	pánico
φιλελεύθερος	libertario
φιλελεύθερος	liberais
φιλελεύθερος	liberal
τοξικά	tóxicos
τοξικά	tóxica
χάρρυ	harry
ριζοσπαστικό	radical
ριζοσπαστικό	radicais
φτωχό	pobre
φτωχό	pobres
ατσάλι	aceiro
ατσάλι	de
ατσάλι	ferro
ατσάλι	o
ατσάλι	raís
νοσοκόμα	enfermeira
ιδιαιτερότητες	problemas
ιδιαιτερότητες	os
δανοί	danés
δανοί	daneses
συνεταιρισμός	cooperativas
συνεταιρισμός	cooperativa
συνεταιρισμός	dos
καθαρισμός	limpando
καθαρισμός	a
καθαρισμός	limpeza
καθαρισμός	da
χειριστής	operadora
αντίο	adeus
αντίο	logo
αντίο	deica
αντίο	chao
αντίο	deica
αντίο	bico
αντίο	adeus
μίκι	mickey
μίκι	micky
βοσκός	pastor
βοσκός	pastorciño
μαντήλι	pano
χειροκίνητα	manual
ρόουντς	rhodes
κρασιά	viño
παραθύρων	fiestras
ωκεανούς	océanos
απαρτχάιντ	apartheid
προτείνετε	suxerir
προτείνετε	que
προτείνετε	suxiro
προτείνετε	propoñen
προτείνετε	suxiren
προτείνετε	aconsellan
προτείνετε	que
πανώλη	peste
ενω	mentres
ενω	tempo
ανέκδοτο	broma
ανέκδοτο	chiste
ανέκδοτο	bromas
ανέκδοτο	gracia
ανέκδοτο	conto
ζούγκλα	selva
τούνελ	túneles
μπόστον	boston
μπόστον	de
χωρισμός	separación
ταχύτερη	máis
ταχύτερη	rápido
ταχύτερη	axiña
ταχύτερη	rápida
τρικ	truco
φρέσκο	fresco
φρέσκο	fresca
φρέσκο	frescos
φρέσκο	descarado
φρέσκο	descarados
φρέσκο	frescas
φρέσκο	cambiar
εκτεθεί	exposto
εκτεθεί	á
απεργίες	folgas
μαγικά	maxia
μαγικά	máxico
μαγικά	máxica
μαγικά	máxicos
μαγικά	máxico
ορφανά	orfos
επιθεωρητή	inspector
επιθεωρητή	comisario
σωλήνας	pipa
σωλήνας	cachimba
σωλήνας	con
σωλήνας	esta
