avhandlingen	dizertaci
rydde	čistá
prøvd	pokus
prøvd	zkusil
prøvd	zkoušela
prøvd	zkusila
prøvd	zkoušeli
prøvd	zkoušel
mtv	mtv
avgang	odjezd
avgang	odlet
avgang	odjezdu
carsten	carsten
pistol	pistoli
pistol	pistol
pistol	pistole
pistol	zbraň
pistol	pistole
brigade	brigáda
brigade	brigády
fisher	fisher
primær	primární
odense	odense
strategiske	strategické
strategiske	strategický
strategiske	strategická
rico	rico
thoresen	thoresen
tydeligvis	evidentně
tydeligvis	zřejmě
tydeligvis	zjevně
tydeligvis	očividně
tydeligvis	jednoznačně
tydeligvis	jasně
tydeligvis	zřetelně
tydeligvis	očividně
tydeligvis	očividně
skjell	náboje
skjell	mušle
skjell	skořápky
oppmerksom	pozorný
blogg	blog
blogg	blogu
ansiktet	tvář
ansiktet	obličej
ansiktet	face
say	řekněme
say	řekněte
say	řekni
beat	beat
beat	porazit
jomfru	panenské
jomfru	panic
jomfru	panna
jomfru	dívčí
ferdige	dokončeno
ferdige	dokončené
ferdige	skončil
ferdige	hotovo
camilla	camilla
punk	punk
bagdad	bagdádu
elst	elst
sum	částka
sum	suma
sum	součet
ruiner	trosky
ruiner	troskách
ruiner	ruiny
fabrikk	továrně
fabrikk	továrna
designer	návrhář
designer	navrhování
designer	projektování
sjuende	sedmé
sjuende	sedmá
sjuende	sedmý
viggo	viggo
tyskere	němců
tyskere	němci
small	malé
small	malý
small	malá
elektroniske	elektronický
elektroniske	elektronická
elektroniske	elektronické
ronny	ron
ronny	ronny
myspace	myspace
skytter	střelec
familiene	rodiny
inspirerte	inspirovala
inspirerte	inspiroval
rick	rick
rick	ricka
düsseldorf	düsseldorf
düsseldorf	düsseldorfu
perry	perry
perry	perryho
oppføringer	položky
oppføringer	zápisy
oppføringer	záznamy
helene	helene
helene	helena
helene	helen
hart	hart
hart	hartová
opposisjon	opozice
opposisjon	nesouhlas
opposisjon	odpor
seven	sedm
seven	sedmička
farlige	nebezpečné
farlige	nebezpečný
farlige	nebezpečná
bachelor	mládenec
bokstav	dopis
bokstav	písmeno
sean	sean
sean	seana
helle	helle
anmeldelse	recenze
anmeldelse	přezkumu
anmeldelse	přezkum
konsekvens	důsledek
konsekvens	následek
konsekvens	důsledky
konsekvens	následky
konsekvens	soudržnost
konsekvens	soulad
hop	hop
gjest	host
rise	vzestup
rise	vzestupu
pater	otče
pater	otec
aage	aage
pearl	pearl
pearl	perlu
pearl	perla
negativt	záporné
negativt	negativní
böhmen	bohemia
böhmen	čechy
böhmen	čech
irish	irský
irish	ir
irish	irské
irish	irská
artilleri	dělostřelectvo
hrsg	hrsg
oval	oválné
fis	prd
lagre	uložit
arkansas	arkansasu
kyst	pobřeží
illustrasjon	ilustrace
deltagere	účastníci
deltagere	účastníky
deltagere	účastníků
oppfatter	vnímat
orleans	orleans
splittet	rozdělený
splittet	rozdělené
splittet	rozdělená
splittet	rozdělena
varm	horko
varm	sexy
varm	hot
varm	horké
varm	teplé
varm	teplo
varm	teplá
varm	teplý
massakren	masakr
mekanisk	mechanické
mekanisk	mechanická
mekanisk	mechanický
helgen	víkendové
helgen	víkend
helgen	svatý
helgen	světec
helgen	svatá
helgen	saint
aston	aston
terreng	terénní
terreng	terénu
terreng	terén
mason	masona
mason	mason
uro	nepokoje
striper	proužky
striper	pruhy
arkeologisk	archeologické
xiv	xiv
gatene	ulice
gatene	ulic
gene	gene
gene	gen
tunisia	tunisko
annie	annie
ammunisjon	střeliva
ammunisjon	munici
ammunisjon	munice
ammunisjon	střelivo
ammunisjon	munici
ammunisjon	munice
ammunisjon	střelivo
kiss	pusa
kiss	pusu
kiss	kiss
kiss	polibek
sigmund	sigmund
eriksson	eriksson
campus	areál
campus	kampusu
annonsert	oznámil
annonsert	oznámila
annonsert	oznámili
annonsert	oznámeno
balkan	balkán
balkan	balkánu
balkan	balkán
balkan	balkánu
kommersielt	komerční
kommersielt	obchodní
stabile	stáj
stabile	stabilní
fangene	vězně
fangene	vězni
fangene	zajatci
christoph	christoph
parentes	držák
parentes	závorkách
fornøyd	spokojený
fornøyd	spokojen
fornøyd	šťastný
fornøyd	radost
fornøyd	šťastná
fornøyd	happy
nettverket	síť
nettverket	sítě
kaliber	ráže
kaliber	kalibr
gerais	gerais
holocaust	holocaustu
cello	čelo
cello	cello
mangfold	různorodost
mangfold	rozmanitost
mangfold	rozmanitosti
cover	krýt
cover	obal
cover	krytí
cover	pokrytí
rolig	snadný
rolig	snadné
rolig	jednoduché
santo	santo
ryttere	jezdci
ryttere	jezdci
ryttere	jezdce
deltaker	účastník
deltaker	soutěžící
deltaker	účastník
filosofen	filozof
gjenopprettet	obnovené
gjenopprettet	obnoven
gjenopprettet	obnovena
forent	jednotné
forent	jednotná
forent	united
forent	spojených
forent	spojené
utenlandsk	zahraniční
utenlandsk	cizí
randi	randi
lørenskog	lørenskog
nedgang	pokles
nedgang	odmítnout
nedgang	úpadek
nedgang	zamítnout
nedgang	pokles
nedgang	snížit
nedgang	snížení
federation	federaci
federation	federace
agnes	agnes
isaac	isaac
skeptisk	skeptický
skeptisk	skeptický
symfoni	symfonie
phillips	phillips
gata	ulice
powell	powell
samsvar	soulad
samsvar	dodržování
scotland	skotsko
scotland	skotska
albumene	alba
albumene	alb
klatre	vylézt
klatre	stoupání
klatre	šplhat
personlighet	osobnost
personlighet	osobnosti
tidsskrifter	časopisy
oberstløytnant	plukovník
oberstløytnant	plukovníku
sjanse	šance
sjanse	chance
sjanse	šanci
stanset	zastavil
stanset	přestalo
stanset	zastaveno
stanset	přestal
sakte	pomalu
halve	polovina
halve	půlka
halve	půl
halve	polovinu
halve	napůl
skritt	krok
skritt	schod
skritt	kroků
skritt	schody
skritt	kroky
castilla	kastilie
castilla	castilla
organisk	bio
organisk	organický
organisk	organická
organisk	organické
organisk	ekologické
hundrevis	stovky
amanda	amanda
søsteren	sestra
paulsen	paulsen
bratt	strmé
rot	bordel
rot	nepořádek
rot	nepořádek
rot	root
rot	kořen
palmer	palmera
palmer	palmer
jennifer	jennifer
kjerne	jádro
kjerne	core
kjerne	jádro
dømte	odsouzený
dømte	usvědčen
dømte	odsouzen
dømte	souzen
opplevd	zkušený
opplevd	zažil
made	vyrobil
made	vyrobeny
made	vyrobený
made	udělal
made	vyrobené
made	vyrobeno
skuespillerinnen	herečka
skuespillerinnen	herečky
olivier	olivier
tjue	twenty
tjue	dvacet
eksport	export
eksport	exportovat
eksport	vývoz
eksport	export
sonja	sonja
roskilde	roskilde
mozart	mozart
opprettholdt	udržována
opprettholdt	zachována
opprettholdt	udržovány
names	názvy
names	jména
leon	leona
leon	leone
leon	leon
mater	mater
mater	krmení
jenny	jenny
tsjekkiske	česká
tsjekkiske	české
tsjekkiske	česky
tsjekkiske	český
tsjekkiske	česko
prinsen	princi
prinsen	kníže
prinsen	prince
prinsen	princ
skulpturer	socha
skulpturer	sochy
skulpturer	sochy
brekke	zlom
brekke	zlomit
brekke	pauza
brekke	přestávka
grey	šedá
grey	grey
grey	šedé
grey	greyová
grey	šedý
grey	šedivý
valencia	valencia
pastor	pastore
pastor	farář
pastor	pastor
pastor	pastora
forandringer	změny
forandringer	změn
innsiden	dovnitř
innsiden	uvnitř
innsiden	vevnitř
bryst	ňadra
bryst	prsa
bryst	poprsí
bryst	prsa
bryst	prsu
pike	pike
analyser	členění
analyser	rozdělení
analyser	analyzovat
analyser	analyzovat
analyser	analýz
analyser	analýzy
hersket	vládl
sørger	truchlí
sørger	truchlení
sørger	smutek
sørger	smuteční
sådan	takové
sådan	taková
sådan	takový
sektor	sektor
sektor	odvětví
sektor	sektoru
krysse	křížem
krysse	křížek
krysse	kříž
krysse	přejít
krysse	cross
låt	písnička
låt	skladba
låt	píseň
låt	song
metamorfose	proměna
metamorfose	proměny
strukturer	struktury
strukturer	stavby
strukturer	konstrukce
montana	montana
serbiske	srbské
presenterer	představujeme
beleiret	obležení
ghana	ghana
forhindret	zabráněno
forhindret	zabránilo
tallinn	tallinnu
stafetten	relé
rapporter	nahlásit
rapporter	zpráva
rapporter	report
rapporter	hlášení
rapporter	nahlášení
rapporter	zprávy
rapporter	hlášení
romantisk	romantický
romantisk	romantika
romantisk	romantická
romantisk	romantik
romantisk	romantické
kosovo	kosova
kosovo	kosovu
kosovo	kosovo
mind	mysl
avansert	pokročilý
avansert	vyspělá
avansert	pokročilé
avansert	pokročilá
henviser	odkazovat
komponerte	skládání
tórshavn	tórshavn
begrense	omezit
begrense	omezující
please	prosím
biologi	biologie
søstre	sestry
søstre	sester
bestemmelser	předpisy
bestemmelser	nařízení
bestemmelser	ustanovení
munnen	pusa
munnen	ústa
munnen	pusu
verdensbasis	celosvětový
verdensbasis	celosvětové
verdensbasis	celosvětová
verdensbasis	celosvětově
cameron	cameron
cameron	cameronová
rasende	rozzuřený
rasende	zuřivý
rasende	zběsile
rasende	rozzuřený
ofre	obětí
ofre	obětem
ofre	oběti
siri	siri
kjøper	kupec
kjøper	kupující
kjøper	kupce
kjøper	nákup
uka	týden
uka	tyden
offer	obětí
offer	obětem
offer	oběti
offer	obětí
offer	oběť
offer	oběti
hanna	hanno
hanna	hannu
hanna	hanna
avhenger	závisí
pat	pata
pat	pat
holmes	holmes
holmes	holmese
columbus	kolumbus
leonardo	leonardo
testet	testovány
inkludere	zahrnovat
inkludere	zahrnout
besøke	návštěvu
besøke	navštívit
besøke	návštěva
besøke	navštivte
væske	tekutiny
væske	tekutina
væske	tekutý
væske	tekutina
væske	tekuté
væske	kapalina
graf	grafu
graf	graf
materiell	materiál
materiell	materiály
materiell	materiál
suite	apartmá
falske	nepravdivé
falske	falešné
stora	stora
sichuan	sichuan
aksel	aksel
ulrich	ulrich
fekter	šermíř
spirit	duchu
spirit	duch
marsjerte	pochodovali
odin	odin
variasjon	variace
variasjon	odrůdy
variasjon	odrůda
mrs	paní
husk	nezapomeňte
husk	pamatujte
macao	macao
macao	macau
spesialisert	specializované
skatter	poklady
skatter	poklad
skatter	poklady
skatter	pokladů
skatter	daní
skatter	daně
plasseringen	umístění
skillet	rozlišování
skillet	rozlišovat
harvey	harveyho
harvey	harvey
sosiologi	sociologie
hestesport	jezdecké
stipend	stipendia
stipend	stipendia
stipend	stipendium
moses	mojžíš
kairo	káhiře
veiledning	průvodce
veiledning	průvodci
veiledning	příručka
begrensninger	omezení
begrensninger	omezení
begrensninger	omezení
begrensninger	limity
begrensninger	meze
atferd	chování
atferd	chování
padling	kanoistika
bakterier	bakterie
bakterier	bakterií
hand	ruka
hand	ruku
logo	logo
logo	loga
miami	miami
kalender	kalendář
kalender	kalendáře
komposisjon	složení
dekk	gumy
dekk	pneumatiky
dekk	krýt
dekk	obal
dekk	krytí
dekk	pokrytí
dekk	paluba
dekk	palubě
dekk	palubu
dekk	paluby
bomber	bomby
portretter	portréty
innspill	vstupní
innspill	vstup
innspill	vstupy
haiti	haiti
utløste	spustilo
utløste	spuštěn
utløste	spuštěna
spesifikt	specifické
spesifikt	specifická
spesifikt	konkrétní
spesifikt	specifický
spesifikt	konkrétně
spesifikt	specificky
spesifikt	výslovně
uttrykt	vyjádřené
uttrykt	vyjádřila
uttrykt	vyjádřil
uttrykt	vyjádřeno
pilot	pilotní
pilot	pilote
pilot	pilot
mats	podložky
mats	rohože
sint	sint
sint	naštvaná
sint	rozzlobený
sint	naštvaný
sint	naštvaná
sint	šílený
sint	mad
iranske	íránský
iranske	íránské
kreta	kréta
ønskelig	požadovaný
ønskelig	žádoucí
ønskelig	žádoucí
child	dítě
child	dětská
progressiv	postupné
progressiv	progresivní
lært	naučil
luke	luke
luke	luka
luke	luku
luke	lukáš
bratte	strmé
peters	peters
jules	jules
elseif	elseif
rammer	rámy
kapital	kapitál
kamera	fotoaparát
kamera	foťák
kamera	kamera
kamera	kameru
gibraltar	gibraltaru
fullføre	úplná
fullføre	dokončit
fullføre	dokončeno
fullføre	kompletní
maine	maine
roberto	roberto
orig	orig
hen	slepice
hen	slepičí
distribusjon	distribuční
distribusjon	rozdělení
distribusjon	distribuce
distribusjon	rozložení
augusta	augusta
xiii	třináctka
xiii	xiii
placid	placid
ankomst	příjezdu
ankomst	příjezd
ankomst	příchod
ankomst	přílet
ankomst	eta
høgskole	vysoká
skriv	psát
skriv	napište
skriv	napiš
skriv	pište
skriv	napsat
skriv	druh
skriv	typu
skriv	typ
skriv	type
fyret	majáku
fyret	maják
trives	prosperovat
hamsun	hamsun
babylon	babylon
fett	tlustý
fett	tuk
fett	tučný
fett	tuky
fett	tlustá
betaling	pokladna
betaling	pokladny
betaling	výplata
betaling	platbu
betaling	platby
betaling	platba
betaling	plateb
betaling	platby
betaling	splátky
hindret	zabráněno
hindret	zabránilo
roosevelt	roosevelt
blokkering	blokování
blokkering	bloku
blokkering	blokovat
blokkering	blok
blokkering	zablokovat
blokkering	blokování
vilkår	podmínkami
vilkår	podmínky
vilkår	podmínkami
vilkår	termíny
vilkår	výrazy
vilkår	podmínky
bølger	vlny
bølger	vln
gerd	gerd
masters	masters
masters	mistři
masters	mistrů
masters	mistry
palass	paláce
palass	palác
palass	palace
moths	můry
eine	eine
banker	banks
banker	banky
banker	bankám
banker	bank
begått	spáchal
milton	milton
ruta	trasa
ruta	cesta
problematisk	problematické
forsiktig	opatrně
forsiktig	jemně
forsiktig	něžně
gyldig	platné
gyldig	platná
gyldig	platný
leire	hlína
leire	hlíny
leire	clay
trekkspill	harmoniku
tykk	hustý
tykk	husté
tykk	tlustý
tykk	hustá
talsmann	mluvčí
naval	námořní
vanskeligheter	obtíže
vanskeligheter	obtížích
vanskeligheter	obtíž
vanskeligheter	obtížné
vanskeligheter	potíže
vanskeligheter	potíže
vanskeligheter	obtíže
kontroversielle	kontroverzní
lin	lin
lin	lina
kraften	síla
nba	nba
fylte	naplněný
fylte	naplněná
fylte	naplnil
fylte	plněné
fornuftig	rozumný
fornuftig	rozumná
fornuftig	rozumné
fornuftig	rozumná
fornuftig	přiměřené
fornuftig	rozumný
fornuftig	přiměřený
fornuftig	rozumné
kanter	okraje
kanter	hrany
bestefar	dědeček
bestefar	děda
bestefar	dědečku
bestefar	dědeček
bestefar	děda
sony	sony
beskrivelsen	popis
sverdrup	sverdrup
mesa	mesa
sevilla	sevilla
sevilla	seville
innspilling	nahrávání
innspilling	zaznamenávání
innspilling	záznam
forklart	vysvětleno
forklart	vysvětlil
forklart	vysvětlila
trygg	bezpečné
trygg	bezpečná
trygg	trezor
trygg	bezpečný
trygg	sejf
handle	shop
handle	obchod
handle	prodejna
handle	jednat
handle	čin
handle	akt
handle	dějství
heidi	heidi
vern	verne
princeton	princetonu
princeton	princeton
sitat	citovat
sitat	cituji
sitat	citát
sitat	citace
register	registr
register	registrovat
register	zaregistrovat
knight	knight
knight	rytíři
knight	rytíř
vegas	vegas
aristoteles	aristoteles
temperaturer	teploty
avløst	ulevilo
lovlig	zákonné
lovlig	zákonný
lovlig	právní
lovlig	legální
lovlig	zákonné
lovlig	dovolena
rovers	rovers
beslutning	rozhodnutí
beslutning	rozhodování
sainte	sainte
bengt	bengt
yuan	yuan
six	šest
six	šestka
ward	ward
kjære	zlato
kjære	drahý
kjære	drahá
speed	otáčky
speed	speed
speed	rychlost
speed	rychlosti
creek	potoka
creek	potok
creek	creek
cole	cole
cole	cola
troll	troll
iver	iver
iver	horlivost
peak	špičkový
peak	vrcholu
peak	vrchol
varierte	rozmanité
varierte	různorodé
sukker	cukr
sukker	cukru
note	poznámka
ide	ide
ide	myšlenka
ide	idea
ide	nápad
behandler	obrábění
behandler	zpracovávání
behandler	zpracování
behandler	přepracování
ensemble	komplet
disk	disk
ekstreme	extrémní
ekstreme	krajní
skall	shell
flying	létání
flying	létající
flying	lítání
angi	sada
angi	set
angi	nastavit
angi	vstoupit
angi	vstup
angi	zadejte
angi	vstupte
hoppe	skočit
hoppe	skok
hoppe	hoppe
geologi	geologie
seattle	seattle
seattle	seattlu
innover	vnitrozemí
innover	vnitrozemských
geologiske	geologická
hjul	kolo
hjul	kolečko
hjul	kolečka
hjul	koly
hjul	kol
hjul	kola
beskrivelser	popisy
circuit	okruh
circuit	obvod
circuit	okruhu
prinsipp	zásada
prinsipp	zásady
prinsipp	princip
prinsipp	zásady
prinsipp	zásadami
prinsipp	principy
delhi	dillí
landevei	dálnici
landevei	dálnice
fiende	nepříteli
fiende	nepřítel
fiende	nepřítel
østlig	východní
pensjon	penzion
pensjon	penze
pensjon	důchod
pensjon	důchody
vitne	svědky
vitne	svědci
vitne	svědkové
vitne	svědek
vitne	svědka
vitne	svědkyně
håndverk	řemesla
håndverk	plavidlo
håndverk	řemeslo
håndverk	plavidla
håndverk	řemesla
ivrig	horlivý
västra	västra
heaven	nebe
heaven	nebesa
avslo	odmítl
avslo	odmítli
avslo	odmítnuta
avslo	odmítnuto
avslo	odmítl
avslo	zamítnuto
yorkshire	yorkshire
rikeste	nejbohatší
rikeste	nejbohatších
undersøkt	vyšetřoval
undersøkt	zkoumáno
sjøsatt	spuštěn
sjøsatt	zahájena
sjøsatt	zahájila
maría	maría
gylne	zlaté
gylne	zlatý
gylne	zlatí
gylne	golden
gylne	zlatá
cdu	cdu
utgiver	vydavatel
utgiver	vydavatele
utgiver	nakladatelství
utgiver	vydavatelé
øyeblikk	moments
øyeblikk	momenty
øyeblikk	okamžiky
øyeblikk	chvíle
øyeblikk	okamžik
øyeblikk	moment
øyeblikk	chvilka
øyeblikk	chvíle
øyeblikk	instantní
øyeblikk	okamžité
øyeblikk	okamžitá
øyeblikk	okamžitý
utfordringer	výzev
utfordringer	výzvy
ordinær	obyčejné
ordinær	obyčejná
ordinær	obyčejný
eksistere	existují
nora	nora
nora	nory
nora	noru
lei	věnec
lei	lei
produksjoner	productions
uganda	ugandě
blanke	lesklé
blanke	lesklý
samtaler	rozhovory
samtaler	konverzace
flatt	plochý
flatt	byt
flatt	ploché
flatt	plochá
arrangere	zařídit
elite	elita
elite	elity
elite	elitní
seksten	sixteen
seksten	šestnáct
riga	riga
ahmed	ahmed
kjemiker	chemik
baptiste	baptiste
tegneserier	komiks
tegneserier	komiksy
woods	lese
woods	lesy
nacional	nacional
representasjon	zastupování
representasjon	reprezentace
representasjon	zastoupení
stabil	stáj
stabil	stabilní
kjøp	nákupu
kjøp	koupě
kjøp	nákup
kjøp	zakoupit
kjøp	koupit
kjøp	zakoupit
kjøp	kup
kjøp	nákup
kjøp	nákupy
owen	owena
owen	owen
bretagne	brittany
bangladesh	bangladéši
bros	bros
herskere	vládci
tykke	hustý
tykke	husté
tykke	tlustý
tykke	hustá
jiang	jiang
tomme	palec
tomme	prázdné
tomme	prázdná
tomme	prázdno
tomme	prázdný
tomme	vyprázdnit
cat	cat
cat	kocka
cat	kočka
cat	kocour
coast	pobřeží
fyller	náplň
fyller	plnění
fyller	naplňuje
fortjener	zaslouží
before	než
before	před
before	předtím
mektig	mocná
mektig	mocný
mektig	mocná
mektig	mocný
mektig	mocní
avslutte	dokončit
kontoret	kancelář
kontoret	kanceláře
kontoret	úřad
kontoret	office
sporene	ostruhy
markedsføring	marketing
eugene	eugene
maur	mravence
maur	mravenčí
maur	mravenec
maur	mravence
maur	mravenců
maur	mravenci
bombefly	atentátník
bombefly	bombardér
bombefly	bombardéry
boks	box
boks	krabice
boks	kolonka
boks	krabička
boks	krabici
clarke	clarke
fattig	chudák
segl	těsnění
segl	seals
segl	pečeť
segl	seal
mayer	mayer
fisker	ryby
fisker	ryba
fisker	fish
fisker	rybí
fisker	rybičky
fisker	rybář
fisker	rybáři
fisker	rybáře
våpenskjold	crest
mecklenburg	meklenbursko
floyd	floyd
århus	aarhus
tottenham	tottenham
opprettes	vytvoří
opprettes	vytváří
opprettes	vytvořené
opprettes	stvořil
opprettes	vytvořeno
opprettes	vytvořil
opprettes	vytvořena
opprettes	vytvořen
avlange	protáhlé
frø	osiva
frø	semena
frø	semeno
frø	osivo
frø	osiva
frø	semínka
frø	semena
frø	osivo
mercury	rtuť
mercury	mercury
mercury	rtuti
mercury	merkur
vegetasjon	vegetace
policy	politika
utvist	vyloučen
maksimalt	maximálně
maksimalt	maximální
maksimalt	maximum
paolo	paolo
massiv	masivní
massiv	mohutný
germain	germain
simpson	simpsonová
simpson	simpson
earl	earl
earl	earle
rogers	rogers
salget	prodeje
salget	prodej
salget	prodejní
kobayashi	kobayashi
forsvarer	obhájce
forsvarer	obránce
forsvarer	bránit
produsenten	producent
produsenten	výrobce
rafael	raphael
rafael	rafael
rafael	rafael
regime	režim
overrasket	překvapený
overrasket	překvapen
any	jakékoliv
any	jakýkoliv
any	jakoukoli
any	jakoukoliv
any	jakékoli
kristine	kristine
opplevelser	zkušenosti
opplevelser	zážitky
tiger	tiger
tiger	tygří
tiger	tygr
dominerer	dominuje
ost	sýr
ost	sýry
takt	takt
brygge	mola
brygge	molu
brygge	molo
brygge	molo
muhammed	muhammad
muhammed	mohamed
ambassaden	ambasády
ambassaden	velvyslanectví
ambassaden	ambasáda
eduard	eduard
carnegie	carnegie
intervjuer	rozhovory
intervjuer	výslechy
madison	madison
survey	zjišťování
survey	průzkum
survey	dotazník
konsekvent	důsledně
konsekvent	soustavně
konsekvent	konzistentní
village	village
village	vesnice
elektrisitet	elektřina
elektrisitet	elektřiny
konkurrere	konkurovat
konkurrere	soutěžit
same	totéž
same	stejné
same	stejný
same	stejná
glemt	zapomněli
glemt	zapomněl
glemt	zapomenuto
glemt	zapomenuté
glemt	zapomněl
glemt	zapomněli
bue	příď
bue	luk
bokstavelig	doslova
dypere	hlouběji
dypere	hlubší
christen	pokřtít
systems	systémy
systems	systémů
romantiske	romantický
romantiske	romantika
romantiske	romantická
romantiske	romantik
romantiske	romantické
sykler	kola
sykler	motorky
sykler	kola
sykler	cyklistika
claudius	claudius
fond	fond
fond	fondu
pokémon	pokémon
pokémon	pokémonů
johanna	johanna
johanna	joanna
philipp	philipp
kjemper	obři
montgomery	montgomery
slank	štíhlá
slank	slim
alba	alba
uheldig	neštěstí
uheldig	nešťastné
uheldig	nešťastná
unesco	unesco
cecilie	cecilie
påstand	nárokovat
påstand	tvrzení
påstand	nárok
påstand	tvrzení
hektar	akrů
knust	rozbil
knust	zničená
knust	rozdrtil
knust	rozbité
knust	zlomený
knust	rozbitý
knust	zlomená
knust	zlomené
knust	rozbil
seile	plavit
seile	plachty
solheim	solheim
oppfunnet	vymyšlená
oppfunnet	vynalezl
oppfunnet	smyšlený
oppfunnet	vymyšlený
konservativ	konzervativní
display	zobrazení
display	displej
display	zobrazit
histoire	histoire
andorra	andorra
falsk	nepravdivé
falsk	falešné
