napadalec	jeanne
razglasi	ipinapahayag
razglasi	ipahayag
razglasi	declare
jezo	galit
jezo	poot
youthclubs	youthclubs
suhoj	sukhoi
geometrija	heometriya
geometrija	geometric
iraku	iraq
strategije	estratehiya
ogljik	karbon
ogljik	carbon
elektro	electro
sekundarni	pangalawang
človeška	pantao
človeška	tao
človeška	makatao
človeška	human
novosti	novelty
novosti	innovations
novosti	updates
novosti	update
oklep	armor
obsežna	malawak
zaščitna	protective
ugotovitve	obserbasyon
ugotovitve	natuklasan
geografski	geographic
geografski	heograpikong
barvni	kulay
barvni	kulay
otroštva	pagkabata
definicije	kahulugan
pastir	pastol
odkrivanje	detection
odkrivanje	pagtuklas
pravoslavne	ortodoksong
samostojnost	autonomy
samostojnost	independence
samostojnost	kalayaan
enrico	enrico
receptorjev	receptors
industrijska	industrial
industrijska	industriyal
putnam	putnam
standardna	pamantayan
standardna	karaniwang
standardna	standard
encimi	enzymes
nmi	nmi
teamb	teamb
tokovi	daloy
tokovi	umaagos
tokovi	lumilitaw
platon	plato
lisica	fox
kalcijev	calcium
pogovori	talks
pogovori	panayam
pogovori	interbyu
pogovori	magsalita
pogovori	usap
pogovori	usapan
pogovori	talk
nazionale	nazionale
vmesnik	interface
jajčeca	itlog
valle	valle
languedoc	languedoc
pištola	putok
pištola	baril
regionalni	pampook
regionalni	regional
regionalni	rehiyonal
richardson	richardson
razširjeni	pinalaki
razširjeni	pinahabang
razširjeni	pinahaba
razširjeni	karugtong
razširjeni	extended
razširjeni	pinalawak
prihodnje	kinabukasan
prihodnje	hinaharap
prijateljstvo	pagkakaibigan
prijateljstvo	pakikipagkaibigan
kancler	kansilyer
alternative	alternatibong
alternative	alternatibo
alternative	alternatibo
pozni	late
pozni	huli
pogledi	pagtingin
magnus	magnus
sorodniki	cousins
sorodniki	relatives
sorodniki	kamaganak
podjetnik	entrepreneur
podjetnik	negosyante
policist	opisyal
policist	pulis
bradley	bradley
mostovi	tulay
marseille	marsella
marseille	marseilles
lastna	sarili
lastna	sariling
posredovanje	transmission
posredovanje	paghahatid
posredovanje	forward
posredovanje	pamamagitan
zaključek	pagkumpleto
zaključek	pagsasara
zaključek	conclusion
razstavi	eksibisyon
razstavi	exhibition
lucas	lucas
gibson	gibson
terme	spa
terme	terme
moon	buwan
moon	moon
organizirano	maayos
dama	lady
dama	dame
jezikovno	antropolohiyang
jezikovno	wika
jezikovno	alangan
jezikovno	wikang
jezikovno	tausug
nadal	nadal
ščit	kalasag
hčere	daughters
programiranje	programming
izpostavljenost	lantad
izpostavljenost	exposure
#ffcc	#ffcc
powell	powell
utrdbo	kuta
utrdbo	kutang
utrdbo	fort
mdr	mdr
ted	ted
fam	fam
emilio	emilio
slab	bad
slab	masamang
slab	masama
nature	natura
izbris	pagtanggal
izbris	pagtatanggal
izbris	pagtanggal
izbris	tinatanggal
izbris	pagkansela
izbris	tanggalin
izbris	burahin
izbris	delete
biologijo	biology
biologijo	biyolohiya
dedek	lolo
dedek	lolo
đoković	djokovic
ustavil	itinigil
ustavil	tumigil
opremljen	bang
epizode	episodes
epizode	episode
izidi	outcome
izidi	kinalabasan
izidi	resulta
izidi	kalalabasan
fisher	fisher
porto	porto
označen	tinang
označen	tinag
realno	real
realno	makatotohanan
trinajst	labintatlong
casa	casa
virusi	virus
virusi	virus
snega	niyebe
snega	snow
mach	mach
leteči	lumilipad
hitra	mabilis
hitra	kabilis
hitra	fast
reynolds	reynolds
priporoča	inirerekomenda
ekonomska	ekonomiya
ekonomska	economic
zastrupitve	poison
warren	warren
komunikacija	komunikasyon
rick	rick
commons	commons
alkohol	alak
alkohol	alak
alkohol	alkohol
kras	crassus
terry	terry
osebje	tauhan
osebje	kawani
osebje	staff
zbrane	tinipon
zbrane	inipon
zbrane	kapnayan
jelka	puno
izvajalci	kontratista
mile	milyang
mile	mile
mile	milya
toto	toto
rolling	rolling
dodatki	supplements
dodatki	kagamitan
dodatki	accessories
mass	mass
mass	misa
mass	masa
dušo	kaluluwa
dušo	soul
bih	bih
simetrija	symmetry
lakote	istarbasyon
lakote	gutom
bertrand	bertrand
zaščitena	pinoprotektahan
zaščitena	protektado
kvalifikacije	qualifying
kvalifikacije	qualification
pari	couples
pari	pares
pari	pari
irana	iran
turbina	turbina
aktivist	activist
augusta	augusta
sen	sen
hrbet	likod
hrbet	bumalik
hrbet	balikan
hrbet	balik
chaplin	chaplin
bach	bach
tonumber	tonumber
skriva	tinatago
skriva	nagtatago
skriva	itinatago
skriva	pagtatago
televizija	telebisyon
osvojitev	conquest
rena	reno
poj	sing
poj	kumanta
deveto	ikasiyam
pomanjkljivosti	pagkukulang
člena	artikulo
upravnik	namamahala
upravnik	manager
upravnik	tagapamahala
upravnik	warden
gilles	gilles
uspešnica	bestseller
resnico	katotohanan
strup	kamandag
strup	lason
ignacij	ignacio
preživi	lampasan
novinarjev	mamamahayag
geoffrey	geoffrey
zadaj	likod
zadaj	bumalik
zadaj	balikan
zadaj	balik
zadaj	hulihan
predavanj	lektura
poskusil	tried
poskusil	sumubok
poskusil	nasubukan
poskusil	sinubukan
pooblastila	kapangyarihan
pooblastila	kautusan
guido	guido
violinist	violinist
udeležili	pumasok
udeležili	pinapasukan
udeležili	dumalo
najmanjša	pinakamababa
najmanjša	pinakamaliit
najmanjša	minimum
najmanjša	pinakamababang
najmanjša	pinakamaliit
metalec	pitsel
con	con
vittorio	vittorio
religija	pananampalataya
religija	relihiyon
groba	rough
groba	magaspang
groba	puntod
groba	libingan
groba	grave
seme	semen
seme	semilya
seme	binhi
seme	seed
seme	buto
verigo	kadena
verigo	chain
izboljša	nagpapabuti
izboljša	mapabuti
izboljša	pagbutihin
poznavanje	kaalaman
poznavanje	knowledge
duncan	duncan
hansen	hansen
horst	horst
poznano	familiar
poznano	pamilyar
ujel	nahuli
preiskave	imbestigasyon
preiskave	pagsisiyasat
preiskave	katanungan
štirinajst	katorse
nameščeni	installed
nameščeni	install
nameščeni	nakaluklok
dramo	drama
jürgen	jürgen
bin	bin
minute	minuto
gerard	gerard
uničiti	sirain
uničiti	wasakin
identiteto	pagkakakilanlan
identiteto	pagkakilanlan
identiteto	katauhan
mehansko	makina
izjavo	pahayag
poštna	postal
police	patakaran
thierry	thierry
manageryears	manageryears
demokratične	democratic
demokratične	demokratikong
dano	binigay
dano	given
dano	ibinigay
klobuk	sombrero
klobuk	sumbrero
photo	itrato
photo	larawan
photo	litrato
photo	litratong
izobraževalno	educational
greene	greene
varuje	pinoprotektahan
pierce	pierce
japonci	hapon
japonci	japanese
japonci	hapones
objavljeni	inilathala
objavljeni	publish
nikdar	never
elektroni	electrons
predala	bumigay
škotske	scotland
škotske	scottish
leona	leona
robertson	robertson
postavljeno	binuhay
postavljeno	itataas
postavljeno	itinaas
postavljeno	nakataas
postavljeno	nakuha
budistični	budista
potniški	pasahero
sonja	sonja
umetni	artipisyal
umetni	artificial
angeli	angels
angeli	anghel
članstvo	membership
bruselj	brussels
razmišljanje	iniisip
umetne	artipisyal
umetne	artificial
prisilil	pinilit
prisilil	sapilitang
misijonar	misyonaryo
sesalcev	mammalian
julie	julie
širitev	pagpapalawak
širitev	expansion
legend	legends
legend	alamat
legend	legend
dimenzije	sukat
volji	kalooban
volji	mood
oblikovan	hugis
porta	porta
klein	klein
zob	ngipin
cesarica	emperatris
domovina	fatherland
wiener	wiener
petja	kumakanta
petja	kantahan
petja	pagkanta
italiano	italiano
opisan	inilarawan
opisan	inilalarawan
lennon	lennon
žita	butil
podaljšana	pinahabang
podaljšana	pinahaba
podaljšana	karugtong
podaljšana	extended
podaljšana	elongated
prispel	dumating
kde	kde
christoph	christoph
spencer	spencer
dar	dar
marta	marta
marta	martha
sadje	prutas
sadje	bunga
sadje	fruits
sadje	prutas
jevgenij	yevgeny
presenetljivo	nakakagulat
presenetljivo	nakakagulat
trditve	claims
trditve	paratang
trditve	argumento
avtomobilski	sasakyan
čop	ponytail
tujino	abroad
sara	sarah
sara	sara
sara	cera
nizki	mababang
nizki	mababa
nizki	low
plodovi	bunga
plodovi	fruits
plodovi	prutas
priljubljeno	popular
priljubljeno	sikat
priljubljeno	favourite
priljubljeno	nauuso
priljubljeno	trending
priljubljeno	paborito
priljubljeno	favorite
dale	dale
jay	jay
jarek	trench
premera	diameter
kampanje	kampanya
zasnovana	pagkakagawa
zasnovana	dinisenyo
zasnovana	idinisenyo
doseženo	naabot
doseženo	nakamit
doseženo	nakakamit
doseženo	achieved
posamezna	indibiduwal
rjavo	brown
rjavo	kayumanggi
izjemen	natatanging
prehrani	nutrisyon
nielsen	nielsen
obremenitev	load
obremenitev	nilo
roll	gumulong
roll	roll
čelo	noo
čelo	cello
zavrne	tanggihan
tekmovanj	competitions
pojave	phenomena
gašper	enrique
gašper	henry
lola	lola
slavi	glory
slavi	luwalhati
slavi	kaluwalhatian
blog	blog
jpl	jpl
ettore	ettore
vrtovi	hardin
vrtovi	gardens
potrjuje	nagko
vožnje	nagmamaneho
vožnje	pagmamaneho
eugen	eugen
imunski	immune
imunski	tinatablan
danijel	daniel
stresa	stress
einstein	einstein
linz	linz
simone	simone
castro	castro
senator	senador
senator	senator
vincenzo	vincenzo
podružnica	subsidiary
podružnica	sangay
izpostavljeni	nakalabas
betty	betty
ilustracije	illustrations
križišču	kanto
križišču	crossroads
kirche	kirche
najdlje	pinakamatagal
alabama	alabama
odstranjevanje	itapon
odstranjevanje	inaalis
odstranjevanje	pagtanggal
odstranjevanje	pagtatanggal
prefekt	prefect
giulio	giulio
siegfried	siegfried
bomba	bomba
bomba	bombshell
scene	tanawin
navidezni	birtwal
navidezni	virtual
neill	neill
mera	rate
sulfat	sulfato
tito	tito
izdelane	manufactured
izdelane	panindang
izmenjavo	palitan
izmenjavo	palit
deseti	tenth
dim	madilim
dim	usok
obred	seremonya
obred	ritwal
veronika	veronica
skale	bato
označeno	tinang
označeno	tinag
označeno	minarkahan
ukinjena	abolished
catherine	catherine
razlage	interpretations
odkrito	matapat
medicinsko	medikal
medicinsko	medical
realna	makatotohanan
mejah	borders
puščavi	desert
puščavi	disyerto
zajec	kuneho
zajec	rabbit
pripadnost	kaanib
zheng	zheng
twin	kambal
twin	twin
disciplina	disiplina
soproga	asawa
soproga	asawa
dorothy	dorothy
lars	lars
malta	malta
malta	mehiko
cona	zone
zaupanje	tiwala
zaupanje	kagitingan
zaupanje	magtiwala
zaupanje	pinagkakatiwalaan
zaupanje	tiwala
zaupanje	trust
široki	malapad
prejeti	makatanggap
prejeti	matanggap
prejeti	tumanggap
prejeti	natanggap
izginila	naglaho
izginila	mawala
izginila	nawawala
izginila	naglaho
primerjavo	paghahambing
primerjavo	comparing
diska	disc
diska	discus
zgleda	mukhang
garcia	garcia
testiranje	pagsubok
testiranje	testing
testiranje	sinusubukan
selena	selenium
selena	selena
navdušen	kilig
navdušen	namangha
navdušen	excited
navdušen	natutuwa
nakup	bilhin
nakup	pagbili
nakup	bumili
nakup	bilhin
nakup	bibilhin
nakup	bumili
nakup	binibili
nakup	bumibili
nakup	pagbili
bishop	bishop
bishop	obispo
modrosti	karunungan
nacional	nacional
cepivo	vaccine
cepivo	bakuna
ozračje	kapaligiran
gospodarstvu	hawak
kocke	dice
curtis	curtis
hladno	malamig
hladno	sipon
hladno	lamig
prvenec	debut
čebele	bubuyog
čebele	bees
pruski	prussian
encimov	enzymes
sud	sud
sužnji	alipin
rgb	rgb
ravnotežje	balanse
zbrani	inipon
zbrani	kapnayan
desetletij	dekada
zmanjšati	bawasan
jamie	jamie
spore	spores
spore	alitan
minuto	minuto
pojasnjuje	nagpapaliwanag
pastor	pastor
piper	piper
ust	bunganga
ust	bibig
telefon	phone
telefon	telepono
telefon	telephone
telefon	telepono
razmnoževanje	multiplikasyon
razmnoževanje	pagpaparami
pojasnil	ipinaliwanag
priznan	nakakilala
priznan	kinikilalang
priznan	nakilalang
priznan	kinikilala
priznan	nakilala
urbana	urbano
kovanci	barya
kovanci	barya
kovanci	coin
mrkos	mrkos
možgani	brain
možgani	utak
možgani	utak
marcello	marcello
kontrole	pagkontrol
kontrole	kinokontrol
prazen	blangko
prazen	blank
usposabljanja	pagsasanay
omenil	pagbanggit
omenil	mention
omenil	binabanggit
omenil	banggitin
stroji	makinarya
stroji	machine
izboljšati	mapabuti
izboljšati	pagbutihin
foster	foster
organizirana	maayos
turnbull	turnbull
dean	dean
junaki	heroes
poteze	moves
poteze	gumagalaw
premikanje	lilipat
premikanje	gumagalaw
premikanje	paggalaw
premikanje	kilusan
vreden	karapatdapat
vreden	worthy
ujetništvu	captive
čevljev	sapatos
železnico	riles
povabilo	imbitahan
povabilo	anyayahan
povabilo	paanyaya
povabilo	imbitasyon
rotor	rotor
protokol	protocol
protipapež	antipapa
prepovedi	pagbawalan
prepovedi	bans
nizek	mababang
nizek	mababa
nizek	low
kronanje	coronation
žogo	bola
hodi	naglalakad
hodi	lumalakad
hodi	paglalakad
hodi	maglakad
hodi	lumakad
hodi	lakad
hodi	walk
martini	martini
pisatelji	manunulat
pel	sang
hčerki	daughters
duhovne	espirituwal
duhovne	spiritual
temna	madilim
temna	maitim
temna	dilim
hollywood	hollywood
pekingu	beijing
zidovi	pader
šesta	ikaanim
kentucky	kentucky
lepi	ganda
lepi	maganda
lepi	pogi
lepi	gwapo
chiron	chiron
sonata	sonata
istván	istván
jelen	usa
houston	houston
sullivan	sullivan
geolog	geologist
centralno	central
centralno	gitnang
ohrani	panatilihin
ohrani	panatilihin
ohrani	mapanatili
ohrani	maintain
ohrani	magpanatili
sanj	dreams
sanj	pangarap
sigismund	sigismund
farra	farra
antibiotiki	antibiotic
leseno	kahoy
leseno	wood
petrov	petrov
gene	gene
skrivaj	palihim
trupa	punungkatawan
označeni	tinang
označeni	tinag
označeni	minarkahan
sporno	contentious
sporno	nasuri
sporno	tumutol
sporno	kontrobersyal
subjekt	sasailalim
subjekt	paksa
subjekt	subject
subjekt	entidad
subjekt	entity
apr	abr
leslie	leslie
kuga	salot
daljnogled	largabista
daljnogled	telescope
specifični	tukoy
specifični	tiyak
specifični	partikular
rane	sugat
rane	sugat
trdne	solid
profesionalno	professional
profesionalno	propesyonal
branilec	defender
branilec	kalaban
valentina	valentina
valentina	valentino
švico	switzerland
plesni	mould
plesni	amag
obrti	craft
akt	act
akt	kikilos
akt	kumilos
spremljanje	pagmamanman
spremljanje	pagsubaybay
spremljanje	monitor
demokracija	demokrasya
wang	wang
leipzig	leipzig
stefano	stefano
dežja	ulan
dežja	umulan
okrogle	round
okrogle	bilog
nika	nica
uporabljeno	ginamit
uporabljeno	nagamit
uporabljeno	ginagamit
four	apat
zaposlena	employed
zaposlena	nagtatrabaho
zaposlena	pinagkakakitaan
zaposlena	abala
zaposlena	busy
oxfordu	oxford
čista	purong
čista	pure
čista	dalisay
zmaja	kite
zmaja	saranggola
deseto	tenth
flora	flora
nevarna	mapanganib
ante	ante
montgomery	montgomery
barja	latian
pekel	impiyerno
pekel	hell
pekel	inferno
trgovanje	kalakalan
trgovanje	ipagpalit
trgovanje	magnegosyo
trgovanje	trade
trgovanje	trading
epizoda	episode
ran	sugat
aluminij	aluminium
aluminij	aluminum
kanadsko	canadian
akademski	akademikong
popotnik	traveler
popotnik	manlalakbay
popotnik	traveller
popotnik	manlalakbay
popotnik	palaboy
moment	sandali
moment	moment
semen	binhi
standardi	pamantayan
garden	hardin
težavo	problema
brezplačno	libreng
brezplačno	free
brezplačno	libre
brezplačno	malaya
kandidatov	candidates
televizijo	telebisyon
glenn	glen
glenn	glenn
odkrita	natuklasan
odkrita	natukoy
bližje	closer
bližje	palapit
obraza	mukha
produkti	produkto
magister	magister
berry	berry
železna	bakal
železna	iron
razkol	schism
strehe	bubong
zastrupitev	poison
gas	gas
niki	nicki
oak	oak
oak	robles
rojene	ipinanganak
rojene	pinanganak
prusija	prussia
polobli	hemispero
zaprti	nakasara
zaprti	sarado
zaprti	saradong
testi	pagsusulit
rušilcev	destroyers
brien	brien
najmočnejši	strongest
shimizu	shimizu
zdravi	healthy
zdravi	malulusog
zdravi	malusog
zdravi	nagpapagaling
pariški	paris
pariški	parokya
madison	madison
delle	delle
privrženci	tagasunod
operator	operator
pasme	lahi
stabilen	matatag
stabilen	stable
cat	pusa
cat	cat
klinični	clinical
grafični	maliwanag
grafični	graphic
oddaljeno	malayo
oddaljeno	remote
kemična	chemical
kemična	kemikal
spremenjena	binago
spremenjena	binagong
cerro	cerro
enotnost	unity
enotnost	pagkakaisa
prometni	traffic
prometni	trapiko
globalno	globally
globalno	pandaigdigang
globalno	global
globalno	pandaigdigan
opozorilo	babala
katerikoli	any
avtoceste	lansangan
avtoceste	highway
redna	regular
darilo	gift
darilo	regalo
jorge	jorge
potomcev	anak
euler	euler
aretiran	arrest
aretiran	naaresto
aretiran	arestado
aretiran	inaresto
harper	harper
uporniki	rebelde
sloves	reputasyon
ugodno	makabubuti
saška	sahonya
dihal	paghinga
ovire	hadlang
ovira	hadlang
ovira	hadlang
ovira	harang
cole	cole
campo	campo
čile	chile
izvoljena	inihalal
izvoljena	hinalal
piva	serbesa
piva	beer
psihološko	sikolohikal
institucije	institusyon
zaklad	kayamanan
odstop	pagbibitiw
odstop	pagalis
finančna	pinansyal
finančna	financial
zabavo	partido
zabavo	party
zabavo	pagdiriwang
zabavo	pagtitipon
zabavo	libangan
zabavo	entertainment
konvencije	convention
konvencije	conventions
zbirajo	kolektahin
srbi	makati
srbi	kati
srbi	itch
nepravilno	mali
nepravilno	lubak
nepravilno	irregular
spusti	drop
connecticut	connecticut
vodilna	nangunguna
vodilna	giya
stanford	stanford
pakistan	pakistan
srečen	masaya
pionir	pioneer
demo	demo
demo	pagpapakita
württemberg	württemberg
natančen	tumpak
natančen	tama
natančen	eksaktong
emma	emma
balet	ballet
aparat	apparatus
warwick	warwick
ekonomija	economics
ekonomija	ekonomiya
trpljenje	paghihirap
bello	bello
bello	bella
bogastva	yaman
zvest	loyal
zvest	tapat
zvest	faithful
predelavo	pinoproseso
predelavo	pagpoproseso
predelavo	processing
predelavo	pagproseso
lažji	lighter
ano	ana
povprečje	karaniwan
gozdarstvo	forestry
depresija	depression
depresija	depresyon
sosednji	katabi
športnik	atleta
kirurg	siruhano
škrat	elf
škrat	bulilit
škrat	duwende
aluminijev	aluminium
perspektive	perspectives
perspektive	perspektibo
perspektive	pananaw
rjava	brown
rjava	kayumanggi
prazno	blangko
prazno	blank
poklicna	professional
poklicna	propesyonal
poklicna	occupational
poklicna	vocational
pomočnika	assistant
pomočnika	katulong
pomočnika	helper
protein	protina
pričakovali	inaasahang
pričakovali	inaasahan
pričakovali	inasahan
pričakovali	umaasa
galaksija	galaxy
brooklyn	brooklyn
temple	templo
večno	forever
večno	magpakailanman
večno	eternal
osmi	ikawalong
tokov	streams
tokov	daloy
tokov	umaagos
tokov	lumilitaw
sonda	pagsisiyasat
kuge	salot
jakost	lakas
jakost	tibay
sončna	maaraw
sončna	sunny
sončna	solar
nositi	carry
nositi	nagsusuot
nositi	magsuot
jezuit	jesuit
znamka	tatak
moss	mos
moss	moss
moss	lumot
rodov	genera
štajerska	styria
naravnost	straight
naravnost	tuwid
naravnost	diretso
informacija	impormasyon
tedne	linggo
sektor	sektor
sektor	sector
izdeluje	gumagawa
oklahoma	oklahoma
listine	charter
listine	dokumentong
listine	documents
listine	dokumento
dušik	nitrogen
walsh	walsh
mio	mia
mio	mio
sliši	naririnig
črpalka	poso
torpedo	torpedo
luther	luther
lane	lane
fifa	fifa
zaseda	ambush
preliv	gradient
preliv	dressing
vladavina	reign
luke	luke
luke	lucas
kritični	kritikal
planeti	planets
dušika	nitrogen
združi	pagsamahin
združi	pagsamahin
združi	magkaisa
patton	patton
neposredne	direktang
neposredne	direct
neposredne	direkta
prejemnik	tatanggap
prejemnik	pinadalhan
prejemnik	tatanggap
prejemnik	receiver
obiskovalci	bisita
pink	pink
pink	rosas
uči	nagtuturo
čaščenje	pagsamba
čaščenje	pagsamba
omejeni	limitado
omejeni	limitadong
omejeni	limited
omejeni	nililimitahan
omejeni	limitado
omejeni	nilimitahan
fletcher	fletcher
peters	peters
filippo	filippo
pojasnilo	paliwanag
pojasnilo	paglilinaw
pojasnilo	linaw
ionizacijski	ionization
tisočletje	milenyo
tisočletje	millennium
plače	sahod
plače	suweldo
plače	sahod
plače	companya
plače	salaries
ocenjevanje	pagsusuri
ocenjevanje	assessment
ocenjevanje	pagsusuri
rex	rex
vladislav	vladislav
nadvojvoda	arsoduke
astronomijo	astronomiya
nachi	nachi
ciper	cyprus
roza	pink
roza	rosas
diplomo	diploma
češkoslovaško	czechoslovakia
dodaten	dagdag
dodaten	extra
konzul	consul
sten	pader
kapital	capital
kapital	kabisera
kapital	kapital
eksplozija	pagsabog
vrtenje	rotation
vrtenje	ikot
vrtenje	spinning
ugotovitev	natuklasan
ugotovitev	conclusion
glukoze	glucose
naročila	iniutos
naročila	order
naročila	orders
objavljene	inilathala
objavljene	publish
kleti	saligan
kleti	silong
kleti	basement
podružnice	sanga
podružnice	sangay
karta	ticket
karta	tiket
karta	card
poslanstvo	misyon
amon	amon
amon	amun
venera	venus
kmetijski	agrikultura
budizem	budismo
kršitev	paglabag
kršitev	paglabag
poskuse	eksperimento
ilija	ilya
pečat	seal
irsko	intsik
irsko	irish
irsko	irlandes
irsko	ireland
spodbujanje	panghihikayat
spodbujanje	estimulasyon
spodbujanje	promotion
spodbujanje	promosyon
spodbujanje	itaguyod
spodbujanje	promote
spodbujanje	isulong
kmeta	magsasaka
kmeta	farmer
basist	bassist
katsuura	katsuura
pivo	serbesa
pivo	beer
vrtec	preschool
vrtec	daycare
absorbira	absorb
absorbira	buyo
znamenja	marks
znamenja	moles
znamenja	palatandaan
bratranec	cousin
bratranec	pinsan
organe	organo
organe	organs
lepote	pampaganda
lepote	beauty
lepote	kagandahan
slovesno	taimtim
zakonodajo	legislation
caroline	caroline
raznolikost	variety
romantike	romance
romantike	romansa
romantike	pagmamahalan
nogo	paa
nogo	hita
nogo	binti
nogo	leg
krajša	shorter
sporna	nasuri
sporna	tumutol
sporna	kontrobersyal
skladišče	warehouse
skladišče	bodega
skladišče	imbakan
skladišče	storage
islamski	islamic
računalniška	kompyuter
računalniška	computer
thomson	thomson
planete	planets
vega	vega
posvečeno	nakatutok
posvečeno	dedikado
kotu	kanto
kotu	sulok
basel	basel
gif	gif
ogrodje	frame
prizore	tanawin
temeljna	pundamental
izrecno	kalaswaan
izrecno	partikular
kalijev	potassium
toledo	toledo
potrditev	pagkumpirma
potrditev	kumpirmasyon
potrditev	kumpirmado
potrditev	kumpirmahin
potrditev	pagpapatunay
slapovi	talon
slapovi	falls
slapovi	talon
rezidenca	paninirahan
rezidenca	residence
rezidenca	tirahan
avstralijo	australia
avstralijo	australya
uma	uma
baziliko	basilika
portugalsko	portuguese
portugalsko	portuges
portugalsko	portugal
strop	kisame
hartmann	hartmann
izdano	inisyu
označi	tag
označi	mark
spori	alitan
grace	grace
grace	biyaya
digitalna	digital
dur	dur
serra	serra
zmanjšana	nabawasan
