পেল	ஆப்பிள்
সুরা	சூரத்
সুরা	சுரா
প্রোটোকল	நெறிமுறை
প্রোটোকল	நெறிகள்
সৃষ্টিকর্তা	உருவாக்கியவர்
সৃষ্টিকর্তা	உருவாக்கி
সৃষ্টিকর্তা	படைத்தவர்
সন্ত্রাসবাদ	தீவிரவாதம்
সন্ত্রাসবাদ	பயங்கரவாதம்
তাজিকিস্তান	தஜிகிஸ்தான்
অনশন	நோன்பு
অনশন	உண்ணாவிரதம்
অনশন	உணவின்றி
অনশন	விரதம்
সুগার	சுகர்
সুগার	சர்க்கரை
সুগার	சீனி
মোদী	மோதி
মোদী	மோடி
নির্মম	இரக்கமற்ற
নির্মম	கொடூரமாக
নির্মম	கொடூரமான
নির্মম	ஹர்ஷ்
তন্তু	மீன்
মনি	மணி
প্রবাদ	தத்துவம்
প্রবাদ	பழமொழி
বাটলার	பட்லர்
কৈশোর	இளமை
সাবান	சோப்பு
সাবান	சோப்
স্বরধ্বনি	உயிர்
জেনিফার	ஜெனிபர்
ক্ষেত্রগুলি	புலங்கள்
মরক্কো	மொராக்கோ
সিরীয়	சிரிய
এভিনিউ	அவென்யூ
হকিং	ஹோக்கிங்
অর্থহীন	பயனற்றது
পাখনা	சிறகுகள்
পাখনা	சிறகு
ক্রিশ্চিয়ান	கிறிஸ்துவ
ক্রিশ্চিয়ান	கிறித்தவர்
অভ্যর্থনা	வரவேற்பு
ইউরেশীয়	ஐரோவாசியா
মস্তিষ্কে	மூளை
চরণ	சரண்
প্রোডাকশন	உற்பத்தி
প্রোডাকশন	தயாரிப்பு
সিন্ধি	சிந்தி
নজরুলের	நஸ்ருல்
অ্যাঞ্জেলো	ஆஞ்சலோ
এলেন	எல்லன்
সিকিম	சிக்கிம்
ব্যাঙের	தவளை
সম্ভাবনার	சாத்தியங்கள்
জিউস	ஜீயஸ்
আরেকটা	இன்னொரு
আরেকটা	மற்றொரு
আরেকটা	மற்றுமொரு
জুরিখ	சூரிச்
বাহুর	கைகள்
জলন্ধর	ஜலந்தர்
মাইক্রো	மைக்ரோ
ফ্লাওয়ার	மலர்
ফ্লাওয়ার	பூ
ফ্লাওয়ার	மலர்களால்
স্থানাংক	ஒருங்கிணைப்புகள்
স্থানাংক	அச்சுகள்
ইব্রাহীম	இப்ராஹிம்
ইব্রাহীম	இப்ராஹீம்
ইব্রাহীম	இப்ராகிம்
ইব্রাহীম	ஆபிரகாம்
কোমর	இடுப்பு
কোমর	இடுப்பை
কোমর	இடை
উদ্বাস্তু	அகதிகள்
বিপর্যয়ের	பேரழிவு
বিপর্যয়ের	பேரிடர்
মোড	முறை
মোড	முறைமை
মোড	வகை
মোড	முறையில்
মোড	பயன்முறை
কাঁকড়া	நண்டுகள்
কাঁকড়া	நண்டு
নিয়মাবলী	விதிகள்
মায়ার	மாயா
নেভিল	நெவில்
শত্রুদের	பகைவர்கள்
শত্রুদের	எதிரிகள்
গি	கீ
ভিড়	கூட்டம்
ভিড়	கூட்டமும்
ভিড়	கூட்டத்தை
ভিলা	வில்லா
গোসল	குளிக்க
গোসল	குளியல்
গোসল	பாத்
কোটা	கோட்டா
বাজেয়াপ্ত	பறிமுதல்
ফসফরাস	பாஸ்பரஸ்
গোপনীয়তা	அந்தரங்கம்
গোপনীয়তা	தனியுரிமை
ইস্তানবুল	இஸ்தான்புல்
পিতামাতা	பெற்றோர்
পিতামাতা	பெற்றோரும்
পিতামাতা	பெற்றோர்கள்
পিতামাতা	பெற்றோர்களே
পিতামাতা	பெற்றோர்
অবিচ্ছিন্ন	தொடர்ச்சியான
অবিচ্ছিন্ন	தொடர்ச்சி
নামগুলো	பெயர்கள்
গ্রীষ্মকাল	சம்மர்
গ্রীষ্মকাল	கோடை
জাকার্তা	ஜகார்த்தா
সিনেট	செனட்
টুইটার	twitter
টুইটার	ட்விட்டர்
টুইটার	டுவிட்டர்
বাঁক	வளைவுகள்
বরখাস্ত	கருணாநிதியின்
যুগল	ஜோடி
যুগল	தம்பதிகளின்
অতুল	அதுல்
জার	ஜார்
জার	ஜாடிகள்
লায়ন	சிங்கம்
অভিযোগের	கட்டணங்கள்
ভাঙন	erosion
মুজাহিদ	முஜாஹித்
বাহামা	பஹாமாஸ்
ফিলিপস	பிலிப்ஸ்
ফিলিপস	ஃபிலிப்ஸ்
টুকরা	துண்டுகள்
টুকরা	துண்டுகளை
বরাক	பராக்
অসুস্থতা	நோய்
মালদ্বীপের	திவெயி
রহমত	கருணை
রহমত	ரஹ்மத்
কিথ	கீத்
দেওয়াল	சுவர்
দেওয়াল	சுவர்களில்
দেওয়াল	சுவர்கள்
অ্যাক্ট	சட்டம்
অ্যাক্ট	செயல்படுங்கள்
টহল	ரோந்து
কোস্টা	கோஸ்டா
লাইক	போல்
লাইক	போல
লাইক	விரும்பு
লাইক	விருப்பம்
লাইক	பிடித்திருக்கிறது
লাইক	விருப்பங்கள்
পিঠা	கேக்
পিঠা	பித்த
স্থানসমূহ	இடங்கள்
শার্লক	sherlock
ডেঙ্গু	டெங்கு
সি++	c++
স্পষ্টভাবে	கண்டிப்பாக
স্পষ্টভাবে	நிச்சயமாக
পিটার্সবার্গ	petersburg
শ্রোতাদের	கேட்பவர்கள்
গোয়ার	கோவா
ঢোল	ட்ரம்
মন্ত্রনালয়	அமைச்சரவை
শুক্লা	சுக்லா
অভিনব	அபினவ்
অভিনব	பிரம்மாண்டமாக
ভেজা	ஈரமான
ভেজা	ஈர
ভেজা	ஈரம்
ভেজা	ஈரமாக
কুমির	முதலை
মাওবাদী	மாவோயிஸ்ட்
খুনের	கொலைகள்
খুনের	கொலை
মিছিলে	ஊர்வலம்
আর্কিটেকচার	கட்டிடக்கலை
আর্কিটেকচার	கட்டடக்கலை
করন	கரன்
তেহরান	தெஹ்ரான்
প্রার্থীদের	வேட்பாளர்கள்
ম্যাজিক	மாய
ম্যাজিক	சூனியம்
ম্যাজিক	மாயம்
ম্যাজিক	மேஜிக்
ম্যাককুলাম	மெக்கல்லம்
পেনিসিলিন	பெனிசிலின்
একাদশী	ஏகாதசி
রোমানদের	ரோமர்
একশ	நூறு
হোল	துளை
হোল	ஓட்டை
ট্রানজিস্টর	திரிதடையம்
স্প্রিং	ஸ்பிரிங்
স্প্রিং	வசந்தம்
স্প্রিং	வசந்தகால
স্প্রিং	வசந்த
ক্রেইগ	கிரெய்க்
কীট	பூச்சி
মাধব	மாதவ்
সারসংক্ষেপ	முன்னோட்டம்
সারসংক্ষেপ	மேலோட்டம்
সারসংক্ষেপ	முன்தோற்றம்
সারসংক্ষেপ	கண்ணோட்டம்
সারসংক্ষেপ	சுருக்கம்
উদ্ভিদবিজ্ঞান	தாவரவியல்
সুড়ঙ্গ	சுரங்கம்
সুড়ঙ্গ	சுரங்கங்கள்
জুল	ஜூல்ஸ்
যখনই	போதெல்லாம்
যখনই	பொழுதெல்லாம்
ফ্যাক্টর	காரணி
তুই	நீங்கள்
তুই	நீ
ডেল্টা	டெல்டா
লুসিয়া	லூசியா
চন্দন	சந்தன்
চিত্রগ্রহণ	படப்பிடிப்பு
নৈতিকতা	தார்மீக
নৈতিকতা	படிப்பினை
নৈতিকতা	அறநெறி
গ্যালিলিও	கலிலியோ
মুলক	முல்க்
শিল্পপতি	தொழிலதிபர்
স্টকহোম	ஸ்டாக்ஹோம்
ভাবতে	நினை
ভাবতে	நினைக்கும்
ভাবতে	யோசி
ভাবতে	நினைக்கிறேன்
প্রসারণ	விரி
প্রসারণ	விரிவாக்கம்
প্রসারণ	விரிவாக்கம்
আংটি	வளையம்
আংটি	மோதிரம்
আংটি	வளையங்கள்
আংটি	மோதிரங்கள்
পশ্চিমী	மேற்கு
নন্দ	நந்தா
কিড	குழந்தை
কিড	குழந்தையாய்
দিচ্ছে	தருகிறேன்
দিচ্ছে	கொடுப்பது
দিচ্ছে	கொடுத்தல்
উট	வூட்
উট	ஒட்டகம்
জামা	சட்டைகள்
জামা	சட்டையை
জামা	சட்டை
গ্রীষ্মের	சம்மர்
গ্রীষ্মের	கோடை
ভেঙ্কটেশ	வெங்கடேஷ்
কীর্তন	கீர்த்தனை
দিবালোক	பகல்
দিবালোক	தயாரானது
ইউয়ান	யுவான்
বাঁচতে	லைவ்
বাঁচতে	நேரலை
বাঁচতে	வாழ
বাঁচতে	நேரடி
কলম্বাস	கொலம்பஸ்
বিনোদ	வினோத்
ট্যাঙ্ক	டேங்க்
ট্যাঙ্ক	பீரங்கிகள்
ঋগ্বেদ	rigveda
স্বাভাবিকভাবেই	இயற்கையாகவே
স্বাভাবিকভাবেই	இயற்கையாக
ব্রিটানিকা	பிரித்தானிக்கா
আরোগ্য	குணமாக்கும்
আরোগ্য	ஆற்றும்
আরোগ্য	குணப்படுத்த
আরোগ্য	குணப்படுத்தும்
কোকিল	குயில்
হতাশ	ஆத்திரமடைந்த
উত্পাদন	உற்பத்தி
উত্পাদন	தயாரிப்பு
উত্পাদন	உற்பத்தி
অযোগ্য	தகுதியற்ற
অযোগ্য	தகுதியற்ற
তেরেসা	தெரசா
তেরেসা	தெரேசா
ফাতিমা	பாத்திமா
ফাতিমা	பாத்திமா
ভিক্ষুদের	துறவிகள்
নেচার	இயற்கை
নেচার	இயல்பை
লিখুন	எழுத
লিখুন	எழுது
লিখুন	எழுதவும்
লিখুন	நுழை
লিখুন	உள்ளிடு
লিখুন	நுழைந்து
লিখুন	உள்ளிடவும்
তিতির	கவுதாரி
মরিশাস	மொரிஷியஸ்
মরিশাস	மொரிசியசு
ফাঁদ	பொறிகள்
ফাঁদ	பொறி
ফাঁদ	பொறிகள்
ফাঁদ	பொறிகள்
ব্যঞ্জনধ্বনি	மெய்
গুণাবলী	குணங்களை
ভীষ্ম	பீஷ்ம
বোস্টন	பாஸ்டன்
অপশন	விருப்பத்தேர்வுகள்
অপশন	விருப்பங்கள்
অপশন	தேர்வுகள்
অপশন	தெரிவுகள்
মার্কস	மார்க்ஸ்
পকেট	பாக்கெட்
বোর	bore
বোর	ஏற்றி
আনুষঙ্গিক	துணைக்கருவிகள்
আনুষঙ্গিক	அணிகலன்கள்
কাঁধ	தோள்பட்டை
কাঁধ	தோள்
কাঁধ	தோள்கள்
স্পিরিট	மதுபானங்கள்
স্পিরিট	ஆவி
টিকেট	டிக்கெட்
ডিজেল	டீசல்
স্নেহ	பாசத்தை
স্নেহ	பாசம்
স্নেহ	பாசமும்
শান	ஷான்
অম্বিকা	அம்பிகா
মার্ক্স	மார்க்ஸ்
ছোঁয়া	தொடுதல்
ছোঁয়া	டச்
ছোঁয়া	தொடு
অঙ্গীকার	சத்தியம்
অঙ্গীকার	வாக்குறுதி
অঙ্গীকার	அர்ப்பணிப்பு
সুশীল	சுஷில்
হোস্ট	சேவையகம்
হোস্ট	ஹோஸ்ட்
হোস্ট	புரவலன்
হোস্ট	புரவன்
হোস্ট	வழங்குநர்
হোস্ট	படைகளும்
হোস্ট	புரவலன்
হোস্ট	வழங்குபவர்
ইভা	ஈவா
ইভা	இவா
ইভা	ஈவ்
ইভা	மாலை
খলনায়ক	வில்லன்
বিস্ফোরিত	வெடிக்க
বিস্ফোরিত	வெடித்தது
সরানো	நகர்த்தப்பட்டது
সরানো	நகர்த்த
সরানো	நகர்ந்து
আবেদীন	ஆப்தீன்
ড্রাম	ட்ரம்
দড়ি	கயிறு
টিউটোরিয়াল	tutorials
টিউটোরিয়াল	பயிற்சி
টিউটোরিয়াল	பாடம்
পাসপোর্ট	பாஸ்போர்ட்
পাসপোর্ট	கடவுச்சீட்டு
ফেরি	படகில்
উল্লম্ব	செங்குத்து
সমাবর্তন	பட்டமளிப்பு
শিলং	ஷில்லாங்
বাল্মীকি	வால்மீகி
অগ্রগামী	முன்னோடி
ফিকে	மந்தமான
প্রিন্টার	அச்சுப்பொறி
প্রিন্টার	அச்சுப்பொறிகள்
জাস্টিস	நியாயம்
জাস্টিস	நீதி
মার্টিনেজ	மார்டினெஸ்
ফুসফুসের	நுரையீரல்
গোলন্দাজ	கன்னர்
গেজেট	வர்த்தமானி
রেসিং	பந்தய
রেসিং	ரேசிங்
যাদু	மாய
যাদু	சூனியம்
যাদু	மாயம்
যাদু	மேஜிக்
জুবায়ের	சுபைர்
এয়ারওয়েজ	ஏர்வேஸ்
আইভি	ஐவி
সাম	கூட்டல்
সাম	கூட்டு
পিস্তল	துப்பாக்கி
রাবণের	இராவணன்
কেরি	கெர்ரி
দুধের	பாலை
দুধের	பாலும்
দুধের	பால்
মুন্না	முன்னா
কাঁটার	முட்கள்
জ্যাজ	ஜேஸ்
জ্যাজ	ஜாஸ்
আর্সেনিক	ஆர்சனிக்
আর্সেনিক	பிரெஞ்சு
বিস্মিত	ஆச்சரியத்தில்
বিস্মিত	ஆச்சரியமாக
বিস্মিত	அதிர்ந்து
বিস্মিত	அதிர்ச்சியாக
বিস্মিত	அதிர்ச்சி
আয়না	மிரர்
আয়না	கண்ணாடி
অঞ্চলগুলি	பகுதிகள்
অঞ্চলগুলি	மண்டலங்கள்
পয়সা	பைசா
উস্তাদ	உஸ்தாத்
পার্কিং	பார்க்கிங்
মাম্বা	மாம்பா
কম্পটন	காம்ப்டன்
সর্বোত্তম	உயர்ந்தது
সর্বোত্তম	உயர்ந்த
সর্বোত্তম	சிறந்தவை
সর্বোত্তম	சிறந்தது
সর্বোত্তম	சிறப்பாக
সর্বোত্তম	சிறந்த
সর্বোত্তম	சிறந்த
বাক্যে	வாக்கியத்தை
বাক্যে	வாக்கியம்
পরিকাঠামো	உள்கட்டமைப்பு
গনি	கனி
মেন্ডিস	மென்டிஸ்
হি	ஹீ
অবজেক্ট	பொருள்
অবজেক্ট	பொருட்கள்
অবজেক্ট	பொருள்கள்
মিজোরাম	மிசோரம்
পোলার	துருவ
সিল্ক	பட்டு
সিল্ক	சில்க்
অনুকরণ	பாவனை
রুডলফ	ருடால்ப்
কেলি	கெல்லி
তীক্ষ্ণ	குறியாக
তীক্ষ্ণ	கூர்மை
তীক্ষ্ণ	கூர்மையான
থিওডোর	தியோடர்
ব্র্যাড	பிராட்
রোভার	ரோவர்
টার্নার	டர்னர்
সন্দীপ	சந்தீப்
খরা	வறட்சி
জোরে	சத்தம்
জোরে	சத்தமாக
জোরে	உரத்த
বক	விலகல்
বক	ஹெரான்
বেলারুশ	பெலாரஸ்
পুলিৎজার	புலிட்சர்
কঙ্কাল	எலும்புக்கூடு
পাত্রের	தொட்டிகள்
ফিদে	fide
ডেরেক	டெரெக்
নুর	நூர்
শোষিত	நினைப்பவர்கள்
টিয়া	டியா
টিয়া	கிளிநொச்சி
টিয়া	கிளி
রূপালী	வெள்ளி
রূপালী	சில்வர்
ঘুড়ি	பட்டம்
ঘুড়ি	பருந்து
ক্যাবিনেট	அமைச்சரவை
ডকুমেন্ট	ஆவணம்
ডকুমেন্ট	ஆவணங்கள்
কর্মসংস্থান	வேலைவாய்ப்பு
ঘাসের	புல்லை
ঘাসের	புல்
বলছে	சொல்கிறார்
বলছে	என்கிறார்கள்
বলছে	என்கிறார்
বলছে	சொல்கிறது
লাফ	ஜம்ப்
লাফ	தாவு
তৃণভূমি	புல்வெளி
তৃণভূমি	மீட்
গানগুলি	பாடல்கள்
আইওএস	ios
উজ্জ্বলতা	ஒளிர்வு
উজ্জ্বলতা	பிரகாசம்
উজ্জ্বলতা	வெளிச்சம்
ডেবিয়ান	டெபியன்
রিম	ரிம்
যাজক	பாஸ்டர்
অনুভূতির	உணர்வுகளை
অনুভূতির	உணர்வுகள்
অনুভূতির	உணர்கிறார்
যোগফল	கூட்டல்
যোগফল	கூட்டு
পাখা	ரசிகன்
পাখা	ரசிகர்
পাখা	விசிறி
করিমগঞ্জ	கரீம்கஞ்சு
মাংসের	இறைச்சி
সন্ত্রাসবাদী	தீவிரவாத
সন্ত্রাসবাদী	தீவிரவாதி
সন্ত্রাসবাদী	பயங்கரவாதிகள்
সন্ত্রাসবাদী	தீவிரவாதிகள்
প্রমোদ	பிரமோத்
নাজিম	நசீம்
গ্লাসগো	கிளாஸ்கோ
ফোটন	போட்டான்
নির্ভুল	சரியானதாக
নির্ভুল	சரியான
নির্ভুল	கச்சிதமான
ম্যানগ্রোভ	mangrove
একরকম	சமமாக
ইসিবি	ecb
গিল	கில்
সজীব	புதிதாக
সজীব	புதிய
প্রাইম	பிரதம
রোপণ	நடப்பட்ட
উত্তরপশ্চিম	வடமேற்கு
উত্তরপশ্চিম	வடகிழக்கு
শহরতলি	புறநகர்
কেনেথ	கென்னத்
নিছক	mere
হোমো	ஹோமோ
সন্নিবেশিত	உட்பொதிந்த
মহীশূর	மைசூர்
প্যাকেট	பொட்டலங்கள்
কাছিম	ஆமை
জিৎ	ஜீத்
আল্প	alp
বর্গাকার	சதுரம்
কাঁচা	ரா
কাঁচা	வெறுமை
জিব্রাল্টার	ஜிப்ரால்டர்
নিরো	நிரோ
নিরো	நீரோ
রাসূল	ரசூல்
রাসূল	messenger
অস্থির	ஓய்வின்றி
উড়োজাহাজ	விமானம்
কালেক্টর	கலெக்டர்
সালমা	சல்மா
ঘি	நெய்
গণ্ডার	காண்டாமிருகம்
ফ্লোরেন্স	புளோரன்ஸ்
ফরহাদ	பரீட்
সরিষা	கடுகு
ভোরের	விடியல்
স্লোভেনিয়া	ஸ்லோவேனியா
