tine	کانٹے
furnace	انگیٹھی.
evince	ظاہر
evince	عیاں
evince	دکھانا
subordinate	ماتحت.
captivate	لبھانا.
sedentary	نشستہ
sedentary	متمکّن
gumbo	بھنڈی.
corium	کھال
corium	ادمہ
corium	پوست
woof	غراہٹ
woof	بھونک.
conduit	نالی
warty	گومڑیلا
songster	سُریلا
songster	موسیقار
fume	تلملانا
fume	بھاپ
sov	بادشاہ
whitebait	ہیرنگ
philomel	عندلیب
philomel	بلبل.
perseverance	استقلال
perseverance	دلجمعی
effigy	ڈھالا
cinematographer	فلمساز
waxy	غصیلا.
cyclopean	جنّاتی.
cyclopean	جیسا
mealy	زرد
mealy	چتکبرا
casque	خود
quince	بہی
seashell	سیپی
eerie	خوفناک
messy	خراب
messy	گندہ.
messy	پیچیدہ
omphalos	مرکز
omphalos	مدار.
spurious	نقلی
inedible	ناموزوں
ascender	چڑھتا
recover	بلانا
recover	(نقصان
recover	تسلّط
symmetrical	متوازن
symmetrical	متشاکُل
symmetrical	متناسب
squamous	غضروفی
squamous	فلسی
squamous	پتریلا
conjunctiva	مُلتحمہ.
patriarchal	سرقبیلی
patriarchal	سرگروہی
yogurt	رائب.
yogurt	رائب.
yogurt	دہی
prune	ترشائی.
currant	کشمش.
wrench	مروڑ
wrench	سنسی.
wrench	مروڑنا
syllabic	رکنی.
lydian	لیدائی.
curd	مٹھا
curd	چھاچھ.
hocus	بنانا
congruent	موافق.
hilltop	قُلّہ.
topper	اوّل
topper	بلند
topper	بالا
topper	فائق.
awkward	الجھن
awkward	پھوہڑ.
awkward	الجھن
awkward	بھونڈا
awkward	پھوہڑ.
melancholia	مالیخولیا
arboreal	شجری.
sepal	سبلہ.
birdsong	چہچہا
collectivism	اشتمالیت
incarnate	تمثیل
incarnate	نمونہ
whine	بلکنا.
explication	توضیح
explication	شرح
explication	تفسیر
trilling	مثلّث.
snuff	ہلاس
jurist	وکیل.
dapper	پھرتیلا
dapper	چونچال
paradoxical	متناقض
whirl	گھمیر
whirl	چکّر
whirl	کوشش
ordeal	ابتلا
veneer	(لکڑی
veneer	ملمع.
whitey	گورا.
yob	لچّا
yob	لفنگا
yob	لچّا
galore	وافر
inquest	تبصرہ.
inquest	تجزیہ
topping	سجانا
topping	سجاوٹ
pressman	صحافی
wordplay	تلازمہ.
wordplay	جگت
pulley	چرخی
classicism	قدیم
placard	پوسٹر.
branched	منقسم
diacritic	ماترا
diacritic	اعراب
flourish	جھالا
flourish	at
flourish	جینا
flourish	فعّال
flourish	دکھانا
mow	کھلیان.
callus	صلابہ.
callus	گٹّا
swaraj	سوراج
brio	چونچالی.
brio	زورآوری
brio	حوصلہ
vegan	بقولاتی
hemi	نصف
hemi	آدھا
spender	خرّاچ
elongation	تطویل
crate	ڈھوڈا.
crate	ڈھانچا
simulacrum	ریاکاری.
simulacrum	مکر
simulacrum	شبیہہ.
disposable	پھنکاؤشے.
disposable	ردّی
disposable	زیرتصّرف.
petiole	ڈنٹھل.
cardiology	قلبیات.
pyramidal	اہرامی
pyramidal	مخروطی
exclamation	نعرہ
exclamation	پکار
exclamation	پکارنے
exclamation	صدا.
exclamation	للکار.
scoria	چیکٹ
scoria	کھنگڑ.
scoria	فضلہ.
scoria	کِیٹ
bogey	(متروک)
bogey	شیطان.
cumin	کمون
sailer	جہاز
devotional	دینی
parasitoid	زنبور.
upbeat	رجائی
upbeat	بشاش.
movable	جَنگم.
deterministic	جبری
deterministic	اجتباری
midst	بیچ
midst	درمیان.
midst	وسط
graft	on
outrider	گڈریا.
stowage	رکھنے
stowage	گودام
stowage	بھنڈار.
soulful	جذباتی
mycology	فطریات.
metaphysical	تصوّراتی.
metaphysical	خیالی
punchy	طاقتور
punchy	زوردار
punchy	جمتوّل.
evasive	حیلہ
evasive	فراری
evasive	بچنے
evasive	گریزاں
kismet	قسمت.
artistry	کاریگری
craze	خبط.
negroid	نیگرو.
spearhead	قراول.
spearhead	اگوا
craftsman	دستکار.
craftsman	ہنرمند
speleological	کہفیاتی
militarism	عسکریت.
concatenate	وابستہ.
concatenate	منسلک
laminate	تہوں
ninon	نینو
archway	ڈیوڑھی.
archway	چھتّا
sturdy	توانا
sturdy	قوی
diorama	مختصر
literate	خواندہ.
spud	آلو.
spud	(بعدہ
spud	up
matchmaker	مشّاطہ.
prescriptive	عائد
prissy	پُرتکلف
hackberry	خارک-
agronomy	فلاحت.
spiky	نکیلا
spiky	غصیل
spiky	چڑچڑا.
horny	شرنگی.
horny	سنگدل
vitelli	اذہاب.
cobbler	چمار.
cobbler	شکر
cobbler	موچی
cobbler	چمار.
cobbler	شکر
compère	پروگرام
compère	داعی.
compère	میزبان
commonplace	فرسودہ
commonplace	فرسودہ
commonplace	پامال
ballpark	تخمینی
taphonomy	احفوریات
taphonomy	رکازیات
bonk	زد
bonk	دھماکا
adios	الفراق.
corrector	مصلح
corrector	مودّب.
continual	مسلسل
siling	تنزانیہ
siling	کینیا
hermetic	پُراسرار.
hermetic	پوشیدہ
splendour	عظمت.
splendour	شکوہ
splendour	جلال
splendour	عظمت.
splendour	شکوہ
intersex	مخنثی.
urinary	شاشی
urinary	بولی.
plump	کچا
plump	ناشائستہ
plump	بونگا
dielectric	حاجز
lymphatic	مٹّھا
lymphatic	سست
lymphatic	لدّھڑ.
muso	موسیقار
integrator	تکمیلیہ
mindless	احمق.
omelette	آملیٹ.
exploratory	آزمائشی
exploratory	تفتیشی
exploratory	معلوماتی
exploratory	تحقیقی
pandemonium	افراتفری.
abandonment	تیاگ
abandonment	ترک
abandonment	تیاگ
tweak	مارلینا.
piglet	خوکچہ
ornament	سجانا.
brisk	پھرتیلا
brisk	تیز
portraiture	نقاشی.
euphonium	شیپور.
sear	جھلسانا
heater	طمنچہ.
heater	بندوق
heater	گرمالہ.
subcontinent	برصغیر
muck	کھاد.
muck	گڑبڑ
muck	گند
muck	ابتری.
lineal	لکیروں
lineal	خطوط
tassel	پُھندنا
tassel	طرّہ.
cymbal	مجیرا
cymbal	جلاجل
cymbal	مجیرا
cymbal	جھانجھ
cymbal	جلاجل
fid	اڑنگا
limnology	جھیلوں
suet	بیلوں
