basel	basel
comparativ	vertaileva
comparativ	verrattain
comparativ	verrattuna
islamice	islamilainen
islamice	islamilaisen
salt	hyppy
salt	hypätä
salt	hyppää
salt	suolan
salt	suola
salt	salt
salt	suolaa
dezvolta	kehittyy
dezvolta	kehittää
dezvolta	kehittyä
tensiune	jännitys
tensiune	jännite
tensiune	jännitteitä
tensiune	jännitteet
tensiune	jännitettä
tensiune	jännite
banda	nauha
banda	kasetti
batman	batman
batman	batmanin
pius	pius
trăiască	live
trăiască	livenä
trăiască	elä
trăiască	elää
exprimate	näyttelijät
exprimate	heitetty
exprimate	ilmaistu
exprimate	ilmaistuna
exprimate	ilmaissut
exprimate	ilmaisi
moneda	valuutta
moneda	valuuttaa
moneda	kolikkoa
moneda	kolikon
moneda	kolikko
instalații	laitosten
instalații	laitteistot
instalații	laitokset
romeo	romeo
aruncă	heittää
aruncă	heitto
conservare	suojelu
conservare	säilyttäminen
conservare	säilytys
conservare	säilyminen
conservare	säilyttäminen
matilda	matilda
recentă	viimeaikainen
recentă	viimeaikaiset
recentă	viimeisimmät
recentă	äskettäin
accentul	korostus
accentul	aksentti
trenul	juna
trenul	junalla
trenul	junan
bate	hakata
bate	hakkaa
bate	hakkaa
propuse	ehdotetut
propuse	ehdotettu
manuscris	käsikirjoitus
tanc	säiliö
tanc	tank
tanc	tankki
zguduit	ravisteli
bolnav	sairasta
bolnav	sairas
bolnav	sairaat
prix	prix
nguyen	nguyen
afectează	vaikuttaa
fiice	tyttäret
nigeria	nigerian
nigeria	nigeriassa
gust	maista
gust	maku
gust	makua
gilbert	gilbert
allah	allahin
allah	allah
joan	johanna
joan	joan
latina	latinalainen
latina	latinalaisen
latina	latinaa
latina	latina
vila	vila
vila	huvila
vila	villa
bor	bor
bor	boori
muncitori	työntekijöitä
muncitori	työläiset
muncitori	työntekijöiden
muncitori	työntekijät
györgy	györgy
strategic	strategisesti
strategic	strateginen
strategic	strategiset
privit	katsoi
privit	katsonut
privit	katsottu
privit	katsellut
privit	katseli
dennis	dennis
geografia	maantiede
miami	miami
miami	miamiin
miami	miamin
lang	lang
multumesc	kiitos
multumesc	kiitti
bugetul	talousarvio
bugetul	talousarvion
bugetul	budjetti
matthew	matthew
intervalul	etäisyys
intervalul	vaihteluväli
intervalul	väli
wisconsin	wisconsin
străzile	kadut
străzile	katujen
străzile	katuja
străzile	kaduilla
sunete	kuulostaa
sunete	äänet
cablu	kaapelin
cablu	kaapeli
cablu	kaapelit
barajul	dam
barajul	pato
autonom	autonominen
autonom	itsenäiset
autonom	itsenäinen
lucas	lucas
justin	justin
justin	justinin
laurent	laurent
lingvistice	kielellisen
northern	pohjoinen
northern	pohjois
astea	nämä
astea	näitä
procedura	toimenpide
procedura	menettelytapa
procedura	menettely
marx	marx
primăvară	kevättä
primăvară	kevään
primăvară	kevät
gândirea	ajattelun
gândirea	ajattelu
gândirea	miettii
gândirea	ajattelua
esențial	välttämätöntä
esențial	oleellinen
esențial	olennainen
consecutive	peräkkäisen
navarra	navarra
carnivore	lihansyöjä
repere	korostetaan
cifră	numeroinen
singapore	singaporessa
singapore	singaporen
interpreta	tulkita
acoperire	pinnoite
acoperire	kansi
acoperire	kattaa
acoperire	kannen
acoperire	suojaa
acoperire	kattavuutta
acoperire	kattavuus
acoperire	kattavuuden
wells	wells
pasăre	lintu
pasăre	linnun
pasăre	bird
ocazional	satunnaisesti
ocazional	välillä
ocazional	ajoittain
ocazional	satunnaisesti
ocazional	toisinaan
dedesubt	alapuolelle
dedesubt	alle
dedesubt	alapuolella
dedesubt	alla
atei	ateisteja
fundul	perse
stadiul	vaihe
stadiul	näyttämö
stadiul	vaiheessa
stadiul	lava
transforma	muunnos
grădină	puutarha
springs	springs
detaliate	yksityiskohtainen
detaliate	yksityiskohtaiset
estimat	arvio
estimat	arvioidut
estimat	arviolta
estimat	arvioitu
derivate	johdannaiset
derivate	johdannaisia
derivate	johdettu
derivate	johdannainen
liban	libanonin
scaune	tuolit
scaune	puheenjohtajat
scaune	tuoleja
scaune	istuimet
scaune	paikat
regii	kuninkaat
regii	kuninkaita
apărând	ilmestyvät
apărând	puolustaa
apărând	puolustaminen
emma	emman
emma	emma
persană	persialainen
doyle	doyle
efectuarea	tekeminen
efectuarea	tekoa
efectuarea	esiintyminen
efectuarea	suorittaa
efectuarea	esiintymistä
organe	elinten
organe	elimet
organe	elinten
organe	elin
organe	elimet
surori	sisarukset
surori	siskot
surori	sisaret
goethe	goethe
cazimir	casimir
aug	elokuu
eforturi	ponnisteluja
eforturi	pyrkimykset
eforturi	ponnistelut
bobby	bobbyn
bobby	bobby
ring	rengas
ring	sormus
ring	kehä
ring	soida
sever	ankara
sever	vakavat
sever	vakava
sever	sever
faze	vaiheita
faze	vaiheet
pielea	ihon
pielea	iho
pielea	ihoa
abordare	lähestymistapa
abordare	lähestymistavan
vorbind	puhuu
vorbind	puhuminen
apărat	puolusti
apărat	puolustanut
mina	mina
cameron	cameron
cameron	cameronin
revistele	lehtiä
revistele	lehdet
decisiv	ratkaisevaa
decisiv	ratkaiseva
decisiv	ratkaisevat
decisiv	päättäväinen
decisiv	määräävä
sălbatice	wild
sălbatice	villiä
sălbatice	hurja
sălbatice	villi
definiția	määrittely
definiția	määritelmä
definiția	määritelmät
stins	haalistunut
averea	vauraus
averea	rikkautta
averea	rikkaudet
averea	vaurautta
averea	rikkaus
practicat	harjoitettu
practicat	harjoitellut
practicat	harjoittanut
dați	antaa
dați	annetaan
țintă	target
țintă	kohde
comunitățile	yhteisöt
comunitățile	yhteisöjen
nenumărate	lukemattomat
nenumărate	lukemattomia
vânzare	myyntiin
vânzare	myynti
cunoștință	tuttavuus
vărul	serkun
vărul	serkku
mer	mer
automată	automaattinen
automată	automaattisesti
automată	automaattiset
automată	automaatti
refugiați	pakolaisten
refugiați	pakolaisille
refugiați	pakolaisia
refugiați	pakolaiset
fereastră	ikkuna
fereastră	ikkunasta
fereastră	ikkunan
rector	rehtori
propagandă	propagandaa
dominat	hallinnut
dominat	hallitsi
crească	kasva
crească	kasvaa
crească	kasvata
crească	kasvattaa
rebel	kapinallisten
rebel	kapinallinen
ccd	ccd
lanțul	ketjun
lanțul	ketjut
lanțul	ketjussa
lanțul	ketju
pascal	pascal
mecanica	mekaniikka
iugoslaviei	jugoslaviassa
iugoslaviei	jugoslavian
damian	damian
roll	roll
roll	rullaa
preluarea	haetaan
preluarea	hakeminen
preluarea	hakee
preluarea	haltuunotto
coadă	jonossa
coadă	jono
coadă	jonoon
coadă	hännän
judecător	judge
judecător	tuomari
judecător	tuomarina
semnează	allekirjoitus
semnează	merkki
semnează	allekirjoittaa
semnează	allekirjoita
palermo	palermon
hugh	hugh
termică	lämpö
termică	terminen
laos	laosin
argumentele	perustelut
argumentele	väitteet
fir	lanka
fir	lanka
fir	lankaa
legiunea	legioona
chip	chip
chip	sirun
chip	siru
prefect	prefekti
coroană	seppele
coroană	kruunua
coroană	crown
coroană	kruunu
coroană	kruunun
localizată	sijaitsee
triburile	heimot
mon	mon
lisa	lisa
lisa	lisaa
lisa	liisa
platoul	plateau
păsările	lintuja
păsările	linnut
păsările	lintujen
arcul	keula
arcul	kumartaa
arcul	jousi
square	torille
square	square
square	aukio
square	neliö
square	torilla
doc	doc
doc	tohtori
încet	hitaasti
call	kutsu
call	soita
call	puhelu
cerul	taivas
cerul	taivaan
cerul	sky
esențiale	välttämätöntä
esențiale	oleellinen
esențiale	olennainen
transferul	siirrä
transferul	siirrettävä
transferul	siirto
transferul	siirrot
creatorul	luoja
companiile	yritysten
companiile	yrityksiä
companiile	yhtiöt
companiile	yritykset
silvia	silvia
silvia	sylvia
gibson	gibson
înconjurată	saarrettu
înconjurată	piiritetty
viktor	viktor
adulți	aikuisia
adulți	aikuiset
adulți	aikuisille
adulți	aikuiset
adulți	aikuinen
adulți	aikuista
adulți	aikuisten
nivele	tasot
nivele	tasot
nivele	tasoja
copertă	kansi
copertă	kattaa
copertă	kannen
copertă	suojaa
atribuită	määrätty
atribuită	osoitettu
atribuită	määritetyt
atribuită	määritetty
wood	puu
wood	puuta
wood	puusta
abc	abc
geo	maantieteelliset
geo	geo
coordonatele	koordinaatteja
coordonatele	koordinaatit
johan	johan
santos	santos
gif	gif
armament	aseistus
credit	hyvitys
credit	luotto
credit	luottoa
simfonia	sinfonia
marcând	pisteytys
visul	unta
visul	uni
visul	haaveilla
visul	dream
visul	unelma
eddie	eddie
întreprinderi	yritysten
întreprinderi	yrityksiä
întreprinderi	yritykset
mir	mir
entități	yhteisöt
pescuit	kalastus
pescuit	kalatalous
pescuit	kalastaa
pescuit	kalastusta
pescuit	kalastus
pescuit	kalatalous
proporție	osuus
opoziția	vastustus
opoziția	opposition
opoziția	oppositio
jorge	jorge
frecvența	esiintyvyys
frecvența	taajuus
frecvența	esiintymistiheys
frecvența	tiheys
frecvența	yleisyys
atribuite	määrätty
atribuite	osoitettu
atribuite	määritetyt
atribuite	määritetty
bursă	fellowship
bursă	stipendin
etaje	lattiat
etaje	kerrosta
etaje	lattia
rază	säde
reciproc	keskinäiset
reciproc	keskinäinen
reciproc	yhteiset
reciproc	vastavuoroisen
reciproc	yhteinen
reciproc	molemminpuolinen
extra	ylimääräiset
extra	ylimääräistä
extra	extra
extra	ylimääräinen
extra	lisä
avansate	kehittynyt
avansate	edistynyt
avansate	kehittyneet
trenuri	junia
trenuri	junien
trenuri	junat
tratarea	kohtelee
antena	lautanen
antena	lautasen
antena	astia
antena	antenni
umbra	varjon
umbra	varjo
umbra	varjo
umbra	varjoa
umbra	sävy
vocală	vokaali
omorât	murhattu
omorât	murhasi
omorât	murhattiin
omorât	tapettu
omorât	tappanut
omorât	tappoi
mărturii	lausuntoja
mărturii	kokemuksia
aaron	aaron
falls	kaatuu
falls	putoaa
falls	falls
figură	hahmo
paraná	paraná
transformare	muuntaminen
transformare	muunnos
academică	akateemisen
academică	akateeminen
promovează	edistää
promovează	mainostaa
promovează	markkinoi
promovează	markkinoida
promovează	mainosta
promovează	mainostaa
promovează	edistä
promovează	mainostaminen
digitale	digital
digitale	digitaaliset
digitale	digitaalisen
digitale	digitaalinen
abbas	abbas
grafic	kaavio
grafic	kuvio
grafic	graafinen
grafic	kaavio
grafic	kuvio
antrenori	valmentajat
antrenori	kouluttajien
contul	tiliä
contul	tilin
contul	tili
contul	huomioon
pedeapsa	seuraamus
pedeapsa	rangaistus
pedeapsa	rangaistuksen
pedeapsa	rangaistusta
pedeapsa	rangaistus
bancă	pankkiin
bancă	pankki
bancă	pankin
bancă	penkin
bancă	penkki
bancă	penkillä
mei	mei
mei	mein
sevilla	sevilla
sevilla	sevillan
domnule	herra
definite	määritellyt
definite	määritetty
definite	määritelty
pauză	pysäytä
pauză	tauko
pauză	riko
pauză	rikkoa
pauză	tauko
allan	allan
seminarul	seminaarissa
seminarul	seminaarin
seminarul	seminaari
seminarul	seminaariin
săptămâna	viikon
săptămâna	viikolla
săptămâna	viikkoa
săptămâna	viikko
globală	globaali
globală	global
globală	maailmanlaajuinen
globală	maailmanlaajuiset
globală	maailmanlaajuisen
torre	torre
conan	conan
brescia	brescia
sarcini	tehtäviä
sarcini	tehtävien
sarcini	tehtävät
circuitul	piiri
circuitul	circuit
înfrânt	voitti
înfrânt	voitettu
înfrânt	lyöty
ferrara	ferrara
string	naru
string	narua
string	string
julian	julian
julian	julianin
mandatului	toimeksiannon
mandatului	toimeksianto
mandatului	valtuudet
mandatului	toimikausi
collins	collins
collins	collinsin
ontario	ontarion
valoroase	arvokkaita
valoroase	arvokas
valoroase	arvokasta
pianist	pianisti
reclamă	kaupallista
reclamă	kaupalliset
reclamă	kaupallinen
reclamă	mainostaminen
reclamă	mainos
reclamă	mainonta
reclamă	mainontaa
merite	ansaitsevat
merite	ansiot
merite	ansioiden
tong	tong
comunicații	viestintä
comunicații	tietoliikenne
comunicații	viestinnän
manga	manga
marketing	markkinoinnin
marketing	markkinointi
declara	julistaa
montreal	montrealin
ribbentrop	ribbentrop
scade	lasku
scade	väheneminen
scade	vähentynyt
ton	tonnikalaa
ton	tonnikalan
ton	tonnikala
ton	sävy
cheia	key
cheia	avain
cheia	avaimen
cheia	keskeinen
cheia	avainta
romanov	romanov
mecanice	mekaanisen
mecanice	mekaaninen
mecanice	mekaaniset
ascunde	piilota
ascunde	piilottaa
mobil	mobile
mobil	liikkuva
mobil	liikkuvat
mobil	matkapuhelin
sean	sean
schi	hiihto
schi	ski
schi	suksi
schi	hiihtämään
schi	hiihto
fondarea	perustaja
depozite	varastot
depozite	varastoja
depozite	talletuksia
depozite	talletukset
fictiv	kuvitteellinen
fictiv	kuvitteellinen
aeroport	lentokenttä
aeroport	lentokentälle
aeroport	lentoasema
talentul	lahjakkuus
talentul	kyky
oklahoma	oklahoma
terestră	maanpäällisen
permisiunea	lupa
bernhard	bernhard
nepoata	lapsenlapsi
nepoata	veljentytär
bătut	hakattu
bătut	lyöty
pragul	kynnyksen
ouă	munien
ouă	munat
ouă	kananmunia
ouă	munia
ușa	ovi
ușa	oven
aristotel	aristoteles
alpha	alpha
alpha	alfa
firmă	luja
atlético	atlético
sprijină	tukevat
sprijină	tukee
tipărită	painetut
tipărită	painettu
rica	rica
imnul	hymni
chirurgie	leikkaukset
chirurgie	leikkaus
chirurgie	leikkauksen
madison	madison
icoana	kuvake
icoana	kuvaketta
amy	amy
amy	amyn
klaus	klaus
adriana	adriana
pași	vaiheita
pași	vaiheet
pași	askelia
pași	portaat
pași	askeleet
legislația	lainsäädäntöä
legislația	lainsäädännön
legislația	lainsäädäntö
butler	butler
butler	hovimestari
discutat	keskusteli
discutat	keskustellut
inutil	turhaa
inutil	hyödytön
inutil	hyödytöntä
rolling	rolling
rolling	pyörii
explicație	selitys
explicație	selitykset
ritm	rytmiä
ritm	rytmi
hudson	hudson
placa	laatta
bursa	bursa
bursa	stipendin
nori	pilviä
nori	pilvistä
nori	pilvet
edmund	edmund
mercedes	mercedes
intelectuali	älymystön
intelectuali	henkisen
împotrivă	vastoin
împotrivă	vastaan
proprietari	omistajia
proprietari	omistajille
proprietari	omistajat
protejat	suojeltu
protejat	suojattu
protejat	suojellut
ronald	ronald
colective	kollektiivinen
popularitate	suosittu
popularitate	suosiota
popularitate	suosio
popularitate	suosion
gândit	luulin
gândit	ajatus
gândit	luuli
homo	homo
homo	homoja
homo	homo
homo	gay
castle	linnaan
castle	linna
castle	linnaa
droguri	huumeet
droguri	huumeita
droguri	lääkkeet
droguri	huumeita
droguri	huumeet
droguri	huume
droguri	huumeiden
droguri	lääke
willem	willem
execuție	toteuttaminen
execuție	teloitus
execuție	suoritus
execuție	toteutus
execuție	täytäntöönpano
jucând	pelaamassa
jucând	pelaa
jucând	leikkii
generat	luotu
generat	tuotettu
succese	onnistumisia
succese	menestys
succese	menestystä
succese	onnistuminen
bratislava	bratislavan
damasc	damaskoksen
nuvelă	romaani
nuvelă	novella
publica	julkaista
publica	julkaise
card	kortin
card	kortti
reformei	uudistaminen
reformei	uudistukset
reformei	uudistus
reformei	uudistuksen
necunoscute	tuntematon
filipine	filippiineillä
filipine	filippiinien
filipine	filippiinit
secundară	toissijainen
promis	luvattu
promis	lupasivat
promis	luvannut
promis	lupasi
rin	rin
rin	reinin
incident	välikohtaus
semnificația	merkitys
semnificația	merkityksen
semnificația	merkitystä
plecare	lähdön
plecare	lähtö
memorii	muistelmat
gândire	ajattelun
gândire	ajattelu
gândire	miettii
gândire	ajattelua
identificate	tunnistettu
identificate	yksilöity
anatomia	anatomian
farmacie	apteekista
farmacie	apteekki
mexican	meksikolaista
mexican	meksikolainen
mexican	meksikon
five	viisi
portrete	muotokuvia
pictate	maalasi
pictate	maalattu
aleksandr	aleksandr
parcuri	puisto
pozitivă	positiiviset
pozitivă	myönteinen
pozitivă	positiivinen
pozitivă	positiivista
tipărit	painetut
tipărit	painettu
sângele	veri
sângele	blood
sângele	verta
marchiz	markiisi
yemen	jemenin
cântând	laulaa
cântând	laulavat
cântând	laulu
cântând	laulua
stiluri	styles
protejarea	suojelu
protejarea	suojelee
protejarea	suojella
protejarea	suojeleminen
norvegian	norjalainen
norvegian	norjaksi
norvegian	norjan
norvegian	norja
împușcat	laukaus
împușcat	ammuttu
împușcat	ampui
sălbatică	wild
sălbatică	villiä
sălbatică	hurja
sălbatică	villi
teamă	pelkoa
teamă	pelko
teamă	pelkää
statui	patsaita
sâmbătă	lauantai
sâmbătă	lauantaina
profesioniști	ammattilaisille
profesioniști	ammattilaiset
profesioniști	ammattilaisia
irlandez	irlanti
irlandez	irish
irlandez	irlantilaiset
irlandez	irlannin
irlandez	irlantilainen
consilieri	neuvonantajia
consilieri	neuvonantajat
consilieri	neuvonantajien
bunica	isoäiti
bunica	mummo
bunica	isoäiti
bunica	mummi
bunica	mummo
bunica	mummi
bunica	isoäiti
bunica	mummo
lituaniei	liettuan
lituaniei	liettua
limitate	limited
limitate	rajattu
limitate	rajoitettu
limitate	rajallinen
pereți	muurit
pereți	seiniä
pereți	seinät
perry	perryn
perry	perry
sept	väliseinä
distincție	ero
distincție	erottelu
platformă	alusta
platformă	foorumi
platformă	alustan
platformă	laituri
cronici	chronicles
rugăciune	rukouksen
rugăciune	rukous
luther	luther
personalitatea	persoonallisuus
personalitatea	luonne
personalitatea	persoona
atelierul	työpaja
cook	cook
cook	kokki
tara	maa
tara	valtio
tara	maata
tara	maan
tara	taran
tara	tara
abur	höyryä
oleg	oleg
respectarea	noudattaminen
respectarea	noudattamista
vama	tulli
interimar	väliaikaisen
interimar	väliaikainen
adult	aikuiset
adult	aikuinen
adult	aikuista
adult	aikuisten
împarte	jako
împarte	jaettu
experimental	kokeellinen
logica	looginen
logica	logiikkaa
logica	logiikan
logica	logiikka
helsinki	helsingissä
helsinki	helsinkiin
helsinki	helsingin
helsinki	helsinki
julia	julia
mussolini	mussolini
scooby	scooby
faimos	kuuluisa
faimos	kuuluisia
faimos	kuuluisat
faimos	tunnettu
nuntă	häät
nuntă	häitä
magdalena	magdalena
anastasia	anastasia
studiourile	studios
bat	bat
bat	maila
bat	lepakko
apr	huhtikuu
apr	huhtikuuta
apr	huhti
mintea	mielen
mintea	mieli
dmitri	dmitri
dmitri	dmitri
americanii	amerikkalaisia
americanii	amerikkalaiset
americanii	yhdysvaltalaiset
alexei	aleksei
sârb	serbia
sârb	serbian
documentul	asiakirjan
documentul	dokumentti
documentul	asiakirja
baba	baba
preocupat	huolestunut
brusc	yllättäen
brusc	yhtäkkiä
brusc	äkillinen
japonezi	japanilaista
japonezi	japani
japonezi	japanilainen
japonezi	japanin
japonezi	japanilaiset
inspirată	inspiroi
paraguay	paraguayn
jennifer	jennifer
facto	facto
izolat	eristetty
izolat	eristetty
izolat	eristyksissä
berg	berg
anulat	peruutettu
anulat	peruttu
anulat	peruutettu
anulat	perui
anulat	peruttu
precizează	määritä
precizează	määrittele
evaluare	arvio
evaluare	arvostelu
evaluare	luokitus
evaluare	arviointi
evaluare	arvio
evaluare	arviointi
evaluare	arvio
evaluare	arvostus
asediu	piiritys
divizat	jaettuna
divizat	jaettu
divizat	jako
divizat	jaettu
bergamo	bergamon
taxe	veroja
taxe	verot
taxe	maksuja
taxe	maksut
taxe	palkkiot
novo	novo
încurajat	kannusti
încurajat	kannustetaan
enterprise	yritys
enterprise	yrittäjyys
enterprise	enterprise
inamic	vihollisia
inamic	viholliset
inamic	vihollinen
vehicul	ajoneuvo
vehicul	ajoneuvoa
vehicul	ajoneuvon
botanică	botany
botanică	kasvitieteellinen
arma	ase
arma	tykki
arma	pyssy
arma	ase
diferențele	erot
diferențele	eroja
diferențele	erimielisyydet
servi	palvele
servi	palvella
hanul	majatalo
presupus	oletettu
presupus	oletettiin
presupus	oletettavasti
presupus	oletettu
presupus	väitti
presupus	väitetty
presupus	oletettu
presupus	oletetaan
presupus	oletetun
nagy	nagy
musulmane	muslimi
musulmane	muslimien
musulmane	muslimit
modificată	muunnettu
modificată	muutettu
modificată	muokattu
modificată	muutettu
modificată	muutetut
definitivă	lopullisen
rasa	rotua
rasa	rotu
rasa	kisa
rasa	rotu
rasa	kisaa
restaurarea	palauttamista
restaurarea	palauttaminen
emerit	emeritus
cafenea	kahvila
cafenea	cafe
cafenea	kahvilassa
cafenea	kahvila
cafenea	café
permanente	pysyvää
permanente	vakituinen
permanente	pysyvä
vizibilă	näkyvä
vizibilă	näkyvissä
vizibilă	näkyy
vizibilă	näkyvät
asociație	association
asociație	yhdistys
index	indeksi
index	hakemisto
obișnuită	tavallinen
obișnuită	tavalliset
obișnuită	tavanomainen
moral	moraalisesti
moral	moraalinen
moral	moraali
moral	moraalista
kenneth	kenneth
trofee	palkintoja
asigurări	vakuutus
asigurări	vakuutuksen
asigurări	vakuutukset
dispute	riidat
portughez	portugalia
portughez	portugali
portughez	portugalin
funcționar	virkailija
haiti	haitin
sindromul	syndrooma
sindromul	oireyhtymä
locație	sijainti
prezență	osanotto
prezență	osallistuminen
prezență	läsnäolo
prezență	läsnäolon
prezență	läsnä
prezență	läsnäolo
eugene	eugene
cândva	joskus
persan	persialainen
traseu	polkua
traseu	reittiä
traseu	reitin
traseu	reitti
îmbunătățit	parani
îmbunătățit	parantunut
îmbunătățit	parannettu
îmbunătățit	parannettu
îmbunătățit	tehostettu
vinde	myy
vinde	myydä
vinde	myydään
atlantique	atlantique
arhitecturale	arkkitehti
logic	loogista
logic	looginen
logic	loogisesti
logic	looginen
logic	logiikkaa
logic	logiikan
logic	logiikka
precizie	tarkkuutta
precizie	tarkkuus
precizie	tarkkuuden
precizie	tarkkuutta
precizie	tarkkuus
meyer	meyer
măsoară	mitata
măsoară	mitta
măsoară	toimenpide
măsoară	toimenpiteen
măsoară	mittaa
dom	dome
dom	kupu
dom	dom
über	über
fame	mainetta
fame	maine
fame	kuuluisuus
controlat	ohjattu
controlat	valvottu
controlat	hallittu
controlat	hallinnassa
coleg	kollega
coleg	kollegan
coleg	kollegansa
coleg	työkaveri
express	ilmaista
express	express
amt	amt
nel	nel
baltice	itämeri
baltice	baltian
baltice	itämeren
mustafa	mustafa
ardere	polttaminen
ardere	palamisen
ardere	poltto
ardere	polttaminen
ardere	palava
ardere	poltetaan
ardere	polttaa
cost	kustannukset
cost	maksaa
cost	hinta
cost	kulut
cost	kustannus
modifică	muokata
modifică	muokkaa
boeing	boeing
întoarcere	palaa
întoarcere	paluu
întoarcere	palautus
întoarcere	palauta
întoarcere	palata
cercetătorii	tutkijoita
cercetătorii	tutkijoiden
cercetătorii	tutkijat
peșteră	luola
senat	senaatti
senat	senaatin
gay	homoja
gay	homot
gay	homoja
gay	homo
gay	gay
creta	kreeta
creta	liitu
ming	ming
montgomery	montgomery
egiptean	egypti
egiptean	egyptiläiset
egiptean	egyptiläinen
egiptean	egyptin
variabile	muuttujaa
variabile	vaihteleva
variabile	muuttuja
variabile	muuttujan
variabile	muuttuva
variabile	muuttujat
mediterană	välimeri
mediterană	välimeren
metale	metalli
metale	metal
metale	metallia
metale	metallinen
metale	metallit
pană	sulka
bush	bushin
bush	bush
standardele	standardit
standardele	standardeja
standardele	standardien
standardele	normit
daneză	tanskan
daneză	tanska
daneză	tanskalainen
verticală	pystysuuntainen
renunță	peruuttaa
renunță	perua
renunță	peru
