процедура	procedimento
хасан	hasan
хасан	hassan
намерения	intenções
намерения	intenções
намерения	intento
намерения	intenção
гонсалес	gonzalez
гонсалес	gonzález
гонсалес	gonzales
гонсалес	gonzález
хоп	lúpulo
хоп	hop
юлий	julius
юлий	júlio
мок	coi
арбитр	árbitro
арбитр	árbitro
арбитр	árbitro
свадьба	boda
свадьба	casamento
свадьба	bodas
свадьба	wedding
журналистики	jornalismo
преобразование	convertendo
преобразование	conversão
преобразование	reconversão
преобразование	transformações
преобразование	transformação
преобразование	transforme
преобразование	transformada
преобразование	transformar
преобразование	transforma
ученый	cientista
ученый	cientistas
ученый	erudito
ученый	estudioso
театры	teatros
театры	cinemas
содружества	commonwealth
содружества	comunidade
гитары	guitarra
гитары	violão
гитары	guitarras
крейсеров	cruzadores
неба	ceu
неба	sky
неба	céu
политехнический	politécnico
политехнический	politécnica
закрыто	fechou
закрыто	fechado
закрыто	fechada
закрыто	fechados
мельница	moinho
механик	mecânico
механик	mecânica
склад	armazém
склад	entreposto
склад	armazenagem
склад	armazenamento
публично	publicamente
джейсон	jason
чрезвычайный	extraordinária
чрезвычайный	extraordinárias
чрезвычайный	extraordinário
чрезвычайный	extraordinários
критическое	críticas
критическое	crítico
критическое	critica
критическое	críticos
критическое	crítica
используемые	utilizada
используемые	usada
используемые	usado
используемые	utilizado
используемые	utilizados
используемые	usados
прощения	perdão
райан	ryan
особняк	mansão
хлеб	pães
хлеб	pão
избрана	eleito
избрана	eleita
избрана	eleitos
сады	pomar
сады	pomares
сады	jardins
сады	gardens
слоя	camada
движок	motor
девочки	girls
девочки	miúdas
девочки	garotas
девочки	raparigas
девочки	meninas
освободить	libertação
освободить	release
освободить	solte
освободить	lançamento
освободить	liberação
освободить	libertar
гипотезы	hipóteses
середина	meados
середина	mid
медицинская	médica
медицинская	medico
медицинская	medicina
медицинская	médicos
логично	logicamente
логично	lógico
логично	lógica
логично	lógicas
выпускников	diplomados
выпускников	graduados
выпускников	licenciados
жаль	piedade
жаль	pena
месяцы	meses
индонезия	indonésia
дизайнер	desenhador
дизайнер	designer
дизайнер	desenhista
дизайнер	estilista
стол	tabela
стол	mesa
стол	quadro
стол	secretária
стол	escrivaninha
луиджи	luigi
исчезли	desapareceram
исчезли	desaparecido
исчезли	sumiu
исчезли	desapareceu
могилы	graves
могилы	covas
могилы	sepulturas
могилы	túmulos
могилы	campas
томми	tommy
королевская	real
королевская	royal
белков	proteínas
способствовало	contribuíram
способствовало	contribuiu
способствовало	contribuído
соглашается	concorda
чан	chang
чан	chan
чан	jang
улицах	ruas
казнь	execução
тольятти	togliatti
морис	maurice
морис	maurício
совершает	comete
самцы	machos
убедить	convence
убедить	convencer
убедить	convença
убедить	persuadir
убедить	convencer
убедить	convença
технику	técnica
частного	privada
частного	privado
частного	private
оригинальные	originais
оригинальные	original
цветы	flores
рыцарь	knight
рыцарь	cavaleiro
рыцарь	cavalo
рыцарь	cavaleiros
прокат	aluguel
прокат	aluguel
прокат	renda
литве	lituânia
родригес	rodriguez
родригес	rodríguez
родригес	rodrigues
родригес	rodríguez
дам	barragem
дам	dique
дам	represa
дам	dam
наблюдать	observem
наблюдать	observar
наблюдать	observe
кама	kama
тэц	chp
печатных	impressos
печатных	impressa
печатных	impresso
северное	norte
северное	setentrional
северное	northern
ценностей	valores
квадратный	quadrada
квадратный	praça
квадратный	square
квадратный	quadrado
квадратный	quadrados
малайзии	malásia
малайзии	malaio
малайзии	malásia
одежда	roupas
одежда	roupa
одежда	vestuário
одежда	roupas
одежда	roupa
промышленные	industrial
промышленные	industriais
тяжёлая	pesado
тяжёлая	heavy
тяжёлая	pesadas
тяжёлая	pesados
тяжёлая	pesada
мкс	iss
мкс	irc
мкс	mic
мкс	cie
оппонентов	adversários
оппонентов	oponentes
оппонентов	opositores
вдова	viúva
вдова	viúvas
вдова	viúvo
вдова	viúva
грибы	cogumelos
грибы	fungo
грибы	fungos
грибы	cogumelos
грибы	cogumelo
идеологии	ideologia
идеологии	ideologias
разрешить	autorizar
разрешить	autorize
разрешить	autorizo
разрешить	permitir
разрешить	permita
разрешить	permitir
барбара	bárbara
барбара	barbara
признали	reconhecido
признали	reconheceu
признали	reconhecidos
признали	reconhecida
признали	reconhecido
признали	reconhecidas
признали	reconhecidos
признали	reconhecida
признали	reconhecido
признали	reconheci
признали	reconhecidas
признали	reconhecidos
признали	reconhecida
верфи	estaleiro
псевдонимы	pseudónimos
псевдонимы	apelidos
псевдонимы	alcunhas
законодательство	legislação
ксения	xenia
ксения	ksenia
ганс	hans
сзади	atrás
сзади	retaguarda
сзади	traseiro
сзади	traseiros
сзади	traseira
иллинойс	illinois
тон	tonelada
тон	ton
тон	tons
тон	tone
планете	planet
планете	planeta
леви	levi
леви	levy
леви	imposição
потомков	descendentes
потомков	descendentes
регистр	regista
регистр	registro
регистр	registrar
регистр	registo
регистр	registar
регистр	secretaria
регистр	registro
регистр	registo
прототип	protótipo
прототип	protótipos
творческий	criativo
творческий	creative
творческий	criativos
творческий	criativa
геологии	geologia
химический	químico
химический	químicos
химический	química
астрономы	astrônomos
астрономы	astrónomos
нижние	lower
нижние	inferior
чистой	limpo
чистой	limpe
чистой	limpar
чистой	limpa
украинцы	ucranianos
украинцы	ucraniana
украинцы	ucranianos
украинцы	ucraniano
продолжая	continuar
продолжая	continuando
коды	códigos
среду	quarta
уголовное	criminoso
уголовное	criminal
уголовное	criminosa
уголовное	penal
капитал	capitais
капитал	capital
монография	monografia
росс	ross
гвинеи	guiné
гвинеи	guiné
гвинеи	guineense
вкус	gosto
вкус	sabor
вкус	provar
вкус	prove
вкус	gostos
вкус	sabor
ссылается	remete
ссылается	invoca
племя	tribo
племя	tribos
дама	moça
дама	senhora
дама	dama
дама	dama
дама	dame
атлетика	atletismo
трудящихся	trabalhadores
трудящихся	operários
трудящихся	trabalhadoras
ставки	apostas
ставки	aposta
ставки	apostas
ставки	apostar
ставки	apostando
ставки	taxas
ставки	tarifas
ставки	estacas
люблю	amor
люблю	love
люблю	amo
подруга	namorada
подруга	amigo
подруга	amiga
сицилии	sicilia
сицилии	sicília
клиентов	cliente
клиентов	clientes
клиентов	clientes
клиентов	clientes
выпускник	licenciatura
выпускник	graduação
выпускник	graduado
возникновение	emergência
возникновение	surgimento
успенский	uspensky
остановка	parar
остановка	parando
гвинея	guiné
реформа	reformar
реформа	reformar
реформа	reforma
реформа	reformas
войти	login
войти	entra
войти	insira
войти	enter
войти	entrar
скрипки	violinos
дева	virgo
дева	virgem
дева	virgin
дева	virgens
дева	virgem
дева	donzela
дева	maiden
травму	traumatismo
травму	traumatologia
травму	trauma
травму	traumas
висит	pendura
висит	forca
висит	enforcamento
висит	enforcado
конвенции	convenção
конвенции	convenções
конвенции	convenções
местоположения	localizações
местоположения	localidades
местоположения	locais
обнаружить	descubra
обнаружить	descobre
обнаружить	descobrir
обнаружить	descubram
душа	chuveiro
душа	alma
душа	soul
медведь	ursinho
медведь	bear
медведь	urso
чёрное	preta
чёрное	black
чёрное	preto
чёрное	negro
чёрное	pretas
эхо	ecos
эхо	eco
эхо	echo
кипра	chipre
быстрый	rápido
быстрый	rápido
быстрый	fast
кратеров	crateras
тан	tang
тан	tan
тан	bronzeado
спектр	espectro
спектр	espectro
спектр	specter
спектр	espectro
курт	kurt
курт	curt
ширину	largura
представлений	envios
нации	nação
нации	nation
джин	jin
джин	gin
джин	gim
джин	jean
джин	gene
джин	genes
продано	vendida
продано	vendido
продано	vendidos
продано	vendidas
продано	vendeu
материнская	materno
материнская	maternal
материнская	materna
мощный	poderosas
мощный	poderosa
мощный	poderoso
мощный	poderosos
кругах	círculos
записать	registro
записать	recorde
записать	gravar
записать	record
испанская	castelhano
испанская	espanhola
испанская	espanhóis
испанская	espanhol
комплексы	complexos
разнообразные	diverso
разнообразные	diversa
разнообразные	diversificado
мол	mal
мол	mol
моложе	younger
интерпретации	interpretações
льда	ice
льда	gelo
северные	norte
северные	setentrional
северные	northern
сопровождении	escoltado
обоснования	justificações
зимний	inverno
институты	institutos
институты	instituições
немецкое	alemã
немецкое	alemães
немецкое	alemão
норвежский	noruegueses
норвежский	norueguesa
норвежский	norueguês
командиров	comandantes
взяв	levando
взяв	tomando
лейтенанты	tenentes
вулкан	vulcão
вулкан	vulcano
дополнительная	adicional
дополнительная	adicionais
дополнительная	figurante
дополнительная	extra
десятилетий	décadas
выросла	cresceram
выросла	crescia
выросла	cresceu
гостиницы	hotéis
конкретный	específicas
конкретный	específicos
конкретный	específica
конкретный	especifico
конкретный	específico
конкретный	concreto
конкретный	cimento
конкретный	concretas
конкретный	betão
конкретный	concretos
верить	acredita
верить	acreditar
верить	believe
верить	creia
верить	acredite
купить	compra
купить	buy
купить	compre
купить	compro
купить	comprar
верность	fidelidade
верность	fidelidade
верность	lealdade
поднять	elevar
поднять	eleve
поднять	levantar
поднять	levante
поднять	lift
поднять	elevador
поднять	levantar
поднять	levantem
поднять	levante
плата	taxa
плата	honorários
репутацию	reputação
коммуникации	comunicações
коммуникации	comunicação
костюм	figurino
костюм	fantasia
костюм	naipe
костюм	traje
костюм	fato
костюм	terno
избирательный	selectivo
избирательный	seletiva
избирательный	selectivos
избирательный	selectiva
маяк	farol
маяк	beacon
маяк	farol
маяк	sinalizador
норма	norma
норма	norma
норма	norm
отдельное	separe
отдельное	separado
отдельное	separados
отдельное	separar
воин	warrior
воин	guerreiro
воин	guerreira
крус	cruz
отбора	seleção
отбора	selecção
бойцы	combatentes
бойцы	combatentes
бойцы	lutadores
бойцы	caças
лук	allium
лук	cebolas
лук	cebola
лук	cebolas
лук	cebola
лук	curvar
лук	arco
лук	proa
лук	bow
ушел	gone
ушел	ido
ушел	sumido
прусской	prussiano
прусской	prussiana
бабушка	vovó
бабушка	avó
бабушка	vovó
бабушка	avó
бабушка	vó
бабушка	vovó
бабушка	avó
фишер	fisher
фишер	fischer
симфония	symphony
симфония	sinfonia
скажите	dizer
скажите	say
скажите	digam
скажите	diga
скажите	diz
разрешено	autorizado
разрешено	autorizou
разрешено	autorizadas
разрешено	autorizados
разрешено	autorizada
разрешено	permitido
разрешено	permitidos
разрешено	permitidas
разрешено	permitida
разрешено	permitido
разрешено	permitidos
разрешено	permitida
разрешено	autorizado
разрешено	autorizou
разрешено	autorizadas
разрешено	autorizados
разрешено	autorizada
гражданские	civil
гражданские	civis
гражданские	civil
гражданские	civis
гражданские	civis
марино	marino
александров	alexandrov
вызвали	convocado
вызвали	convocados
вызвали	convocada
яковлев	yakovlev
богдан	bogdan
проектирование	concepção
проектирование	desenho
проектирование	design
проектирование	desenho
проектирование	projecção
функционирования	funcionamento
функционирования	funcionando
низкая	baixa
низкая	baixos
низкая	low
низкая	baixo
краснодар	krasnodar
завершено	completou
завершено	concluída
завершено	concluído
завершено	concluídas
завершено	concluídos
завершено	terminei
завершено	terminou
завершено	acabado
завершено	concluído
завершено	terminado
завершено	terminada
сталинская	estalinista
франс	frans
франс	franca
франс	frança
индейцы	indianos
индейцы	índios
трио	trio
польшу	polônia
польшу	polónia
толщиной	espesso
толщиной	grossa
толщиной	grosso
толщиной	espessa
достоинство	dignidade
верующих	crentes
верующих	fiéis
верующих	fieis
верующих	fiel
верующих	fiéis
пустыни	deserto
пустыни	desert
пустыни	desertos
пустыни	desertos
оборона	defesa
оборона	defesa
оборона	defensiva
оборона	defensivo
оборона	defensivos
аллен	allen
технически	tecnicamente
дяди	tios
христос	cristo
героиня	heroína
снята	retirados
снята	retirado
снята	retirada
снята	retiradas
эрика	erika
эрика	erica
требовать	requerer
требовать	exigir
требовать	exigem
приобретает	adquire
согласиться	concordar
согласиться	concorda
согласиться	concordam
согласиться	concordo
упомянуть	mencionar
упомянуть	menção
пещера	gruta
пещера	caverna
кабардино	cabárdia
снимаю	filmando
снимаю	filmar
снимаю	filmagem
снимаю	filmagens
гости	visitantes
гости	hóspedes
гости	convidados
гости	convidadas
обнаружена	descobriram
обнаружена	descoberta
обнаружена	descoberto
обнаружена	descobertos
обнаружена	detectadas
обнаружена	detectada
обнаружена	detectado
обнаружена	detectados
переворот	golpe
южные	sulistas
южные	sulista
южные	sul
южные	southern
южные	meridional
афганистан	afeganistão
перри	perry
обслуживание	serviços
обслуживание	serviço
религиозный	religiosos
религиозный	religiosa
религиозный	religioso
религиозный	religiosas
сортов	variedades
сортов	castas
выделение	seleção
выделение	selecção
вероятности	probabilidades
степанов	stepanov
банки	banks
банки	bancos
банки	potes
банки	frascos
банки	latas
патриархата	patriarcado
используемый	utilizada
используемый	usada
используемый	usado
используемый	utilizado
используемый	utilizados
используемый	usados
настоящие	real
настоящие	verdadeiro
настоящие	reais
настоящие	verdadeiros
настоящие	verdadeira
настоящие	autêntico
настоящие	autêntica
тяжёлый	pesado
тяжёлый	heavy
тяжёлый	pesadas
тяжёлый	pesados
тяжёлый	pesada
сорок	forty
сорок	quarenta
ларри	larry
курган	kurgan
зам	zam
временной	temporal
временной	temporais
запретить	ban
запретить	banimento
запретить	banir
запретить	proibição
запретить	proibir
крыша	telhado
крыша	telhados
крыша	teto
промышленный	industrial
промышленный	industriais
продюсеры	produtores
объяснение	explicações
объяснение	explicação
уэст	west
уэст	ocidente
уэст	oeste
атмосферу	atmosfera
добавления	aditamentos
добавления	acréscimos
добавления	adições
добавления	apêndices
прорыв	avanço
прорыв	despertado
сложный	complexas
сложный	complexo
сложный	complexos
сложный	complexa
сложный	complicados
сложный	complicado
сложный	complicadas
сложный	complicou
сложный	complicada
лат	lat
мастерство	habilidade
мастерство	perícia
мастерство	habilidades
сущность	essência
дизель	diesel
дизель	gasóleo
приоритет	prioridade
кратко	brevemente
кратко	resumidamente
кратко	breves
кратко	breve
боли	dor
боли	dores
боли	pain
секс	sex
секс	sexo
уолтер	walter
инцидент	incidente
посредничества	mediação
серый	gray
серый	cinzento
серый	cinza
серый	cinzenta
серый	cinzento
серый	cinza
серый	grey
серый	cinzentos
филармонии	filarmónica
филармонии	filarmônica
точность	precisão
точность	exactidão
точность	rigor
точность	precisão
точность	exatidão
просмотра	visualizando
просмотра	visualização
политбюро	politburo
альянс	aliança
альянс	alliance
заявляет	declara
проза	prosa
упорно	teimosamente
белки	proteína
белки	proteínas
белки	proteínas
белки	esquilos
мяса	carne
мяса	carnes
мяса	meat
управляет	gerencia
управляет	gere
скандал	escândalo
скандал	escândalos
петровский	petrovsky
разницы	margem
разницы	margens
свадьбы	casamentos
свадьбы	boda
свадьбы	casamento
свадьбы	bodas
свадьбы	wedding
ранение	lesões
ранение	lesão
ранение	prejuízo
ранение	ferimento
ранение	ferimento
ранение	ferida
подразумевает	implicado
подразумевает	implícita
подразумевает	implícito
подразумевает	implícitas
подразумевает	implica
подразумевает	insinua
фсб	fsb
пенсильвания	pennsylvania
пенсильвания	pensilvânia
цепь	circuito
цепь	circuitos
цепь	cadeia
цепь	corrente
видна	visíveis
видна	visível
звёздный	estelares
звёздный	estelar
пятой	quinto
пятой	quinta
волгоград	volgogrado
делегации	delegações
персона	persona
умершего	defunto
умершего	falecida
умершего	falecido
умершего	falecidos
заменены	substituído
заменены	substituída
заменены	substituído
заменены	substituídos
заменены	substituída
заменены	substituiu
процессор	processador
процессор	processadores
процессор	cpu
изредка	ocasionalmente
эксперименты	experimentando
эксперименты	experiências
эксперименты	experimentos
эксперименты	experimentação
эксперименты	experimentação
монах	frei
монах	frade
монах	monk
монах	monge
гражданина	cidadã
гражданина	cidadão
флоренции	florença
занят	ocupados
занят	ocupado
занят	ocupada
баз	bases
баз	baz
добровольцев	voluntários
добровольцев	voluntárias
добровольцев	voluntário
добровольцев	voluntariado
добровольцев	voluntária
добровольцев	voluntários
рождение	partos
рождение	nascimentos
рождение	parto
рождение	nascimento
отменить	cancelar
отменить	cancela
отменить	anular
отменить	desfazer
винтовки	espingardas
винтовки	rifles
самостоятельный	autónomo
самостоятельный	autônomo
самостоятельный	autónoma
самостоятельный	autônoma
доски	tábuas
доски	pranchas
доски	tábuas
отступить	retiro
отступить	recuo
отступить	retirada
отступить	recuar
отступить	retirar
очевидна	óbvia
очевидна	obvio
очевидна	óbvio
вступление	introdução
существо	wesen
существо	criatura
открытая	abre
открытая	aberto
открытая	abra
открытая	abrir
открытая	aberta
открытая	open
знати	nobres
принесли	trouxeram
принесли	trouxe
принесли	trazido
единство	unidade
единство	unity
восьмой	oito
восьмой	eight
восьмой	oitava
восьмой	oitavo
столкновение	colisão
столкновение	confronto
столкновение	clash
батарея	pilha
батарея	bateria
оценил	classificou
оценил	avaliado
оценил	nominal
оценил	classificados
оценил	classificado
оценил	apreciada
оценил	apreciados
оценил	apreciadas
оценил	apreciado
топливо	combustível
топливо	fuel
топливо	combustíveis
топливо	combustíveis
зенит	zenit
зенит	zenith
педагогических	pedagógica
педагогических	pedagógico
кристаллическая	cristalino
кристаллическая	cristalina
рико	rico
снятие	levantamentos
снятие	retiradas
снятие	elevação
снятие	levantar
снятие	levantamento
снятие	levantando
снятие	retirada
снятие	abstinência
прекращения	terminação
прекращения	cessação
прекращения	rescisão
купил	comprou
купил	comprados
купил	comprada
купил	adquirido
купил	comprado
купил	comprei
купил	comprou
купил	comprada
купил	comprado
купил	comprados
срочно	urgência
срочно	urgentes
срочно	urgente
срочно	urgentemente
петрозаводск	petrozavodsk
похожие	semelhante
похожие	similar
похожие	semelhantes
похожие	similares
похожие	semelhante
похожие	sósia
похожие	semelhantes
врачи	médicos
врачи	medicos
врачи	doutores
врачи	médicos
глубину	profundidade
галактики	galáxias
собирать	cobrar
собирать	recolher
собирать	coletar
уникальный	únicos
уникальный	único
уникальный	única
уникальный	únicas
павловна	pavlovna
массачусетс	massachusetts
мюллер	müller
мюллер	mueller
мюллер	muller
мюллер	muller
мостов	bridges
мостов	pontes
миллион	milhões
миллион	milhão
экспериментов	experimentação
комнаты	salas
комнаты	quartos
ралли	comício
ралли	rally
ралли	rali
сократить	encurtar
сократить	reduzir
сократить	reduza
сократить	corta
сократить	cut
сократить	corte
сократить	cortar
стрельба	tiroteio
стрельба	atirando
стрельба	tiro
стрельба	tiroteio
стрельба	tiros
раскопки	escavação
раскопки	escavações
раскопки	escavações
корпорация	corporation
корпорация	corporação
австрийская	austríaca
австрийская	austrian
австрийская	áustria
австрийская	austríacos
австрийская	austríaco
вершина	apex
вершина	ápice
вершина	vértice
вершина	vértices
перестал	parou
перестал	pararam
перестал	parei
перестал	parado
стрелок	atirador
стрелок	shooter
стрелок	pistoleiro
региональный	regionais
региональный	regional
резиденция	residence
резиденция	residência
катание	patinação
катание	patinagem
католицизм	catolicismo
эпитет	epíteto
изготовление	fabrico
изготовление	fabricação
изготовление	fabrico
изготовление	fabricação
изготовление	making
изготовление	fazendo
победителей	vencedores
победителей	ganhadores
победителей	vencedoras
пользователи	utilizadores
пользователи	usuários
полу	semi
борисов	borisov
землетрясения	terremotos
землетрясения	sismos
землетрясения	terramotos
землетрясения	terremoto
землетрясения	terramoto
землетрясения	sismo
колоний	colônias
колоний	colónias
христиане	christian
христиане	cristã
христиане	cristiano
христиане	cristão
христиане	cristãos
христиане	cristãos
рнк	rna
рнк	arn
тыл	retaguarda
тыл	traseiro
тыл	traseiros
тыл	traseira
кипр	chipre
мифы	mitos
судьбу	destino
судьбу	destiny
судьбу	destino
судьбу	fate
глубины	profundezas
глубины	profundidades
глубины	profundidade
огпу	ogpu
ногу	foot
ногу	pé
ногу	perna
страх	fear
страх	temer
страх	medo
страх	temor
интересная	interessante
интересная	interessantes
заседания	encontros
заседания	reuniões
побеждает	vitórias
побеждает	ganha
побеждает	vence
разработчик	construtor
разработчик	desenvolvedores
разработчик	programador
разработчик	desenvolvedor
статуи	estátuas
активная	ativo
активная	activo
активная	ativa
активная	activa
активная	ativos
оперативной	operacional
оперативной	operacionais
начальное	primária
начальное	primário
начальное	primárias
начальное	primários
растворяется	dissolve
заметили	notada
заметили	notou
заметили	reparou
заметили	notado
вмешательства	ingerência
вмешательства	interferência
вмешательства	interferências
вмешательства	intervenções
вмешательства	intervenção
корона	coroa
корона	crown
корона	corona
политиков	políticos
политиков	politicos
посла	embaixadora
посла	embaixador
регулярного	regulares
регулярного	regular
нова	nova
разногласия	divergências
разногласия	diferenças
разногласия	desentendimento
разногласия	desacordo
разногласия	discordância
разногласия	desentendimentos
разногласия	divergências
операторы	operadoras
операторы	operadores
производственного	produtivas
производственного	produtiva
производственного	produtivo
производственного	produtivos
эмигрировал	emigrou
риа	ria
традиционный	tradicional
традиционный	tradicionais
генералов	generais
фонтан	fonte
авторство	autoria
ресторан	restaurante
присутствовали	frequentou
присутствовали	compareceu
присутствовали	compareceram
углы	cantos
углы	esquinas
углы	ângulos
партизаны	partidários
партизаны	guerrilheiros
отчет	relatório
отчет	denunciar
отчет	relatar
экспорт	exporta
экспорт	exportação
экспорт	exportações
экспорт	exporta
экспорт	exportação
экспорт	exportações
экспорт	exportar
экспорт	exportação
экспорт	exportar
антония	antonia
целое	inteiros
целое	inteiro
целое	inteiras
целое	inteiros
целое	inteiro
фёдоровна	feodorovna
вещь	coisa
подтверждено	confirmaram
подтверждено	confirmado
подтверждено	confirmou
подтверждено	confirmados
подтверждено	confirmada
лёгкий	leves
лёгкий	leve
шведская	suecos
шведская	sueco
шведская	sueca
товарищества	camaradagem
враг	inimigo
враг	inimigas
враг	inimiga
враг	inimigos
изменилось	mudado
изменилось	alterado
изменилось	mudou
изменилось	alterada
изменилось	mudei
богдана	bohdan
наследник	herdeiro
наследник	herdeira
коммунистическая	comunistas
