víztározó	reservoir
zászlók	vlaggies
hangsúly	beklemtoning
hangsúly	benadruk
megszálló	invallende
rajzolt	getrek
rajzolt	geteken
rajzolt	drew
megmutatta	gewys
elkészítése	voorbereiding
főnix	phoenix
grey	grys
grey	grey
michelangelo	michelangelo
forever	verewig
liu	liu
tisztek	beamptes
legkevésbé	minste
osztva	ingedeel
érme	coins
érme	munte
érme	muntstukke
érme	muntstuk
érme	coin
antonius	antony
protokoll	protokol
hallott	aangehoor
sajnálom	jammer
asztalos	carpenter
asztalos	skrynwerker
asztalos	houtwerk
névleges	gekeurde
névleges	rated
névleges	gegradeer
névleges	nominaal
elnöksége	presidensie
szabályzat	reëls
szabályzat	regulasies
szabályzat	beleid
fájlok	lêers
ardennes	ardenne
harag	woede
harag	wrath
harag	woede
harag	rage
feliratok	subtitels
morrison	morrison
hullámok	golwe
jogszabály	reg
jogszabály	wet
jogszabály	wetgewing
mérték	gradeer
mérték	tarief
mérték	beoordeel
mérték	gemeet
mérték	meet
romlott	rotten
romlott	vrot
romlott	bederf
elvek	beginsels
tengerpart	strand
tengerpart	strande
tengerpart	kus
tengerpart	kuslyn
műszer	instrument
műszer	apparaat
villeneuve	villeneuve
üresen	leeg
üresen	leë
üresen	egipte
üresen	leë
üresen	blank
szervez	organiseer
izom	spiere
izom	spier
képzési	oefening
ismételt	herhaalde
veszett	hondsdolheid
líbia	libië
fázis	phase
fázis	fase
hills	hills
fedezett	gedek
gran	gran
rossini	rossini
kiegészítés	supplement
kiegészítés	addendum
reggae	reggae
égő	brons
égő	skryfwerk
címeket	titels
amsterdam	amsterdam
nigel	nigel
louvre	louvre
választható	opsioneel
választható	opsionele
közvetett	indirekte
elme	gedagte
büszke	trots
mia	mia
orleans	orleans
dinoszaurusz	dinosaur
dinoszaurusz	dinosourus
eredményezte	resulted
xxx	xxx
kambodzsa	kambodja
kambodzsa	cambodia
yonne	yonne
kifejtett	getoon
bristol	bristol
gyümölcsök	vrug
gyümölcsök	vrugte
gyümölcsök	fruits
gyárban	fabriek
bretagne	bretagne
moss	mos
moss	moss
énekelni	eer
énekelni	sang
énekelni	sing
énekelni	singing
énekelni	singende
téglalap	reghoek
szigetcsoport	argipel
líra	lira
líra	lire
feleségek	housewives
böngésző	blaaier
olvasott	lees
olvasott	gelees
bolton	bolton
napokon	dae
zimbabwe	zimbabwe
csupasz	bare
garcia	garcia
repül	fly
repül	vlieg
repül	vlieënde
repül	flying
sullivan	sullivan
airways	airways
érzelmek	emosie
érzelmek	emosies
érzelmek	feelings
érzelmek	gevoelens
galaxy	galaxy
galaxy	sterrestelsel
jung	jung
dallam	melody
dallam	melodie
dallam	tune
helyzetű	benadeelde
helyzetű	benadeel
sandra	sandra
sebész	chirurg
folyami	rivier
nyilatkozat	vrywaring
nyilatkozat	ontkenning
nyilatkozat	disclaimer
nyilatkozat	stelling
nyilatkozat	verklaring
algériai	algeriese
övé	hers
regina	regina
simone	simone
gyermekkori	childhood
richards	richards
koronázás	coronation
pozíciók	standpunte
pozíciók	posisies
órák	ure
órák	horlosies
órák	klasse
órák	horlosies
tár	clip
tár	tydskrif
taxon	takson
tizennyolc	agtien
lev	lev
christina	christina
helmut	helmut
említ	meldings
nathan	nathan
nero	nero
szabadalmi	patent
fenntartott	gereserveer
museo	museo
toledo	toledo
petri	petri
operatív	operasionele
tévedés	fout
tévedés	fout
claudia	claudia
ágak	takke
bern	bern
gard	gard
klubok	klawer
klubok	klubs
mindeközben	intussen
braun	braun
aude	aude
övezet	sone
megmenteni	manlik
kivételek	uitsonderings
kivételek	uitsondering
rajongó	waaier
rajongó	aanhanger
rajongó	bewonderaar
hozzáférhető	toeganklike
hozzáférhető	toeganklik
válaszokat	antwoorde
válaszokat	antwoorde
fogyasztása	verbruik
fogyasztása	vrymoedigheid
értékelés	beoordeling
küldeni	stuur
hódítás	verowering
iskolákban	skole
államférfi	statesman
állatkert	dieretuin
állatkert	zoo
csökkenteni	verminder
günther	günther
chase	chase
szenegál	senegal
metropolitan	metropolitaanse
metropolitan	metropolitan
figyelt	gekyk
judo	judo
díszlet	natuurskoon
díszlet	stelle
duke	duke
duke	hertog
ellátás	voorrade
ellátás	verskaffing
ellátás	voorrade
ellátás	voorraad
ellátás	verskaf
gedeon	gideon
ruhát	klere
rákos	kreef
rákos	kanker
far	ver
alabama	alabama
majom	apie
majom	aap
kasztília	kastilië
teatro	teatro
merész	vet
merész	vetdruk
josh	josh
dohány	tabak
elkészített	bereid
elkészített	prepared
nbc	nbc
üstökös	komeet
univerzális	bekyk
platina	platinum
powell	powell
szerencse	fortuin
szerencse	lucky
szerencse	gelukkig
termékeket	produkte
sokoldalú	veelsydige
szalag	tape
szalag	strook
szalag	strip
vágás	cut
vágás	redigeer
vágás	verstrek
vágás	redigering
vágás	wysiging
felismerhető	herkenbaar
testek	bodies
őrmester	sersant
qui	qui
manhattan	manhattan
tisztviselő	administrateur
tisztviselő	amptelik
tisztviselő	amptenaar
tisztviselő	amptelike
vancouver	vancouver
állatorvos	veearts
szabályozása	behartig
brüsszelben	brussels
brüsszelben	brusselse
brüsszelben	brussel
eugene	eugene
konstantinápoly	konstantinopel
prof	prof
fogadó	gasheer
fogadó	bediener
fogadó	inn
fogadó	herberg
apostolok	apostles
hívő	believer
egyetemek	universiteite
abdul	abdul
app	toepassing
íze	smaak
túlélő	oorlewendes
túlélő	survivor
graf	graaf
tengerparton	strand
kristályos	kristal
kristályos	crystal
xavier	xavier
csúnya	lelik
viszonylagos	relatief
viszonylagos	relatiewe
oregon	oregon
sztár	ster
sztár	star
kevesebbet	minder
silvio	silvio
egyensúly	saldo
egyensúly	balans
egyensúly	ewewig
xxii	xxii
orlando	orlando
june	junie
bernhard	bernhard
megegyezés	skikking
megegyezés	ooreenkoms
megegyezés	indeling
összefüggés	konteks
barcelonai	kaapstad
barcelonai	barcelona
igazolja	regverdig
ingatlan	eiendom
ital	drank
ital	drankie
ital	drankies
szemek	oë
sovány	leun
sovány	lean
sovány	maer
sovány	dun
ciudad	ciudad
krónikák	chronicles
hajóval	skip
hajóval	skeep
szintetikus	sinteties
lezuhant	omgeval
kézikönyv	handleiding
kézikönyv	handmatige
kézikönyv	hand
kézikönyv	manual
kézikönyv	januarie
raf	raf
tizenkettedik	twelfth
dio	cassius
ügynökség	agentskap
tobago	tobago
átírni	herskryf
adler	adler
gmbh	gmbh
elhelyezve	geposisioneer
zen	zen
bika	bull
hangos	loud
hangos	verdra
mono	mono
lars	lars
polo	polo
tank	tenk
tao	tao
érzés	voel
deutsch	deutsch
pillanat	oomblik
ártatlan	onskuldige
ártatlan	onskuldig
ártatlan	innocentius
ártatlan	innocent
vigyázz	waarneem
vigyázz	horlosie
vigyázz	kyk
vigyázz	dophou
kaiser	kaiser
piquet	piquet
tanul	studying
tanul	opstaan
tanul	leer
tanul	leer
ghz	ghz
incidens	voorval
incidens	insident
incidens	insidente
nicolae	nicolae
dale	dale
roosevelt	roosevelt
kézműves	craft
kézműves	handewerk
obszervatórium	sterrewag
michele	michele
föderáció	federasie
chen	chen
enzim	ensiem
mansell	mansell
halvány	pale
tárgyalt	ooreengekom
táplálék	nutrition
táplálék	voedingswaarde
táplálék	kos
táplálék	voedsel
funkciók	funksionaliteit
funkciók	kenmerke
funkciók	eienskappe
promóciós	promosie
promóciós	promosie
palmer	palmer
edzés	oefen
edzés	practice
edzés	praktyk
edzés	oefen
edzés	oefening
fuvola	fluit
melinda	melinda
zita	zita
mássalhangzó	konsonant
próba	toets
próba	repetisie
próba	toets
win	wen
fellini	fellini
fokozatos	gradual
fokozatos	progressiewe
angela	angela
öröm	vreugde
öröm	plesier
madridi	madrid
texasi	texan
texasi	texas
összecsapás	botsing
összecsapás	clash
összecsapás	konfrontasie
közzétett	geplaas
közzétett	posted
közzétett	gepubliseer
gyakorlatok	oefeninge
gyakorlatok	praktyke
gyakorlatok	reguleer
kozák	cossack
reformok	hervorm
társult	geassosieerde
társult	geassosieer
társult	assosieer
folt	vlek
folt	spot
folt	lap
diamond	diamond
diamond	diamant
dízel	diesel
audio	oudio
hunok	hunne
termelő	produktiewe
termelő	produktief
termelő	vervaardiger
termelő	producer
életmód	leefstyl
facto	facto
chapman	chapman
millennium	millennium
bosszú	vengeance
bosszú	wraak
bosszú	revenge
cicero	cicero
tisztelet	respek
emírségek	emirates
betöltötte	gevul
burkina	burkina
irma	irma
galériában	galery
közvetítő	makelaar
közvetítő	mediator
trófea	trofee
küzd	worstel
miranda	miranda
hülye	dom
örökké	verewig
kukorica	mielie
kukorica	mielies
kukorica	koring
kukorica	mielie
damon	damon
tulajdonosai	eienaars
tesztek	toetse
szerelvény	trein
szerelvény	saamstel
szerelvény	gemeente
domain	domain
domain	domein
helena	helena
nagykövet	ambassador
reakciók	reaksies
reakciók	reaksie
rövidített	afgekorte
elsüllyedt	gesink
sátán	satan
bejegyzett	geregistreer
alany	onderwerp
asztali	veranderlike
asztali	tafel
asztali	tabel
asztali	werkskerm
káosz	chaos
hyde	hyde
állva	staande
állva	staan
hajnalban	dawn
őszinte	genuine
őszinte	eerlike
meteor	meteoriet
meteor	meteor
crassus	crassus
doki	dok
doki	doc
szertartás	ceremony
szertartás	seremonie
szertartás	ritual
fájdalmas	pynlik
alkalmanként	soms
menekülés	wegbreek
menekülés	getaway
menekülés	ontsnap
suárez	suárez
rev	rev
elvis	elvis
befolyás	invloed
befolyás	beïnvloed
számol	counting
számol	tel
trió	trio
javítás	herstelwerk
javítás	regstelling
feltételes	voorwaardelik
feltételes	parole
ich	ich
fulham	fulham
befolyással	invloed
befolyással	beïnvloed
birtokok	landgoed
bevált	gewerk
teremtés	skepping
meggyilkolt	vermoor
meggyilkolt	vermoorde
mozilla	mozilla
oldalsó	laterale
leicester	leicester
humor	komedie
humor	humor
félre	eenkant
vonattal	trein
ronnie	ronnie
meta	meta
neme	geslag
duó	duet
duó	duo
pet	troeteldier
szállítási	aflewering
szállítási	aflewer
szállítási	lewering
utah	utah
mélységben	dieptes
átlátszó	deursigtig
átlátszó	transparent
átlátszó	deursigtige
korlátlan	onbeperk
operát	opera
operát	sepie
para	para
kölyök	kinder
kölyök	kind
azonkívül	besides
temple	tempel
temple	temple
másutt	elders
savanyú	suur
louisiana	russies
louisiana	louisiana
wisconsin	wisconsin
key	sleutel
key	key
tapasztalat	ervaar
tapasztalat	ervaring
tapasztalat	ondervinding
veronica	veronica
api	api
foltok	verbeteringe
foltok	lappe
foltok	ruimtes
foltok	kolle
sérülések	beserings
lóerős	bhp
wang	wang
cache	kas
cache	cache
tajvani	taiwannese
rotterdam	rotterdam
írjon	skryf
áldozatai	slagoffers
baszk	baskiese
python	python
python	luislang
szemet	oog
romeo	romeo
ibrahim	ibrahim
veszteség	verlies
hajózási	versending
minősített	kwalifiserende
minősített	gekwalifiseerde
minősített	gekeurde
minősített	rated
minősített	gegradeer
benz	benz
rágcsálók	knaagdier
namíbia	namibia
namíbia	namibië
tudatában	bewus
tudatában	geweet
törekszik	endeavour
évszak	seisoen
évszak	seisoene
españa	españa
elvégzett	uitgevoer
rövidítés	afkorting
rövidítés	akroniem
rövidítés	afkortings
szarvasmarha	beeste
szarvasmarha	bees
xxiii	xxiii
rush	rush
rush	stormloop
bíbor	pers
bíbor	dagbreek
constantin	constantin
martha	martha
torre	torre
palesztin	palestina
palesztin	palestynse
aviv	aviv
legősibb	oudste
megőrzése	bewaring
cohen	cohen
képességek	vermoëns
képességek	vermoë
képességek	vermoeë
képességek	vaardighede
haller	haller
hozó	bringer
federer	federer
patricia	patricia
mozgását	movements
parkok	parke
gazdálkodás	bestuur
gazdálkodás	boerdery
pentium	pentium
berry	bessie
berry	berry
újságok	koerante
mir	mir
hannah	hannah
hannah	hanna
sportban	sportsoorte
sportban	sport
gil	gil
kölni	keulen
kölni	cologne
ace	skoonskip
ace	ace
ace	aas
megyek	going
megyek	gaan
foix	foix
chicagói	chicago
kétnyelvű	bilingual
létrehozva	geskep
zero	nul
zero	zero
kiindulási	baseline
praktikus	praktiese
praktikus	handy
praktikus	handige
hepburn	hepburn
következetesen	konsekwent
megölni	doodmaak
gérard	gérard
bennszülött	inheemse
bennszülött	plaaslik
fenntartható	volhoubare
vonzó	aantreklike
kombinált	gekombineer
kombinált	combined
foglyok	gevangenes
hatékonyan	doeltreffende
hatékonyan	doeltreffend
hatékonyan	doeltreffend
énekli	sing
granada	granada
védők	defenders
terhesség	swangerskap
vezeték	pyplyn
vezeték	gidse
richardson	richardson
ruha	klerasie
ruha	klere
ruha	kleredrag
ruha	rok
ruha	klere
terek	ruimtes
terek	spasies
woody	woody
vie	vie
gyűrűt	ring
tartósan	aanhoudend
tartósan	hardnekkige
tartósan	permanent
tanítani	teaching
kifejezett	eksplisiet
kifejezett	eksplisiete
kifejezett	getoon
adók	belasting
adók	belastings
österreich	österreich
húsvét	paasfees
rabszolga	slaaf
rabszolga	den
lily	lily
jogilag	legally
genfi	geneva
zár	slot
zár	sluiting
lépcső	staircase
lépcső	stair
lépcső	step
lépcső	stap
lépcső	stappe
lépcső	trappe
szárnyai	vlerke
szárnyai	vleuels
szárnyai	hordes
zeitung	zeitung
carol	carol
vitorlázás	sailing
vedd	neem
vedd	tree
vedd	vat
koronás	gekroonde
rab	gevangene
rab	rab
szárazföld	grond
szárazföld	mainland
pleisztocén	pleistoseen
kint	buite
felügyelet	toesig
felügyelet	observasie
javak	goedere
baskír	basjkiriese
thomson	thomson
alejandro	alejandro
salamanca	salamanca
messier	messier
sarthe	sarthe
terápia	therapy
egészség	gesondheid
gilles	gilles
burke	burke
sebészeti	chirurgiese
köztes	intermediate
henderson	henderson
elképzelt	imaginary
elképzelt	denkbeeldige
martín	martín
érdeklődő	leidrade
darabjai	stukke
látvány	sight
tengerész	matroos
tengerész	marine
disco	disco
márki	markies
wells	wells
valentin	valentin
valentin	valentyn
valentin	valentine
fehérjék	protein
fehérjék	proteïen
felfogás	perception
táblázatok	waardes
táblázatok	tafels
támadásokat	aanvalle
emlékezés	onthou
emlékezés	remembrance
cirkusz	sirkus
cirkusz	circus
íme	behold
januári	januarie
erőforrások	hulpbronne
hozzájárul	contributes
melléknév	aktief
rituális	ritual
fiziológiai	fisiologie
labor	laboratoriums
labor	laboratorium
labor	lab
feketék	blacks
meztelen	naked
meztelen	naak
inn	inn
inn	herberg
valladolid	valladolid
engedéllyel	gelisensieerde
engedéllyel	gelisensieer
tallinn	tallinn
tavi	meer
fölötte	bo
csíkos	gestreepte
csíkos	strepe
értelem	intelligensie
értelem	sin
papa	papa
földek	lands
földek	velde
legfrissebb	nuutste
legfrissebb	jongste
concerto	concerto
hasonlóak	soortgelyke
árnyék	skaduwees
árnyék	skadu
árnyék	skaduwee
árnyék	skadu
árnyék	shade
klinika	kliniek
wing	wing
belize	belize
márciusi	maart
márciusi	optog
falat	muur
ellis	ellis
bergman	bergman
oldalakon	bladsye
oldalakon	blaaie
oldalakon	bladsy
érd	belangstelling
érd	rente
invázió	inval
tojást	eiers
tojást	eier
támogatói	ondersteuners
flavius	flavius
koszovó	kosovo
kifutó	runway
nyaka	nek
earl	earl
legelő	grasveld
legelő	perdagtige
mechanizmus	meganismes
mechanizmus	waartoe
eszik	eet
őrző	guardian
őrző	voog
mozaik	mosaïek
alto	alto
stevens	stevens
savas	suur
súly	gewig
thriller	riller
ericsson	ericsson
fennmaradó	oorblywende
fennmaradó	oor
parancsnokság	kommentaar
gerard	gerard
lionel	lionel
rovat	boks
norma	norma
megkülönböztető	diskriminerende
rubin	ruby
szálak	drade
betty	betty
bejegyzés	inskrywing
bejegyzés	plasing
bejegyzés	plaas
mad	mad
jeffrey	jeffrey
mariah	mariah
kiskorú	minderjarig
kiskorú	minderjariges
kiskorú	klein
mozambik	mozambique
mozambik	mosambiek
portsmouth	portsmouth
andre	andre
andre	andré
burrows	burrows
strand	strand
méh	uterus
méh	bee
nina	nina
golyó	bal
golyó	bullets
golyó	koeël
golyó	bullet
erőforrás	hulpbron
erőforrás	hulpbronne
gall	gall
gall	cisalpina
brooks	brooks
stones	klippe
rousseau	rousseau
oak	oak
gyűjteni	collecting
gyűjteni	versamel
típusai	soorte
típusai	tipes
fogyasztás	verbruik
fogyasztás	vrymoedigheid
mode	modus
rainer	rainer
manó	kabouter
astra	astra
vállalkozások	maatskappye
vállalkozások	companies
vállalkozások	ondernemings
vállalkozások	enterprises
vállalkozások	besighede
kairó	kaïro
titanic	titanic
mao	mao
középfokú	sekondêr
középfokú	sekondêre
szülés	geboorte
stanford	stanford
funk	funk
katar	katar
katar	qatar
cirkáló	cruiser
