川西	kawanishi
アドバイザー	assessor
アドバイザー	consultor
アドバイザー	conselheira
アドバイザー	conselheiros
アドバイザー	conselheiro
アドバイザー	assessor
原点	origem
グリー	glee
徳永	tokunaga
ウィル	will
ウィル	vontade
断片	fragmentos
公家	kuge
大樹	taiki
ヨハネス	johannes
利点	vantagens
利点	vantagem
指針	directrizes
指針	orientações
指針	diretrizes
指針	directriz
指針	orientação
破棄	revogado
破棄	revogados
破棄	revogada
破棄	descartando
破棄	rejeitar
破棄	devoluções
破棄	descartar
マサ	masa
ロイ	roy
若葉	wakaba
おじさん	titio
おじさん	tio
レッズ	vermelhos
スワン	swan
スワン	cisne
野沢	nozawa
肥後	higo
甲賀	koga
沈黙	silencio
沈黙	silêncio
ユタ	utah
ケント	kent
ランチ	almoçar
ランチ	almoço
ヤクザ	yakuza
コープ	cope
マヤ	maya
マヤ	maia
呼び出し	invocação
囚人	prisioneiro
囚人	prisioneira
囚人	prisioneiras
囚人	presos
囚人	prisioneiros
囚人	presidiário
囚人	recluso
道徳	moral
道徳	moralidade
泣き	choro
泣き	chore
泣き	cry
泣き	chorar
泣き	chora
園田	sonoda
邦彦	kunihiko
正則	masanori
入間	iruma
光子	fotão
高倉	takakura
松坂	matsuzaka
カジノ	cassinos
カジノ	casinos
カジノ	cassino
カジノ	casino
頭痛	cefaleias
頭痛	cefaleias
太刀	tachi
いちご	strawberry
いちご	morango
いちご	morangos
いちご	morangos
石塚	ishizuka
コイル	bobina
大泉	oizumi
並列	paralelo
並列	paralelas
並列	paralelos
並列	paralela
主観	subjectividade
キログラム	quilogramas
キログラム	quilograma
給油	reabastecimento
ローソン	lawson
ゴミ	lixo
総覧	soran
顕彰	honrar
事柄	matéria
計算機	calculadora
若狭	wakasa
インク	tinta
インク	tatuagem
インク	tintas
ミサ	missa
ミサ	massa
オバマ	obama
未亡人	viúva
未亡人	viúvas
未亡人	viúvo
未亡人	viúva
タブ	guias
タブ	abas
タブ	separadores
タブ	separador
タブ	tab
タブ	aba
薬学	farmácias
薬学	farmácia
食材	ingredientes
食材	ingrediente
食材	ingredientes
帝都	teito
岩倉	iwakura
暗い	dark
暗い	escura
暗い	sombrio
暗い	escuro
ルース	ruth
ルース	solto
ルース	frouxo
ルース	solta
熱い	quente
熱い	gostosa
熱い	gostosas
風呂	banheiro
風呂	banhos
風呂	banheiras
風呂	termas
風呂	banheira
風呂	banho
風呂	bath
輝き	brilho
ミント	menta
ミント	hortelã
ベンツ	benz
皇女	princesas
融資	empréstimo
融資	empréstimos
融資	empréstimo
融資	financiamento
融資	financiamentos
ピラミッド	pirâmide
ピラミッド	pirâmides
痛み	dor
痛み	dores
痛み	pain
プロフェッショナル	profissionalismo
プロフェッショナル	professional
プロフェッショナル	profissionais
プロフェッショナル	profissional
プロフェッショナル	profissionais
ストックホルム	estocolmo
バトラー	butler
バトラー	mordomo
コラボ	colaboração
パンツ	cueca
パンツ	cuecas
パンツ	calças
パンツ	calça
ソユーズ	soyuz
フランコ	franco
植木	ueki
武雄	takeo
忠誠	fidelidade
浅田	asada
エラー	erros
エラー	erro
エラー	erros
ゆか	yuka
使い方	uso
使い方	utilização
森永	morinaga
クリントン	clinton
塚本	tsukamoto
シリンダー	cilindro
シリンダー	cilindros
シリンダー	cilindros
狩野	kanō
アスキー	ascii
ノード	nó
ノード	nódulo
ベラルーシ	bielorússia
ベラルーシ	bielorrusso
ベラルーシ	bielorrússia
ベラルーシ	bielorrussa
ベラルーシ	bielorrusso
ドミニカ	dominicana
ドミニカ	dominica
硫酸	sulfato
マルタ	maltês
マルタ	malta
なでしこ	nadeshiko
ゆず	yuzu
侍従	chamberlain
侍従	camareiro
ゾウ	elefantes
ゾウ	elefante
ゾウ	elefantes
呪文	soletrar
呪文	feitiço
熱海	atami
創価	soka
サイボーグ	cyborg
サイボーグ	ciborgue
エーカー	hectares
エーカー	acres
エーカー	acre
カザフスタン	cazaquistão
ニュートン	newton
ニュートン	newtoniana
真澄	masumi
群れ	bando
群れ	rebanho
群れ	rebanho
群れ	manada
カイロ	cairo
損害賠償	dano
損害賠償	danos
損害賠償	prejuízos
損害賠償	indemnização
くるみ	kurumi
くるみ	nogueira
くるみ	noz
不具合	insectos
不具合	insetos
不具合	bugs
不具合	bichos
不具合	erros
不具合	bicho
不具合	bug
不具合	insecto
不具合	inseto
幸雄	yukio
メロン	melão
黒澤	kurosawa
英樹	hideki
クーペ	coupe
男の子	garoto
男の子	boy
男の子	moço
男の子	rapaz
男の子	menino
男の子	boys
男の子	rapazes
男の子	meninos
男の子	rapaziada
男の子	garotos
サバ	cavala
サバ	carapau
サバ	sarda
おおよそ	aproximadamente
おおよそ	aproximado
おおよそ	aproximada
梶原	kajiwara
フィット	apto
フィット	fit
面白い	interessante
面白い	interessantes
面白い	engraçado
面白い	engraçada
アクセント	sotaque
アクセント	pronúncia
アクセント	acento
アクセント	sotaque
クロウ	corvo
クロウ	crow
クロウ	crowe
丁寧	educado
丁寧	educada
丁寧	educados
驚異	maravilhas
阿南	anan
派閥	facção
あかり	akari
パケット	pacotes
パケット	pacote
未定	talvez
岡野	okano
花子	hanako
きわめて	extremamente
佐川	sagawa
三日月	crescente
三日月	crescentes
井原	ihara
紅葉	koyo
金田一	kindaichi
子音	consoantes
子音	consoante
保護者	pais
指輪	ring
指輪	ringue
指輪	anel
指輪	argolas
指輪	anéis
ジャンヌ	joana
ジャンヌ	jeanne
ホールド	segure
ホールド	hold
ホールド	segurar
ホールド	segura
証明書	certificados
証明書	certidões
証明書	certidão
証明書	certificado
証明書	atestado
五島	goto
末裔	descendentes
ボウル	bowl
ボウル	taça
ボウル	tigela
ボウル	taças
競泳	nadadores
競泳	nadador
競泳	nadadora
競泳	natação
競泳	nadar
クローバー	trevo
監禁	confinamento
鎌田	kamata
スーパーボウル	superbowl
過半数	maioria
経理	contabilidade
経理	contabilização
硫黄	enxofre
硫黄	enxofre
桃子	momoko
卸売	grossista
卸売	atacado
卸売	grossista
卸売	varejo
フランチェスコ	francesco
向井	mukai
預金	poupança
預金	poupanças
預金	economias
預金	deposito
預金	depósito
預金	depositar
預金	depósitos
捕食	presas
捕食	presa
捕食	rapina
捕食	predação
捕食	predador
捕食	predadores
ヘルメット	capacete
ヘルメット	capacetes
ヘルメット	elmo
ヘルメット	capacetes
雅彦	masahiko
スパーク	centelha
スパーク	faísca
発作	convulsões
発作	apreensões
桜花	ohka
抽象	abstrato
抽象	abstracto
抽象	abstracta
抽象	resumo
抽象	abstrata
赤城	akagi
スルー	thru
スルー	através
スルー	through
穏やか	gentil
穏やか	meigo
穏やか	sereno
フィリップス	philips
フィリップス	philips
フィリップス	phillips
龍馬	ryoma
ケニア	quénia
ケニア	quênia
ケニア	queniano
藤崎	fujisaki
生田	ikuta
寄生	parasita
寄生	parasita
寄生	parasitas
資本主義	capitalismo
浸水	inundada
浸水	inundados
浸水	inundado
八雲	yakumo
意匠	concepção
意匠	desenho
意匠	design
弾道	trajetória
弾道	trajectória
弾道	balístico
弾道	balística
弾道	balísticos
ダーラン	dhahran
デフォルト	padrão
デフォルト	omissão
デフォルト	predefinição
ベット	apostas
ベット	aposta
ベット	bette
ベット	apostar
ベット	aposta
ベット	bet
ドジャース	dodgers
ソープ	sabonetes
ソープ	sabonete
ソープ	sabão
ユネスコ	unesco
ナノ	nano
スチール	aço
スチール	siderurgia
コスプレ	cosplay
茶色	marrom
茶色	brown
茶色	castanhos
茶色	castanhas
茶色	castanha
茶色	castanho
カズ	kazu
解像度	resoluções
解像度	resolução
初舞台	estreou
ロドリゲス	rodriguez
ロドリゲス	rodríguez
ラオス	laos
デュオ	duo
りえ	rie
リビア	líbia
リビア	líbio
リビア	líbia
ジェネレーション	generation
ジェネレーション	geração
丹羽	niwa
ランス	lance
ランス	lança
支配人	gerenciador
支配人	gerente
支配人	gestor
クリニック	clínicas
クリニック	clinica
クリニック	clínica
キッチン	cozinha
レイプ	colza
レイプ	violações
レイプ	violação
レイプ	estupro
ベータ	beta
すみれ	sumire
葛西	kasai
クイン	quinn
没収	confiscar
没収	confiscação
没収	confisco
没収	confiscou
没収	confiscados
没収	confiscado
没収	confiscadas
真珠	pearl
真珠	pérola
真珠	pérolas
赤外線	infravermelhos
赤外線	infravermelho
マカオ	macau
スカート	saia
スカート	saias
音頭	ondo
醤油	soja
アイン	anh
アイン	ein
マシュー	matthew
マシュー	mateus
チャリティー	caridade
チャリティー	beneficência
職場	workplace
ウェルズ	poços
ウェルズ	wells
ノリ	nori
ジェファーソン	jefferson
ウィスコンシン	wisconsin
英二	eiji
カタカナ	katakana
貴子	takako
淳一	junichi
隕石	meteorito
岩石	rochedos
岩石	pedras
岩石	rochas
岩石	rocks
買う	compra
買う	buy
買う	compre
買う	compro
買う	comprar
投げる	atira
盗賊	bandido
盗賊	assaltantes
盗賊	ladrões
盗賊	bandidos
西岡	nishioka
シュトラウス	strauss
親戚	parente
親戚	relativa
親戚	relativo
親戚	parentes
乱れ	turbulência
シモン	simon
シモン	simão
シモン	simón
羽根	penas
羽根	pluma
羽根	pena
イルカ	golfinho
イルカ	dolphin
イルカ	golfinhos
イルカ	golfinhos
バーク	casca
バーク	burke
アンサンブル	conjunto
かご	cesto
かご	cesta
孤児	órfãos
孤児	órfão
孤児	órfãos
孤児	órfã
孤児	órfão
孤児	órfã
前川	maekawa
ホープ	esperança
ホープ	hope
ホープ	esperanças
アームストロング	armstrong
皮肉	irônico
皮肉	ironia
皮肉	irónico
皮肉	sarcasmo
皮肉	ironia
皮肉	ironicamente
テクニカル	técnicos
テクニカル	técnico
テクニカル	técnica
書記官	escrivão
蝦夷	emishi
蝦夷	ezo
華族	kazoku
絞り	abertura
拷問	torturar
拷問	tortura
拷問	torturas
拷問	torturar
ルル	lulu
吸血鬼	vampira
吸血鬼	vampire
吸血鬼	vampiro
アクセル	axel
柳沢	yanagisawa
清掃	limpeza
清掃	limpeza
清掃	limpando
清掃	limpar
清掃	limpezas
排水	drenagem
ダコタ	dakota
ダコタ	dacota
ヘレン	helena
ヘレン	helen
立案	redacção
タック	tuck
プロトタイプ	prototipagem
プロトタイプ	protótipo
プロトタイプ	protótipos
プロトタイプ	protótipos
ウリ	melão
ウリ	melões
ウリ	melão
ウリ	melancias
ウリ	uli
瀬川	segawa
天候	clima
天候	tempo
天候	meteorologia
却下	recusar
却下	declínio
却下	demissão
却下	destituição
却下	despedimento
却下	rejeitados
却下	rejeitado
却下	rejeitada
却下	rejeitadas
シド	syd
シド	sid
名取	natori
スローガン	slogans
スローガン	slogan
綾瀬	ayase
栗田	kurita
バロン	barron
負債	passivo
負債	responsabilidades
負債	passivos
肯定	afirmativo
肯定	afirmativa
挑発	provocações
挑発	provocação
時刻表	calendário
時刻表	horário
バルカン	vulcano
バルカン	bálcãs
バルカン	balcãs
承諾	consentir
承諾	consentimento
承諾	aceitação
添付	anexar
添付	anexo
添付	fixação
添付	anexos
添付	apego
添付	anexos
栗山	kuriyama
ポーズ	pose
ポーズ	posar
ポーズ	posar
ルック	olhe
ルック	olha
カルシウム	cálcio
迂回	desvio
克服	superando
克服	superação
克服	superado
克服	superar
克服	ultrapassar
事由	motivos
事由	fundamentos
和歌	waka
フランチャイズ	franchise
フランチャイズ	franquia
フランチャイズ	franquias
ジュリア	julia
ジュリア	júlia
調停	mediação
調停	concertação
調停	conciliação
ボウリング	boliche
ボウリング	bowling
プリメーラ	primera
コソボ	kosovo
ジャッキー	jackie
マディソン	madison
サビ	ferrugem
静香	shizuka
おもちゃ	toy
おもちゃ	brinquedo
おもちゃ	brinquedos
イヴ	eva
イヴ	véspera
イヴ	eve
ポピュラー	popular
ポピュラー	populares
鋼鉄	aço
鋼鉄	siderurgia
ケイト	kate
パンフレット	folheto
パンフレット	brochura
パンフレット	panfleto
パンフレット	folhetos
パンフレット	brochuras
パンフレット	panfletos
メーター	medidor
メーター	contador
メーター	métrica
メーター	metros
井口	iguchi
体積	volume
体積	volumes
体積	volumes
組み立て	montagem
組み立て	assembleia
組み立て	assembléia
基底	base
栄一	eiichi
陽一	yoichi
有名人	celebridade
有名人	celebridades
有名人	celebridades
ロボ	robo
消す	extinguir
経費	gastos
経費	despesa
経費	gasto
経費	gastos
経費	despesas
ハーバー	harbour
ホリデー	feriado
ホリデー	férias
ミルウォーキー	milwaukee
超過	excesso
超過	excessos
造園	paisagismo
ロク	rok
インテリア	interior
インテリア	interiores
公使	ministro
公使	ministra
公使	ministros
ジョッキー	jockey
ジョッキー	jóquei
キリスト教徒	christian
キリスト教徒	cristã
キリスト教徒	cristiano
キリスト教徒	cristão
キリスト教徒	cristãos
キリスト教徒	cristãos
リヴァプール	liverpool
スコープ	escopo
スコープ	âmbito
スコープ	escopos
三谷	mitani
児島	kojima
カメ	tartaruga
カメ	tartarugas
制裁	sanção
制裁	sanções
バックアップ	backups
バックアップ	backup
バックアップ	reforços
ステファン	estêvão
ステファン	stefan
ステファン	stephan
スーダン	sudão
スーダン	sudanês
細い	fina
細い	finos
細い	magra
細い	magro
細い	fino
筑紫	tsukushi
エキス	extratos
エキス	extractos
エキス	excertos
エキス	extrair
エキス	extracto
エキス	extrato
キッズ	crianças
キッズ	filhos
キッズ	miúdos
キッズ	kids
メッツ	metástases
メッツ	mets
改宗	converteu
改宗	convertido
改宗	convertida
改宗	convertidas
改宗	convertidos
憲章	charter
正雄	masao
キティ	gatinha
キティ	gatinho
由美子	yumiko
敦子	atsuko
ねじ	parafuso
ねじ	parafusos
母方	materno
母方	maternal
母方	materna
警部補	tenente
柔術	jujutsu
正治	masaharu
諸侯	lordes
諸侯	senhores
スキャンダル	escândalo
スキャンダル	escândalos
トンプソン	thompson
テラス	esplanada
テラス	terraço
テラス	varanda
テラス	terrace
キプロス	chipre
キプロス	cipriotas
キプロス	cipriota
ナイジェリア	nigeriano
ナイジェリア	nigéria
ナイジェリア	nigerianos
ナイジェリア	nigéria
ターナー	turner
調和	harmony
調和	harmonia
タニア	tania
タニア	tânia
早乙女	saotome
笑う	rir
笑う	rindo
笑う	risada
笑う	riso
笑う	rir
笑う	ria
アゼルバイジャン	azerbaijão
サントス	santos
支出	gastos
支出	despesas
支出	despesa
支出	despesas
剣術	kenjutsu
マインド	mind
マインド	mente
ベオグラード	belgrado
ミゲル	miguel
三船	mifune
チューナー	sintonizador
元老院	senado
銘柄	brand
銘柄	marca
表彰台	pódio
吉宗	yoshimune
見通し	perspectiva
肺炎	pneumonia
三角形	triângulo
クジラ	baleias
クジラ	baleias
クジラ	baleia
レーニン	lenin
レーニン	lenine
叫び	gritos
叫び	gritaria
叫び	gritando
叫び	gritar
叫び	grite
叫び	grito
叫び	grita
叫び	gritar
龍太郎	ryutaro
ヴュルテンベルク	württemberg
ゼット	zed
上総	kazusa
ハープ	harpa
ソプラノ	soprano
知人	familiaridade
知人	conhecido
知人	conhecidos
知人	conhecidos
北京市	beijing
北京市	pequim
アミノ酸	aminoácidos
遂に	enfim
遂に	finalmente
竹下	takeshita
ムード	disposição
ムード	humor
パブリッシング	publicar
パブリッシング	edição
パブリッシング	publicação
パブリッシング	publicando
山岡	yamaoka
日田	hita
薬局	drogaria
薬局	farmácias
薬局	farmácia
下町	downtown
速水	hayami
ジョヴァンニ	giovanni
ヤス	yasu
カラス	corvo
カラス	crow
模倣	imitação
模倣	imitações
ウォルト	walt
発酵	fermentação
伯父	titio
伯父	tio
楽しい	fun
楽しい	diversão
楽しい	divertimento
楽しい	divertida
楽しい	divertido
七瀬	nanase
トマト	tomate
トマト	tomates
トマト	tomate
騒音	ruídos
騒音	ruído
騒音	barulho
英明	sábia
英明	sábios
英明	wise
英明	sábias
英明	sábio
基質	substrato
流す	descarga
流す	flush
府県	prefeituras
流派	escolas
エステル	ester
エステル	éster
エステル	estelle
ラルフ	ralph
ノーマル	normais
ノーマル	normal
布施	pavio
布施	rastilho
布施	fusível
インタフェース	interface
インタフェース	interfaces
インタフェース	interfaces
遺物	artefato
遺物	artefacto
遺物	artefatos
遺物	relíquias
ナチュラル	naturais
ナチュラル	natural
ボヘミア	boêmia
ボヘミア	boémia
紡績	girando
紡績	fiação
紡績	girar
ディアス	díaz
ディアス	díaz
ディアス	diaz
チャイナ	porcelana
チャイナ	china
こだわり	obsessão
ディフェンダー	defensor
ディフェンダー	defender
ディフェンダー	defensora
ディフェンダー	zagueiro
混血	multirracial
入国	imigração
ラード	banha
代理人	representante
代理人	representativo
代理人	representativa
代理人	agente
レンツ	lenz
売春	prostituição
不全	insuficiência
ドリル	perfurar
ドリル	broca
ドリル	drill
平戸	hirado
話し合い	discussão
話し合い	discussões
スターリング	sterling
スターリング	stirling
ヘルシンキ	helsínquia
ヘルシンキ	helsinki
アーノルド	arnold
ハノーファー	hanover
ハノーファー	hanôver
ハノーファー	hannover
ハノーファー	hanôver
製造業	fabrico
製造業	fabricação
製造業	fabrico
製造業	fabricação
製造業	fabrica
宣告	frase
宣告	sentença
鴨川	kamogawa
土方	hijikata
マフィア	mafia
マフィア	máfia
正平	shohei
ルビ	rubi
ルビ	ruby
ルビ	rubis
山根	yamane
金髪	loiras
金髪	louras
金髪	loiras
金髪	loira
金髪	loiro
金髪	loiros
金髪	loura
金髪	louro
金髪	loira
金髪	loiro
金髪	loiros
小野田	onoda
ヴィオラ	viola
不幸	descontente
不幸	infeliz
不幸	infelizes
胞子	esporos
胞子	esporo
胞子	esporos
開花	floração
開花	florescendo
ジュール	jules
ジュール	joules
ジュール	joule
賀茂	kamo
西宮市	nishinomiya
ナミ	nami
回帰	regressão
アンカー	ancoragem
アンカー	ancorar
アンカー	pivô
アンカー	ancorar
アンカー	âncora
アンカー	âncoras
ネバダ	nevada
溶接	soldados
溶接	soldadura
奥村	okumura
近似	aproximação
ビクトリア	victória
ビクトリア	vitoria
ビクトリア	victoria
ビクトリア	vitória
給付	benefícios
給付	benefício
給付	beneficiar
環礁	atol
手動	manuais
手動	manual
手動	manualmente
マキシ	maxi
