年	aasta
一些	mõned
長	pikad
長	pikka
長	pikk
水	vett
水	vesi
人物	karakter
人物	iseloomu
人物	tegelane
人物	iseloom
軍	armee
軍	sõjavägi
加入	ühinege
加入	liitu
加入	ühine
加入	liitunud
加入	liitus
加入	ühines
加入	ühinemine
英	ying
上海	shanghai
史	shi
第三	kolmas
第三	kolmanda
魚	kala
魚	kalad
波	laine
回	tagasi
無	puudub
吉	kati
吉	kat
你	sind
你	you
你	sina
方	kihva
方	fang
話	dialekt
東	idas
東	itta
東	ida
東	dong
英國	inglismaal
英國	inglismaa
周	nädal
周	nädalad
周	nädalaid
周	nädalat
周	zhou
周	chow
石	shi
石	kivi
事件	intsident
事件	vahejuhtum
事件	üritused
事件	sündmused
事件	sündmus
事件	üritus
建立	loomine
建立	looming
建立	asutamine
建立	kehtestamine
建立	ehita
建立	ehitama
建立	ehitada
建立	ehitamine
生活	elamine
生活	elav
生活	life
生活	elu
派	pirukas
教育	haridus
教育	haridus
車站	jaamas
車站	jaam
車站	jaama
之後	pärast
萬	wan
國際	rahvusvaheline
國際	rahvusvahelised
國際	international
獎	auhinnad
獎	auhinna
獎	auhind
獎	auhinnaks
獎	auhind
完成	lõpetatud
完成	lõpeta
完成	tehtud
完成	täielik
完成	terviklik
完成	lõpetatud
白	valge
白	valged
白	bai
音樂	muusika
音樂	muusikal
音樂	musical
沙	sha
沙	liiv
沙	liiva
沙	shah
他們	nad
可能	võimalikud
可能	võimalik
分布	jaotamine
分布	jaotus
分布	jaotumine
分布	jaotatud
地區	alad
地區	valdkonnad
地區	piirkonnad
地區	ringkond
地區	rajoon
地區	pindala
地區	valdkond
地區	piirkond
地區	ala
車	auto
車	car
車	autosid
車	autod
官	politseinik
官	ohvitser
梅	mai
中文	hiina
中文	hiinlased
自由	vabadus
自由	liberty
自由	vabadus
自由	vabad
自由	vaba
自由	free
自由	tasuta
黃	wong
黃	huang
黃	kollase
黃	kollased
黃	kollane
獲得	saa
光	hele
光	valgus
光	valgust
光	kerge
重要	olulisus
重要	tähtsus
重要	tähtis
重要	tähtsad
重要	olulised
重要	oluline
工程	inseneri
工程	töötab
工程	toimib
港	harbori
港	port
港	sadam
港	sadam
港	harbour
列	sammas
列	kolonn
列	veerg
列	veeru
段	duan
最後	viimasena
最後	viimane
提交	esitamine
提交	esitatud
提交	esitamine
一般	üldiselt
一般	üldjuhul
需要	vaja
需要	vajadus
需要	vajatakse
需要	vajalik
需要	vaja
需要	vajas
需要	vajadused
需要	vajab
江	river
江	jõgi
江	jiang
臺灣	taiwan
臺灣	taiwanis
臺灣	taiwani
最佳	optimaalne
最佳	optimaalne
這個	see
這個	selle
這個	seda
地方	koht
地方	kohad
系列	seeria
電視	televiisor
電視	televisiooni
電視	televisioon
登	deng
黑	tume
黑	mustad
黑	black
黑	musta
黑	must
花	hana
花	lilli
花	lilled
花	lill
花	õis
花	lilleke
神	jumal
遊戲	mängu
遊戲	mäng
遊戲	mängud
清	qingi
最高	top
最高	ülal
最高	ülalt
最高	ülemine
最高	kõrgeim
最高	ülim
要求	nõue
要求	nõuded
要求	nõudmised
要求	palve
要求	taotlus
要求	päring
要求	nõudlus
要求	nõudmine
要求	nõudmised
要求	taotlused
讓	jean
版本	versioon
版本	versiooni
版本	versioonid
發現	leidis
發現	leiti
發現	leitud
發現	avastavad
發現	avastada
發現	avasta
發現	avastama
發現	discovery
發現	avastus
發現	avastamine
語	keel
語	keele
只有	ainult
內容	sisu
內容	sisaldus
最大	max
最大	maks
華	hua
華	wah
製作	tootmine
製作	toodang
製作	productions
出生	sündis
出生	sündinud
出生	sünd
出生	sünni
朱	zhu
朱	joo
航空	lennunduse
航空	lennundus
航空	aero
航空	lennufirma
航空	airlines
航空	õhu
航空	õhku
航空	õhk
航空	air
數	krahv
數	number
數	arv
出版	avaldatud
出版	avaldamise
出版	avaldamine
出版	avaldamine
發展	arendamine
發展	arendus
發展	areng
成功	edukas
成功	edukad
成功	edu
面積	pindala
面積	valdkond
面積	piirkond
面積	ala
堡	kindlus
堡	fort
系統	süsteemi
系統	süsteem
系統	system
系統	süsteemid
蘭	lan
蘭	ian
劉	liu
劉	lau
冠軍	tšempion
冠軍	tšempion
冠軍	meistrid
問題	probleem
問題	probleemi
問題	probleemiks
問題	küsimus
問題	küsimused
康	kang
海拔	kõrgus
海拔	kõrgus
海拔	reljeefi
島	saart
島	saar
方式	meetod
率	määr
請	palun
名稱	nimi
名稱	nimetus
名稱	name
名稱	nime
名稱	nimetused
名稱	nimed
官方	ametlikult
愛	armastan
愛	love
愛	armastus
愛	armastust
得到	saa
平	tasane
平	lame
平	pingi
平	ping
印度	india
街道	tänav
街道	tänavaid
街道	tänavad
存在	olemasolu
存在	kohalolek
存在	kohalolu
刪除	kustutatud
刪除	kustutanud
刪除	kustutamine
刪除	kustutamine
刪除	eemaldamine
刪除	eemalda
刪除	kustuta
刪除	kustutamine
設計	kavandid
設計	design
設計	disain
設計	kavandamine
設計	kujundus
設計	kujundamine
發行	emissioon
卡特	carter
群	rühm
群	grupp
群	grupis
命名	nimetamine
負責	vastutustundlik
負責	vastutav
服務	teenused
服務	teeni
服務	teenida
服務	teenib
服務	teenindab
服務	teenindus
服務	teenus
機	masin
機	masina
任何	iga
列表	nimekiri
列表	loetelu
列表	loend
唐	tang
唐	tangi
唐	doni
唐	don
西班牙	hispaania
頁	lehekülgi
頁	lehed
頁	leheküljed
條	ribad
兩	kaks
當	millal
當	kui
超	ultra
超	super
丁	ding
夏	xia
以上	eespool
以上	ülalpool
以上	ülal
著名	kuulsad
著名	kuulus
聖	pühak
聖	saint
志	zhi
志	chi
已經	juba
梁	kiir
梁	leung
梁	liang
梁	kiiri
專輯	album
專輯	albumid
角色	karakter
角色	iseloomu
角色	tegelane
角色	iseloom
角色	rollis
角色	roll
角色	rolli
角色	märgid
角色	tegelased
角色	rollid
半	pool
成員	parlamendiliige
成員	liige
成員	liikmed
成員	parlamendiliikmed
東京	tokyo
新聞	news
新聞	uudis
新聞	uudised
現在	nyyd
現在	nüüd
劇	draama
後來	hiljem
女性	emased
女性	naissoost
女性	naised
高度	kõrgus
高度	kõrgus
說	ütle
男	meessoost
男	isane
之前	enne
合作	koostöö
合作	koostöö
門	värav
門	uks
門	uksed
卷	rulli
卷	veere
卷	rullid
卷	rolls
位置	asukoht
位置	positsioon
位置	asend
位置	asukoht
活動	tegevus
活動	tegevused
活動	tegevusalad
活動	üritused
活動	sündmused
活動	sündmus
活動	üritus
活動	tegevus
活動	aktiivsus
只	ainult
歷史	ajalugu
歷史	ajaloo
歌曲	laulud
歌曲	laule
歌曲	laulu
歌曲	laul
點	täpid
點	punktid
點	täpp
點	dot
點	täppi
點	punkt
點	punkti
點	point
一次	kord
一次	korra
植物	taimi
植物	taimed
植物	taim
植物	taime
植物	tehas
封	feng
封	pitser
封	pitsat
皮	nahk
皮	nahast
非常	väga
而且	ja
而且	ning
通常	tavaliselt
通常	tavaliselt
形成	moodustades
形成	moodustamine
形成	moodustumist
比賽	mängu
比賽	mäng
比賽	ralli
比賽	võidusõit
比賽	rass
比賽	võistlus
比賽	konkurss
聯賽	league
聯賽	liiga
九	üheksa
學校	koole
學校	koolid
學校	kooli
學校	koolis
學校	kool
完全	täielikult
完全	täiesti
完全	täiesti
信	kirju
信	kirjad
信	tähed
信	kirja
信	kiri
期間	periood
期間	perioodi
期間	ajavahemik
接受	heakskiitmine
接受	vastuvõtmine
接受	vastuvõetud
接受	aktsepteeritud
接受	leppis
接受	lepi
接受	nõustu
接受	nõus
書	raamatu
書	raamat
書	raamatud
交通	transport
交通	liikluse
交通	liiklus
交通	liikluses
交通	vedu
交通	transport
木	puust
木	puidust
木	puit
討論	arutelud
討論	arutada
討論	aruta
故事	jutt
故事	lugusid
故事	lood
故事	jutud
直接	otsene
直接	vahetu
直接	direct
直接	otsesed
直接	otse
直接	otseselt
參與	osalev
參與	osalevad
參與	kihlus
參與	kaasamine
參與	kaasatus
參與	osalus
參與	osalemine
朗	lang
朗	lon
湖	järve
湖	järv
湖	lake
根	juure
根	root
根	juur
根	juured
保留	reserveeritud
希望	loodan
希望	lootus
手	kätt
手	käe
手	käega
手	käsi
手	käed
心	südant
心	südame
心	süda
心	südamed
巴士	buss
巴士	bussi
巴士	bussiga
巴士	bussid
播放	ülekanne
播放	mängi
播放	mängib
播放	mängimas
播放	mängib
播放	mängimine
播放	mängivad
音	konsonant
音	toon
音	tooni
增加	suurenemine
增加	suurendamine
增加	suurenda
增加	suurendamine
增加	suureneb
增加	suurendab
增加	suurenenud
增加	suurendatud
角	nurk
角	nurka
角	nurk
角	cape
角	neeme
角	cabo
角	keep
角	punkt
角	punkti
角	point
耶	jee
這些	need
這些	neid
丹	dan
太	liiga
徐	seo
永	tiiva
永	tiib
永	yong
歌	laulud
歌	laule
歌	laulu
歌	laul
美元	dollarid
美元	dollari
美元	dollar
霍	huo
圖	joonis
圖	diagramm
圖	skeem
圖	graafik
圖	joonis
圖	diagramm
圖	joonis
投票	hääletus
投票	hääleta
投票	hääletamine
投票	hääletus
投票	hääletamine
投票	küsitlus
灣	cove
灣	laht
灣	bay
民主	demokraatia
寺	tempel
寺	temple
雖然	kuigi
雖然	ehkki
雖然	kuigi
參加	osalev
參加	osalevad
參加	osalen
特別	erilised
特別	special
特別	eriline
控制	kontroll
控制	tõrje
蒙	mont
戰	lahing
戰	sõda
電視台	televiisor
電視台	televisiooni
電視台	televisioon
以下	all
以下	allpool
然而	siiski
七	seitse
口	suu
仁	jin
仁	jen
委員會	komisjon
委員會	komisjoni
編輯	edit
編輯	muuda
編輯	redigeerimine
編輯	redigeerimine
編輯	redaktor
編輯	toimetaja
資料	andmed
隆	ryu
青	ching
青	qingi
播出	ülekanne
路線	marsruudid
路線	marsruut
倫	lun
年度	aasta
宋	laulu
宋	laul
附近	lähedal
附近	läheduses
附近	lähedal
歌手	lauljad
歌手	singer
歌手	laulja
店	shop
店	pood
店	kauplus
店	poodi
店	poe
店	pood
店	poodi
二十	kakskümmend
組織	organisatsioon
組織	organisatsioon
組織	kude
組織	koe
組織	koed
組織	diviis
組織	rajoon
組織	osakond
分類	klassifitseerida
分類	liigitada
分類	liigitamine
分類	klassifitseerimine
分類	klassifikatsioon
分類	liigitus
教授	professor
盃	karikavõistlused
盃	cup
盃	tops
盃	tass
盃	karikas
源	allika
源	allikat
源	allikas
八	kaheksa
法國	prantsusmaa
文字	tekst
文字	teksti
民族	rahvuste
主席	president
主席	esimees
主席	eesistuja
主席	esimees
主席	eesistuja
不過	aga
不過	kuid
文物	esemeid
文物	antiigi
文物	reliikviad
老	vana
老	vanaks
老	vanad
女子	naise
女子	naine
世紀	sajandi
世紀	sajand
鐵	raud
鐵	raua
德國	saksamaa
票	piletid
票	pilet
打	võitle
打	võitlus
關係	suhted
關係	seos
關係	suhted
關係	suhe
關係	seos
關係	suhted
能力	pädevus
能力	võimsus
能力	võime
能力	võimekus
能力	võimekus
佛	buddha
少	vähem
少	vähem
網站	koduleht
網站	veebileht
網站	veebisait
網站	kodulehekülg
網站	saidi
網站	ala
模板	malle
模板	mall
模板	malli
頭	pea
個人	isiklik
個人	isiklikud
個人	üksikute
個人	individuaalsed
個人	individuaalne
擁有	valduses
擁有	omamine
擁有	omamine
擁有	omanduses
學生	üliõpilased
學生	õpilased
學生	tudengid
學生	tudeng
學生	õpilane
學生	üliõpilane
鎮	linn
鎮	linna
南部	lõuna
南部	lõuna
南部	lõunasse
南部	lõunas
語言	keeli
語言	keeled
語言	keel
語言	keele
模式	režiimid
模式	muster
模式	mustri
模式	mustrid
模式	režiimi
模式	režiim
模式	mode
相關	asjakohane
相關	asjakohased
相關	seonduv
相關	seotud
決定	otsustab
決定	otsus
決定	otsused
楊	jan
楊	yang
方向	suunad
方向	juhised
方向	suund
方向	orientatsiooni
郭	guo
方法	meetod
方法	meetodid
影響	kokkupõrge
影響	mõju
影響	mõju
影響	mõjud
影響	mõju
影響	toime
屬於	kuulus
許多	paljud
許多	paljusid
許多	palju
第四	neljas
第四	neljandaks
秀	soo
死	surnud
自治	autonoomia
自治	sõltumatus
蘇	sue
甚至	isegi
開	avamine
開	ava
開	avada
開	avatud
見	vaata
見	vt
見	näed
田	tian
只是	lihtsalt
結束	lõpp
巴西	brasiilia
共同	ühise
共同	ühised
出版社	kirjastaja
出版社	väljaandja
出版社	kirjastajad
提名	kandidatuuri
提名	nimetamine
保護	kaitsmine
保護	kaitse
保護	kaitsma
保護	kaitsta
保護	kaitse
保護	kaitstud
加上	lisa
加上	lisamine
加上	plus
加上	pluss
食	söömine
食	söömas
食	söön
獨立	indie
獨立	sõltumatud
獨立	iseseisev
獨立	sõltumatu
獨立	iseseisvus
獨立	sõltumatus
包含	sisaldab
距離	kaugus
距離	vahemaa
距離	vahemaad
社會	ühiskond
社會	ühiskonnad
社會	sotsiaalsed
社會	sotsiaalne
加拿大	kanada
兩個	kaks
公尺	meetrit
公尺	meetri
公尺	meeter
公尺	meetri
公尺	meetrit
還	samuti
還	ka
哥	vend
哥	venna
歐洲	euroopa
歐洲	europe
歐洲	euroopa
像	nagu
像	meeldib
鐵路	rail
鐵路	raudtee
鐵路	raudtee
鐵路	raudteed
鐵路	raudteede
鐵路	raudtee
鐵路	raudteid
居民	elanikud
居民	residendid
功能	funktsiooni
功能	funktsioon
功能	omadused
功能	funktsionaalsed
功能	funktsionaalne
功能	motiiv
功能	funktsionaalsuse
聯盟	liit
聯盟	liidu
聯盟	league
聯盟	liiga
聯盟	liit
聯盟	liidud
聯盟	koalitsiooni
洪	hung
洪	hong
利用	use
利用	kasutamine
利用	kasutamiseks
利用	kasuta
利用	kasutus
平均	keskmine
平均	avg
侵	kallaletung
侵	rünnak
侵	ründamine
雙	topelt
再次	uuesti
再次	taas
再次	jälle
網	veebi
網	võrk
網	võrgu
網	võrgustik
網	neto
網	võrk
網	net
施	shi
量	kogus
演員	valatud
演員	näitlejad
演員	näitleja
演員	näitlejanna
演員	näitleja
亞洲	aasia
亞洲	aasia
全球	globaalselt
全球	ülemaailmselt
全球	ülemaailmne
全球	global
全球	globaalsed
全球	globaalne
全球	ülemaailmse
全部	kõik
北部	põhi
北部	põhja
北部	põhjas
北部	põhja
運動	sport
運動	spordi
運動	liikumine
運動	sportlik
運動	sport
運動	spordiala
運動	liikumine
毛	bruto
毛	mao
草	rohi
草	muru
直到	kuni
名字	nimi
名字	nimetus
名字	name
名字	nime
地球	maa
死亡	surma
死亡	surm
戰爭	sõda
戰爭	sõjad
戰爭	sõdu
作曲	koosta
溪	creek
溪	oja
紅	punane
紅	punased
唱片	rekord
唱片	kirje
安全	turvaline
安全	ohutu
安全	turvaline
玉	jade
學院	akadeemia
學院	kolleegium
學院	kolledž
勝	sheng
豪	howe
鄉	alevi
原因	põhjused
原因	põhjus
原因	põhjus
通過	via
通過	läbi
通過	kuru
管	toru
管	piip
管	toru
強	tugev
強	tugevad
選舉	valimised
選舉	valimised
辛	sheen
辛	patu
辛	patt
辛	xin
漢	hani
漢	han
法律	seadus
法律	seadused
法律	seadused
革命	revolutsioon
革命	revolutsioonid
計劃	plaan
計劃	plaani
計劃	kava
計劃	kavad
計劃	plaanid
計劃	plaane
時代	ajad
男性	isased
男性	meessoost
男性	isane
男性	meestele
男性	mehed
目的	eesmärgid
形式	vormi
形式	vorm
形式	vorming
形式	vormindus
形式	formaat
鄭	zheng
鄭	jung
基本	põhi
基本	põhiline
蔡	cai
葉	leht
單位	ühik
單位	ühikud
單位	üksused
單位	ühik
單位	üksus
修	paranda
科技	tehnoloogia
科技	tech
青年	noored
青年	noorus
青年	noorte
流	voo
流	voolu
流	vool
流	voog
流	vood
流	oja
蒙古	mongoolia
蒙古	mongoolia
結果	tulemus
結果	tulemused
結果	tulemus
教	õpetamine
教	õpetamise
教	õpeta
教	õpetada
解放	emantsipatsiooni
解放	vabastatud
祖	joe
體	keha
球隊	meeskonnad
球隊	rühmad
球隊	tiim
球隊	meeskond
左	vasak
左	vasakule
左	vasakul
戴	dai
戴	kanna
戴	kanda
自然	loomulikult
自然	looduslik
自然	loomulik
自然	naturaalne
自然	looduslikud
自然	loodus
台北	taipei
澳門	macau
新的	uued
新的	uus
新的	new
經濟	majandus
經濟	majanduslik
經濟	majandus
傑	jie
傑	jay
切	lõika
切	lõigatud
一起	koos
一起	üheskoos
越南	vietnam
越南	vietnami
越南	vietnami
權	kwon
快速	ruttu
快速	kiire
快速	kiire
快速	kiiresti
學	õppimine
學	õppima
學	õpime
學	õppida
學	õpi
職業	ametid
職業	karjäär
職業	karjääri
職業	elukutse
職業	kutseala
職業	karjäär
職業	karjääri
職業	okupatsiooni
職業	amet
團	rügement
百	sada
廣	laiad
廣	lai
廣	laia
廣	laia
相同	identne
相同	identsed
相同	sama
相同	samad
類	klass
類	klassi
兵	sõdur
億	miljard
億	miljardit
分鐘	minutid
分鐘	minut
松	mänd
松	männi
發	karvad
發	soeng
發	juuksed
超過	ületamine
政策	poliitika
政策	poliitikad
政策	poliitika
銀	hõbeda
銀	silver
銀	hõbe
日期	kuupäev
日期	kuupäevad
單曲	vallalised
鰭	fin
男子	meestele
男子	mehed
共和國	vabariik
理由	põhjused
理由	põhjus
南京	nanjing
交流	vahetus
交流	vahetused
總統	president
公分	sentimeeter
標準	kriteeriumid
標準	standardid
標準	kriteerium
標準	standardne
標準	standard
排名	järjestus
排名	seisu
排名	edetabel
排名	auaste
表	laua
表	laud
表	tabel
韓國	korea
韓國	korea
行動	tegevus
行動	võte
行動	toiming
行動	toimimine
行動	toiming
行動	operatsioon
行動	toimingud
行動	meetmed
行動	tegevused
行動	teod
桑	mulberry
博士	arst
博士	arsti
博士	doktor
立法	õigusaktid
立法	seadusandlus
立法	õigusakt
尾	saba
尾	kiri
尾	sabad
熱帶	troopiline
熱帶	troopika
議員	senaator
議員	nõunik
議員	kongresmen
漫畫	koomiksid
漫畫	koomikseid
漫畫	koomiks
短	lühike
短	lühikesed
坑	augud
坑	auk
坑	pit
大型	suured
大型	suure
大型	suur
凱	kai
凱	kay
生物	bioloogiline
生物	bioloogilised
生物	bioloogia
生物	olendid
生物	olevused
生物	elukad
生物	organismid
生物	organismide
生物	elukas
生物	olend
生物	olevus
城鎮	linn
城鎮	linna
城鎮	linnad
春	kevad
海軍	mereväe
海軍	merevägi
公路	teed
公路	maantee
公路	tee
公路	road
公路	maantee
公路	kiirtee
冠	krooni
冠	crown
冠	kroon
作家	kirjutaja
作家	kirjanik
作家	kirjanikud
空	tühi
空	tühjad
雪	lumesadu
雪	lumi
牛	veised
牛	lehm
牛	pulli
牛	pull
牛	bull
牛	härg
火	tuli
火	tulekahju
火	tuld
攻擊	rünnakud
攻擊	ründa
攻擊	rünnak
攻擊	kallaletung
攻擊	rünnak
攻擊	ründamine
值	väärtused
值	väärtus
十二	twelve
十二	kaksteist
新加坡	singapuri
新加坡	singapuris
琳	lynn
西部	west
西部	lääs
西部	lääne
西部	läänemaa
西部	lääne
西部	western
土	pori
土	muld
土	mulla
土	pinnas
土	muld
早期	early
早期	vara
早期	varajane
早期	varajased
早期	varane
速度	kiirus
速度	pöörlemiskiirus
速度	kiirus
合併	ühinemine
合併	liitumine
合併	ühendamine
合併	ühenda
合併	ühendamine
合併	liitmine
建築	hoone
建築	ehitamine
建築	ehitis
建築	ehitised
建築	hooned
建築	ehitamine
建築	ehitus
建築	konstruktsioon
建築	arhitektuur
道路	teed
道路	maantee
道路	tee
道路	road
發表	avaldamise
發表	avaldamine
發表	avalda
發表	avaldab
發表	avaldatud
低	madalam
低	madalamad
低	alumine
低	madalamale
低	madal
低	madala
低	madalad
庫	coop
色	värv
色	värvi
樂	lok
轉	pööre
轉	pööra
轉	keera
仍然	ikkagi
仍然	ikka
來自	alates
來自	kellelt
每年	aastane
每年	aastas
天津	tianjini
技術	tehnilised
技術	tehniline
技術	tehnoloogiad
技術	tehnoloogiate
技術	tehnoloogiaid
技術	tehnika
技術	tehnoloogia
技術	tehnikad
技術	tehnikaid
主任	direktor
主任	režissöör
主任	lavastaja
畢業	lõpetas
畢業	lõpetamine
設	komplekti
設	komplekt
設	määra
設	seadis
機場	lennujaam
機場	lennujaamade
機場	lennujaamad
威廉	william
館	paviljon
天主教	katoliiklus
天主教	katoliiklane
天主教	katoliku
富	rikkaks
富	rikkad
富	rikkalik
富	rich
富	rikas
千	tuhat
芬	fen
芬	fin
大部分	enamikul
大部分	enamus
大部分	enamik
大部分	enim
程	cheng
房	tuppa
房	ruum
房	tuba
柏	por
她的	teda
她的	tema
費	tasu
情況	olukord
情況	situatsioon
最初	esialgu
最初	algselt
來源	allika
來源	allikat
來源	allikas
來源	allikad
首都	pealinn
首都	kapital
牌	kaardid
杯	karikavõistlused
杯	cup
杯	tops
杯	tass
杯	karikas
廣告	reklaamid
廣告	reklaame
廣告	reklaamide
廣告	reklaami
廣告	reklaam
深	sügavus
深	sügav
深	deep
深	sügavale
描述	kirjelda
描述	kirjeldada
描述	kirjeldus
描述	kirjeldav
描述	kirjeldused
皇帝	imperaator
皇帝	keiser
侯	hou
域	domeeni
域	valdkond
團體	grupid
團體	rühmad
流行	populaarne
流行	populaarsed
流行	popp
流行	pop
潘	pam
潘	paan
潘	paani
潘	pan
潘	panni
計畫	plaan
計畫	plaani
計畫	kava
列車	rongi
列車	rong
列車	rongid
環	rõngas
環	ring
環	sõrmuse
環	sõrmus
環	sõrmused
環	ringid
環	rõngad
環	silmus
環	loop
父	isa
不明	tundmatu
不明	teadmata
不明	tuvastamata
取代	asendatud
取代	asendatakse
取代	asenda
取代	asendus
取代	asendatakse
取代	asendamine
兄弟	vend
兄弟	venna
物理	füüsika
物理	füüsikalised
物理	füüsiline
物理	füüsilised
物理	füüsikaline
物理	füüsilise
右	õigus
右	paremale
右	õige
武器	relvad
武器	relv
顯示	etendused
顯示	näitab
顯示	kuva
顯示	näidatakse
顯示	näitamine
顯示	näita
