cinematograf	فلمسازی
dependente	(جملہ
frig	جوش
frig	بالکل
frig	جذبہ
frig	مہر
frig	زکام
frig	مدّھم
frig	یکلخت
frig	شیتل
frig	جوش
frig	سرد
frig	بالکل
frig	جذبہ
frig	بارِد
frig	نزلہ
frig	مہر
frig	زکام
frig	مدّھم
frig	یکلخت
frig	شیتل
sanscrită	سنسکرت
rezistente	مزاحم
suspendare	تعطل
suspendare	معطلی
suspendare	التوا.
sigma	c.
sigma	σ
capcană	منہ
capcană	کھٹکا
capcană	منہ
capcană	کھٹکا
capcană	جال
depresie	نزول
depresie	غمگینی
depresie	نشیب
depresie	فشار.
depresie	نقاہت
depresie	پچکن.
depresie	اداسی
puzzle	مشکل
puzzle	معمّا
puzzle	چیستاں
puzzle	بجھارت.
caracteristica	امتیازی
caracteristica	عاری
caracteristica	طبعی
caracteristica	منفرد
caracteristica	مخصوص
asistența	مدد
iepure	away
auzi	ماننا
auzi	سُنایا
fluier	زفیل.
fluier	زفیلنا
fluier	پنپنانا.
fluier	سیٹی
sabine	سبینی.
locomotivă	خودرواں
supărat	برہم.
supărat	پریشانی
supărat	خرابی
supărat	خراب
supărat	بگاڑ.
promite	اقرار.
promite	قول
promite	عہد
promite	اقرار.
promite	قول
promite	وعدہ
judy	زن.
chemarea	روزگار.
chemarea	مصروفیت
chemarea	روزگار.
chemarea	پیشہ
chemarea	مصروفیت
zip	قوت
zip	توانائی
zip	پھرتی.
spectru	طیف
spectru	بھوت
spectru	آسیب
spectru	سایہ.
laudă	توصیف
laudă	تعریف
laudă	توصیف
laudă	سراہنا
probabilitate	متوقع
probabilitate	امکان
probabilitate	احتمال.
probabilitate	امکان
loial	وفاداری
loial	وفادار
dutch	جرمنی
dutch	ولندیزی.
dutch	ایفریکان.
dutch	بیوی
junction	چوراہا.
junction	جوڑنے
junction	سنگم.
cuțit	پھل
cuțit	کٹاری
cuțit	دھار.
cuțit	چھری
estetica	جمالیات.
proporțional	متناسب.
proporțional	تقابلی
sac	پتلون
sac	تحقیرکرنا
sac	پاجامہ
sac	کثرت
sac	پھلانا
manipularea	کارستانی
oilor	میش.
oilor	بھیڑ
oilor	میش.
sensibile	(بعدہ
calcule	حساب
ideologice	حکمیاتی
ideologice	فکریاتی
nedrept	غیرمنصفانہ.
bou	بدھیا
pulbere	سفوف
pulbere	سفیدہ.
pulbere	پاؤڈر
represalii	بدلہ
ideală	ذہنی
erbacee	نباتی.
coordonează	موزوں
coordonează	منضبط
coordonează	محدد.
toleranță	سمائی.
toleranță	برداشت
toleranță	سمائی.
toleranță	رواداری
barbă	ریش
barbă	بالو
barbă	بانجر
barbă	ریش
barbă	داڑھی
barbă	بالو
barbă	بانجر
precară	ہنگامی.
carton	گتّہ
carton	ملٹ.
hibrid	پیوندی.
hibrid	انمل
hibrid	دونسلا.
hibrid	داغول
hibrid	پیوندی.
hibrid	انمل
hibrid	دونسلا.
hibrid	داغول
hibrid	دوغلا
pacientul	صابر
pacientul	ضابط
pacientul	انگیزنے
musculare	پٹّھا
musculare	قوت.
musculare	پٹّھا.
musculare	مچھلی.
musculare	پٹّھا
musculare	عضلہ
musculare	قوت.
musculare	پٹّھا.
musculare	مچھلی.
mutare	جنبش
mutare	حرکت
impun	فرض
impun	جمانا.
savage	قدیم
savage	اکّھڑ
savage	ظالم
savage	خونخوار
savage	ظالمانہ
savage	قدرتی
savage	ناآراستہ
savage	صحرائی
savage	قدیم
savage	اکّھڑ
savage	ظالم
savage	خونخوار
savage	جنگلی
savage	ظالمانہ
savage	قدرتی
savage	ناآراستہ
savage	صحرائی
valul	جھومنا
valul	موج.
valul	حرارت
valul	(بالوں
valul	جھلانا.
valul	پانی.
valul	جھومنا
valul	لہر
valul	موج.
valul	حرارت
valul	(بالوں
valul	جھلانا.
valul	پانی.
directiva	ہدایتی
atmosferice	سماوی
atmosferice	فضائی
trist	حقیر
trist	المناک
trist	شرمناک
trist	مدّھم
trist	رنجیدہ
trist	حقیر
trist	المناک
trist	شرمناک
trist	مدّھم
pine	رینجھنا.
temporare	عبوری
temporare	وقتی
temporare	عارضی
filtru	روشنی
pensionare	(الف)تنہائی
pensionare	سبکدوشی
monstru	عفریت
monstru	راکشس.
tranziția	عبور
decompresie	ردّفشار
ante	شرط
ante	دائو
ante	(antes
recital	ترتیل.
recital	(بعدہ
arunca	پھرکی
arunca	پھینکنے
arunca	سایہ
arunca	بحساب
arunca	در
arunca	منعقدکرنا.
arunca	جھاڑنا.
arunca	پھرکی
arunca	پھینکنے
arunca	سایہ
arunca	بحساب
arunca	در
arunca	منعقدکرنا.
arunca	جھاڑنا.
arunca	پھینکنا
finit	غائب
finit	جمع
fashion	طرزِعمل
fashion	وتیرہ
shopping	خریداہواسامان
jurat	پنچ.
pianul	کومل.
pianul	مدّھم
epidemie	جنگ
epidemie	بارزہ.
epidemie	وبا
epidemie	وبائی
prezentul	انعام
prezentul	سوجھنا.
prezentul	ملانا
prezentul	(چیک
prezentul	تحفہ
prezentul	عطیہ
prezentul	دکھانا.
prezentul	حاضر.
prezentul	پیشکش.
unificare	ملانا
unificare	اتحاد
familiar	قریبی
familiar	مانوس
familiar	شناسا
familiar	آگاہ
pack	بھرتی
pack	خصوصاً
pack	(تھئیٹر
pack	گلّہ
pack	لپیٹنا.
pack	بنڈل
pack	مٹّھا
pack	ٹکڑی
pack	غول
pack	ٹولا
pack	گروہ.
pack	پیکٹ
alcoolice	شرابی.
abilitate	قدرت
abilitate	لیاقت
abilitate	ذہانت
abilitate	قابلیت
abilitate	استعداد
sumar	رسمی
rezistă	روکنا.
grămadă	مخمل
grămadă	تودہ.
grămadă	in
grămadă	on
grămadă	اون.
judiciare	ناقدانہ.
judiciare	ناقدانہ.
judiciare	عدالتی
rebeliune	سرکشی.
rebeliune	بغاوت
rebeliune	سرکشی.
cardiace	قلبی.
wilder	بھٹکانا
reflecta	upon
reflecta	how
reflecta	on
gunoi	گھٹیا
plagiat	خیال
plagiat	انتحال
stereo	بیّن.
stereo	مجسّم
judiciar	ناقدانہ.
judiciar	ناقدانہ.
judiciar	عدالتی
abate	کمزور
dam	روکنا
dam	پشتہ.
suspendarea	تعطل
suspendarea	معطلی
suspendarea	التوا.
etichetă	کارڈ
etichetă	چٹھی
etichetă	چپکانا
etichetă	اٹکانا.
etichetă	پتہ
etichetă	چٹ
distinsă	مشہور.
secetă	تشنگی
secetă	خشکی.
secetă	سوکھا.
secetă	یبوست
arca	پیٹی.
arca	صندوق
inutilă	فضول
inutilă	نکمّا
inutilă	بیکار
inutilă	فضولیات.
mască	شمامہ
mască	face-pack
mască	بہروپ
mască	آڑبننا.
mască	بھپارا
mască	بناوٹ
mască	مقنع.
mască	سوانگ
mască	دھوکا.
salve	خطا
salve	کوتاہی
salve	انا
salve	نقص
deșeuri	فالتو
deșeuri	ویرانہ
deșeuri	بیکار
deșeuri	پھکنا.
deșeuri	فضلہ
deșeuri	ناکارہ
deșeuri	اسراف
deșeuri	بیابان.
deșeuri	بربادی.
deșeuri	گھلاؤ
deșeuri	ضیاع
deșeuri	فرسودگی
urechea	سماعت
urechea	اذن
urechea	توجہ.
fecioară	سنبلہ
fecioară	کورا/کوری
fecioară	راہبہ
fecioară	اچھوتی.
fecioară	ناری
fecioară	کنواری.
fecioară	بھولا
fecioară	باکرہ
fecioară	انیلی-
fecioară	کورا/کوری
fecioară	راہبہ
fecioară	اچھوتی.
fecioară	ناری
fecioară	کنواری.
fecioară	بھولا
fecioară	باکرہ
fecioară	انیلی-
fecioară	دوشیزہ
interdicția	ممانعت
pass	lay
pass	پھیرنا
pass	گزرنا
pass	down
creste	قد
creste	مرتبے
creste	پختہ
creste	بونا
creste	اُگنا
creste	ہویدا
creste	فزوں
creste	اپجنا.
creste	نمو
creste	بالغ.
creste	پھل
creste	گدرایا
creste	پیدا
creste	حجم
creste	قد
creste	مرتبے
creste	بڑھنا
creste	پختہ
creste	بونا
creste	اُگنا
creste	ہویدا
creste	فزوں
creste	اپجنا.
creste	نمو
creste	بالغ.
creste	پھل
creste	گدرایا
creste	پیدا
creste	حجم
celular	چھدرا.
vulnerabilă	عاجز
membrana	جھلّی
membrana	غشا.
lily	شلجمی.
desemnarea	القاب
desemnarea	نام
recomandări	سفارش
sally	فرار
sally	دھاوا.
sally	یورش
sugar	شکرریزی.
sugar	گاجر
sugar	دُلارا
sugar	پیارا
sugar	خوشامد.
sugar	شکرریزی.
sugar	گاجر
sugar	شکر
sugar	دُلارا
sugar	پیارا
sugar	خوشامد.
regulată	منظم
regulată	مستقل
regulată	ثقہ
regulată	منضبط.
regulată	مربوط
regulată	مثالی-
regulată	ہموار-
regulată	مکمل
admitere	اعتراف
discutii	مباحثہ
discutii	گفتگو
discutii	مباحثہ
discutii	گفتگو
discutii	بحث
sănătos	ہمدردانہ.
sănătos	مددگار
recomand	(بعدہ
solubil	سلجھایا
solubil	سمجھایا
himalaya	ہمالیائی.
membrană	جھلّی
membrană	غشا.
discipol	مُرید
discipol	چیلا
discipol	مُرید
buzunar	منّا
lupin	گلابی
lupin	ارغوانی
arunce	پٹکنا
arunce	نکالنا.
netedă	(نقشے
netedă	over
netedă	متوازن.
netedă	یکساں
netedă	یکسار
netedă	جھرّیوں
netedă	معتدل
netedă	down
netedă	دھچکے
netedă	چکنا.
netedă	مؤدب
netedă	(نقشے
netedă	over
netedă	متوازن.
netedă	یکساں
netedă	یکسار
netedă	جھرّیوں
netedă	معتدل
netedă	down
netedă	ہموار
netedă	دھچکے
netedă	چکنا.
netedă	مؤدب
iugoslav	سلافی.
posta	کھپرا
posta	زرہ
neutre	آزاد.
neutre	نامرد
neutre	ہلکا
neutre	مبہم
neutre	بھورا
neutre	پسماندہ
vulpea	لُومڑ
vulpea	عّیار
furios	متشدّد.
furios	چلاتا
furios	بنکارتا
furios	برہم.
matrix	قالب
matrix	سانچا
matrix	قالب
paisprezece	xiv
paisprezece	xiv
triplu	تین
triplu	تگنا.
triplu	تگڈّم.
promotor	مشتہر
indicații	اظہار.
portofoliul	خریطہ
armonia	اتفاق.
armonia	آہنگ
armonia	اتفاق.
candy	مٹھائیاں
clasifică	درجے
costumul	پوشاک
emoțional	جذباتی
complexitatea	الجھائو
complexitatea	الجھن
complexitatea	الجھائو
complexitatea	الجھن
complexitatea	پیچیدگی
normative	معیاری
stimularea	تحرک
stimularea	اُکساہٹ
confirmate	محکم
confirmate	عادی
confirmate	پکا
civice	شہری
civice	مدنی
civice	شہری
cedar	چیڑ
cedar	پھیلتا
mentală	انوکھا.
mentală	وحشی
ionică	روانی.
ionică	آیونی.
inițiere	آغاز
inițiere	شروعات
abundente	فراواں
abundente	کثیر
blând	معتدل
blând	پُرسکون
blând	حشرہ
blând	پُرتپاک.
blând	سدھانا
blând	پیشہ
blând	باعزت
blând	کیڑا
blând	بالحاظ
blând	شریفانہ
blând	شائستہ
blând	معتدل
blând	پُرسکون
blând	حشرہ
blând	پُرتپاک.
blând	سدھانا
blând	پیشہ
blând	باعزت
blând	کیڑا
blând	بالحاظ
blând	شریفانہ
utilitatea	افادیت
utilitatea	سودمند.
utilitatea	سراسرعملی
utilitatea	افادیت
costisitoare	گراں.
costisitoare	قیمتی.
costisitoare	گراں.
costisitoare	مہنگا
costisitoare	قیمتی.
slam	جھاڑنا.
har	انداز
har	عنایت
har	رعایت
har	تپاک
har	چھوٹ
har	her
har	مرحمت
har	استعداد
lactee	دودھیا
lactee	نحیف
suna	جگانا
suna	رکھنا
suna	ترغیب.
suna	چیخ
suna	in
suna	سمجھنا
suna	آواز
suna	پکار
suna	اپیل
suna	بانگ
suna	مطالبہ
suna	استدعا
suna	ہانک.
aprobare	اقرار
static	ساکت
static	مجہول.
static	جامد
comerciant	تاجر
comerciant	تاجر
comerciant	تجارتی
comerciant	کاروباری.
exclusivitate	(خبریہ
exclusivitate	مختص.
exclusivitate	امتیازی
exclusivitate	منتخب
exclusivitate	چیندہ.
exclusivitate	مخصوص
exclusivitate	اختصاص
exclusivitate	امتیاز
exclusivitate	استثنا
laptele	شیر
laptele	دودھ
laptele	شیر
laptele	دودھ
laptele	لبن
consolida	کمپنیوں
cucu	بدّھو
terapeutice	شفائی
spectaculoase	وقیع
spectaculoase	نمایاں.
spectaculoase	غیرمعمولی
zestre	صلاحیت.
monitor	منذر.
monitor	مخدّر
ceramica	سفالی
spori	زور
spori	(خواص
spori	اثر
sclav	بندہ
demolarea	انہدام
swift	پھرتیلا
swift	سمامہ.
gigant	دیو
gigant	جن.
adevarat	متوازن.
adevarat	صادق.
adevarat	ٹھیک
adevarat	برجا
adevarat	ہموار
adevarat	معیاری
adevarat	مترنم.
adevarat	متوازن.
adevarat	صادق.
adevarat	ٹھیک
adevarat	برجا
adevarat	ہموار
adevarat	معیاری
adevarat	مترنم.
adevarat	سچّا
corpus	متون
autentice	اصلی
tau	)
elementar	سادہ
elementar	بنیادی
elementar	صاف
elementar	خالص
elementar	لازمی
elementar	بنیادی
elementar	ناگزیر
barieră	حائل
fictive	جعلی
fictive	جعلی
fictive	خیالی
fictive	فرضی
fictive	نقلی
strong	شدید-
strong	حاوی
strong	خالص
strong	واضح
strong	پکّا
strong	تند
strong	متحد
strong	شدید-
strong	حاوی
strong	خالص
strong	واضح
strong	پکّا
strong	مضبوط
strong	تند
strong	متحد
condamnare	ایمان
condamnare	عقیدہ
condamnare	مذمت
condamnare	ملامت
turcice	کرغیزی.
superficial	معمولی
superficial	سرسری
superficial	سرسری-
superficial	سطحی
superficial	معمولی
superficial	اوچھا
superficial	اُتھلا
superficial	اُوپری
superficial	سرسری
superficial	سرسری-
superficial	معمولی
superficial	اوپری
superficial	اُتھلا
superficial	معمولی
superficial	سطحی
superficial	اوپری
mândrie	غرور
mândrie	انانیت.
mândrie	سبب
mândrie	غرور
mândrie	انانیت.
mândrie	گھمنڈ
mândrie	سبب
prelungire	بڑھانے
prelungire	اضافہ
prelungire	حدود.
prelungire	وسعت
prelungire	توسیع
prelungire	طوالت.
prelungire	پھیلاؤ
prelungire	پہنائی
retail	at
heath	ویران
heath	جھاڑبن.
induce	بلانا
atribut	امتیاز
atribut	خصوصیت
atribut	صفت
interdicție	بددعا
interdicție	امتناع
interdicție	لعنت.
interdicție	(banned
interdicție	بددعا
interdicție	بندش
interdicție	امتناع
interdicție	لعنت.
interdicție	(banned
interdicție	ممانعت
faraonului	فرعون.
gresie	گٹھیلا
gresie	زرد
vicerege	وائسرائے
teroare	ہیبت
teroare	ہراس.
teroare	ہیبت
teroare	دہشت
teroare	ہراس.
încuraja	ترغیب
încuraja	مدد
avans	قرضہ.
avans	ترقی.
avans	رقم
cub	مکعب.
ecologie	ماحولیات.
sanctuarul	پرندوں
staff	بحریہ
staff	ڈنڈا
staff	بحریہ
staff	عصا
pălăria	دلانا.
jurnalistă	صحافی.
blestemul	ٹوٹکا
blestemul	لعن
blestemul	کوسنا.
blestemul	نفرین.
blestemul	بددعا
blestemul	ٹوٹکا
blestemul	لعن
blestemul	کوسنا.
blestemul	نفرین.
blestemul	وبال
blestemul	دُشنام
mercy	عفو
mercy	درگزر.
mercy	ترس
mercy	عفو
mercy	رحم
mercy	درگزر.
mercy	ترس
satan	ابلیس
satan	شیطان
jurământ	عہد
jurământ	قسم
jurământ	بدکلامی.
colonială	مستعمراتی
spaniola	ہسپانوی
spaniola	اسپینی
cobra	ناگ.
vaccin	جدرینی.
amiaza	دوپہر
inversă	الٹنا
inversă	معکوس.
inversă	مصیبت
consolă	پردے
ieftine	معمولی
ieftine	کمتر
ieftine	ادنیٰ
ieftine	معمولی
ieftine	کمتر
ieftine	ادنیٰ
ieftine	گھٹیا
guise	لباس
guise	بھیس
guise	بہروپ
jenny	حمّالہ.
jenny	spinning-jenny
jenny	گدھی.
rigoare	ماندگی.
rigoare	صحت.
rigoare	درشتی
incapabil	قاصر.
bloom	شادابی
bloom	رعنائی
neregulate	اصول
neregulate	مستقل
neregulate	استثنائی
divinitate	اُلوہیت
divinitate	خدا.
divinitate	دینیات
solidaritatea	اتحاد
median	مادی
median	رگ
median	درمیانی.
median	وسطی
median	۸
median	۴
median	۳
calitativ	صفاتی
sfarsit	تباہی
sfarsit	جواز
progrese	ترقی
dragă	دلبر.
dragă	انگبینی.
dragă	عسّل.
dragă	شہد
dragă	دلبر.
dragă	انگبینی.
dragă	عسّل.
dragă	حیرت
dragă	خوف
dragă	پیارا
dragă	حیرت
dragă	خوف
stelare	پسندیدہ.
stelare	کوکبی.
stelare	نمایاں
prototipul	نمونے
camion	معاملت
camion	چلنا
camion	ٹہلنا.
pretext	حیلہ
pretext	بہانہ.
expulzarea	اخراج.
superficială	معمولی
superficială	سرسری
superficială	سرسری-
superficială	سطحی
superficială	معمولی
superficială	اوچھا
superficială	اُتھلا
superficială	اُوپری
superficială	سرسری
superficială	سرسری-
superficială	معمولی
superficială	اوپری
superficială	اُتھلا
superficială	معمولی
superficială	سطحی
superficială	اوپری
cavitatea	چھید
cavitatea	جوف.
cavitatea	قعر
luciu	اجلاپن.
luciu	جِلا
luciu	چمکانا.
luciu	جھوٹی
creatură	آوردہ
creatură	پروردہ
creatură	تخلیق.
canonice	مصدقہ
canonice	معیاری
canonice	موثق
cita	(بعدہ
dezbaterea	بحث
bariera	حائل
sacrificiu	نیاز.
sacrificiu	وارنا.
sacrificiu	بلیدان
sacrificiu	نیاز.
sacrificiu	وارنا.
nul	منسوخ
nul	سپاٹ
nul	معرّیٰ
nul	ہیچ
nul	لاشے.
nul	کورا.
confuzia	ملغوبہ
confuzia	ملغوبہ
confuzia	افراتفری
conectează	معقول
navigator	بحریمحقق.
explorează	جستجو
explorează	تفتیش
faraon	فرعون.
panta	ڈھالو
panta	نشیبی
dreptatea	انصاف
dreptatea	عدل.
vehiculul	خیال
vehiculul	مرکب
vehiculul	گاڑی
vehiculul	خیال
vehiculul	سواری
vehiculul	مرکب
nativă	خلقی
sinagogă	کنیسہ
vandal	اسپین
oile	میش.
oile	بھیڑ
oile	میش.
clientul	گاہک.
clientul	خریدار
clientul	گاہک.
clientul	مصاحب.
clientul	طفیلی
shot	توپ
shot	ہموار.
furie	غیظ
furie	غصہ
furie	غضب.
furie	طوفان
furie	ہیجان
furie	ہلچل.
furie	جھکّڑ
furie	جنگ
furie	برسنا
furie	against
furie	شاعرانہ
furie	گرجنا
furie	(بعدہ
furie	طیش
lira	حصار.
lira	پیسنا
multiplu	مخلوط
multiplu	متنوع.
multiplu	ملاجلا.
multiplu	۱ضعاف
multiplu	مضاعف
multiplu	مرکب
periodică	دوری
periodică	متوالی
pista	آدمی
pista	وغیرہ.
pista	ٹینک
sparge	وقفہ
sparge	بھول
sparge	عہد
sparge	ٹھہرائو
sparge	رخنہ
sparge	چوک
sparge	loose
sparge	وعدہ
sparge	وقفہ
sparge	بھول
sparge	عہد
sparge	ٹھہرائو
sparge	رخنہ
sparge	چوک
sparge	خلل
sparge	loose
sparge	وعدہ
wolfram	ٹنگسٹن.
umorul	سودا
umorul	جھکائو
umorul	پتیانا
umorul	لگائو
bunny	شکار
bunny	ہدف.
alarmă	ہوشیار
alarmă	ہول
hidraulice	آبی
proporția	سائز
proporția	ضخامت.
fantoma	بھوت
fantoma	سایہ.
fantoma	روح
fantoma	سایہ
fantoma	واہمہ.
fantoma	بھوت
fantoma	ارواح
fantoma	سایہ.
palestiniene	فلسطینی
groaznic	کثیر
groaznic	بہت
groaznic	برا
groaznic	شرمندہ.
groaznic	نہایت.
groaznic	بہت
hawk	شکرا
hawk	لٹیرا
hawk	جنگجو
generarea	تناسل.
generarea	پیڑھی
generarea	نسل
generarea	تناسل.
generarea	پیڑھی
poluarea	تعفّن
poluarea	آلودگی
poluarea	تعفّن
captura	کھینچنا
captura	پھانسنے
captura	چٹخنی.
captura	روکنے
captura	گرفتہ
captura	تسخیر
captura	پکڑا
captura	قبضے
foametea	بھوک
foametea	کال
foametea	بھوک
logodna	منگنی.
logodna	ملاقات
marionetă	پُتلی
curată	صفائی
curată	قطعاً
curată	سْتھرا
curată	کاملاً
curată	فحاشی
curată	پُھرتیلا
curată	ستھرائی
curată	ہموار
curată	واضح
curată	تیز
curată	مکمل
curată	تازہ
curată	بنانا
curată	سڈول
tricou	بلاؤز.
tricou	بلاؤز.
tricou	قمیص
obstacol	رکاوٹ.
obstacol	اڑنگا
cookie	چھوٹا
riguros	شدید.
riguros	کٹھور.
riguros	کٹّر
tactic	(اسلحہ
destiny	مقدر
destiny	تقدیر
destiny	مقدر
achiziții	فراہمی
achiziții	حصول
violeta	بنفشیٔ.
stelară	پسندیدہ.
stelară	کوکبی.
stelară	نمایاں
pacient	صابر
pacient	ضابط
pacient	انگیزنے
tactice	(اسلحہ
podea	میدان
podea	غار
completare	تکمیل
thrash	around
thrash	لکڑی
thrash	چھٹپٹانا.
inventar	فرد
inventar	سیاہہ.
investigație	مطالعہ.
discrete	مجرّد
divers	متعدد.
divers	متنوع
divers	مختلف
moderate	معقول
adopta	اپنانا
adopta	گودلینا.
adopta	(رپورٹ
cinstit	واقعی.
cinstit	مخلص.
cinstit	دھوکے
cinstit	خالص
cinstit	مخلصانہ
dictatura	آمریت
mireasă	عروسہ
mireasă	دلہن
mireasă	عروس
mireasă	عروسہ
mireasă	دلہن
furtuna	طوفان
furtuna	تالیوں
furtuna	غلغلہ.
furtuna	آندھی
furtuna	غوغا
furtuna	out
furtuna	یورش
cotul	out
cotul	آلہ
root	دانت
root	in
root	out
root	پختہ-
root	قائم
root	(بعدہ
root	تہ.
root	تلپٹ
root	دانت
root	مُول
root	in
root	out
root	پختہ-
root	قائم
root	(بعدہ
root	تہ.
root	اصل
root	تلپٹ
neagă	ماننے
neagă	مکرنا
farmer	کاشتکار
conducte	سامان
înclinare	جھکانا
înclinare	جھکاؤ
înclinare	انحراف
înclinare	ڈھلان
înclinare	لگاؤ.
înclinare	نشیب.
manta	غلاف
manta	چادر
manta	ملوک
manta	۱۳:۲)
cuptor	گلخن
cuptor	انگیٹھی.
cuptor	چولھا.
cuptor	تنور
cuptor	گلخن
pasă	lay
pasă	پھیرنا
pasă	گزرنا
pasă	down
luminos	روشن
luminos	ہوشیار
luminos	فطین
luminos	طباع
luminos	ذہین
luminos	چونچال
luminos	منور
luminos	رخشندہ
luminos	پرنور
luminos	فاسفری
plain	انداز
plain	معمولی
plain	صاف
plain	محض
plain	واضح
plain	کھرا.
plain	سلائی
plain	گھریلو
penalty	نقصان
penalty	خسارہ
penalty	تعزیر
penalty	نقصان
penalty	خسارہ
iugoslave	سلافی.
solidaritate	اتحاد
usor	دباؤ
usor	(مال
usor	ندامت
usor	آسودہ
usor	سہل
usor	دباؤ
usor	آسان
usor	(مال
usor	ندامت
usor	آسودہ
satiră	طنزیہ
satiră	ہجو
satiră	طنزیہ
satiră	مجمع
satiră	انبار.
satiră	بھیڑ.
citez	(بعدہ
iugoslavă	سلافی.
combinația	ملانے
combinația	اتّصال
combinația	ترکیب
combinația	یکجائی
combinația	اتحاد
combinația	میل
combinația	مرکب
acute	مرحلہ)
acute	ہوشیار
acute	درّاک
acute	ذکی.
acute	دقیق
acute	توڑپر
acute	سخت
acute	کوکتی
castra	مردمی
încărcată	باردار
încărcată	سوال)
încărcată	تیکھی
escortă	رفاقت
escortă	گاڑیاں
cinetică	حرکی.
peliculă	جھلّی
peliculă	فتیلہ
peliculă	چھپانا
peliculă	فلم
prolific	فراواں.
