और	en
जनसंख्या	populasie
दर	gradeer
दर	tarief
दर	beoordeel
सामने	voorkant
सामने	voor
सामने	front
ठीक	fyn
रेल	railways
रेल	spoorweg
रेल	spoorlyn
रेल	rail
रेल	spoor
रेल	treine
दिए	gegee
पदार्थ	materie
पदार्थ	gegewens
पदार्थ	rots
पदार्थ	materiaal
पदार्थ	materiale
पदार्थ	materiaal
तथ्य	feite
तथ्य	feit
लाभ	voordele
लाभ	voordeel
लाभ	advantage
लाभ	profit
लाभ	winsgewende
लाभ	voordeel
लाभ	bevoordeel
लाभ	voordele
लाभ	versterking
साम्राज्य	ryk
साम्राज्य	monargie
सदस्यों	lede
देवी	godin
भूमि	grond
व्यापक	omvattende
व्यापक	wyd
व्यापक	breed
व्यापक	broad
किमी	mph
प्रबंधन	bestuur
प्रबंधन	bestuur
परीक्षण	toets
परीक्षण	toetse
परीक्षण	toets
अनुसंधान	navorsing
आन्ध्र	andhra
गीत	liedere
गीत	liedjies
गीत	lirieke
गीत	liedjie
गीत	lied
गणना	tel
गणना	berekening
गणना	reken
निम्न	lae
खोज	soektogte
खोज	soek
खोज	search
खोज	deursoek
खोज	exploration
खोज	ontdek
खोज	ontdekking
खोज	discovery
सांस्कृतिक	humane
सांस्कृतिक	kulturele
जाति	genres
जाति	ras
जाति	resies
व्यवहार	gedrag
व्यवहार	optrede
व्यवहार	optrede
व्यवहार	optredes
व्यवहार	gedra
व्यवहार	gedrag
योगदान	dra
योगदान	bydrae
योगदान	bydraes
प्रतिशत	persentasie
प्रतिशत	persent
इनकी	hul
सही	perfek
सही	regterkant
सही	regs
सही	waar
सही	true
सही	korrek
पुरुष	mans
पुरुष	manne
पुरुष	manlike
पुरुष	mannetjie
पुरुष	man
मिल	meul
मिल	mill
मिल	meule
जनगणना	sensus
संबंधी	relatief
संबंधी	relatiewe
उद्योग	industries
उद्योग	bedryf
छोटी	small
छोटी	klein
छोटी	bietjie
छोटी	kort
छोटी	kortliks
छोटी	sorteer
छोटी	kleiner
मदद	help
मदद	hulp
दिशा	breuke
दिशा	rigting
दिशा	oriëntasie
सूचना	kennisgewing
सूचना	kennisgewing
सूचना	informasie
सूचना	inligting
पत्र	brief
पत्र	letter
राम	ram
राम	rama
नवम्बर	november
माता	mata
पीछे	agteruit
पीछे	rug
पीछे	agterkant
पीछे	terug
पीछे	agter
पीछे	agteruit
पीछे	agtertoe
पीछे	agterste
राष्ट्रपति	president
दल	partytjies
दल	partye
दल	crew
दल	party
दल	feesvieringe
दल	partytjie
मीटर	meter
मीटर	meter
मीटर	meter
क्रिया	werkwoord
क्रिया	aksies
क्रिया	handelinge
क्रिया	aktiwiteit
गूगल	google
कॉलेज	kolleges
कॉलेज	kollege
विवाह	troues
विवाह	huwelike
विवाह	huwelik
विवाह	troue
मैच	pas
मैच	passing
मैच	ooreenstem
मैच	ooreenstemming
बनाए	geskep
सुधार	verbeterings
सुधार	regstelling
सुधार	hervorm
समाप्त	einde
समाप्त	voltooi
समाप्त	einde
समाप्त	beëindig
समाप्त	voltooi
समाप्त	afgehandel
समाप्त	verval
समाप्त	klaar
समाप्त	afgehandel
समाप्त	verstryk
समाप्त	verstreke
ब्रिटेन	brittanje
करें	toc
दिनों	dae
बच्चों	kinders
प्रौद्योगिकी	tegnologie
नियम	reëls
नियम	heers
नियम	reël
जन्मे	gebore
शब्दों	woorde
चीनी	sjinese
चीनी	chinees
चीनी	sjinees
चीनी	chinese
स्वास्थ्य	gesondheid
सहायक	assistent
सहायक	nuttige
सहायक	gehelp
सहायक	hulpvaardig
सहायक	behulpsaam
सहायक	nuttig
सहायक	helper
घोषणा	aankondiging
घोषणा	verklaring
प्रयुक्त	praetor
उल्लेख	melding
उल्लेख	noem
उल्लेख	meldings
कहीं	iewers
कहीं	heen
उपयुक्त	aligned
उपयुक्त	geskikte
उपयुक्त	gepas
उपयुक्त	toepaslike
बंद	toemaak
बंद	sluit
बंद	af
बंद	geslote
बंद	gesluit
बंद	toegemaak
किलोमीटर	kilometer
किलोमीटर	kilometer
किलोमीटर	kilometer
किलोमीटर	kilometers
जिसने	wie
इंग्लैंड	engeland
इंग्लैंड	england
इंग्लैंड	eng
धीरे	stadig
सार्वजनिक	openbare
सार्वजनिक	openbaar
सार्वजनिक	publieke
सार्वजनिक	publiek
लाख	miljoen
लाख	lac
सफल	suksesvol
सफल	suksesvolle
सफल	prosper
सफल	slaag
सफल	sukses
सफल	suksesvol
पहचान	identifikasie
पहचान	identiteite
पहचान	identiteit
राष्ट्र	nasies
राष्ट्र	nasie
संग्रह	versamelings
संग्रह	argief
संग्रह	argiveer
संग्रह	versameling
भीतर	binne
भीतर	binne
मौजूद	bestaan
मौजूद	hede
मौजूद	tans
मौजूद	voordra
मौजूद	teenwoordig
रक्त	bloed
कांग्रेस	congress
सम्मान	respek
सम्मान	ere
