নির্বাচক	селектора
গিল্ড	гилдия
অবাধ	непокорни
অবাধ	бунтар
অবাধ	бунтовник
অবাধ	бунтовниците
আকর্ষণের	привличането
আকর্ষণের	привличане
আকর্ষণের	атракция
মনিকা	моника
মনিকা	моника
ঝামেলা	бъркотия
ঝামেলা	каша
ঝামেলা	беля
ঝামেলা	неприятности
ঝামেলা	беда
ঝামেলা	проблем
ঝামেলা	проблеми
সমীর	самир
সমীর	самир
জজ	съдията
জজ	съдия
জজ	съдя
বেথুন	бетюн
কমান্ডো	командос
কমান্ডো	командоси
আয়েশা	аиша
আয়েশা	айша
আয়েশা	аиша
আয়েশা	айша
সামঞ্জস্যপূর্ণ	съвместимо
সামঞ্জস্যপূর্ণ	съвместим
সামঞ্জস্যপূর্ণ	съвместими
সামঞ্জস্যপূর্ণ	съвместима
মণি	мони
ঐতিহ্যগতভাবে	традиционно
মিখাইল	михаил
ব্রুনাই	бруней
অনুদিত	преведени
দুরে	сладко
দুরে	сладур
দুরে	сладка
দুরে	сладък
গঠনমূলক	конструктивно
গঠনমূলক	конструктивен
গঠনমূলক	конструктивна
গঠনমূলক	конструктивни
অন্যায়	несправедливост
অন্যায়	несправедливостта
ছদ্মনাম	псевдоним
স্টেইন	стайн
স্টেইন	щайн
চিকন	тънко
চিকন	тънък
চিকন	тънки
চিকন	слаб
চিকন	слаба
রূপা	сребърна
রূপা	сребърни
রূপা	силвър
রূপা	сребро
রূপা	сребърен
শিখা	пламък
সোমালি	сомалия
মুফতি	мюфтията
সমর	самар
জেরি	джери
অপেক্ষায়	чакаме
অপেক্ষায়	изчакване
অপেক্ষায়	чакане
অপেক্ষায়	чакам
নিবেদিত	посветен
নিবেদিত	посветена
নিবেদিত	отдадени
নিবেদিত	отдадена
ইতি	вече
ইতি	ити
বারি	бари
আভিধানিক	лексикална
রিচার্ডসন	ричардсън
অমল	амал
দামী	скъп
দামী	скъпо
এডি	еди
আংশিকভাবে	частично
আংশিকভাবে	отчасти
ভুট্টা	царевично
ভুট্টা	царевица
ভুট্টা	царевица
ইয়াকুব	джейкъб
ইয়াকুব	якоб
ইয়াকুব	яков
কভার	прикритие
কভার	корица
কভার	покритие
কভার	покриване
কভার	обхваща
কভার	корици
কভার	капаци
প্রতিযোগীতা	конкурс
প্রতিযোগীতা	състезание
গর্ভবতী	бременна
গর্ভবতী	бременни
বারাক	барак
কবে	когато
কবে	кога
পরিদর্শক	критик
ব্যতিক্রমী	изключителен
ব্যতিক্রমী	изключителни
ব্যতিক্রমী	изключителна
শ্রীনগর	шринагар
ভূমধ্যসাগরীয়	средиземноморски
অন্তর্বর্তী	междинен
অন্তর্বর্তী	междинно
প্রতিনিয়ত	постоянно
প্রতিনিয়ত	непрестанно
প্রতিনিয়ত	непрекъснато
পেইজ	пейдж
পেল	епъл
পেল	ябълков
পেল	ябълка
পেল	apple
এবিসি	abc
গাইতে	пей
গাইতে	пея
সার্কাস	циркът
সার্কাস	цирк
সার্কাস	цирка
প্রতীকী	символична
প্রতীকী	символично
প্রতীকী	символичен
গিনেস	гинес
ফর্মুলা	формула
ভিসা	визи
ভিসা	визите
ভিসা	виза
ভিসা	визи
কমিকস	комикс
কমিকস	комикси
আঙুল	пръст
আঙুল	пръста
আঙুল	пръстите
আঙুল	пръсти
সভ্য	цивилизовани
সভ্য	цивилизовано
সভ্য	цивилизован
লক্ষাধিক	милиони
ইউটিউব	youtube
মোক্ষ	мокша
মান্না	манна
শাল	шал
ঠাণ্ডা	студ
ঠাণ্ডা	студен
ঠাণ্ডা	студено
ঠাণ্ডা	студена
ঠাণ্ডা	студ
ঠাণ্ডা	замръзване
ঠাণ্ডা	замразяване
ঠাণ্ডা	охладени
উইসকনসিন	уисконсин
আরোপিত	наложена
আরোপিত	наложено
আরোপিত	наложен
আরোপিত	наложени
কোকা	кока
আরু	ару
শিশুরা	деца
শিশুরা	децата
শিশুরা	деца
শিশুরা	бебетата
শিশুরা	бебета
প্রত্যেকে	всички
প্রত্যেকে	всеки
বাদাম	бадеми
বাদাম	ядки
ভালবাসার	обич
ভালবাসার	любов
ভালবাসার	любовта
ভালবাসার	обичам
অগণিত	безброй
মাল্টি	мулти
দাবির	иск
দাবির	твърдение
দাবির	претенция
দাবির	искания
দাবির	твърди
দাবির	искове
দাবির	твърдения
দাবির	вземания
দাবির	претенции
দত্তক	осиновяването
দত্তক	приемане
দত্তক	осиновяване
মাইলফলক	забележителност
মাইলফলক	ориентир
মাইলফলক	крайъгълен
হ্যারল্ড	харолд
হ্যারল্ড	харълд
প্রোগ্রামার	програмисти
প্রোগ্রামার	програмист
টিকিট	билетите
টিকিট	билети
টিকিট	билет
অ্যালুমিনিয়াম	алуминиеви
অ্যালুমিনিয়াম	алуминиев
অ্যালুমিনিয়াম	алуминий
অ্যালুমিনিয়াম	алуминиева
অ্যালুমিনিয়াম	алуминий
চক	чок
বলল	каза
বলল	саид
ময়ূর	паун
রতন	ратан
হুগো	хюго
হুগো	уго
হুগো	юго
রুটি	хляб
রুটি	хляба
ভয়ঙ্কর	страшна
ভয়ঙ্কর	страшни
ভয়ঙ্কর	страшно
ভয়ঙ্কর	страшен
ভয়ঙ্কর	ужасна
ভয়ঙ্কর	ужасно
ভয়ঙ্কর	ужасен
মুলার	мюлер
পুঁজি	капитализма
পুঁজি	капитализъм
বমি	повръщане
বমি	повръщане
বিসর্জন	жертвоприношение
বিসর্জন	жертва
বিসর্জন	саможертва
বেটা	бета
পাগলা	луд
পাগলা	луда
পাগলা	лудо
পাগলা	луди
পাগলা	лудост
আইনী	правно
আইনী	правни
আইনী	правна
আইনী	юридически
আইনী	правен
আইনী	законно
ডেম	dem
কূটনীতিবিদ	дипломат
মুষ্টিযুদ্ধ	бокс
মুষ্টিযুদ্ধ	бокса
ল্যান্ড	земи
ল্যান্ড	земя
সিনা	сена
সিনা	cena
শামুক	охлюви
শামুক	охлюв
শামুক	охлюви
পাইন	пайн
পাইন	бор
সন্তোষ	сантош
লিঃ	еоод
লিঃ	оод
লিঃ	ltd
কম্পন	вибрация
কম্পন	вибрация
কম্পন	вибрации
ক্রু	екипаж
নীহারিকা	мъглявина
এনজিও	нпо
এনজিও	нпо
কম্পানি	дружество
কম্পানি	компания
কম্পানি	company
কম্পানি	рота
কম্পানি	фирма
সাবমেরিন	подводница
সাবমেরিন	подводницата
সীমারেখা	граници
যাকাত	милосърдие
যাকাত	благотворителност
যাকাত	милостиня
সুতা	прежда
সুতা	прежди
আরবরা	арабите
আরবরা	араби
রিকশা	рикша
বিক্রেতা	търговци
বিক্রেতা	продавачи
বিক্রেতা	продавач
বিক্রেতা	продавач
মিসাইল	ракетите
মিসাইল	ракети
মিসাইল	ракета
বেবি	бебе
বেবি	мила
বেবি	бейби
বেবি	скъпа
সুফিয়ান	суфян
থানে	тейн
অনানুষ্ঠানিক	неофициален
অনানুষ্ঠানিক	неформални
অনানুষ্ঠানিক	неофициално
অনানুষ্ঠানিক	неофициални
অনানুষ্ঠানিক	неофициална
পরীক্ষক	тестери
ক্লোরাইড	хлорид
আক্রমণকারী	нападател
আক্রমণকারী	нападателят
আক্রমণকারী	нападателя
আক্রমণকারী	нападатели
আক্রমণকারী	нападателите
ক্যাম্ব্রিয়ান	камбрий
ডিপ	дълбока
ডিপ	дълбок
ডিপ	дълбоки
ডিপ	дълбоко
রাজনৈতিকভাবে	политически
ফুসফুস	дроб
ফুসফুস	лунг
ফুসফুস	дробове
ট্রাম্প	скитник
ট্রাম্প	коз
ট্রাম্প	тръмп
মাইক্রোপ্রসেসর	микропроцесор
প্রফুল্ল	весел
অবিবাহিত	необвързан
অবিবাহিত	единична
অবিবাহিত	сингъл
অবিবাহিত	необвързана
অবিবাহিত	единичен
কেন্দ্রীভূত	централизирана
অপরাজেয়	непобедим
অপরাজেয়	непобедими
অপরাজেয়	непобедим
সত্যিকারের	истинско
সত্যিকারের	реал
সত্যিকারের	истинска
সত্যিকারের	реално
সত্যিকারের	истински
সত্যিকারের	истина
সত্যিকারের	верни
সত্যিকারের	вярно
আফ্রো	афро
মাদাগাস্কার	мадагаскар
আইপিএল	ipl
অসন্তোষ	недоволство
আমের	амер
লোম	космати
নেটিভ	родна
নেটিভ	местни
ইমপ্রেস	впечатли
আইফোন	iphone
আনসার	ансар
দিয়া	диа
একত্রীকরণ	мер
ছাই	пепелта
ছাই	пепел
ছাই	аш
ছাই	пепел
ছাই	шистов
ফিজি	фиджи
শিখদের	сикхи
সম্রাজ্ঞী	императрицата
সম্রাজ্ঞী	императрица
চর্বি	мазнини
জুলফিকার	зулфикар
জুনিয়র্স	младежи
ধারন	заловен
ধারন	заловени
ধারন	пленен
ধারন	уловен
ধারন	пленени
পোর্টাল	портал
সতেরো	седемнадесет
সতেরো	седемнайсет
ঘৃণা	омраза
ঘৃণা	ненавист
ঘৃণা	омраза
ঘৃণা	мразя
ঘৃণা	мрази
ঘৃণা	омразата
জ্যোতির্বিদ্যা	астрономия
জ্যোতির্বিদ্যা	астрономията
গলফ	голф
শিশির	роса
হাবল	хъбъл
মীমাংসা	решителност
মীমাংসা	разрешаване
মীমাংসা	решаване
কাঠমান্ডু	катманду
ঝোঁক	акцент
ফ্যাট	дебела
ফ্যাট	мазнина
ফ্যাট	мазнини
ফ্যাট	дебели
ফ্যাট	дебел
বন্টন	дистрибуция
বন্টন	разпределяне
বন্টন	разпространение
বন্টন	разпределение
ওর	ор
অ্যাক্সেস	достъп
অজস্র	многобройни
নিয়োগের	набиране
আহমেদাবাদ	ахмедабад
কেমিক্যাল	химична
কেমিক্যাল	химически
কেমিক্যাল	химикал
কেমিক্যাল	химикали
ভীত	уплашен
ভীত	изплашена
ভীত	изплашен
ভীত	уплашена
ভীত	уплашени
গুজরাত	гуджарат
গিবস	гибс
অভিবাসন	миграцията
অভিবাসন	миграция
রেসলিং	борба
রেসলিং	кеч
স্কেচ	скица
স্কেচ	скеч
ইফেক্ট	последици
ইফেক্ট	въздействие
ইফেক্ট	ефекти
ইফেক্ট	ефект
ইফেক্ট	ефект
ইফেক্ট	въздействие
শীতকাল	зима
শীতকাল	зимата
রাদারফোর্ড	ръдърфорд
বসন্তে	пролетно
বসন্তে	пролет
বসন্তে	пролетта
উইলিস	уилис
অয়লার	ойлер
নারিকেল	кокос
আসক্তি	зависимост
আসক্তি	пристрастяването
আসক্তি	пристрастяване
আসক্তি	пристрастяване
আশ্চর্য	невероятна
আশ্চর্য	удивително
আশ্চর্য	изумително
আশ্চর্য	невероятен
আশ্চর্য	невероятно
আশ্চর্য	странна
আশ্চর্য	странно
আশ্চর্য	странни
আশ্চর্য	странен
আশ্চর্য	чудо
আশ্চর্য	чудно
উইলিয়ামসন	уилямсън
ফিলাডেলফিয়া	филаделфия
ব্যবসায়ীদের	търговците
ব্যবসায়ীদের	търговци
তলার	горе
গায়ত্রী	гаятри
অত্যাধুনিক	изтънчен
চিন	чин
চিন	брадичката
চিন	брадичка
চিন	порцелан
চিন	китай
চিন	чайна
ফ্রেডরিক	фредерик
ওয়াইন	вина
ওয়াইন	виното
ওয়াইন	вино
অস্পষ্ট	неясно
অস্পষ্ট	неясен
অস্পষ্ট	неясна
অস্পষ্ট	неясни
অস্পষ্ট	замъглено
নৃতাত্ত্বিক	антрополог
দন্ড	пръчки
দন্ড	стикове
আর্নল্ড	арнолд
দৌড়বাজী	атлетика
লিন	лин
লিন	лин
লিন	лин
ছাড়	намаление
ছাড়	отстъпка
ছাড়	отстъпки
ছাড়	отстъпки
ছাড়	намаления
পনেরো	петнадесет
পনেরো	петнайсет
রবার্টস	робъртс
ব্রেট	брет
কল্পিত	приказен
কল্পিত	приказна
কল্পিত	приказно
কল্পিত	представял
ডলি	доли
প্রাইড	гордост
প্রাইড	прайд
ভিলহেল্ম	вилхелм
ডায়ানা	даяна
ডায়ানা	диана
জোহানেসবার্গ	йоханесбург
ওম	ому
সচিবালয়	секретариат
অন্তর্বর্তীকালীন	преходна
অন্তর্বর্তীকালীন	преходно
অন্তর্বর্তীকালীন	преходни
শোনার	слух
শোনার	изслушването
শোনার	изслушване
দরজার	врата
দরজার	вратата
হোমস	холмс
হোমস	хомс
দোকানের	сладкарница
দোকানের	магазин
দোকানের	магазинче
সাও	сао
সাও	сао
আইসল্যান্ড	исландия
মডার্ন	модерно
মডার্ন	модерни
মডার্ন	модерна
মডার্ন	съвременно
মডার্ন	модерен
মডার্ন	съвременен
চতুর্থাংশ	четвърт
চতুর্থাংশ	тримесечие
অন্নপূর্ণা	анапурна
তৎপরতা	дейност
তৎপরতা	активност
জুলিয়াস	юлий
জুলিয়াস	джулиъс
ভাতা	квоти
ভাতা	обезщетения
ব্যাঙ্গালোর	бангалор
তাড়া	чейз
তাড়া	преследване
তাড়া	чейс
তাড়া	костюми
উপসাগরীয়	залив
উপসাগরীয়	залива
ইলেক্ট্রনিক্স	електроника
ইলেক্ট্রনিক্স	електрониката
পৌঁছায়	достигнат
পৌঁছায়	достигне
পৌঁছায়	достигане
এমবিএ	mba
কবরের	гробове
কবরের	гробовете
কবরের	грейвс
লিওনেল	лайнъл
লিওনেল	лионел
লিওনেল	лайънъл
স্বর্গের	рай
স্বর্গের	раят
স্বর্গের	рая
স্বর্গের	небето
সদস্যবৃন্দ	запомни
সদস্যবৃন্দ	помни
সদস্যবৃন্দ	членове
সদস্যবৃন্দ	членовете
অলংকার	украшения
অলংকার	украса
অলংকার	орнаменти
ছাদের	покрив
ডুবিয়ে	удави
ডুবিয়ে	удави
উদ্যোগী	инициатива
চিরন্তন	вечна
চিরন্তন	вечни
চিরন্তন	вечен
সত্বেও	въпреки
লালা	лала
কানে	уши
কানে	ухо
কানে	ухото
এসেক্স	есекс
শোভা	украшение
জাস্টিন	джъстин
ফিশার	фишер
ফিশার	фишър
ফিশার	полукълбо
ফিশার	фишер
ফিশার	фишър
মাইক্রোসফটের	майкрософт
মাইক্রোসফটের	microsoft
জাম্প	скок
জাম্প	скочи
বুলেট	куршум
কঠোরভাবে	строго
কঠোরভাবে	стриктно
দেওয়ালে	стена
দেওয়ালে	стената
দেওয়ালে	уол
যোদ্ধাদের	бойците
যোদ্ধাদের	бойци
যোদ্ধাদের	изтребители
আর্ল	ърл
পাবলিশার্স	издателите
পাবলিশার্স	издатели
সেলাই	шие
সেলাই	шевни
সেলাই	шия
সেলাই	шиене
সেলাই	стич
সেলাই	шев
সেলাই	щих
সেলাই	шевове
সেলাই	шева
সেলাই	шевовете
হজরত	хазрат
সুরা	сурат
সুরা	сура
প্রোটোকল	протокол
প্রোটোকল	протоколът
প্রোটোকল	протоколите
প্রোটোকল	протоколи
সৃষ্টিকর্তা	създател
দোয়া	дуа
সন্ত্রাসবাদ	тероризмът
সন্ত্রাসবাদ	тероризъм
যত্ন	грижи
যত্ন	грижа
তাজিকিস্তান	таджикистан
অনশন	пости
অনশন	гладно
সুগার	захар
মোদী	моди
ফান্ড	фондове
ফান্ড	средства
ফান্ড	фонд
ফান্ড	фондове
নির্মম	безмилостно
নির্মম	безмилостен
নির্মম	безмилостни
নির্মম	безскрупулен
নির্মম	безмилостна
নির্মম	брутално
নির্মম	брутална
নির্মম	брутални
নির্মম	брутален
নির্মম	брутално
তন্তু	влакна
তন্তু	влакна
মনি	мани
প্রবাদ	поговорка
বাটলার	бътлър
বাটলার	иконом
কৈশোর	юноша
কৈশোর	юношеството
চিনতে	разпознае
সাবান	сапун
সাবান	сапуни
স্বরধ্বনি	гласна
জেনিফার	дженифър
ক্ষেত্রগুলি	фийлдс
ক্ষেত্রগুলি	поля
ক্ষেত্রগুলি	полетата
ক্ষেত্রগুলি	полета
মরক্কো	мароко
সিরীয়	сирийски
এভিনিউ	авеню
হকিং	хокинг
অর্থহীন	безсмислен
অর্থহীন	безсмислени
অর্থহীন	безсмислено
অর্থহীন	безполезен
অর্থহীন	безполезно
পাখনা	крилата
পাখনা	крила
পাখনা	крилца
পাখনা	крилете
পাখনা	криле
ক্রিশ্চিয়ান	кристиан
ক্রিশ্চিয়ান	кристиян
ক্রিশ্চিয়ান	крисчън
ক্রিশ্চিয়ান	християнин
মাচু	мачу
অভ্যর্থনা	прием
অভ্যর্থনা	приемане
অভ্যর্থনা	рецепция
ট্রিপল	тройна
ট্রিপল	троен
ট্রিপল	тройно
ইউরেশীয়	евразийски
মস্তিষ্কে	мозъчен
মস্তিষ্কে	мозък
মস্তিষ্কে	мозъка
চরণ	чаран
নিঃসন্দেহে	несъмнено
ক্রুসেড	поход
নিবিড়	интензивна
নিবিড়	интензивни
নিবিড়	интензивен
নিবিড়	интензивно
প্রোডাকশন	продукция
প্রোডাকশন	производство
সিন্ধি	синдхи
খলিল	халил
একনিষ্ঠ	посветен
একনিষ্ঠ	посветена
একনিষ্ঠ	отдадени
একনিষ্ঠ	отдадена
অ্যাঞ্জেলো	анджело
এলেন	елен
এলেন	елън
সিকিম	сиким
ব্যাঙের	жаба
সম্ভাবনার	възможности
সম্ভাবনার	вероятности
জিউস	зевс
আরেকটা	друг
জুরিখ	цюрих
জুরিখ	цюрих
বাহুর	ръце
বাহুর	оръжия
বাহুর	оръжие
মাইক্রো	микро
বিভাজিত	обвит
বিভাজিত	увита
বিভাজিত	увит
ফ্লাওয়ার	цвете
অভিযোজন	приспособяване
অভিযোজন	адаптация
অভিযোজন	адаптиране
স্থানাংক	координиране
স্থানাংক	координира
স্থানাংক	координатите
স্থানাংক	координати
ইব্রাহীম	ибрахим
ইব্রাহীম	ейбрахам
ইব্রাহীম	авраам
ইব্রাহীম	абрахам
ইব্রাহীম	аврам
কোমর	талия
কোমর	кръста
কোমর	талията
উদ্বাস্তু	бежанци
উদ্বাস্তু	бежанците
উদ্বাস্তু	бегълци
বিপর্যয়ের	катастрофа
বিপর্যয়ের	бедствието
বিপর্যয়ের	бедствия
বিপর্যয়ের	бедствие
মোড	режим
কাঁকড়া	раци
কাঁকড়া	въшки
কাঁকড়া	рак
কাঁকড়া	краб
কাঁকড়া	раци
নিয়মাবলী	правила
নিয়মাবলী	правилата
মায়ার	мая
নেভিল	невил
শত্রুদের	врагове
শত্রুদের	враговете
ভিড়	тълпи
ভিড়	тълпа
ভিড়	тълпата
ভিলা	villa
ভিলা	вила
গোসল	душа
গোসল	душ
গোসল	бат
গোসল	вана
গোসল	баня
কোটা	квота
কোটা	квоти
টার্গেট	мишени
টার্গেট	цели
বাজেয়াপ্ত	конфискувани
বাজেয়াপ্ত	конфискува
ফসফরাস	фосфор
গোপনীয়তা	усамотение
গোপনীয়তা	уединение
গোপনীয়তা	поверителност
ইস্তানবুল	истанбул
পিতামাতা	родители
পিতামাতা	родителите
পিতামাতা	родител
অবিচ্ছিন্ন	непрекъсната
অবিচ্ছিন্ন	непрекъснати
অবিচ্ছিন্ন	непрекъснат
নামগুলো	наименования
নামগুলো	имената
নামগুলো	имена
গ্রীষ্মকাল	лятото
গ্রীষ্মকাল	съмър
গ্রীষ্মকাল	лято
গ্রীষ্মকাল	лятно
গ্রীষ্মকাল	самър
জাকার্তা	джакарта
হেল	хел
সিনেট	сенат
সিনেট	сената
সিনেট	сенатът
টুইটার	twitter
টুইটার	туитър
বাঁক	криви
বরখাস্ত	уволнен
বরখাস্ত	уволнени
বরখাস্ত	уволнение
বীরত্ব	героизъм
যুগল	двойка
জার	цар
জার	буркан
জার	джар
জার	буркани
লায়ন	лъв
অভিযোগের	заряди
অভিযোগের	обвинения
ভাঙন	ерозия
মুজাহিদ	муджахид
বাহামা	бахамите
ফিলিপস	филипс
ফিলিপস	филипс
টুকরা	парчета
টুকরা	късче
টুকরা	парченце
টুকরা	парче
টুকরা	бройки
টুকরা	парченца
টুকরা	парчета
অসুস্থতা	болест
অসুস্থতা	заболяване
অসুস্থতা	заболявания
অসুস্থতা	болест
অসুস্থতা	болести
লাগানোর	засаждане
রহমত	мърси
রহমত	милосърдие
রহমত	милост
কিথ	кийт
উপন্যাসটির	михалски
দেওয়াল	стена
দেওয়াল	стената
দেওয়াল	уол
দেওয়াল	стени
দেওয়াল	стените
নোভা	nova
নোভা	нова
অ্যাক্ট	act
অ্যাক্ট	акт
টহল	патрулират
টহল	патрулира
টহল	патрул
কোস্টা	коста
লাইক	като
লাইক	like
লাইক	обича
লাইক	харесва
লাইক	харесвания
জুরি	jure
জুরি	журито
জুরি	жури
জুরি	заседатели
পিঠা	торти
পিঠা	сладкиш
পিঠা	торта
স্থানসমূহ	места
শার্লক	шерлок
জিনি	джини
সি++	c++
স্পষ্টভাবে	определено
নিহিত	финансиран
নিহিত	финансирани
নিহিত	финансирана
পিটার্সবার্গ	петербург
শ্রোতাদের	слушателите
শ্রোতাদের	слушатели
গোয়ার	гоа
ঢোল	барабан
ঢোল	барабани
মন্ত্রনালয়	министерство
মন্ত্রনালয়	министерството
জারী	яри
অভিনব	луксозно
ভেজা	мокра
ভেজা	влажна
ভেজা	мокър
ভেজা	мокри
ভেজা	мокро
কুমির	крокодил
খুনের	убийства
খুনের	убийства
খুনের	убийство
মিছিলে	шествие
আর্কিটেকচার	архитектурата
আর্কিটেকচার	архитектура
করন	каран
তেহরান	техеран
নিরস্ত্র	невъоръжени
নিরস্ত্র	невъоръжен
নিরস্ত্র	обезоръжи
কদম	кадам
প্রার্থীদের	кандидатите
প্রার্থীদের	кандидатки
প্রার্থীদের	кандидати
ম্যাজিক	магии
ম্যাজিক	вълшебство
ম্যাজিক	магия
আগ্রাসন	агресия
পেনিসিলিন	пеницилин
শাহীন	шахин
রোমানদের	римляни
রোমানদের	римляните
হোল	дупка
হোল	дупката
ট্রানজিস্টর	транзистор
স্প্রিং	пролетно
স্প্রিং	пролет
স্প্রিং	пролетта
ক্রেইগ	крейг
অর্থনৈতিকভাবে	икономически
কীট	насекоми
কীট	насекомо
আদর্শে	идеали
মিগ	миг
সারসংক্ষেপ	преглед
সারসংক্ষেপ	обзор
সারসংক্ষেপ	резюме
সারসংক্ষেপ	обобщение
শিক্ষাগত	образователна
শিক্ষাগত	образователен
শিক্ষাগত	образователно
শিক্ষাগত	образователни
উদ্ভিদবিজ্ঞান	ботаника
তাক	рак
তাক	рафтове
তাক	рафтовете
সুড়ঙ্গ	тунел
সুড়ঙ্গ	тунели
সুড়ঙ্গ	тунелите
জুল	джулс
জুল	жул
ফ্যাক্টর	фактор
ফ্যাক্টর	коефициент
তুই	си
তুই	ти
তুই	ви
ডেল্টা	делта
ডেল্টা	delta
লুসিয়া	лучия
লুসিয়া	лусия
চিত্রগ্রহণ	снимам
চিত্রগ্রহণ	снимането
চিত্রগ্রহণ	снимаш
চিত্রগ্রহণ	снимане
নৈতিকতা	етика
নৈতিকতা	морал
নৈতিকতা	морална
নৈতিকতা	морален
নৈতিকতা	морални
নৈতিকতা	морално
নৈতিকতা	морал
নৈতিকতা	моралът
নৈতিকতা	морал
নৈতিকতা	моралът
রাজহাঁস	гъска
গ্যালিলিও	галилео
মুলক	мулк
গাদ্দাফি	кадафи
উষ্ণতা	топлина
শিল্পপতি	индустриалец
স্টকহোম	стокхолм
ভাবতে	мисли
ভাবতে	помисли
প্রসারণ	разшири
প্রসারণ	разрастване
প্রসারণ	разширяване
প্রসারণ	продължение
প্রসারণ	удължаване
প্রসারণ	разширение
আংটি	ринг
আংটি	пръстен
আংটি	халки
আংটি	пръстени
আংটি	пръстените
পশ্চিমী	западна
পশ্চিমী	западни
পশ্চিমী	западен
পশ্চিমী	западните
পশ্চিমী	уестърн
পশ্চিমী	western
নন্দ	нанда
কিড	хлапе
কিড	дете
দিচ্ছে	даване
উট	камилите
উট	камили
উট	камила
উট	камилата
উট	камили
জামা	ризи
জামা	блузи
জামা	тениска
জামা	риза
জামা	ризата
জামা	блуза
গ্রীষ্মের	лятото
গ্রীষ্মের	съмър
গ্রীষ্মের	лято
গ্রীষ্মের	лятно
গ্রীষ্মের	самър
ফরিদ	фарид
ইউয়ান	юан
গল	галия
গল	гал
বাঁচতে	живи
বাঁচতে	жива
বাঁচতে	live
বাঁচতে	жив
বাঁচতে	живей
কলম্বাস	колумб
ট্যাঙ্ক	резервоар
ট্যাঙ্ক	танк
ট্যাঙ্ক	цистерна
ট্যাঙ্ক	резервоари
ট্যাঙ্ক	танкове
ট্যাঙ্ক	цистерни
ঋগ্বেদ	ригведа
স্বাভাবিকভাবেই	естествено
ব্রিটানিকা	британика
আরোগ্য	излекува
আরোগ্য	лек
আরোগ্য	изцеление
আরোগ্য	лечение
আরোগ্য	оздравяване
আরোগ্য	лекуване
কোকিল	куку
কোকিল	перко
ক্রোয়েশীয়	хърватски
ক্রোয়েশীয়	хърватска
হতাশ	разочарован
হতাশ	разочарована
হতাশ	разочаровани
হতাশ	разочарован
হতাশ	разочарова
হতাশ	разочарована
হতাশ	разочаровани
উত্পাদন	производство
উত্পাদন	изработване
উত্পাদন	продукция
উত্পাদন	производство
উত্পাদন	производство
অযোগ্য	негоден
অযোগ্য	негодни
অযোগ্য	недопустими
তেরেসা	тереза
তেরেসা	тереса
ফাতিমা	фатима
ক্রিসেন্ট	полумесец
ভিক্ষুদের	монаси
ভিক্ষুদের	монасите
