deriva	пропала
creasca	виростають
creasca	рости
creasca	вирощують
creasca	ростуть
rebel	rebel
ccd	пзз
lantul	ланцюжок
lantul	ланцюг
uruguay	уругвай
pascal	паскаль
abbasid	аббасидський
iugoslaviei	югославії
damian	даміан
roll	рол
roll	roll
roll	кинути
preluarea	отримання
preluarea	поглинання
judecator	суддя
judecator	судді
judecator	суддю
judecator	суддя
judecator	судді
judecator	суддю
semneaza	підписати
semneaza	знак
semneaza	підписати
semneaza	знак
palermo	палермо
hugh	гуго
termica	термальні
laos	лаосу
argumentele	аргументи
argumentele	аргументів
uesac	uesac
fir	дріт
fir	дроту
fir	нитки
fir	гілка
legiunea	легіон
chip	чіп
prefect	префекта
localizata	розташовані
localizata	знаходиться
localizata	розташовано
localizata	розташований
localizata	локалізоване
triburile	народами
triburile	племен
mon	мон
mon	mon
lisa	ліза
platoul	плато
jpg}}	jpg}}
pasarile	птахи
pasarile	пташки
pasarile	птахи
pasarile	пташки
arcul	уклін
arcul	арку
arcul	лук
square	квадратний
square	площа
square	квадрат
doc	doc
doc	документ
doc	док
incet	повільно
call	дзвінок
call	зателефонувати
call	виклик
cerul	небом
cerul	небо
esentiale	необхідних
esentiale	необхідного
esentiale	необхідний
transferul	трансфер
transferul	перенесення
creatorul	творець
creatorul	автор
creatorul	створив
companiile	компанії
companiile	компаній
companiile	компаніями
silvia	сільвія
silvia	сільвія
gibson	гібсон
inconjurata	оточують
inconjurata	оточили
viktor	віктор
adulti	дорослі
adulti	дорослих
adulti	доросла
adulti	дорослі
adulti	доросле
adulti	дорослий
adulti	дорослі
nivele	етапи
nivele	рівні
nivele	рівнів
estadio	естадіо
atribuita	призначена
atribuita	оргкомітет
atribuita	призначені
wood	вуд
wood	деревина
wood	лісова
abc	abc
geo	geo
coordonatele	координати
johan	йоган
santos	сантос
gif	gif
credit	кредитний
credit	кредитна
credit	кредит
simfonia	симфонічний
simfonia	симфонія
marcand	оцінок
marcand	оцінювання
visul	сон
visul	dream
visul	мрія
eddie	едді
intreprinderi	підприємств
intreprinderi	підприємства
intreprinderi	підприємств
intreprinderi	підприємства
mir	мір
entitati	сутності
pescuit	рибалку
pescuit	рибалити
pescuit	тунця
proportie	пропорція
proportie	співвідношення
opozitia	протистояння
jorge	хорхе
atribuite	призначена
atribuite	оргкомітет
atribuite	призначені
bursa	братства
bursa	товариство
bursa	стипендію
bursa	bursa
bursa	стипендію
etaje	поверхи
etaje	поверхів
reciproc	взаємного
reciproc	спільний
reciproc	взаємно
extra	додатковий
extra	зайві
extra	додаткова
extra	додаткові
avansate	додатковий
avansate	додаткові
avansate	додаткове
avansate	розширений
avansate	додатково
trenuri	перевізників
trenuri	потяги
trenuri	поїзди
antena	блюдо
antena	страва
antena	антени
antena	антена
antena	антени
antena	антена
umbra	тіней
umbra	морок
umbra	shadow
umbra	тінь
umbra	згортання
umbra	тони
umbra	відтінок
umbra	згорнути
umbra	тіней
umbra	морок
umbra	shadow
umbra	тінь
umbra	згортання
umbra	тони
umbra	відтінок
umbra	згорнути
vocala	голосний
vocala	піднесення
vocala	голосний
vocala	піднесення
creuse	крез
omorat	убитий
omorat	вбив
omorat	вбили
marturii	свідчення
marturii	показання
aaron	аарон
aaron	арон
falls	водоспад
paraná	парана
transformare	трансформація
transformare	перетворення
academica	академічна
academica	навчального
academica	академічний
promoveaza	рекламувати
promoveaza	просувати
promoveaza	розповсюдити
promoveaza	рекламувати
promoveaza	boost
digitale	цифрове
digitale	digital
digitale	цифрова
digitale	цифровий
abbas	аббас
grafic	граф
grafic	графіка
grafic	графік
grafic	графіку
grafic	графічні
grafic	діаграма
grafic	діаграми
antrenori	тренерів
contul	рахунок
pedeapsa	пенальті
pedeapsa	штраф
pedeapsa	покарання
pedeapsa	пенальті
pedeapsa	штраф
pedeapsa	покарання
mei	мей
sevilla	севілья
sevilla	севільї
domnule	сер
domnule	пане
definite	визначений
definite	визначена
definite	визначені
definite	визначено
definite	визначається
pauza	пауза
pauza	призупинити
pauza	break
pauza	перерва
pauza	розбити
pauza	розрив
pauza	перерви
pauza	break
pauza	перерва
pauza	розбити
pauza	розрив
pauza	перерви
pauza	пауза
pauza	призупинити
allan	аллан
seminarul	семінар
globala	глобальний
globala	global
globala	загальні
torre	торре
conan	конан
brescia	брешія
sarcini	завдання
sarcini	задачі
infrant	перемогли
infrant	поразки
hrusciov	хрущов
roxana	роксана
ferrara	феррара
string	рядок
julian	юліан
mandatului	мандат
collins	коллінз
ontario	онтаріо
valoroase	цінні
valoroase	корисна
valoroase	цінний
manifestat	виявив
pianist	піаніст
reclama	комерційне
reclama	комерційного
reclama	комерційні
reclama	комерційна
reclama	комерційний
reclama	реклама
merite	вчинок
merite	заслуги
tong	тун
comunicatii	комунікацій
manga	манга
electorala	колегія
electorala	виборчий
indo	індо
marketing	маркетинг
montreal	монреаль
ribbentrop	ріббентроп
scade	зменшити
ton	тунець
ton	тонус
ton	тон
ton	тоне
cheia	ключ
cheia	клавіша
britannica	britannica
vidin	видин
mecanice	механічна
mecanice	механічний
vrh	врх
ascunde	сховати
ascunde	приховати
ascunde	ховати
mobil	мобільна
mobil	мобільний
mobil	мобільного
mobil	мобільні
sean	шон
schi	лижі
schi	лижах
schi	лижі
fondarea	засновники
fondarea	заснування
depozite	склади
depozite	скидає
fictiv	уявному
fictiv	вигаданий
fictiv	фантастика
fictiv	штучно
aeroport	аеропорт
talentul	талант
oklahoma	оклахома
permisiunea	дозволу
permisiunea	дозвіл
bernhard	бернгард
nepoata	онука
nepoata	племінниця
nepoata	онука
nepoata	племінниця
batut	бив
batut	побили
batut	бив
batut	побили
pragul	поріг
oua	яйця
oua	яєчка
oua	яйця
oua	яєчка
aristotel	арістотель
lucilia	lucilia
alpha	alpha
alpha	альфа
atlético	атлетіко
liudmila	людмила
contrar	навпаки
sprijina	підтримує
tiparita	надруковано
rica	рики
imnul	гімн
chirurgie	хірургія
afecta	вплине
afecta	вплинути
afecta	впливати
madison	медісон
icoana	ікона
icoana	значок
amy	емі
klaus	клаус
adriana	адріана
pasi	кроків
pasi	кроки
pasi	слідами
pasi	кроків
pasi	кроки
spatial	просторовий
legislatia	законодавства
legislatia	законодавство
butler	батлер
discutat	обговорено
discutat	обговорили
discutat	обговорюється
discutat	обговорювали
inutil	безглуздо
inutil	непотрібні
explicatie	пояснення
explicatie	пояснення
ritm	ритм
hudson	хадсон
nori	хмари
nori	хмар
edmund	едмунд
mercedes	mercedes
mercedes	мерседес
intelectuali	інтелектуальна
intelectuali	інтелектуальної
proprietari	власники
protejat	захищений
protejat	захищена
protejat	захищено
ronald	рональд
alin	алін
colective	колектив
popularitate	популярність
gandit	здалося
gandit	подумав
gandit	думав
gandit	думала
gandit	гадали
homo	людина
homo	homo
homo	геї
homo	голубий
homo	гей
castle	замок
droguri	наркотики
droguri	наркотиків
droguri	ліків
droguri	dope
droguri	препарати
droguri	наркотик
willem	віллем
executie	виконання
executie	виконання
jucand	грає
jucand	програвання
jucand	відтворення
intervenit	втрутився
generat	створено
generat	створене
generat	створений
generat	створені
succese	успіх
bratislava	братислава
damasc	дамаску
nuvela	повість
nuvela	повість
card	картка
card	картку
reformei	реформи
reformei	реформа
necunoscute	невідомий
necunoscute	невідомо
necunoscute	невідома
necunoscute	невідомі
necunoscute	невідоме
filipine	філіппіни
secundara	вторинної
carabus	турун
promis	обіцяла
promis	обіцяв
promis	пообіцяв
rin	рін
rin	рейн
incident	інцидент
incident	дтп
semnificatia	значущість
plecare	відправлення
plecare	виліт
memorii	мемуари
memorii	мемуари
gandire	роздуми
gandire	мислення
identificate	визначена
identificate	визначено
anatomia	анатомія
farmacie	аптеку
farmacie	аптека
farmacie	аптеку
biti	біти
biti	бітів
biti	біт
rightarm	rightarm
mexican	мексиканська
mexican	мексиканський
portrete	портрети
pictate	намалювала
pictate	малюють
aleksandr	aleksandr
parcuri	парки
pozitiva	позитивне
pozitiva	позитивні
pozitiva	позитивний
pozitiva	позитивно
pozitiva	позитив
tiparit	надруковано
sangele	кров
sangele	blood
marchiz	маркіз
marchiz	маркіз
yemen	ємен
cantand	спів
cantand	співати
cantand	співає
cantand	спів
cantand	співати
cantand	співає
stiluri	стилів
stiluri	стилі
protejarea	захисту
norvegian	норвезька
impuscat	постріл
impuscat	застрелив
impuscat	постріл
impuscat	застрелив
salbatica	дикі
salbatica	дикий
salbatica	wild
salbatica	диких
teama	fear
teama	страх
teama	страху
teama	fear
teama	страх
teama	страху
statui	статуї
sambata	субота
sambata	субота
sambata	суботи
sambata	щосуботи
sambata	субота
sambata	субота
profesionisti	спеціалістів
profesionisti	професіонали
profesionisti	спеціалістів
profesionisti	професіонали
irlandez	ірландський
irlandez	irish
irlandez	ірландська
consilieri	радники
bunica	бабусі
bunica	бабуся
bunica	бабця
bunica	бабусю
bunica	бабусю
bunica	аліна
bunica	бабуся
bunica	бабусі
bunica	бабуся
bunica	бабця
bunica	бабусю
bunica	бабуся
lituaniei	литві
lituaniei	литви
lituaniei	литва
limitate	обмежені
limitate	обмежений
limitate	обмежена
pereti	стіни
pereti	мури
pereti	стіни
pereti	мури
sándor	шандор
sándor	корані
perry	перрі
sept	перетинка
sept	сет
distinctie	судження
cronici	хроніки
rugaciune	молитва
rugaciune	молитва
luther	лютер
personalitatea	особистість
atelierul	workshop
cook	готувати
cook	кухаря
cook	кук
cook	повар
cook	кухар
blois	блуа
abur	steam
oleg	олег
respectarea	стандарту
vama	митниця
vama	звичаї
vama	митниця
vama	звичаї
adult	дорослих
adult	доросла
adult	дорослі
adult	доросле
adult	дорослий
imparte	дроблення
imparte	розділення
imparte	розділити
imparte	розділена
experimental	експериментальна
experimental	експериментальний
dir	dir
helsinki	гельсінкі
julia	юлія
julia	джулія
mussolini	муссоліні
scooby	скубі
faimos	відома
faimos	знамениті
faimos	відомий
faimos	знаменитий
magdalena	магдалена
anastasia	анастасія
studiourile	studios
posterior	задня
bat	bat
apr	apr
mintea	mind
mintea	розум
dmitri	дмитро
americanii	американців
americanii	американці
alexei	олексій
sarb	сербська
sarb	сербська
documentul	документом
documentul	документа
documentul	документ
baba	баба
baba	баба
codreanu	кодряну
brusc	раптово
brusc	раптом
brusc	несподівано
brusc	зненацька
brusc	несподівана
japonezi	японська
japonezi	японський
japonezi	японці
japonezi	японські
inspirata	натхненно
inspirata	надихали
paraguay	парагвай
jennifer	дженніфер
facto	факто
cantal	канталь
izolat	облаштовано
izolat	самостійні
izolat	ізольовані
berg	берг
anulat	скасовано
anulat	скасовано
precizeaza	вказати
precizeaza	вкажіть
evaluare	рейтинг
evaluare	оцінкою
evaluare	оцінка
evaluare	оцінювання
evaluare	оцінка
asediu	облога
divizat	розділена
divizat	розділив
divizat	дроблення
divizat	розділення
divizat	розділити
divizat	розділена
bergamo	бергамо
taxe	податки
taxe	внески
novo	ново
incurajat	вдячністю
incurajat	вдячністю
enterprise	підприємство
enterprise	підприємства
enterprise	enterprise
inamic	ворог
vehicul	автомобіль
vehicul	апарат
botanica	ботаніка
botanica	ботанічний
botanica	ботаніка
botanica	ботанічний
diferentele	відмінностей
diferentele	відмінності
servi	служити
servi	подаємо
servi	подавати
hanul	інні
hanul	готель
presupus	вірогідно
presupus	припустив
nagy	nagy
musulmane	мусульмани
musulmane	мусульманин
modificata	змінений
modificata	змінено
modificata	змінене
modificata	змінені
definitiva	definitive
restaurarea	відновлення
restaurarea	реставрація
cafenea	кафе
cafenea	cafe
cafenea	кафе
cafenea	café
permanente	постійний
vizibila	видима
vizibila	видимий
vizibila	видно
vizibila	видимі
asociatie	асоціації
asociatie	асоціація
index	index
index	покажчик
index	індекс
obisnuita	звичайну
obisnuita	незвично
obisnuita	звичайні
moral	моральності
moral	морально
moral	мораль
kenneth	кеннет
trofee	трофеї
asigurari	страхування
asigurari	страхування
dispute	суперечки
portughez	португальська
functionar	службовець
functionar	службовець
haiti	гаїті
sindromul	синдром
locatie	розміщення
locatie	місцезнаходження
locatie	локація
locatie	місце
locatie	розташування
eugene	євген
eugene	юджин
eugene	євгеній
candva	якось
candva	якось
persan	перська
traseu	стежка
traseu	сліди
traseu	маршрут
imbunatatit	покращений
imbunatatit	покращена
imbunatatit	покращений
vinde	продати
vinde	продавати
atlantique	atlantique
arhitecturale	архітектурний
logic	логічна
logic	логічний
logic	логічне
logic	логічна
logic	логіка
logic	логічні
precizie	точність
precizie	точність
meyer	меєр
meyer	маєр
masoara	вимірювання
masoara	міру
masoara	міра
dom	купол
dom	дом
über	über
fame	славу
fame	слави
controlat	керується
actionat	діяли
coleg	співробітник
coleg	колезі
coleg	колега
coleg	колеги
express	express
express	експрес
amt	amt
nel	nel
baltice	балтійське
mustafa	мустафа
ardere	горіння
ardere	палає
cost	вартість
modifica	зміна
modifica	змінити
boeing	боїнг
boeing	boeing
intoarcere	повернутися
intoarcere	повернення
cercetatorii	вчені
pestera	печеру
pestera	печера
pestera	печеру
pestera	печера
pestera	печеру
pestera	печера
pestera	печеру
pestera	печера
senat	сенат
gay	геї
gay	голубий
gay	гей
creta	крит
creta	крейда
creta	крейда
creta	крит
ming	мін
montgomery	монтгомері
egiptean	єгипетський
egiptean	єгипетська
variabile	змінну
variabile	змінної
variabile	змінна
variabile	змінні
mediterana	середземне
mediterana	середземне
metale	метали
metale	металевий
metale	метал
metale	метали
bush	буш
standardele	стандартів
standardele	стандартами
standardele	стандартам
standardele	стандарти
daneza	данська
verticala	вертикальна
verticala	вертикальне
verticala	вертикальні
verticala	вертикально
verticala	вертикаль
verticala	вертикальний
renunta	скасувати
azerbaidjan	азербайджану
azerbaidjan	азербайджанський
azerbaidjan	азербайджан
niveluri	етапи
niveluri	рівні
niveluri	рівнів
mitchell	мітчелл
notat	зауважимо
notat	зауважити
strategica	стратегічний
strategica	стратегічного
strategica	стратегічна
cambodgia	камбоджі
pablo	пабло
morris	морріс
lent	повільно
lent	повільні
lent	повільний
cosma	косма
prevazuta	планується
academice	академічна
academice	навчального
academice	академічний
ice	лід
kate	kate
kate	кейт
aurora	аврора
sinod	синод
oregon	орегон
banci	береги
banci	банків
banci	банки
banci	лавки
banci	береги
banci	банків
banci	банки
banci	лавки
restaurant	ресторан
afectate	задіяні
afectate	ураження
pavia	павія
structurile	структури
structurile	структур
structurile	конструкції
silezia	сілезька
silezia	сілезія
urias	giant
urias	велетенська
urias	гігант
urias	велетень
tabere	табори
tabere	кам
alma	альма
alma	alma
atribuie	призначити
kentucky	кентуккі
indicat	вказали
marfuri	вантаж
marfuri	товари
marfuri	доходи
marfuri	товари
belle	бель
grau	пшениці
grau	житом
grau	пшениці
grau	житом
cuantica	квантова
vazute	бачили
vazute	бачив
walt	уолт
dublin	дублін
festivaluri	фестивалів
ball	кулька
ball	бал
rusesc	російська
rusesc	російською
rusesc	російську
concepte	концепції
concepte	принципи
padova	падуя
echivalentul	еквівалент
fani	фани
fani	шанувальники
fani	вболівальники
fani	фанати
participantii	учасників
participantii	учасники
participantii	учасникам
mandate	вироків
morminte	могили
colegi	колеги
colegi	співробітники
potentialul	потенціал
exacta	точне
exacta	точні
exacta	точна
exacta	точний
exacta	точне
exacta	точні
exacta	точна
exacta	точний
horror	жах
horror	жахи
vizibile	видима
vizibile	видимий
vizibile	видно
vizibile	видимі
uss	uss
flash	флеш
flash	flash
flash	спалах
srl	llc
srl	srl
srl	ltd
materia	речовина
persia	persia
elementare	елементарні
elementare	початковій
christina	крістіна
christina	христина
arhipelagul	архіпелаг
succesiunea	спадщину
protocol	протокол
update	оновлювати
update	оновити
update	оновлення
executa	виконати
ecuador	еквадор
bull	бик
bull	бул
bull	бика
bull	булл
kenya	кенії
kenya	кенія
ingropat	похований
ingropat	поховані
ingropat	похований
ingropat	поховані
november	листопаді
november	листопад
november	листопада
locatii	розташування
locatii	адреси
locatii	місця
locatii	адрес
locatii	розташування
locatii	адреси
locatii	місця
locatii	адрес
biblie	біблія
fabricat	виготовлено
fabricat	виготовлена
durere	біль
intalniri	зустрічей
intalniri	зустрічі
intalniri	могил
intalniri	зустрічей
intalniri	зустрічі
intalniri	побачення
intalniri	побачень
intalniri	знайомств
recomandat	рекомендовано
recomandat	рекомендовані
recomandat	рекомендується
recomandat	рекомендований
lucrand	робота
lucrand	робочий
taiwan	тайвань
dramatica	драматичного
populata	населеному
tereza	тереза
tereza	тереза
semifinale	півфіналі
semnata	підписано
semnata	підписав
semnata	підписали
baptiste	батіст
baptiste	батист
stelele	зірки
emisa	видала
emisa	виданий
emisa	випущено
compusi	нараховують
praf	пил
praf	порошку
praf	опіків
haga	гаазі
haga	гаага
zeus	зевс
animat	мультик
animat	анімація
animat	анімаційний
animat	анімаційна
nintendo	nintendo
locuita	населеного
locuita	населених
semnal	сигнал
ceas	дивитися
ceas	подивитися
ceas	дивіться
ceas	дивися
ceas	спостерігати
ceas	годинник
democratie	демократія
democratie	демократія
alfa	alpha
alfa	альфа
alfa	alfa
alfa	вишиванці
expune	витримки
fantastica	фантастика
fantastica	фантастичні
fantastica	фантастична
fantastica	фантастичний
fantastica	фантастично
partener	партнер
partener	напарник
partener	партнерські
cerintele	вимоги
amenintare	загроза
amenintare	погроза
amenintare	загрозу
amenintare	загроза
amenintare	погроза
amenintare	загрозу
inventator	винахідник
lovituri	викидає
lovituri	падло
lovituri	віє
viziteaza	відвідання
viziteaza	візит
viziteaza	завітати
viziteaza	відвідайте
viziteaza	відвідування
vizibil	видима
vizibil	видимий
vizibil	видно
vizibil	видимі
rgb	rgb
sporturi	спорт
sporturi	спортивні
sporturi	спорту
observatie	спостереження
parker	паркер
zeilor	боги
liechtenstein	ліхтенштейн
discovery	відкриття
discovery	знахідка
gasiti	пошук
gasiti	знайти
gasiti	знайдіть
gasiti	find
dur	шалена
dur	суворий
dur	важкий
dur	rough
dur	витривалі
taiat	різати
taiat	вирізати
etajul	підлога
etajul	поверх
chapelle	шапель
strategie	стратегія
strategie	стратегії
peisaj	ландшафт
peisaj	краєвид
peisaj	пейзаж
peisaj	ландшафтний
attila	аттіла
experiment	експеримент
finalizata	завершено
finalizata	завершені
finalizata	виконано
vinci	вінчі
reptile	спеціального
reptile	рептилії
convinge	переконати
sportul	спорт
leul	лев
personalul	персоналу
personalul	персонал
personalul	штаб
aron	аарон
aron	арон
preveni	запобігти
preveni	запобігати
prize	гнізд
prize	гнізда
won	переміг
won	виграв
won	вон
won	виграли
integrarea	інтеграція
reci	холодні
reci	холодна
reci	холод
reci	холодно
reci	холодний
integrat	комплексний
fabricate	виготовлено
fabricate	виготовлена
roosevelt	рузвельт
vasili	василь
aviatie	авіації
aviatie	авіація
spanioli	іспанці
spanioli	іспанською
spanioli	іспанської
spanioli	іспанська
heinz	гайнц
petit	петі
thompson	томпсон
wallace	воллес
monarh	монарх
beethoven	бетховен
ploaie	дощ
islamului	іслам
bremen	бремен
zagora	загора
artificial	штучно
artificial	штучна
artificial	штучний
artificial	штучне
artificial	штучні
solara	сонячний
solara	сонячне
solara	сонячні
solara	сонячна
disponibila	доступні
disponibila	доступний
disponibila	наявні
disponibila	наявний
disponibila	доступні
disponibila	доступний
disponibila	наявні
disponibila	наявний
reprezentative	представник
reprezentative	представника
marino	марино
fetele	дівчатка
fetele	дівчата
primita	отримано
primita	отримані
primita	отриманий
primita	отримали
primita	отримала
guvernat	добровільного
strategia	стратегія
strategia	стратегії
culmea	хребта
culmea	хребет
identice	однакові
fotografia	світлину
fotografia	світлина
fotografia	світлині
fotografia	фото
fotografia	фотографія
locuite	населеного
locuite	населених
albrecht	альбрехт
aia	той
separarea	розділення
separarea	відокремлення
interpretari	інтерпретації
scrisoarea	лист
scrisoarea	літера
scrisoarea	листі
eroul	герой
aviatiei	авіації
aviatiei	авіація
rupt	зламано
