susan	siuzana
interpretácia	išaiškinimas
interpretácia	aiškinimo
interpretácia	aiškinimas
subaru	subaru
psie	suo
psie	šuo
záchranná	gelbėjimo
záchranná	gelbėjimas
prístavy	uostai
rapid	greitas
timothy	timothy
rez	taupymo
cornelius	kornelijus
holub	karvelis
roosevelt	ruzveltas
svedkom	liudininkai
zapojenie	sužadėtuvių
zapojenie	dalyvavimas
rachel	reičel
snov	svajones
snov	sapnai
snov	svajonės
cítiť	jaustis
dorazili	atvyko
tkanív	audinių
tkanív	audiniai
umiera	mirti
umiera	miršta
dolár	doleris
dolár	dolerių
sály	sales
svedectvo	diplomas
bojovníci	kariai
bojovníci	kovotojai
komentátor	komentatorius
nik	nik
ľadovec	ledynas
doslovne	tiesiogine
opel	opel
návštevu	aplankyti
pochované	palaidotas
chlieb	duona
chlieb	duonos
mláďat	šuniukai
hughes	hughes
vojtěch	vojtěch
stopa	pėdsakai
stopa	pėdsakų
stopa	sekti
kaukazu	kaukazas
kaukazu	kaukazo
fivb	fivb
liturgia	liturgija
rally	ralio
zdobené	papuošti
interakcia	sąveika
interakcia	sužadėtuvių
em}}	em}}
bežec	bėgikė
sekvencie	sekas
karen	karen
dokončiť	baigti
dokončiť	užbaigti
prispôsobiť	tinka
sedadlá	sėdynės
sedadlá	vietų
blanc	blanc
milosť	pasigailėjimo
milosť	grace
preniknúť	prasiskverbti
receptory	receptorius
receptory	receptorių
laboratória	labs
laboratória	laboratorijos
laboratória	laboratorinis
laboratória	laboratorijoje
laboratória	laboratorija
jemné	švelnios
jemné	švelnus
jemné	švelni
jemné	minkštas
jemné	minkšta
jemné	subtilus
externe	išorėje
identita	tapatybę
identita	tapatybė
identita	tapatybės
identita	tapatumas
kúpila	nusipirko
hendrix	hendrix
demokraciu	demokratija
demokraciu	demokratijos
cola	kokso
cola	koksas
cola	cola
afganistan	afganistanas
afganistan	afganistano
grófka	comtesse
nutnosť	būtinumo
nutnosť	būtinumas
nutnosť	būtinybė
kazachstanu	kazachstano
kazachstanu	kazachstanas
podnety	dirgiklių
podnety	paskatų
podnety	paskatos
pruh	eile
sandra	sandra
palais	palais
spievať	dainuoti
cítil	veltinio
klan	klano
olympique	olympique
raja	rojų
raja	rojus
krym	krymo
krym	kryme
kódovanie	kodavimas
kódovanie	kodavimo
noha	kojos
odvolanie	skundai
odvolanie	apeliacijos
odvolanie	skundas
element	elementas
ddr	ddr
grigorij	grigorijus
keňa	kenijoje
keňa	kenija
keňa	kenijos
rozprávač	pasakotojas
sergio	sergio
market	rinka
blanche	blanche
páni	lordų
stanisław	stanislovas
aktivisti	aktyvistai
aktivisti	aktyvistų
senátor	fantastika
senátor	senatorius
chate	salono
chate	kabina
akademického	akademinių
svetelný	šviesos
vzory	dizaino
vzory	modelių
vzory	modeliai
kabína	kabina
kabína	salono
kabína	kabina
kaviareň	cafe
kaviareň	kavinė
echo	aidas
potomok	palikuonių
tato	dada
nahrať	rekordas
nahrať	išsiuntimas
pozemok	savybė
pozemok	turtas
pozemok	nuosavybė
pozemok	kreivės
filippo	filippo
sevilla	sevilla
invázia	invazija
mechanicky	mechaniškai
bytu	buto
bytu	butas
bytu	bute
neskorý	vėlai
dekrét	dekretas
prírodu	pobūdžio
prírodu	gamta
prírodu	prigimtis
kolesa	ratas
kolesa	rato
väzenie	kalėjimas
väzenie	kalėjimą
väzenie	kalėjimas
nespokojnosť	nepatenkintas
skrine	spinta
watson	watson
víta	pasveikino
normalizácie	standartizacija
normalizácie	standartizavimas
normalizácie	standartizacijos
menšín	mažumos
menšín	mažumų
falcon	sakalas
kýl	kilio
úradníci	pareigūnai
úradníci	pareigūnams
známka	antspaudas
vynález	išradimas
percento	procentas
šiestej	šeštoji
šiestej	šešta
šiestej	šeštasis
šiestej	šeštosios
jas	skaisčio
jas	lengvumas
jas	ryškumas
cliff	uolos
universität	universität
gerald	džeraldas
moldavsko	kreditoriai
moldavsko	moldovos
bavorský	bavarijos
izolácia	izoliacija
izolácia	izoliacijos
izolácia	atskirtis
izolácia	izoliacija
izolácia	izoliacijos
anglo	anglo
balet	baleto
cvičenia	pratybas
unikátne	unikali
unikátne	unikalus
realita	tikrovė
realita	realybe
realita	realybės
realita	realybė
dav	mafija
dav	mob
dav	minia
dynamický	dinamiška
dynamický	dinaminis
dynamický	dinaminė
motors	motors
valle	valle
guľová	kamuolinis
obklopený	apsupti
fázach	etapai
tunely	tunelių
tunely	tuneliuose
anatolij	anatolijus
porážka	skerdimo
porážka	nugalėti
nápoje	gėrimams
nápoje	gėrimai
nápoje	gėrimų
nápoje	geria
nápoje	gėrimai
tbilisi	tbilisio
oblakov	debesys
oblakov	debesų
jodid	jodido
úniku	nuotėkio
fan	išplėtimo
volanie	ragina
miklós	miklós
randy	rendis
detektor	detektoriaus
právomoc	institucija
právomoc	jurisdikcijos
právomoc	jurisdikcija
francisca	francisco
francisca	franciskas
inscenácia	sustojimo
myseľ	protas
nádory	navikų
nádory	navikai
túžby	troškimas
túžby	noras
túžby	ilgesio
túžby	trokšta
fóra	forumai
fóra	forumas
fóra	forum
hansen	hansen
almagro	almagro
marguerite	marguerite
ameriku	amerikoje
ameriku	amerika
ameriku	amerikos
priniesť	įtraukti
baltimore	baltimorės
nahrávať	išsiuntimas
erika	erica
erika	erika
erika	erika
prehliadky	egzaminai
osláv	šventės
osláv	šventę
osláv	šventė
osláv	švente
uložiť	išsaugoti
výzvu	iššūkis
posilnenie	stiprinimas
posilnenie	stiprinti
posilnenie	stiprinti
kompetencie	kompetencija
faktov	faktai
ubuntu	ubuntu
žalúdka	skrandžio
žalúdka	skrandis
mpc	mpc
morris	morris
propagáciu	skatinimas
propagáciu	propagavimas
propagáciu	skatinimo
korytnačka	vėžlys
kratší	trumpesnis
bezpečne	saugi
bezpečne	saugiai
bezpečne	saugiai
basa	žemi
krúžok	žiedas
dospelé	suaugusieji
dospelé	suaugusiems
dospelé	suaugusiųjų
dospelé	subrendęs
dospelé	suaugusieji
hegel	hėgelis
pripája	pažintis
pripája	sujungia
rásť	auga
rásť	augti
cukru	cukrus
cukru	cukraus
tieň	šešėlis
kolmá	statmena
žiada	klausia
bayern	bayern
skála	skála
materiálne	medžiaga
fragment	fragmentas
sdk	sdk
aids	aids
homme	homme
moduly	moduliai
nohami	kojos
nohami	kojas
spaľovacie	deginimas
spaľovacie	degimo
zenit	zenit
cyklistika	dviračiu
nikon	nikon
parkovisko	stovėjimo
legiend	legendos
servery	serveriai
ateisti	ateistai
mongolsko	mongolija
kvapalné	skystis
kvapalné	skystas
pánov	lordų
zaútočiť	ataka
trúbka	trimitas
adler	adler
vzdali	atsisakyta
vzdali	atiduodami
birmingham	birmingham
piesok	smėlio
piesok	smėlis
zastupoval	sudarė
vandalizmus	vandalizmo
presadzovať	skatinti
nálady	nuotaikos
nálady	nuotaika
nálady	nuotaikas
oslavuje	švenčia
centauri	centauri
mýty	mitai
očakávania	lūkesčius
očakávania	lūkesčių
grey	pilka
univerzálne	universal
univerzálne	universalus
univerzálne	universaliųjų
panthers	panteros
ponorka	povandeninis
dovolené	leidžiama
dovolené	absoliutus
challenge	iššūkis
prsty	pirštai
výnimočný	išskirtinės
výnimočný	išimtiniais
výnimočný	išimtinės
gravitačné	gravitacinė
folklór	folkloro
pochovali	palaidotas
hardvér	hardware
protesty	protestas
protesty	protestai
modulov	moduliai
podnikanie	verslo
podnikanie	įmonė
podnikanie	verslas
podnikanie	verslumo
neutrálne	neutralus
herodotos	herodotas
cnosti	gabumus
dlr	dlr
doctor	gydytojo
doctor	gydytojas
kyslíkom	deguonis
emma	ema
vajcia	kiaušiniai
vajcia	kiaušinių
saab	saab
waffen	waffen
tiel	įstaigų
tiel	organai
tiel	kūnai
mláďa	cub
mláďa	jaunutė
nechá	leido
samohlásky	balses
britannica	britannica
kameru	kamera
pride	pasididžiavimas
hello	hello
hello	sveiki
orleans	orleano
lana	virvės
lana	virvė
lana	lana
vrtuľníkov	sraigtasparnių
vrtuľníkov	sraigtasparniai
hej	ei
hej	labas
hej	sveikas
muller	muller
armin	armin
mazda	mazda
zásobník	tvenkinys
zásobník	rezervuaras
zásobník	užtaisas
rozhodcu	arbitražo
rozhodcu	teisėjas
cykly	ciklų
cykly	ciklai
any	ana
marxizmus	marksizmas
skylab	skylab
zvieraťa	gyvūnai
zvieraťa	gyvuliai
zvieraťa	gyvūnas
zvieraťa	gyvūno
zvieraťa	gyvūnų
klienta	klientas
morský	jūrų
morský	jūrinė
plodín	augalai
plodín	pasėliai
plodín	derlius
plodín	pasėlių
cole	cole
uznať	pripažinti
simona	saimonas
simona	simonas
simona	simona
janov	genujos
normandii	normandie
púť	piligrimų
telefónne	telefonas
macedónsky	makedonijos
sval	raumenys
sval	raumenų
závažné	rimti
závažné	rimta
závažné	rimtas
závažné	rimtų
závažné	sunkus
schémy	schemas
schémy	schemos
dovnútra	viduje
ťažbu	kasyba
ťažbu	kasybos
komplexy	kompleksų
ocean	vandenynas
björkman	björkman
tamara	tamara
mick	mikai
larvy	lervų
larvy	lervos
montañés	montañés
zimná	žiemos
zimná	žiemą
zimná	ziema
zimná	žiema
identitu	tapatybę
identitu	tapatybė
identitu	tapatybės
identitu	tapatumas
monografia	monografija
liam	liam
karate	karate
amadeus	amadeus
valentin	valentin
sliezsko	silezijos
neo	neo
robota	robotas
blanka	blanka
louisa	luiza
delegácie	delegacijų
delegácie	delegacijos
diesel	dyzeliniai
diesel	dyzelinas
diesel	dyzelino
umelý	dirbtinių
umelý	dirbtinis
umelý	dirbtinė
karpatského	karpatų
rómovia	roma
rómovia	romai
rómovia	romų
logický	logiška
organická	ekologinio
lausanne	lozanoje
habilis	habilis
mráz	frost
inžinieri	inžinieriai
výnosy	pajamos
pasáže	ištraukas
cukor	cukrus
cukor	cukraus
uzbekistan	uzbekistanas
svetelné	apšviestas
annie	ene
belle	belle
hunt	medžioti
formovanie	liejimo
formovanie	formavimas
formovanie	formavimo
nokia	nokia
plata	plata
cyklistov	dviratininkų
grunge	grunge
perspektívy	perspektyvas
perspektívy	perspektyvos
józef	juozapas
crystal	kristalų
infračervené	spindulių
kolegov	kolegos
rum	romo
rum	romas
inváziu	invazija
nábytok	baldai
položky	elementų
položky	įrašai
predsedov	pirmininkai
mechanický	mechaninis
mechanický	mechaninė
explózia	sprogimas
lenin	leninas
maxi	maxi
neumann	neumann
abs	abs
tisícky	tūkstančiai
hrúbky	storis
hrúbky	storio
vlasť	tėvynę
náplne	užtaisai
náplne	užtaisas
tibet	tibetas
tibet	tibete
tibet	tibeto
hrozba	grėsmė
hrozba	grėsmės
presvedčení	įsitikinęs
mccartney	makartnis
výpočty	apskaičiavimas
výpočty	skaičiavimas
výpočty	skaičiavimus
výpočty	skaičiavimai
nehoda	avarija
nehoda	avarijos
okamih	akimirką
okamih	momentas
okamih	akimirka
jadrový	branduolinės
jadrový	branduolinis
viny	kaltė
viny	kaltę
pero	pen
ručné	rankinis
ručné	ranka
náboženstvá	religijų
náboženstvá	religijos
organizovanie	organizavimą
afrického	afrikos
afrického	afrika
vpád	įsiveržimas
boulogne	boulogne
vyznanie	creed
vyznanie	išpažinties
zvolal	šaukiami
prsníka	krūtų
prsníka	krūties
deviaty	devintojo
priateľka	mergina
faraón	faraonas
tunisko	tunisą
tunisko	tunise
tunisko	tunisas
tunisko	tuniso
teplé	šiltas
teplé	šilta
teplé	šiltai
teplé	šiltos
junkers	junkers
self	save
champs	eliziejaus
priaznivé	palankios
lionel	lionel
hood	spinta
c++	c++
teleskop	teleskopo
dodržiavanie	pagarba
dodržiavanie	atitiktis
dodržiavanie	laikymasis
rozpúšťa	ištirpsta
chodby	koridoriai
chodby	koridorių
chodby	koridorius
archeológia	archeologija
čitateľ	skaitiklis
zábavy	pramogos
zábavy	pramoga
zábavy	pramogų
que	que
emilia	emilija
radosti	džiaugsmas
radosti	džiaugsmo
radosti	malonumais
dynamické	dinamiška
dynamické	dinaminis
dynamické	dinaminė
funkčná	funkcinė
funkčná	funkcinis
funkčná	funkcinių
kréta	kreta
opozícia	opozicijos
smerovanie	maršrutą
tuto	čia
tuto	cia
reed	nendrių
mozno	galbūt
mozno	gal
mozno	galbūt
elisabeth	elisabeth
xbox	xbox
emerson	emerson
čkd	čkd
pláže	beach
export	eksportuojami
export	eksportas
export	eksportuoti
export	eksportas
čapek	čapek
batéria	baterija
batéria	akumuliatorius
batéria	baterijos
konzoly	pultai
konzoly	pultas
konzoly	skliaustuose
radeon	radeon
fašizmu	fašizmas
jesse	džesis
pomôcka	įrenginys
pomôcka	užuomina
syntézu	sintezę
syntézu	sintezė
ufa	ufa
nastaviť	konfigūruoti
udržiava	išlaiko
#efefef	#efefef
augustin	augustin
kritická	esminė
modernizácie	modernizavimas
modernizácie	modernizavimas
modernizácie	modernizavimo
laguna	laguna
módy	madai
zmiešaná	sumaišyti
loptu	balius
loptu	kamuolys
leander	leander
letka	squadron
tekutín	skysčio
podobnosti	panašumų
magické	magija
magické	stebuklingas
magické	stebuklinga
súprava	kit
súprava	komplektas
elektroniky	elektronikos
volať	vadina
volať	ragina
vitamínu	vitamino
vitamínu	vitaminai
vitamínu	vitaminas
anjeli	angelai
zázrak	stebuklas
pozdĺžne	išilginė
pozdĺžne	išilginės
novi	novi
fotografické	fotografijos
discogs	discogs
arnaud	arnaud
dvojité	dvigubos
dvojité	dvigubas
zber	derliaus
zber	derliaus
zber	derlius
kingston	kingston
poliakov	lenkai
dialekty	dialektai
düsseldorf	diuseldorfo
spojky	movos
spojky	sankabos
írske	airių
írske	airijos
írske	airiai
kladne	teigiamai
slobôd	laisves
maska	kauke
maska	kaukė
vianočné	kalėdų
uznáva	pripažįsta
def	def
vita	vita
hmotností	masė
hmotností	masės
množstvá	kiekis
rota	rota
ker	ker
mauzóleum	mauzoliejus
mia	mia
doom	doom
lynn	lynn
eden	eden
hmotné	materialusis
hmotné	materialus
vrážd	žmogžudystė
vrážd	žmogžudysčių
sled	roges
turisti	turistai
turisti	turistų
lambert	lambert
kilometre	kilometrai
kilometre	rida
kilometre	km
kilometre	kilometrai
kilometre	kilometrų
krvácanie	kraujavimas
krvácanie	kraujavimas
záväzky	įsipareigojimai
záväzky	įsipareigojimai
záväzky	įsipareigojimai
súdov	teismai
súdov	teismus
berry	uoga
jedinečné	unikali
jedinečné	unikalus
únik	nuotėkio
únik	nutekėjimas
únik	nuotėkio
koza	ožkų
koza	ožys
zdrojoch	ištekliai
zdrojoch	išteklių
moi	moi
korn	korn
mzda	atlyginimas
mzda	alga
mzda	atlyginimai
smútku	liūdesys
sol	sol
émile	émile
pleistocén	pleistoceno
skryť	slėpti
jankovićová	janković
eura	euras
eura	euro
symbolický	simbolinę
cestovné	kelionėms
cestovné	kelionei
cestovné	kelione
cestovné	kelionės
cestovné	kelionė
jimi	jimi
zbore	choro
zbore	choras
integrované	integruotos
integrované	integruota
beatrix	beatričė
gene	genų
gene	genas
šaty	suknelė
šaty	apranga
šaty	suknele
šaty	aprangos
šaty	sukneles
šaty	suknelės
šaty	apranga
šaty	drabužius
šaty	drabužiai
descartes	descartes
výlet	kelione
výlet	kelionė
irving	irving
transformácia	transformacija
transformácia	transformacijos
bonnie	boni
andorra	andora
milton	milton
dostupnosť	prieiga
dostupnosť	prieinamumo
dostupnosť	prieinamumas
claudia	claudia
pera	pen
sprievodcu	vadove
prenasledovanie	persekiojimo
cool	jėga
cool	kietai
priam	priamas
biotopov	buveinių
biotopov	buveinė
cudzincov	užsieniečių
cudzincov	užsieniečiai
suzuki	suzuki
optika	optika
kritéria	kriterijus
mechanická	mechaninis
mechanická	mechaninė
dominantné	dominuojančių
modernizácia	atnaujinimas
modernizácia	atnaujinta
modernizácia	modernizavimas
modernizácia	modernizavimas
modernizácia	modernizavimo
ashley	ashley
zakázaná	draudžiama
zakázaná	draudžiamos
zakázaná	draudžiamas
zakázaná	draudžiama
zakázaná	uždraustos
focke	focke
vypočítať	apskaičiuoti
matrix	matrica
matrix	matricos
hermes	hermes
albedo	albedas
preferencie	nustatymai
gfdl	gfdl
ostrá	aršios
ostrá	staigus
bristol	bristolio
magnum	magnum
predsedníctvo	pirmininkavimas
predsedníctvo	pirmininkavimas
vrah	žudikas
goes	eina
novgorod	naugardo
dominikánskej	dominikos
etnických	etninės
závery	išvados
konzul	konsulas
psychické	universiteto
fabrice	fabrice
doplnok	aksesuaras
doplnok	papildymas
jerzy	jerzy
cloud	debesis
cloud	debesys
cloud	debesų
bývania	būstas
iulia	iulia
havel	havel
jašterica	driežas
jezuita	jėzuitų
ústa	burna
ústa	burnos
ares	arų
šanca	galimybė
šanca	šansai
sivá	pilka
marty	marti
dubline	dubline
dubline	dublinas
cestovať	kelionėms
cestovať	kelionei
cestovať	kelione
cestovať	kelionės
cestovať	kelionė
obmedzení	suvaržymai
obmedzení	apribojimai
obmedzení	ribojimai
blesk	flash
blesk	žaibas
blesk	žaibo
manifest	manifesto
kremeňa	kvarco
župan	rūbą
ajax	ajax
genesis	genesis
oznámenie	pranešimo
oznámenie	pranešimas
šťastné	laiminga
šťastné	laimingas
šťastné	laimingi
hubert	hubert
lucky	pasisekė
výhodné	mokestį
atribúty	požymiai
lipsko	leipcigo
komu	kas
komu	kurie
prielom	proveržio
hannover	hanoverio
pohlavných	genitalijų
vodivosť	laidumas
zjednotiť	suvienyti
žiaka	mokinių
žiaka	mokinys
národností	tautybių
hoffman	hofmanas
evolúcia	evoliucija
šiesta	šeštoji
šiesta	šešta
šiesta	šeštasis
šiesta	šeštosios
linkin	linkin
seal	ruonių
symbolicky	simboliškai
verne	ištikimai
variantu	variantai
variantu	variantas
psychologické	universiteto
realizovaný	realizuotas
ucho	ausies
odborne	profesionaliai
okrsok	rajonas
slon	dramblys
exemplárov	egzemplioriai
atómová	atominė
atómová	atominės
batérií	baterijų
batérií	akumuliatoriai
batérií	baterijos
nvidia	nvidia
prekladov	vertimai
