and	ja
black	musta
black	mustaa
though	vaikka
though	tosin
though	vaik
php	php
report	kertomus
report	mietinnön
report	raportin
report	raportti
building	rakennuksessa
building	rakentaminen
building	rakennus
building	rakennuksen
take	ottaa
take	ota
take	otetaan
division	divisioona
division	jakoon
division	jaosto
comment	kommentti
comment	kommenttia
comment	kommentoi
comment	kommentin
king	king
king	kuningas
king	kunkku
edit	edit
edit	muokkaa
stadium	stadion
stadium	stadium
died	kuolin
died	kuoli
died	kuolivat
ship	laiva
ship	alusta
ship	aluksen
ship	alus
research	tutkimus
research	tutkimuksen
research	tutkimukset
record	levy
record	kirjataan
record	ennätys
archive	arkistosta
archive	arkistoon
archive	arkisto
archive	arkistot
archive	arkiston
places	paikat
places	paikkoja
undo	kumoa
undo	peru
cup	kuppi
cup	kuppia
cup	muki
cup	cupin
cup	cup
records	levyt
records	records
often	usein
few	harvat
few	muutaman
few	harva
few	muutama
received	vastaanotettu
received	saadut
received	saanut
received	saatu
side	puoli
side	puolella
side	side
power	teho
power	power
power	voima
power	voimia
power	valta
power	valtaa
education	koulutus
know	tietää
know	tiedä
category	kategoria
category	luokan
category	luokka
water	vettä
water	vesi
political	poliittinen
species	laji
species	lajit
species	lajien
field	kenttä
field	kenttää
field	kentän
near	läheltä
near	lähellä
near	lähelle
australia	australiaan
australia	australian
australia	australia
video	videon
video	videossa
video	videota
video	video
need	tarve
need	tarvitaan
need	tarpeen
need	tarvita
need	tarvetta
island	island
island	saarelle
island	saari
form	muodosta
form	muoto
form	muodossa
form	lomake
find	löydä
find	etsi
find	etsiä
find	löytää
served	palveli
served	palvellut
play	soita
play	pelata
play	pelaa
play	play
project	projektia
project	projekti
project	projektin
project	hanke
project	hankkeen
radio	radion
radio	radio
works	toimii
works	teokset
works	työskentelee
proposed	ehdotetut
proposed	ehdotettu
every	jokainen
development	kehittäminen
development	kehitystä
development	kehitys
example	esimerkki
live	live
live	livenä
live	elä
live	elää
union	unioni
union	unionin
india	intian
india	intia
india	intiaan
next	seuraava
next	seuraavaksi
special	erityiset
special	erityinen
special	erityistä
special	special
special	erikoinen
court	oikeus
court	tuomioistuin
region	alue
region	alueen
little	pieni
little	pikku
little	vähä
short	lyhyet
short	lyhyt
william	william
william	williamin
province	maakunta
western	western
western	läntinen
western	länsi
son	poika
france	ranska
france	ranskan
council	neuvosto
others	muut
others	toiset
others	muita
royal	kuninkaalliset
royal	kuninkaallinen
royal	royal
current	tämänhetkinen
current	tämänhetkiset
current	nykyiset
current	nykyinen
street	kadulle
street	street
street	katu
full	täyden
full	täys
full	täydet
full	täysi
full	täynnä
red	punaiset
red	punainen
red	punaista
red	red
too	liian
too	too
department	osasto
san	san
help	apua
help	ohje
among	joukossa
among	keskuudessa
preserved	säilynyt
preserved	säilytetty
james	james
james	jamesin
james	jamesia
open	avaa
force	voima
force	force
force	pakota
force	pakottaa
position	asema
position	kannan
position	asento
position	kanta
position	sijainti
head	head
head	pää
head	päätä
head	pään
director	johtaja
director	ohjaaja
father	isä
track	jäljittää
track	radan
track	rataa
track	raita
track	rata
http	http
canada	kanada
canada	kanadassa
canada	kanadan
australian	australian
george	yrjö
george	george
george	ykä
jpg	jpg
level	tason
level	tasolla
level	taso
late	myöhäinen
late	myöhässä
late	myöhään
summer	kesällä
summer	kesää
summer	suvi
summer	kesä
society	society
society	yhteiskunta
society	yhteiskunnan
moved	siirretty
moved	siirrettiin
moved	muutti
office	toimipaikka
office	toimisto
office	virasto
period	jakso
period	ajanjakso
championship	mestaruuden
championship	mestaruus
round	erä
round	kierros
round	pyöreä
story	tarinaa
story	tarina
story	tarinan
songs	kappaleet
songs	laulut
songs	kappaleita
songs	lauluja
file	tiedostoa
file	tiedosto
file	tiedoston
file	kansio
days	päivien
days	päivää
days	päiviä
days	days
days	päivät
land	maa
land	maata
business	yritys
business	liiketoiminta
business	liike
business	liiketoiminnan
business	business
reason	järki
reason	syy
reason	syyn
america	america
america	amerikan
america	amerikka
million	miljoona
million	miljoonaa
european	euroopan
term	termiä
term	termi
six	kuusi
six	kuudes
post	postitse
post	post
post	julkaise
post	julkaisu
post	julkaisun
why	miks
why	miksi
produced	tuotetut
produced	tuotettu
produced	tuottanut
making	tekeminen
making	tekoa
subject	aihe
subject	kohde
young	nuori
young	nuoret
young	youngin
young	young
total	yhteensä
david	david
science	tieteen
science	tiede
science	tiedettä
related	liittyvä
related	liittyvät
related	liittyy
rock	kallio
rock	kivi
rock	rokkaa
rock	rock
archived	arkistoidut
railway	rautateiden
railway	rautatiet
railway	rautatie
become	ryhdy
led	johti
led	led
led	johtaneet
students	opiskelijat
students	opiskelijoille
students	oppilaat
students	oppilaita
students	opiskelijoita
started	alkanut
started	alkoi
started	aloitti
started	aloitettu
news	uutisia
news	uutinen
news	uutiset
news	ajankohtaista
described	kuvailtu
described	kuvaillut
described	kuvattu
role	roolin
role	rooli
election	vaali
election	vaalit
albums	albumit
present	lahja
present	paikalla
present	läsnä
present	nykyinen
indian	intian
indian	intialainen
indian	intiaani
indian	intialaista
kingdom	kuningaskunta
kingdom	valtakunta
books	kirjat
books	kirjoja
important	tärkeä
important	tärkeää
important	tärkeät
important	tärkeitä
northern	pohjoinen
northern	pohjois
love	rakasta
love	rakkautta
love	rakastaa
love	love
love	rakkaus
run	suorita
run	juokse
canadian	kanadan
canadian	kanadalainen
press	lehdistö
press	paina
type	tyyppi
type	kirjoita
act	näytös
act	säädös
act	act
act	toimi
editor	toimittaja
editor	päätoimittaja
editor	editorin
came	tuli
came	tulis
schools	koulut
schools	kouluja
program	ohjelmaa
program	ohjelmalla
program	ohjelman
program	ohjelma
social	sosiaaliset
social	sosiaalisen
social	sosiaalinen
social	yhteiskunnallinen
germany	saksa
germany	saksan
production	tuotanto
male	mies
male	uros
awards	palkintoja
awards	palkinnot
points	pisteet
points	pisteitä
points	pistettä
points	kohdat
similar	samanlaisia
similar	samankaltaiset
similar	samankaltaista
similar	samanlaiset
similar	samanlainen
similar	samankaltainen
professional	ammatti
professional	ammattimainen
professional	ammatillinen
professional	ammattilainen
say	sano
background	taustan
background	tausta
background	taustaa
background	taustatietoja
lead	lyijyä
lead	johda
lead	lyijy
lead	johtaa
common	yleistä
common	yhteisen
common	yleiset
common	yleinen
overlap	päällekkäisiä
overlap	päällekkäisyyttä
overlap	päällekkäisyyksiä
data	tiedot
data	data
data	tietoja
data	tietoa
color	värit
color	väriä
color	väri
better	parempi
better	paremmin
person	ihminen
person	henkilö
person	henkilöä
services	palvelujen
services	palvelut
services	palveluja
museum	museossa
museum	museum
museum	museon
museum	museo
battle	taistelu
battle	taisto
battle	taistelun
sports	urheilua
sports	urheilu
already	jo
hall	sali
hall	halliin
hall	hall
hall	halli
buildings	rakennusten
buildings	kiinteistöt
buildings	rakennukset
buildings	rakennuksia
historic	historialliset
historic	historiallista
historic	historiallinen
date	päivämäärä
date	päiväys
date	treffit
deleted	poistetut
deleted	poistettiin
deleted	poistettu
change	vaihda
change	muuta
change	muutos
change	muuttaa
location	sijainti
must	täytyy
yes	kyllä
our	meijän
our	meidän
southern	etelä
southern	etelän
southern	eteläinen
lost	menettänyt
lost	kadonnut
lost	hukassa
lost	hävisi
lost	hävinnyt
lost	menetetty
something	jotakin
something	jotain
review	tarkistaminen
review	arvostelu
review	tarkistaa
review	tarkastelu
together	kimpassa
together	yhdessä
robert	robert
fact	fakta
fact	faktaa
fact	tosiasia
less	vähemmän
japanese	japanilaista
japanese	japani
japanese	japanilainen
japanese	japanin
japanese	japanilaiset
groups	ryhmien
groups	ryhmät
groups	ryhmiä
content	sisältö
content	sisältöä
involved	osallisena
involved	osallistunut
isbn	isbn
board	lauta
board	johtokunta
board	laudan
board	johtokunnan
japan	japanista
japan	japani
japan	japanissa
japan	japanin
control	ohjaus
control	määräysvalta
control	hallitse
control	hallinta
control	valvonta
policy	politiikan
policy	politiikka
policy	käytäntö
modern	moderni
modern	modernia
modern	modernit
modern	nykyaikainen
human	ihmisen
human	ihminen
human	inhimillinen
half	puoli
half	puolet
half	puolikas
design	suunnittelu
design	suunnitella
design	design
design	muotoilu
event	tapahtuman
event	tapahtuma
event	tapahtumaan
events	tapahtumat
events	tapahtumien
events	tapahtumia
available	saatavissa
available	käytettävissä
available	tarjolla
available	saatavilla
available	saatavana
done	tehty
done	done
washington	washingtonissa
washington	washingtonin
washington	washington
real	real
real	todellinen
real	oikea
real	aito
real	todellista
start	alku
start	aloita
start	alkaa
start	aloittaa
start	käynnistä
personal	henkilökohtaisia
personal	henkilökohtaiset
personal	henkilökohtainen
personal	henkilökohtaista
action	toimintaa
action	kanne
action	toiminta
action	toimi
action	toimia
action	toiminto
space	tila
space	avaruus
space	tilaa
space	space
areas	alueilla
areas	alueet
star	tähti
star	tähteä
star	tähden
star	star
star	tähdellä
really	todella
really	oikeesti
china	kiinassa
china	kiinan
china	kiina
china	kiinasta
possible	mahdollisia
possible	mahdolliset
possible	mahdollinen
possible	mahdollista
paul	paul
paul	paavali
paul	pauli
working	töissä
working	työskentely
taken	vietiin
taken	ottaa
taken	viety
taken	otettu
far	kauas
far	kaukana
far	pitkälle
going	menossa
minister	ministerin
minister	ministeri
lake	järven
lake	järvi
lake	järvessä
lake	järvelle
lake	lake
reported	ilmoitettu
reported	raportoitu
reported	ilmoitetut
popular	suosittu
popular	suosittua
popular	suosittuja
popular	suositut
married	naimisissa
founded	perustettiin
founded	perustettu
founded	perusti
europe	euroopan
europe	eurooppa
author	tekijä
author	kirjailija
author	tekijän
author	esittäjä
author	kirjoittaja
away	pois
independent	itsenäiset
independent	riippumaton
independent	itsenäinen
process	prosessin
process	prosessi
teams	ryhmät
teams	joukkueet
character	luonne
character	hahmo
character	luonnetta
low	matala
low	matalalla
low	vähä
low	alhainen
michael	mikko
michael	mikael
michael	michael
pages	sivujen
pages	sivuja
pages	sivut
light	kevyt
light	valoa
light	valo
light	light
big	iso
big	isot
big	suuri
seen	nähnyt
seen	nähty
seen	nähneet
release	vapauttaa
release	vapauta
release	julkaisu
want	haluu
episode	jakso
episode	jakson
wrote	kirjoitti
wrote	kirjoitin
republic	tasavalta
thomas	thomas
thomas	tuomas
companies	yritysten
companies	yrityksiä
companies	yhtiöt
companies	yritykset
via	kautta
via	via
russian	venäjän
russian	venäjää
russian	venäläiset
russian	venäjä
russian	venäläinen
thanks	kiitos
thanks	kiitti
put	pistä
put	laita
put	laittakaa
race	kisa
race	rotu
race	kisaa
worked	työskennellyt
worked	työskenteli
worked	toiminut
route	reittiä
route	reitin
route	reitti
recorded	kirjatut
recorded	kirjattu
recorded	kirjataan
someone	joku
someone	jonkun
civil	siviili
police	poliisi
police	poliisit
charles	charles
charles	kaarle
listed	lueteltu
listed	lueteltujen
listed	luetellut
users	käyttäjät
users	käyttäjien
users	käyttäjiä
template	pohja
template	mallissa
template	malli
eastern	itä
eastern	itäinen
body	elin
body	vartalo
body	ruumis
body	kehon
body	keho
question	kysymyksen
question	kysymys
italian	italialaiset
italian	italiaksi
italian	italialainen
italian	italia
italian	italian
featured	esitelty
featured	esillä
featured	suositeltu
week	viikon
week	viikolla
week	viikkoa
week	viikko
editors	toimittajat
texas	texasin
texas	texas
chief	päällikkö
close	lähellä
close	sulje
match	vastaavuus
match	täsmää
match	ottelu
roman	roman
roman	roomalainen
roman	rooman
tour	tour
tour	kierros
tour	kiertue
sea	meri
cross	ylitä
cross	ristiin
cross	risti
cross	cross
playing	pelaamassa
playing	pelaa
playing	leikkii
health	terveyttä
health	terveys
institute	institute
institute	laitos
institute	instituutti
forces	voimia
forces	joukot
forces	voimat
green	vihreä
green	vihreät
green	vihreää
rights	oikeudet
rights	oikeuksia
rights	oikeuksien
evidence	näyttö
evidence	todisteet
evidence	todistusaineisto
evidence	todisteita
originally	alunperin
aircraft	lentokone
arts	taide
range	etäisyys
range	vaihteluväli
probably	luultavasti
probably	todennäköisesti
probably	varmaan
consensus	konsensus
consensus	yksimielisyys
bar	baariin
bar	baarissa
bar	baari
bar	baarin
problem	ongelmia
problem	ongelma
look	katso
issues	ongelmia
issues	kysymykset
issues	kysymyksiä
issues	ongelmat
alumni	alumni
average	keskimääräinen
average	keskiarvo
network	verkko
network	verkon
network	verkoston
network	verkosto
win	win
win	voitto
win	voita
win	voittaa
shows	osoittaa
shows	näkyy
shows	näyttää
wife	vaimon
wife	vaimolla
wife	vaimo
wife	vaimoa
returned	palasi
returned	palannut
returned	palautettiin
returned	palautettu
night	öitä
night	yötä
night	night
night	ilta
night	yö
magazine	lehti
magazine	lehden
centre	keskus
centre	keskusta
usually	yleensä
usually	tavallisesti
completed	suoritettu
completed	päätökseen
completed	päättynyt
significant	huomattava
significant	merkittävä
significant	merkittävät
significant	merkittäviä
significant	merkittävää
african	afrikkalainen
african	afrikkalaiset
african	afrikka
african	afrikan
google	google
google	googlen
stage	vaihe
stage	näyttämö
stage	vaiheessa
stage	lava
addition	lisäystä
addition	lisäys
ireland	irlanti
ireland	irlannissa
ireland	irlannin
today	tänään
today	today
academy	akatemia
saint	pyhä
saint	saint
saint	pyhimys
self	itse
continued	jatkoa
continued	jatkettiin
stations	asemat
mother	äiti
appeared	ilmestyi
appeared	ilmestynyt
africa	afrikka
africa	afrikan
culture	kulttuuria
culture	kulttuuri
spanish	espanjan
spanish	espanjalaiset
spanish	espanjalainen
spanish	espanja
spanish	espanjaa
grand	grand
committee	komitea
committee	valiokunta
things	asioita
things	asiat
fire	tuli
fire	tulipalo
changed	muutettu
changed	muuttunut
changed	muutti
changed	vaihdettu
gold	kultaa
gold	kulta
gold	kullan
female	naaras
female	nainen
female	naisten
course	kurssi
directed	suunnattu
directed	kohdistettu
directed	kohdennettu
months	kuukaudet
months	kuukautta
months	kuukausia
chinese	kiinalainen
chinese	kiinalaiset
chinese	kiinan
chinese	kiina
chinese	kiinalaista
previous	aikaisemmat
previous	aiempi
previous	edellinen
previous	edelliset
previous	aiemmat
developed	kehittynyt
developed	kehitetty
developed	kehittyneet
developed	kehitettiin
size	koko
size	kokoa
mentioned	mainitsi
mentioned	mainittu
mentioned	mainittiin
add	lisää
add	add
add	lisätä
festival	juhla
festival	festivaali
festival	juhlaa
peter	pekka
peter	petteri
peter	peter
peter	pietari
basketball	korista
basketball	koripalloa
basketball	koripallo
move	siirrä
move	siirry
performance	suorituskyvyn
performance	tehokkuus
performance	esitys
performance	suoritus
performance	suorituskykyä
performance	suorituskyky
standard	standardin
standard	normi
standard	standard
standard	standardi
standard	vakio
means	tarkoittaa
give	antaa
give	annetaan
training	koulutus
artist	taiteilija
artist	taiteilijan
artist	artisti
artist	esittäjä
word	sanan
word	sana
blue	sininen
blue	siniset
blue	sinistä
blue	sini
primary	ensisijainen
announced	ilmoitettu
announced	julkistettu
announced	ilmoitetut
announced	ilmoitti
value	arvoa
value	arvo
christian	kristityt
christian	kristitty
christian	christian
christian	kristillinen
christian	kristian
private	yksityisiä
private	yksityiset
private	sotamies
private	yksityisen
private	yksityinen
catholic	katolinen
catholic	katolilainen
artists	taiteilijat
artists	taiteilijoiden
artists	taiteilijoita
includes	sisältää
view	näkymä
view	view
view	näytä
view	mieltä
almost	lähes
almost	melkein
baseball	baseballia
baseball	baseballin
baseball	baseball
seven	seiska
seven	seitsemän
appears	ilmestyy
ever	ikinä
ever	koskaan
technology	teknologia
technology	teknologian
technology	tekniikka
olympics	olympialaiset
future	tulevaisuuden
future	tuleva
future	tulevaisuus
future	tulevaisuutta
future	tulevaisuudessa
future	tulevaisuuteen
