चिंतित	satraukti
स्केल	mērogs
स्केल	skala
मक्खन	sviests
साम्राज्यवाद	imperiālismu
सूत	pavedieni
सूत	dzijas
सूत	kokvilna
इज़राइल	izraēla
वैधता	likumība
वैधता	likumības
वैधता	likumību
वैधता	tiesiskums
अनन्य	ekskluzīvā
अनन्य	ekskluzīva
अनन्य	ekskluzīvas
अनन्य	ekskluzīvi
मिथक	mītu
मिथक	mīts
श्रृंगार	kosmētika
प्रावधानों	noteikumi
प्रावधानों	uzkrājumi
नतीजा	nokrišņi
अर्ल	grāfs
निर्देशिका	direktorija
निर्देशिका	direktoriju
निर्देशिका	mape
निर्देशिका	rādītājs
निर्देशिका	indekss
निर्देशिका	mapes
आंग्ल	anglo
समता	paritāti
समता	līdztiesība
समता	vienlīdzība
एवेन्यू	avenue
बेरोजगारी	bezdarbs
लत	atkarība
जुर्माना	smalki
जुर्माना	skaistie
जुर्माना	smalks
जुर्माना	smalka
क़ुरान	korāns
पूर्णता	pabeigšana
पूर्णता	pabeigšanas
पूर्णता	pilnība
ओमान	omāna
मार्केटिंग	mārketings
मार्केटिंग	tirdzniecība
मार्केटिंग	tirdzniecības
पीड़ितों	upuri
पीड़ितों	upuriem
पीड़ितों	cietušie
शक्तियां	pilnvaras
शक्तियां	spēkus
शक्तियां	spēki
बादलों	mākoņi
चतुर्भुज	taisnstūra
चीता	gepards
चीता	leopards
मूक	kluss
मूक	klusē
प्रतिभाशाली	ģēnijs
प्रतिभाशाली	talantīgiem
पनीर	siers
पनीर	sieri
स्मार्ट	smart
स्मार्ट	gudrs
स्मार्ट	gudri
स्मार्ट	gudra
पश्तो	puštu
मैडोना	madonna
बराक	barack
चमकदार	spožu
नाड़ी	pulss
नाड़ी	impulss
नाड़ी	impulsa
स्पीकर	runātājs
स्पीकर	runātāja
गैसें	gāzēm
गैसें	gāzes
सहभागिता	iesaistīšanās
सहभागिता	iesaiste
सहभागिता	mijiedarbība
सहभागिता	mijiedarbības
गतिविधियाँ	darbības
गतिविधियाँ	aktivitātes
इसराइल	izraēla
वाट	vatu
वाट	wat
कृषक	lauksaimnieki
कृषक	zemnieki
ब्राउजर	pārlūka
गुदा	anālais
टीकाकरण	vakcinācija
मूर्तिकला	skulptūru
शाश्वत	mūžību
शाश्वत	mūžības
किरणें	stariem
किरणें	starus
किरणें	stari
वैश्वीकरण	globalizācija
बैग	soma
बैग	maiss
बैग	maisiņš
बैग	somas
बैग	maisi
बैग	maisiņi
नर्तक	dejotāji
नर्तक	dejotājas
नर्तक	dejotāja
नर्तक	dejotāju
ग्लूकोज	glikoze
नीतियाँ	politika
नीतियाँ	politikas
प्रतिभागियों	dalībnieki
पढ़ना	lasīšana
पढ़ना	lasījumā
आपरेशन	darbība
आपरेशन	operācija
आपरेशन	ekspluatācija
ब्रॉडबैंड	platjoslas
मैनुअल	manuāla
मैनुअल	rokasgrāmatā
मैनुअल	rokasgrāmata
दर्जन	desmiti
सुखद	patīkama
सुखद	patīkami
सुखद	patīkamas
सुखद	patīkams
सस्ती	lētas
सस्ती	lēts
सस्ती	lēta
सस्ती	lēti
बेखम	bekhema
स्याही	tinti
स्याही	tinte
स्याही	tintes
रॉस	ros
रॉस	rosa
रॉस	ross
हवाओं	vēji
परम्पराओं	tradīcijas
परम्पराओं	tradīcijām
पूछे	jautā
पूछे	lūdza
सेब	apple
सेब	ābols
सेब	ābolu
रो	raud
पुस्तकालयों	bibliotēkas
पुस्तकालयों	bibliotēka
पुस्तकालयों	bibliotēkā
पुस्तकालयों	bibliotēku
पुस्तकालयों	bibliotēkas
चौकी	priekšposteni
बहनों	māsas
अश्लील	porno
आपात	avārijas
आपात	ārkārtas
रेसलमेनिया	wrestlemania
नामीबिया	namībijas
स्त्रियाँ	sievietes
एनी	annija
मामा	mamma
मामा	tēvocis
रूपांतर	varianta
रूपांतर	variants
रूपांतर	variantu
नगरीय	urban
नगरीय	pilsētu
नगरीय	pilsētas
क्रोधित	saasinājums
क्रोधित	nikns
क्रोधित	dusmīgs
क्रोधित	dusmīga
तात्कालिक	steidzami
तात्कालिक	steidzīgi
तात्कालिक	steidzama
तात्कालिक	tūlītēji
तात्कालिक	tūlītēja
तात्कालिक	tūlītējas
तात्कालिक	nekavējoties
कमांड	komandas
कमांड	pavēlniecība
कमांड	komanda
कमांड	vadība
कोबेन	kobeins
बुराई	ļauni
बुराई	ļaunums
बुराई	ļaunumu
बुराई	ļauns
टाइपिंग	rakstīšanas
उत्तेजक	provokatīvi
उत्तेजक	stimulantu
दशमलव	decimālo
काई	kai
क्रूर	nežēlīgi
क्रूर	nežēlīga
जोनाथन	jonathan
फ्लाइट	lidojuma
फ्लाइट	lidojums
निकटता	tuvuma
सैर	pastaigas
सैर	staigāt
सैर	iet
सैर	pastaiga
सैर	staigā
चिकनी	gludas
चिकनी	gludi
चिकनी	netraucētu
चिकनी	raiti
चिकनी	gluda
कैनेडी	kenedijs
टाई	kaklasaite
विदेशियों	ārzemniekiem
अनुवादित	tulkots
इंजीनियरों	inženieri
गा	dziedāt
गा	dziedam
गा	dziedi
पूछताछ	izmeklēšanu
पूछताछ	izmeklēšana
पूछताछ	izmeklēšanas
सर्पिल	spirāle
परिशिष्ट	papildinājums
गवाही	liecināt
गवाही	liecības
गवाही	liecība
वॉकर	vokers
लेआउट	izvietojums
लेआउट	izkārtojums
कैदियों	ieslodzītie
कैदियों	ieslodzīto
फिजी	fidži
हुक	āķis
हुक	āķi
हुक	āķa
रिटर्न	atgriežas
रिटर्न	atgriež
रिटर्न	atdeve
रिटर्न	atgriešanas
रिटर्न	atgriešanās
प्लैटिनम	platīna
फिल	fils
फिल	fil
फिलीपींस	filipīnas
दीवारें	sienas
दीवारें	sienām
सपाट	plakana
सपाट	vienotas
सपाट	plakanas
नक़ल	kopēt
नक़ल	kopiju
नक़ल	eksemplārs
नक़ल	kopija
नक़ल	kopijas
नक़ल	eksemplāri
देशभक्ति	patriotisms
केन्या	kenijas
केन्या	kenija
केन्या	kenijā
बर्बाद	atkritumiem
बर्बाद	atkritumi
कस्टम	muitas
कस्टम	muita
कस्टम	pielāgota
कस्टम	pielāgots
अकादमिक	akadēmiskā
अकादमिक	akadēmiskais
असीम	bezgala
असीम	bezgalīgi
असीम	nebeidzamu
एकजुट	apvienoties
कोलेस्ट्रॉल	holesterīna
दांते	dante
किंगफिशर	dzenītis
बगीचे	dārzs
बगीचे	dārziņš
बगीचे	dārzā
बगीचे	dārza
बगीचे	dārzam
मुराद	murads
ईमान	ticība
ईमान	ticībā
ईमान	ticību
भट्टी	krāsns
पोटैशियम	kālija
पोटैशियम	kāliju
केली	kelly
लोकगीत	folklora
सर्बिया	serbijas
सर्बिया	serbija
सर्बिया	serbijā
स्प्रिंगस्टीन	springstīns
धर्मनिरपेक्ष	laicīgo
दृष्टिगोचर	redzams
दृष्टिगोचर	pamanāma
दृष्टिगोचर	redzami
दृष्टिगोचर	redzamais
दृष्टिगोचर	redzama
तोप	lielgabalu
दूरभाष	telefons
दूरभाष	tālrunis
शेंगेन	šengenas
दुल्हन	līgavu
दुल्हन	līgavas
दुल्हन	līgava
आंत्र	tīfa
जस्ता	cinks
जस्ता	cinka
उड़	lido
उड़	lidot
गुजरता	iztur
माली	maldivu
माली	dārznieks
माली	mali
परियोजनाएं	projekti
सिएटल	sietlas
जन्मस्थान	dzim
टायर	riepas
टायर	riepas
टायर	riepa
टायर	riepa
बाँस	bambusa
अठारह	astoņpadsmit
उत्खनन	rakšanas
उन्नयन	modernizēt
उन्नयन	modernizācija
उन्नयन	pacēluma
उन्नयन	pacēlums
पेंशन	pensiju
पेंशन	pensija
गरिमा	cieņu
गरिमा	cieņa
धागे	pavedieni
धागे	dzijas
सिलेंडर	baloni
सिलेंडर	cilindri
मैक्सिकन	meksikas
देशो	valstīm
देशो	valstis
खोपड़ी	galvaskausa
कोलम्बिया	kolumbija
कोलम्बिया	kolumbijas
गोलियों	šāvienus
विद्रोहियों	nemierniekiem
कैसा	kā
स्टीवन	stīvens
टेल	aste
टेल	astes
कबीले	cilts
सूर्योदय	saullēktu
रणनीतिक	stratēģisks
रणनीतिक	stratēģiskā
रणनीतिक	stratēģiska
रणनीतिक	stratēģiski
रणनीतिक	stratēģiskais
रणनीतिक	stratēģiski
रणनीतिक	taktiskā
झटके	satricinājumiem
रीड	niedru
प्रक्षेप	projekcija
प्रक्षेप	prognoze
प्रक्षेप	projekcijas
पर्यवेक्षण	pārraudzība
पर्यवेक्षण	uzraudzība
इसरो	isro
एमी	eimija
एमी	emmija
प्लेटो	plato
मीन	pisces
कनाडाई	kanādas
रिसाव	noplūdes
रिसाव	noplūdes
रिसाव	noplūde
निषिद्ध	aizliegta
निषिद्ध	aizliegts
निषिद्ध	aizliegtas
निषिद्ध	aizliegta
निषिद्ध	aizliegts
निषिद्ध	aizliegtas
निषिद्ध	aizliegti
सेम	pupas
सेम	pupu
सेम	pupiņas
सेम	pupas
सेम	sem
रॉन	ron
बरसात	dušas
बरसात	lietainā
बरसात	lietaina
बरसात	lietus
इंटेल	intel
फास्ट	ātri
फास्ट	ātra
फास्ट	ātrs
फास्ट	strauji
फास्ट	fast
यथार्थवाद	reālisms
बाह	bah
तालिबान	taliban
दर्शनशास्त्र	filozofijas
दर्शनशास्त्र	filozofija
स्वादिष्ट	garšīga
ज्वाला	liesma
ज्वाला	liesmu
ज्वाला	liesmas
ईंटों	ķieģeļu
कर्ज	parāds
कर्ज	parādu
सलाद	salāti
सलाद	salāti
जलन	iekaisuma
जलन	kairinājums
जलन	kairinājuma
शौकिया	amatieru
अनूठा	unikāla
अनूठा	unikālais
अनूठा	unikāli
अनूठा	unikāls
कैरी	kerija
कैरी	kerijas
पहेली	mīklu
पहेली	mīkla
पहेली	enigma
रक्तस्राव	asiņošana
चादर	lapa
चादर	loksne
जामा	jama
फ्रैंकलिन	frenklins
एथिलीन	etilēna
सेकेंड	sekundēs
सेकेंड	sekunžu
सेकेंड	sekundēm
सेकेंड	sekundes
सेकेंड	otrais
सेकेंड	otrs
सेकेंड	otrie
सेकेंड	otrā
आयुध	arsenāla
महापौर	mērs
आयताकार	taisnstūra
आयताकार	taisnstūra
आयताकार	taisnstūrveida
प्रस्तावना	ievešana
प्रस्तावना	ieviešanu
प्रस्तावना	ievads
प्रस्तावना	prologs
प्रस्तावना	preambulā
मैनहटन	manhetenas
मॉरीशस	maurīcija
मॉरीशस	maurīcijas
लावा	lava
बाधाओं	barjeras
बाधाओं	šķēršļi
बाधाओं	šķēršļi
माइग्रेन	migrēna
परिधान	kleita
परिधान	apģērbs
गोलीबारी	apšaudes
गोलीबारी	šaušana
गोलीबारी	šaušanas
हब	rumbas
हब	hub
जग	pasaule
जग	pasaulē
जग	jag
पम्प	sūknis
पम्प	sūkņa
मातृ	mātes
बायर	bayer
नाल	pakavs
पवित्रता	svētums
पवित्रता	tīrība
पवित्रता	svētība
लाभप्रद	rentabls
रोचेस्टर	rochester
श्रेष्ठता	pārākums
डोनाल्ड	donalds
सीढ़ी	kāpnes
सीढ़ी	kāpnēm
सीढ़ी	trepes
प्रतिकृति	raksts
घराने	žanru
ताड़	palmu
ताड़	plaukstas
ताड़	plaukstu
ताड़	palmas
सीटी	atskan
परोसा	kalpoja
कार्टर	kārters
सिरदर्द	galvassāpes
उपनिवेशवाद	koloniālisma
उपनिवेशवाद	koloniju
उपनिवेशवाद	kolonijas
सैंडविच	sviestmaizes
चिप्स	mikroshēmas
चिप्स	skaidas
विधियां	metodes
बिखरे	izkaisītas
वेस्टमिंस्टर	vestminsteras
सुनाया	izteiktas
शैतान	velns
शैतान	sātana
नैनोट्यूब	nanocaurulītes
शीट	lapa
शीट	loksne
शीट	loksnes
उद्धार	piegādāt
उद्धार	nogādāt
उद्धार	glābšana
उद्धार	glābšanas
पैकेजिंग	iepakojums
पैकेजिंग	iepakojuma
म्यूनिख	minhenē
म्यूनिख	minhenes
बिस्तर	gultu
बिस्तर	gulta
बिस्तर	gultas
दोहराया	atkārtota
दोहराया	atkārtoti
दोहराया	atkārtots
गुम्बद	dome
सेवानिवृत्ति	pensijā
सेवानिवृत्ति	pensionēšanās
जश्न	svinības
जश्न	svinības
जश्न	svētki
नोबल	cēli
टायसन	taisons
लहरों	viļņi
अस्थिरता	nestabilitāte
सीसा	svins
सीसा	svina
सीसा	svinu
तना	cilmes
कंकाल	skeleta
कंकाल	skeletu
नाइट्राइट	nitrītu
तांबे	vara
तांबे	varš
समतुल्य	ekvivalents
समतुल्य	līdzvērtīgs
समतुल्य	līdzvērtīga
समतुल्य	līdzvērtīgi
जिन्ना	džinna
फेरारी	ferrari
एमआईटी	mit
भ्रामक	maldinošu
भ्रामक	maldinošs
भ्रामक	maldinoša
भ्रामक	maldinoši
संभावनाओं	iespējas
केक	kūka
केक	tortes
केक	torte
अनुसूची	grafiks
एनिमेशन	animācijas
एनिमेशन	animācija
एनिमेशन	animācijas
देखो	ieskaties
देखो	izskaties
देखो	skaties
देखो	skatiens
इंतजार	pagaidi
इंतजार	gaidi
इंतजार	gaidīt
हिम्मत	drosme
हिम्मत	drosmi
प्रमाणपत्र	sertifikātus
प्रमाणपत्र	sertifikāti
प्रमाणपत्र	apliecības
प्रमाणपत्र	sertifikāts
प्रमाणपत्र	apliecība
प्रमाणपत्र	sertifikātu
सांकेतिक	simbolisks
सांकेतिक	simboliska
सांकेतिक	simboliski
सत्रहवीं	septiņpadsmitajā
असमानता	nevienlīdzību
असमानता	nevienlīdzība
असमानता	nevienlīdzības
आमदनी	ienākumus
आमदनी	ienākums
आमदनी	ienākuma
आमदनी	ienākumi
आमदनी	ieņēmumi
टिन	tin
टिन	alvas
चारा	lopbarības
चारा	ēsmu
ओलिवर	olivers
डिब्बे	kannas
डिब्बे	kārbas
घनी	biezs
घनी	biezas
घनी	bieza
घनी	biezi
एस्पिरिन	aspirīnu
जनजातीय	cilšu
सोर्स	avots
विश्लेषक	analītiķis
चेल्सी	chelsea
पाम	pam
इच्छाओं	vēlmes
इच्छाओं	vēlmēm
रिश्तों	attiecības
संन्यास	pensijā
संन्यास	pensionēšanās
पुनर्वास	rehabilitācija
पुनर्वास	rehabilitācijas
प्रोसेसर	procesora
प्रोसेसर	procesors
स्ट्रीम	plūsmas
स्ट्रीम	straumes
स्ट्रीम	straume
स्ट्रीम	stream
वक्तव्य	paziņojums
कोंकणी	konkanu
कृत्यों	funkcijas
बारहवीं	xii
बारहवीं	divpadsmitā
प्रदाताओं	sniedzēji
प्रदाताओं	sniedzējiem
फेंकने	met
शर्तें	apstākļi
शर्तें	nosacījumi
शर्तें	stāvokļi
शर्तें	apzīmējumi
शर्तें	termini
मॉड्यूल	moduļi
मॉड्यूल	moduļus
मॉड्यूल	modulis
मॉड्यूल	moduļa
हिरण	briedis
पिकनिक	piknika
पिकनिक	pikniks
ईसाइयों	kristiešiem
ईसाइयों	kristiešus
ईसाइयों	kristieši
प्रेषित	nosūtīta
प्रेषित	nosūtīja
प्रेषित	nosūtīti
प्रेषित	nosūtīts
ज़िन्दगी	life
ज़िन्दगी	dzīve
ज़िन्दगी	dzīvi
ज़िन्दगी	dzīvība
बॉय	zēns
बॉय	puika
अपघटन	sadalīšanās
इब्राहिम	ibrahim
स्टेरॉयड	steroīdu
संवेदी	maņu
कार्लो	carlo
तपेदिक	tuberkuloze
तपेदिक	tuberkulozes
पुर	poliuretāna
फिल्मफेयर	filmfare
वीजा	vīzas
वीजा	vīzas
वीजा	vīzu
याहू	yahoo
वेदी	altāra
उत्साहित	satraukts
उत्साहित	priecīgi
उत्साहित	sajūsmā
प्रलय	katastrofa
नन्द	nand
रिले	railija
रिले	stafete
चुनौतियों	pārbaudījumi
चुनौतियों	izaicinājumi
अनवर	anvars
फर्ग्यूसन	ferguson
हालात	situācija
हालात	stāvoklis
हालात	pretrunā
हालात	izredzes
हालात	apstākļi
भैंस	bifeļu
महाद्वीपों	kontinentos
महाद्वीपों	kontinentiem
लेनिन	ļeņins
समाचारपत्र	laikraksts
समाचारपत्र	avīze
समाचारपत्र	laikraksta
समाचारपत्र	avīzē
साम्य	līdzība
संतोषजनक	apmierinoša
संतोषजनक	apmierinoši
संतोषजनक	apmierinošs
रनवे	skrejceļš
रनवे	skrejceļu
रनवे	skrejceļa
सफ़र	braucienā
सफ़र	brauciens
सफ़र	ceļojums
विवेचना	apspriede
खींचा	pievērsa
सल्फर	sērs
सल्फर	sērs
स्क्वैश	skvoša
लॉक	slēgt
लॉक	lock
एबीसी	abc
वाल्टर	valters
डाकू	outlaw
डाकू	aplaupītājs
पीएचडी	phd
फ़ुटबॉल	futbols
गॉर्डन	gordon
बांस	bambusa
वाटसन	watson
सहिष्णुता	iecietība
सहिष्णुता	pielaide
सहिष्णुता	tolerance
सहिष्णुता	pielaidi
लूथर	luters
परिपक्वता	termiņš
निरंतरता	nepārtrauktība
निरंतरता	nepārtrauktību
निरंतरता	nepārtrauktības
निरंतरता	ilgtspējība
निरंतरता	ilgtspēju
पनामा	panamas
पनामा	panama
लड़	cīņa
लड़	cīnās
गुणात्मक	kvalitatīva
गुणात्मक	kvalitatīvs
गुणात्मक	kvalitatīvi
रेखाचित्र	grafiki
रेखाचित्र	zīmējums
रेखाचित्र	zīmēšanas
रेखाचित्र	rasējums
स्वदेश	nācija
स्वदेश	tauta
सुपरमैन	supermens
फलित	astrologi
बुल	buldogs
बुल	vērsis
बुल	bull
धब्बे	plāksteri
धब्बे	plankumi
अमूल्य	nenovērtējama
विकिस्रोत	wikisource
निक	niks
निक	nik
पीढी	paaudze
पीढी	paaudzes
माउस	pele
माउस	peles
क्राउन	vainaga
क्राउन	vainags
साड़ी	sari
बहुमुखी	vairāku
बहुमुखी	vairāki
बहुमुखी	daudzpusīgs
पहियों	wta
पहियों	riteņi
पहियों	rati
स्पीयर्स	šķēpus
बहू	līgavu
बहू	līgavas
बहू	līgava
बहू	bahu
छठा	sestais
छठा	sestā
स्पा	spa
मातृभूमि	dzimtenē
मातृभूमि	dzimtenes
मातृभूमि	dzimteni
मातृभूमि	dzimtene
मशीनें	mašīnas
पनडुब्बी	zemūdens
मुखर	vokālā
काउंटर	skaitītājs
काउंटर	skaitītāja
शौक	hobijs
शौक	hobiji
निचला	zemākā
निचला	apakšējā
निचला	zemāka
निचला	zemākas
निचला	zemāks
वानर	apes
नौकर	kalps
बोवी	bovijs
अफगान	afgāņu
अफगान	afganistānas
अफगान	afganistāna
टार्ज़न	tarzāna
राजमहल	pils
राजमहल	pilij
राजमहल	palace
बसों	autobusiem
बसों	autobusus
बसों	autobusi
मॉर्गन	morgan
सतहों	virsmām
सतहों	virsmas
रसेल	rasels
संगीतमय	mūzikas
संगीतमय	muzikāls
टिक	atzīmējiet
टिक	ērču
टिक	tic
क्राइस्ट	kristus
क्राइस्ट	kristu
अनुप्रस्थ	šķērsvirziena
प्रायोजक	sponsors
प्रायोजक	sponsoru
प्रायोजक	sponsoriem
ब्रिगेड	brigāde
पॉलिसी	politika
पॉलिसी	politikā
पॉलिसी	politikas
दस्त	caureja
संभोग	dzimumakta
जोरदार	kaislīgi
अल्फ्रेड	alfrēds
दाखिल	iesniegšana
परित्याग	atteikšanās
वेल्श	velsas
वेल्श	braila
कराटे	karatē
ग्रंथियों	dziedzeri
ग्रंथियों	dziedzeris
ट्रैफिक	satiksme
ट्रैफिक	satiksmes
सिखाया	iemācīja
सिखाया	mācīja
लिबरल	liberāļu
खंडहर	drupas
कर्क	vēzis
प्रेरण	indukcija
प्रेरण	indukcijas
लामा	lama
लेज़र	lāzers
लेज़र	lāzera
बाइबल	bībele
क्रमांक	numuru
क्रमांक	numurs
क्रमांक	skaitlis
क्रमांक	skaits
धक्का	push
आविष्कारक	izgudrotāji
आविष्कारक	izgudrotājs
गोपनीय	secret
गोपनीय	slepeni
गोपनीय	slepens
गोपनीय	noslēpums
गोपनीय	konfidenciāli
स्थलीय	sauszemes
सप्ताहांत	weekends
सप्ताहांत	brīvdienas
कब्रिस्तान	kapsētu
कब्रिस्तान	kapi
बुल्गारिया	bulgārija
पासपोर्ट	pase
पासपोर्ट	pasē
पासपोर्ट	pasi
पासपोर्ट	pases
प्रज्ञा	izlūkošanas
बेशक	patiešām
आइसलैंड	islandē
आइसलैंड	īslande
आइसलैंड	islande
प्रमाणीकरण	autentifikācijas
टोयोटा	toyota
ब्लाक	bloku
ब्लाक	blokam
ब्लाक	bloka
ब्लाक	bloks
ब्लाक	bloķēt
सत्यापन	pārbaudīt
सत्यापन	pārbauda
सत्यापन	autentifikācijas
सत्यापन	pārbaude
रेशों	zīda
रेशों	zīds
प्रत्यावर्ती	mainīgas
प्रत्यावर्ती	pārmaiņus
प्रत्यावर्ती	mainīgs
वृहद	lielāka
वृहद	lielāki
वृहद	lielāks
लॉन्च	palaist
बीट	pārspēt
इमेजिंग	attēlveidošanas
लटका	pakārts
कैटरीना	katrīna
डिस्ट्रिक्ट	rajons
डिस्ट्रिक्ट	apgabals
काठमांडू	katmandu
सीखना	mācīšanās
वेश	ģērbies
डॉक्टरों	ārsti
पक्का	drošs
पक्का	pārliecināts
गला	rīkles
गला	rīklē
गला	kakls
गला	kakla
सुगमता	piekļūšana
सुगमता	pieejamība
स्ट्रॉस	strauss
गार्सिया	garsija
निद्रा	miegs
निद्रा	miega
निद्रा	gulēt
एक्सप्लोरर	explorer
छल	uzmākšanās
आलम	alam
बिज़नेस	bizness
बिज़नेस	uzņēmējdarbība
प्रतिबद्ध	apņēmusies
कॉलोनी	koloniju
कॉलोनी	kolonijas
आवंटन	sadale
आवंटन	sadalījums
आवंटन	piešķiršana
बाला	bala
कार्लोस	carlos
अनीता	alise
अनीता	anita
अनोखा	unikāla
अनोखा	unikālais
अनोखा	unikāli
अनोखा	unikāls
अनोखा	romāns
रिएक्टर	reaktorā
रिएक्टर	reaktoru
रिएक्टर	reaktora
करीना	karina
कपाल	galvaskausa
श्रोता	klausītājiem
श्रोता	klausītāja
श्रोता	skatītāju
श्रोता	auditorija
श्रोता	skatītājiem
श्रोता	auditorijas
श्रोता	publika
श्रोता	skatītāji
कॉमन	kopējo
कॉमन	bieži
लेम्बोर्गिनी	lamborghini
प्याज	sīpoli
प्याज	sīpolu
प्याज	sīpoli
असीमित	bezgalīgu
असीमित	neierobežoti
असीमित	neierobežots
असीमित	neierobežota
माउंटबेटन	mountbatten
बग	kļūdu
मॉस्को	maskava
मॉस्को	maskavas
मॉस्को	maskavā
बूटी	laupījuma
सोम	som
सोम	mon
चन्द्रशेखर	čandrasekars
टर्नर	tērnera
हिमानी	glečers
हिमानी	himalajiem
ट्रांस	trans
मेहमान	viesi
मेहमान	viesiem
मेहमान	viesis
मेहमान	viesu
नियमन	regulēšana
नियमन	regula
नियमन	regulējums
जहर	inde
मगरमच्छ	krokodils
तन	tan
यूटीसी	utc
वेनिस	venēcijas
खांसी	klepus
आईएसओ	iso
युगांडा	ugandas
संख्याएँ	numuri
संख्याएँ	skaitļi
सुगंध	smaržvielas
सुगंध	aromātu
सुगंध	aromāts
सुगंध	smarža
जस्टिन	džastins
सरकारें	valdības
अहंकार	ego
ज़ाहिर	izpaust
ज़ाहिर	izpauž
ठेठ	tipiska
ठेठ	raksturīgi
ठेठ	tipiski
ठेठ	raksturīgs
ठेठ	tipiskas
ठेठ	tipisks
फ़ोर्स	piespiest
फ़ोर्स	spēkā
फ़ोर्स	spēka
फ़ोर्स	spēks
उलट	jāapgriež
मोरक्को	maroka
सुमात्रा	sumatra
सीरम	serumu
सीरम	serums
सीरम	seruma
दाम	cenas
दाम	cena
दाम	cenu
नहरें	kanāls
नहरें	upēm
नहरें	upēs
नहरें	upes
हमलावर	uzbrucēji
नॉर्मन	norman
सराहा	novērtēts
लैंडिंग	izkraušanas
लैंडिंग	izkraušana
लैंडिंग	nosēšanās
लैंडिंग	piezemēšanās
लैंडिंग	nolaišanās
माँगा	manga
नाविक	jūrnieks
स्थायित्व	izturības
स्थायित्व	noturība
हावर्ड	hovards
साम्यवाद	komunisms
पैमाना	joma
पैमाना	mērogs
पैमाना	skala
तंबाकू	tabaku
तंबाकू	tabaka
चिड़िया	putns
चिड़िया	putnu
पराग	ziedputekšņi
सूर	sur
उमा	uma
प्री	pre
मैथुन	dzimumakta
मैथुन	sekss
मैथुन	dzimums
ग्राफिक्स	grafikas
ग्राफिक्स	grafika
संचारित	pārsūta
पराबैंगनी	ultravioletās
पराबैंगनी	ultravioleto
ताम्र	vara
ताम्र	varš
योजनाएं	shēmas
केल्विन	kelvinos
अनुपस्थित	prombūtnē
अनुपस्थित	pietrūkst
अनुपस्थित	trūkst
अनुपस्थित	pazudusi
अनुपस्थित	pazudis
फाई	phi
मर्सिडीज	mercedes
कीटनाशक	pesticīdu
कीटनाशक	pesticīdi
लार	siekalas
