valoroase	قيمة
stiluri	موديلات
stiluri	الانماط
stiluri	انماط
stiluri	الاساليب
stiluri	اساليب
norvegian	النرويجية
norvegian	النرويج
împușcat	طلقة
sălbatică	البرية
sălbatică	برية
sălbatică	البري
teamă	خو
teamă	الخوف
teamă	خوف
statui	تماثيل
statui	التماثيل
sâmbătă	سبت
sâmbătă	السبت
profesioniști	المحترفين
profesioniști	محترفين
profesioniști	المهنيين
profesioniști	محترفون
irlandez	الايرلندية
consilieri	المستشارين
consilieri	المستشارون
consilieri	المستشارون
consilieri	المستشارين
consilieri	المستشارون
consilieri	مستشارين
bunica	جدة
bunica	الجدة
bunica	جدة
bunica	جدتي
lituaniei	ليتوانيا
lituaniei	وليتوانيا
limitate	المحدود
limitate	محدود
limitate	محدودا
limitate	محدودة
limitate	محدودية
pereți	اسوار
pereți	الحوائط
pereți	الحيطان
pereți	جدران
pereți	الجدران
perry	بيري
distincție	التمييز
distincție	التفرقة
distincție	تمييز
platformă	المنصة
platformă	الرصيف
platformă	منصة
rugăciune	الصلاة
rugăciune	الدعاء
rugăciune	دعاء
rugăciune	صلاة
luther	لوثر
personalitatea	شخصيه
personalitatea	الشخصية
personalitatea	شخصية
atelierul	الورشة
cook	الطباخ
cook	طباخ
cook	كوك
tara	بلد
tara	البلاد
tara	بلاد
tara	البلد
tara	تارا
abur	البخار
abur	بخار
oleg	اوليغ
respectarea	الامتثال
respectarea	امتثال
vama	الجمارك
vama	جمارك
vama	العادات
adult	بالغا
adult	راشد
adult	بالغ
împarte	انقسام
împarte	التقسيم
împarte	تقسيم
experimental	تجريبية
experimental	تجريبي
dir	دير
logica	منطق
logica	المنطق
helsinki	هلسنكي
julia	جوليا
julia	خوليا
mussolini	موسوليني
scooby	سكوبي
faimos	شهيرة
faimos	مشهور
faimos	شهير
faimos	مشهورة
faimos	الشهيرة
nuntă	العرس
nuntă	زفاف
nuntă	عرس
nuntă	زواج
magdalena	ماجدالينا
studiourile	الاستوديوهات
studiourile	الاستديوهات
studiourile	استوديوهات
studiourile	استديوهات
studiourile	ستوديوهات
bat	المضرب
bat	مضرب
mintea	البال
mintea	مانع
mintea	العقل
mintea	عقل
dmitri	ديمتري
dmitri	دميتري
americanii	الاميركيين
americanii	امريكيون
alexei	الكسي
sârb	صرب
sârb	صربية
sârb	الصرب
sârb	الصربية
sârb	الصربي
documentul	الوثيقة
documentul	وثيقة
documentul	مستند
documentul	المستند
baba	بابا
preocupat	المعنية
brusc	فجاة
japonezi	ياباني
japonezi	الياباني
japonezi	يابانيون
japonezi	اليابانية
inspirată	الهم
paraguay	باراغواي
consacrat	المكرسة
jennifer	جنيفر
jennifer	جينيفر
izolat	معزول
izolat	معزولة
izolat	عزل
izolat	منعزل
berg	بيرغ
berg	بيرج
anulat	الغيت
precizează	تحديد
precizează	حدد
evaluare	تقييم
evaluare	التقييم
evaluare	التصنيف
evaluare	تصنيف
evaluare	تقييم
evaluare	التقييم
evaluare	تقييم
evaluare	التقييم
asediu	الحصار
asediu	حصار
divizat	انقسام
divizat	مقسم
divizat	مقسمة
divizat	انقسام
divizat	التقسيم
divizat	تقسيم
taxe	ضرائب
taxe	الضرائب
taxe	رسوم
taxe	الرسوم
novo	نوفو
încurajat	شجع
încurajat	شجعت
enterprise	المؤسسة
inamic	العدو
inamic	عدو
vehicul	العربة
vehicul	مركبة
vehicul	المركبة
vehicul	عربة
arma	سلاح
arma	السلاح
arma	مسدس
diferențele	الخلافات
diferențele	الاختلافات
diferențele	الفروق
diferențele	فروق
diferențele	اختلافات
servi	يخدم
servi	تخدم
hanul	نزل
presupus	افترضت
presupus	المزعوم
presupus	مزعوم
musulmane	المسلم
musulmane	مسلم
musulmane	اسلامي
musulmane	مسلمة
modificată	المعدل
modificată	معدل
modificată	تعديل
modificată	معدلة
rasa	سلالة
rasa	تولد
rasa	السباق
rasa	سباق
rasa	العرق
rasa	عرق
restaurarea	الاستعادة
restaurarea	الترميم
restaurarea	ترميم
cafenea	المقهى
cafenea	مقهى
cafenea	المقهى
cafenea	مقهى
permanente	دائم
permanente	الدائم
permanente	دائمة
permanente	دايم
permanente	الدائمة
vizibilă	مرئي
vizibilă	ظاهر
vizibilă	مرئية
asociație	جمعية
asociație	الرابطة
asociație	رابطة
asociație	الجمعية
index	فهرس
index	مؤشر
moral	اخلاقي
moral	الاخلاقية
moral	اخلاقية
kenneth	كينيث
asigurări	التامين
asigurări	تامين
dispute	منازعات
dispute	النزاعات
dispute	المنازعات
dispute	نزاعات
portughez	البرتغالي
portughez	البرتغالية
portughez	بالبرتغالية
haiti	هاييتي
haiti	هايتي
sindromul	متلازمة
locație	موقع
locație	الموقع
locație	المكان
prezență	الحضور
prezență	التواجد
prezență	الوجود
eugene	يوجين
persan	الفارسي
persan	الفارسية
traseu	اثر
traseu	الاثر
traseu	درب
îmbunătățit	المحسن
îmbunătățit	محسنة
îmbunătățit	تحسن
îmbunătățit	محسن
îmbunătățit	محسن
îmbunătățit	معزز
vinde	بيع
arhitecturale	معماري
arhitecturale	المعمارية
logic	منطقي
logic	منطق
logic	المنطق
precizie	الدقة
precizie	دقة
precizie	الدقة
precizie	دقة
meyer	ماير
măsoară	القياس
măsoară	التدبير
măsoară	مقياس
măsoară	قياس
dom	قبة
dom	القبة
dom	دوم
fame	الشهرة
fame	شهرة
coleg	زميل
express	اعرب
amt	amt
baltice	البلطيق
mustafa	مصطفى
ardere	الاحتراق
ardere	احتراق
ardere	يحترق
ardere	احتراق
ardere	حرق
ardere	الحرق
ardere	تحترق
cost	الكلفة
cost	التكلفة
cost	التكاليف
cost	تكلفة
modifică	تعديل
modifică	تعدل
boeing	بوينج
boeing	بوينغ
întoarcere	العودة
întoarcere	عودة
cercetătorii	الباحثون
cercetătorii	باحثين
cercetătorii	الباحثين
peșteră	كهف
peșteră	الكهف
gay	المثليين
gay	الشواذ
gay	شاذ
creta	كريت
creta	الطباشير
ming	مينج
ming	مينغ
montgomery	مونتغمري
egiptean	المصري
egiptean	مصرية
egiptean	مصري
egiptean	المصرية
variabile	المتغير
variabile	متغير
variabile	متغيرة
variabile	متغيرات
variabile	المتغيرات
metale	المعدن
metale	معادن
metale	معدني
metale	معدن
metale	المعادن
metale	معادن
metale	الفلزات
metale	المعادن
pană	ريشة
pană	ريش
pană	الريشة
bush	بوش
standardele	معايير
standardele	المقاييس
standardele	المعايير
daneză	الدانمرك
daneză	الدانمركية
daneză	الدنماركية
verticală	الراسي
verticală	راسي
verticală	عمودي
verticală	عمودية
renunță	الغاء
renunță	الغي
azerbaidjan	اذربيجان
niveluri	المستويات
niveluri	مستويات
mitchell	ميتشل
mitchell	ميتشيل
notat	لوحظ
strategică	الاستراتيجي
strategică	استراتيجي
cambodgia	الكمبودي
cambodgia	الكمبودية
cambodgia	كمبوديا
pablo	بابلو
lent	بطيء
lent	بطئ
lent	بطيئة
academice	اكاديمية
academice	الاكاديمي
academice	الاكاديمية
academice	اكاديمي
ice	ثلج
ice	الجليد
ice	الثلج
ice	جليد
kate	كيت
kate	كايت
bănci	بانكس
bănci	البنوك
bănci	المصارف
bănci	بنوك
bănci	مصارف
restaurant	المطعم
restaurant	مطعم
afectate	المتضررة
afectate	يتاثر
structurile	هياكل
structurile	الهياكل
impuse	مفروض
impuse	مفروضة
impuse	فرض
impuse	يفرض
impuse	فرضت
uriaș	عملاق
uriaș	عملاقة
uriaș	العملاق
tabere	المعسكرات
tabere	مخيمات
tabere	المخيمات
tabere	معسكرات
alma	الما
atribuie	تعيين
formulă	المعادلة
formulă	الصيغة
formulă	صيغة
kentucky	كنتاكي
indicat	مبين
mărfuri	حمولة
mărfuri	الشحن
mărfuri	شحنة
mărfuri	شحن
mărfuri	الحمولة
mărfuri	بضائع
mărfuri	البضاعة
mărfuri	سلع
mărfuri	البضائع
mărfuri	السلع
mărfuri	بضائع
mărfuri	السلع
mărfuri	سلع
belle	حسناء
grâu	القمح
cuantică	كمي
văzute	شوهد
văzute	رايت
dublin	دوبلن
dublin	دوبلين
dublin	دبلن
festivaluri	المهرجانات
ball	كرة
ball	الكرة
rusesc	روسي
rusesc	روسية
rusesc	الروسية
rusesc	روسيا
rusesc	الروسي
concepte	المفاهيم
concepte	مفاهيم
padova	بادوا
echivalentul	مكافئ
fani	المعجبين
fani	معجبين
fani	لعشاق
fani	انصار
plovdiv	بلوفديف
participanții	المشاركون
participanții	المشتركون
mandate	الولايات
mandate	ولايات
morminte	قبور
morminte	القبور
colegi	الزملاء
colegi	زملاء
potențialul	امكانية
horror	الرعب
horror	رعب
vizibile	مرئي
vizibile	ظاهر
vizibile	مرئية
flash	الوميض
flash	وميض
flash	فلاش
duminica	الاحد
srl	llc
srl	ltd
materia	مسالة
materia	المسالة
elementare	ابتدائية
elementare	الابتدائية
elementare	ابتدائي
christina	كريستينا
christina	كرستينا
arhipelagul	ارخبيل
succesiunea	خلافة
succesiunea	الخلافة
protocol	بروتوكول
protocol	البروتوكول
update	التحديث
update	تحديث
execută	نفذ
execută	تنفيذ
ecuador	الاكوادور
bull	الثور
kenya	كينيا
îngropat	دفنت
îngropat	دفن
îngropat	مدفون
îngropat	مدفونة
november	نوفمبر
locații	مواقع
locații	المواقع
biblie	التوراة
biblie	الانجيل
fabricat	المصنعة
durere	الالم
durere	الم
întâlniri	الجلسات
întâlniri	الاجتماعات
întâlniri	اللقاءات
întâlniri	اجتماعات
întâlniri	المواجهات
întâlniri	مواجهات
întâlniri	لقاءات
întâlniri	اللقاءات
lucrând	يعمل
lucrând	اعمل
taiwan	تايوان
dramatică	درامي
dramatică	درامية
semnată	موقعة
semnată	توقيع
baptiste	باتيست
stelele	النجوم
stelele	نجوم
emisă	تنبعث
sovieticii	السوفييت
praf	غبار
praf	تراب
praf	الغبار
praf	بودرة
praf	البارود
praf	المسحوق
praf	مسحوق
zeus	زوس
zeus	زيوس
nintendo	نينتندو
semnal	الاشارة
semnal	اشارة
ceas	شاهد
ceas	ساعة
ceas	راقب
ceas	مشاهدة
ceas	الساعة
ceas	ساعة
ceas	الساعه
democrație	الديمقراطية
democrație	ديمقراطية
alfa	الفا
alfa	الفا
expune	فضح
partener	شريك
partener	شريكة
partener	الشريك
cerințele	المتطلبات
cerințele	متطلبات
cerințele	الاحتياجات
cerințele	الشروط
occidentali	الغربيين
amenințare	تهديد
amenințare	التهديد
inventator	مخترع
bolta	قبو
lovituri	ركلات
lovituri	الضربات
vizitează	زور
vizitează	الزيارة
vizitează	زيارة
vizibil	مرئي
vizibil	ظاهر
vizibil	مرئية
rgb	rgb
sporturi	رياضة
sporturi	الرياضة
sporturi	الرياضات
informatii	info
informatii	المعلومات
informatii	معلومات
informatii	الاعلام
informatii	المعلومات
informatii	معلومات
observație	ملاحظة
observație	الملاحظة
parker	باركر
zeilor	الهة
zeilor	الالهة
liechtenstein	ليختنشتاين
discovery	الاكتشاف
discovery	اكتشاف
găsiți	جد
găsiți	العثور
găsiți	ايجاد
dur	الخام
dur	خشن
dur	صعب
dur	صعبة
dur	قاسي
tăiat	قطع
etajul	ارضية
etajul	طابق
etajul	الارضية
etajul	الطابق
chapelle	chapelle
chapelle	شابيل
strategie	استراتيجية
strategie	الاستراتيجية
experiment	التجربة
experiment	تجربة
finalizată	اكتمل
finalizată	اكملت
finalizată	اكتملت
reptile	الزواحف
reptile	الزواحف
constat	تالف
convinge	اقنع
convinge	اقنع
sportul	رياضة
sportul	الرياضة
sportul	سبورت
leul	اسد
leul	الاسد
personalul	الموظفين
personalul	الموظفون
personalul	الافراد
personalul	الموظفون
personalul	موظفون
personalul	الموظفين
preveni	منع
preveni	امنع
plată	الدفع
plată	السداد
plată	دفعة
plată	الدفعة
plată	دفع
won	فاز
won	وون
integrarea	الاندماج
integrarea	التكامل
integrarea	الدمج
integrarea	تكامل
reci	البرد
reci	بارد
reci	الباردة
reci	باردة
reci	برد
integrat	متكاملة
integrat	متكامل
fabricate	المصنعة
roosevelt	روزفلت
roosevelt	روزفيلت
vasili	فاسيلي
aviație	طيران
aviație	الطيران
spanioli	الاسبان
spanioli	الاسبانية
spanioli	اسبانية
spanioli	اسباني
spanioli	اسبانيا
thompson	تومسن
thompson	ثومبسون
thompson	طومسون
thompson	تومسون
wallace	والاس
wallace	والس
wallace	ولاس
beethoven	بيتهوفن
ploaie	مطر
ploaie	المطر
ploaie	الامطار
islamului	الاسلام
islamului	اسلام
bremen	بريمن
artificial	اصطناعية
artificial	اصطناعي
artificial	الاصطناعي
solară	شمسية
solară	شمسي
solară	الشمسية
disponibilă	متوفر
disponibilă	متاح
disponibilă	متاحة
disponibilă	متوفرة
disponibilă	تتوفر
reprezentative	تمثيلية
reprezentative	الممثل
reprezentative	ممثل
marino	مارينو
fetele	بنات
fetele	البنات
fetele	فتيات
fetele	لبنات
fetele	الفتيات
primită	استقبل
primită	تلقت
primită	استلام
primită	وردت
primită	ورد
strategia	استراتيجية
strategia	الاستراتيجية
identice	مماثل
identice	متطابقة
fotografia	صورة
fotografia	الصورة
fotografia	photo
fotografia	التصوير
fotografia	تصوير
aia	هذا
aia	ذلك
separarea	الانفصال
separarea	انفصال
datoria	الواجب
datoria	واجب
interpretări	تفسيرات
interpretări	التفسيرات
scrisoarea	حرف
scrisoarea	خطاب
scrisoarea	رسالة
eroul	بطل
eroul	البطل
aviației	طيران
aviației	الطيران
rupt	مكسور
rupt	كسر
rupt	مكسورة
rupt	ممزق
integrate	متكاملة
integrate	متكامل
panama	لبنما
panama	باناما
panama	بنما
utilizări	الاستخدامات
utilizări	استخدامات
greaca	يوناني
greaca	يونانية
greaca	اليوناني
greaca	اليونانية
nancy	نانسي
comisie	اللجنة
comisie	عمولة
aripa	وينج
aripa	الجناح
aripa	جناح
cauzele	اسباب
cauzele	الاسباب
veniturile	ايرادات
veniturile	الايرادات
veniturile	ايراد
veniturile	ايرادات
veniturile	الايرادات
veniturile	دخل
veniturile	الدخل
atomic	الذرية
atomic	ذرية
clinton	كلينتون
clinton	كلنتون
continuând	مستمرة
continuând	مستمر
împărăteasă	الامبراطورة
integrare	الاندماج
integrare	التكامل
integrare	الدمج
integrare	تكامل
districtele	المناطق
districtele	المقاطعات
districtele	مقاطعات
miercurea	الاربعاء
scenele	المشاهد
scenele	الكواليس
scenele	مشاهد
dramatice	درامي
dramatice	درامية
transmiterea	الارسال
transmiterea	ارسال
ralph	رالف
hunter	هانتر
hunter	صياد
hunter	هنتر
armeni	الارمن
armeni	الارمن
vera	فيرا
sferturi	ارباع
demo	تجريبي
demo	التجريبي
standarde	معايير
standarde	المقاييس
standarde	المعايير
minimă	الادنى
minimă	دنيا
minimă	الدنيا
simț	الاحساس
simț	حاسة
simț	احساس
câteodată	احيانا
utilă	المفيد
utilă	مفيدة
utilă	مفيد
utilă	مفيدة
utilă	مفيد
isabella	ايزابيلا
predare	تدريس
predare	التدريس
predare	تعليم
sănătatea	الصحة
sănătatea	صحة
transfermarkt	transfermarkt
rareori	نادرا
climă	المناخ
climă	مناخ
pătrat	مربعة
pătrat	مربع
pătrat	المربع
pătrat	ميدان
epic	ملحمية
epic	ملحمي
epic	ملحمة
grație	جريس
grație	نعمة
grație	غريس
grație	غرايس
avere	ثروة
avere	الثراء
avere	ثروة
avere	الثروة
avere	الثروات
windsor	ويندسور
windsor	وندسور
prevede	يوفر
prevede	يزود
fin	fin
birou	المكتب
birou	مكتب
birou	المنصب
secretul	سر
secretul	سري
secretul	السر
secretul	سرية
trilogia	ثلاثية
aniversare	ذكرى
frumusețea	جمال
frumusețea	الجمال
executată	اعدم
musulmană	المسلم
musulmană	مسلم
musulmană	اسلامي
musulmană	مسلمة
rob	روب
concret	ملموسة
concret	الاسمنت
concret	الخرسانة
frumusețe	جمال
frumusețe	الجمال
laboratorul	المختبر
laboratorul	مختبر
laboratorul	المختبر
laboratorul	مختبر
laboratorul	المعمل
laboratorul	معمل
mâini	اليدين
mâini	الايدي
mâini	ايادي
ala	علا
ala	علاء
batalionul	الكتيبة
batalionul	كتيبة
decorative	الزخرفية
conștient	مدرك
conștient	واعي
sectoare	قطاعات
sectoare	القطاعات
șansă	فرصة
șansă	الفرصة
compozitori	الملحنين
fabricație	الصنع
fabricație	تصنيع
fabricație	التصنيع
fabricație	تصنيع
fabricație	التصنيع
alegere	خيار
alegere	اختيار
alegere	الاختيار
alegere	الخيار
notre	نوت
moștenire	تراث
moștenire	ارث
moștenire	التراث
moștenire	الارث
moștenire	الميراث
moștenire	الارث
moștenire	ارث
moștenire	الوراثة
moștenire	ميراث
mode	مود
mode	النمط
mode	الوضع
mode	نمط
negocierile	المفاوضات
negocierile	مفاوضات
linda	ليندا
split	انقسام
split	التقسيم
split	تقسيم
cascada	شلالات
cascada	الشلال
cascada	الشلالات
colin	كولن
legendele	اساطير
legendele	الاساطير
măsurile	التدابير
măsurile	تدابير
germana	الالمانية
germana	المان
germana	الالماني
germana	المانيا
germana	الماني
germana	المانية
gruparea	التجميع
gruparea	تجميع
intenționat	مقصود
intenționat	مقصودة
intenționat	المتعمد
intenționat	متعمد
iulius	جوليوس
virusul	الفيروس
virusul	فيروس
virusul	فيرس
tribul	قبيلة
tribul	القبيلة
petrolul	النفط
petrolul	الزيت
petrolul	زيت
petrolul	بترول
petrolul	نفط
erori	الاخطاء
erori	اخطاء
unghiul	الزاوية
unghiul	زاوية
unghiul	بزاوية
egipteană	المصري
egipteană	مصرية
egipteană	مصري
egipteană	المصرية
implementarea	تنفيذ
implementarea	التنفيذ
organizațiile	منظمات
organizațiile	المنظمات
msg	msg
masacrul	مذبحة
masacrul	المذبحة
masacrul	مجزرة
patria	وطن
capitole	الفصول
capitole	فصول
hessa	hessen
hessa	هيس
transferată	نقلت
musulman	المسلم
musulman	مسلم
musulman	اسلامي
musulman	مسلمة
omagiu	تكريم
omagiu	اشادة
runda	مستديرة
runda	الجولة
negativă	سلبية
negativă	سلبي
negativă	السلبية
negativă	سالب
manuale	كتيبات
manuale	الكتيبات
otomani	العثمانيين
estimează	تقديرات
estimează	التقديرات
estimează	التقدير
estimează	تقدير
dezvăluit	كشفت
nixon	نيكسون
zborul	الرحلة
zborul	طيران
zborul	الطيران
arcade	arcade
voluntar	طوعي
voluntar	الطوعية
voluntar	طوعية
voluntar	تطوع
voluntar	التطوع
voluntar	متطوع
tramvai	الترام
responsabilitatea	المسؤولية
responsabilitatea	مسؤولية
ceh	التشيك
ceh	التشيكية
elias	الياس
stâncă	الصخرة
stâncă	روك
stâncă	صخرة
stâncă	الروك
sfert	ربع
sfert	الربع
violente	عنيف
violente	عنف
violente	عنيفة
colț	الركن
colț	الزاوية
colț	زاوية
colț	ركن
eșec	فشل
eșec	فشلت
eșec	فشل
eșec	الفشل
trib	قبيلة
trib	القبيلة
anatomie	التشريح
anatomie	تشريح
varna	فارنا
currentclub	currentclub
confirmă	تاكيد
confirmă	التاكيد
confirmă	اكد
houston	هيوستن
houston	هوستون
houston	هيوستون
eficientă	فعالة
eficientă	فعالية
eficientă	فعال
eficientă	الفعال
împărăteasa	الامبراطورة
proiectare	تصميم
proiectare	التصميم
proiectare	تصميم
violență	العنف
violență	عنف
eleanor	اليانور
deșert	صحراء
deșert	الصحراء
oferta	العرض
favorabile	مواتية
favorabile	موات
castro	كاسترو
geologice	الجيولوجي
geologice	الجيولوجية
franc	الفرنك
franc	فرنك
israeliene	اسرائيلي
israeliene	اسرائيلية
israeliene	الاسرائيلي
israeliene	الاسرائيلية
furtună	رعدية
furtună	عاصفة
furtună	ستورم
furtună	العاصفة
vatican	الفاتيكان
ken	كين
biologice	البيولوجية
biologice	بيولوجية
biologice	بيولوجي
știut	عرفت
regulate	منتظم
regulate	منتظمة
rwanda	رواندا
biblioteci	المكتبات
biblioteci	مكتبات
ciudat	غريب
ciudat	غربة
productions	للانتاج
națiune	امة
națiune	الامة
mal	مال
status	الوضع
status	الحالة
status	حالة
tower	البرج
tower	برج
pradă	فريسة
pradă	فريس
pradă	الفريسة
regiment	الفوج
feb	فبراير
artista	فنان
artista	الفنان
artista	فنانة
titan	التيتانيوم
titan	تيتانيوم
titan	تيتان
mărci	الماركات
mărci	علامات
ordinele	الطلبات
ordinele	الاوامر
ordinele	اوامر
ordinele	طلبات
fortificații	التحصينات
excepții	الاستثناءات
excepții	استثناءات
explicații	تفسيرات
explicații	توضيحات
explicații	التفسيرات
valabil	سارية
valabil	صالح
valabil	صالحة
monroe	مونرو
duh	جنى
duh	جني
facultate	جامعة
facultate	الجامعة
facultate	كلية
facultate	الكلية
facultate	الجامعة
facultate	كلية
facultate	الكلية
neptun	نبتون
apache	اباتشي
rome	روم
rome	روما
manuscrise	المخطوطات
rădăcini	جذور
rădăcini	الجذور
monarhiei	ملكية
monarhiei	الملكية
negocieri	التفاوض
negocieri	تفاوض
negocieri	المفاوضات
negocieri	مفاوضات
negocieri	المفاوضات
negocieri	مفاوضات
săraci	مسكين
săraci	الفقراء
săraci	فقير
săraci	فقيرة
săraci	الفقير
săraci	فقراء
mâine	الغد
mâine	بكره
mâine	بكرا
mâine	بكرة
mâine	غدا
regulamentul	التنظيم
vina	لوم
vina	اللوم
vina	الذنب
vina	ذنب
randy	راندي
bibliografice	الببليوغرافية
administratorii	المديرون
administratorii	مديرو
administratorii	المسؤولين
colorate	ملون
colorate	ملونة
versiunile	اصدارات
versiunile	الاصدارات
far	منارة
far	المنارة
dispare	يختفي
seven	سبع
seven	seven
seven	سبعة
seven	السبعة
dorită	المطلوب
dorită	المرجوة
dorită	المرغوب
dorită	مرغوب
dorită	مرغوبة
dorită	مطلوب
pasărea	الطائر
pasărea	الطير
pasărea	طائر
pasărea	طير
pasărea	بيرد
pasărea	عصفور
tei	ليندن
tei	لايم
văduva	الارملة
văduva	ارملة
garcia	غارسيا
ark	ارك
casetă	كاسيت
casetă	الشريط
casetă	شريط
musical	موسيقي
musical	موسيقية
fericit	يسعد
fericit	سعيده
fericit	هابي
fericit	سعيد
fericit	سعيدة
însoțită	صاحبت
patriei	وطن
poze	الصور
poze	صور
poze	الصور
poze	صور
armat	المسلحة
armat	مسلحين
armat	مسلح
armat	مسلحة
armat	مسلحون
armat	معززة
armat	عزز
armat	معزز
mongolii	المغول
sodiu	الصوديوم
prenume	اللقب
tentativă	محاولة
tentativă	محاولات
prinde	التقاط
accepta	نقبل
accepta	تقبل
accepta	قبول
accepta	اقبل
lut	طين
lut	كلاي
răspândire	انتشار
răspândire	انشر
răspândire	انتشر
răspândire	انتشار
patricia	باتريشيا
esență	جوهر
esență	الجوهر
cetățenia	الجنسية
cetățenia	جنسية
cetățenia	مواطنة
cetățenia	الجنسية
cetățenia	المواطنة
nice	حلو
nice	جميل
nice	لطيف
beatrice	بياتريس
spadă	السيف
spadă	سيف
spadă	سيفا
bolivia	بوليفيا
ciuperci	فطر
ciuperci	الفطر
ciuperci	الفطريات
ciuperci	فطر
maryland	ميريلاند
maryland	ماريلاند
criteriul	معيار
criteriul	المعيار
colaborează	تعاون
performanțe	الاداء
performanțe	اداء
pakistan	باكستان
optică	بصرية
optică	بصري
optică	بصريات
optică	البصريات
profesoară	استاذ
profesoară	المعلم
profesoară	معلم
profesoară	مدرس
profesoară	معلمة
solide	صلبة
solide	متين
solide	الصلبة
solide	صلب
artificială	اصطناعية
artificială	اصطناعي
artificială	الاصطناعي
banks	بانكس
banks	البنوك
banks	المصارف
banks	بنوك
