сибір	siberië
духовні	geestelik
розробник	ontwikkelaar
янг	jonk
янг	jong
вісь	axis
єврейська	joodse
єврейська	joods
єврейська	hebreeus
колон	colón
колон	komme
податок	belasting
рядка	lyn
гранд	grandes
гранд	grande
гранд	vleuel
гранд	grand
сталін	stalin
дует	duet
секція	seksie
секція	afdeling
латинська	latyns
шахтар	miner
адаптації	aanpassing
позначені	gemerk
колеги	kollegas
колеги	kollega
підтримати	ondersteuning
підтримати	ondersteun
підтримати	steun
підтримати	bystand
дослівно	verbatim
публікація	berig
публікація	publisering
едмонтон	edmonton
здійснюються	operated
адріан	hadrian
адріан	adrian
якесь	sommige
італію	italië
кора	cora
спалили	geskryf
звіти	verslae
спеціалізовані	specialized
правосуддя	geregtigheid
правосуддя	justice
правосуддя	justisie
пор	hawe
пор	port
пор	poort
колесо	wiel
колесо	tire
юлій	julius
враховувати	oorweging
череп	skedel
череп	skull
вгорі	boonste
вгорі	bokant
вгорі	bo
вгорі	hoogs
коричневі	bruin
колона	colonna
рідкісний	skaars
піднімається	toeneem
купол	dome
передбачав	voorspelde
лео	leeu
жорстоко	cruel
жорстоко	wreed
мандрівник	traveler
мандрівник	swerwer
мандрівник	reisiger
барі	bari
багатства	rykdom
худ	hood
тренування	oefening
мільйон	miljoen
малювання	skilder
малювання	skildery
малювання	skets
малювання	tekening
сімейство	familie
сімейство	gesin
прийоми	truuks
аполлон	apollo
рафаель	raphael
рафаель	rafael
рафаель	raphaël
урану	uraan
дума	duma
перевагою	voordeel
перевагою	advantage
судова	forensiese
почалась	begun
зібрано	versamelde
розлучення	egskeidings
розлучення	egskeiding
виключення	uitgesluit
виключення	uitsondering
пен	peng
пен	pins
пен	speld
сервера	bediener
люфтваффе	luftwaffe
штучно	fiktiewe
фотограф	fotograaf
стрічку	tape
попит	aanvraag
крайній	porno
винахід	uitvinding
змінилася	gewysig
записати	skryf
записати	rekord
записати	opneem
записати	skryf
куби	cuba
куби	kuba
уникати	vermy
уникати	ontwyk
звільнено	gidse
звільнено	afgedank
звільнено	bevry
албанія	albanië
туристичний	toeriste
пола	pola
дружба	vriendskappe
дружба	vriendskap
чорногорія	montenegro
венера	venus
айрес	aires
зменшує	verminder
могилу	grave
могилу	graf
комбінації	kombinasies
поліцейський	polisieman
поверхонь	oppervlaktes
воювали	gestry
курорт	gevalle
курорт	oord
позитивний	positiewe
позитивний	positief
туніс	russies
туніс	tunisië
туніс	tunis
чай	tee
кримінальні	kriminele
вірус	virus
висловлювання	afvoer
розрив	breek
розрив	blaaskans
розрив	gap
куля	sfeer
куля	koeël
куля	bullet
легенд	legends
органічні	organiese
підприємців	entrepreneurs
ресторан	restourant
ресторан	restaurant
цілу	hele
цілу	geheel
підняття	insameling
підняття	oplig
підняття	raising
згоду	goedkeuring
згоду	toestemming
зростанням	opgaande
коричневий	bruin
каф	caf
ірані	irannese
археологічний	argeologiese
коробки	bokse
коробки	kassies
лави	lawa
шкода	jammer
шкода	berou
делла	della
фарби	verf
собака	hond
повернули	turning
пропаганда	propaganda
таджикистану	tadjikistan
записані	geskryf
впливати	uitwerking
впливати	affekteer
впливати	beïnvloed
впливати	invloed
впливати	beïnvloed
швейцарський	swiss
швейцарський	switserse
швейцарський	sweedse
сильних	bemagtig
підприємстві	fasiliteit
лікуванні	treat
лікуванні	behandel
ліцензію	lisensie
ліцензію	lisensie
курт	kurt
курт	curt
сумнів	twyfel
змішані	gemeng
змішані	gemengde
підтверджено	goedgekeur
індивідуальні	individuele
індивідуальні	individu
альтернативний	alternatief
альтернативний	alternatiewe
альтернативний	afwissel
альтернативний	alternatiewe
континенту	kontinent
ванкувер	vancouver
зла	boos
зла	bose
траса	trace
встановлює	stelle
геологічні	geologiese
холодна	cold
холодна	koue
холодна	koud
фільтр	filter
фільтр	filtreer
сильна	sterk
мера	burgemeester
репертуар	repertoire
ваз	vaz
ярмарок	redelik
ліцензія	lisensie
ліцензія	lisensie
геть	weg
пісок	sand
пера	pera
пера	feather
гірше	erger
гірше	slegter
ворог	vyand
невдало	misluk
невдало	vaal
девіз	motto
девіз	leuse
лицарі	knights
спокійно	ontspanne
завершити	einde
завершити	voltooi
завершити	einde
завершити	beëindig
завершити	voltooi
завершити	afgehandel
підняти	lift
підняти	lig
відсутнє	beweeg
відсутнє	reflekteer
клер	claire
клер	clair
нікого	enigiemand
нікого	niemand
террі	terry
раннє	vroeg
раннє	vroeë
інфраструктура	infrastruktuur
присвячено	toegewyde
присвячено	dedicated
присвячено	opgedra
спорядження	toerusting
спорядження	gear
кіото	kioto
продюсери	producers
продюсери	vervaardigers
реалізувати	implement
реалізувати	implementeer
черепаха	skilpad
черепаха	tortoise
збудження	stimulering
синонім	sinoniem
пропонував	bygedra
кінематограф	cinema
страв	disse
браян	brian
браян	bryan
гільдії	guild
рон	rhône
рон	ron
ілюстрація	illustrasie
традиційна	tradisioneel
традиційна	tradisionele
симон	simon
залізний	yster
якоб	jakob
якоб	jacob
воскресіння	resurrection
рукописи	manuscripts
вихідний	uitgaande
збираються	byeenkoms
видати	ontslag
видати	ontlaai
видати	afgepers
мовні	linguistiese
привілеї	voorregte
фраза	frase
міфи	mites
фольклор	folk
фольклор	folklore
заповіт	testament
будівельник	bouer
скарби	treasures
рання	vroeg
рання	vroeë
джейсон	jason
комерційного	kommersiële
комерційного	kommersieel
юліан	julian
анатомія	anatomy
федеральний	federale
федеральний	federal
тед	ted
польщу	pole
керрі	kerry
керрі	carrie
страйк	staking
страйк	strike
платівки	rekords
платівки	records
рибу	vis
рибу	visvang
оригінал	oorspronklik
оригінал	oorspronklike
відмова	mislukking
камер	kameras
себастьян	sebastian
себастьян	sebastián
стелі	plafon
постійна	konstante
кулемета	minigun
євгеній	eugene
хоп	hop
підвищити	verhoog
підвищити	vermeerder
змії	snakes
змії	snake
змії	slang
безпосередній	onmiddellike
провідник	geleier
партизан	guerrillas
партизан	partydige
допомагали	gehelp
ютери	masjiene
мільярдів	biljoen
ельзас	elsas
шеф	chef
шеф	sjef
шеф	chief
завтра	môre
завтра	more
боксери	boksers
жозеф	joseph
зупинка	opgehou
зупинка	gestop
зупинка	gestaak
зупинка	ophou
зупинка	halt
поліцейських	polisiemanne
дзвін	bells
дзвін	klok
дзвін	klokkie
проміжок	interval
проміжок	spasie
холодний	cold
холодний	koue
холодний	koud
кавалерії	kavallerie
сорок	veertig
вантажний	vrag
вантажний	freight
епізоди	episodes
відпочинок	ontspanning
відпочинок	rus
відпочинок	res
автомат	masjien
апостол	apostle
апостол	apostel
калію	kalium
цифр	syfers
змінився	gewysig
пів	half
спираючись	skewe
подвійний	dubbel
подвійний	dubbele
подвійний	dual
товариш	comrade
товариш	kameraad
відверто	kolf
сортування	rangskik
сортування	sorteer
розробок	ontwikkelings
організми	organismes
десант	assault
десант	troopers
місій	missions
путін	putin
юридичні	wettig
юридичні	legal
труси	boksers
барбара	barbara
виняток	uitsondering
законодавчих	legislative
колу	coke
павільйон	pavilion
копіювання	kopieer
копіювання	bokant
копіювання	kopiereg
подарунок	geskenk
подарунок	hede
подарунок	tans
подарунок	voordra
подарунок	teenwoordig
буркіна	burkina
блиск	skyn
обстеження	geëvalueer
осип	osip
продати	verkoop
помічника	assistent
стамбул	istanbul
стамбул	istanboel
рівність	gelykheid
іноземців	buitelanders
фаза	phase
фаза	fase
відчуває	sintuie
прочитати	lees
прочитати	gelees
мовознавство	taalkunde
існуючі	bestaande
електроніка	elektronika
електроніка	elektronies
електроніка	elektroniese
зімбабве	zimbabwe
координації	koördinasie
перетворити	omskep
перетворити	transformeer
зварювання	welding
ескадрильї	eskader
дизайнер	ontwerper
цинку	sink
судові	hof
ленін	lenin
болгарський	bulgaars
говорили	talking
фрукти	vrug
фрукти	vrugte
фрукти	fruits
марсі	marcy
промені	strale
партнер	vennoot
партнер	maat
партнер	lewensmaat
партнер	metgesel
чудовий	wonderlik
чудовий	heerlik
очікування	gewag
налаштування	opstelling
налаштування	opstelling
налаштування	stellings
налаштування	verstellings
рушій	masjien
рушій	engine
рушій	enjin
рушій	motor
старші	ouer
навички	vaardighede
рядовий	pvt
завдали	veroorsaak
зустрічей	afsprake
зустрічей	meetings
зустрічей	vergaderings
діалог	navraag
діалог	dialoog
едо	edo
купити	aankoop
купити	aankope
купити	koop
геральдика	heraldiek
цивільний	siviele
потяги	treine
принцеси	princesses
доставки	versending
підводного	onderwater
практичне	praktiese
завершується	eindig
завершується	eindig
редакторів	redigeerders
шини	bus
переробка	herwinning
дане	dane
житель	burger
житель	citizen
брокгауза	efron
демократичний	demokratiese
сирія	sirië
індіана	indiana
боже	god
ситуаціях	situasies
зараження	besmette
зараження	besmet
зараження	aangetaste
захисників	defenders
форд	ford
фірмі	vas
юхимович	raspoetin
лід	lei
лід	lood
лід	aanvoer
лід	ys
помітні	opsigtelik
демо	demo
демо	demonstrasie
прибрати	skoon
палаті	ward
нагірно	nagorno
темний	donker
мусульмани	muslim
мусульмани	moslem
мусульмани	moslems
видобування	ripper
видобування	uitgepak
ходів	skuiwe
ніколас	nicolás
ніколас	nikolaas
ніколас	nicolaas
брами	gates
брами	hekke
уфа	oefa
баррі	barry
лувр	louvre
фішер	fisher
фішер	fischer
додаткова	ekstra
додаткова	aanvullende
припинено	gestaak
припинено	gekanselleer
казані	kazan
претендентів	voorleggings
гарно	lekker
гарно	oulike
гарно	nice
перетворено	omgeskakel
геологічних	geological
перекласти	vertaal
корі	corey
корі	cory
трудові	arbeid
перемагає	winning
перемагає	nederlae
груди	chest
груди	borskas
груди	kassie
груди	breast
чекати	wag
чекати	wait
птаха	voël
стадія	verhoog
стадія	stadium
стадія	etage
повідомили	ingelig
ззовні	buite
рейд	raid
рейд	inval
автоматична	outomatiese
автоматична	outomaties
партизани	guerrillas
партизани	guerillas
сухі	droë
сухі	dry
сухі	droog
поповнення	vervangings
жива	lewendig
фасо	faso
фізично	fisies
дивитися	waarneem
дивитися	horlosie
дивитися	kyk
дивитися	dophou
дивитися	kyk
жанна	jeanne
таємниця	mystery
таємниця	geheimsinnig
таємниця	geheim
таємниця	geheime
таємниця	sekuriteit
творців	skeppers
печер	caves
прогнозування	vooruitskatting
істини	waarhede
вагон	wagon
тяжко	hard
тяжко	harde
тяжко	moeilik
нагляду	toesig
потрібний	bobs
молодша	jonger
куб	cube
куб	kubus
напали	aangeval
універсальний	vereenselwig
універсальний	bekyk
подивитися	sien
подивитися	waarneem
подивитися	horlosie
подивитися	kyk
подивитися	dophou
подивитися	kyk
очікується	verwag
очікується	hangende
очікується	uitstaande
матвій	matthew
матвій	matteus
членство	lidmaatskap
оригінальне	oorspronklik
оригінальне	oorspronklike
звернутися	pleeg
звернутися	raadpleeg
звернутися	konsulteer
повітряна	aerial
повітряна	air
повітряна	lug
подають	bedien
ірак	irak
гомер	homer
орда	horde
степ	steppe
пострілів	skote
тінь	skadu
тінь	skaduwee
переглянути	blaai
переглянути	snuffel
переглянути	onaktiewe
переглянути	resensie
переглянути	hersiening
переглянути	oorsig
переглянути	hersien
переглянути	sien
переглянути	aansig
переглянути	besigtig
переглянути	bekyk
антологія	digbundel
інтенсивність	sterkte
поклав	gedeponeer
християни	christian
християни	christene
християни	christen
християни	christiaan
паша	pasha
простіше	makliker
простіше	eenvoudiger
сусідів	kamermaats
олівер	oliver
фундамент	fondament
окреме	afsonderlike
окреме	aparte
нагляд	toesig
ходити	loop
заборонені	verbode
заборонені	blacklisted
хоккайдо	hokkaido
волтер	walter
орест	orestes
ключі	sleutels
ключі	tekens
салоні	hut
салоні	kajuit
салоні	cabin
землеробство	landbou
бак	bak
бак	bac
самка	vroulik
самка	wyfie
таблиць	waardes
таблиць	tafels
гарольд	harold
турин	torino
скрізь	oral
скрізь	orals
меблі	meubels
меблі	meubelstuk
платон	plato
грудей	breast
збережені	gestoor
збережені	geberg
сенатор	senator
буш	bush
глибокий	diep
просте	eenvoudige
просте	eenvoudig
хутро	pels
зареєстрований	geregistreer
чеської	tsjeggiese
чеської	tsjeggië
дано	gegee
скандал	scandal
скандал	skandaal
скандал	skandale
арабські	arabies
арабські	arabiese
арабські	arabic
кей	kay
реп	rap
обеліск	obelisk
референдум	referendum
патент	patent
супер	super
супер	heerlike
аматорів	amateurs
їсти	eet
відправлення	vertrek
відправлення	vertrek
зручності	gerief
чверть	kwart
чверть	kwartaal
протест	beswaar
протест	betoging
протест	protes
фермі	fermi
інтенсивно	intens
інтенсивно	intense
меню	spyskaart
меню	kieslys
меню	kieslyste
меню	spyskaarte
брюссель	brussels
брюссель	brusselse
брюссель	brussel
яйце	eier
боснія	bosnië
турецькі	turkse
турецькі	turkish
побачила	saag
складна	hard
складна	harde
складна	moeilik
владимир	wladimir
сир	kaas
трилер	riller
путіна	putin
сніг	sneeu
необхідним	nodige
мануель	manuel
вілен	vilaine
візит	besoek
чинний	geldig
чинний	geldige
чинний	soektog
чинний	geldigheid
напої	drank
напої	drankie
напої	drankies
напої	drankies
куль	bullets
співає	sing
співає	sang
співає	sing
співає	singing
співає	singende
діалектів	dialekte
альфонсо	alfonso
класичні	klassiek
класичні	klassieke
картах	kaarte
грант	verleen
грант	grant
фінансова	finansiële
фінансова	finansieel
жук	beetle
надані	verskaf
ведмідь	beer
протока	strait
імператриця	empress
контролює	kontrole
контролює	kontroles
ісландія	ysland
компаніями	besighede
компаніями	maatskappye
компаніями	companies
еро	hérault
вітри	winds
безперервно	herhaaldelik
анджей	andrzej
вдова	weduwee
кан	kahn
ботаніка	plantkunde
надійності	betroubaarheid
грін	greene
фрази	frases
символіка	symbolism
суха	droë
суха	dry
суха	droog
гая	gaia
розрахунків	nedersettings
негативний	negatiewe
негативний	negatief
вказівки	leiding
вказівки	riglyne
вказівки	instruksies
здобич	prey
благодійний	liefdadigheid
цезар	caesar
теннессі	tennessee
ханство	khanate
боббі	bobby
організовані	georganiseerd
організовані	georganiseer
номера	genommerde
номера	nommer
номера	getalle
номера	getal
озброєні	gewapende
анголи	angola
приймав	werknemer
вінсент	vincent
графи	grafieke
нікола	nikola
традиційне	tradisioneel
традиційне	tradisionele
підземний	ondergrondse
підземний	underworld
голосувати	stem
юра	alb
домашній	tuis
домашній	huistoe
домашній	tuisblad
домашній	huis
домашній	tuisgemaakte
різноманіття	verskeidenheid
кримінальний	kriminele
запиту	navraag
соціальне	maatskaplike
соціальне	sosiale
соціальне	sosiaal
буддизм	boeddhisme
описати	beskryf
практичні	praktiese
палермо	palermo
готовність	herlaai
готовність	gereed
узбекистан	oesbekistan
черепа	skedel
черепа	skull
геометрія	afmetings
геометрія	meetkunde
учасникам	deelnemers
вихідних	naweke
християнська	christian
християнська	christene
християнська	christen
християнська	christiaan
справжня	regte
справжня	egte
ледве	effens
ледве	skaars
прогресу	advancement
шум	geraas
базиліка	minor
віа	via
релігій	gelowe
гальмування	braking
конвенція	konvensie
конвенція	convention
архіпелаг	argipel
прорив	deurbraak
прорив	baanbreker
маркетинг	bemarking
джоан	johanna
джоан	joan
джекі	jackie
інвестиції	beleggings
інвестиції	belegging
альберто	alberto
футів	voete
буріння	dril
рекорди	rekords
рекорди	records
дикі	wildernis
дикі	wild
дикі	wilde
нести	dra
нести	carry
їжа	kos
їжа	voedsel
білгород	belgorod
християнський	christian
християнський	christene
християнський	christen
християнський	christiaan
морально	morally
чеська	tsjeggiese
чеська	tsjeggië
показані	vertoon
повертаються	terugkeer
повертаються	terugstuur
думав	dog
думав	gedink
меценат	maecenas
громадське	openbare
громадське	openbaar
громадське	publieke
громадське	publiek
перевал	verbygaan
білок	protein
білок	proteïen
гвинтівка	geweer
бергамо	bergamo
юнацтва	jeug
злочинців	misdadigers
вопросы	vrae
рідина	vog
рідина	vloeistof
натхнення	inspirasie
репутацію	reputasie
чимось	iets
надійність	betroubaarheid
надійність	vertroude
надійність	vertrou
надійність	vertroud
джеррі	gerry
джеррі	jerry
сумський	soemi
прагнули	gehoop
персональний	persoonlik
персональний	persoonlike
землетрус	aardbewing
богу	god
невідоме	onbekend
регулярний	gereelde
мартен	maarten
робітника	werknemer
мюллер	müller
мюллер	muller
рой	roy
еріка	erika
еріка	erica
клієнта	kliënt
допомогли	gehelp
чесно	eerlik
найближча	naaste
запах	reuk
запах	ruik
гострий	skerp
деніел	daan
деніел	daniel
деніел	daniël
циклів	cycles
поштових	posbusse
робін	robin
робін	robyn
закрити	toemaak
закрити	sluit
стануть	word
стануть	geword
експерт	kundige
експерт	expert
експерт	ervare
гетто	ghetto
голуб	pigeon
маркус	marcus
монгольська	mongoolse
брюсселі	brussels
брюсселі	brusselse
брюсселі	brussel
мовний	linguistiese
пальці	fingers
модулів	modules
плита	plate
плита	plaat
плита	stoof
присягу	eed
ініціатива	inisiatief
саундтрек	klankbaan
визначати	definieer
цифра	syfer
сусіднього	aangrensende
фред	fred
зворотний	omgekeer
зворотний	reverse
зворотний	agteruit
зворотний	retrograde
зоряний	starship
вузькі	smal
професорів	professors
лоуренс	lawrence
дощ	reën
навігації	navigasie
балет	ballet
розпізнавання	bekragtiging
джин	gin
джин	jean
джин	gene
ліжок	beddens
комплексом	eweknieë
проникає	lekkasies
взаємодію	interaksies
оману	oman
маямі	miami
плакат	poster
виставку	uitstalling
увійти	aanteken
залишилось	oorblywende
залишилось	oor
плату	fee
плату	fooi
взяті	omsluit
ранок	môre
ранок	oggend
ранок	more
освітні	opvoedkundige
аллен	allen
презентації	voorlegging
презентації	presentation
презентації	voorleggings
спеціальностей	spesialiteite
вайт	white
овочі	groente
неаполь	napels
альє	allier
абсолютний	absolute
ахмед	ahmed
вимагати	eis
пагорб	heuwel
пагорб	hill
горіння	verbranding
франциска	franziska
танкові	armoured
рейси	vlugte
дром	drôme
бін	boontjie
бін	bean
корону	kroon
росс	ross
реалізм	realisme
темна	donker
ернест	ernest
певне	spesifiek
певне	spesifieke
канзас	kansas
ринків	markte
розробили	ontwikkel
варіації	variasies
артиста	feat
майбутні	komende
майбутні	opkomende
майбутні	naderende
подорожей	reise
подорожей	reise
подорожей	uitstappies
леві	levi
леві	levy
леві	lévy
консенсусу	consensus
заповнення	invul
заповнення	silwer
заповнення	volmaak
лініями	reëls
приріст	increment
нікарагуа	nicaragua
митець	kunstenaar
алея	mall
алея	alley
змінної	veranderlikes
початковій	elementêre
космонавт	astronaut
обладнанням	hardeware
заколот	mutiny
напій	drank
напій	drankie
сумніву	twyfel
далекий	ver
александер	alexander
мінор	klein
колегія	collegium
кілометри	kilometer
кілометри	kilometer
кілометри	kilometers
оплати	betaling
джонатан	jonathan
конкакаф	concacaf
безвісти	mia
ном	nom
товар	produk
гострі	skerp
сплави	legering
сплави	allooi
дозвілля	ontspanning
дозвілля	leisure
франсіско	francisco
видала	uitgereik
забрали	took
конкуренції	mededingende
повідомила	gewaarsku
відповідали	ooreengestem
відповідали	gepas
проїзд	rit
проїзд	ride
проїзд	passage
рококо	rococo
хотіла	gesoek
хотіла	wou
математична	wiskundige
факто	facto
живим	lewendig
бабуся	ouma
бабуся	ouma
навчальна	opvoedkundige
сигізмунд	sigismund
кішки	katte
кішки	cats
катастрофа	ramp
катастрофа	disaster
катастрофа	katastrofe
ідеологія	ideologie
тренто	trient
різноманітність	verskeidenheid
різноманітність	verskeidenheid
тонкий	maer
тонкий	dun
компетенції	jurisdiksie
христина	christina
христина	christine
крісті	christie
крісті	christy
мадам	madame
бал	bal
ралі	rally
ралі	saamtrek
дружині	vrou
пережив	survived
павел	pawel
павел	paweł
павел	pavel
вероніки	berenices
переїхали	gekuif
переїхали	geskuif
переїхали	verhuis
верде	verde
підкорення	verowering
підкорення	verower
підкорення	instuur
цвіте	bloom
акцент	accent
акцент	aksent
жертва	sacrifice
жертва	opoffering
жертва	slagoffer
жертва	victim
туркменістану	turkmenistan
анімаційний	geanimeerde
надруковано	printed
угорці	hongare
назовні	uit
авторство	copyrighted
фехтування	fencing
креслення	stip
креслення	tekeninge
креслення	skets
креслення	tekening
сорт	kultivar
японці	japannese
японці	japannees
націоналізм	nationalism
лівану	libanon
моніторинг	monitering
ангел	engel
ангел	angel
організатори	organiseerders
юнайтед	vereenigde
юнайтед	united
юнайтед	verenigde
успішний	suksesvol
успішний	suksesvolle
кроків	stappe
снаряд	ammunisie
біблія	bybel
поттер	potter
гамільтон	hamilton
масиві	skikking
старіння	veroudering
обговорювати	bespreek
подавати	dien
подавати	bedien
юань	yuan
ресурсу	hulpbron
рейс	reyes
рейс	vlug
вимога	swyg
вимога	verpligting
круглий	botvis
круглий	rondte
круглий	sirkelvormige
оснащені	voldoende
знайомство	ontmoet
киргизстану	kirgisië
ніколя	nicolas
типова	tipiese
типова	typical
дракон	draak
дракон	dragon
звірі	beasts
звірі	diere
просив	gevra
ногу	stride
фінська	fins
уважно	sorgvuldig
сек	sekondes
сек	sekonde
сек	sekondes
сек	sek
колін	colin
пляж	strand
базова	base
базова	onderliggende
базова	basis
заплановано	geskeduleerde
заплановано	geskeduleer
заплановано	beplande
заплановано	beplan
перешкоди	hindernisse
яскраві	helder
кімнат	kamers
кімнат	rooms
кук	cook
кук	cooke
черги	queue
черги	tou
розрахунки	berekening
розрахунки	reken
розрахунки	berekenings
розрахунки	bewerkings
народами	tribes
канадська	kanadese
канадська	kanadees
інтернат	weeshuis
каное	canoe
ньюкасл	newcastle
домашня	domestic
домашня	huishoudelike
піт	pete
піт	piet
канцлер	chancellor
даллас	dallas
антоніна	reisplan
оболонка	tolk
оболонка	dop
оболонка	vel
розмовляють	praat
розмовляють	speak
мусить	moet
рекламу	advertensies
рекламу	reklame
кароль	karol
кароль	carole
дзвони	bells
ардеш	ardèche
телескопа	teleskoop
готова	herlaai
готова	gereed
скрипка	viool
складати	lig
перевели	oorgedra
бот	bot
бот	robot
ключа	token
тех	tech
мінімальна	minimum
мінімальна	minimum
мінімальна	minimale
боєць	fighter
викладати	teaching
есперанто	esperanto
пейдж	paige
пейдж	blad
пейдж	bladsy
юність	jeug
джеффрі	geoffrey
джеффрі	jeffrey
втрату	verlies
сонячний	sunny
сонячний	sonnige
сонячний	sonnig
сонячний	solar
протоколи	protokolle
виді	spesie
виді	spesies
гонок	races
ціла	heelgetal
ціла	hele
ціла	geheel
ціла	hele
єрусалим	jerusalem
приїхали	gearriveer
приїхали	aangekom
стамбулі	istanbul
стамбулі	istanboel
залізна	yster
бернард	bernard
ногами	voete
нормальний	normale
нормальний	normal
нормальний	normaal
відмінностей	verskille
вибачте	jammer
пацієнта	geduldig
пацієнта	patient
нестор	nestor
нестор	néstor
сера	sera
береза	berk
береза	birch
судан	soedan
картер	carter
ніка	nike
базар	bazaar
грам	gram
палаццо	palazzo
лілія	lelie
лілія	lily
водоростей	seewier
квартет	kwartet
гуго	hugo
гуго	hugh
піраміда	piramide
скарб	treasure
незначна	klein
грузинський	iberië
щелепи	jaws
саймон	simon
виходи	uitgaan
юстон	euston
кенії	kenia
кенії	kenya
ваза	vasa
ваза	vase
маска	masker
недолік	opgelos
зазначені	gespesifiseer
зазначені	spesifiseer
режими	modusse
прихильник	waaier
прихильник	aanhanger
прихильник	bewonderaar
морган	morgan
рівномірно	eweredig
бота	botha
маркс	marx
профспілки	unions
бельгійський	belgiese
зуміли	beheerde
імператорський	imperial
мігель	miguel
домінік	dominic
домінік	dominique
домінік	dominik
пабло	pablo
точна	akkurate
точна	akkuraat
точна	presiese
точна	presies
мобільного	selfoon
адамс	adams
стіну	muur
хірург	chirurg
безробіття	werkloosheid
аспектів	aspekte
демократія	demokrasie
зоряні	ster
зоряні	star
дакота	dakota
дакота	dak
аліса	alice
аліса	alissa
збережених	gestoor
збережених	geberg
тримали	behou
вантажівки	vragmotors
вантажівки	bakkies
вантажівки	trokke
пруссія	pruise
ост	ost
томмі	tommy
перекладено	vertaalde
інцидент	voorval
інцидент	insident
граматики	grammatika
граматики	grammar
ісаак	isaac
спартак	spartacus
спартак	spartak
брайан	brian
бренд	handelsmerk
продавати	verkoop
дієслова	werkwoorde
томпсон	thompson
комітетів	borde
дасть	gewillig
дасть	bereid
мей	mae
гарсія	garcia
гарсія	garcía
мір	mir
діяння	gesta
альбрехт	albrecht
декларація	verklaring
людство	humanity
людство	mensdom
конституційний	ingryping
конституційний	konstitusionele
конституційний	grondwetlike
аптека	farmasie
аптека	apteek
тадеуш	tadeusz
зло	boos
зло	bose
видатним	uitstaande
множення	maal
множення	vermenigvuldig
франциск	francis
сонячна	solar
