मोतीलाल	motilal
आदी	nghiện
आदी	ghiền
आजमगढ़	azamgarh
सेलुलर	cellular
बहरीन	bahrain
दीवानी	civil
पायदान	notch
पायदान	nấc
गाजर	carrot
उरुग्वे	uruguay
ओवल	oval
रेणु	renu
मैकबेथ	macbeth
ट्रिनिटी	trinity
हैट	mũ
हैट	xịt
हैट	nón
चाइल्ड	con
शीला	sheila
चमगादड़	bat
चमगादड़	dơi
प्रस्तावक	mover
ची	chi
ची	chè
मंचूरिया	manchuria
हूवर	hoover
मसौदा	nháp
हेयर	tóc
जुआन	juan
चन्दन	sandal
होप	mong
होप	xoa
स्काइप	skype
शस्त्रों	khí
कटक	cuttack
हस्ती	celebrity
हस्ती	nổi
कुम्भ	aquarius
प्राधिकार	bang
अशुभ	nhọ
अशुभ	xui
माइकल्स	michaels
युनुस	yunus
मोंटे	monte
तांबा	đồng
फली	pod
अंसारी	ansari
सलाम	salaam
सलाम	hòa
सलाम	salaam
क्वींसलैंड	queensland
टॉड	dau
टॉड	cóc
टॉड	todd
मरियम	mary
मरियम	mariam
मरियम	maryam
ओहियो	ohio
हंगल	hangal
उंगली	finger
पलक	mí
डब्ल्यूडब्ल्यूई	wwe
लिथुआनिया	litva
लिथुआनिया	lithuania
अल्पसंख्यकों	minorities
फ्लेमिंग	fleming
अधिवक्ता	advocate
गोरखनाथ	gurkha
यॉर्कशायर	yorkshire
कार्यशाला	xưởng
मैक्सवेल	maxwell
कॉर्न	ngô
कॉर्न	bắp
कॉर्न	lúa
बकिंघम	buckingham
मापक	ruler
मापक	thước
मापक	phóng
मनाली	manali
गैलापागोस	galápagos
यातना	doom
अनाथ	côi
अनाथ	orphan
अनाथ	côi
टूटी	gãy
टूटी	vỡ
टूटी	hỏng
टूटी	hư
जनसांख्यिकी	census
आमंत्रण	mời
आमंत्रण	mời
आमंत्रण	mời
जिम्बाब्वे	zimbabwe
वृद्धावस्था	aging
राजकोट	rajkot
आहत	đau
आहत	hại
आहत	thương
झेलम	jhelum
ऐश्वर्या	aishwarya
धूसर	gray
धूसर	xám
धूसर	xám
घाटा	mát
आतिथ्य	hiếu
पेंच	screw
शटल	shuttle
दरवाज़ा	cửa
लाहिड़ी	lahiri
नंद	nand
रडार	radar
रडार	rađa
पंक	bùn
पंक	punk
जूनागढ़	junagadh
चैट	chát
चैट	chat
अल्ताई	altai
क्रूरता	cruelty
कैम्पस	trượng
मिया	mia
गोंद	keo
एक्सबॉक्स	xbox
शियर्र	shearer
स्पॉट	spot
स्पॉट	điểm
फ्लोरेंस	florence
सुअर	lợn
सुअर	thối
सुअर	heo
सुअर	đẻ
गीली	trơn
गीली	vat
गीली	ướt
वर्षावन	rainforest
दलदल	marsh
कंबोडिया	campuchia
रेशमी	silky
गिरिजाघर	thờ
एफडीए	fda
एफडीए	slv
सिंहली	sinhala
नोवा	nova
अर्नेस्ट	ernest
क्रेग	craig
कुणाल	kunal
सिमुलेशन	mô
अधिकरण	tribunal
शीश	bực
बुकर	booker
विलिस	willis
विलिस	wills
डेनिश	danish
ओरेकल	oracle
एटलस	atlas
आर्सेनिक	arsenic
वेलेंटाइन	valentine
स्लाइड	slide
स्लाइड	slide
स्लाइड	trượt
मजा	fun
मजा	ké
मजा	vui
लुकास	lucas
सहस्र	kilo
वर्गाकार	đc
वर्गाकार	square
वर्गाकार	vuông
सचित्र	pictorial
दर्दनाक	đau
घुसपैठ	infiltration
नैना	naina
युक्तियाँ	tips
युक्तियाँ	mẹo
हतोत्साहित	nản
हतोत्साहित	discouraged
डबलिन	dublin
प्रस्तुतीकरण	pentagon
अर्जन	arjan
गौ	gau
फंक्शन	hàm
अंधकार	obscurity
केले	chuối
रैप	wrap
रैप	bọc
रैप	quấn
रैप	warp
रैप	rap
रैप	rap
कोणार्क	konark
वियतनामी	vietnamese
तेहरान	tehran
सॉस	ngao
सॉस	sốt
फॉरेस्ट	forrest
रोहतक	rohtak
बाइट	byte
बाइट	byte
बाइट	bytes
मिल्स	mills
थोडा	kinda
रोजर्स	rodgers
रोजर्स	rogers
क्यूबेक	quebec
जलाल	jalal
चुपके	stealth
चुपके	lẻn
चुपके	lén
चुपके	sneak
वैक्सीन	vaccine
इलियट	elliot
जिया	kiêng
रीवा	rewa
पन्द्रह	fifteen
गुड़गांव	gurgaon
ट्रंक	cốp
ट्रंक	rương
अख़बार	báo
रत्नों	gems
धर्मशाला	hospice
धर्मशाला	dharamsala
मुआवजा	bù
आर्मस्ट्रांग	armstrong
खासियत	usp
संघनन	condensation
देशभक्त	patriots
जगाने	awaken
क्लाइव	clive
ज़िम्बाब्वे	zimbabwe
काहिरा	cairo
अमोनियम	amoni
बलोच	baloch
आर्सेनल	arsenal
मज़ाक	joke
मज़ाक	đùa
मज़ाक	đểu
ज्योतिर्लिंग	jyoti
मिनोग	minogue
कोडेक	codec
नाइट्रिक	nitric
नाजी	nazi
विक्टोरियन	victorian
कॉम्पैक्ट	compact
कॉम्पैक्ट	nén
कॉम्पैक्ट	gọn
जागृति	awakening
रॉयटर्स	reuters
नासिर	nasir
कबूतर	dua
कबूतर	pigeon
कबूतर	patagioenas
क्लिंटन	clinton
असित	asit
बाबाजी	babaji
दलील	plea
किस्मत	kismet
मेघ	sky
मेघ	mây
मेघ	cloud
बेकेट	becket
एरिक्सन	erickson
फी	fee
फी	phí
नाज़िल	revealed
नाज़िल	lộ
कूच	march
गोपी	gopi
तवी	twee
उत्पात	gog
इकबाल	iqbal
बूट	boot
बूट	giày
बूट	bốt
बूट	ủng
बूट	boots
ऐलिस	alice
हर्षवर्धन	harsha
मोर्स	morse
इन्फ्लूएंजा	cúm
आदिल	adil
अंगुली	finger
औज़ार	cụ
औज़ार	moles
औज़ार	mol
कम्बोडिया	campuchia
नाली	drain
नाली	groove
ट्रैक्टर	tractor
कारीगर	artisan
स्ट्राइकर	striker
पो	poe
पलामू	palamu
बीटल्स	beatles
भावनाएं	emo
नीहारिका	nebula
उदास	buồn
मेष	aries
गोयल	goyal
हॉक	hawk
बट	butt
बट	giò
बट	mông
बट	đít
एकवचन	singular
समुद्रतट	biển
समुद्रतट	beach
समुद्रतट	marine
वारेन	warren
औरंगज़ेब	aurangzeb
कलंक	stigma
पतंग	diều
अभ्रक	mica
महुआ	mahua
वर्धा	wardha
राष्ट्रकूट	rashtrakuta
खीर	pudding
काजल	kajal
लाठी	rod
लाठी	blackjack
बेलारूस	belarus
पेस	paes
निशा	nisha
ओमेगा	omega
लीक	lens
लीक	leak
इलिनोइस	illinois
नेम	nem
कासिम	kasim
कासिम	qasim
बूढ़े	oldies
रिहाना	rihanna
मस्ती	fun
मस्ती	ké
मस्ती	vui
तितली	butterfly
तितली	bướm
ऊँट	camel
फ्लोरा	flora
कपोन	capone
माओ	mậu
माओ	mao
अथक	truy
ग्रास	cỏ
बक्से	hộp
एडवर्ड्स	edwards
लेह	leh
वेट	trơn
वेट	vat
वेट	ướt
चिकना	mịn
चिकना	mượt
चिकना	ẩm
लिंच	lynch
सीतापुर	sitapur
सुस्पष्ट	dâm
लोमड़ी	fox
लोमड़ी	cáo
स्कीम	scheme
रूसो	rousseau
ख़लीफ़ा	khalip
विस्टा	vista
विलंब	hoãn
विलंब	delay
पिथौरागढ़	pithoragarh
प्लेटिनम	platinum
कटा	xắt
कटा	chặt
कौशी	cauchy
मार्कस	marcus
दन्त	nha
हिलेरी	hillary
हिलेरी	hilary
हिलेरी	hilary
स्वयंसेवकों	swat
हर्बर्ट	herbert
पीटरसन	peterson
जीएसएम	gsm
अपार्टमेंट	hộ
अपार्टमेंट	apt
पुट	anticipation
प्रोटॉन	proton
मो	moe
उल्लेखित	liễu
उल्लेखित	chất
बोरिस	boris
ट्रेलर	trailer
शेख़	sheikh
अन्नपूर्णा	annapurna
आउटसोर्सिंग	outsourcing
तारक	star
मुट्ठी	bó
व्यवधान	ngắt
शॉ	shaw
पढ़ाने	dạy
आयत	verse
अप्सरा	apsara
वेबर	weber
रॉसी	rossi
मुल्क	mulk
अर्थशास्त्रियों	economists
मनोदशा	mood
फिश	cá
टंकण	gõ
पोलो	polo
तैरने	bơi
जीवाश्मों	fossils
मंडेला	mandela
हुगली	hooghly
दायरा	tầm
करीम	karim
कालका	kalka
क्लीनर	cleaner
वॉचमेन	watchmen
वनवास	exile
पारद	mercury
कॉपर	đồng
क्लिनिक	clinic
फैराडे	faraday
स्थिरांक	hằng
स्थिरांक	constant
स्थिरांक	hằng
जानें	ngộ
जानें	học
मरीन	marine
फ्रैंकनस्टाइन	frankenstein
सेकेण्ड	giây
विनचेस्टर	winchester
डिपो	depot
मोना	mona
भिवानी	bhiwani
सालगिरह	khắc
वॉरेन	warren
सीआईए	cia
सीआईए	cla
कोइराला	koirala
ब्लेयर	blair
पाल्पा	palpa
विवर्तन	diffraction
लंगर	neo
लंगर	anchor
जोसफ	giuse
जोसफ	joseph
कैच	bắt
न्यूरॉन्स	neurons
कैम्पबेल	campbell
चमड़ा	da
वैनिला	vani
वैनिला	sấm
वैनिला	vanilla
हार्पर	harper
दून	doon
ब्रश	lĩnh
ब्रश	chổi
पेजरैंक	pagerank
मैडम	madam
मैडम	phu
डायरेक्ट	direct
डायरेक्ट	trực
शब्दकोष	điển
डिश	dish
डिश	món
कीटोन	ketone
इंटरकांटिनेंटल	intercontinental
मिलें	meet
मिलें	gặp
वायुमण्डल	atmosphere
चम्पा	champa
वालेस	wallace
सीज़र	ceasar
सीज़र	caesar
गुयाना	guyana
रिश्वत	hối
फ़ाइलें	tệp
पब	pub
चिंग	ching
कांगड़ा	kangra
दोगुना	double
दोगुना	đôi
ब्रॉड	rộng
रेखाएं	lines
रेखाएं	dòng
स्कोडा	skoda
स्कोडा	škoda
जिंक	kẽm
जिंक	sink
जिंक	zinc
जिंक	zink
मीडियाविकि	mediawiki
शराबी	fluffy
शराबी	say
शराबी	xỉn
शराबी	drunk
लातीनी	latino
ख़तरा	liều
ख़तरा	ro
ख़तरा	nguy
अटूट	unbreakable
चील	eagle
चील	bàng
फकीर	fakir
रेणुका	renuka
हाफ	nửa
कोस्टा	costa
आदम	adam
एडिसन	edison
शुंग	shunga
कार्तिकेय	murugan
भाभा	bhabha
घुमाव	xoay
घुमाव	quay
लकडी	gỗ
लकडी	củi
समस्तीपुर	samastipur
सोमालिया	đặc
सोमालिया	somalia
सोमालिया	somali
शिवरात्रि	shiva
सेहत	khỏe
ब्रह्मगुप्त	brahmagupta
दलदली	bogey
गर्त	rãnh
इत्र	perfume
गाती	hót
मित्तल	mittal
त्रि	tri
वहीँ	kia
वहीँ	đó
नर्सिंग	nursing
चित्तौड़	chittaurgarh
डोगरी	dogri
दलाई	dalai
स्पाइडर	nhện
स्पाइडर	spider
हल्क	hulk
नानी	nani
अतुल	atul
बहनें	ruột
अंदाज़	style
हवलदार	hav
जेरार्ड	gerard
लुधियाना	ludhiana
इब्राहीम	ibrahim
येन	yen
सैक्सन	saxon
जोवी	jovi
राक्षसों	quỷ
साम	sama
जीना	sống
जीना	living
जीना	gina
कामदेव	cupid
निर्मला	nirmala
दलितों	dalit
लोहान	lohan
बटलर	butler
हंट	hunt
हंट	săn
कनिष्क	kanishka
शेक	lắc
शेक	rung
ग्रेग	greg
वेक्टर	vector
फीड	feed
बगदाद	baghdad
बगदाद	bagdad
बीवी	vợ
बीवी	vơ
बीवी	vk
यार्ड	yard
यार्ड	sân
यार्ड	tun
एमा	emma
उजाला	darkness
कार्यवाहक	caretaker
सिरका	giấm
सिरका	dấm
बोर	chán
गेटवे	cổng
गेटवे	gateway
मंशा	intentions
मिलाप	cohesion
नवादा	nawada
अलविदा	bye
जलयान	tàu
जलयान	ship
लौंग	clove
हरिहर	harihara
लहसुन	tỏi
रैपर	rapper
आउटलुक	outlook
रिचर्ड्स	richards
बेची	bán
नवीं	đoàn
फर	feb
फर	lông
स्कॉच	scotch
पंजे	ngứa
पंजे	paws
कोसी	kosi
शावक	cubs
शावक	cub
जुड	jud
चैंबर	vẹn
पुनर्मिलन	reunion
भयावह	macabre
अगस्त्य	agastya
लक्षद्वीप	lakshadweep
मुहर	seal
चम्बल	chambal
बाड़मेर	barmer
इंटेलिजेंस	pet
आंधी	tornado
आंधी	bão
आंधी	typhoon
आंधी	giông
आंधी	bão
कीनिया	kenya
ललितपुर	lalitpur
कोलोराडो	colorado
गे	gay
बेर	ber
बन्दर	khỉ
ठाणे	thane
करनाल	karnal
कीमतें	giá
गिलास	cốc
गिलास	kính
गिलास	ly
वाह	chà
वाह	wow
वाह	oi
वाह	whoa
चश्मा	kính
शिथिलता	slack
एडविन	edwin
जिनेवा	geneve
बैंकर	ngân
बैंकर	bank
पन्त	pant
वेल	vale
जेलीफ़िश	sứa
अंगुल	anugul
बल्ब	lamp
बल्ब	đèn
कोल्हापुर	kolhapur
यूँ	doãn
यूँ	yun
काया	kaya
बोलिविया	bolivia
परिधीय	peripheral
फुटेज	footage
लोलक	lắc
लोलक	pendulum
नीबू	chanh
अरे	nè
अरे	hi
अरे	này
अरे	hey
युसुफ	youssef
गैलन	lít
गैलन	gallon
चंदा	chanda
गोलियां	thuốc
कोकीन	cocaine
कोकीन	buôn
कोकीन	cocain
मुसीबत	rối
राल्फ	ralf
वेव	sóng
वेव	wave
हनी	thuế
महोबा	mahoba
तालुक	taluka
लाओ	mang
लाओ	lào
लाओ	lao
क्रूज	cruise
हजारीबाग	hazaribag
स्विमिंग	bơi
त्रिपिटक	tripitaka
केबिन	khoang
केबिन	chòi
केबिन	cabin
पारस	paras
फ्लोराइड	florua
फ्लोराइड	fluoride
जेनेवा	geneve
संक्रांति	chí
कैनवास	canvas
सीकरी	sikri
रोमियो	romeo
देवा	dewa
देवा	deva
हबल	hubble
बागवानी	horticulture
कुकी	cookies
कुकी	cookie
कुकी	cookie
स्काउट	scout
स्काउट	scouts
जिंदा	sống
जिंदा	live
जिंदा	alive
दाढ़ी	râu
दाढ़ी	beard
जेब	giỏ
जेब	túi
जेब	pocket
मानवतावाद	humanism
छतों	mái
छतों	tèo
छतों	trần
तिरुवनंतपुरम	thiruvananthapuram
ग्रीनलैंड	greenland
रेमंड	raymond
शेली	shelley
एयरवेज़	airbus
एयरवेज़	airways
फू	foo
काक	kak
वतन	watan
तत्र	tatra
उन्नाव	unnao
बिट्स	bit
स्प्रे	phun
लिन	lin
लिन	lâm
देवेन्द्र	devendra
एमबीए	mba
निष्कर्षण	trekking
कुचल	vỡ
कुचल	rụi
हॉलैंड	holland
एलियट	eliot
एलियट	elliot
काटना	chop
काटना	bửa
काटना	bit
काटना	đớp
काटना	táp
काटना	cắn
विश्वासघात	phản
विश्वासघात	bội
विश्वासघात	betrayal
पास्कल	pascal
अनाम	anonymous
साल्वाडोर	salvador
कार्लिन	carlin
शिलांग	shillong
चित्रा	chitra
लेकर्स	lakers
नट	nut
नट	nứt
मेडागास्कर	madagascar
यूजीन	eugene
जनकपुर	janakpur
पत्नियों	vợ
कैप्शन	caption
कुतुब	qutb
मध्याह्न	meridian
सममित	symmetrical
सीपीयू	cpu
बोन	bon
बोन	xương
बोन	bone
मुर्गी	gà
मुर्गी	gà
तस्मानिया	brisbane
तस्मानिया	tasmania
ब्लास्ट	blast
ब्लास्ट	nổ
हिदायत	hidayat
सांग	sanga
महिंद्रा	mahindra
पग	pug
गलतियाँ	lỗi
डंकन	duncan
प्लूटोनियम	plutoni
प्लूटोनियम	plutonium
हेपरिन	heparin
गदा	tủ
गदा	cay
गदा	mace
न्यूरॉन	neuron
गंडक	gandaki
नॉकआउट	knockout
भरमार	glut
उन्माद	mania
बैंको	banks
बैंको	ngân
बैंको	bank
रवीन्द्रनाथ	tagore
स्टंट	stunt
जलालुद्दीन	jalaluddin
डेन	dane
डेन	böll
डेन	chử
डेन	den
मास्क	nạ
मास्क	mask
टोकरी	giỏ
टोकरी	rổ
राइन	rhine
राइन	rhein
पैगम्बर	tri
ह्यूगो	hugo
रेशा	lụa
रेशा	fiber
रेशा	sợi
चेकोस्लोवाकिया	czechoslovakia
कैरोल	carol
जेनेटिक	di
पांडव	pandava
रश	rush
डील	thuận
पोरबंदर	porbandar
फरीदाबाद	faridabad
टूना	tuna
जीपीएस	gps
अग्न्याशय	tụy
विली	willy
विली	willie
संतति	con
चाची	dì
सीसी	sisi
ग्वाटेमाला	guatemala
ग्वाटेमाला	gua
ऑप्टिक	optic
फ़ील्ड	field
फ़ील्ड	trường
फ़ील्ड	fields
फ़ील्ड	trường
लैपटॉप	laptop
कैटलन	catalan
तातार	tatar
कोबाल्ट	coban
कोबाल्ट	cobalt
प्रत्याशा	expectancy
जैकमैन	jackman
जीडीपी	gdp
मेगा	mega
डेमलर	daimler
बैटल	battle
बैटल	trận
डोर	dor
भेड़िया	soi
भेड़िया	wolf
भेड़िया	sói
इलायची	cardamom
एस्कोबार	escobar
इरविन	irwin
मसालेदार	cay
ग्रीनविच	greenwich
बदनाम	notorious
शक्कर	đường
शक्कर	sugar
सुकरात	socrates
बिक्रम	bikram
वरना	kẻo
क्लिप	clip
हैं,	là,
पारदर्शिता	alpha
पारदर्शिता	alfa
आडवाणी	advani
सिमोन	simone
रफ़ी	rafi
अव्यक्त	ngầm
उन्नीस	nineteen
कोल्लम	kollam
नीना	nina
थाइलैंड	thailand
बेक	beck
बेक	nướng
सौजन्य	courtesy
दक्षिणा	dakshina
अनार	lựu
पहिये	hoành
विस्कॉन्सिन	wisconsin
नेपियर	napier
मान्छु	manchu
प्राइम	prime
रशीद	rasheed
रशीद	rachid
रशीद	rashid
कटरा	katra
यूरोपा	europa
फाल्के	falke
झींगा	tôm
ट्रेल	trail
दरवाजों	cửa
क़यामत	resurrection
यमराज	yama
मेस्सी	messi
सुजाता	sujata
वक्रता	cong
माही	mahi
दुश्मनी	anime
परागण	pollination
इस्माइल	ismael
सादा	plain
बुलेटिन	bulletin
रिया	rhea
रिया	ria
ताओ	tao
ताओ	đào
धर	dhar
सेकण्ड	giây
सेकण्ड	giây
कैसीनो	casino
सोलोमन	salomon
सोलोमन	solomon
लेटर	chữ
लेटर	thư
गिनीज	guinness
कोबरा	cobra
ड्रग्स	vải
कैंडी	kandy
कैंडी	kẹo
कैंडी	candy
फ़ीड	feed
बिखर	trôi
अवस्थी	awasthi
हैरिसन	harrison
हंटर	hunter
भात	bhat
कोलंबो	colombo
रजा	raza
अर्क	sap
लिंडा	linda
अंधा	mù
विज़ुअल	visual
नीत्शे	nietzsche
बूंद	giọt
बूंद	bỏ
बूंद	thả
बख्शी	bakshi
मेहराब	arch
मेहराब	vòm
कोयल	cu
व्युत्क्रम	inverse
अंकुर	seedling
स्टालिन	stalin
कुल्लू	kullu
फेंग	phong
फेंग	phùng
आला	ala
मेसन	mason
गांठ	gút
गांठ	knot
सुनहरी	vầng
सुनहरी	golden
सुनहरी	đỏi
मूँगफली	peanut
उज्ज्वल	sáng
उज्ज्वल	mẻ
करम	karam
बगीचा	vườn
बगीचा	garden
बुलंद	lofty
पाशा	pasha
सु	sudoku
यूसुफ	giuse
यूसुफ	joseph
यूसुफ	yousaf
यूसुफ	yusuf
दैवीय	oracle
बैठना	ngồi
अनुमत	phép
एंजाइमों	enzymes
चू	chu
मित्रा	mitra
दीना	dina
गांधार	gandhara
हिप्पी	hippie
चने	chaney
क्राई	khốc
क्राई	cry
क्राई	khóc
जंतर	bùa
जंतर	jantar
मीटिंग	họp
हॉर्स	ngựa
जोड़ें	add
जोड़ें	thêm
जोहान	johan
फ़िरोज़	feroze
जूलियस	julius
टीना	tina
केरी	kerry
घोंसला	nest
घोंसला	tổ
अंजना	anjana
स्पैम	spam
पल्स	pulsar
पल्स	nhịp
पल्स	mạch
सिरोही	sirohi
डेल्फी	delphi
टिम्बरलेक	timberlake
गोलियाँ	phát
एरिज़ोना	arizona
हस्ताक्षरित	ký
हैरान	sốc
लांच	launch
लांच	phóng
ब्राउनिंग	browning
लू	loo
लू	lou
सरिता	sarita
निर्बल	yếu
निर्बल	nhược
महिलायें	womens
कू	koo
स्लोवाकिया	slovakia
मुन्ना	munna
छे	che
ताला	khoá
ताला	khóa
हैप्पी	phúc
हैप्पी	vui
गिरे	ngã
मण्डप	pavilion
पिछड़ा	ngược
विशाखापट्टनम	visakhapatnam
यूं	doãn
यूं	yun
सीरियाई	syria
सीरियाई	syria
सीरियाई	syrian
जामुन	berries
जामुन	dâu
हुबली	hubli
झोऊ	chu
टर्मिनेटर	terminator
मिथकों	myths
गोबिंद	gobind
सिने	cine
लातिन	latin
मिग	mikoyan
मलाया	malaya
उस्मान	usman
उस्मान	osman
पिट्सबर्ग	pittsburgh
हास	haas
हास	has
हनन	hanan
हनन	hannan
राजगीर	rajgir
काठियावाड़	kathiawar
फ़ार्म	farm
बोल्ड	đậm
बोल्ड	bold
सेर	ser
विदर्भ	vidarbha
दवाई	thuốc
हेराल्ड	herald
धन्य	phước
एंथनी	anthony
कुसुम	kusum
टिमोथी	timothy
मजूमदार	majumdar
गुमनाम	anonymous
