から	no
グループ	grupas
グループ	grupām
グループ	grupas
英語	angļu
女性	sieviete
女性	sievieti
女性	sieviete
女性	sievietes
女性	sieviešu
女性	sievietes
地区	rajons
地区	apgabals
獲得	pelnīt
獲得	pelna
獲得	nopelnīt
獲得	nopelna
得点	score
コメント	komentārs
コメント	komentēt
コメント	komentē
コメント	komentēja
コメント	piezīmes
コメント	komentāri
コメント	apsvērumi
コメント	atsauksmes
漫画	komiksus
漫画	manga
他の	citas
他の	citi
他の	pārējie
自身	pati
就任	pieņēmums
販売	pārdošanas
販売	pārdošana
販売	noiets
販売	pārdošana
攻撃	uzbrukumiem
攻撃	uzbrukumi
攻撃	uzbrukumos
攻撃	uzbrukums
攻撃	uzbrukumu
攻撃	uzbrukt
攻撃	uzbrukumā
リー	lī
議員	senators
デビュー	pirmizrādi
協会	apvienība
協会	biedrība
協会	asociācija
路線	maršruti
路線	ceļi
路線	maršrutus
フジ	fuji
自分	pats
戦争	karu
戦争	karš
戦争	kara
戦争	karā
戦争	kariem
戦争	kari
製作	ražošana
製作	produkcija
部分	daļa
番号	numuru
番号	numurs
番号	skaitlis
番号	skaits
当初	sākumā
当初	sākotnēji
最初	pirmais
最初	pirmā
最初	pirmās
最初	pirmie
最初	pirma
最初	vispirms
受賞	apbalvošana
受賞	balva
受賞	balvas
受賞	apbalvošana
受賞	balva
受賞	piešķiršana
受賞	piešķiršanas
期間	ilgums
期間	laikposms
期間	periods
広島	hirosimas
場所	vieta
場所	vieta
場所	novietojums
場所	vietām
場所	vietas
技術	tehnoloģija
技術	tehnoloģiju
技術	tehnoloģijas
リンク	saikne
リンク	saite
リンク	saites
リンク	links
合併	apvienošana
合併	apvienošanās
合併	apvienošanas
合併	apvienošana
合併	apvienošanās
合併	apvienošanos
道路	ceļi
道路	autoceļš
道路	ceļš
特定	specifiskas
特定	īpašie
特定	precizēts
特定	norādītā
特定	norādīts
朝日	asahi
意味	nozīme
意味	jēga
システム	sistēmu
システム	sistēma
システム	sistēmas
システム	sistēmas
モデル	modeļus
モデル	modeļi
モデル	paraugi
モデル	modeles
モデル	modelis
モデル	model
モデル	modele
モデル	paraugs
対応	sarakste
対応	sarakstes
列車	vilciena
列車	vilciens
列車	vilcienu
列車	vilcieni
列車	vilcienus
建設	celtniecība
建設	būve
建設	uzbūve
建設	būvniecība
建設	konstrukcija
とき	kad
最後	pēdējo
最後	pēdējais
最後	pēdējā
最後	pēdējās
最後	pēdējoreiz
科学	zinātnes
科学	zinātne
理由	iemesli
理由	pamatojums
理由	iemesls
そして	un
一つ	viens
一つ	viena
一つ	vienu
最高	labākie
最高	vislabāk
最高	labākās
最高	labākais
ブロック	blokiem
ブロック	blokus
ブロック	bloki
ブロック	bloku
ブロック	blokam
ブロック	bloka
ブロック	bloks
ブロック	bloķēt
車両	transportlīdzekļi
車両	transportlīdzeklis
自動車	auto
自動車	automašīna
自動車	automobilis
自動車	mašīna
人口	populācijas
人口	populācija
人口	iedzīvotāji
特に	īpaši
特に	īpaši
営業	bizness
営業	uzņēmējdarbība
発生	sastopamība
発生	sastopamību
新聞	laikraksts
新聞	avīze
新聞	laikraksta
新聞	avīzē
新聞	avīzes
新聞	laikraksti
連続	nepārtrauktība
連続	nepārtrauktību
連続	nepārtrauktības
連続	nepārtrauktu
連続	nepārtraukts
連続	nepārtrauktā
連続	nepārtraukti
政府	valdība
政府	valdības
構成	konfigurācija
構成	sastāvs
構成	struktūra
構成	uzbūve
構成	konfigurācijas
構成	sastāvi
最大	maksimālais
最大	maksimums
最大	maksimālā
最大	maksimāli
最大	lielākais
最大	lielākā
キャラクター	rakstzīme
キャラクター	raksturu
キャラクター	raksturs
キャラクター	rakstzīmes
キャラクター	zīmes
小説	romāns
小説	romānos
それぞれ	katrs
それぞれ	katru
それぞれ	katra
機関	orgānus
機関	orgānu
機関	orgāni
機関	iestāde
機関	institūcija
機関	institūcijas
機関	iestādes
参照	atsauces
参照	atsauce
参照	rekomendācijas
参照	atsauces
メンバー	deputāts
メンバー	loceklis
メンバー	biedrs
メンバー	locekļi
メンバー	dalībnieki
メンバー	deputāti
メンバー	biedri
発行	izdota
発行	izsniegta
発行	izdots
発行	izsniegts
発行	izdošana
発行	emitēt
発行	izdot
画像	attēli
画像	attēlus
画像	attēls
画像	bildē
画像	bilde
画像	bildei
画像	attēla
画像	attēls
画像	attēlu
画像	ilustratīvs
状態	valsts
状態	štats
状態	nosacījums
状態	stāvoklis
名称	vārds
名称	nosaukums
名称	nosaukumi
名称	vārdi
ダム	dam
ダム	dambis
ダム	aizsprostam
ホーム	mājās
ホーム	home
ホーム	mājas
ホーム	majas
運行	darbība
運行	operācija
運行	ekspluatācija
投稿	amats
投稿	pasts
投稿	post
投稿	amati
投稿	ieraksti
投稿	amatu
名前	vārds
名前	nosaukums
名前	nosaukumi
名前	vārdi
福岡	fukuoka
施設	iestāde
施設	institūcija
調査	aptaujas
調査	izmeklēšana
調査	izmeklēšanā
調査	apskate
調査	aptauja
製造	ražoti
製造	izgatavota
製造	izgatavots
製造	izgatavo
製造	ražots
イタリア	itālija
ロシア	krievu
ロシア	krieviski
ロシア	krievs
ロシア	krievijas
ロシア	krievija
独立	neatkarīgais
独立	neatkarīgi
独立	neatkarīga
独立	neatkarīgs
独立	neatkarīgas
独立	neatkarība
物語	stāsts
物語	stāstījuma
神社	svētnīcu
企画	plānošana
企画	plānošanas
サン	san
通常	parasti
通常	parasti
企業	uzņēmums
企業	uzņēmējdarbība
航空	aviācija
航空	gaiss
スーパー	super
帝国	impērija
トン	tonnu
トン	tonna
トン	tonnas
トン	tonnas
トン	tonnu
トン	tonnas
影響	ietekme
勝利	uzvaras
勝利	win
勝利	laimē
勝利	uzvarēt
勝利	uzvar
勝利	uzvaras
勝利	uzvarēs
勝利	uzvara
勝利	uzvaras
勝利	uzvara
勝利	uzvaras
勝利	uzvaru
デザイン	dizaina
デザイン	dizains
デザイン	projektēšana
デザイン	konstrukcija
デザイン	projektējot
デザイン	izstrādājot
全て	viss
全て	visam
全て	visu
本社	mītnes
本社	mītne
人間	cilvēks
人間	cilvēka
人間	cilvēku
アン	anne
アン	anna
アン	ang
アン	anna
交通	satiksme
交通	satiksmes
交通	transportēšana
交通	transports
交通	pārvadāšana
交通	pārvadājumi
交通	transports
交通	transportēšana
交通	pārvadāšana
組織	organizācija
組織	organizācija
構造	konstrukcijas
構造	struktūras
構造	struktūra
構造	uzbūve
戦い	kaujā
戦い	kauja
戦い	cīņa
戦い	kaujas
実施	īstenošana
実施	ieviešana
ここ	šeit
ここ	te
以前	bij
以前	pirms
サービス	dienesti
サービス	pakalpojumi
サービス	serviss
サービス	apkalpošana
サービス	pakalpojumu
サービス	dienests
サービス	pakalpojums
統合	konsolidēt
統合	integrētu
統合	integrētas
統合	integrēta
統合	integrētā
統合	integrēts
統合	integrēti
統合	apvienojas
統合	apvienot
統合	apvienoties
統合	integrēšana
統合	integrācija
テーマ	tēmas
テーマ	tēma
面積	teritorija
面積	platība
面積	apgabals
面積	laukums
エンジン	dzinējs
エンジン	motors
エンジン	motora
エンジン	motoriem
エンジン	dzinējiem
エンジン	motori
エンジン	dzinēji
ビル	rēķinu
ビル	bils
日本語	japānas
日本語	japāņu
契約	līgumi
契約	līgums
契約	līguma
設定	iestatījumi
設定	preferences
設定	atvieglojumi
設定	iestatījumi
設定	uzstādījumi
設定	konfigurācija
設定	konfigurēt
ライブ	dzīvas
ライブ	dzīvot
ライブ	dzīvi
ライブ	dzīvo
ライブ	live
ライブ	tiešraide
含む	satur
含む	ietilpst
含む	ietver
含む	tostarp
含む	ieskaitot
専門	specializētas
専門	specializēta
専門	specializēti
機能	amats
機能	funkcija
機能	pazīmes
機能	iezīmes
機能	motīvs
機能	īpašība
機能	funkcionalitātes
機能	funkcionalitāte
身長	augumu
身長	augums
身長	augstums
所在地	vietas
所在地	vieta
所在地	novietojums
完成	pabeigšana
完成	pabeigšanas
表記	pieraksts
表記	pieraksta
運転	braukšanas
運転	braukšana
運転	vadīšana
写真	photo
写真	foto
写真	fotogrāfijā
写真	photography
写真	fotogrāfija
写真	fotogrāfiju
写真	fotogrāfija
写真	attēls
写真	bildē
写真	bilde
写真	bildei
関連	attiecīgais
関連	saistīts
書店	grāmatnīcā
高い	augstā
高い	augstu
高い	augsts
高い	augsta
高い	garš
高い	dārga
高い	dārgi
高い	dārgas
高い	dārgs
生産	ražošana
生産	produkcija
横浜	yokohama
上の	virs
上の	augstāk
宇宙	visums
管理	pārvaldība
管理	apsaimniekošana
管理	vadība
管理	pārvaldības
管理	pārvalda
管理	pārvaldīt
バー	stieņi
バー	bāri
バー	bar
バー	bārs
バー	stienis
ジョン	džons
部隊	karaspēka
公園	park
公園	parkā
公園	parka
公園	parks
公園	parkos
公園	parki
スポーツ	sport
スポーツ	sporta
スポーツ	sports
スポーツ	sporta
スポーツ	sports
脚本	skriptu
脚本	skripts
目的	mērķi
目的	mērķi
目的	nolūks
目的	mērķis
目的	mērķis
生活	life
生活	dzīve
生活	dzīvi
生活	dzīvība
カード	kārtis
カード	kartes
カード	kartītes
基本	pamati
基本	pamati
基本	pamata
新潟	niigata
女優	aktrises
女優	aktrise
不明	nezināma
不明	nezināms
タイトル	virsraksti
タイトル	virsraksts
タイトル	tituls
政治	politika
政治	politikā
電気	elektroenerģija
電気	elektrība
電気	elektriskais
電気	elektriskās
電気	elektriskie
電気	elektriskā
電気	elektrisko
警察	policija
警察	policijā
警察	policiju
警察	policijas
作成	izveidot
作成	radīt
作成	veidot
作成	izveidošanas
作成	izveide
作成	izveidošana
作成	radīšana
作成	radīta
作成	radīts
作成	izveidots
作成	radīti
作成	izveidota
ガン	ierocis
ガン	ieroci
予定	plānota
予定	plānots
予定	plānotie
予定	plānotais
予定	plānota
予定	plānoto
予定	plānots
予定	plānotie
予定	plānotās
スター	star
スター	zvaigzne
経営	pārvaldība
経営	apsaimniekošana
経営	vadība
経営	pārvaldības
自由	brīvība
自由	brīvības
自由	brīvība
自由	bezmaksas
自由	brīva
自由	free
自由	brīvs
自由	brīvības
過去	pagātni
過去	pagātnes
過去	pagātne
陸軍	armijas
陸軍	armija
運営	darbība
運営	operācija
運営	ekspluatācija
表示	skats
表示	apskatīt
社長	prezidents
社長	priekšsēdētāja
社長	priekšsēdētājs
社長	priekšsēdētāji
社長	prezidenti
団体	organizācijas
団体	organizācija
工業	rūpnieciskais
工業	rūpniecības
工業	rūpnieciskie
工業	rūpnieciska
通り	iela
外部	ārējais
外部	ārējs
外部	ārējā
通信	sarakste
通信	sarakstes
通信	komunikācija
通信	paziņojums
通信	saziņa
通信	komunikācijas
通信	komunikācija
通信	sakari
通信	paziņojumi
通信	saziņa
通信	komunikāciju
通信	komunikācijas
俳優	dalībnieki
俳優	aktieri
俳優	aktrise
俳優	aktieris
スペシャル	īpaša
スペシャル	īpašais
スペシャル	īpašs
スペシャル	īpašā
スペシャル	īpaši
少年	zēns
少年	puika
病院	slimnīcā
病院	slimnīca
病院	slimnīcas
病院	slimnīcās
病院	slimnīcām
結婚	laulība
結婚	laulībā
結婚	laulību
結婚	laulības
結婚	laulības
個人	personiska
個人	personīgie
個人	personīgais
個人	personīgā
個人	personīga
個人	individuāla
個人	individuālā
個人	individuāli
個人	indivīdi
個人	privātpersonas
区間	intervālā
区間	intervāls
銀行	banka
研究所	institūts
研究所	institūtā
主に	galvenokārt
主に	galvenokārt
彼女	viņa
彼女	vina
ニュース	jaunumi
ニュース	ziņas
その他	pārējie
その他	citi
その他	cits
その他	citādi
その他	citas
その他	citas
その他	citi
その他	pārējie
ソフト	mīksto
ソフト	mīksti
ソフト	maiga
ソフト	mīkstie
ソフト	mīksta
ソフト	mīksts
文学	literatūra
文学	literatūrā
文学	literatūras
能力	spēja
能力	spēju
なし	nav
なし	neviena
なし	bez
学者	zinātnieki
国内	iekšzemes
空港	lidosta
空港	lidostā
空港	lidostas
空港	lidostas
高速	ātri
高速	ātra
高速	ātrs
高速	strauji
高速	fast
言語	valodas
言語	valoda
設計	dizaina
設計	dizains
設計	projektēšana
設計	konstrukcija
韓国	koreja
韓国	korejā
韓国	korejas
リリース	atlaist
リリース	atbrīvot
リリース	izlaišana
リリース	atbrīvošana
リリース	izdala
ベスト	vestes
ベスト	veste
ベスト	vesti
ベスト	labākie
ベスト	vislabāk
ベスト	labākās
ベスト	labākais
現代	mūsdienu
会議	konference
会議	konferencē
会議	sanāksmju
会議	sanāksmes
会議	tikšanās
会議	sanāksmēs
会議	sēdes
会議	sanāksme
会議	satikšanās
会議	sapulce
会議	tikšanās
バンド	josla
バンド	joslas
バンド	joslas
追加	pievienot
追加	piebilst
成功	veiksmīga
成功	sekmīga
成功	veiksmīgs
成功	veiksmīgu
成功	veiksmīgi
成功	veiksme
成功	veiksmes
成功	panākumi
成功	veiksmīgi
成功	panākumus
成功	veiksmīga
移動	pārvietot
移動	gājiens
移動	pārvietoties
移動	pārvietojas
オリンピック	olimpiāde
国民	nacionālais
国民	nācija
国民	tauta
ファン	fani
ファン	faniem
ファン	līdzjutējiem
ファン	ventilatori
ファン	ventilatora
ファン	fans
ファン	fanu
ファン	ventilators
すべて	viss
すべて	visam
すべて	visu
すべて	visiem
すべて	visu
すべて	visas
すべて	visi
すべて	visa
山口	jamaguči
運動	vingrinājumi
運動	kustība
運動	kustību
環境	vide
発足	atklāšanā
大きな	liels
大きな	lielais
大きな	lieli
大きな	liela
大きな	lielā
競技	konkurence
会長	priekšsēdētājs
会長	priekšsēdētāja
会長	priekšsēdētājs
ヨーロッパ	eiropa
ヨーロッパ	europe
紹介	ievešana
紹介	ieviešanu
紹介	ievads
形式	forma
工場	rūpnīcas
工場	fabrikas
工場	rūpnīca
工場	fabrika
相手	pretinieku
相手	pretinieks
戦闘	kaujā
戦闘	kauja
戦闘	cīņa
戦闘	kaujas
戦闘	apkarotu
労働	darbaspēks
労働	darbaspēks
事務所	birojs
事務所	biroja
事務所	biroju
限定	ierobežots
限定	limited
限定	ierobežota
限定	ierobežoti
データ	dati
作戦	darbība
作戦	operācija
作戦	ekspluatācija
オリジナル	oriģināls
オリジナル	sākotnējais
オリジナル	oriģinālā
オリジナル	sākotnējā
オリジナル	oriģināli
オリジナル	oriģināla
オリジナル	oriģināli
可能性	iespējas
可能性	iespējamie
可能性	iespējams
可能性	iespējamā
可能性	iespējama
可能性	iespēja
種類	tips
種類	veids
種類	tipi
種類	veidi
文字	rakstzīme
文字	raksturu
文字	raksturs
文字	rakstzīmes
文字	zīmes
大統領	prezidents
大統領	priekšsēdētāja
大統領	priekšsēdētājs
協力	sadarbības
協力	sadarbība
指導	norādījumi
指導	vadlīnijas
判断	spriedums
判断	sprieduma
判断	spriedums
判断	spriedumu
連邦	federācija
連邦	federācijas
ネット	neto
ネット	net
ネット	tīkli
共和国	republika
共和国	republikas
引退	pensijā
引退	pensijā
引退	atvaļināts
部門	departamentā
部門	departaments
産業	nozare
産業	rūpniecība
産業	industrija
決勝	galīgais
決勝	galīgo
決勝	gala
決勝	galīgā
プロデューサー	ražotāji
プロデューサー	ražotājs
誕生	dzimšanas
誕生	dzemdības
指揮	pavēlniecība
指揮	komanda
指揮	vadība
レース	sacensības
レース	rase
レース	skrējiens
レース	sacīkstes
レース	sacīkšu
レース	racing
レース	sacīkstes
郵便	pasta
郵便	pasts
神奈川	kanagavas
岡山	okajamas
埼玉	saitama
項目	ieraksti
カップ	kauss
ラン	darbināt
ラン	skrien
ラン	palaist
レイ	stars
レイ	ray
移転	pārvietošana
移転	nodošana
移転	nodošanas
移転	pārsūtīšana
移転	pārvietošana
移転	pārcelšana
移転	pārvietošanas
ほぼ	gandrīz
ほぼ	teju
ほぼ	gandrīz
交差点	krustojumā
交差点	krustošanās
イベント	notikumi
イベント	notikumiem
イベント	pasākumi
イベント	notikums
異なる	atšķirīgi
異なる	dažādi
異なる	atšķirīgs
異なる	dažādas
神戸	kobe
カー	kerr
出典	avoti
出典	avots
関西	kansai
ほとんど	gandrīz
ほとんど	teju
行動	uzvedība
行動	izturēšanās
行動	uzvedību
行動	uzvedība
行動	izturēšanās
行動	uzvedību
重要	svarīgs
重要	svarīga
重要	svarīgas
重要	svarīgi
重要	nozīmīgs
プロジェクト	projekta
プロジェクト	projekts
プロジェクト	projekti
九州	kjusju
電車	vilciena
電車	vilciens
電車	vilcienu
電車	vilcieni
電車	vilcienus
建築	arhitektūra
クラス	nodarbības
クラス	klases
クラス	šķira
クラス	klase
導入	ievešana
導入	ieviešanu
導入	ievads
アジア	āzija
全体	vispārējais
全体	kopumā
全体	vesels
全体	veseli
全体	veselas
全体	vesela
タイ	taizeme
普通	normāla
普通	normāli
普通	normāls
一人	viens
一人	viena
一人	vienu
長野	nagano
舞台	posmi
舞台	stadijas
舞台	posmiem
舞台	posmus
舞台	posms
舞台	stadija
一方	tikmēr
一方	pagaidām
スペイン	spānija
意見	atzinums
意見	viedokļi
意見	atzinumi
意見	atzinumus
再び	atkal
再び	vēlreiz
発見	atklājot
発見	atklāt
発見	atklāj
発見	atklājums
発見	atradums
発見	atklāšana
鈴木	suzuki
ローマ	romāns
ローマ	romans
ローマ	romiešu
ローマ	romas
ローマ	romā
ローマ	roma
ローマ	romu
ローマ	romi
保護	aizsargāšana
保護	aizsargātu
保護	sargāt
保護	pasargāt
保護	aizsargāt
保護	aizsardzība
少女	meitiņa
少女	meitene
少女	meitenei
試験	izskatīšana
試験	eksāmens
試験	eksāmeni
多数	daudziem
多数	daudz
多数	daudzi
多数	daudzus
多数	daudzas
反対	pret
反対	pretējā
反対	pretēja
反対	pretim
きく	ets
作家	autori
作家	autoriem
作家	rakstnieks
作家	rakstnieki
作家	autors
作家	autore
地球	zemi
地球	zeme
地球	zemes
方法	metode
特徴	īpašības
特徴	raksturojums
特徴	raksturlielumi
特徴	pazīmes
特徴	iezīmes
特徴	motīvs
特徴	īpašība
特徴	raksturlielums
ベース	pamatne
ベース	pamats
ベース	bāze
ベース	bass
男性	vīrietis
男性	vīriešu
男性	tēviņi
男性	vīrieši
男性	vīriešiem
男性	vīri
男性	vīrieši
男性	cilvēks
男性	vīrietis
男性	vecīt
ケース	gadījums
ケース	lieta
ケース	lietas
ケース	gadījumi
ケース	korpusi
ケース	gadījumos
子供	bērni
子供	bērnus
子供	bērniem
子供	bērni
子供	bērns
以来	kopš
福島	fukušimas
大臣	ministre
大臣	ministrs
大臣	ministra
大臣	ministriem
大臣	ministri
オープン	atklāts
オープン	atvērts
オープン	atvērta
オープン	atvērt
兵庫	hjogo
コーナー	stūrī
コーナー	stūris
コーナー	stūri
取締役	direktora
取締役	direktors
取締役	direktore
取締役	režisors
取締役	direktori
人気	tautas
人気	populāra
人気	populārs
人気	popularitāti
人気	popularitāte
評価	reitingu
評価	novērtējums
評価	vērtējums
評価	reitings
評価	reitingiem
評価	reitingi
評価	vērtēšana
評価	izvērtēšana
評価	novērtējums
評価	izvērtējums
評価	novērtēšana
評価	likme
評価	vērtējums
評価	novērtējums
評価	novērtēšana
評価	izvērtējums
説明	paskaidrojums
説明	izskaidrojums
説明	skaidrojums
説明	paskaidrot
説明	izskaidrot
説明	izskaidro
説明	paskaidro
説明	apraksts
装備	iekārtas
装備	inventārs
装備	aprīkojums
装備	iekārta
ドル	dolāros
ドル	dolārus
ドル	dolāri
ドル	dolāru
ドル	dolārs
ドル	dolāra
投票	balso
投票	balsošana
投票	balsojums
投票	balsot
投票	balsojam
投票	balsošanas
投票	balso
投票	balsošana
投票	balsojums
雑誌	žurnāls
雑誌	magazine
雑誌	žurnālus
雑誌	žurnāli
熊本	kumamoto
グランド	grand
学科	departamentā
学科	departaments
学科	departamenti
学科	struktūrvienības
学科	departamentiem
専用	veltīta
専用	veltīts
