girls	ガールズ
browning	ブローニング
jednakosti	平等
pisan	筆記
jede	食べる
jede	食べる
jede	eat
nancy	ナンシー
istván	イシュトヴァーン
jaje	エッグ
bahrein	バーレーン
jasan	クリア
polimera	高分子
kontinuitet	連続
očekivanja	期待
nastavu	指示
nastavu	命令
smanji	減らす
rekonstrukcije	再建
rome	ロマ
rome	ローマ
shaw	ショー
shaw	ショウ
blage	軽度
julia	ジュリア
julia	ユリア
kolumbo	コロンブス
kutije	ボックス
oštre	シャープ
oštre	鋭い
spašavanje	保存
spašavanje	救助
spašavanje	レスキュー
hart	ハート
saradnici	役に立つ
saradnici	同僚
predsjedavajući	スピーカー
predsjedavajući	話し手
predsjedavajući	議長
predsjedavajući	会長
predsjedavajući	議長
prihodi	収益
prihodi	収入
prihodi	歳入
prihodi	収益
prihodi	収益
prihodi	歳入
ulazni	入力
dario	ダリオ
kontroverze	論争
mjehur	バブル
mjehur	膀胱
marker	マーカー
katalizator	触媒
monako	モナコ
carevi	皇帝
grijeh	シン
grijeh	sin
putnici	乗客
pismenost	識字
svjedoci	証人
izdali	発行
lukom	にんにく
lukom	ニンニク
lukom	ガーリック
messi	メッシ
hold	ホールド
palestina	パレスチナ
izmislio	発明
hannover	ハノーバー
hannover	ハノーファー
hannover	ハノーファー
hsp	hsp
prevođenje	翻訳
finansiranje	融資
toplim	あったかい
toplim	暖かい
toplim	温かい
prelaz	クロッシング
četrnaest	fourteen
nauru	ナウル
keane	キーン
rješavanja	解決
rješavanja	解消
identičan	同一
mara	マーラ
jugozapadna	南西
kazanj	カザン
posjetu	訪問
amazon	amazon
amazon	アマゾン
rooney	ルーニー
izdavačka	出版
izdavačka	パブリッシング
diva	ディーバ
šećerna	糖尿病
komentara	コメント
franak	フラン
uništeni	破壊された
krompir	ポテト
krompir	ジャガイモ
krompir	じゃがいも
krompir	じゃがいも
krompir	ジャガイモ
krompir	ポテト
pjesnici	詩人
junior	ジュニア
bologna	ボローニャ
viteza	騎士
viteza	ナイト
mliječni	酪農
mliječni	ミルキー
duhovni	スピリチュアル
miles	マイル
presuda	評決
iranska	イラン
rivala	ライバル
rivala	ライバル
mauzolej	霊廟
mauzolej	陵墓
banana	バナナ
dobijeni	派生
kuge	疫病
kuge	ペスト
supernova	超新星
oman	オマーン
argon	アルゴン
azkabana	アズカバン
mobilne	モバイル
cnn	cnn
merkur	水星
merkur	マーキュリー
merkur	水銀
komercijalne	コマーシャル
komercijalne	商用
komercijalne	商業
pirati	パイレーツ
pirati	海賊
lete	fly
lete	ハエ
lete	フライ
lete	飛ぶ
orleans	オルレアン
praksu	練習
pepsi	ペプシ
glen	グレン
stava	姿勢
stava	態度
atlantika	アトランティック
atlantika	大西洋
zamku	トラップ
magdalena	マグダレーナ
magdalena	マグダレナ
magdalena	マグダレーナ
čekić	ハンマー
čekić	ハマー
pine	マツ
pine	パイン
snimci	レコーディング
emocije	感情
artur	アーサー
jun	jun
jun	じゅん
gaze	ガーゼ
zatvoreno	閉店
karel	カレル
rudi	ルディ
edwin	エドウィン
krovna	アンブレラ
pjevaju	歌う
pjevaju	sing
nalaz	find
kill	キル
kill	kill
iznenađenje	驚き
iznenađenje	サプライズ
fobos	フォボス
službenik	事務員
službenik	書記官
službenik	事務職
direktna	ダイレクト
povrijeđeno	怪我
sala	ジョーク
sala	冗談
aston	アストン
drift	ドリフト
reklama	コマーシャル
reklama	商用
reklama	商業
nuklearno	原子力
becker	ベッカー
sana	サナ
papi	パピ
čistom	クリーン
čistom	きれい
osjetljivost	感度
osjetljivost	感受性
preživljavanje	サバイバル
price	記事
price	ストーリー
molibden	モリブデン
virusi	ウィルス
virusi	ウイルス
lična	パーソナル
lična	個人
trudnoća	妊娠
python	python
python	ニシキヘビ
meyer	マイヤー
meyer	メイヤー
strujanje	フロー
strujanje	流れ
kavkaz	コーカサス
upute	手順
upute	指示
moreno	モレノ
rpg	rpg
podzemna	地下
podzemna	地下鉄
calcio	カルチョ
android	android
android	アンドロイド
rez	cut
rez	カット
rez	切り取り
rez	切開
resurse	リソース
resurse	資源
epohe	紀元
epohe	エポック
gwh	gwh
kanalima	運河
okupacija	占領
okupacija	職業
računarstvo	コンピューティング
nosne	鼻音
reading	読書
silovanje	強姦
silovanje	レイプ
biznismen	ビジネスマン
beton	コンクリート
granada	グラナダ
newman	ニューマン
robbie	ロビー
lažni	フェイク
char	char
own	own
kružnica	サークル
zavjet	テスタメント
albion	アルビオン
izazove	課題
izazove	チャレンジ
izazove	挑戦
siromaštva	貧困
ulrich	ウルリッヒ
samostalnost	自治
zanimljiv	興味深い
zanimljiv	おもしろい
zanimljiv	面白い
mape	地図
mape	マップ
sok	ジュース
ala	アラ
pronalaze	find
wiener	ウィーナー
posmatranje	傍聴
posmatranje	観察
posmatranje	観測
volfram	タングステン
volfram	ヴォルフラム
chan	チャン
identifikacija	同定
identifikacija	識別
koledža	カレッジ
koledža	大学
hrast	オーク
richmond	リッチモンド
singapur	シンガポール
berg	ベルク
batman	バットマン
palac	親指
got	got
braun	ブラウン
komplikacija	合併症
komplikacija	合併症
cvijeća	お花
fontana	噴水
karpov	カルポフ
spektru	スペクトル
digitalne	デジタル
odgovore	回答
pravcima	方向
pravcima	道順
publikacija	出版物
rubovima	エッジ
kanu	カンヌ
kanu	カヌー
građanske	シビック
gubici	損失
amp	amp
bizantskog	フォロワー
richards	リチャーズ
irački	イラク
violončelo	チェロ
ncbi	ncbi
kila	ヘルニア
etimologija	語源
sopstvene	own
terminal	端末
terminal	ターミナル
xxx	xxx
civilno	文官
imunitet	免疫
hopkins	ホプキンス
započeta	ドッキング
zvanične	公式
zvanične	職員
grammy	グラミー
norton	ノートン
privatno	非公開
privatno	非公開
privatno	プライベート
seljaci	百姓
seljaci	農民
sharif	シャリフ
teškoće	困難
teškoće	困難
praznika	祝日
praznika	休日
ponašaju	アクト
ponašaju	act
sudovima	裁判所
subpage	subpage
snp	snp
vlage	水分
mill	ミル
formalni	フォーマル
bacha	バッハ
kršćanska	クリスチャン
kršćanska	キリスト教
kršćanska	キリスト教徒
gomes	ゴメス
lola	ローラ
kodiraju	コーディング
bokser	ボクサー
izvoza	輸出
izvoza	エクスポート
foo	foo
konsenzus	合意
odbojka	バレーボール
frakcije	分数
spomenuo	言及
sophie	ソフィー
angela	アンジェラ
katalizatora	コンバータ
impuls	インパルス
florence	フローレンス
florence	フィレンツェ
villarreal	ビジャレアル
issn	issn
manga	漫画
manga	マンガ
hbo	hbo
kometa	彗星
prihvatanje	承諾
prihvatanje	受入れ
prihvatanje	承認
prihvatanje	受付
viza	visa
viza	ビザ
viza	査証
zanimljiva	興味深い
zanimljiva	おもしろい
zanimljiva	面白い
urbane	アーバン
poželjno	望ましい
logaritam	対数
vfb	vfb
amonij	アンモニウム
podmornica	潜水艦
digitalna	デジタル
laguna	ラグナ
laguna	ラグーン
kostur	スケルトン
kostur	骨格
asimov	アシモフ
entitet	エンティティ
entitet	実体
asd	asd
auth	auth
svečanosti	セレモニー
svečanosti	儀式
svečanosti	式典
diferencijalna	差動
diferencijalna	微分
gripe	インフルエンザ
henderson	ヘンダーソン
pati	苦しみ
pati	苦しむ
klana	氏族
iris	アイリス
doprinio	寄稿
torpedo	魚雷
vilica	あご
nuts	ナッツ
interesantno	興味深い
interesantno	おもしろい
interesantno	面白い
zli	ローグ
kobalt	コバルト
acetat	酢酸
nacionalizam	ナショナリズム
nice	ナイス
nice	ニース
nice	素敵
urbani	アーバン
stand	スタンド
tropska	トロピカル
tropska	熱帯
strukturama	構造
casablanca	カサブランカ
etapa	舞台
etapa	ステージ
germanij	ゲルマニウム
postojećim	既存
citationclass	citationclass
detaljan	詳細
šejh	シャイフ
kratera	クレーター
registar	原簿
registar	登録
registar	レジスタ
registar	登記簿
nedavne	最近
tiberije	ティベリウス
izum	発明
imenice	名詞
ovde	ここ
novčića	硬貨
novčića	コイン
sticanja	買収
bojenje	染める
bojenje	染料
bojenje	塗り絵
dragon	ドラゴン
nano	ナノ
nano	nano
rukomet	ハンドボール
derek	デレック
derek	デレク
hormoni	ホルモン
rudarstvo	鉱業
comma	コンマ
melodija	メロディ
melodija	メロディー
ieee	ieee
gorile	ゴリラ
gorile	ゴリラ
kristal	crystal
kristal	結晶
kristal	クリスタル
normalni	普通
normalni	ノーマル
paralelna	パラレル
paralelna	並列
zatvorio	閉店
plati	支払う
plati	支払い
nevjerovatno	素晴らしい
nevjerovatno	凄い
nevjerovatno	すごい
kameno	ストーン
brodski	ブロツキー
chamberlain	チェンバレン
chamberlain	侍従
postavke	セッティング
postavke	設定
putnik	乗客
putnik	旅客
putnik	トラベラー
shvatanje	理解
shvatanje	実現
shvatanje	換価
palermo	パレルモ
statue	彫像
ángel	アンヘル
málaga	マラガ
parenje	交尾
mržnje	憎悪
mržnje	憎悪
mržnje	嫌い
mržnje	憎しみ
čekati	待つ
čekati	待ち
boca	ボトル
boca	ボトル
plzeň	プルゼニ
razvod	離婚
riva	リヴァ
nakit	ジュエリー
nakit	宝石
nakit	ジュエリー
powell	パウエル
preuzeta	ダウンロード
pomračenje	eclipse
ukinut	破棄
ukinut	廃止
bilježe	レコード
bilježe	記録
drugačija	異なる
operatora	オペレーター
cementa	セメント
suverenitet	主権
ceremoniji	セレモニー
ceremoniji	儀式
ceremoniji	式典
katar	カタール
govornici	スピーカー
jugozapadne	南西
willis	ウィリス
odbijanje	拒否
odbijanje	拒絶
odbijanje	拒絶
odbijanje	拒否
momčilo	モモ
kamion	トラック
holstein	ホルシュタイン
sulejmana	スレイマン
kupovinu	ショッピング
kupovinu	買い物
kupovinu	買物
žalost	悲しみ
origargs	origargs
manfred	マンフレート
johnston	ジョンストン
christine	クリスティン
hidroelektrane	水力
fiziologija	生理学
fontaine	フォンテーヌ
upozorenje	警報
upozorenje	警告
kancelara	宰相
okrenuti	ターン
okrenuti	曲がる
carsku	インペリアル
uss	uss
lan	lan
uglova	アングル
kanale	チャネル
kanale	チャンネル
emmanuel	エマニュエル
opasne	危険
gpcr	gpcr
meksički	メキシコ
meksički	メキシカン
zamisli	イマジン
citat	引用
holding	持株
southampton	サウサンプトン
ilustracija	イラスト
foucault	フーコー
društvenu	ソーシャル
komplikacije	合併症
veterana	退役軍人
veterana	退役軍人
hronični	慢性
hronični	持病
kamiona	トラック
blokade	封鎖
opasan	危険
michelle	ミシェル
brest	ブレスト
materice	子宮
eksperimenti	実験
moreplovac	船員
epoha	紀元
epoha	エポック
uhvati	キャッチ
uhvati	キャッチボール
skandal	スキャンダル
skandal	不祥事
vazduh	空気
vazduh	航空
vazduh	エア
massa	マッサ
investicija	投資
investicija	投資
bale	ベール
tanke	薄い
tanke	細い
derbi	ダービー
baltimore	ボルチモア
iskoristi	使用
kršenje	違反
kršenje	違反
konvenciji	コンベンション
konvenciji	大会
larsson	ラーション
džez	ジャズ
ubiju	キル
ubiju	kill
gamma	ガンマ
ethan	イーサン
lynch	リンチ
neptun	海王星
neptun	ネプチューン
hase	長谷
orijentacija	方向
orijentacija	向き
orijentacija	オリエンテーション
tracy	トレイシー
pmid	pmid
trijumf	トライアンフ
platformi	プラットフォーム
platformi	プラットホーム
platformi	プラットフォーム
larsen	ラーセン
dozvole	許可証
dozvole	許可
dozvole	ライセンス
dozvole	権限
dozvole	許可
limun	レモン
interpretacija	解釈
pranje	洗濯
pranje	洗浄
reaguje	リアクション
odsustva	欠席
barnes	バーンズ
dubok	ディープ
dubok	深い
glumice	女優
atomska	アトミック
atomska	原子
funta	パウンド
funta	ポンド
domenico	ドメニコ
stambenih	住居
stambenih	邸宅
nastavnik	教員
nastavnik	教師
nastavnik	先生
palma	パルマ
analizira	分析
analizira	analyze
con	con
ind	ind
dvorištu	中庭
poslovanje	営業
poslovanje	事業
poslovanje	ビジネス
povraćanje	嘔吐
blake	ブレイク
malabo	マラボ
itrij	イットリウム
starenja	老化
prefektura	都道府県
kompromis	妥協
admin	管理者
admin	管理人
civilni	文官
playstation	playstation
pinto	ピント
garfield	ガーフィールド
amd	amd
udaljene	遠い
udaljene	リモート
neograničeno	無制限
abeceda	アルファベット
brdima	ヒルズ
licencu	免許
licencu	ライセンス
šešir	ハット
šešir	帽子
plivanje	泳ぐ
plivanje	水泳
plivanje	泳ぎ
rex	レックス
nichols	ニコルス
molekularne	分子
vilajet	エルズルム
wilde	ワイルド
julio	フリオ
funkcioniše	ワークス
funkcioniše	作品
mega	メガ
mega	mega
emirata	エミレーツ
vladajuće	支配
vladajuće	裁定
vladajuće	審判
uvoz	輸入
uvoz	輸入
strauss	シュトラウス
pogledi	ビュー
privilegije	特権
primijetiti	告示
primijetiti	通知
primijetiti	告知
iridij	イリジウム
kocka	立方体
kocka	キューブ
frameless	frameless
oporavka	回復
oporavka	リカバリ
oporavka	回収
instrukcije	手順
instrukcije	指示
afrodita	アプロディーテー
afrodita	アフロディーテ
raspravu	ディベート
maksimalne	最大
maksimalne	maximum
pietro	ピエトロ
tuberkuloze	結核
mccarthy	マッカーシー
sunnet	スンナ
pokušajima	未遂
pio	飲む
pio	pio
munja	ライトニング
foster	フォスター
sauber	ザウバー
lena	レナ
autobus	バス
rodni	ロドニー
mel	メル
konvergencije	収束
roses	薔薇
roses	バラ
zanimanja	職業
fiat	フィアット
peters	ペータース
peters	ピーターズ
itf	itf
leona	レオナ
rajha	ライヒ
cro	cro
ina	伊奈
commonwealth	コモンウェルス
izlaganje	照射
izlaganje	被曝
izlaganje	露出
dokumentaciju	ドキュメント
dokumentaciju	ドキュメンテーション
nakita	ジュエリー
nakita	宝石
nash	ナッシュ
suprotna	反対
pije	飲み物
pije	ドリンク
teologije	神学
destinacija	行き先
destinacija	目的地
destinacija	宛先
lancima	チェイン
cohen	コーヘン
cohen	コーエン
gate	ゲート
promovira	宣伝
razum	正気
razum	理由
razum	理性
drevna	古代
platina	プラチナ
platina	白金
izolacija	隔離
izolacija	孤立
forever	フォーエバー
plaćanje	支払
plaćanje	決済
plaćanje	支払い
plaćanje	決済
plaćanje	支払い
aspektima	側面
teodora	テオドラ
vrba	ウィロー
vrba	ヤナギ
ledi	レディ
gasovi	気体
tor	tor
tor	トール
selma	セルマ
obuke	トレーニング
obuke	講習
obuke	修行
obuke	訓練
obuke	研修
independent	独立
independent	インディペンデント
dozvola	免許
dozvola	ライセンス
dozvola	許可証
dozvola	許可
minimalno	最低限
minimalno	最低
minimalno	最小
minimalno	最小限
atkinson	アトキンソン
kamp	camp
kamp	キャンプ
kamp	カンプ
pmc	pmc
krivim	有罪
krivim	guilty
oleg	オレグ
stoku	ウシ
knut	クヌート
iskustava	エクスペリエンス
kružni	円形
stres	ストレス
derivati	デリバティブ
bizmut	ビスマス
irena	イレーネ
irena	アイリーン
fool	愚か者
fool	フール
promocije	プロモーション
doha	ドーハ
istraga	調査
istraga	捜査
imperator	エンペラー
imperator	皇帝
imperator	天皇
navodnjavanje	灌漑
ratnik	戦士
moćan	パワフル
elite	エリート
nož	ナイフ
kasni	遅い
uvjeren	自信
predvodi	led
najnoviji	最新
uvjerenja	信念
sauron	サウロン
fosila	化石
molitva	祈り
molitva	礼拝
molitva	祈祷
snu	ドリーム
snu	dream
globalni	global
globalni	グローバル
balet	バレエ
ustanovljena	設立
navbox	navbox
uključiti	含める
optika	光学
molly	モリー
sedamnaest	seventeen
ličnim	パーソナル
ličnim	個人
odlikovanja	装飾
odlikovanja	デコレーション
moćna	パワフル
rts	rts
pohvale	賞賛
pohvale	賛美
pojačanja	援軍
mete	ターゲット
nobel	ノーベル
sumnju	疑念
sumnju	疑惑
sumnju	断崖
prizna	認める
ukrao	ストール
valter	ヴァルター
valter	ウォルター
modula	モジュール
airbus	エアバス
katastrofe	災害
abel	アーベル
abel	アベル
lobanja	髑髏
lobanja	頭蓋骨
najnovije	最新
najnovije	最新
začina	香辛料
začina	スパイス
slom	内訳
dag	dag
dag	ダグ
polumjesec	三日月
guardian	ガーディアン
guardian	後見人
nadph	nadph
andrews	アンドリュース
ftp	ftp
marion	マリオン
dnevnika	日記
namibije	ナミビア
havana	ハバナ
biblija	聖書
qui	qui
plaže	ビーチ
boginje	麻疹
boginje	天然痘
tak	tak
orah	くるみ
orah	クルミ
skr	skr
zao	蔵王
tretmanu	トリートメント
tretmanu	待遇
tretmanu	治療
willy	ウィリー
čišćenja	パージ
čišćenja	粛清
iskopavanja	掘削
iskopavanja	発掘
iskopavanja	発掘
hej	ヘイ
togo	トーゴ
nantes	ナント
imovina	プロパティ
imovina	財産
imovina	アセット
imovina	資産
motion	モーション
mandela	マンデラ
ruby	ルビ
ruby	ルビー
linearna	リニア
linearna	線形
pojmove	規約
pojmove	用語
nokia	ノキア
hapšenja	逮捕
sokrat	ソクラテス
spratu	フロア
držanje	姿勢
namirnice	条文
namirnice	規定
chuck	チャック
selena	セレーナ
nastavljena	続き
nastavljena	継続
zabrinutost	関心事
keaton	キートン
doktrina	教義
doktrina	ドクトリン
frakcija	派閥
diplomata	外交官
diplomata	外交官
federico	フェデリコ
jamajka	ジャマイカ
steka	スタック
prelazni	変遷
prelazni	転移
concepción	コンセプシオン
discogs	discogs
grla	咽喉
verona	ヴェローナ
inspirisan	インスパイア
izvući	エキス
leće	レンズ
kara	カラ
mučenja	拷問
majmun	サル
irene	イレーネ
irene	アイリーン
bsd	bsd
asistenta	助手
asistenta	アシスタント
getparent	getparent
odvojiti	充てる
odvojiti	割り当てる
izbjegavati	避ける
elektrone	電子
naređenje	オーダー
naređenje	注文
naređenje	命令
naređenje	オーダー
naređenje	注文
crteži	図面
zaragoza	サラゴサ
modeliranje	モデリング
santo	サント
utf	utf
kampanji	キャンペーン
gutiérrez	グティエレス
boulevard	大通り
boulevard	ブールバール
serge	セルジュ
tiraž	循環
interval	間隔
interval	音程
interval	インターバル
interval	区間
proglasi	申告
proglasi	宣言
lisice	手錠
vještačka	人工
australijska	オーストラリア
ponavljanje	反復
ponavljanje	繰り返し
burns	バーンズ
burns	やけど
hidroelektrana	水力
garrett	ギャレット
tečni	端末
kranj	クラーニ
narodnosti	国籍
vile	ヴィラ
viking	バイキング
bangladeš	バングラデシュ
poljubac	キス
poljubac	kiss
poljubac	接吻
profit	営利
profit	収益
profit	利益
najnovija	最新
ipv	ipv
nasljeđe	遺産
ekstremnim	エクストリーム
zaposlen	忙しい
zaposlen	ビジー
nemiri	暴動
greg	グレッグ
poređenje	比較
zadaci	タスク
zadovoljstvo	満足
zadovoljstvo	快感
zadovoljstvo	喜び
zadovoljstvo	快楽
demonstracija	デモ
klanac	峡谷
razočaran	がっかり
simpson	シンプソン
odvajaju	充てる
odvajaju	割り当てる
prevoz	乗る
prevoz	配車
prevoz	輸送
prevoz	交通
alba	アルバ
đubriva	肥料
rudara	鉱夫
montpellier	モンペリエ
odbijaju	拒否
inline	インライン
chapman	チャップマン
ekonomista	エコノミスト
dozvoljavaju	許可
basso	バッソ
twitter	twitter
twitter	ツイッター
pridjev	形容詞
tolerancije	許容
tolerancije	寛容
henning	ヘニング
poluprečnik	半径
poluprečnik	radius
povezivanja	コネクト
povezivanja	接続
izabere	選択
philips	フィリップス
corpus	コーパス
peruu	ペルー
doprinijeli	寄稿
rudniku	鉱山
banner	バナー
banner	横断幕
imanju	不動産
penala	ペナルティ
fragmenata	断片
fragmenata	フラグメント
stepenice	階段
fuad	フアド
najjača	最強
inspektor	検査官
liban	レバノン
brock	タケシ
identificira	識別
stanovnik	住民
gmizavaca	爬虫類
theater	劇場
theater	シアター
theater	演劇
rabat	ラバト
fruktoza	フルクトース
lijepe	美しい
lijepe	ビューティフル
lambda	ラムダ
tórshavn	トースハウン
suprotnim	反対
tas	tas
olsen	オルセン
radionice	ワークショップ
radionice	作業場
toyota	豊田
toyota	トヨタ
regimenta	連隊
dover	ドーバー
dover	ドーヴァー
hubert	ヒューバート
teza	テーゼ
teza	論文
padine	スロープ
padine	傾き
kampus	キャンパス
rastvorljivost	溶解度
odbijanja	拒否
odbijanja	拒絶
parni	スチーム
parni	蒸気
postupci	審理
postupci	アクション
benu	ベン
uglovi	アングル
polo	ポロ
naredbu	オーダー
naredbu	注文
rušenja	解体
nacrt	ドラフト
nacrt	下書き
cristiano	クリスティアーノ
želudac	お腹
schneider	シュナイダー
miješanje	ミキシング
efikasan	効率
efikasan	実効
minimalna	最低限
minimalna	最低
minimalna	最小
koze	ヤギ
glavobolja	頭痛
zaštititi	protect
zaštititi	プロテクト
zaštititi	保護
jerome	ヒエロニムス
jerome	ジェローム
pepeo	ash
ljubi	キス
ljubi	接吻
ljubi	キス
lokus	軌跡
sankcije	制裁
brugge	ブルッヘ
kopiju	コピー
shirley	シャーリー
alejandro	アレハンドロ
zagrijava	暖房
stambene	住宅
stambene	住宅地
igralište	遊び場
pješadija	歩兵
floyd	フロイド
reper	ラッパー
sem	sem
ljepota	美容
barrett	バレット
generator	ジェネレータ
elektroda	電極
glover	グローヴァー
glover	グラヴァー
buha	ノミ
čuvari	衛兵
čuvari	後見人
gal	ギャル
gal	ガル
univerzalna	ユニバーサル
moo	moo
kičme	脊柱
kičme	背骨
kičme	脊椎
wikibase	wikibase
zaboravi	forget
enterprise	エンタープライズ
enterprise	企業
preciznosti	精度
berry	ベリー
ministri	大臣
ministri	公使
uski	狭い
klaudija	クラウディア
gale	風力
blokada	封鎖
fotosinteza	光合成
perje	フェザー
perje	羽根
perje	羽毛
taipei	台北市
taipei	台北
jackie	ジャッキー
renato	レナート
vir	vir
biber	ペッパー
biber	胡椒
biber	コショウ
saglasnost	同意
saglasnost	承諾
uzastopne	歴代
matilda	マチルダ
talenat	タレント
laos	ラオス
dayton	デイトン
plato	台地
plato	高原
alexandra	アレクサンドラ
štrajk	ストライキ
štrajk	ストライク
tarik	タリク
ukloni	削除
ukloni	取り除く
domova	住宅
pokušaje	未遂
aut	aut
fitzgerald	フィッツジェラルド
policajca	cop
avenue	アベニュー
mobilni	モバイル
monica	モニカ
tau	タウ
mješavine	ブレンド
stanovanje	住居
stanovanje	住宅
oteo	拉致
porte	ポルテ
benito	ベニート
rubidij	ルビジウム
daj	与える
daj	give
ado	ado
stihovima	歌詞
stihovima	作詞
jung	ユング
hol	hol
peking	北京市
peking	北京
peking	北京
ponor	アビス
moreuz	海峡
oštrim	シャープ
oštrim	鋭い
proto	プロト
tetka	おばさん
tetka	叔母
tetka	おば
luc	リュック
beethoven	ベートーヴェン
raspoloženje	気分
raspoloženje	ムード
kupi	買う
kupi	購入
svetlana	スヴェトラーナ
svetlana	スベトラーナ
iskreno	正直
maxwell	マックスウェル
maxwell	マクスウェル
reklame	コマーシャル
suho	辛口
suho	ドライ
suho	乾燥
damask	ダマスカス
living	リビング
living	living
šema	パターン
šema	スキーマ
takse	手数料
takse	料金
lccn	lccn
kriv	有罪
kriv	guilty
prazna	空っぽ
prazna	空欄
prazna	ブランク
kontekst	コンテクスト
kontekst	コンテキスト
kontekst	context
trona	玉座
neuroni	ニューロン
nikotin	ニコチン
ambasada	大使館
zlostavljanja	誤用
zlostavljanja	虐待
drvenih	木造
drvenih	木製
signali	シグナル
signali	合図
signali	信号
bridgestone	ブリヂストン
nit	nit
nit	スレッド
vitezova	ナイツ
vitezova	騎士
napor	努力
pogubljenje	処刑
pogubljenje	実行
pogubljenje	執行
ethernet	イーサネット
mikro	マイクロ
kapije	ゲート
aditiv	添加物
proporcija	比率
proporcija	割合
trust	トラスト
trust	trust
trust	信頼
dvostruku	デュアル
pacijente	患者
bronzana	青銅
bronzana	ブロンズ
salon	サロン
willem	ウィレム
elena	エレナ
kenija	ケニア
agresija	侵略
ashley	アシュリー
ashley	アシュレイ
volvo	ボルボ
opasno	危険
aida	アイーダ
mason	メイソン
professional	プロフェッショナル
ocjena	査定
ocjena	評価
jugo	ユーゴ
procentima	パーセンテージ
procentima	パーセント
prilagoditi	調整
subjekt	主体
subjekt	件名
nottingham	ノッティンガム
severin	セヴェリン
matić	matic
agatha	アガサ
narednik	軍曹
mješovita	ミックス
mješovita	混合
alonzo	アロンゾ
italic	イタリック
zglobova	関節
obraća	アドレス
kompleksna	コンプレックス
kompleksna	錯体
kompleksna	複雑
genetski	遺伝
rubin	ルービン
putopisac	トラベラー
reformama	改革
avijacija	航空
pacifika	パシフィック
monopol	独占
gerard	ジェラード
ara	ara
prijesto	玉座
theodore	テオドール
autobusa	バス
unprofor	unprofor
terra	テラ
očekivao	期待
očekivali	期待
kilometar	キロメートル
okupirala	占領
računaju	カウント
objasni	説明
urbano	アーバン
putanja	弾道
messenger	メッセンジャー
messenger	messenger
colt	コルト
guayaquil	グアヤキル
bendova	バンド
astronomija	天文学
bjeloruski	ベラルーシ
nums	nums
claire	クレア
pos	pos
odredište	行き先
odredište	目的地
odredište	宛先
coq	coq
titanic	タイタニック
melo	メロ
investicije	投資
optužnica	公訴
hromatografija	クロマトグラフィー
dokumentacija	ドキュメント
dokumentacija	ドキュメンテーション
ironično	皮肉
ironično	皮肉
sjene	シャドウズ
sul	スル
leteći	飛ぶ
leteći	フライング
sibira	シベリア
napetost	サスペンス
herodot	ヘロドトス
dylan	ディラン
istražuju	探検
milo	milo
pass	パス
jesse	ジェシー
niski	低い
proglašenje	布告
proglašenje	宣言
proglašenje	申告
antimon	アンチモン
pentium	pentium
ubijanje	キリング
mainsnak	mainsnak
žaba	カエル
sretna	ハッピー
sretna	幸せ
bejzbol	ベースボール
bejzbol	野球
penzionisani	退職
