asiakkaat	clientes
maisemaa	paisaxe
ratkaisut	solucións
ratkaisut	solución
pahimmillaan	peores
pahimmillaan	peor
firenze	florence
taikuri	mago
sisätiloissa	ambientes
sisätiloissa	pechados
sisätiloissa	interiores
todennäköistä	probable
todennäköistä	que
todennäköistä	probablemente
todennäköistä	risco
rukous	oración
ominaisuutta	característica
ominaisuutta	a
varojen	bens
kokki	cociñar
kokki	cociñeira
kokki	cociñeiro
ministerin	ministro
ministerin	ministra
ministerin	pastor
ministerin	cabinet
ministerin	o
kansoja	xente
kansoja	fronte
kehitetään	en
kehitetään	vías
kehitetään	desenvolvemento
kehitetään	desenvolvimento
kehitetään	e
kehitetään	desenvolvendo
kehitetään	xestación
kehitetään	desenvolver
ilo	pracer
ilo	encantado
ilo	gusto
ilo	placer
ilo	ledicia
ilo	alegría
ilo	desfrute
ilo	da
koneisto	maquinaria
koneisto	máquinas
tarvittu	precisaba
tarvittu	necesitaba
tarvittu	precisabamos
aids	sida
huutaa	non
huutaa	berrando
huutaa	berrar
mainoksia	anuncios
mainoksia	cociniñas
mainoksia	publicidade
paperia	papel
paperia	xornal
paperia	artigo
bishop	bispo
kunnioittaa	respectar
kunnioittaa	respeto
kunnioittaa	respecto
kunnioittaa	respéctanme
halukas	dispostos
halukas	a
halukas	disposto
halukas	dispostas
halukas	deus
halukas	quere
halukas	querería
halukas	disposta
vuorovaikutus	interacción
vuorovaikutus	interactuando
vuorovaikutus	co
vuorovaikutus	interaccións
vuorovaikutus	cós
kirby	kirby
raa	materia
raa	materias
puhuva	falando
puhuva	de
puhuva	falar
puhuva	a
puhuva	falo
puhuva	con
testin	probar
testin	proba
testin	exame
testin	probas
testin	de
testin	test
testin	exames
jengi	forzados
kertomukset	informes
kertomukset	sobre
tutut	familiar
tutut	familiarizados
tutut	familiares
tutut	coñeces
virasto	axencia
virasto	de
virasto	oficina
virasto	despacho
virasto	correo
jill	jill
työpaikkoja	traballos
työpaikkoja	traballo
kummitus	pantasma
kummitus	espírito
edwardin	eduardo
edwardin	edward
jurassic	xurásico
mielipiteen	opinión
mielipiteen	que
mielipiteen	a
mielipiteen	na
myöhässä	tarde
zimbabwen	cimbabue
zimbabwen	zimbawe
zimbabwen	zimbabwe
toivoo	esperanza
toivoo	esperanzas
toivoo	desexa
asiakirjoja	documentos
cowboy	vaqueiro
cowboy	de
sairas	enfermo
sairas	mal
sairas	está
sairas	enferma
sairas	de
sairas	enfermou
sairas	doente
sairas	enfermo
sairas	enfermos
sairas	enferma
uhrit	vítimas
lähemmäksi	a
lähemmäksi	mais
lähemmäksi	máis
lähemmäksi	preto
lähemmäksi	xuntarse
lähemmäksi	achéguense
lähemmäksi	achegádevos
nautti	da
nautti	disfrutei
sudan	sudán
sateen	chove
sateen	chuvia
sateen	choiva
sateen	nos
sateen	topásemos
sateen	con
sateen	outras
sateen	razas
sateen	chover
sateen	a
painetta	presión
parani	mellorou
doris	doris
tiimi	equipo
tiimi	de
kestävyys	resistencia
kestävyys	a
etsitään	buscando
etsitään	busca
signaali	sinal
numeroita	números
numeroita	das
numeroita	os
numeroita	número
keskuksia	centros
twist	xiro
desert	deserto
desert	sobremesa
cage	gaiola
olut	cervexa
olut	cervexas
venettä	barco
venettä	bote
venettä	chalana
modernia	modernos
modernia	moderna
modernia	as
modernia	modernas
modernia	moderno
koskea	tacto
koskea	toque
koskea	contacto
koskea	tocar
koskea	toques
ammattilainen	profesionais
ammattilainen	profesional
ammattilainen	un
typen	nitróxeno
johda	conducir
johda	levar
johda	a
johda	até
yksityiskohdat	detalles
yksityiskohdat	crédito
yksityiskohdat	roubada
yksityiskohdat	detalle
yksityiskohdat	detalles
tarkat	exacto
tarkat	exacto
tarkat	exacta
tarkat	mesmas
tarkat	exactamente
tarkat	mesma
maalari	pintor
sallia	permitir
sallia	permitirán
sallia	permiten
sallia	permitiría
sallia	permitídeme
sallia	permitimos
sallia	permítame
sallia	permiso
itsenäisyys	independencia
tilata	orde
tilata	para
tilata	xiro
tilata	postal
kokemukset	as
kokemukset	experiencias
kokemukset	experiencia
kokemukset	experimentar
kokemukset	experimentan
vapauteen	liberdade
vapauteen	a
mahdollisuuksien	posibilidades
radikaali	radical
radikaali	radicais
tajusi	decateime
tajusi	decatei
tajusi	decatámonos
tajusi	de
tajusi	que
tajusi	conta
tajusi	decatamos
vakuuttunut	de
vakuuttunut	convencido
lääkettä	medicinas
lääkettä	medicina
lääkettä	baseada
lääkettä	na
lääkettä	médicos
lääkettä	menciña
napa	polar
napa	polares
matkustajien	pasaxeiros
jäätä	xeo
vilja	gran
fysiikkaa	da
fysiikkaa	física
tauko	romper
tauko	o
seksuaalista	sexual
hankinta	adquisición
jazzia	jazz
johtokunta	xunta
johtokunta	de
johtokunta	reunión
johtokunta	bordo
johtokunta	comida
maantieteellinen	geographic
katujen	rúas
katujen	polas
katujen	rúa
silmiä	os
silmiä	ollos
merimies	mariñeiro
suojelu	protección
suojelu	protexe
osallistumista	participación
osallistumista	implicación
osallistumista	participación
tilastotiedot	estatísticas
tulostaa	imprenta
kannella	cuberta
äskettäin	pouco
äskettäin	recentemente
äskettäin	ultimamente
äskettäin	hai
äskettäin	recente
äskettäin	recentes
äskettäin	últimos
jakaminen	compartir
drama	drama
armeijat	exércitos
rajoitukset	limita
rajoitukset	límites
rajoitukset	restrición
aamun	mañá
aamun	bo
aamun	día
aamun	pola
aamun	días
aamun	bos
heikentynyt	visuais
heikentynyt	con
lava	escenario
lava	etapa
lava	no
lava	palco
clifford	clifford
clifford	ei
elävänä	vivos
elävänä	viva
elävänä	vivo
elävänä	vida
elävänä	con
pyhät	sagrado
pyhät	santo
pyhät	santos
pyhät	sagrada
pohjimmiltaan	basicamente
pohjimmiltaan	básicamente
raskaat	pesada
raskaat	pesados
raskaat	pesado
raskaat	forte
raskaat	pesa
raskaat	moito
raskaat	peso
raskaat	intenso
katsojat	espectadores
katsojat	audiencia
hallitusten	os
hallitusten	gobernos
pulitzer	premio
pulitzer	pulitzer
esiintyjä	artista
kallo	cranio
käytävä	corredor
käytävä	corredor
ammuksia	munición
ammuksia	municións
ammuksia	cartuchos
ammuksia	municións
kallista	caro
kallista	caros
kallista	cara
potilaiden	pacientes
potilaiden	os
potilaiden	doentes
viestit	mensaxes
yhdistykset	organizacións
esimies	director
neuvotteluja	negociación
jättiläinen	un
jättiläinen	xigantes
jättiläinen	xigante
neljännes	cuarto
corey	corey
köyhä	pobre
köyhä	pobres
stanford	stanford
luottamuksen	confianza
epäilee	sospeitoso
poista	se
poista	e
poista	quitar
poista	quitamos
käyrä	curva
molekyylien	molecular
molekyylien	moleculares
jätä	deixar
tyttöjä	as
tyttöjä	ás
tyttöjä	rapazas
tyttöjä	mozas
tyttöjä	nenas
moi	ola
hävittäjiä	destrutores
maksanut	pagar
maksanut	pagou
hattu	sombreiro
hattu	o
hattu	chapeu
hattu	sombreiriño
kunniaa	gloria
kunniaa	pola
kunniaa	honor
kunniaa	honra
kunniaa	señoría
kunniaa	súa
sika	porco
holding	suxeitando
holding	a
holding	aguante
teräksen	aceiro
teräksen	de
teräksen	ferro
teräksen	o
teräksen	raís
roska	parvadas
vois	podía
vois	podería
sardinian	sardeña
irish	irlandés
irish	irlandeses
irish	irlandesa
powers	poderes
muisto	memoria
algeriassa	alxeria
hännän	cola
hoitaja	enfermeira
piilotettu	oculto
piilotettu	oculta
piilotettu	ocultas
piilotettu	escondidos
piilotettu	escondidas
ammattilaiset	profesionais
rochester	rochester
laillinen	xudicial
laillinen	legal
laillinen	legais
laillinen	lexítima
laillinen	lexítimo
vetoa	aposta
vetoa	apostar
vetoa	a
vetoa	aposto
vetoa	que
vetoa	seguro
merkitse	mark
merkitse	marca
merkitse	a
merkitse	marcos
kyvyt	capacidades
kyvyt	capacidade
kyvyt	habilidade
vaiheissa	fases
sienet	cogomelos
philips	phillips
välineitä	instrumental
välineitä	instrumentos
välineitä	ferramentas
välineitä	as
yllätys	sorpresa
yllätys	sorprenda
yllätys	unha
geeni	xenéticas
geeni	xene
geeni	xenes
geeni	xen
klassikko	clásico
ammatillinen	profesionais
ammatillinen	profesional
ammatillinen	un
starr	starr
oppineet	aprendín
oppineet	que
oppineet	aprenderon
oppineet	aprendemos
oppineet	aprendeu
oppineet	descubrimos
vaikutelman	impresión
hampaiden	dentes
hampaiden	os
lainaus	cita
lainaus	citar
tavanomainen	convencional
tavanomainen	normal
tavanomainen	normais
tavanomainen	común
tavanomainen	cotiáns
tavanomainen	era
tavanomainen	ordinario
tavanomainen	correntes
tavanomainen	normais
tavanomainen	simple
tavanomainen	banal
tavanomainen	usual
tavanomainen	de
tavanomainen	sempre
tavanomainen	normalidade
tavanomainen	habitual
tavanomainen	costume
kilpailijoita	rivais
rion	río
rakentuu	acumúlase
hautajaiset	funeral
hautajaiset	enterro
rolls	e
patentti	patentes
patentti	patente
patentti	patentar
patentti	zapatos
patentti	patentes
nousussa	aumento
chance	oportunidade
chance	posibilidade
käyttäytymisen	comportamento
käyttäytymisen	conducta
käyttäytymisen	comportamentos
käyttäytymisen	seu
käyttäytymisen	conduta
ikkunan	fiestra
ikkunan	xanela
ikkunan	pola
elementit	elementos
tavattiin	coñecín
tavattiin	a
tavattiin	coñecemos
järjestelmällisesti	pór
järjestelmällisesti	práctica
järjestelmällisesti	sistematicamente
sairaanhoitaja	enfermeira
laajenee	expansión
laajenee	expande
siirtokunta	colonia
ystävyys	amizade
ystävyys	a
koripalloa	baloncesto
koripalloa	básquet
menettely	procedemento
yksityiskohtaisesti	detalle
yksityiskohtaisesti	detalles
aukeaa	abre
aukeaa	abra
käännökset	tradución
rahaston	fondo
rahaston	de
italiaksi	italiano
italiaksi	italiana
italiaksi	italianos
ajanjakso	período
ajanjakso	periodo
ajanjakso	tempo
ajanjakso	a
ajanjakso	adolescencia
piirros	debuxo
pyörän	roda
kauhu	terror
suoritus	execución
kaunotar	fermoso
kaunotar	bonita
kaunotar	fermosa
kaunotar	precioso
kaunotar	fermosas
kaunotar	beleza
kaunotar	a
tiedettä	ciencia
tiedettä	a
tiedettä	ciencias
tiedettä	científica
tiedettä	cencia
videot	vídeos
laulavat	cantando
laulavat	canta
laulavat	cantar
laulavat	que
ylitä	cruzar
ylitä	cruz
ylitä	atravesar
ylitä	crosstree
aktiivisuus	actividade
virkamiehiä	funcionarios
mafian	turba
mafian	mafia
mafian	mafia
tekijää	factor
uhkaavat	ameazando
uhkaavat	ameazan
uhkaavat	a
uhkaavat	ameazan
uhkaavat	ameazar
uhkaavat	ameazouna
leikkaa	cortar
karttaa	mapa
luotti	de
luotti	confianza
luotti	en
toverit	camaradas
toverit	dos
toverit	compañeiros
yhtenäisyyden	unidade
miekkaa	espada
hintaa	prezos
hintaa	prezo
hintaa	precio
hintaa	caché
hintaa	valor
hintaa	incalculábel
varauksen	reserva
selvitä	sobrevivir
selvitä	sobrevivimos
selvitä	á
selvitä	sobreviven
selvitä	sobreviva
selvitä	ser
selvitä	humano
yks	unha
yks	un
päämäärä	obxectivo
terveyttä	saúde
terveyttä	a
terveyttä	health
taitoa	habilidade
tue	apoio
tue	apoiar
tue	de
kulttuurit	culturas
eläkkeellä	xubilación
liikunnan	exercicio
materiaalit	materiais
nuts	noces
nuts	tola
nuts	tolo
viraston	axencia
viraston	de
tehokasta	efectivas
tehokasta	efectiva
tehokasta	efectivo
tehokasta	efectivos
tehokasta	eficaces
tehokasta	eficaz
tehokasta	a
myytti	mito
mitaleja	medallas
velkaa	lle
velkaa	debo
velkaa	debe
velkaa	debémosche
velkaa	a
velkaa	debes
venetsiassa	venecia
keksintö	invento
keksintö	invención
lakko	folga
lakko	ataque
lakko	¡
lakko	que
lakko	empece
outoa	raro
outoa	estraño
outoa	estraña
outoa	extraño
outoa	moi
outoa	rara
outoa	raro
aikuisia	adultos
aikuisia	os
foorumi	plataforma
rangaistusta	castigo
rangaistusta	punishment
arvokasta	valioso
tilaus	orde
tilaus	para
tilaus	xiro
tilaus	postal
junia	trens
poliiseja	poli
poliiseja	policías
poliiseja	policía
poliiseja	polis
jakauma	distribución
jakauma	de
aseistettu	armados
aseistettu	armado
aseistettu	armada
aseistettu	armadas
koulutettu	adestrados
koulutettu	para
koulutettu	adestrada
koulutettu	adestrado
frankie	frankie
trip	a
trip	viaxe
syyllinen	culpable
syyllinen	culpábel
syyllinen	culpábeis
reaktiot	reaccións
reaktiot	reacción
reaktiot	reacción
tunnustuksia	confesións
palat	pezas
palat	clave
palat	anacos
palat	pedazos
yhteenlaskettu	agregada
ruoho	herba
valtavat	enormes
valtavat	enorme
valtavat	gran
valtavat	xigante
valtavat	grande
toimija	operadora
pitäminen	mantelos
pitäminen	manter
pitäminen	en
pitäminen	mantén
pitäminen	coa
löytö	descubrimento
ominaisuuden	atributo
ursula	ursula
opiskelijan	estudante
opiskelijan	estudantes
opiskelijan	alumno
liikkuminen	mobilidade
liikkuminen	movemento
liikkuminen	movementos
liikkuminen	movimento
liikkuminen	xesto
pukeutunut	de
pukeutunut	vestida
pukeutunut	vestidos
pukeutunut	vestidas
pukeutunut	vestir
lukemista	lendo
lukemista	ler
lukemista	lectura
lukemista	a
laatikko	caixa
laatikko	palco
puhtaana	puro
puhtaana	pura
puhtaana	puros
vaihtoehdot	opcións
äänestetty	votou
äänestetty	votaron
mail	correo
mail	envía
mail	envíe
kaunista	fermoso
kaunista	bonita
kaunista	fermosa
kaunista	precioso
kaunista	fermosas
detroitin	detroit
luoti	bala
saarnaaja	sacerdote
nationale	biblioteca
nationale	nacional
lähimpänä	máis
focus	centre
focus	centrarse
focus	centramos
focus	centrarme
focus	foco
focus	focalizar
tappanut	a
tappanut	mataron
tappanut	matou
tappanut	asasinado
tappanut	mortos
kyydissä	a
kyydissä	bordo
kyydissä	marcha
kokoontuu	se
kokoontuu	coa
jouluna	nadal
strategia	estratexia
toimijoiden	músicos
toimijoiden	entidades
toimijoiden	actores
kasetti	cinta
kiinalaista	os
kiinalaista	chineses
kiinalaista	chinés
kiinalaista	chinesas
kiinalaista	chinesa
dai	dai
leirillä	campo
leirillä	campamento
leirillä	acampamento
leirillä	do
ketä	quen
ketä	que
näytteen	mostra
puku	traxes
puku	vestido
puku	roupa
puku	para
puku	satisfacer
puku	traxe
pankkien	bancos
vuoro	de
vuoro	quenda
vyö	cinto
konserttia	concert
konserttia	concerto
konserttia	balde
konserttia	espectáculo
konserttia	show
genevessä	xenebra
kokemusten	as
kokemusten	experiencias
maksa	paga
maksa	pagar
maksa	pagalo
maksa	fígado
lasin	vaso
lasin	vidro
lasin	cristal
lasin	de
lasin	copa
lampaat	ovellas
sukupolvea	xeración
sukupolvea	da
tornissa	torre
isät	pais
isät	os
isät	pai
taistellut	loitei
taistellut	contra
taistellut	loitou
taistellut	loitamos
hollywoodiin	hollywood
tavaran	bens
tavaran	luxo
tavaran	o
tavaran	ben
lincolnin	lincoln
söi	comemos
söi	comín
söi	comeu
söi	comiches
söi	hoxe
venetsia	venecia
tehtaassa	fábrica
tehtaassa	fábricas
tehtaassa	industriais
kysyntää	demanda
kysyntää	pido
kysyntää	custar
pienentää	reducir
hyönteisten	insectos
palautettu	volveu
dickinson	dickinson
rahasto	fondo
rahasto	de
hyppää	así
hyppää	saltar
hyppää	chimpa
paketti	paquete
viimeisimmät	recente
viimeisimmät	recentes
viimeisimmät	últimos
viimeisimmät	últimos
viimeisimmät	último
viimeisimmät	últimas
pilven	nube
sävy	ton
sävy	sombra
vety	de
vety	hidróxeno
puutetta	falta
puutetta	de
puutetta	carecen
psykologinen	psicolóxica
psykologinen	psicolóxicas
mato	verme
osallistu	participar
bensiini	gas
bensiini	gasolina
bensiini	de
bensiini	gases
bensiini	gasolina
alaston	espido
isoäiti	avoa
isoäiti	avoa
isoäiti	a
urheilua	deportes
urheilua	deporte
paratiisi	paraíso
paratiisi	o
näyttämö	escenario
näyttämö	etapa
näyttämö	no
näyttämö	palco
kraatteri	cráter
mussolini	mussolini
nauha	cinta
rikollisia	delincuentes
rikollisia	criminais
bravo	bravo
itselleni	min
itselleni	mesma
itselleni	mesmo
itselleni	eu
itselleni	me
gustave	gustave
kapinallisia	rebeldes
alemmas	máis
alemmas	inferior
alemmas	baixos
alemmas	pulmonar
alemmas	calefacción
huumeita	medicamentos
huumeita	fármacos
huumeita	drogas
titan	titán
toteuttaminen	execución
polar	polar
polar	polares
sadetta	chove
sadetta	chuvia
sadetta	choiva
sadetta	nos
sadetta	topásemos
sadetta	con
sadetta	outras
sadetta	razas
sadetta	chover
sadetta	a
lataus	cargo
lataus	mando
lataus	cargos
lataus	carga
väkivaltainen	violentos
väkivaltainen	violenta
väkivaltainen	violentas
väkivaltainen	violento
väkivaltainen	violencia
slim	slim
norton	norton
sokeri	azucre
konfliktin	conflito
edut	interesa
edut	intereses
edut	beneficios
edut	os
alabaman	alabama
paita	camisa
paita	camiseta
raamattua	biblia
raamattua	biblias
työpaikat	traballo
työpaikat	traballos
työpaikat	traballo
neito	señora
neito	dama
neito	muller
neito	nai
käyttöoikeus	acceso
käyttöoikeus	aos
huonompi	peores
huonompi	peor
huonompi	empeora
tappava	mortal
tappava	pecados
tappava	fatal
viranomaisen	autoridade
solu	célula
solu	cela
äänioikeus	votamos
äänioikeus	voto
äänioikeus	votan
äänioikeus	votar
äänioikeus	votos
äänioikeus	voten
asento	posición
asento	poder
rasvaa	graxa
rasvaa	gorda
rasvaa	gordo
rasvaa	gordos
rasvaa	o
ohjukset	mísiles
laitokset	institucións
vincenzo	vincenzo
haavoittunut	feridos
haavoittunut	feridos
haavoittunut	ferido
häiriöt	trastornos
häiriöt	desordes
kauniit	fermoso
kauniit	bonita
kauniit	fermosa
kauniit	precioso
kauniit	fermosas
heikot	débil
luottamus	confianza
luottamus	en
luottamus	confianza
luottamus	confiar
luottamus	confío
kalliita	caro
kalliita	caros
kalliita	cara
lesken	viúva
myrkky	veleno
näytteitä	mostras
clint	clint
kaatuu	a
kaatuu	namorarse
kaatuu	caendo
kaatuu	derrube
kaatuu	ardendo
kaatuu	cae
kaatuu	caída
kaatuu	outono
kaatuu	caer
päälliköt	xefes
päälliköt	mestres
päälliköt	encargados
toimenpiteet	medidas
muistot	lembranzas
muistot	recordos
muistot	memoria
kuninkaalliset	teatro
kuninkaalliset	royal
kuninkaalliset	súa
kuninkaalliset	real
kuninkaalliset	alteza
puhuja	♪
puhuja	falante
nimetön	anónimos
pidättää	deter
pidättää	arresto
kaikkialle	todas
kaikkialle	as
kaikkialle	partes
kaikkialle	por
kaikkialle	en
kaikkialle	everywhere
kaikkialle	todo
kaikkialle	todos
liberaali	liberais
liberaali	liberal
munan	ovo
portaat	pasos
portaat	escaleiras
portaat	as
portaat	escaleira
portaat	escaleiras
reikä	buraco
reikä	burato
reikä	furado
reikä	hole
sukulaiset	parentes
sukulaiset	familiares
oikeudenkäyntiä	ensaio
oikeudenkäyntiä	xuízo
oikeudenkäyntiä	proceso
haasteita	retos
haasteita	desafíos
ihana	marabillosas
ihana	marabilloso
ihana	marabillosa
ihana	fermoso
ihana	encantador
ihana	preciosa
puro	río
puro	regato
hampaita	dentes
hampaita	os
käyttöliittymä	interface
käyttöliittymä	usuario
vitsi	broma
vitsi	chiste
vitsi	bromas
vitsi	gracia
vitsi	conto
videota	vídeo
videota	video
videota	videoxogos
verilöyly	masacre
tavara	bens
tavara	luxo
tavara	o
tavara	ben
vahingot	danos
vahingot	dano
neliö	cadrado
neliö	square
neliö	cadradas
neliö	praza
neliö	limpo
annos	dose
palvelua	servizo
palvelua	de
lakki	sombreiro
lakki	o
lakki	chapeu
lakki	sombreiriño
kallon	cranio
väheneminen	a
väheneminen	redución
väheneminen	diminución
väheneminen	diminúe
innostunut	fan
innostunut	emocionado
innostunut	ilusionado
sanonta	dicir
sanonta	dicindo
sanonta	que
sanonta	digo
sanonta	di
asiakkaille	clientes
syvällä	no
syvällä	fondo
syvällä	profundo
syvällä	profundidade
syvällä	de
edustus	representación
varasti	roubei
varasti	roubaron
varasti	roubaches
varasti	o
varasti	roubou
varasti	estola
varasti	rouboume
koskettaa	tacto
koskettaa	toque
koskettaa	contacto
koskettaa	tocar
koskettaa	toques
dawson	dawson
sukulaisia	parentes
sukulaisia	familiares
hyppy	así
hyppy	saltar
hyppy	chimpa
olennot	os
olennot	seres
olennot	criaturas
linnake	forte
gus	gus
poikaystävä	mozo
epämääräinen	mala
pommeja	bombas
pommeja	as
viisauden	a
viisauden	sensatez
viisauden	sabiduría
viisauden	sabedoría
odysseus	ulises
kostoa	vinganza
kostoa	vingar
narttu	puta
internationale	o
internationale	xénero
jamaika	xamaica
jamaika	jamaica
nähtävästi	aparentemente
riviä	liñas
riviä	de
riviä	trincheiras
riviä	frases
leikata	cortar
roomaa	roma
skandaalin	escándalo
lämmintä	calor
lämmintä	quentes
lämmintä	quente
lämmintä	cálida
valloitus	conquista
nälkään	fame
nälkään	de
nälkään	pasando
tuottaminen	producindo
wendy	wendy
tekoja	actos
tekoja	actos
chicagoon	chicago
osakkeet	depósito
maailmojen	mundos
tietokoneet	ordenadores
tietokoneet	computadores
tietokoneet	ordenador
tietokoneet	computador
tietokoneet	ordenadores
puhuivat	falei
puhuivat	falou
puhuivat	falaba
keinotekoinen	artificiais
keinotekoinen	artifical
keinotekoinen	artificial
kipu	dor
kipu	moito
orgaaniset	orgánico
baari	pola
baari	de
baari	taberna
baari	bar
lammas	ovellas
lammas	cordeiro
kunnioitusta	respectar
kunnioitusta	respeto
kunnioitusta	respecto
kunnioitusta	respéctanme
aidan	perista
poltti	queimado
poltti	queimaron
poltti	queimou
poltti	queimados
ystävyyden	amizade
ystävyyden	a
patterson	patterson
sieniä	cogomelos
resurssien	recurso
päät	cabezas
aikuista	adultos
aikuista	adulta
aikuista	adulto
aikuista	dun
tasapaino	equilibrio
tasapaino	balance
tasapaino	o
reaktorin	reactor
keisaria	emperador
kuuluisat	famoso
kuuluisat	famosos
kuuluisat	famosa
fyysiset	física
fyysiset	físicos
fyysiset	físicas
fyysiset	físico
rikkoa	romper
rikkoa	o
tasot	niveis
niskan	pescozo
niskan	par
niskan	deles
niskan	caluga
housut	pantalóns
housut	pantalón
housut	pantalóns
housut	ruta
housut	no
housut	os
housut	pantalón
housut	brancos
frankin	frank
frankin	franco
odotettavissa	se
odotettavissa	esperaba
odotettavissa	que
toimitettu	a
palvella	servir
palvella	serven
vastustus	resistencia
vastustus	a
vastustus	oposición
metsästystä	caza
fidel	fidel
liittovaltio	federal
liittovaltio	circuíto
liittovaltio	federais
tuhottu	destruídos
tuhottu	destruíron
tuhottu	destruído
tuhottu	con
tuhottu	destruírono
tuhottu	destruír
lainsäädäntöä	lexislación
lainsäädäntöä	a
lainsäädäntöä	lei
maailmanlaajuisen	mundial
maailmanlaajuisen	de
maailmanlaajuisen	global
maailmanlaajuisen	globais
kahvi	café
kasvatettu	criados
kasvatettu	a
kasvatettu	crecín
kasvatettu	criamos
maksu	pago
itsemurha	suicidio
itsemurha	suicidarse
tyypit	tipos
punta	libra
menetys	perda
osallistumisen	participación
osallistumisen	implicación
osallistumisen	participación
saatana	satanás
saatana	satán
orjat	escravos
nottingham	nottingham
tietoisuus	consciencia
tietoisuus	a
tietoisuus	conciencia
tietoisuus	da
tietoisuus	conciencia
tietoisuus	cognición
härkä	touro
sadat	centos
valmiit	rematei
valmiit	xa
valmiit	rematado
valmiit	remate
valmiit	acabado
valmiit	rematar
valmiit	rematou
valmiit	remataches
vaihdettu	cambiou
vaihdettu	cambiei
vaihdettu	de
japanilaista	xaponés
japanilaista	xaponeses
cruise	levádeme
soluja	as
soluja	células
tykistö	artillaría
tykistö	artillería
asiakirjojen	documentos
hautaa	soterrar
hautaa	tumba
hautaa	grave
perus	básica
perus	básicos
perus	básico
perus	básicas
perus	as
kokeellinen	experimental
nauttii	desfrutando
nauttii	ben
markkinoi	a
proteiinin	proteína
suojan	protección
avaimen	clave
avaimen	chave
kirjastosta	biblioteca
syvemmälle	máis
illinoisin	illinois
vauva	bebé
vauva	nena
vauva	rapaz
viikonlopun	fin
viikonlopun	de
viikonlopun	semana
saul	saúl
kengät	zapatos
kengät	os
kengät	botas
kengät	tenis
jenkins	jenkins
oletus	defecto
oletus	por
richardin	richard
nenä	nariz
nenä	o
nenä	no
nigeriassa	nixeria
nigeriassa	en
