utazási	viatges
vega	vegà
vega	vegana
befejeződött	completat
befejeződött	finalitzats
boris	boris
boris	borís
kliens	client
módosítani	modifica
koalíció	coalició
tűzoltó	bomber
szex	sexe
szex	sex
utazók	viatgers
utazók	viatger
kőolaj	oli
kőolaj	petroleum
kőolaj	petroli
spin	espín
spin	spin
hallottam	escoltat
hasonlóképpen	igualment
hálózatok	xarxes
rajza	dibuix
mónika	mònica
mónika	monica
evolúciós	evolutiva
evolúciós	evolutiu
logikus	lògic
utasítások	instruccions
kertészeti	horticultura
kertészeti	hortícoles
kertészeti	jardineria
hasi	abdominal
jürgen	jürgen
jürgen	jurgen
vád	càrrecs
vád	fiscalia
vád	acusació
végrehajtása	implementar
lábai	cames
ellenálló	resistents
ellenálló	resistència
lucy	lucy
liter	litre
liter	litre
műhelyek	tallers
dylan	dylan
derek	derek
suzuki	suzuki
camp	campament
camp	camp
dublin	dublín
dublin	dublin
kontinensen	continent
britney	britney
eltávolítása	elimina
eltávolítása	supressió
eltávolítása	eliminació
kritikát	crítica
kritikát	crítica
merőleges	perpendicular
kenyér	pa
sütő	estufa
sütő	forn
kinga	king
kinga	rei
kinga	cunegunda
démon	dimoni
karen	karen
tulajdon	propietat
marokkói	marroquí
zavarok	pertorbacions
hódító	conqueridor
hódító	conquerint
lábát	cames
lábát	cama
lábát	pota
amanda	amanda
cleveland	cleveland
folytatás	reprèn
folytatás	represa
folytatás	currículum
folytatás	continuació
folytatás	seqüela
folytatás	continuant
folytatás	continuat
folytatás	continuada
hittem	creien
hittem	cregut
hittem	pensament
fasiszta	feixista
célokat	objectius
végrehajtani	executa
végrehajtani	implementar
villamosok	tramvies
gregory	gregori
gregory	gregory
dominikai	dominica
kocka	geek
kocka	cube
kocka	cub
kocka	nerd
kocka	daus
örülök	plaer
tárgyalás	negociació
tárgyalás	judici
befejezetlen	incomplet
befejezetlen	incompletes
befejezetlen	incompleta
lemond	lemond
lemond	dimitir
lemond	renunciar
optimális	òptim
optimális	òptima
februárban	febrer
detroit	detroit
intézkedések	mesures
intézkedések	accions
konfliktusok	conflictes
konfliktusok	conflicte
szörny	monster
szörny	monstre
adriai	adriatic
eindhoven	eindhoven
fehérje	proteïna
fehérje	proteïnes
fehérje	proteïnes
eltérések	discrepàncies
eltérések	desviacions
eltérések	diferències
vitákat	debats
könyvtárak	biblioteques
könyvtárak	directoris
springer	springer
haut	haut
részecske	partícules
részecske	partícula
elismerés	reconeixement
elismerés	reconeixement
szabályozó	regulador
molekula	molecular
molekula	molècula
elegáns	elegant
elegáns	elegants
elegáns	chic
cáceres	cáceres
vegas	vegas
everton	everton
donna	donna
abd	abd
bekezdés	paràgraf
bekezdés	apartats
bekezdés	paràgrafs
nyilas	sagitari
természetfeletti	sobrenatural
rocky	rocky
megfogalmazott	formulats
megfogalmazott	formulat
fan	fan
kellően	suficientment
fogak	dents
vizsgálati	test
vizsgálati	prova
vizsgálati	provant
vizsgálati	assaig
vizsgálati	proves
rákok	crancs
rákok	crustacis
vaszilij	vassili
fertőző	infeccioses
fertőző	infecciosos
fertőző	decir
fertőző	contagiós
képregények	còmic
képregények	còmics
fertőzött	infectats
fertőzött	contaminats
css	css
blackburn	blackburn
mondatok	frases
mondatok	frases
aligha	difícilment
naruto	naruto
brescia	brescia
baltimore	baltimore
ming	ming
kertek	jardins
tizenhét	disset
zavart	confusió
zavart	confús
zavart	confós
zavart	confosa
molekulák	molècules
csillagászat	astronomia
svédek	suecs
jin	jin
technológiák	tecnologies
iratok	documents
wimbledon	wimbledon
jesse	jesse
kedvezőtlen	desfavorable
kedvezőtlen	desfavorable
évtizedben	dècada
politikailag	políticament
lovasság	cavalleria
platón	plató
tőke	equitat
tőke	capital
csatolt	adjuntat
steel	acer
hardcore	hardcore
kanári	canaries
kanári	canàries
kanári	canari
mason	mason
case	cas
méhek	abelles
viva	viva
aux	aux
jeremy	jeremy
tárolt	emmagatzemada
tárolt	emmagatzemat
elengedhetetlen	indispensables
elengedhetetlen	imprescindibles
elengedhetetlen	imprescindible
elengedhetetlen	essencial
elengedhetetlen	essencials
termés	cultius
termés	conreus
termés	collita
termés	cultiu
termés	conreu
christie	christie
kertben	jardí
alfaj	subespècie
fordulat	gir
akkumulátorok	acumuladors
akkumulátorok	bateries
akkumulátorok	piles
jelzés	senyal
találkozás	sessió
találkozás	reunió
találkozás	trobada
találkozás	encontre
műszerek	instruments
műszerek	instrumentació
számítástechnikai	computació
fogoly	presoner
fogoly	captiva
kiszolgáló	servidor
kecske	cabra
kecske	cabres
hívők	creients
freud	freud
antwerpen	anvers
programozás	programacions
programozás	programació
napoli	napoli
gondok	problemes
huber	huber
etikai	ètic
etikai	ètica
keringési	circulatori
mccartney	mccartney
névmás	pronom
zongorista	pianista
sötétség	foscor
sötétség	tenebres
foster	foster
búr	boer
rns	rna
rns	arn
enrique	enrique
festmények	pintures
dom	dom
tartása	mantenint
ideológiai	ideològica
duncan	duncan
amphibia	amphibia
hansen	hansen
guido	guido
nyújtó	aportant
szegények	pobre
szegények	pobres
tüzérség	artilleria
megerősítve	confirmat
megerősítve	afirmatiu
megerősítve	confirmant
megerősítve	confirmar
megerősítve	confirma
bűncselekmények	crims
bűncselekmények	delictes
bűncselekmények	crim
zoológus	zoòleg
térképek	correspondències
térképek	maps
térképek	mapes
térképek	diagrames
térképek	gràfiques
zeusz	zeus
curtis	curtis
lőszer	municions
lőszer	munició
phillips	phillips
jelentések	informant
jelentések	informes
zászlók	estendards
zászlók	banderoles
zászlók	banderes
zászlók	indicadors
hangsúly	èmfasi
megszálló	ocupant
megszálló	envaint
rajzolt	dibuixat
rajzolt	drew
megmutatta	mostrava
elkészítése	elaboració
elkészítése	preparació
főnix	fènix
főnix	phoenix
grey	gris
grey	grey
michelangelo	michelangelo
forever	forever
értelmezés	interpretació
liu	liu
tisztek	oficials
osztva	dividits
osztva	dividit
érme	monedes
érme	moneda
antonius	antony
protokoll	protocol
hallott	escoltat
asztalos	fuster
asztalos	fusteria
névleges	nominal
elnöksége	presidència
szabályzat	regles
szabályzat	normes
szabályzat	reglaments
szabályzat	pòlissa
szabályzat	política
fájlok	fitxers
fájlok	arxius
harag	colera
harag	ràbia
feliratok	subtítols
morrison	morrison
hullámok	ones
hullámok	onades
jogszabály	llei
jogszabály	legislació
mérték	taxa
mérték	ronc
mérték	mesura
romlott	podrit
romlott	deteriorada
romlott	consentida
primitív	primitives
primitív	primitiu
elvek	principis
tengerpart	platja
tengerpart	platges
fogyaszt	consumeix
műszer	instrument
villeneuve	villeneuve
üresen	buit
üresen	buida
szervez	organitza
izom	músculs
izom	múscul
képzési	entrenament
képzési	formació
ismételt	repetit
párbeszéd	diàleg
líbia	líbia
emlékezett	recordat
fázis	fase
hills	turons
fedezett	cobert
fedezett	cobertes
zsoldos	mercenari
rossini	rossini
kiegészítés	suplement
kiegészítés	addenda
reggae	reggae
égő	cremador
égő	cremant
címeket	títols
keverés	mesclant
keverés	barrejant
keverés	agitant
amsterdam	amsterdam
nigel	nigel
louvre	louvre
választható	opcionals
választható	facultatius
választható	opcional
választható	facultatiu
közvetett	indirectes
közvetett	indirecte
közvetett	circumstancial
elme	ment
sugárzott	radiada
büszke	orgullosa
büszke	orgullós
büszke	orgullosos
mia	mia
orleans	orleans
dinoszaurusz	dinosaure
xxx	xxx
kambodzsa	cambodja
yonne	yonne
forgács	encenalls
kifejtett	expressats
kifejtett	expressada
kifejtett	expressat
bristol	bristol
gyümölcsök	fruit
gyümölcsök	fruita
gyümölcsök	fruites
gyümölcsök	fruits
gyárban	fàbrica
bretagne	bretagne
moss	molsa
moss	moss
énekelni	cantar
énekelni	sing
énekelni	cant
énekelni	cantant
anders	anders
téglalap	rectangle
téglalap	rectangular
szigetcsoport	arxipèlag
líra	lira
líra	lire
feleségek	mestresses
feleségek	manilles
feleségek	esposes
böngésző	navegador
olvasott	llegit
olvasott	llegir
milton	milton
napokon	dies
nagyok	grans
zimbabwe	zimbabwe
garcia	garcia
garcia	garcía
repül	fly
repül	volant
sullivan	sullivan
airways	airways
érzelmek	emoció
érzelmek	emocions
érzelmek	sentiments
galaxy	galàxia
jung	jung
dallam	melodia
dallam	melody
dallam	sintonia
helyzetű	desfavorits
helyzetű	desfavorides
kívánok	desitjant
sandra	sandra
sebész	cirurgià
sebész	cirurgians
folyami	riu
nyilatkozat	declaració
nyilatkozat	declaració
málna	gerds
algériai	algerià
regina	regina
simone	simone
gyermekkori	infància
gyermekkori	infantesa
richards	richards
koronázás	coronació
pozíciók	posicions
órák	hores
órák	classes
órák	rellotges
tár	clips
tár	clip
tár	revista
marion	marion
taxon	tàxon
tizennyolc	divuit
lev	lev
christina	christina
helmut	helmut
említ	mencions
említ	esmenta
nathan	nathan
nero	nero
szabadalmi	patent
fenntartott	reservat
fenntartott	reservada
fenntartott	reservats
petri	petri
operatív	operatiu
operatív	operatius
operatív	operativa
tévedés	error
tévedés	error
claudia	claudia
ágak	branques
bern	berna
klubok	clubs
klubok	trèvols
mindeközben	mentrestant
braun	braun
aude	aude
övezet	zona
megújult	renovades
megújult	renovada
megújult	renovats
megújult	renovat
megmenteni	desa
megmenteni	desant
megmenteni	estalvi
kivételek	excepcions
kivételek	excepció
kivételek	exempcions
rajongó	fan
hozzáférhető	accessible
válaszokat	respostes
válaszokat	respostes
fogyasztása	consum
értékelés	avaluació
értékelés	valoració
jeleket	senyals
küldeni	envia
hódítás	conquesta
iskolákban	escoles
válaszol	contestant
államférfi	statesman
állatkert	zoològic
állatkert	zoo
günther	günther
chase	chase
szenegál	senegal
metropolitan	metropolitan
figyelt	mirava
figyelt	vigilat
judo	judo
díszlet	conjunts
duke	duke
duke	duc
ellátás	subministraments
ellátás	abastament
ellátás	subministrament
gedeon	gideon
ruhát	robes
ruhát	roba
rákos	càncer
alabama	alabama
majom	mico
majom	cercopitec
majom	ape
kasztília	castella
teatro	teatro
merész	negreta
merész	atrevit
merész	atrevida
josh	josh
dohány	tabac
megszökött	escapat
nbc	nbc
lemondását	renúncia
lemondását	dimissió
üstökös	cometa
univerzális	universal
platina	platí
powell	powell
fegyverzet	armament
nyitó	obertura
szerencse	fortuna
szerencse	sort
termékeket	productes
sokoldalú	versàtil
szalag	cinta
szalag	franja
szalag	striptease
vágás	tall
vágás	tallat
vágás	retalla
vágás	talla
vágás	retallat
vágás	edició
vágás	talls
vágás	retalls
vágás	retallades
felismerhető	reconeixibles
testek	cossos
őrmester	sergent
manhattan	manhattan
tisztviselő	administrador
tisztviselő	official
vancouver	vancouver
állatorvos	veterinari
állatorvos	veterinari
szabályozása	regulin
brüsszelben	brussels
eugene	eugeni
konstantinápoly	constantinoble
prof	prof
fogadó	màquina
fogadó	inn
fogadó	hostal
fogadó	receptor
apostolok	apòstols
szándékos	intencionada
szándékos	deliberada
hívő	creient
egyetemek	universitats
abdul	abdul
app	app
íze	gust
túlélő	supervivents
túlélő	sobreviure
túlélő	supervivent
tengerparton	platja
kristályos	cristall
xavier	xavier
csúnya	lleig
csúnya	lletja
csúnya	desagradable
viszonylagos	relatiu
oregon	oregon
sztár	estel
sztár	estrella
kevesebbet	menys
silvio	silvio
egyensúly	balanç
egyensúly	saldo
egyensúly	equilibri
egyensúly	equilibri
xxii	xxii
orlando	orlando
june	juny
bernhard	bernhard
jevgenyij	ievgueni
megegyezés	assentament
megegyezés	acord
felépített	construït
felépített	construit
felépített	edificat
összefüggés	context
barcelonai	barcelona
igazolja	justifiquen
igazolja	justifiqui
igazolja	justifiquin
igazolja	justificar
igazolja	justifica
vándor	viatgera
ingatlan	propietat
ital	beguda
ital	beguda
ital	begudes
szemek	ulls
szemek	eyes
sovány	flaca
sovány	magra
sovány	magre
sovány	fina
erődítmény	fortificació
erődítmény	fortificacions
ciudad	ciudad
krónikák	cròniques
hajóval	nau
szintetikus	sintètic
szintetikus	sintetitzador
szintetikus	synth
kézikönyv	manual
megkötött	concertat
raf	raf
tizenkettedik	dotzè
tizenkettedik	dotzena
dio	dio
ügynökség	agència
tobago	tobago
uralta	dominada
átírni	reescriptura
adler	adler
gmbh	gmbh
jet	jet
elhelyezve	posicionat
zen	zen
bika	bull
szatirikus	satíric
hangos	noisy
mono	mono
lars	lars
polo	polo
tank	tanc
tao	tao
érzés	sentiment
deutsch	deutsch
pillanat	moment
ártatlan	innocent
nickelodeon	nickelodeon
vigyázz	rellotge
kaiser	kaiser
piquet	piquet
tanul	estudiant
tanul	aprenentatge
tanul	aprèn
tanul	aprendre
tanul	apreneu
ghz	ghz
incidens	incident
incidens	incidents
díszítő	ornamentals
díszítő	ornamental
nicolae	nicolae
butler	butler
butler	majordom
dale	dale
roosevelt	roosevelt
kézműves	artesans
kézműves	ofici
kézműves	artesana
kézműves	artesà
kézműves	artesania
obszervatórium	observatori
michele	michele
föderáció	federació
chen	chen
enzim	enzims
enzim	enzim
mansell	mansell
robbant	esclatat
halvány	pale
tárgyalt	negociat
táplálék	nutrició
táplálék	menjar
táplálék	alimentació
funkciók	funcions
funkciók	funcionalitat
funkciók	funcionalitats
funkciók	característiques
promóciós	promo
promóciós	promoció
promóciós	promocionals
promóciós	promocional
palmer	palmer
edzés	entrenament
edzés	pràctica
edzés	entrenament
edzés	formació
tmb	tmb
fuvola	flauta
melinda	melinda
zita	zita
mássalhangzó	consonant
próba	test
próba	prova
próba	provant
próba	assaig
próba	proves
win	guanyar
hangokat	sorolls
hangokat	veus
fellini	fellini
fokozatos	gradual
fokozatos	progressiu
fokozatos	progressiva
fokozatos	progressista
angela	àngela
angela	angela
öröm	alegria
öröm	plaer
madridi	madrid
faji	racial
texasi	texas
összecsapás	clash
összecsapás	confrontació
összecsapás	smackdown
közzétett	publicat
közzétett	publicat
gyakorlatok	exercicis
gyakorlatok	pràctiques
kozák	hetmanat
reformok	reforma
reformok	reformes
társult	associada
társult	associades
társult	associat
folt	spot
folt	pegat
folt	pedaç
folt	patch
diamond	diamond
diamond	diamant
dízel	gasoil
dízel	diesel
dízel	dièsel
audio	àudio
hunok	huns
termelő	productives
termelő	productius
termelő	productiu
termelő	productiva
termelő	cultivador
termelő	productor
chapman	chapman
millennium	millennium
bosszú	venjança
bosszú	venjança
cicero	ciceró
tisztelet	respect
tisztelet	respecte
tisztelet	respectuós
tisztelet	respectuosa
tisztelet	respectuosos
emírségek	emirats
emírségek	emirates
terror	terror
vöröses	rogenc
irma	irma
galériában	galeria
közvetítő	broker
közvetítő	mediadora
közvetítő	mediador
trófea	trofeu
terápiás	terapèutics
terápiás	terapèutic
küzd	lluitant
küzd	lluites
miranda	miranda
hülye	estúpid
fejes	capçalera
örökké	forever
damon	damon
tulajdonosai	propietaris
tesztek	proves
szerelvény	tren
szerelvény	assemblea
domain	domini
helena	helena
nagykövet	ambaixador
reakciók	reaccions
reakciók	reacció
rövidített	escurçar
rövidített	abreujat
rövidített	abreujades
sátán	satan
sátán	satanàs
bejegyzett	registrat
bejegyzett	inscrits
alany	assignatura
alany	subjecte
alany	subjectes
asztali	taula
asztali	quadre
asztali	escriptori
káosz	caos
hyde	hyde
meggyőzni	convèncer
meggyőzni	persuadir
őszinte	sinceres
őszinte	sincers
őszinte	sincera
őszinte	genuí
őszinte	honest
őszinte	honesta
őszinte	sincer
meteor	meteorit
crassus	cras
doki	doc
szertartás	cerimònia
szertartás	ritu
szertartás	ritual
fájdalmas	dolorós
színtelen	incolor
alkalmanként	ocasional
alkalmanként	ocasionalment
menekülés	escapada
menekülés	escapar
menekülés	fugida
menekülés	fuga
menekülés	escape
elvis	elvis
befolyás	influència
számol	comptant
trió	trio
javítás	reparació
javítás	correcció
javítás	reparacions
feltételes	condicional
ich	ich
fulham	fulham
befolyással	influència
birtokok	finques
lisszabon	lisboa
bevált	treballat
bevált	treballats
teremtés	creació
mozilla	mozilla
oldalsó	lateral
oldalsó	laterals
leicester	leicester
humor	comèdia
humor	humor
vonattal	tren
megmenti	salvaments
megmenti	rescata
ronnie	ronnie
meta	meta
baptiste	baptiste
neme	gènere
duó	duo
pet	pet
pet	mascota
szállítási	lliurament
utah	utah
mélységben	profunditats
átlátszó	transparent
átlátszó	transparents
operát	opera
operát	òpera
paraszt	montañés
para	para
