бизнисмен	商人
благосостојба	福利
показатели	指標
координатен	協調
координатен	坐標
такси	計程車
такси	出租
неутрална	中性
неутрална	中立
поштенска	郵費
советите	蘇維埃
критична	危急
критична	批判
критична	臨界
црта	繪製
пенал	罰
пенал	懲罰
пенал	處罰
пенал	刑罰
домашно	國內
домашно	家用
домашно	國內
домашно	作業
домашно	功課
домашно	自制
континуитет	持續性
континуитет	連續性
континуитет	延續
инспирирана	啟發
инспирирана	靈感
иницијативата	動議
иницијативата	運動
присуствувал	出席
олтар	祭壇
олтар	壇
тенок	薄
тенок	瘦
ајкула	鯊
ајкула	鯊魚
сфери	球體
андреја	andrea
монах	僧侶
монах	和尚
монах	僧
напредува	推進
култ	崇拜
култ	邪教
мешана	混合
предна	前面
предна	陣線
рамни	平面
рамни	平
рамни	公寓
ложа	休息室
автономен	自主
тенеси	田納西州
тенеси	田納西
бест	best
бест	最好
пророк	先知
воздухопловство	航空
олово	鉛
олово	領先
олово	帶頭
допинг	興奮劑
допинг	摻雜
манифест	宣言
хондурас	宏都拉斯
месечно	月刊
месечно	每月
месечно	月
месечно	個月
месечно	月份
вооружена	武裝
погодна	適合
погодна	合適
странци	陌生人
странци	外國人
странци	外籍人士
дејмон	damon
неверојатно	驚人
неверојатно	神奇
редок	稀有
редок	難得
редок	罕見
виновен	有罪
сиви	灰色
сиви	灰
сиви	灰色
сиви	灰
сиви	grey
мин	閔
мин	敏
направа	裝置
катастрофи	災害
катастрофи	災難
катастрофи	災害
катастрофи	災難
атол	環礁
суверенитет	主權
извонредно	非凡
извонредно	傑出
извонредно	未決
вернер	werner
младина	青年
младина	青春
младина	青少年
антарктикот	南極洲
антарктикот	南極
антарктикот	南極洲
антарктикот	南極
саем	公平
глина	黏土
глина	泥
глина	粘土
семе	種子
исклучен	下線
исклучен	離線
исклучен	關
исклучен	關閉
исклучен	斷線
доброволно	心甘情願
доброволно	自願
доброволно	自願性
вредни	勤勞
вредни	寶貴
преселба	搬遷
преселба	遷移
преселба	搬家
преселба	感動
отварање	開局
отварање	開幕
религиозен	宗教
вриење	煮沸
вриење	沸騰
напаѓачот	前鋒
ќелии	細胞
хоризонтални	橫向
хоризонтални	水平
соништата	夢
соништата	夢境
соништата	夢想
статутот	章程
статутот	法規
статутот	規約
апликацијата	申請
апликацијата	申請書
апликацијата	app
увид	洞察力
увид	洞察
нож	刀
нож	刀子
нож	小刀
стабилни	穩定
стабилни	馬廄
измислил	發明
примирје	休戰
примирје	停戰
спонзор	贊助
грант	grant
вештачка	人工
вештачка	人造
мозаик	馬賽克
поминати	花費
совршено	完美
пензија	退休
пензија	退休金
пензија	養老金
платен	付費
недостасува	缺少
недостасува	失蹤
недостасува	遺失
декада	十年
скапоцени	珍貴
скапоцени	珍寶
скапоцени	寶貴
дерек	derek
бонус	獎金
бонус	紅利
бонус	獎勵
стрелци	射手
стрелци	槍手
спротивен	對面
носење	穿著
носење	穿
носење	攜帶
носење	承載
носење	攜帶
клеопатра	cleopatra
домаќинство	家用
домаќинство	住戶
ќелија	細胞
ќелија	牢房
изложена	暴露
изложена	曝光
алехандро	alejandro
дипломи	學位
дипломи	度
дипломи	文憑
носорози	犀牛
зголемено	增加
колеџи	學院
колеџи	院校
ерфурт	erfurt
коли	車
коли	汽車
доктрина	原則
доктрина	學說
доктрина	教義
доктрина	理論
доктрина	原理
учебници	課本
учебници	教科書
учебници	課本
учебници	教科書
густа	稠密
густа	密集
летало	飛艇
летало	飛行船
сопственоста	所有權
сопственоста	擁有權
астрономи	天文學家
потомок	後裔
потомок	後代
растење	成長
растење	增長
компликации	併發症
компликации	併發症
марш	沼澤
марш	三月
препорака	建議
одозгора	上方
одозгора	以上
морфологија	形態
шпанско	西班牙文
шпанско	西班牙語
гори	燒錄
гори	燃燒
гори	燒傷
гори	燒
гори	燒死
гори	燃燒
гори	燒
евгениј	evgeny
евгениј	evgeni
отфрли	丟棄
отфрли	放棄
отфрли	捨棄
продолженија	續集
варење	消化不良
варење	消化
рекреација	娛樂
рекреација	休閒
произведен	製造
ставовите	態度
оштетен	受損
оштетен	損壞
импулс	衝動
рут	ruth
банкноти	紙幣
банкноти	鈔
банкноти	賬單
банкноти	帳單
банкноти	法案
женско	女
женско	女性
хонда	本田
нерв	神經
препознавање	承認
препознавање	表彰
астрологија	占星術
допира	觸及
конечна	決賽
градината	園
градината	園林
градината	花園
градината	園藝
кембел	campbell
сопствено	定制
сопствено	自訂
блага	輕度
блага	溫和
пијанист	鋼琴家
рај	天國
рај	天堂
рај	天堂
рај	樂園
лови	獵
лови	hunt
лови	狩獵
мина	mina
комбинира	結合
полнење	餡
полнење	補給
апостолски	使徒
предизвици	挑戰
грип	流感
грип	感冒
грип	流感
кражба	失竊
кражба	盜竊
кражба	偷竊
кражба	盜竊
цитати	引號
цитати	報價
цитати	引述
цитати	引用
цитати	引文
цитати	引文
цитати	語錄
дрвен	木質
дрвен	木
дрвен	木制
примарно	初級
неофицијална	非正式
нло	不明飛行物
нло	飛碟
нло	ufo
муса	musa
фрост	frost
фрост	霜
фрост	冰霜
добивајќи	接收
декрет	法令
декрет	政令
фати	接住
индустри	工業
индустри	產業
индустри	行業
полицаец	cop
полицаец	官
полицаец	軍官
бременост	懷孕
бременост	妊娠
бременост	孕期
точност	準確性
точност	精確度
точност	精度
точност	準確度
агресија	侵略
заштитена	保護
оцени	等級
оцени	成績
необично	異常
необично	不尋常
летната	仲夏
погреб	喪葬
погреб	葬
погреб	埋葬
погреб	葬禮
погреб	喪葬
погреб	喪禮
течна	液體
течна	液
течна	液態
намери	意圖
намери	意向
намери	意圖
намери	意向
кош	籃
кош	籃子
олимпијадата	奧運會
олимпијадата	奧運
зелените	綠黨
позајмица	借款
позајмица	貸款
позајмица	借貸
позајмица	借款
позајмица	借用
позајмица	借
позајмица	借貸
компир	土豆
компир	馬鈴薯
крос	十字架
крос	cross
крос	十字
крос	交叉
зајакнување	加強
зајакнување	加強
зајакнување	加強
зајакнување	增強
изминатите	過往
изминатите	過去
трагедија	慘案
трагедија	悲劇
трагедија	慘劇
заштитува	保護
посветено	奉獻
посветено	專用
опит	試驗
опит	實驗
преден	前面
преден	陣線
корисен	實用
корисен	有用
внатрешност	內政
внатрешност	內部
внатрешност	內地
картагина	迦太基
образовна	教育
парфеми	香水
сокол	獵鷹
сокол	隼
сокол	鷹
сокол	雕
доналд	donald
остаток	殘留物
остаток	殘餘物
остаток	殘留
остаток	殘渣
остаток	殘餘
остаток	遺跡
сида	愛滋病
сида	aids
матрица	母體
матрица	矩陣
состави	編譯
состави	編譯
копнени	陸地
поетска	詩意
атлетичар	運動員
пожари	火災
марфи	murphy
трска	拐杖
трска	甘蔗
трска	手杖
трска	簧片
трска	reed
фонтана	噴泉
лира	里拉
очекувањата	期望
очекувањата	預期
очекувањата	期望值
дефицит	赤字
дефицит	虧損
дефицит	逆差
објаснувања	解釋
лековити	藥用
координација	協調
дебати	辯論
фарма	農場
мускул	肌
мускул	肌肉
шестото	第六
марта	martha
милијарда	億
отпад	廢料
отпад	廢棄物
отпад	廢物
отпад	浪費
лили	百合
лили	lily
сенат	元老院
сенат	參議院
глен	glenn
додели	指派
провери	檢查
провери	支票
преродба	重生
преродба	再生
комерцијално	商用
комерцијално	商事
комерцијално	商業
датотеки	文件
датотеки	檔案
повреден	受傷
повреден	傷
повреден	傷害
пијалак	喝
пијалак	喝酒
иселување	驅逐
суштински	核心
суштински	core
поттикнување	煽動
поттикнување	煽動
граѓанско	民事
граѓанско	公民
вертикално	垂直
вертикално	縱向
вертикално	垂直
вертикално	縱向
субјект	主題
неопходна	不可或缺
неопходна	必不可少
неопходна	必要
неопходна	必需
печати	印刷
печати	列印
печати	海豹
крајбрежни	沿海
тапанарот	鼓手
алги	海藻
алги	藻類
алги	海帶
алги	海藻
хектор	hector
искористена	使用
добротворни	慈善
тера	tara
георгиј	georgi
георгиј	georgy
шпекулации	投機
шпекулации	推測
прст	指頭
прст	手指
форт	堡
форт	堡壘
форт	要塞
темел	基金會
темел	基石
прибор	用具
прибор	kit
забрани	禁止
хаваи	夏威夷
декорација	裝飾
техничар	技師
техничар	技工
техничар	科技
архипелаг	群島
посредници	中介
посредници	中介
матката	子宮
здрав	健康
ливада	草地
јуриј	yuri
дозволени	允許
дозволени	獲准
дозволени	允許
древна	古代
древна	古老
чекаат	等候
чекаат	等待
разводот	離婚
проба	排練
проба	排演
проба	彩排
пламен	火焰
пламен	火焰
пиштол	手槍
пиштол	槍支
пиштол	槍
пиштол	炮
бракови	結婚
бракови	婚姻
бракови	婚姻
инспектор	督察
лечење	醫治
лечење	治癒
лечење	療傷
лечење	康復
натпреварувач	參賽者
бан	禁止
јаболка	蘋果
повикани	邀請
повикани	受邀
корисно	實用
корисно	有用
туберкулоза	肺結核
туберкулоза	結核
туберкулоза	結核病
транс	trance
транс	恍惚
транс	跨
транс	轉運
сестрите	姐妹
сестрите	姊妹
архиви	檔案
фантазија	幻想
фантазија	想象力
фантазија	想象
фантазија	想像
фантазија	想像力
океаните	海洋
тарнер	turner
прогонство	流亡
прогонство	放逐
прогонство	流放
бесконечно	無盡
бесконечно	無限
бесконечно	無窮
бесконечно	無盡
бесконечно	無止境
видливо	可見
портокалова	橙
портокалова	橘色
портокалова	橘子
портокалова	橙色
портокалова	橘
корица	覆蓋
корица	封面
корица	掩護
цртеж	畫畫
цртеж	繪圖
цртеж	圖畫
цртеж	繪畫
надлежности	能力
усни	嘴唇
усни	唇
усни	雙唇
мајнинген	meiningen
компромис	妥協
компромис	折衷
кружен	環形
кружен	圓形
кружен	迴圈
нерешено	領結
нерешено	平局
нерешено	領帶
нерешено	未解決
батиста	battista
мајор	少校
мајор	主要
мајор	主修
формати	格式
пријателска	友軍
пријателска	友好
пријателска	友善
стабилен	穩定
стабилен	馬廄
моралот	士氣
сферата	球體
сферата	orb
питу	pitu
работилница	研討會
уникатен	獨特
уникатен	獨一無二
јаболко	apple
јаболко	蘋果
сечење	切片
сечење	切割
сечење	削減
константна	常數
роби	robbie
фби	fbi
манастирите	寺院
процени	估計
процени	預估
потврдени	認證
пониско	更低
пониско	較低
пониско	低
фиџи	斐濟
психички	心理
пешак	行人
наредени	訂購
сојузниот	聯邦
жирафа	長頸鹿
холокаустот	大屠殺
тага	哀愁
тага	悲傷
тага	悲哀
колено	膝
колено	膝蓋
зен	禪
институти	研究所
синагога	會堂
гаранција	擔保
гаранција	保固
гаранција	保障
гаранција	擔保
гаранција	保證
екипаж	船員
експедицијата	探險
набљудувач	觀察員
вишокот	過剩
вишокот	過量
вишокот	超額
вишокот	多餘
гимнастика	體操
габон	加彭
тезата	命題
тезата	論文
соработуваат	協作
голф	高爾夫球
шапка	帽
шапка	帽子
спој	混合
продаден	賣
продаден	售出
мичел	mitchell
моника	monica
менхетен	曼哈頓
поседи	土地
оштетени	受損
оштетени	損壞
наведен	上市
реална	real
реална	真實
спиењето	睡
спиењето	睡覺
контра	櫃台
функционери	政要
функционери	官員
мерцедес	賓士
спортистите	運動員
гробници	墓葬
гробници	墳墓
гробници	墓穴
одделени	分居
моделирање	模特
моделирање	造型
хаг	海牙
логичка	邏輯
кварт	季度
кварт	鄰里
премиерно	首播
того	多哥
премио	premio
техничко	技術
кус	簡短
кус	短期
кус	短
кус	矮
илузија	幻想
илузија	幻覺
илузија	錯覺
валентин	valentin
валентин	情人節
алијансата	聯盟
алијансата	同盟
алијансата	結盟
омилена	最愛
омилена	喜愛
вежбање	練習
вежбање	鍛鍊
вежбање	健身
вежбање	實踐
вежбање	練習
вежбање	練習
вежбање	演習
вежбање	鍛鍊
треш	敲擊
одморалиште	度假勝地
нина	nina
кревет	床
кревет	床上
џуџе	侏儒
џуџе	矮人
џуџе	矮
џуџе	侏儒
џуџе	矮星
оштетена	受損
оштетена	損壞
оштетена	損壞
благо	輕微
колони	欄
страда	受苦
страда	受苦
страда	苦難
страда	痛苦
креативноста	創造性
креативноста	創意
креативноста	創造力
јога	瑜伽
јога	瑜珈
рабови	邊緣
придружни	鄰接
придружни	相鄰
придружни	毗鄰
вежба	演習
вежба	演練
вежба	鑽
вежба	鑽孔
вежба	練習
вежба	演習
вежба	鍛鍊
ритамот	韻律
ритамот	節奏
остра	尖銳
остра	鋒利
остра	銳利
димче	煙
димче	吸煙
димче	煙霧
примање	接收
соли	玷污
знаејќи	明知
разум	理由
разум	理性
разум	原因
разум	感
љубовница	情婦
љубовница	女主人
пушти	玩
пушти	彈
пушти	播放
пушти	讓
меркур	水星
меркур	水銀
меркур	汞
пласира	流通
цртање	畫畫
цртање	繪圖
цртање	圖畫
цртање	繪畫
бедем	甕城
наставниците	教師
рецесија	衰退
рецесија	減刑
тура	游
тура	遊覽
тура	導覽
тура	旅遊
тура	批次
тура	分批
оддалечена	偏遠
оддалечена	遙控
оддалечена	遙控器
третираат	對待
прашина	塵土
прашина	塵
прашина	塵埃
прашина	灰塵
рецензија	評語
рецензија	審查
автобус	公車
автобус	巴士
лиза	lisa
лиза	liza
поширок	更寬
поширок	廣義
поширок	廣義
грав	豆
грав	豆子
грав	豆類
грав	豆豆
грав	豆
енциклопедијата	百科全書
малцински	少數人
малцински	少數民族
оцена	等級
оцена	年級
моторни	馬達
моторни	發動機
моторни	電機
квалификувани	合格
водопад	瀑布
новости	快訊
новости	更新
прилив	流入
прилив	湧入
прилив	流入
ноќи	夜晚
ноќи	夜
придавка	形容詞
батлер	管家
смена	輪班
дисертација	論文
скриени	隱藏
плодна	肥沃
поволни	有利
принос	當量
принос	產量
принос	屈服
опери	歌劇
интервали	間隔
камерон	cameron
катарина	katarina
споделување	共用
споделување	共享
споделување	分享
повтори	反復
повтори	重復
хемисфера	半球
притисоци	鎮壓
притисоци	壓制
притисоци	抑制
бебе	嬰兒
бебе	baby
бебе	寶貝
бебе	寶寶
кризи	危機
французи	法文
французи	法語
дизајнери	設計師
геологија	地質
геологија	地質學
трансформации	變換
трансформации	轉換
трансформации	變換
трансформации	轉化
трансформации	轉型
трансформации	轉變
трансформации	變形
апсење	逮捕
апсење	被捕
апсење	拘捕
естетски	美學
формули	公式
рудници	地雷
плод	果實
плод	水果
плод	果
каналите	頻道
каналите	渠道
гибралтар	直布羅陀
квин	秦
квин	quinn
сеќавање	記憶力
сеќавање	記憶
сеќавање	記憶體
сеќавање	回憶
случаен	隨機
хју	休
инциденти	事變
инциденти	事件
инциденти	事件
мајкрософт	microsoft
мајкрософт	微軟
удира	命中
усвои	領養
усвои	收養
изумрени	滅絕
ерика	erika
ерика	erica
исполнување	成就感
мртва	死
таленти	人才
исклучување	排除
исклучување	排除
исклучување	排斥
навивачи	粉絲
овластувања	權力
овластувања	權威
дион	dion
расположение	心境
расположение	心情
расположение	情緒
леќи	鏡頭
леќи	鏡片
леќи	透鏡
леќи	鏡片
осумнаесет	十八
вооружен	武裝
потоци	流
потоци	溪流
понд	池
понд	池塘
страдаат	受苦
сиромашни	窮
управен	管理
здрава	健康
остварувања	成就
остварувања	成績
варијанса	差異
напуштање	遺棄
напуштање	廢棄
џенифер	jennifer
нелегално	非法
нелегално	非法
вар	石灰
ролинг	滾動
кинематографија	攝影
рангирана	排名
визуелни	視覺
готвење	做飯
готвење	烹飪
готвење	煮
готвење	烹調
готвење	煮飯
биланс	平衡
биланс	結餘
биланс	均衡
биланс	餘額
помагала	電器
помагала	用具
експлозијата	爆炸
експлозијата	爆
темелник	基石
женка	女
женка	女性
синџир	鏈
синџир	連鎖
синџир	鏈條
превенција	預防
доменико	domenico
погоди	猜猜
погоди	猜
лидс	利茲
железници	鐵路
железници	鐵路
железници	鐵道
зголемени	增加
изложен	暴露
изложен	曝光
читатели	讀者
дневникот	日誌
јурисдикција	管轄權
наредби	命令
наредби	訂單
примачот	收件人
примачот	收款人
пејзаж	風景
пејзаж	景觀
франки	franky
франки	法郎
микс	搭配
микс	組合
микс	混合
празнува	慶祝
дојл	doyle
сертификат	憑證
сертификат	證書
сертификат	認證
џуниор	初級
џуниор	junior
џуниор	少年
ерл	earl
малцинства	少數民族
експерт	專家
етничко	族裔
патенти	專利權
патенти	專利
гените	基因
сар	特區
библија	聖經
коњите	馬
коњите	馬匹
запознавање	約會
оксид	氧化
оксид	氧化物
пајак	蜘蛛
зависна	依賴
зависна	上癮
убеден	信心
убеден	自信
убеден	深信
долгови	負債
долгови	債務
долгови	債務
чан	陳
чан	燦
ирански	伊朗
извадок	節錄
извадок	摘錄
надомест	退款
надомест	退還
бахреин	巴林
пешадија	步兵
среќна	開心
среќна	快樂
среќна	高興
среќна	幸福
среќна	happy
режими	模式
режими	政權
сиво	灰色
сиво	灰
сиво	灰色
сиво	灰
сиво	grey
лаура	laura
матични	莖
строга	嚴格
строга	嚴謹
муслиманска	穆斯林
кружни	環形
кружни	圓形
кружни	迴圈
ендру	andrew
замав	鞦韆
замав	擺動
замав	搖擺
виолетова	紫色
виолетова	紫
лонг	久
лонг	長
спојувањето	合併
испорака	送貨
испорака	投放
испорака	交付
испорака	交貨
испорака	遞送
случајни	隨機
следбеник	追隨者
магнетна	磁
магнетна	磁力
магнетна	磁性
регистриран	註冊
кенет	kenneth
привлекуваат	吸引
тапанар	鼓手
регулација	條例
хемикалии	化學品
чорапи	襪
чорапи	襪子
потенцијална	潛力
потенцијална	潛在
ешли	ashley
внука	孫女
внука	外孫女
внука	外甥女
внука	姪女
прецизни	準確
прецизни	精確
асоцијации	社團
канзас	堪薩斯
канзас	堪薩斯州
задоволен	滿意
бомбардирање	炮擊
бомбардирање	炮擊
бомбардирање	轟炸
бомбардирање	轟炸
надесно	右
никол	nicole
службено	官方
службено	正式
болници	醫院
антони	anthony
волна	羊毛
патент	專利權
патент	專利
патент	拉鏈
патент	拉鍊
затемнување	日蝕
затемнување	停電
мотивација	動機
мотивација	動因
мотивација	動力
овозможено	啟用
супстанција	實質
супстанција	物質
сојузничките	盟軍
сојузничките	盟國
формален	正規
формален	正式
промоцијата	推廣
промоцијата	促銷
промоцијата	晉升
погодени	命中
хана	hannah
хана	hanna
обвинение	電荷
обвинение	充電
обвинение	收費
обвинение	公訴
обвинение	起訴
обвинение	控告
колонијата	殖民地
саша	沙沙
пописи	人口普查
пописи	普查
известува	報告
идеален	理想
исплата	付款
исплата	支付
морално	道義
морално	道德
плодност	生育率
плодност	生育
ладна	冷冷
ладна	寒冷
ладна	冷
рурални	農村
применети	套用
поттик	激勵
библиски	聖經
моќи	權力
толпата	人群
толпата	群眾
јачмен	大麥
профили	決算
зглоб	腕
зглоб	手腕
разумот	理由
разумот	理性
разумот	原因
меки	軟軟
меки	柔軟
меки	柔和
меки	軟
корупција	腐敗
прирачник	手冊
прирачник	手動
артефакти	工藝品
артефакти	文物
артефакти	手工藝品
групни	大宗
групни	批量
групни	散裝
групни	群組
групни	群
говеда	牛
насочено	定向
нептун	海王星
феминизам	女權主義
предавањето	交接
предавањето	移交
одобрен	核定
одобрен	核准
одобрен	批准
држење	持有
држење	控股
бомбардирањето	炮擊
бомбардирањето	炮擊
бомбардирањето	轟炸
преведена	翻譯
изворно	原本
постојните	現存
постојните	現有
закопан	埋
закопан	埋葬
подигне	加註
љубовник	愛人
љубовник	情人
рејмонд	raymond
лејн	lane
лејн	巷
лејн	車道
католиците	天主教徒
хемиско	化學
хемиско	化學品
хемиско	乾燥
хемиско	乾
минерални	礦物質
минерални	礦物
минерални	礦產
почетен	初始
чук	敲
најниската	最低
мјузикл	音樂
мјузикл	音樂劇
лин	琳
лин	lin
лин	林
навигација	導航
навигација	航行
навигација	導航
седмица	星期
седмица	周
седмица	週
невообичаено	異常
невообичаено	不尋常
обожаватели	粉絲
трупот	赫爾
трупот	船體
виртуелна	虛擬
ментална	心智
ментална	心理
ментална	精神
православие	東正教
православие	正統
шеснаесет	十六
салам	salaam
моторите	引擎
моторите	發動機
процесори	處理器
тркало	輪
тркало	車輪
тужба	訴訟
тужба	官司
автоматско	自動
автоматско	自動
алиса	愛麗絲
подвижност	敏捷
платформи	平台
јаз	jaz
јаз	分裂
јаз	分水嶺
јаз	鴻溝
јаз	分化
јаз	間隙
јаз	缺口
јаз	差距
необични	異常
необични	不尋常
алијанса	聯盟
алијанса	同盟
алијанса	結盟
сервери	伺服器
ударна	突破
ударна	打破
сеул	漢城
формации	編隊
кси	ksi
лиценци	執照
лиценци	許可證
лиценци	執照
трамп	trump
вметнување	插入
вметнување	插入
дебели	厚
дебели	厚厚
дебели	肥
дебели	脂肪
дебели	胖
хинду	印度教
австриска	奧地利
кум	乾爹
кум	教父
барон	男爵
обвинувања	指控
обвинувања	指稱
обвинувања	指控
ентитет	實體
стража	守衛
стража	衛兵
стража	警衛
стража	守護
одобрение	核准
одобрение	核可
одобрение	批准
одобрение	背書
благи	輕度
благи	溫和
фарми	農場
фарми	農莊
морални	道義
морални	道德
неуспешно	失敗
разузнавање	智慧
разузнавање	情報
разузнавање	智力
католицизмот	天主教
комплетна	完整
комплетна	完成
суво	乾燥
суво	乾
крикет	蟋蟀
пеат	唱
пеат	唱歌
пеат	歌唱
пеат	歌聲
пеат	唱歌
пеат	歌唱
автомобилите	車
автомобилите	汽車
нацрт	草稿
смеса	混合物
барак	barack
автомобилски	自動
глобални	全球
ланец	鏈
ланец	連鎖
ланец	鏈條
најстара	最年長
избегнување	躲避
избегнување	避免
избегнување	避免
избегнување	撤銷
пушка	獵槍
пушка	槍支
пушка	槍
пушка	炮
пушка	步槍
монета	硬幣
монета	錢幣
искористен	使用
хигиена	衛生
придружник	伴侶
придружник	同伴
борците	戰鬥機
борците	鬥士
најбрзо	最快
убедување	勸說
убедување	勸
убедување	勸導
убедување	說服力
убедување	判罪
убедување	信念
убедување	定罪
упатства	指令
упатства	指示
екстра	額外
екстра	多餘
набљудувачи	觀察員
набљудувачи	顯示器
набљудувачи	監視器
густи	厚
густи	厚厚
богдан	bogdan
вулкан	火山
мар	mar
фин	finn
ефикасна	有效
русо	russo
русо	盧梭
дроги	藥品
дроги	藥物
дроги	毒品
задржале	留用
канџи	爪
канџи	爪子
левица	左側
левица	左
левица	左翼
левица	左邊
свирење	玩
свирење	播放
хаос	混沌
хаос	混亂
крак	破解
крак	裂縫
млечни	乳製品
преземањето	接管
преземањето	收購
цинк	鋅
изотопи	同位素
енергетска	能量
енергетска	能源
барбадос	巴貝多
насловна	覆蓋
насловна	封面
насловна	掩護
ограничи	限制
ограничи	上限
ограничи	極限
ограничи	限
ограничи	限額
предвиден	預計
пионер	先鋒
пионер	先驅
спие	睡
спие	睡覺
норман	諾曼
мики	mickey
школки	貽貝
школки	河蚌
школки	蛤蜊
школки	蛤
школки	牡蠣
осми	第八
химни	國歌
потврдена	確認
луксузни	奢侈品
луксузни	豪華
луксузни	奢華
луксузни	奢侈
луксузни	奢華
луксузни	豪華
приближна	大致
приближна	近似
басен	盆地
басен	海盆
басен	流域
басен	盆
преместување	轉帳
преместување	轉讓
преместување	轉移
преместување	搬家
преместување	感動
дипломати	外交官
ветар	風
ноќен	黑夜
возрасен	成人
возрасен	成年人
возрасен	成年
рехабилитација	康復
биолошка	生物
биолошка	生物學
прекрасни	漂亮
прекрасни	美
прекрасни	美女
прекрасни	美麗
прекрасни	華麗
уништат	消滅
уништат	摧毀
уништат	毀滅
градежништво	施工
градежништво	建設
градежништво	建築
агенси	代理商
агенси	代理人
интегритет	誠信
интегритет	完整性
интегритет	正直
метода	法
метода	方法
метода	辦法
метода	方式
никаде	無處
ванкувер	溫哥華
меур	泡泡
меур	泡
меур	泡沫
меур	氣泡
меур	膀胱
влакно	纖維
влакно	烏龜
влакно	龜
одобри	核准
одобри	批准
одобри	核定
одобри	核准
одобри	批准
клучот	鑰匙
клучот	鍵
клучот	key
клучот	關鍵
летала	飛機
бејкер	貝克
чоколадо	巧克力
слуга	傭人
мемоари	回憶錄
хамид	hamid
корона	日冕
корона	冕
корона	corona
течат	流
течат	流程
течат	流通
течат	流動
течат	流量
перцепција	感知
перцепција	知覺
спенсер	spencer
калиум	鉀
виа	通過
виа	經由
учебник	課本
учебник	教科書
бетовен	貝多芬
прегледи	評語
прегледи	審查
прегледи	印象
санскрит	梵語
доха	多哈
едвин	edwin
харви	harvey
видлив	可見
послужи	服務
послужи	發球
сос	sos
сос	醬
дополнување	補充
дополнување	輔助
копирање	複製
копирање	副本
копирање	複製
коленото	膝
коленото	膝蓋
пронајдено	找到
пронајдено	發現
ангажман	互動
ангажман	參與
ангажман	訂婚
колин	colin
хормон	激素
хормон	荷爾蒙
најмлад	最小
назначување	任用
назначување	任命
назначување	預約
прогласување	宣言
амазон	亞馬孫
амазон	亞馬遜
антибиотици	抗生素
одбојка	排球
олеснување	救濟
претставувајќи	呈現
осмиот	第八
евреин	猶太人
евреин	猶太
евреин	猶太教
поврати	還原
поврати	恢復
демократите	民主黨
игралиште	操場
игралиште	遊樂場
игралиште	運動場
ензими	酶
битките	戰役
ајкули	鯊魚
