fauna	fauna
funzionario	offisiell
funzionario	official
funzionario	offisielle
productions	productions
productions	produksjoner
stadi	stadioner
stadi	stadier
prezzi	priser
prezzi	prisene
sacri	hellig
sacri	hellige
enzima	enzym
scelti	valgt
scelti	utvalgte
scelti	utvalgt
poetessa	poet
poetessa	dikter
coloniale	colonial
aviatore	aviator
gang	gjeng
gang	gjengen
gang	gjenger
lana	ull
lana	lana
adiacenti	tilstøtende
disastro	katastrofe
disastro	katastrofen
costanzo	costanzo
testimoni	vitne
testimoni	vitner
testimoni	vitne
diffusi	utbredt
diffusi	diffus
signoria	lorden
coltivazione	dyrking
magnus	magnus
quattordici	fourteen
quattordici	fjorten
tronco	overkropp
registri	registre
registri	registrerer
considerazioni	betraktninger
straordinario	usedvanlig
straordinario	ekstraordinære
straordinario	merkverdig
straordinario	ekstraordinært
straordinario	ekstraordinær
straordinario	overtid
camere	rom
alimentari	kolonial
alimentari	dagligvarebutikk
vicinanza	nærhet
qualifiche	kvalifikasjoner
consecutivi	påfølgende
consecutivi	etterfølgende
archeologia	arkeologi
archeologia	arkeologi
apprezzato	verdsatt
apprezzato	verdsatte
solido	solid
solido	massivt
solido	solide
straniera	utlending
straniera	utenlandske
straniera	utenlandsk
muri	murer
muri	vegger
catanzaro	catanzaro
servito	servert
servito	serveres
servito	tjenestegjorde
servito	tjenestegjort
muso	snute
apparente	tilsynelatende
owen	owen
kenneth	kenneth
randy	randy
controllato	kontrollerte
controllato	kontrollert
controllato	sjekka
controllato	sjekket
marta	marta
marta	martha
architettonico	arkitektonisk
short	kort
short	short
short	korte
oslo	oslo
grammy	grammy
abbigliamento	klær
abbigliamento	klær
abbigliamento	tøy
where	hvor
serpente	slange
serpente	snake
felicità	lykken
felicità	lykke
felicità	happiness
illustrato	illustrert
most	most
most	meste
most	mest
straordinaria	usedvanlig
straordinaria	ekstraordinære
straordinaria	merkverdig
straordinaria	ekstraordinært
straordinaria	ekstraordinær
interessati	bekymret
interessati	urolig
interessati	interesserte
interessati	interessert
vincente	vinner
peggio	verste
peggio	dårligste
peggio	verst
peggio	dårligst
peggio	værste
peggio	værre
peggio	verre
peggio	dårligere
doria	doria
rare	skjelden
rare	sjelden
rare	sjeldent
rare	sjeldne
trasmessi	overførbar
trasmessi	overført
bosnia	bosnia
artistiche	kunstnerisk
artistiche	kunstneriske
cornice	ramme
vivente	bodd
vivente	levende
capitan	captain
capitan	kaptein
nona	nona
nona	niende
nona	ninth
lapide	gravstein
lapide	tombstone
urss	sovjetunionen
celebrato	feiret
hits	fulltreffere
hits	hits
sapienza	sapienza
sapienza	visdom
offerto	tilbød
offerto	tilbudt
offerto	tilbys
vampiro	vampyr
strisce	strimler
strisce	striper
maturità	modenhet
recitazione	fungerende
recitazione	skuespill
drive	kjøre
drive	drive
drive	kjør
dottorato	phd
dottorato	doktorgrad
miracolo	mirakelet
miracolo	mirakel
corda	tau
corda	rep
corda	akkord
ninja	ninja
ninja	ninjaer
triangolo	trekant
incinta	gravide
incinta	drektig
incinta	gravid
datata	datert
datata	datet
greatest	størst
greatest	største
greatest	flotteste
greatest	greatest
annessione	anneksjon
gallerie	gallerier
gallerie	tunnelene
gallerie	tunneler
confermata	bekreftet
cittadella	kastellet
fortunato	flaks
fortunato	heldig
fortunato	heldige
fortunato	lucky
fortunato	fortunato
human	menneskelig
vestiti	klær
vestiti	tøy
corsica	korsika
trophy	trophy
trophy	trofeet
trophy	trofé
inviati	sendte
inviati	sendt
carnevale	karneval
carnevale	karnevalet
impulso	puls
impulso	impuls
lucy	lucy
asiatico	asiatisk
asiatico	asiatisk
asiatico	asian
asiatico	asiatiske
eco	eco
eco	øko
eco	ekko
eco	echo
lars	lars
wikipediani	wikipedians
latini	latin
latini	latinske
latini	latinsk
urbino	urbino
powell	powell
ricognizione	recon
ricognizione	rekognosering
