float	vznášať
odabir	zvoľte
odabir	výber
golf	golf
golf	golfové
časti	pocta
časti	cest
časti	česť
felipe	felipe
izložba	výstavu
izložba	výstava
izložba	výstavy
izložba	výstava
izložba	výstavu
ubice	vrahov
ubice	zabijakov
ubice	vrahovia
ubice	zabijaci
ulicama	uliciach
ulicama	ulice
ulicama	ulíc
trim	trim
trim	obklady
trim	skrátiť
rupa	diery
rupa	diera
rupa	hole
rupa	diery
rupa	otvory
rupa	dierky
toro	toro
vels	wales
vels	walesu
vels	studne
vels	jamky
vels	wells
pozitivni	pozitívnych
pozitivni	pozitívne
pozitivni	pozitívna
pozitivni	kladná
pozitivni	pozitívny
zenit	zenit
uni	uni
hogwarts	rokfort
tumor	tumor
tumor	nádoru
tumor	nádor
abba	abba
razmnožavanje	rozmnožovanie
razmnožavanje	reprodukciu
razmnožavanje	reprodukcia
razmnožavanje	reprodukčné
niger	niger
beli	beli
janko	janko
aga	aga
kvadrata	námestia
akt	nahá
akt	nahý
akt	nahé
akt	čin
akt	akt
akt	act
akt	konať
rezolucija	rozlíšenie
rezolucija	rezolúcia
rezolucija	uznesenie
rezolucija	uznesenia
pokrenut	zahájená
pokrenut	spustený
pokrenut	spustené
pokrenut	spustená
privlači	láka
privlači	priťahuje
privlači	prilákať
pljevlja	pljevlja
tvrdeći	hádky
tvrdeći	hádka
duhana	tabaku
duhana	tabak
fenotip	fenotyp
vraćen	vrátená
vraćen	vrátené
vraćen	vrátil
prilikama	príležitosti
počev	začína
počev	začíname
slabi	slabý
slabi	slabá
slabi	slabé
slabi	slabí
pat	pat
malmö	malmö
sekundarna	sekundárne
sekundarna	sekundárna
sekundarna	sekundárny
sekundarna	druhotné
pedeset	päťdesiat
pedeset	fifty
podvrsta	poddruh
terapije	terapie
setu	stanovené
setu	set
setu	nastaviť
najniži	najnižší
najniži	najnižšie
najniži	najnižšej
najniži	najnižšia
najniži	najnižšiu
anderlecht	anderlecht
bremen	brémy
zidine	múry
zidine	steny
zidine	stien
jedu	zjesť
jedu	jesť
ćelijska	bunkovej
uživa	užíva
navijači	fans
navijači	ventilátory
navijači	fanúšikov
navijači	fanúšikovia
navijači	priaznivcov
potencijalno	potenciálne
proširena	rozšírený
proširena	rozšírená
proširena	rozšírené
proširena	rozšírená
graditi	postaviť
graditi	budovať
graditi	stavať
graditi	vybudovať
ogledala	zrkadlá
ogledala	zrkadiel
drveće	stromy
drveće	stromov
sanu	sanu
odmor	dovolenka
odmor	prázdniny
odmor	dovolenky
odmor	dovolenku
povezati	pripojiť
povezati	spojiť
povezati	pripojenie
čuvar	strážca
najduža	najdlhšie
genetičko	genetický
genetičko	genetická
genetičko	genetické
genetičko	genetického
sobe	miestnosť
sobe	izbu
sobe	izby
sobe	izba
sobe	miestnosti
sobe	izieb
sobe	miestnosti
sobe	izby
dodjele	udeľovanie
dodjele	zadávanie
broz	broz
spolni	pohlavný
spolni	sexuálna
spolni	sexuálne
spolni	sexuálny
kobilica	carina
slabost	slabosť
brza	rýchle
brza	rýchlo
brza	rýchly
brza	rýchla
čeka	čakanie
čeka	čaká
čeka	čakám
čeka	čakať
čeka	očakáva
čeka	čaká
scenariju	scenár
boys	boys
boys	chlapci
boys	chalani
preuzimanje	sťahujem
preuzimanje	sťahovanie
preuzimanje	stiahnutie
preuzimanje	stiahnuť
preuzimanje	sťahovanie
kimi	kimi
dvorište	dvore
dvorište	dvor
najjači	najsilnejší
najjači	najsilnejšie
najjači	najsilnejšia
pretpostavka	predpoklad
pretpostavka	domnienka
pretpostavka	predpokladu
pretpostavka	prevzatie
pretpostavka	predpoklad
benfica	benfica
zaključka	záver
sastojak	zložka
sastojak	prísada
uši	uši
uši	ušami
uši	uší
strujanja	prúdy
spartak	spartak
universal	univerzálny
universal	univerzálnych
universal	univerzálnej
universal	univerzálne
sestara	sestry
sestara	sestričky
slavenska	slovanská
donald	donald
apsolutni	absolútna
apsolutni	absolútnu
apsolutni	absolútne
apsolutni	absolútny
ronnie	ronnie
bitaka	boje
bitaka	bitky
dešavanja	udalostí
dešavanja	podujatia
dešavanja	udalosti
dešavanja	vývoj
jugozapadnom	juhozápad
vojislav	vojislav
mačka	kocúr
mačka	mačka
mačka	cat
skokova	skáče
skokova	skočí
neophodna	potrebná
neophodna	nevyhnutná
neophodna	nutné
neophodna	nevyhnutné
neophodna	potrebné
neophodna	nutná
ravne	byt
ravne	ploché
ravne	plochá
luca	luca
colin	colin
vijećnica	hala
vijećnica	sála
vijećnica	sieň
vijećnica	hall
zadrži	držať
zadrži	uchovávať
zadrži	majte
zadrži	ponechať
zadrži	zachovať
monroe	monroe
bara	bara
rama	rama
gudački	reťazec
gudački	reťazce
mirno	pokojne
građevinski	konštrukcia
građevinski	výstavba
građevinski	stavba
građevinski	stavebníctvo
diskovi	disky
diskovi	diskov
aspekt	aspekt
aspekt	hľadisko
addclass	addclass
čulo	rozum
čulo	zmysel
zvijeri	beštia
zvijeri	šelmy
zvijeri	zviera
zvijeri	zvery
odražava	odzrkadľuje
odražava	odráža
prođe	vyhovuje
prođe	prejde
prođe	prechádza
moral	morálku
moral	morálka
moral	morálky
moral	morálka
moral	morálku
moral	morálky
moral	morálka
boban	boban
dovoljan	stačí
dovoljan	dost
dovoljan	dosť
dovoljan	dostatočný
dovoljan	dostatočná
dovoljan	dostatočné
dovoljan	postačujúce
antonije	antonius
prefiks	predpona
namjeru	zámer
namjeru	úmysel
ers	ers
prikupljanje	zozbierať
prikupljanje	zbierať
prikupljanje	zhromaždiť
maya	maya
odredbe	ustanovenia
odredbe	rezervy
bis	bis
zločini	zločiny
stalna	natrvalo
stalna	trvalý
stalna	trvalá
stalna	trvalé
stalna	trvalého
dlaka	vlasov
dlaka	vlasy
dlaka	chlpy
dlaka	srsť
prijateljstvo	priateľstvo
prijateljstvo	priateľstva
raja	raja
hansen	hansen
antropologija	antropológia
svečano	obrad
svečano	slávnosť
svečano	slávnostný
svečano	slávnostne
napoli	neapol
napoli	napoli
koalicija	koalície
ricardo	ricardo
dobrovoljno	dobrovoľne
dobrovoljno	dobrovoľník
markt	markt
povjerenje	sebavedomie
povjerenje	dôvera
povjerenje	dôveru
povjerenje	veriť
povjerenje	dôvera
povjerenje	ver
povjerenje	dôveru
povjerenje	dôverovať
oblak	oblak
oblak	mrak
oblak	cloud
auf	auf
škoda	škoda
žica	drôt
žica	drôtu
žica	drôty
folk	ľudové
folk	folk
korisno	užitočný
korisno	užitočné
korisno	užitočná
mentalno	mentálne
mentalno	duševne
mentalno	duševná
mentalno	duševné
mentalno	mentálne
mentalno	duševne
mentalno	psychicky
skala	rozsahu
skala	stupnica
ruševine	ruiny
donesena	prevzaté
donesena	prijatých
donesena	prijaté
stevens	stevens
patuljasta	trpaslíka
patuljasta	trpaslík
sličnost	podobnosť
sličnost	podoba
trgovac	účastník
trgovac	obchodník
jennifer	jennifer
preuzimanja	prevzatia
preuzimanja	prevzatie
jonas	jonas
prunus	prunus
away	preč
away	prec
svjedok	svedka
svjedok	svedok
stiče	nadobúda
stiče	získava
stiče	získa
stiče	nadobudne
partnera	partner
partnera	partnera
partnera	partnerské
partnera	partnerka
partnera	spoločník
troškovi	výdaje
troškovi	výdavky
troškovi	náklady
troškovi	trovy
bosanci	bosniaci
rpm	rpm
višak	prebytku
višak	prebytky
višak	prebytok
višak	nadbytok
višak	nadmerné
višak	prebytok
višak	nadbytok
nob	nob
prazan	prázdna
prazan	prázdne
prazan	vyprázdniť
prazan	prázdny
mayer	mayer
zabranjena	zakázať
zabranjena	zakázaná
zabranjena	zakázané
zabranjena	zakázaný
intelektualaca	intelektuálov
dimitrije	dmitry
krive	obviniť
krive	obviňovať
tačna	presná
tačna	presný
tačna	presné
tačna	pravda
tačna	true
tačna	pravdivé
zavise	závisieť
zavise	závisia
räikkönen	räikkönen
rick	rick
rick	ricka
sive	šedá
sive	sivý
sive	grey
sive	šedé
sive	sivá
sive	sivé
bilje	bylín
bilje	bylinky
kopno	pevniny
kopno	kontinent
kopno	pevninu
živote	žije
živote	životy
živote	životov
vojvodina	vojvodine
neophodan	potrebná
neophodan	nevyhnutná
neophodan	nutné
neophodan	nevyhnutné
neophodan	potrebné
neophodan	nutná
okus	chut
okus	chuť
okus	chuti
konjanika	jazdcov
konjanika	jazdci
orbitalni	orbitálna
darije	darius
ubila	zavraždená
ubila	zavraždení
ubila	zavraždený
ubila	zabitý
ubila	zabil
ubila	zabili
ubila	zabila
brine	starosti
opremljena	vybavené
opremljena	vybavená
opremljena	vybavený
bitan	dôležití
bitan	dôležitá
bitan	dôležité
bitan	dolezite
bitan	dôležitý
prihvati	objatie
prihvati	akceptovať
prihvati	prijať
ruta	trasa
ruta	cesta
bilten	newsletter
nina	nina
nsdap	nsdap
sima	sima
invazija	invázia
invazija	inváziu
gosti	hostí
gosti	hosťom
gosti	hostia
povukla	stiahla
povukla	stiahlo
malezija	malajzia
malezija	malajzie
afričkih	africký
afričkih	afrického
afričkih	africké
afričkih	africká
afričkih	afrických
kovanica	mince
droga	lieky
droga	drogy
droga	liek
droga	droga
droga	drogu
droga	drog
efikasno	efektívny
efikasno	efektívne
efikasno	efektívna
efikasno	účinné
efikasno	účinne
efikasno	efektívne
efikasno	efektívna
efikasno	účinný
efikasno	efektívne
efikasno	účinne
istraživača	prieskumníci
vrbas	vrbas
kontroli	kontrola
kontroli	ovládanie
kontroli	ovládať
kontroli	kontrolovať
testovi	testy
testovi	skúšky
kontinent	kontinente
kontinent	kontinent
kontinent	kontinentu
obnova	obnova
obnova	obnovenie
obnova	rekonštrukcia
obnova	rekonštrukcie
pristalica	priaznivcov
pristalica	booster
stoney	stoney
pregovori	rokovania
pregovori	vyjednávanie
pregovori	rokovanie
pregovori	rozhovory
pregovori	rozpráva
pregovori	vyjednávania
pregovori	rokovania
pregovori	vyjednávanie
rizika	riziká
rizika	rizík
tumačenje	interpretácia
tumačenje	výklad
tumačenje	interpretácie
tumačenje	tlmočenie
prijeti	ohrozujúce
prijeti	vyhráža
plaća	mzda
plaća	plat
stranim	cudzích
stranim	cudzie
stranim	zahraničný
stranim	zahraničné
stranim	cudzí
stranim	zahraničnej
kal	kal
platiti	zaplatiť
platiti	platiť
platiti	plat
emma	emmu
emma	emma
dobara	tovaru
dobara	tovar
dobara	tovary
dobara	tovarov
ekologija	ekológia
izbjeći	zabrániť
referendum	referendum
izazvala	spôsobené
izazvala	spôsobená
izazvala	spôsobila
izazvala	spôsobili
izazvala	spôsobil
odjednom	odrazu
odjednom	náhle
odjednom	zrazu
jin	jin
grofica	grófka
made	made
made	vyrobený
made	vyrobené
made	vyrobená
muzičari	hudobníkov
odredi	určovať
odredi	určiť
odredi	určenie
vlasnici	majiteľov
vlasnici	vlastníci
vlasnici	vlastníkov
vlasnici	majitelia
angažman	zapojenie
angažman	interakcia
angažman	angažovanosť
punom	plné
punom	plná
punom	plnú
punom	full
punom	plný
klement	clement
oslanja	opiera
oslanja	spolieha
mon	mon
metak	strela
metak	guľku
metak	guľky
metak	náboj
metak	guľka
rupe	diery
rupe	otvory
rupe	dierky
hemijsku	perom
hemijsku	pen
hemijsku	pero
hemijsku	pera
osiguranja	poistenia
osiguranja	poisťovníctvo
osiguranja	poistenie
osiguranja	poistka
ivanov	ivanov
gana	ghana
express	vyjadrite
express	express
express	vyjadriť
pozicijama	pozície
pozicijama	polohy
pozicijama	pozícií
divlji	wild
divlji	divé
divlji	divá
divlji	divoký
divlji	voľne
polazi	odchádza
polazi	listy
polazi	listov
skali	scullyová
litara	litre
litara	litrov
litara	litra
bratstvo	bratstva
bratstvo	bratstvo
bratstvo	bratstva
bratstvo	bratstvo
plamen	plameňa
plamen	plameň
sna	sen
sna	snívať
sna	dream
sna	sna
bafta	bafta
jarac	kozorožca
čudo	zázrak
doyle	doyle
dobit	profit
dobit	zisku
dobit	zisk
jadrana	jadrane
rommel	rommel
simbolizira	symbolizuje
napadača	útočníkov
duboka	hlboká
duboka	hlboké
duboka	hlboko
duboka	deep
duboka	hlboký
weber	weber
ustavni	ústavné
ustavni	ústavný
thomson	thomson
režnja	lalokov
zatvaranje	uzavretie
zatvaranje	zatvorenie
zatvaranje	uzatvorenie
zatvaranje	uzavretie
zatvaranje	zatvorenie
zatvaranje	zatváranie
zaštitnik	ochranca
zaštitnik	ochrancu
étienne	étienne
profesionalna	profesionálne
profesionalna	profesionál
profesionalna	odborná
profesionalna	profesionálny
profesionalna	profesionálna
mjuzikl	hudobný
mjuzikl	muzikál
mjuzikl	hudobná
mjuzikl	hudobné
mjuzikl	musical
mačke	mačky
campbell	campbell
azijski	ázijských
azijski	ázijské
azijski	ázie
romeo	romeo
dometa	rozsah
dometa	rozpätie
dometa	rozsahu
sirija	sýria
egipatska	egyptský
pijeska	piesok
pijeska	piesku
wta	wta
ward	ward
arhipelag	súostrovie
coli	coli
pozadina	pozadie
pozadina	minulosť
pozadina	pozadí
pozadina	pozadia
razdvaja	oddeľovanie
pogubljen	vykonaný
pogubljen	popravený
pogubljen	vykonané
pogubljen	vykonávané
pogubljen	vykonaná
razdvajanje	oddeľovanie
razdvajanje	oddelenie
razdvajanje	rozdeľovanie
razdvajanje	delenie
pečat	pečiatka
pečat	známka
pečat	seal
pečat	pečať
pečat	tesnenie
programima	programoch
programima	programy
programima	programov
programima	programy
programima	programov
franco	franco
celtic	keltské
grešku	chyba
grešku	omyl
grešku	chybu
inspiracija	inšpirácie
inspiracija	inšpiráciu
inspiracija	inšpirácia
odobrenje	schvaľovanie
odobrenje	schválenie
odobrenje	schválenia
odobrenje	súhlas
palata	paláce
palata	paláca
palata	palace
palata	paláci
palata	palác
koristan	užitočný
koristan	užitočné
koristan	užitočná
primati	primáty
fleming	fleming
mol	znamienko
mol	mol
staklo	sklenená
staklo	pohár
staklo	sklo
staklo	sklá
staklo	pohárik
povreda	úraz
povreda	ujmy
povreda	zranenie
povreda	poškodenie
povreda	poranenie
povreda	ujma
sisari	cicavce
sisari	cicavcov
sisari	cicavec
sisari	cicavcov
sisari	cicavce
barthel	barthel
uređajima	pomôcky
uređajima	prístroje
uređajima	zariadenia
posthumno	posmrtnú
posthumno	posmrtne
automobili	cars
automobili	áut
automobili	automobily
automobili	autá
distribuciju	rozloženie
distribuciju	rozdeľovanie
distribuciju	distribúcia
distribuciju	rozdelenie
obilježena	označené
obilježena	označená
brennan	brennan
resursi	zdrojoch
resursi	zdroje
resursi	prostriedky
davies	davies
zastupnik	reprezentatívna
zastupnik	predstaviteľ
zastupnik	reprezentatívny
zastupnik	zástupca
zastupnik	reprezentatívne
vezir	vezír
bonus	bonus
plaža	pláže
plaža	pláž
plaža	pláži
plaža	beach
lucy	lucy
lokacijama	lokality
lokacijama	umiestnenia
lokacijama	miesta
anatomski	anatomicky
specijalno	špeciálny
specijalno	výnimočná
specijalno	osobitné
specijalno	špeciálne
specijalno	špeciálna
ateizam	ateizmus
drevne	staroveký
drevne	staroveké
parma	parma
rejting	rating
rejting	hodnotenie
rejting	hodnotenia
lipa	lipa
konji	koňom
konji	kone
konji	koní
babić	babić
mhz	mhz
peći	pece
peći	rúry
peći	sporák
peći	pece
phillips	phillips
lars	lars
donijeti	priniesť
peto	piaty
peto	piata
peto	piate
označeni	označené
označeni	označená
označeni	označený
označeni	označení
lazar	lazar
kupiti	kúp
kupiti	kúpim
kupiti	kúpiť
foto	photo
foto	foto
foto	fotografia
foto	fotka
foto	fotku
minimum	minimálne
minimum	minimum
minimum	minimálny
minimum	minimálna
shu	shu
nadzor	dohľad
nadzor	sledovanie
nadzor	dozor
kora	kôra
kora	kôry
kora	cora
norma	norma
norma	normou
norma	norma
kuka	hook
kuka	hák
kuka	háčik
hana	hannah
hana	hana
hana	hana
paralelne	súbežne
paralelne	paralelné
paralelne	paralelný
paralelne	súbežné
paralelne	paralelne
uspona	ups
piero	piero
hitchcock	hitchcock
crkava	kostoly
crkava	cirkvi
crkava	kostolov
tokio	tokio
gibson	gibson
himne	hymnu
kraća	kratšie
kraća	kratšia
kraća	kratší
zakletvu	prisahal
kepler	kepler
primaju	prijímať
primaju	prijímajú
primaju	dostávať
primaju	prijať
ole	ole
vjerovatnoća	pravdepodobnosti
vjerovatnoća	pravdepodobnosť
concat	concat
krilima	krídla
krilima	wings
lakši	jednoduchší
lakši	jednoduchšie
lakši	ľahší
lakši	ľahšie
lakši	jednoduchšia
uništava	zničí
uništava	ničia
uništava	ničí
vozi	disk
vozi	pohon
vozi	jazdiť
rado	rado
disney	disney
meti	cielené
meti	cieľové
meti	cielený
meti	cielene
tehnološki	technologické
poglavlja	kapitol
poglavlja	kapitoly
geobox	geobox
slo	slo
napulj	neapol
napetosti	akumulácie
napetosti	hromadenie
napetosti	akumulácia
bonaparte	bonaparte
prijem	prijatie
prijem	prijímanie
prijem	recepcia
prijem	príjem
rekli	povedal
rekli	povedalo
rekli	povedala
gilles	gilles
blato	blato
blato	bahna
blato	blate
blato	blata
stavi	daj
pravna	zákonné
pravna	právna
pravna	právny
pravna	právne
pravna	legálne
radoslav	radoslav
detektiv	detektív
detektiv	detektíva
detektiv	detektívka
italia	italia
norme	normou
norme	norma
obnovljen	obnovené
obnovljen	obnovený
obnovljen	obnovuje
obnovljen	obnovená
administrator	administrátor
administrator	správcu
administrator	správca
javier	javier
proizvoditi	vyrábajú
proizvoditi	vyrobiť
proizvoditi	vyrábať
proizvoditi	produkovať
povod	príležitosť
povod	príležitosti
bek	beck
bek	bek
depresija	depresie
depresija	depresia
depresija	depresiu
uzorka	vzorky
uzorka	vzorku
uzorka	vzorka
uzorka	ukážka
senna	senna
nih	nih
španci	španielov
maksimum	maximálna
maksimum	maximálne
maksimum	maximálny
maksimum	maximum
dec	december
dec	dec
dec	zos
pješak	chodcov
pješak	pešiak
hronološki	chronologický
imajući	ložiskové
imajući	udržiavanie
nou	nou
zubi	zubami
zubi	zubov
zubi	zuby
ted	ted
formirane	tvarované
formirane	tvorili
opticaju	obehu
opticaju	obeh
brad	brad
obroncima	svahoch
tunela	tuneloch
tunela	tunely
tunela	tunelov
posmatra	pozorovať
posmatra	pozorovanie
posmatra	hodiniek
posmatra	pozerá
posmatra	hodinky
posmatra	pozerá
posmatra	pozerať
posmatra	pozerám
laurie	laurie
zabrana	ban
zabrana	zakázať
zabrana	zákaz
suárez	suárez
komunistička	komunistická
komunistička	komunista
ukr	ukr
znamenitosti	pamiatky
markus	markus
nezadovoljstvo	nespokojnosť
nezadovoljstvo	nespokojnosti
nezadovoljstvo	nespokojnosť
talas	vlna
talas	vlnová
talas	vlnu
sierra	sierra
bush	bush
bush	busha
upada	raid
pjevao	sang
pjevao	spievala
pjevao	zaspieval
pjevao	spievali
pjevao	spieval
slab	slabý
slab	slabá
slab	slabé
slab	slabí
hitovi	zasiahne
hitovi	hity
alexis	alexis
banda	banda
banda	gang
krista	krista
jelo	miska
pilota	piloti
pilota	pilotov
hiv	hiv
koplja	spears
koplja	oštep
bra	podprsenky
bra	bra
lakers	lakers
pušenje	fajčiť
pušenje	fajčenie
churchill	churchill
direktan	priame
direktan	priama
direktan	priamo
direktan	priamy
direktan	direct
betula	betula
siciliji	sicilia
mergedrow	mergedrow
okoliša	environmentálna
okoliša	environmentálny
okoliša	environmentálne
