експонатів	pameran
розширити	luaskan
розширити	memperluas
підземні	underground
індустрії	industri
змінили	perubah
змінили	diubah
поїздки	perjalanan
передні	front
передні	depan
маяк	mercusuar
магістр	magister
магістр	master
магістр	guru
донбас	donbas
вбив	dibunuh
вбив	tewas
вбив	terbunuh
кампанію	berkampanye
демонстрації	demo
демонстрації	demonstrasi
демонстрації	memamerkan
демонстрації	showcase
демонстрації	pamerkan
прикладу	contoh
приватний	swasta
приватний	privat
приватний	private
приватний	pribadi
заборони	pelarangan
бактерії	bakteri
шаром	lapis
шаром	lapisan
шаром	layer
хроніка	kronik
хроніка	chronicle
яно	jana
кевін	kevin
віллі	willy
віллі	willie
віллі	villy
угод	perjanjian
високе	high
високе	tinggi
наполеон	napoleon
космічні	kosmis
космічні	kosmik
торф	gambut
марта	marta
марта	marta
марта	martha
розвідка	kecerdasan
розвідка	intelijen
розвідка	intai
розвідка	pengintaian
волокна	serat
волокна	fiber
волокна	serat
обрана	ditakdirkan
обрана	divergent
мез	meuse
перегляд	jelajahi
перегляд	jelajah
перегляд	ramban
перегляд	pratinjau
перегляд	melihat
перегляд	tampilan
перегляд	lihat
ведучий	presenter
ведучий	memimpin
ведучий	prospek
ведучий	pimpin
ведучий	lead
прип	pripyat
приєдналися	bergabung
процедура	prosedur
гамма	galungan
гамма	gama
гамма	gamma
воїни	laskar
воїни	warriors
воїни	pejuang
воїни	prajurit
важка	susah
важка	hard
важка	keras
щиро	ikhlas
щиро	tulus
щиро	ikhlas
щиро	tulus
щиро	amandel
дипломатичних	diplomatis
дипломатичних	diplomatik
композицію	lacak
композицію	trek
композицію	track
норма	norma
норма	norma
норма	norm
продажі	penjualan
продажі	sales
ввести	masukkan
ввести	enter
бур	bourg
бур	boer
бур	bor
визначив	dikenal
визначив	dikenali
визначив	diakui
визначив	mengenali
складові	bahan
салон	salon
дівчинка	cewe
дівчинка	cewek
дівчинка	girl
дівчинка	gadis
поступився	meminjamkan
поступився	peminjaman
спадок	pewaris
спадок	legacy
спадок	warisan
голландії	holland
голландії	belanda
піски	sands
виготовлено	diproduksi
виготовлено	produsen
виготовлено	produser
боєприпасів	amunisinya
боєприпасів	amunisi
ферма	farm
ферма	perkebunan
ферма	peternakan
ферма	ladang
ферма	pertanian
ферма	fermat
оперативного	operasional
посиланням	pranala
посиланням	link
посиланням	tautan
посиланням	taut
таємно	rahasia
таємно	secret
незалежна	independen
незалежна	independent
незалежна	mandiri
господнього	sepulchre
садів	gardens
садів	kebun
гектарів	hektar
пауль	paulus
пауль	paul
шведська	swedia
онук	cucu
кроком	step
кроком	langkah
кроком	melangkah
точність	ketepatan
точність	presisi
точність	ketelitian
точність	pecahan
точність	fraksi
точність	keakuratan
точність	ketepatan
точність	akurasi
точність	ahir
прихильником	pendukung
прихильником	supporter
зникає	menghilang
вірмени	armenia
іще	else
бангладеш	bangladesh
ворожих	bermusuhan
ворожих	memusuhi
ворожих	permusuhan
сприяти	memfasilitasi
експерименти	percobaan
експерименти	eksperimen
мікеланджело	michelangelo
поглинання	akuisisi
поглинання	pengambilalihan
покажчик	indeks
давній	kuno
спробувати	coba
спробувати	cobalah
міграції	migrasi
продажів	penjualan
продажів	sales
індійський	indian
індійський	india
індійський	hindia
еміль	emile
еміль	emil
еміль	emile
еміль	émile
каменів	batu
вузли	peer
вузли	sejawat
вузли	penyelenggara
вузли	host
вузли	node
вузли	nodal
вогези	vosges
літер	letters
літер	huruf
організована	terorganisasi
організована	terorganisir
організована	teratur
організована	tertata
обкладинка	sampul
обкладинка	cover
обкладинка	penutup
обкладинка	tutupi
збирати	mengumpulkan
збирати	berkumpul
збирати	kumpulkan
збирати	mengkoleksi
збирати	mengumpulkan
збирати	kumpulkan
бурі	badai
трасі	tracy
сірі	kelabu
сірі	gray
сірі	siri
різниці	bedanya
різниці	perbedaan
розпочати	mulai
розпочати	mulailah
розпочати	start
розпочати	mengawali
газетах	koran
випадає	menyuburkan
страх	takut
страх	fear
страх	ketakutan
детектив	detective
детектив	detektif
географічний	geografis
звільнити	lap
словники	vocabularies
словники	kamus
гине	die
гине	dies
володарі	klaim
володарі	mengklaim
вбили	dibunuh
вбили	tewas
вбили	terbunuh
такао	takao
службовців	karyawan
перерви	istirahat
перерви	break
орла	elang
орла	eagle
класична	klasik
класична	klasik
класична	classic
помирає	die
помирає	dies
гордон	gordon
кроки	langkah
поради	nasihat
поради	nasehat
поради	saran
поради	persenan
поради	tips
поради	kiat
поради	tip
арджеш	argeş
авторського	auteur
віддає	pengambil
лиман	liman
лиман	muara
винищувач	blaster
винищувач	petarung
винищувач	fighter
винищувач	tempur
косово	kosovo
землеробства	bertani
землеробства	peternakan
землеробства	pertanian
дуглас	douglas
девіс	davis
девіс	davies
тертя	gesekan
посуд	piring
накопичення	menimbun
накопичення	akumulasi
папуа	papua
сірки	brimstone
сірки	belerang
осінь	autumn
осінь	fall
осінь	jatuh
юзеф	józef
рекомендується	disarankan
рекомендується	dianjurkan
рекомендується	direkomendasikan
пфальц	palatinate
стандартний	standar
стандартний	standard
душа	jiwa
душа	soul
гризунів	pengerat
гризунів	tikus
прим	prim
паоло	paolo
ефір	penyiar
гвинтівки	senapan
гвинтівки	senapan
гвинтівки	rifle
закрито	ditutup
закрито	tertutup
закрито	tutup
закрито	closed
алгоритми	algoritma
кіпр	cyprus
кіпр	siprus
виклик	tantangan
виклик	challenge
виклик	menantang
виклик	tantang
виклик	telepon
виклик	panggilan
виклик	panggil
виклик	call
виклик	defiance
пакистану	pakistan
австралійський	australian
австралійський	australia
вклад	kontribusi
мозок	otak
гніздо	slot
гніздо	sarang
гніздо	nest
безкоштовно	bebas
безкоштовно	gratis
безкоштовно	free
тепло	hangat
тепло	warm
тепло	hangatnya
тепло	kehangatan
прояви	rasis
осло	oslo
принесли	dibawa
спини	berpasir
спини	sandy
ріст	pertumbuhan
ріст	perkembangan
ріст	pertumbuhannya
дізнатися	menanyakan
дізнатися	pelajari
дізнатися	belajar
передмісті	suburbs
відійшли	pecah
відійшли	bangkrut
кристали	kristal
мартіна	martina
інтерпретації	interpretasi
інтерпретації	penafsiran
комунікацій	komunikasi
комунікацій	communications
мадонна	madonna
спільну	berbagi
спільну	dibagikan
спільну	shared
саксонія	sachsen
пожежа	fire
пожежа	api
пожежа	kebakaran
підвіска	suspensi
підвіска	penangguhan
підвіска	skors
дехто	some
дехто	beberapa
сумніви	meragukan
сумніви	keraguan
сумніви	ragu
всеволод	vsevolod
гребля	dam
гребля	waduk
гребля	bendungan
оснащений	dual
чоловічі	jantan
чоловічі	male
купив	dibeli
купив	membeli
політикою	polis
політикою	kebijakan
бухарест	bucharest
бухарест	bukares
вибрати	pilih
вибрати	pilih
унікальні	keunikan
унікальні	unik
унікальні	unique
чиновників	pejabat
оцінити	evaluasi
оцінити	mengevaluasi
оцінити	tarif
оцінити	nilai
оцінити	kurs
оцінити	laju
оцінити	tingkat
небезпеки	bahaya
небезпеки	danger
архіви	arsip
статевий	seksual
передня	anterior
відійшов	jauh
відійшов	away
відійшов	menjauh
відійшов	pulih
відійшов	dipulihkan
кулемети	mgs
ісус	yesus
ісус	jesus
вчителі	guru
заявила	dideklarasikan
однакові	identik
однакові	same
секс	seks
секс	sex
чутки	rumor
чутки	gosip
чутки	rumor
чутки	rumor
чутки	gosip
визнала	diakui
несуть	membawa
крістофер	christopher
методика	teknik
пейзаж	lansekap
пейзаж	landscape
пейзаж	tumbang
пейзаж	lanskap
джаз	jazz
уельсу	wales
сантиметрів	sentimeter
сантиметрів	sentimeter
едді	eddie
едді	eddy
бомби	bom
закладено	menyediakan
закладено	sediakan
віки	usia
віки	ages
віки	umur
способами	belaian
багата	uptown
німеччину	jerman
фасаді	kontroversial
менеджмент	management
менеджмент	manajemen
менеджмент	pengelolaan
говард	howard
течія	current
течія	arus
течія	skrg
течія	fluks
робітники	pekerja
розмови	percakapan
розмови	percakapan
відмовляється	penolakan
бойовиків	militan
біженців	pengungsi
біженців	pengungsi
корона	mahkota
корона	crown
сантьяго	santiago
пори	pori
пори	pore
змій	ular
комуністична	komunis
тропічні	tropical
тропічні	tropis
етимологія	etimologi
преса	tekan
преса	pers
преса	press
ціль	obyektif
ціль	tujuan
ціль	objektif
ціль	menargetkan
ціль	targetkan
ціль	sasaran
ціль	target
добровільно	rela
добровільно	sengaja
добровільно	sukarela
підтримується	didukung
пізно	terlambat
пізно	telat
пізно	larut
вдвічі	twice
блакитний	blue
блакитний	biru
блакитний	cyan
тель	tel
коди	kode
пенсії	pensiun
бойове	pertempuran
бойове	tempur
бойове	combat
гурток	lingkar
гурток	circle
гурток	melingkar
гурток	lingkaran
моменти	moments
моменти	moment
моменти	momen
вилча	vâlcea
затемнення	menggelapkan
затемнення	gerhana
затемнення	eclipse
лавки	bangku
трудова	buruh
тріо	trio
гагаріна	gagarin
читача	follower
читача	pengikut
трави	rumput
трави	grass
трави	rerumputan
діагностики	diagnosa
діагностики	diagnosis
діагностики	diagnostik
еволюція	evolusi
еволюція	evolution
інтелектуальної	intelektual
інтелектуальної	cendekiawan
груповий	group
груповий	kelompokkan
груповий	grup
груповий	kelompok
церковної	gerejawi
викладає	mengajarkan
амстердам	amsterdam
порушує	melanggar
перебіг	pengaruhi
перебіг	memengaruhi
перебіг	pengaruh
вимагав	menuntut
жуків	kutu
жуків	serangga
жуків	bug
жуків	bugs
рів	reeve
клієнт	customer
клієнт	nasabah
клієнт	pelanggan
клієнт	klien
сервіс	service
сервіс	jasa
сервіс	layanan
сервіс	servis
сервіс	pelayanan
придбати	pembelian
придбати	membeli
придбати	beli
придбати	membeli
гвардійська	penjaga
гвардійська	pengawal
мінську	minsk
тварина	hewan
тварина	binatang
тварина	animal
різдво	kelahiran
різдво	natal
різдво	christmas
декоративні	hias
молитви	doa
проста	simple
проста	simpel
проста	sederhana
собаки	anjing
фантастичний	fantastis
фантастичний	fantastik
фантастичний	fantastic
виробника	vendor
студію	studio
царі	magi
реставрація	restorasi
проникнення	penetrasi
проникнення	penyusupan
проникнення	infiltrasi
презентація	presentasi
французів	cajun
диких	wild
диких	liar
маркса	marx
отриманий	diterima
отриманий	mengakibatkan
ново	novo
бад	kuncup
бад	bud
чоловічого	maskulin
феодосія	feodosiya
перевірка	mengecek
перевірка	pengecekan
перевірка	memeriksa
перевірка	memverifikasi
перевірка	memvalidasi
перевірка	verifikasi
перевірка	ujian
перевірка	pengujian
перевірка	menguji
перевірка	uji
перевірка	test
перевірка	tes
перевірка	validasi
схем	skema
сидіння	kursi
гості	tamu
представив	diperkenalkan
представив	memperkenalkan
представив	dikenalkan
розбіжності	diff
розбіжності	ketidaksetujuan
турецька	turki
турецька	turkish
міфів	mitos
барон	baron
операціях	manuver
відправляється	meninggalkan
відправляється	leaving
бруно	bruno
визнає	mengakui
визнає	kenali
визнає	mengenali
північне	utara
північне	northern
напруга	ketegangan
залишитися	tetap
залишитися	tinggal
залишитися	stay
міссурі	missouri
піраміди	piramid
піраміди	piramida
додавати	tambah
додавати	add
додавати	tambahkan
вектор	vector
вектор	vektor
попереду	depan
попереду	ahead
братство	persaudaraan
братство	persaudaraan
братство	brotherhood
ланцюг	rantai
довів	terbukti
паспорт	paspor
паспорт	passport
позитивно	positive
позитивно	positif
позитивно	positif
підродина	subkeluarga
внутрішнє	internal
внутрішнє	batin
внутрішнє	inner
кафедральний	skara
практична	praktis
кетрін	kathryn
кетрін	katharine
кетрін	katherine
сау	sau
панель	panel
вихідні	weekend
массачусетс	massachusetts
лавка	bangku
стрічці	pakan
стрічці	feed
стрічці	kabar
стрічці	umpan
покинули	disambar
оцінкою	peringkat
оцінкою	penilaian
оцінкою	rating
зазначає	tercantum
зазначає	terdaftar
венесуели	venezuela
шанс	chance
шанс	peluang
шанс	berpeluang
шанс	kesempatan
арнольд	arnold
підпілля	underground
навчальному	termudah
евакуації	mengevakuasi
евакуації	evakuasi
евакуації	mengungsi
виправлення	koreksi
виправлення	mengoreksi
виправлення	perbaikan
гар	gard
порожнини	maxillofacial
збільшує	melapangkan
збільшує	perbesar
гаїті	haiti
заборона	terlarang
заборона	dilarang
заборона	pelarangan
пакистан	pakistan
легіон	legion
легіон	legiun
полотна	kanvas
полотна	canvas
позначають	mengindikasikan
позначають	menunjukkan
позначають	menandakan
механік	mekanik
механік	montir
хронологія	kronologi
хронологія	kronologi
вступили	amis
вступили	mencurigakan
галицька	galisia
вебер	weber
ніде	nowhere
стилів	styles
стилів	gaya
консультант	konsultan
консультант	konsultasi
консультант	konsultan
жер	gers
багатих	puri
здатністю	rapuh
фінанси	financial
фінанси	keuangan
фінанси	finansial
фінанси	keuangan
фінанси	finansial
фінанси	finance
фінанси	keuangan
сталь	baja
сталь	steel
шахи	catur
шахи	chess
темні	dark
темні	gelap
темні	kegelapan
інженери	teknisi
інженери	insinyur
вюртемберг	württemberg
вивести	output
вивести	keluaran
стандартна	standar
стандартна	standard
ізраїлі	israel
куба	cuba
куба	kuba
соціологія	sosiologi
ясси	iaşi
читає	terbaca
читає	dibaca
читає	membaca
флоренція	florence
шкіра	leather
шкіра	kulit
шкіра	kulit
шкіра	skin
життєпис	kronologi
записано	tertulis
записано	ditulis
записано	direkam
записано	merekam
записано	dicatat
записано	terekam
визначений	ditentukan
визначений	dijelaskan
визначений	didefinisikan
визначений	terdefinisi
поклоніння	sembah
поклоніння	ibadah
поклоніння	menyembah
поклоніння	beribadah
комети	komet
щоденник	journal
щоденник	jurnal
щоденник	diary
документальні	dokumenter
делі	delhi
договорів	penawaran
сочі	sochi
джорджія	giorgia
римляни	romans
римляни	romawi
промислова	industri
промислова	industrial
вимогою	persyaratan
схожість	kemiripan
сейм	sejm
міллер	miller
спільна	joint
спільна	sendi
бідності	kemiskinan
центрами	pusat
правова	hukum
правова	sah
правова	legal
феномен	fenomena
турецький	ottoman
турецький	utsmaniyah
турецький	turki
турецький	turkish
союзники	sekutu
обробці	diurai
обробці	terurai
моріс	maurice
сіра	spinner
сіра	pemintal
сіра	kelabu
сіра	grey
симптоми	gejalanya
симптоми	gejala
індіанці	indian
присвоєння	penetapan
присвоєння	penugasan
необхідне	diwajibkan
необхідне	diperlukan
необхідне	diharuskan
необхідне	wajib
необхідне	dibutuhkan
галактик	galaksi
власна	diri
власна	self
любителів	penghargaan
любителів	apresiasi
вінніпег	winnipeg
попов	popov
вікон	windows
вікон	jendela
хребетних	zoologi
рівно	mantap
старша	sesepuh
старша	elder
старша	ketua
старша	tetua
старша	penatua
стани	negara
розряд	tunggal
розряд	pengosongan
розряд	debit
казав	said
казав	berkata
казав	mengatakan
казав	katanya
казав	kata
штурм	sturm
фестивалів	festival
замінили	tergantikan
замінили	digantikan
замінили	diganti
роберто	roberto
шари	lapis
шари	lapisan
кадри	bingkai
кадри	frame
цех	guild
максимальний	maksimum
максимальний	maksimal
максимальний	maximum
нижніх	mendasari
площ	ritel
площ	eceran
площ	retail
нахил	memiringkan
нахил	kemiringan
нахил	miring
трупи	mayat
легкі	gampang
легкі	mudah
легкі	easy
діалект	dialek
діалект	amoy
афганістан	afganistan
афганістан	afghanistan
хіп	hip
хіп	pinggul
блог	blog
термінології	terminologi
проголосували	terpilih
роджер	roger
інструкції	tutorial
інструкції	petunjuk
інструкції	instruksi
атлетика	atletik
фантастика	fantastis
фантастика	fantastik
фантастика	fantastic
фантастика	fiksi
фантастика	fiktif
фантастика	fiksi
сорти	variety
сорти	keberagaman
сорти	varietas
сорти	variasi
процесорів	cpu
зникла	gone
виконавці	sumberdaya
виконавці	seniman
виконавці	artis
бульвар	sonokeling
бульвар	boulevard
євангеліє	gospel
євангеліє	injil
борець	pegulat
самиць	betina
самиць	perempuan
величин	kuantitas
профспілок	perserikatan
польську	semir
польську	polandia
польську	polish
спадкоємець	pewaris
спадкоємець	waris
негативні	negative
негативні	negatif
сіро	ciro
луцій	lucius
заряд	tagihan
заряд	biaya
заряд	tagih
заряд	pengisian
загроза	ancaman
загроза	ancaman
духовна	liturgi
перегони	balapan
перегони	race
перегони	perlombaan
перегони	ras
перегони	lomba
перегони	balapan
перегони	balap
перегони	racing
перегони	membalap
глосарій	glosarium
молодим	muda
молодим	young
молодим	mudanya
ходи	moves
монету	koin
монету	coin
кімната	ruang
кімната	ruangan
кімната	kamar
кімната	forum
кімната	room
альянс	persekutuan
альянс	alliance
альянс	aliansi
корпорація	perusahaan
корпорація	corporation
корпорація	korporasi
штук	terjebak
штук	stuck
штук	macet
мок	mok
кінь	horse
кінь	kuda
сенат	senat
батьківщина	homeland
батьківщина	nusa
коробка	box
коробка	boks
коробка	kotak
коробка	gearbox
твердість	kekerasan
ланка	lanka
запалення	radang
запалення	peradangan
гази	gas
гази	gaza
оцінювання	skor
оцінювання	evaluasi
важливість	pentingnya
виживання	survival
дизель	diesel
написала	tulis
написала	menulis
багатство	kekayaan
багатство	harta
багатство	kekayaan
винограду	anggur
судану	sudan
загреб	zagreb
персонал	staf
персонал	staff
обмежені	limited
обмежені	terbatas
обмежені	dibatasi
мухаммед	mohammad
мухаммед	muhammad
мухаммед	mohammed
мухаммед	muhammed
вищому	premier
обрані	diunggulkan
обрані	ditampilkan
обрані	unggulan
обрані	feature
обрані	dipilih
обрані	terpilih
нафта	oli
нафта	oil
нафта	minyak
нафта	petroleum
відправили	haul
сигнали	sinyal
сигнали	signal
розділити	fork
розділити	garpu
розділити	belah
розділити	pecah
розділити	split
розділити	pisah
сибір	siberia
міркувань	penalaran
міссісіпі	mississippi
конрад	konrad
конрад	conrad
яте	yate
безумовно	pasti
род	rod
арсенал	arsenal
абсолютна	mutlak
абсолютна	absolut
абсолютна	absolute
маргарет	margaret
сицилії	sisilia
технічно	teknisnya
попередня	prev
попередня	sebelumnya
попередня	sebelumnya
адм	adm
мазепа	mazepa
спереду	front
спереду	depan
провулки	gang
створюючи	memastikan
кандидатуру	pencalonan
інженерних	teknik
інженерних	rekayasa
крус	cruz
крус	kroes
знаючи	mengetahui
поховали	mengubur
поховали	kuburkan
суцвіття	inflorescence
подолати	mengatasi
подолати	diatasi
проведених	helm
підряд	berturut
рівноваги	keseimbangan
пілотів	pilot
ратуша	balai
ратуша	hall
ратуша	aula
міра	mira
міра	ukur
міра	mengukur
спокою	ketenangan
спокою	serenity
виробляють	menghasilkan
виробляють	memproduksi
мережах	jaringan
мережах	jaringannya
мережах	networks
впевнений	pasti
впевнений	yakin
впевнений	tentu
математичні	matematika
математичні	matematis
математичні	matematika
математичні	math
математичні	matematika
числення	kalkulus
луїза	luiza
луїза	louisa
луїза	luisa
луїза	louise
залишатися	tetap
залишатися	tinggal
залишатися	stay
броні	armor
броні	zirah
найвищих	tertinggi
запитів	permintaan
зник	gone
зник	menghilang
механічний	mekanik
механічний	mechanical
механічний	mekanis
механічний	mekanika
кераміка	tembikar
кераміка	keramik
кераміка	ware
кераміка	keramik
кераміка	keramik
астрономи	astronom
дербі	darby
дербі	derby
прапором	bendera
зерно	gandum
зерно	bijian
студій	studi
ставка	tarif
ставка	nilai
ставка	kurs
ставка	laju
ставка	tingkat
всюди	dimanapun
всюди	kemanapun
всюди	kemanapun
виконали	membeku
найвище	tertinggi
підтримання	pertahankan
підтримання	mempertahankan
гідності	bermartabat
гідності	martabat
приносить	menertawakan
реалізацію	implementasi
реалізацію	pelaksanaan
реалізацію	penerapan
проза	prosa
вираження	mengekspresikan
виграли	won
виграли	dimenangkan
виграли	menang
путівник	pedoman
путівник	panduan
путівник	pemandu
матриця	matriks
матриця	matrix
формує	berbentuk
розчин	mortir
розчин	larutan
розчин	solusi
баланс	keseimbangan
баланс	saldo
баланс	balance
тунель	tunnel
тунель	terowongan
визначена	ditentukan
визначена	dijelaskan
визначена	didefinisikan
визначена	terdefinisi
визначена	identifikasi
визначена	diidentifikasi
визначена	teridentifikasi
визначена	mengidentifikasi
розгортання	perluasan
розгортання	ekspansi
випускник	pascasarjana
випускник	lulus
випускник	graduate
доходи	komoditi
доходи	komoditas
мат	mate
ветеран	veteran
герберт	herbert
похідні	derivatif
змусили	dipaksakan
змусили	dipaksa
змусили	paksakan
змусили	terpaksa
вирощують	tumbuhkan
вирощують	kembangkan
вирощують	grow
вирощують	tumbuh
вирощують	bertumbuh
художниця	artis
художниця	seniman
корінь	root
корінь	akar
алкоголю	miras
алкоголю	alkohol
медічі	medici
звільнили	ditembakkan
звільнили	dipecat
звільнили	pecat
звільнили	memecat
побудова	merangkai
бурятія	buryatia
занепад	kehancuran
занепад	merusak
занепад	azab
занепад	malapetaka
арабська	arab
арабська	arabic
процесора	gpu
процесора	cpu
симона	simone
мартин	marcin
мартин	camar
метали	logam
метали	metal
метали	logam
дені	siao
дені	dani
модулі	modul
дозволити	mengaktifkan
дозволити	aktifkan
дозволити	fungsikan
дозволити	izinkan
дозволити	ijinkan
дозволити	editan
пшениці	gandum
фірм	firma
співдружності	persemakmuran
незалежний	independen
незалежний	independent
незалежний	mandiri
штучний	artifisial
штучний	buatan
двадцяти	twenty
двадцяти	duapuluh
чернівців	chernivtsi
підтверджує	mengonfirmasi
підтверджує	mengkonfirmasi
підтверджує	menegaskan
подією	peristiwa
подією	acara
вершину	verteks
рука	lengan
рука	arm
рука	lengannya
рука	hand
рука	tangan
стиснення	penekanan
стиснення	kompresi
реальність	kenyataan
реальність	realitas
реальність	reality
реальність	realita
тридцять	thirty
подію	peristiwa
подію	acara
покриті	habis
неправильно	salah
диски	cakram
диски	disk
диски	diska
диски	cd
улюблений	favourite
улюблений	favorit
улюблений	favorite
улюблений	kesukaan
улюблений	terfavorit
улюблений	favorit
іспанською	spanish
іспанською	spanyol
доведено	terbukti
доведено	dibuktikan
доведено	terbukti
ззаду	kembali
ззаду	balik
ззаду	mundur
ззаду	back
ззаду	belakang
жанрів	genre
жанрів	aliran
суперників	rival
суперників	saingan
суперників	saingannya
суперників	lawan
суперників	lawannya
фернандо	fernando
шон	shawn
шон	shaun
шон	sean
янки	yanks
янки	yankee
цвітіння	blossom
цвітіння	mekar
фан	fan
фан	penggemar
фан	kipas
фан	taring
фан	fang
трикутник	segitiga
муреш	mureş
клермон	clermont
крива	kurva
крива	curve
радника	penasihat
радника	penasehat
кіпру	cyprus
кіпру	siprus
самець	jantan
самець	male
кримська	krimea
емілія	emilia
емілія	tempuh
емілія	aemilia
емілія	amelia
емілія	aditya
голокосту	holocaust
земельні	zealand
земельні	selandia
різновидів	rasa
гессен	hesse
дядька	gaffer
віл	wil
віл	hiv
леопольд	leopold
актуальні	trending
актуальні	tren
тяжіння	gravitasi
тяжіння	gravity
тяжіння	gravitasi
індонезія	indonesia
прованс	provence
вимова	pengucapan
наступником	penerus
серійний	berantai
серійний	serial
францію	prancis
францію	france
францію	perancis
автономний	otonom
автономний	otonomi
автономний	luring
автономний	offline
алтай	altai
включати	termasuk
включати	sertakan
включати	cantumkan
включати	menyertakan
включати	include
арагон	aragón
арагон	aragon
тонкі	tipis
тонкі	kurus
митці	seniman
митці	artis
сант	sant
підлітків	teen
підлітків	remaja
закриті	ditutup
закриті	tertutup
закриті	tutup
закриті	closed
мідь	tembaga
ростислав	rostislav
