paires	pora
artificiel	dirbtinių
artificiel	dirbtinis
artificiel	dirbtinė
coco	coco
coco	kokosų
villageois	kaimiečiai
milton	milton
brique	plytų
analytique	analizės
observateurs	stebėtojams
observateurs	stebėtojai
candidate	kandidatas
candidate	kandidatės
enthousiasme	entuziazmo
enthousiasme	entuziazmas
dalaï	dalai
croisé	kryžminiai
efficaces	veiksmingai
arrangements	susitarimai
tang	tang
pharaon	faraonas
refroidissement	aušinimo
antonin	antonijuje
francesca	francesca
souterraine	požeminis
souterraine	pavasarį
porc	kiaulienos
porc	kiauliena
porc	kiaulė
porc	kiaulių
lunettes	akiniai
lunettes	akiniai
isolée	izoliuoti
isolée	izoliacija
isolée	izoliuota
isolée	izoliuotas
isolée	izoliuota
rats	žiurkės
rats	žiurkė
rats	žiurkės
rats	žiurkių
manœuvres	manevrus
opère	veikia
düsseldorf	diuseldorfo
düsseldorf	diuseldorfo
épargne	taupymas
épargne	santaupos
épargne	taupymo
épargne	santaupų
diamond	deimantas
intégrés	integruotos
intégrés	integruota
intégrés	įtaisytas
intégrés	įterpta
intégrés	įdedamas
intégrés	įmontuotas
toxiques	toksinių
toxiques	nuodingas
inspection	tikrinimas
inspection	inspekcija
dotation	paskirstymas
teatro	olimpiko
alfredo	alfredo
cadets	kadetai
fines	baudas
fines	baudos
fées	fėja
fées	fėjos
teresa	teresa
antisémitisme	antisemitizmas
cadeau	dovana
parus	zylės
mythique	mitinio
vernon	vernon
cool	jėga
cool	kietai
famine	badas
famine	bado
aquatique	vandens
élites	elitas
élites	elite
bayern	bayern
tombée	ūkininkus
nomenclature	nomenklatūros
nomenclature	nomenklatūra
bass	žemi
entraîneurs	trenerių
entraîneurs	coaching
roumains	rumunai
grades	turimas
grades	reitingus
successeurs	įpėdinis
clientèle	klientai
clientèle	klientų
bundesliga	bundesliga
antennes	antenos
filippo	filippo
sensation	jausmas
sensation	pojūtis
cabine	kabina
cabine	salono
cabine	kabina
suzuki	suzuki
défauts	defektai
guérin	guérin
saxons	sakse
grossesse	nėštumas
volé	pavogtas
bella	bella
slave	slavų
slave	vergas
humanitaire	humanitarinė
humanitaire	humanitarinės
prédateurs	plėšrūnų
invasions	invazija
interprètes	aiškinant
interprètes	atlikėjai
sally	salis
sally	sale
fous	proto
fous	kvailiai
ghetto	geto
catcheur	imtynininkas
modules	moduliai
courir	veikiančių
courir	važiavimas
courir	vykdyti
compact	kompaktiškas
cœurs	širdys
toussaint	toussaint
muller	muller
singe	apa
singe	beždžionė
kepler	kepler
souhaitant	norinčios
souhaitant	norintiems
armure	šarvus
armure	šarvai
vidal	vidal
traduite	išversti
irving	irving
winston	winston
horace	horacijus
geo	geo
accusés	kaltina
heaven	dangaus
heaven	dangus
gascogne	biskajos
lennon	lenonas
visages	veidai
visages	veidų
parfum	kvepalai
parfum	kvepalų
parfum	kvapas
parfum	kvapą
dawn	aušra
dawn	aušros
caisses	dėžės
autonomes	savarankiška
obstacle	kliūtis
préservation	išsaugojimo
préservation	išsaugojimas
célébré	švenčiama
théâtrale	teatro
comédies	komedijas
cor	rk
cor	ragas
christina	kristina
incidents	incidentas
incidents	incidentų
incidents	incidentai
spirit	dvasios
spirit	dvasia
ludovic	ludovico
spring	pavasario
spring	pavasaris
périphérique	įrenginys
chilien	čilės
mercury	gyvsidabris
mercury	gyvsidabrio
chasser	medžioti
chasser	medžioti
chasser	medžioklė
chasser	medžioklės
parenthèses	skliaustuose
gerald	džeraldas
boom	bum
algériens	alžyro
vœux	norai
invitée	pakviesti
invitée	pakvietė
invitée	pakviesta
invitée	pakviestas
invitée	svečias
raquette	irklu
ibrahim	ibrahim
cristaux	kristalai
cristaux	kristalų
courbes	kreivės
absorption	absorbcija
absorption	rezorbcija
absorption	sugertis
absorption	absorbcijos
installées	įdiegti
installées	įdiegtas
installées	įdiegta
fréquents	bendras
fréquents	dažni
airbus	airbus
mystérieuse	marijos
mystérieuse	paslaptis
lynn	lynn
annoncer	reklamuoti
ermitage	hermitage
accessoires	reikmenys
accessoires	priedai
crainte	baimė
crainte	baime
crainte	baimės
crainte	nustebinti
say	pasakyti
masques	kauke
masques	kaukė
masques	kaukės
toiture	stogų
toiture	stogas
toiture	stogo
actionnaires	akcininkai
météo	orai
météo	oras
originalité	originalumo
raisonnement	pagrindimas
bit	tdo
bit	bitų
triangulaire	trikampis
triangulaire	trikampio
triangulaire	trikampiai
primitif	primal
din	din
marty	marti
kazan	kazanė
cul	laimikis
cul	kul
décalage	vvg
couloir	koridoriaus
couloir	koridorių
couloir	koridorius
forge	smi
forge	kalimo
julio	julio
comédiens	aktoriai
comédiens	veikėjai
salaires	atlyginimai
salaires	atlyginimas
salaires	alga
salaires	algos
salaires	atlyginimus
salaires	atlyginimai
souhaitait	norėjo
fleuves	upės
fleuves	upių
fleuves	upes
brigades	brigadų
cassini	cassini
mères	mamas
mères	motinoms
mères	motinos
mères	motina
robertson	robertson
faisceau	pluošto
jus	sultys
jus	sulčių
dollar	doleris
dollar	dolerių
kingston	kingston
fêté	švenčiama
poils	plaukelius
foudre	žaibas
foudre	žaibo
coupole	kupole
coupole	kupolu
chaise	kėdė
chaise	kėdės
pratiquée	praktikuojama
évangélique	evangelija
clips	klipą
barbier	barber
simulation	modeliavimas
minsk	minsko
médicament	vaistas
dolmen	dolmenas
richesses	turtus
richesses	turtų
bannière	vėliavas
mediawiki	mediawiki
épopée	epic
reconnues	pripažintos
ingrid	ingrida
brien	brien
diète	dieta
diète	dietos
diète	mityba
diète	mitybos
agréable	malonaus
kill	nužudyti
impliqués	dalyvavo
imprimeur	įrašoma
eve	ieva
fumée	rūkytos
fumée	rūkyta
fumée	rūkyti
fumée	dūmai
fumée	dūmų
charpentier	carpenter
audiovisuel	audiovizualinės
vettel	vettel
spirale	spiralę
linguiste	lingvistas
tenues	apranga
tenues	komplektus
potable	geria
potable	gert
bug	bugas
quotidiens	laikraščiai
grammy	grammy
paille	šiaudų
coquille	shell
coquille	apvalkalas
ranger	įvertinti
beurre	sviesto
beurre	sviestas
atome	atomas
dinosaures	dinozaurai
dinosaures	dinozauras
concepteur	dizaineris
oued	vadi
oued	oued
brisé	sutriuškino
brisé	sulaužė
blesse	skauda
westminster	vestminsterio
goya	goja
morel	morel
muscle	raumenys
muscle	raumenų
bâtir	statybos
shin	shin
toyota	toyota
ecole	mokykla
ecole	mokyklos
certification	sertifikavimo
certification	sertifikavimas
bouquet	puokštė
luttes	kovas
thermes	spa
seth	setas
contournement	vengimas
contournement	vengimo
contournement	apeiti
contournement	aplenkia
fraternité	brolija
fraternité	brolijos
fraternité	brolija
joshua	joshua
coffre	saugi
coffre	krūtinės
coffre	saugyklą
cuite	virti
cuite	virtos
cuite	kepta
carey	carey
nicola	nicola
condamne	smerkia
condamne	pasmerkti
nad	nad
dénominations	nominalų
shadow	šešėlis
funk	funk
mentale	psichikos
algues	dumblių
algues	dumbliai
menacée	nykstančių
menacée	grasino
hopkins	hopkins
métaphysique	metafizinis
métaphysique	metafizika
canyon	kanjonas
décisif	lemiamas
relance	paskatų
récurrents	periodinio
misère	vargo
beaulieu	beaulieu
postale	pašto
reconstitution	paruošimo
atari	atari
drake	drake
privilège	privilegija
privilège	privilegijos
privilège	privilegijuotas
aristocratie	aristokratija
créteil	créteil
amériques	americas
delhi	delis
frapper	streikas
frapper	griūna
anderlecht	anderlecht
symétrie	simetrija
cadavre	lavonas
esther	estera
renforce	sustiprina
renforce	stiprina
spin	spin
christoph	christoph
vole	skristi
vole	pelėnas
transylvanie	transilvanijoje
reid	reid
palme	palme
morrison	morrison
tardif	vėlai
condamnée	nuteistas
biographiques	biografiniai
biographiques	biografija
chorégraphe	choreografija
chorégraphe	choreografas
ibm	ibm
ouvertures	angų
fabio	fabio
violette	violetinė
violette	violeta
violette	violette
ions	jonų
otage	įkaitų
otage	įkaitu
plâtre	gipso
préhistorique	priešistorinis
peines	nuobaudos
peines	baudos
peines	bausmės
peines	sankcijos
spectaculaire	dramatiška
spectaculaire	įspūdingai
spectaculaire	įspūdinga
spectaculaire	nepakartojami
graf	graf
desservis	tarnavo
desservis	vykdė
contrôlé	kontroliuojamų
contrôlé	kontroliuojami
contrôlé	kontroliuojama
fabricants	gamintojai
roc	roc
rush	rush
prières	meldžiasi
prières	maldos
prières	malda
prières	maldos
prières	maldas
geoffrey	geoffrey
magicien	vedlys
magicien	burtininkas
magicien	magas
gaza	gazos
citoyenneté	pilietiškumas
snow	sniegas
snow	sniego
pèse	sveria
recherché	truko
relancer	atgaivinti
administrations	administracijų
administrations	administracijos
yémen	jemenas
maximal	didžiausias
blocus	embargas
blocus	blokada
blocus	blokadą
dépendances	priklausomybė
dépendances	priklausomybės
dépendances	priklausomybių
dépendances	priklausomybės
animés	animacinis
voleur	vagis
agression	puolimą
agression	užpuolimas
agression	agresijos
agression	agresija
got	gavo
brûlé	sudegino
brûlé	sudegintas
lachaise	lachaise
désiré	norimą
quelquefois	kartais
interdits	draudžiama
interdits	draudžiamos
interdits	draudžiamas
interdits	draudžiama
interdits	uždraustos
ham	kumpio
ham	kumpis
particule	dalelės
particule	dalelių
aquatiques	vandens
gérée	pavyko
gérée	valdoma
gérée	valdomi
tige	kojele
tige	rodai
tige	kamieninių
hampshire	hampshire
ninja	nindzė
quinn	quinn
baleine	banginis
sélective	konkrečioms
leone	leonė
plata	plata
torre	torre
muscles	raumenys
muscles	raumenys
muscles	raumenų
discrimination	diskriminaciją
discrimination	diskriminacija
dion	dion
minier	kasyba
minier	kasybos
pocket	kišenės
hussein	huseinas
géographe	geografas
ouganda	uganda
jordanie	jordan
jordanie	jordanija
jordanie	jordanijos
shah	shah
géométrique	geometrijos
géométrique	geometrija
géométrique	geometrinis
géométrique	geometrija
géométrique	geometrinės
géométrique	geometrinės
salé	druskos
salé	druska
salé	sūdyta
salé	sūdyti
cris	verkia
cris	rėkia
gastronomie	restoranai
minorités	mažumos
minorités	mažumų
raids	reidas
raids	reidus
solitude	vienatvė
examens	egzaminai
postal	pašto
fragment	fragmentas
australiens	australai
nettoyage	valymo
valle	valle
représailles	atpildas
représailles	keršto
mariés	vedęs
mariés	ištekėjusi
amélioré	patobulinta
patty	patty
aqueduc	akvedukas
poker	pokerio
conscient	sąmoningo
valladolid	valjadolido
enchères	aukcionas
enchères	aukcionai
enchères	aukcionuose
bailey	beilis
requin	rykliai
requin	ryklys
requin	rykliai
sarre	saro
sarre	saras
pénalité	sankcija
pénalité	bausmę
pénalité	bauda
pénalité	bausmė
pénalité	nuobauda
pénalité	nuobaudos
pénalité	baudos
pénalité	bausmės
pénalité	sankcijos
queens	karalienes
portées	dėvėti
rouleau	roll
hansen	hansen
satisfaction	pasitenkinimo
satisfaction	pasitenkinimas
poussière	dulkes
poussière	dulkės
poussière	dulkių
innovations	naujovės
capitalisme	kapitalizmas
déterminant	lemiamas
méchant	blogai
méchant	bloga
méchant	blogas
méchant	blogi
andreï	andrejus
kay	kay
martinez	martinez
arn	rnr
négociant	prekiautojas
négociant	prekybininkas
négociant	verslininkas
négociant	pardavėjas
firefox	firefox
gymnaste	gimnastė
massacres	žudynės
annuler	atšaukti
synonymes	sinonimai
synonymes	sinonimas
requis	reikėjo
capturés	pagavo
poésies	poésies
chartes	chartija
chartes	chartiją
bancs	suolai
réveil	pabudimas
ajax	ajax
dubaï	dubajaus
ming	ming
mortier	skiedinio
mortier	mortyros
amants	mylėtojai
tropical	atogrąžų
marthe	marta
hautbois	obo
herbes	žolelių
herbes	žolelių
herbes	žolių
herbes	herbas
alfonso	alfonso
anders	anders
harpe	arfa
financé	finansuojama
hébergement	apgyvendinimo
hébergement	apgyvendinimas
hébergement	apgyvendinimą
hébergement	būstas
géologue	geologas
shirley	shirley
orage	audros
orage	audra
accessibilité	prieiga
accessibilité	prieinamumo
accessibilité	prieinamumas
sms	sms
réfléchir	galvoju
réfléchir	manau
auschwitz	aušvicas
épinal	epinalis
philharmonique	filharmonijos
débris	laužas
débris	nuolaužos
fitzgerald	fitzgerald
fighter	kovotojas
burke	burke
météorologiques	meteorologijos
bacon	kumpis
trésors	mokesčių
trésors	lobis
hits	variantų
récepteur	receptorius
récepteur	receptorių
récepteur	gavėjas
récepteur	imtuvas
négociation	derybos
cubain	kubos
halles	halles
cox	cox
noah	nojus
fée	fėja
innocence	nekaltumo
écarts	neatitikimai
écarts	neatitikimų
écarts	spragų
écarts	plinta
négligeable	nereikšminga
thuringe	tiuringijos
réparations	remontas
réparations	remonto
réparations	remontas
ouen	ouen
incendies	ugnies
incendies	gaisro
incendies	gaisras
incendies	ugnis
incendies	gaisrai
incendies	gaisrų
ajoutés	pridėtinės
regrouper	persigrupuoti
muraille	sienos
muraille	siena
kinshasa	kinšasa
gisements	indėliai
technicien	technikas
légales	teisinių
fidji	fidžis
fidji	fidžio
timothy	timothy
dîner	vakarienė
presbytère	klebonijos
togo	togas
raisin	vynuogės
raisin	vynuogių
raisin	vynuogės
âne	asilas
poignée	gniaužtuose
poignée	grupelė
poignée	rankena
poignée	tvarkyti
binaire	dvejetainis
décomposition	sunaikinimo
décomposition	paskirstymas
décomposition	skilimo
décomposition	skilimas
amendement	pakeitimas
dana	dana
météorologique	meteorologijos
résidant	rezidentas
dino	dino
animations	animacija
caf	caf
sterling	sterlingų
xvii	xvii
favoris	mėgstamiausias
favoris	mėgstami
favoris	mylimiausias
favoris	mėgstamiausia
favoris	mėgstamiausias
favoris	mėgstamiausių
cinématographiques	kinematografijos
distributeur	platintojas
ferrer	ferrer
réparer	remonto
réparer	remontas
navales	laivyno
incroyable	nuostabu
incroyable	nuostabus
incroyable	nuostabi
incroyable	neįtikėtina
incroyable	neįtikėtina
bert	bert
chaudière	krosnių
chaudière	krosnies
chaudière	krosnis
chaudière	katilas
fondatrice	įkūrėjas
philips	philips
diminué	sulėtėjo
jakob	jakob
manifestants	demonstrantus
manifestants	protestuotojus
manifestants	protestuotojus
irène	irina
irène	irena
pénétrer	prasiskverbti
che	che
revolution	revoliucijos
revolution	revoliucija
receveur	gavėjas
receveur	gavėjas
receveur	imtuvas
gel	gelis
gel	gelio
fournisseur	tiekėjas
urbanisation	urbanizacija
libanais	libano
gibraltar	gibraltaro
gibraltar	gibraltaras
vase	vaza
transferts	perdavimai
andre	andre
isolement	atskirtis
isolement	izoliacija
isolement	izoliacijos
leçon	pamoka
tech	tech
falaises	uolų
falaises	uolos
joyeux	linksmų
joyeux	laiminga
joyeux	laimingas
joyeux	laimingi
pitié	gaila
pitié	pasigailėjimo
niche	nišą
éléphant	dramblys
fabriqués	gaminami
minerai	rūdos
clavecin	klavesinas
horizontale	horizontalus
horizontale	horizontali
horizontale	horizontaliai
palestinien	palestiniečiai
palestinien	palestiniečių
