dhe	at
fundit	pinakahuli
fundit	latest
shiko	makita
shiko	see
shiko	makakita
shiko	tingnan
shiko	tumingin
shiko	look
nën	ibaba
nën	sub
nën	rap
jpg	jpg
herë	fold
herë	times
herë	beses
viti	taon
sot	ngayon
çdo	kada
çdo	tuwing
çdo	bawat
çdo	any
lartë	high
lartë	mataas
popullsi	populasyong
popullsi	populasyon
kosovës	kosovo
komunë	munisipalidad
komunë	munisipyo
jetë	buhay
president	pangulo
president	presidente
bërë	done
mes	gitnang
mes	gitna
mes	mid
mes	pagitan
vonë	late
vonë	huli
vend	bansa
vend	makabayan
vend	lugar
vend	venue
vend	lugar
vend	pook
shqipëri	albanya
shqipëri	albania
pak	kaunti
pak	maliit
pak	bahagyang
pak	bahagya
francë	pransiya
francë	france
fshat	kabukiran
fshat	nayon
zyrtare	official
zyrtare	opisyal
kryetari	speaker
kryetari	nagsasalita
kryetari	tagapagsalita
kryetari	chairman
vendosur	matatagpuan
pasur	ay
pasur	had
pasur	nagkaroon
pasur	mayaman
pasur	rich
pasur	mayayaman
sepse	kc
sepse	kasi
sepse	dahil
sepse	sanhi
sepse	cause
kishin	ay
kishin	had
kishin	nagkaroon
vitet	taon
tre	triplets
tre	tatlong
tre	tatlo
fund	skirt
fund	palda
fund	nagtatapos
fund	ending
fund	matatapos
fund	katapusan
fund	pagtatapos
fund	tapusin
fund	dulo
marrë	taken
tjerë	iba
harta	mapa
harta	maps
harta	mapa
mbreti	king
mbreti	hari
mbreti	haring
midis	pagitan
vogël	tiny
kosovë	kosovo
vjet	taon
përbëhet	binubuo
përbëhet	binubuo
pastaj	then
pastaj	pagkatapos
shtetit	state
shtetit	estado
tiranë	tirana
kombëtare	national
kombëtare	pambansa
kombëtare	pambansang
kombëtare	nasyonal
emrin	pangalan
emrin	pong
mori	natanggap
filloi	nagsimula
filloi	inumpisahan
filloi	sinimulan
ish	dating
mars	marso
mars	marte
mars	mars
file	tipunan
file	magsampa
file	talaksan
file	file
presidenti	pangulo
presidenti	presidente
lindur	ipinanganak
lindur	pinanganak
lindi	kapanganakan
kryesore	pangunahing
kryesore	pangunahin
aktualisht	kasalukuyang
qyteti	bayan
qyteti	lungsod
qyteti	siyudad
qyteti	city
politike	pulitikal
politike	politikal
politike	pampulitika
qershor	june
qershor	hunyo
pse	bakit
maj	mayo
maj	maaaring
vetë	self
vetë	sarili
nëntor	nobyembre
nëntor	november
janar	january
janar	enero
thotë	sabi
shtator	setyembre
vet	kanyang
brenda	brenda
brenda	inside
brenda	loob
shteteve	states
shteteve	estado
shteteve	unidos
prill	april
prill	abril
ditë	araw
ditë	araw
tetor	oktubre
shkurt	february
shkurt	pebrero
shkurt	maiksi
shkurt	maikli
shkurt	short
shkurt	pandak
shkurt	maikling
bëhet	maging
bëhet	nagiging
vjetër	matanda
vjetër	luma
bën	gumagawa
kodi	code
kodi	kodigo
monark	monarch
dhjetor	december
dhjetor	disyembre
dhjetor	decimal
mbret	king
mbret	hari
mbret	haring
aktuale	current
aktuale	kasalukuyan
aktuale	kasalukuyang
gjuhën	dila
gjuhën	wika
gjuhën	alangan
gjuhën	wikang
gjuhën	tausug
tani	ngayon
km²	km²
shtetet	states
shtetet	estado
shtetet	unidos
shtetet	bansang
informacion	impormasyon
shume	napaka
shume	magkano
shume	marami
gusht	august
gusht	agosto
shba	usa
pranë	katabi
pranë	malapit
top	tuktok
top	nangunguna
top	itaas
korrik	hulyo
katër	apat
rëndësishme	kahalaga
rëndësishme	mahalaga
fillim	simula
jashtë	labas
jashtë	lumabas
përbërja	komposisyon
shën	santo
shën	santa
qytet	bayan
qytet	lungsod
qytet	siyudad
qytet	city
këtu	rito
këtu	dito
këtu	nandito
dhënë	binigay
dhënë	given
dhënë	ibinigay
dhënë	granted
dhënë	tinupad
dhënë	ipinagkaloob
dhënë	ipinagkakaloob
përdorur	ginamit
përdorur	nagamit
përdorur	ginagamit
faqja	pahinang
faqja	pahina
faqja	page
aty	may
nëpër	through
krijuar	ginawa
krijuar	nilikha
del	del
zona	zone
zona	lugar
zona	area
zona	lawak
këshilltarëve	councillors
vit	taon
shpesh	madalas
shpesh	madalas
shpesh	kadalasan
përfshirë	involved
përfshirë	kasangkot
përfshirë	kasama
përfshirë	nasama
megjithatë	gayunpaman
megjithatë	subalit
megjithatë	gayunman
megjithatë	gayunpaman
data	date
data	petsa
kryesor	pangunahing
kryesor	pangunahin
kryesor	pangunahing
kryesor	pangunahin
emri	pangalan
emri	pong
jane	jane
new	new
new	bago
new	bagong
isbn	isbn
zakonisht	kadalasan
reja	new
reja	bago
reja	bagong
federal	federal
federal	pederal
qarkun	county
qarkun	kondado
qendër	center
qendër	sentro
qendër	sentro
qendër	centre
ana	ana
ana	anna
republika	republika
iii	ill
iii	iii
provinca	probinsya
provinca	province
provinca	probinsiya
provinca	lalawigan
der	der
fjalë	salitang
fjalë	salita
fjalë	salita
ndodhet	matatagpuan
amerikan	amerikano
osmane	imperyong
pjesa	bahagi
pjesa	part
pjesa	parte
ndonjë	any
caps	caps
gjë	bagay
ali	ali
shkruar	isinulat
shkruar	nakasulat
shkruar	sinulat
shkruar	naisulat
kulturore	pangkultura
kulturore	cultural
mesme	gitnang
mesme	gitna
mesme	katamtaman
shqip	albanian
numër	bilang
atëherë	then
atëherë	pagkatapos
mjaft	sapat
bazë	base
bazë	basic
kohe	panahon
kohe	oras
kohe	time
ndërtuar	nakapaloob
ndërtuar	binuo
ndërtuar	bumuo
ndërtuar	magtayo
nëpërmjet	via
nëpërmjet	through
solid	solid
fshati	nayon
vite	taon
forcat	pwersa
forcat	sandatahan
vdiq	namatay
sipërfaqja	hull
jug	timog
atyre	kanila
atyre	sila
atyre	silang
lidhur	nakakonekta
lidhur	konektado
lidhur	nakatali
ushtarake	military
ushtarake	pangmilitar
ushtarake	militar
veri	north
veri	hilagang
veri	hilaga
papa	papa
popullore	popular
popullore	sikat
numri	bilang
atij	kaniya
atij	niya
atij	siya
atij	kanya
përveç	puwera
përveç	maliban
përveç	pwera
vepra	opus
vepra	gawa
vepra	gumagana
asaj	her
asaj	kanya
asaj	siya
vërtetë	real
vërtetë	talaga
përmes	via
përmes	through
përdoret	ginamit
përdoret	nagamit
përdoret	ginagamit
dha	nagbigay
arriti	dumating
botë	mundo
spanjë	espanya
spanjë	spain
ndërkombëtare	internasyonal
ndërkombëtare	international
ndërkombëtare	internasyunal
ndërkombëtare	pandaigdig
shqipëria	albanya
shqipëria	albania
tretë	ikatlong
tretë	pangatlo
veriore	hilagang
merr	kumuha
merr	makuha
merr	makakuha
merr	kunin
merr	kumuha
formë	shape
formë	hugis
formë	anyo
kisha	simbahan
kisha	iglesia
kisha	simbahan
kisha	church
veçantë	espesyal
veçantë	special
shteti	bansa
shteti	makabayan
shteti	state
shteti	estado
vende	places
vende	upuan
ndeshje	laban
ndeshje	tugma
njerëzit	tao
ende	parin
maqedonisë	masedonya
shënoi	minarkahan
fitoi	nanalo
fitoi	panalo
vendi	bansa
vendi	makabayan
vendi	lugar
vendi	pook
http	http
faqe	pisngi
faqe	pahinang
faqe	pahina
faqe	page
faqe	pahina
jeta	buhay
popullsia	populasyong
popullsia	populasyon
kryetar	speaker
kryetar	nagsasalita
kryetar	tagapagsalita
kryetar	alkalde
kryetar	mayor
kryetar	chairman
luajtur	naglaro
luajtur	nilalaro
luajtur	nilaro
shtëpi	bahay
shtëpi	bahay
shtëpi	tahanan
shtëpi	bahay
shtëpi	makauwi
gjuhë	dila
gjuhë	wika
gjuhë	alangan
gjuhë	wikang
gjuhë	tausug
historike	makasaysayang
historike	makasaysayang
fetare	relihiyoso
perëndimore	west
perëndimore	kanluran
perëndimore	kanluranin
perëndimore	western
tri	tri
tri	tatlong
tri	tatlo
shembull	halimbawa
ekonomike	ekonomiya
ekonomike	economic
ekonomike	matipid
saint	santo
saint	santa
asnjë	wala
plotë	busog
plotë	full
plotë	buo
plotë	buong
rajoni	rehiyon
rajoni	distrito
shkolla	paaralan
afër	malapit
afër	close
afër	malapit
afër	isara
then	fail
then	mabibigo
then	mabigo
drejt	straight
drejt	tuwid
drejt	diretso
lindje	silangan
lindje	east
historia	story
historia	kuwento
historia	kwento
historia	kasaysayan
historia	history
film	pelikula
film	sine
film	movie
figura	larawan
figura	imahe
figura	personalidad
figura	pigura
figura	personalidad
figura	figure
zoti	god
zoti	diyos
zoti	lord
zoti	panginoon
kosova	kosovo
gjuha	dila
gjuha	wika
gjuha	alangan
gjuha	wikang
gjuha	tausug
studimet	araling
studimet	aral
familje	kapamilya
familje	pamilya
duket	anyong
duket	mukhang
tha	sabi
tha	sinabi
fillon	begins
fillon	magsisimula
fillon	nagsisimula
fillon	magsisimula
fillon	nagsisimula
fillon	sinisimulan
fillon	nagsisimula
fillon	simula
anë	gilid
anë	tabi
anë	karamay
anë	tagiliran
gjerë	malapad
qëllim	layunin
city	lungsod
city	siyudad
city	city
tempulli	templo
kane	kane
von	von
lufta	digmaan
lufta	digmaang
rast	case
rast	kaso
rast	kasong
vjen	lumapit
vjen	sasama
vjen	darating
grupi	banda
grupi	grupo
grupi	pangkat
grupi	group
pare	seen
pare	nakita
itali	italya
arritur	nakamit
arritur	nakakamit
arritur	achieved
arritur	naabot
shumica	majority
shumica	karamihan
shumica	nakararami
rëndësishëm	instrumental
svg	svg
autor	author
përpara	sulong
përpara	pasulong
përpara	ipasa
përpara	noon
përpara	dati
përpara	bago
punës	paggawa
punës	pinaghirapan
punës	labor
tregon	ipinapakita
tregon	nagpapakita
tonë	ating
tonë	aming
njerëz	tao
jugore	katimugang
jugore	southern
botuar	inilathala
botuar	publish
pesë	limang
pesë	lima
pesë	singko
anëtar	miyembro
prandaj	samakatuwid
lloji	mabait
lloji	type
lloji	uri
emër	pangalan
emër	pong
ibn	ibn
grup	grupo
grup	pangkat
grup	group
mali	bundok
mali	bundok
zhvillimin	development
zhvillimin	pagpapaunlad
zhvillimin	unlad
und	und
john	juan
john	john
vendet	upuan
vendet	places
vendet	bansang
poshtë	down
poshtë	pababa
poshtë	ibaba
poshtë	ibaba
poshtë	ilalim
fjala	salitang
fjala	salita
qendrore	central
qendrore	gitnang
jep	binibigyan
jep	nagbibigay
jep	grants
jep	ibigay
jep	magbigay
wikipedia	wikipedia
bashkë	sama
bashkë	magkasama
hershme	maagang
hershme	maaga
jugut	timog
lindore	silangang
përfshinë	kasama
përfshinë	nasama
italia	italya
qarqet	activities
qarqet	circuits
qarqet	pambatas
punë	trabaho
punë	job
punë	trabaho
punë	magtrabaho
punë	work
hapur	buksan
hapur	bukas
hapur	open
njihet	kilala
qendra	center
qendra	sentro
qendra	sentro
qendra	centre
libri	book
libri	libro
libri	aklat
romake	roman
romake	romano
caktuar	assigned
caktuar	kagustuhang
caktuar	itinalaga
caktuar	nakatalaga
administrative	administrative
pati	patty
pati	patti
burimi	source
burimi	pinagkunan
burimi	mapagkukunan
burimi	resource
sistemi	sistemang
sistemi	system
sistemi	sistema
politik	pulitikal
politik	politikal
politik	pampulitika
fushë	patlang
fushë	field
fushë	larangan
shtëpia	tahanan
shtëpia	bahay
shtëpia	makauwi
shtëpia	bahay
kete	ito
kete	nito
ora	panahon
ora	oras
ora	time
ora	orasan
gola	goals
serbe	pranses
detit	dagat
burim	source
burim	pinagkunan
njeri	pantao
njeri	tao
njeri	makatao
njeri	human
njeri	lalaking
njeri	lalaki
njeri	man
not	lumalangoy
not	swimming
faqet	pahina
faqet	pisngi
ate	kaniya
ate	niya
ate	siya
ate	kanya
lirë	maluwag
lirë	mura
lirë	murang
lirë	cheap
lirë	libreng
lirë	free
lirë	libre
lirë	malaya
bardhë	maputi
bardhë	puti
komuniste	komunista
gjermane	aleman
ujë	tubig
zhvilluar	binuo
rrethi	bilog
koha	panahon
koha	oras
koha	time
letrare	pampanitikan
tokë	daigdig
tokë	lupa
tokë	lupain
tokë	lupa
histori	story
histori	kuwento
histori	kwento
histori	kasaysayan
histori	history
kreu	head
kreu	ulo
njeriu	lalaking
njeriu	lalaki
njeriu	man
gjendje	situation
gjendje	sitwasyon
gjendje	kalagayan
gjendje	kondisyon
gjendje	kundisyon
amerikane	amerikano
krye	tuktok
krye	nangunguna
krye	itaas
tirana	tirana
veprat	gawa
vendos	set
vendos	itakda
vendos	magdesisyon
vendos	magpasya
mbajtur	hinawakan
mbajtur	gaganapin
mbajtur	pinananatili
mbajtur	iningatan
com	com
madje	kahit
colspan	colspan
përfshin	nagsasama
përfshin	nagsasangkot
george	george
elektrike	electrical
elektrike	electric
luftë	digmaan
luftë	digmaang
arsye	dahilan
punuar	nagtrabaho
punuar	working
punuar	pagtatrabaho
punuar	gumagana
punuar	nagtatrabaho
perëndim	west
perëndim	kanluran
fëmijë	pambata
fëmijë	anak
fëmijë	bata
malit	bundok
qarku	county
qarku	kondado
qarku	circuit
autori	author
shtrihet	nagpalawak
mira	mira
verore	summer
ushtarak	military
ushtarak	pangmilitar
ushtarak	militar
san	san
përsëri	ulit
përsëri	again
përsëri	muli
përsëri	nanaman
evropian	europeo
evropian	european
vendbanim	paninirahan
vendbanim	residence
vendbanim	tirahan
familja	kapamilya
familja	pamilya
larg	malayo
larg	kalayo
larg	malayong
princi	prinsipe
princi	prince
kaluar	nakaraan
kaluar	nakalipas
kaluar	nakaraang
kaluar	lumipas
kaluar	pasado
pikë	points
pikë	puntong
pikë	punto
pikë	point
qeveria	pamahalaan
qeveria	gobyerno
nobel	nobel
shkencave	sciences
rolin	tungkulin
jugosllave	yugoslav
mal	bundok
mal	mal
vetem	alone
vetem	magisa
vetem	lang
vetem	lamang
vetem	lng
vetem	nalang
vetem	basta
drejtë	straight
drejtë	tuwid
drejtë	diretso
drejtë	diba
drejtë	kanang
aktor	artista
aktor	actor
aktor	aktor
italian	italian
italian	italyano
skeda	tab
luajti	naglaro
luajti	nilalaro
luajti	nilaro
gjashtë	anim
universiteti	university
universiteti	unibersidad
universiteti	pamantasan
gjetur	natagpuan
gjetur	nahanap
gjetur	nakita
gjetur	nakahanap
radio	radio
radio	radyo
yes	oo
yes	opo
formuar	nabuo
formuar	hugis
mbretëresha	queen
mbretëresha	reyna
italiane	italian
italiane	italyano
bazuar	batay
përshkrimi	paglalarawan
rrugë	kalye
rrugë	daan
gjerman	aleman
lashtë	ancient
lashtë	sinaunang
perandoria	imperyo
perandoria	monggol
poezi	tula
poezi	tulang
poezi	tula
poezi	poetry
evropiane	europeo
evropiane	european
drejtim	direction
drejtim	direksiyon
drejtim	direksyon
luan	leon
luan	gumaganap
luan	paglalaro
luan	naglalaro
mundur	maaari
mundur	posible
mundur	possible
mundur	maari
mundur	posibleng
mundur	natalo
mundur	bagsak
atje	may
brendshme	panloob
dita	dita
dita	araw
shpejt	nagtagal
shpejt	soon
shpejt	mabilis
shpejt	kabilis
shpejt	fast
shpejt	mabilisan
shpejt	dali
natyrore	likas
natyrore	natural
veriut	north
veriut	hilagang
veriut	hilaga
veriut	hilagang
ndryshe	ibang
ndryshe	otherwise
ara	pananim
ara	tanim
ara	ara
perandori	imperyo
perandori	monggol
perandori	emperador
kush	sino
fusha	patlang
fusha	field
fusha	larangan
anglisht	tagalog
anglisht	ingles
forma	shape
forma	hugis
forma	anyo
fillimisht	initially
fillimisht	originally
muaj	buwan
muaj	months
muaj	buwan
publike	publiko
publike	pampubliko
shënuar	minarkahan
shtet	bansa
shtet	makabayan
shtet	state
shtet	estado
demokratike	democratic
demokratike	demokratikong
filmi	pelikula
filmi	sine
filmi	movie
veçanërisht	partikular
moderne	makabagong
moderne	modern
moderne	modernong
moderne	makabago
metra	meters
metra	metro
artit	art
artit	sining
artit	artwork
gjithmonë	palagi
gjithmonë	laging
york	york
kryer	isinasagawa
kryer	nakatuon
gjermani	germany
gjermani	alemanya
gjermani	mikrobyo
sur	sur
erdhi	dumating
dorë	kamay
sukses	tagumpay
gjate	mahaba
gjate	matagal
gjate	haba
world	mundo
paris	paris
paris	parokya
shtatë	pitong
shtatë	seven
shtatë	pito
shtatë	ikapitong
këngë	kanta
këngë	songs
këngë	awitin
këngë	kanta
këngë	awit
megjithëse	bagaman
megjithëse	although
vazhdoi	ipinagpatuloy
vazhdoi	nagpatuloy
përmban	naglalaman
args	args
targa	plates
targa	plato
marrin	makatanggap
marrin	matanggap
marrin	tumanggap
menjëherë	kaagad
menjëherë	agad
robert	robert
club	club
club	samahan
libër	book
libër	libro
libër	aklat
përfundoi	nakumpleto
përfundoi	natapos
përfundoi	tinapos
përfundoi	natapos
përfundoi	tapos
mire	mabait
mire	mabuti
sistem	sistemang
sistem	system
sistem	sistema
des	des
shekulli	siglo
shekulli	century
periudhë	panahon
vazhdon	patuloy
shoqërore	humanities
shoqërore	panlipunan
shoqërore	social
shoqërore	sosyal
artikuj	akda
artikuj	artikulo
sotme	ngayon
shkrimtar	manunulat
ndërkohë	samantala
qartë	burahin
qartë	malinaw
huaj	stranger
huaj	foreign
huaj	dayuhang
përgjatë	along
thjeshtë	simple
thjeshtë	simpleng
thjeshtë	simply
fshatrat	villages
fshatrat	nayon
vlera	halaga
sikur	parang
sikur	like
sikur	gustuhin
themeluar	itinatag
themeluar	itinatag
rol	tungkulin
ndërkombëtar	internasyonal
ndërkombëtar	international
ndërkombëtar	internasyunal
ndërkombëtar	pandaigdig
bashkimi	unyon
bashkimi	union
bashkimi	unyong
bashkimi	merger
bashkimi	unity
bashkimi	pagkakaisa
bashkimi	sumasali
bashkimi	pagsali
lumi	ilog
maqedoni	masedonya
golin	layunin
toka	daigdig
toka	lupa
toka	lupain
toka	lupa
nationalteam	nationalteam
raste	kaso
here	times
here	beses
here	panahon
here	oras
here	time
xxxx	xxxx
filluan	nagsimula
filluan	inumpisahan
filluan	sinimulan
shkurtër	maiksi
shkurtër	maikli
shkurtër	short
shkurtër	pandak
shkurtër	maikling
shkurtër	maikli
shkurtër	maikling
yyyy	yyyy
roman	roman
roman	romano
roman	nobela
william	william
uefa	uefa
vendosi	nagpasya
vendosi	naisipang
vendosi	nagdesisyon
vendosi	napagdesisyunan
drejtuar	headed
mbetur	natitira
mbetur	natitirang
rruga	kalye
rruga	daan
ndoshta	marahil
ndoshta	siguro
ndoshta	baka
ndoshta	malamang
ndoshta	ata
kupa	tasa
kupa	tasa
kupa	kopa
ekonomik	ekonomiya
ekonomik	economic
ekonomik	matipid
bukur	ganda
bukur	maganda
bukur	pretty
bukur	ganda
bukur	sarap
bukur	nice
jean	jean
turke	turko
ulët	mababang
ulët	mababa
ulët	low
periudha	panahon
periudha	regla
real	real
jetojnë	mabuhay
jetojnë	mamuhay
jetojnë	live
publik	publiko
publik	pampubliko
pavarur	malayang
pavarur	independent
pavarur	freelance
ushtria	military
ushtria	pangmilitar
ushtria	militar
ushtria	hukbo
ushtria	army
lind	ipinanganak
lind	pinanganak
lind	lind
fundi	matatapos
fundi	katapusan
fundi	pagtatapos
fundi	tapusin
fundi	dulo
ndarë	hinati
ndarë	nahahati
klubi	club
klubi	samahan
fakt	katunayan
fakt	fact
fakt	katotohanan
kuqe	pula
kuqe	red
pasha	pasha
puna	trabaho
puna	magtrabaho
puna	work
udhëheqëse	nangunguna
vdekur	patay
university	university
university	unibersidad
university	pamantasan
www	www
gjeografike	geographic
gjeografike	heograpikong
gjeografike	heograpikong
madrid	madrid
njësi	units
njësi	yunit
njësi	yunit
njësi	unit
osman	osman
qytetet	lungsod
https	https
gazeta	diyaryo
gazeta	pahayagan
gazeta	papel
rritur	adult
format	format
zgjedhur	napili
zgjedhur	pinili
zgjedhur	piling
anëtarët	miyembro
anëtarët	members
anëtarët	kasapi
banorët	naninirahan
banorët	residente
fuqi	power
fuqi	kapangyarihan
duhej	kailangan
kalon	pumasa
punoi	nagtrabaho
katolike	katoliko
doli	nilabasan
artikulli	artikulo
shkollë	paaralan
seri	serye
seri	series
përbashkët	naibahagi
përbashkët	ibinahagi
përbashkët	nagbahagi
përbashkët	karaniwan
përbashkët	karaniwang
përbashkët	dugtong
përbashkët	pinagsamang
akoma	parin
britanisë	britanya
britanisë	britain
rezultat	resulta
fëmijët	pambata
profesor	professor
profesor	propesor
ngjarje	pangyayari
ngjarje	kaganapan
ngjarje	event
cet	cet
mban	humahawak
mban	aalay
mban	mapigil
pika	tuldok
pika	patak
pika	puntong
pika	punto
pika	point
vendasit	lumad
posta	mail
posta	sulat
posta	koreo
fakultetin	faculty
kaloi	nagastos
kaloi	ginastos
kaloi	crossed
kaloi	lumipas
kaloi	pasado
derisa	till
derisa	hanggang
lehtë	madali
lehtë	madaling
lehtë	easy
tej	karagdagang
greqi	gresya
jeton	buhay
jeton	tinitirahan
jeton	pamumuhay
jeton	mabuhay
jeton	mamuhay
jeton	live
jeton	buhay
jeton	lives
jeton	nakatira
pjese	bahagi
pjese	part
pjese	parte
fillore	elementary
fillore	elementarya
xhamia	mosque
nisur	sinimulan
nisur	inilunsad
ilire	illyrian
arrin	darating
arrin	dadating
rëndë	mabigat
bin	bin
bin	bini
charles	charles
kurrë	never
vrarë	napatay
vrarë	pinatay
united	united
united	nagkakaisa
ismail	ismail
projekte	proyekto
vendeve	bansang
league	league
league	liga
sulltani	sultan
pothuajse	halos
fituesit	winners
barcelona	barcelona
gjallë	buhay
pamje	pagtingin
pamje	tingnan
pamje	tignan
pamje	panonood
pamje	view
class	klase
sistemin	sistemang
sistemin	system
sistemin	sistema
shkon	tumatakbo
shkon	nagpapatakbo
shkon	pagpunta
shkon	pupunta
shkon	napupunta
david	david
mundësi	posibilidad
mundësi	pagkakataon
mundësi	chance
mundësi	pagkakataon
mundësi	opportunity
lokale	lokal
ndryshëm	ibang
gjon	juan
gjon	john
pikërisht	tiyak
pikërisht	sakto
mbetet	nananatiling
mbetet	lag
tona	ating
tona	aming
portal	portal
çmimi	presyo
nationalyears	nationalyears
çfarë	anong
çfarë	anu
çfarë	anung
çfarë	ano
kthehet	pagbabalik
kthehet	returns
treguar	ipinapakita
treguar	ipinakita
page	sahod
page	suweldo
finlanda	finland
fizike	pisikal
mesatare	intermediate
mesatare	karaniwan
mesatare	katamtaman
serb	pranses
vepër	deed
përbërë	pinaghalo
përbërë	binubuo
përbërë	consisting
lloje	uri
lloje	varieties
guvernator	governor
guvernator	gobernador
vështirë	hard
vështirë	mahirap
vështirë	matigas
vështirë	mahirap
shkallë	ladder
shkallë	hagdan
uji	tubig
uji	likido
uji	fluid
ndeshjet	tumutugma
ngjashme	kapareho
ngjashme	magkatulad
ngjashme	katulad
mbrojtur	pinoprotektahan
mbrojtur	protektado
guri	bato
guri	guri
guri	bato
guri	rock
ekziston	umiiral
ekziston	umiiral
njerëzore	pantao
njerëzore	tao
njerëzore	makatao
njerëzore	human
lidhja	koneksyon
lidhja	connection
lidhja	link
prodhuar	ginawa
prodhuar	manufactured
prodhuar	panindang
premier	premier
thellë	malalim
thellë	deep
numrin	bilang
organizuar	maayos
prof	prof
mësues	guro
mësues	teacher
kushtet	tuntunin
kushtet	takda
kushtet	kondisyon
kushtet	kundisyon
kryeqyteti	capital
kryeqyteti	kabisera
kryeqyteti	kapital
cest	cest
zyrtar	official
zyrtar	opisyal
art	art
art	sining
krishterë	christian
krishterë	kristiyano
krishterë	kristiyano
drejtor	direktor
drejtor	director
drejtor	principal
internet	internet
shkup	skopje
nord	nord
shkruan	writes
shkruan	magsusulat
shkruan	pagsusulat
shkoi	nagpunta
paul	paul
paul	pablo
djali	boy
maria	maria
one	isa
one	one
mijë	libong
mijë	libo
paraqitur	ipinapakita
paraqitur	iharap
paraqitur	iniharap
paraqitur	isinumite
burimet	sources
burimet	pinagmumulan
burimet	pagkukunan
burimet	mapagkukunan
burimet	yaman
burimet	kayamanan
personale	personal
ditët	araw
lartësi	altitude
lartësi	taas
lartësi	height
gjergj	giorgio
mehmet	mehmed
trupit	katawan
islam	islam
evropë	europa
evropë	gresya
ditën	araw
sociale	panlipunan
sociale	social
sociale	sosyal
biri	anak
biri	son
sezoni	panahon
ibrahim	ibrahim
james	james
kuq	pula
kuq	red
keni	kenny
keni	may
politikan	pulitiko
bie	bumabagsak
bie	taglagas
bie	mahulog
bie	talon
bie	falls
studime	araling
studime	aral
zonë	zone
zonë	lugar
zonë	area
zonë	lawak
kërkon	nangangailangan
don	don
hap	hakbang
hap	step
hap	buksan
hap	bukas
hap	open
nisi	nagsimula
nisi	inumpisahan
nisi	sinimulan
nisi	nisi
nisi	inilunsad
filma	films
filma	movies
trupat	hukbo
keq	bad
keq	masamang
keq	masama
keq	patawad
keq	paumanhin
ruajtur	nakapreserba
ruajtur	save
trashëgimisë	pamana
trashëgimisë	heritage
ngushtë	makipot
ngushtë	paliitin
ngushtë	makitid
ngushtë	masikip
ngushtë	mahigpit
rrjedh	daloy
rrjedh	umaagos
rrjedh	lumilitaw
video	video
famshëm	celebrity
famshëm	famous
famshëm	sikat
ngritur	elevated
plotësisht	lubos
plotësisht	ganap
plotësisht	totally
utc	utc
skuadra	squad
skuadra	team
civile	civil
civile	sibil
civile	civilian
forca	lakas
forca	tibay
forca	puwersa
sovjetik	sobyet
punon	gumagana
punon	working
punon	pagtatrabaho
punon	gumagana
punon	nagtatrabaho
përdor	gamitin
pavarësisht	alintana
pavarësisht	kabila
arti	art
arti	sining
libra	libro
libra	aklat
kuvendit	assembly
kuvendit	pagpupulong
kuvendit	pagtitipon
bota	mundo
përdorim	gamitin
burime	sources
