টেলার	テラー
ফ্যান	ファン
প্রসেসিং	処理
প্রসেসিং	加工
অসুখ	病気
অসুখ	疾病
স্তবক	クラスタ
টমি	トミー
অনাথ	孤児
অনাথ	孤児
আবর্জনা	ごみ箱
আবর্জনা	ゴミ箱
ঝুলে	絞首刑
শূণ্য	なし
পেটে	お腹
বন্ধনী	括弧
বন্ধনী	かっこ
ক্রিসমাস	クリスマス
ক্রিসমাস	xmas
ডোমিনিকান	ドミニカ
ক্যাফে	カフェ
শাসকগণ	shambhala
আমস্টারডাম	アムステルダム
ডাকোটা	ダコタ
মনু	マヌ
কাতালোনিয়া	カタロニア
হিউজ	ヒューズ
পারবো	can
জন্তু	野獣
জন্তু	ビースト
তাজিক	タジク
ওয়াং	ウォン
সিমন	シモーネ
সিমন	シモーヌ
অথরিটি	権威
অথরিটি	権限
অথরিটি	職権
সংবাদদাতা	特派員
ইসাবেল	イサベル
মর্গান	モルガン
লিসা	リサ
দোষারোপ	責め
ফিন	フィン
কল্কি	カルキ
সহপাঠী	クラスメート
সহপাঠী	同級生
ফসিল	化石
জলি	陽気
অ্যাকাডেমিক	アカデミック
চকোলেট	チョコレート
সিগন্যাল	シグナル
সিগন্যাল	信号
দ্রবণ	固体
দ্রবণ	シリコン
দ্রবণ	ケイ素
দ্রবণ	溶剤
দ্রবণ	ソリューション
দ্রবণ	溶液
মিট	ミット
অধিবিদ্যা	形而上学
ট্রেডিং	取引
এন্টারপ্রাইজ	エンタープライズ
এন্টারপ্রাইজ	企業
সন্দেহের	疑念
স্তূপ	パイル
অ্যারন	アロン
অ্যারন	アーロン
রক্তাক্ত	ブラッディ
রাউল	ラウル
ডাকাতি	強盗
যুদ্ধজাহাজ	軍艦
পরিচ্ছন্ন	ストレート
পরিচ্ছন্ন	きちんと
সক	soc
সক	靴下
স্ফটিক	crystal
স্ফটিক	結晶
স্ফটিক	クリスタル
পরিসীমা	範囲
পরিসীমা	レンジ
ফার্মেসি	薬学
ফার্মেসি	薬局
ফাঁপা	中空
দুষ্প্রাপ্য	レア
সিনেটর	議員
আইফেল	エッフェル
ঘুরি	ターン
ঘুরি	曲がる
মেয়েটি	ガール
মেয়েটি	少女
মেয়েটি	女の子
বিশ্বাসঘাতকতা	裏切り
বিশ্বাসঘাতকতা	反逆
হাসির	笑顔
হাসির	スマイル
হাসির	笑い
হাসির	笑顔
বেকারত্ব	失業
নজির	先例
নজির	判例
মরিয়ম	メアリ
মরিয়ম	メアリー
মরিয়ম	マルヤム
তালা	ロッカー
ক্রাউন	クラウン
প্লট	プロット
নাজির	ナジール
লেভি	レビ
লেভি	レヴィ
বিশ্লেষক	アナリスト
সামোয়া	サモア
টাইটানিক	タイタニック
বিপর্যস্ত	動揺
শেঠ	セス
তানজানিয়া	タンザニア
গুয়াতেমালা	グアテマラ
গুয়াতেমালা	グアテマラ
কসোভো	コソボ
ভাস্কো	バスコ
ভাস্কো	ヴァスコ
প্লেস্টেশন	playstation
দারুচিনি	シナモン
বিবেক	良心
হাস্যরসাত্মক	ユーモア
এঞ্জেলস	angeles
কুয়াশা	コンクリート
ফটোশপ	photoshop
ভোক্তা	消費者
ভোক্তা	消費者
অ্যাস্টন	アシュトン
বাজ	バズ
কর্মক্ষমতা	パフォーマンス
কর্মক্ষমতা	性能
কর্মক্ষমতা	興行
রোম্যান্টিক	ロマンチック
মামার	mama
স্যুট	スイート
স্যুট	スーツ
স্যুট	スーツ
স্যুট	背広
কোহেন	コーヘン
কোহেন	コーエン
মৎস	漁業
ছুরি	ナイフ
ছুরি	ナイフ
ইঙ্ক	inc
ধমনী	動脈
ধমনী	動脈
পলিসি	ポリシー
পলিসি	政策
পলিসি	方針
বরিস	ボリス
হেসে	ヘッセン
হেসে	ヘッセ
মমি	ミイラ
মমি	ミイラ
মরা	デッド
পরিচর্যা	看護
পরিচর্যা	ケア
পরিচর্যা	介護
ঝাঁপ	ジャンプ
নিপীড়ন	迫害
নিপীড়ন	弾圧
জামাই	花婿
থিসিস	テーゼ
থিসিস	論文
প্রত্যাখ্যাত	破棄
প্রত্যাখ্যাত	辞退
প্রত্যাখ্যাত	不参加
ইকো	エコ
ইকো	反響
ইকো	エコー
কংক্রিট	コンクリート
কাঞ্জি	漢字
বপন	播種
শখের	アマチュア
ক্লদ	クロード
সুইট	スウィート
সুইট	甘い
সন্মান	名誉
আবেগের	パッション
আবেগের	情熱
আবেগের	受難
গোলাগুলি	射撃
গ্রাহকদের	カスタマー
ইনজুরি	怪我
ইনজুরি	外傷
ড্রসোফিলা	ショウジョウバエ
রাখাল	カウボーイ
বেরি	ベリー
আজকে	tropic
আজকে	トゥデイ
আজকে	今日
রক্তপাত	出血
সম্ভাব্যতা	確率
লুপ	ループ
চট্রগ্রাম	チッタゴン
গাউস	ガウス
ওমেগা	オメガ
ফুয়াদ	フアド
সাউন্ডট্র্যাক	サウンドトラック
শেফার্ড	シェパード
ধোঁয়া	スモーク
দারিদ্র্য	貧困
সংশয়	疑念
কোণায়	コーナー
অযৌন	無性生殖
সেকশন	セクション
ট্রেভর	トレヴァー
ট্রেভর	トレバー
অংশগ্রহনের	関与
অংশগ্রহনের	参加
নরওয়েজিয়ান	ノルウェー
বিলম্ব	ディレイ
বিলম্ব	遅延
ক্লেয়ার	クレア
নার্স	ナース
ডেভেলপার	デベロッパー
পড়ছে	落下
মোনাকো	モナコ
সস	ソース
হ্যাট	ハット
হ্যাট	帽子
বিশৃঙ্খল	混沌
করিডোর	通路
করিডোর	回廊
করিডোর	廊下
কারিগর	職人
কারিগর	メカニック
মাখন	バター
সোডা	ソーダ
মুসলমানের	イスラム教
মুসলমানের	ムスリム
পেঁচা	フクロウ
পেঁচা	ふくろう
ময়দা	粉末
ময়দা	小麦粉
ময়দা	メイダ
হিলারি	ヒラリー
হিলারি	ヒラリー
আটলান্টা	アトランタ
কিউব	立方体
কিউব	キューブ
স্থূলতা	肥満
অন্তর্বাস	下着
বন্ধুত্বের	友情
শিশ্ন	陰茎
শিশ্ন	ペニス
সামুরাই	サムライ
সামুরাই	武士
মগ	mog
মগ	マグカップ
মগ	マグカップ
ভদ্র	丁寧
ভদ্র	穏やか
ভদ্র	優しい
ইভ	イブ
ইভ	イヴ
অনির্দিষ্ট	無期限
অনির্দিষ্ট	any
জেসি	ジェシー
লুডভিগ	ルートヴィヒ
সহকর্মীদের	同僚
টিমোথি	ティモシー
জোসে	ホセ
দুল	ペンダント
আশি	eighty
কর্নেলিয়াস	コルネリウス
কর্নেলিয়াস	コーネリアス
দায়িত্বের	責任
দায়িত্বের	責務
জারা	ザラ
ইতালিয়	イタリアン
হাওয়াইয়ান	ハワイアン
যোদ্ধারা	ファイターズ
রেন	レン
রেন	ren
বোনা	ニット
বোনা	編み物
বোনা	ニット
বোনা	編み物
পিচ	ピッチ
কপাল	おでこ
কেও	also
কেও	また
কেও	too
ব্যাগ	バッグ
ব্যাগ	かばん
ব্যাগ	バッグ
মরে	die
মরে	死ぬ
মুরগি	鶏肉
মুরগি	ニワトリ
মুরগি	チキン
জরীপ	調査
জরীপ	アンケート
পরিসমাপ্তি	エンディング
সুপারনোভা	超新星
রোমা	ロマ
রোমা	ローマ
ছড়ানো	広がる
ছড়ানো	ストレッチ
অ্যালিস	アリス
চিনা	中国語
চিনা	中国人
কাশ্মীরে	カシミール
যন্ত্রণা	痛み
যন্ত্রণা	疼痛
যন্ত্রণা	ペイン
এন্টি	アンチ
সিরামিক	セラミック
হন্ডুরাস	ホンジュラス
স্লোভাক	スロバキア
ভূতের	ホラー
যাচাইকরণ	検証
যাচাইকরণ	認証
সোফি	ソフィー
প্রিমেরা	プリメーラ
নিম	ニム
শকুন	ハゲワシ
কীটপতঙ্গ	ペスト
কাক	カラス
কাক	クロウ
ধর্মযাজক	牧師
যক্ষ্মা	結核
অ্যানালগ	アナログ
অ্যানালগ	アナログ
অয়েল	石油
অয়েল	オイル
কলিন্স	コリンズ
কারিনা	カリーナ
ফ্রেজার	フレーザー
খুলি	髑髏
খুলি	頭蓋骨
বর্ণালী	スペクトル
পাঙ্ক	パンク
ক্রোধ	怒り
বেল্ট	ベルト
চুম্বক	磁石
চুম্বক	マグネット
চুম্বক	磁石
রুজভেল্ট	ルーズベルト
আসবাবপত্র	家具
ফেরেশতা	エンジェルス
ফেরেশতা	天使
ডার	デア
আকাঙ্ক্ষা	あこがれ
সেশন	季節
সেশন	シーズン
সেশন	セッション
সেশন	セッションズ
সেশন	セッション
শখ	趣味
শখ	趣味
তাইপে	台北市
তাইপে	台北
প্রতিবেদক	リポーター
প্রতিবেদক	レポーター
পুণ্য	敬虔
ইনলাইন	インライン
প্রলেপ	コーティング
শা	シャア
গার্সিয়া	ガルシア
গার্সিয়া	ガルシア
ক্রেতাদের	バイヤー
কারাগারের	刑務所
কারাগারের	監獄
হ্যালো	こんにちは
হ্যালো	ハロー
অভূতপূর্ব	前例
হাইতি	ハイチ
অ্যান্টি	アンチ
ফার্নান্দো	フェルナンド
লিবার্টি	リバティ
লিবার্টি	自由
নিশান	フラグ
নিশান	国旗
ঐকমত্য	合意
ক্লোরিন	塩素
আসিয়ান	asean
হং	ホン
হীরক	ダイヤモンド
হীরক	ダイアモンド
রম	rom
হার্ডি	ハーディ
পুনর্বাসন	リハビリテーション
পুনর্বাসন	更生
পুনর্বাসন	再生
পুনর্বাসন	リハビリ
নীরব	サイレント
নীরব	無音
নীরব	ミュート
ট্রাঙ্ক	トランク
প্যারেড	パレード
গার্হস্থ্য	国内
কর্মশালা	ワークショップ
কর্মশালা	ワークショップ
কর্মশালা	作業場
ফ্রিকোয়েন্সি	周波数
ফ্রিকোয়েন্সি	頻度
স্ট্যাম্প	切手
স্ট্যাম্প	スタンプ
ডার্বি	ダービー
জাম্বিয়া	ガンビア
জাম্বিয়া	ザンビア
চৌ	チェ
বেলে	ベル
মন্টি	モンテ
মন্টি	モンティ
ফেজ	フェーズ
ফেজ	位相
আর্মস্ট্রং	アームストロング
অট্টালিকা	マンション
সিড	シド
সিড	sid
পাপড়ি	花びら
পাপড়ি	花弁
পাপড়ি	花びら
তেও	テオ
লয়	フィナーレ
শ্বসন	吸入
প্রত্ন	プロト
সালিম	サリム
হ্যান্ডবল	ハンドボール
হজম	消化
হজম	消化器
হজম	ダイジェスト
নারীবাদ	フェミニズム
বিঘ্ন	割り込み
হরতাল	ストライキ
হরতাল	ストライク
হ্যামিলটন	ハミルトン
ব্যঙ্গ	皮肉
জেনি	ジェニー
শিকারি	狩人
শিকারি	ハンター
লোপ	損失
লোপ	喪失
ঝগড়া	乱闘
ঝগড়া	けんか
ঝগড়া	ファイト
রুমি	瑠美
রুমি	るみ
মেধার	メリット
প্রত্যাহারের	脱退
প্রত্যাহারের	離脱
প্রত্যাহারের	撤退
মিনা	mina
মিনা	ミナ
মিনা	ミナト
মার্কোস	マルコス
পর্যবেক্ষন	傍聴
পর্যবেক্ষন	観察
পর্যবেক্ষন	観測
সালভাদোর	サルバドール
ন্যাটো	nato
ফিল্ডার	野手
কমিক্স	漫画
কমিক্স	コミック
লিন্ডসে	リンゼイ
লিন্ডসে	リンジー
লিন্ডসে	リンジー
শর্তাবলী	規約
শর্তাবলী	用語
কবুতর	ピジョン
কবুতর	ハト
তাজা	フレッシュ
কিলো	キロ
ইউরিয়া	尿素
ঝি	めい
ভক্তরা	ファン
মাছি	fly
মাছি	ハエ
মাছি	フライ
মাছি	飛ぶ
স্ট্রিপ	ストリップ
পেরি	ペリー
চাকার	ウィーラー
ফারাহ	ファラー
ভিজে	濡れ
শিমলা	シムラー
ম্যাকডোনাল্ড	マクドナルド
জাং	ユング
জুতো	履物
অচেনা	よそ者
পেন্সিল	鉛筆
পেন্সিল	ペンシル
পেন্সিল	鉛筆
আন্তঃ	inter
চ্যাট	チャット
চ্যাট	雑談
গার্ডিয়ান	ガーディアン
গার্ডিয়ান	後見人
গার্ডিয়ান	後見人
ব্যানার	バナー
ব্যানার	横断幕
এমএসসি	msc
ওয়্যারলেস	ワイヤレス
চোয়াল	あご
নির্বাণ	涅槃
নির্বাণ	ニルヴァーナ
স্টোকস	ストークス
আসামী	受刑者
অ্যাঙ্গোলার	アンゴラ
সার্জারি	手術
কার্টিস	カーティス
ডিএসসি	dsc
প্রেমিকা	ガールフレンド
প্রেমিকা	恋人
ফাইটার	ファイター
গুজ	ガチョウ
রেডিয়াম	ラジウム
রসুন	にんにく
রসুন	ニンニク
রসুন	ガーリック
বেলিজ	ベリーズ
ক্যালকুলেটর	電卓
ক্যালকুলেটর	計算機
ক্যালকুলেটর	計算
গ্রিড	グリッド
ডিরেক্টরি	ディレクトリ
সহস্রাব্দ	ミレニアム
ব্যবসায়ীরা	商人
ওসাকা	大阪
ইথানল	エタノール
অবয়ব	出演
অবয়ব	外観
কামড়ে	噛む
উল্কা	流星群
উল্কা	メテオ
লিংকন	リンカーン
পট	ポット
ভয়েজার	ボイジャー
গেলো	いつ
গেলো	とき
কিউবান	キューバ
সিঙ্গেল	シングル
সিঙ্গেল	独身
গুস্তাভ	グスタフ
ভাঙ্গার	速報
ডজন	ダース
মিথানল	メタノール
দেশগুলি	国々
ব্রুক	ブルック
বাসে	バス
অস্ট্রিয়ান	オーストリア
ইউরেনাস	天王星
জুডোকা	柔道
চিন্তিত	心配
বাজি	賭ける
বাজি	ベット
বাজি	賭け
প্রতিকার	救済
এয়ারক্রাফট	航空機
এয়ারক্রাফট	飛行機
সিম্পসন	シンプソン
হোল্ডিং	持株
বুদ্ধির	知能
শর্টস	ショーツ
কম্পক	バイブレータ
রেনে	レネー
রেনে	ルネ
স্টুডেন্ট	生徒
স্টুডেন্ট	学生
কার্বি	カービー
যুদ্ধক্ষেত্র	戦場
যুদ্ধক্ষেত্র	弾頭
যথেষ্ঠ	スー
বিচ্ছুরণ	振動
ইচ্ছাকৃতভাবে	わざと
ইচ্ছাকৃতভাবে	故意
তৃষ্ণা	渇き
জোশ	ジョシュ
মানবতাবাদ	ヒューマニズム
ভগ্নাংশ	方向
ভগ্নাংশ	フロート
ভগ্নাংশ	float
ভগ্নাংশ	分数
সেক্রেটারী	秘書
আদা	ショウガ
আদা	ジンジャー
আদা	生姜
হিউ	色相
হিউ	フエ
হিউ	ヒュー
লাও	レイアウト
তুষারপাত	スノー
তুষারপাত	snow
আতঙ্ক	パニック
মোরগ	コック
ইলা	イラ
ওয়েলশ	ウェルシュ
বালু	砂塵
নৈপুণ্য	工芸
নৈপুণ্য	クラフト
মাইলস	マイル
জীবনকাল	生涯
জীবনকাল	通算
ক্রমিক	シリアル
কার্পেট	カーペット
কার্পেট	じゅうたん
কার্পেট	絨毯
সার্কুলার	円形
আরউইন	アーウィン
বাংলো	バンガロー
রেস্তোরাঁ	レストラン
রেস্তোরাঁ	レストラン
রেস্তোরাঁ	飲食店
ইউনূস	ユーヌス
দেউলিয়া	破産
দেউলিয়া	破産
দেউলিয়া	倒産
অচল	壊れた
জুলি	ジュリー
ঘাড়ে	ネック
টোগো	トーゴ
দাঁড়ানো	スタンディング
ব্যাজ	バッジ
ব্যাজ	バナー
ব্যাজ	バッジ
রুনি	ルーニー
থেরাপি	治療
থেরাপি	セラピー
সৌন্দর্য্য	美容
আইটেম	アイテム
আইটেম	品物
আইটেম	アイテム
আইটেম	品物
পাইপ	パイプ
পিক	ピックアップ
পিক	山頂
পিক	ピーク
পিক	ピック
ক্ষমতাশালী	パワフル
পরিমার্জন	改正
পরিমার্জন	改定
থর	トール
বানৌজা	bns
ব্রাঞ্চ	ブランチ
নই	ノベルティ
উইলার্ড	ウィラード
বোতল	ボトル
বোতল	ボトル
বিষয়গুলি	トピック
বিষয়গুলি	問題
ডুব	潜る
ডুব	ダイビング
ডেনভার	デンバー
হ্যাক	ハッキング
কেইন	ケーン
বেলজিয়ান	ベルギー
কার্ডিফ	カーディフ
বিএসএফ	bsf
প্রুশিয়া	プロイセン
স্ক্যান	スキャナ
স্ক্যান	スキャン
ফেসবুকের	facebook
মির	ミール
ব্লেড	刃物
ব্লেড	ブレイド
মতাদর্শের	イデオロギー
ম্যাগনেসিয়াম	タングステン
ম্যাগনেসিয়াম	マグネシウム
কসাই	肉屋
কসাই	ブッチャー
বেতনের	給料
বেতনের	俸給
বেতনের	給与
নাইজার	ニジェール
নেভিগেশন	航法
নেভিগেশন	ナビゲーション
স্পন্সর	スポンサー
নিযুক্তি	婚約
সকালের	モーニング
লাজুক	人見知り
লাজুক	シャイ
হিথ	ヒース
খালা	おばさん
খালা	叔母
খালা	おば
গুয়াতেমালার	グアテマラ
জাগরণের	覚醒
কর্মচারীরা	社員
ওয়ার্কশপ	ワークショップ
ওয়ার্কশপ	作業場
লাক্স	ルクス
হপ	ホップ
সর্পিল	スパイラル
সর্পিল	渦巻
সুসান	スーザン
স্টার্স	stars
স্টার্স	スターズ
হ্যামলেট	ハムレット
তাকিয়ে	凝視
বিলম্বিত	後回し
স্কোয়াশ	スカッシュ
অহংকার	プライド
অহংকার	傲慢
অহংকার	誇り
অহংকার	傲慢
স্যামি	サミー
বাট	バーツ
কাই	chi
কাই	kai
কাই	カイ
সক্রেটিস	ソクラテス
কোলন	コロン
ট্রেক	トレック
ট্রেক	トレッキング
আইসিসির	icc
ইম্ফল	インパール
নেশন	ネーション
নেশন	国民
বর্ষণ	シャワー
বর্ষণ	にわか
বর্ষণ	シャワー
মুন্ডা	ムンダ
চরমপন্থী	過激派
জাগরণ	覚醒
গনোম	ノーム
গনোম	gnome
সমষ্টিগত	集計
সমষ্টিগত	集約
তেরা	テラ
উইন্ডো	windows
উইন্ডো	ウィンドウ
ফ্রন্টিয়ার	フロンティア
মেনন	メノン
রুমে	部屋
রুমে	ルーム
নিও	ネオ
লিচু	レイシ
দুষ্ট	いたずら
কাঠঠোকরা	キツツキ
দুগ্ধ	酪農
বংশধরদের	子孫
বংশধরদের	後裔
বংশধরদের	末裔
অস্ত্রোপচার	手術
মর্টার	モルタル
মর্টার	迫撃砲
চাদ	チャド
গ্রানাডা	グレナダ
গ্রানাডা	グラナダ
তিক্ত	苦い
তিক্ত	ビター
ডায়েরি	日記
সোনি	ソニー
পিক্সেল	ピクセル
পিক্সেল	ピクセル
সুপ্ত	休眠
গর্ভধারণ	妊娠
হোল্ডার	ホルダー
কক্স	コックス
কার্ট	カート
কার্ট	荷車
বাচ্চারা	子供
বাচ্চারা	キッズ
পপি	ポピー
সঙ্কট	危機
ফুজি	ふじ
ফুজি	フジ
ললিতা	ロリータ
প্রফেশনাল	プロフェッショナル
সেমিস্টার	学期
ব্যক্তিগণ	ピープル
লুথার	ルター
ইটালি	イタリア
ডালাস	ダラス
বালা	バングル
কথাগুলো	言葉
কথাগুলো	単語
নোড	ノード
নোড	ノード
ক্লোরোফিল	クロロフィル
শেরিফ	シェリフ
ট্রান্সমিশন	伝送
গুঁড়ো	粉末
গুঁড়ো	パウダー
মোহর	アザラシ
মোহর	封印
মোহর	印章
মোহর	シール
মোহর	押印
ভালবেসে	愛する
ভালবেসে	あつい
স্টেজ	舞台
স্টেজ	ステージ
এডউইন	エドウィン
বেনেট	ベネット
এসিএম	acm
লরা	ローラ
উত্থিত	上昇
সঙ্কেত	シグナル
সঙ্কেত	合図
সঙ্কেত	信号
মালাক্কা	マラッカ
পরিত্যাক্ত	放棄された
বীর্যপাত	射精
সিলিন্ডার	円柱
সিলিন্ডার	シリンダー
সিলিন্ডার	シリンダー
অ্যাপলিকেশন	アプリケーション
অ্যাপলিকেশন	出願
অ্যাপলিকেশন	アプリケーション
আর্কিমিডিস	アルキメデス
নোংরা	汚い
নোংরা	ダーティ
নোংরা	ダーティー
গহনা	ジュエリー
গহনা	宝石
রুয়ান্ডা	ルワンダ
সলিড	固体
আখ্যান	ストーリー
আখ্যান	物語
ফ্রাঙ্কো	フランコ
টিকটিকি	トカゲ
টিকটিকি	トカゲ
টিকটিকি	ヤモリ
অবৈতনিক	未払い
অনুপস্থিতি	欠席
পৌঁছান	リーチ
হজ	巡礼
ঘুমন্ত	眠い
দ্বিধা	ためらう
প্রতিচ্ছবি	反射
প্রতিচ্ছবি	リフレクション
মাতৃভূমি	母国
মাতৃভূমি	祖国
মাতৃভূমি	家路
ক্যারোলিন	キャロライン
সজ্জা	sort
সজ্জা	ソート
সজ্জা	服装
হিংসা	嫉妬
হিংসা	羨望
হিংসা	暴力
হিংসা	嫉妬
বাসের	バス
এইড	扶助
এইড	援助
এইড	aed
চেরি	サクランボ
চেরি	チェリー
চেরি	サクランボ
চেরি	さくらんぼ
মলি	モリー
উটের	キャメル
উটের	ラクダ
অ্যাঙ্গোলা	アンゴラ
সমর্থকরা	サポーター
ডেভিল	悪魔
খাঁজ	slot
খাঁজ	スロット
খাঁজ	グルーヴ
গথিক	ゴシック
হতাশা	失望
হতাশা	がっかり
বেটি	ベティ
অতিপ্রাকৃত	超自然
