armies	armeed
segments	segmentide
deer	hirv
deer	hirve
wireless	traadita
mysterious	saladuslik
mysterious	müstiline
mysterious	salapärane
consultant	konsultant
fraser	fraser
formats	vormid
jam	moos
jam	moosi
chicken	kana
enable	lubamine
idol	iidol
reid	reid
births	sündide
amazing	imeline
amazing	hämmastav
pet	pet
pet	lemmikloom
upset	ärritunud
loves	armastab
stretch	venitada
stretch	venib
striking	silmatorkav
accidentally	kogemata
louisville	louisville
hopkins	hopkins
goddess	jumalanna
satisfy	rahuldada
voltage	pinge
betty	betty
marion	marion
geology	geoloogia
consistently	järjekindlalt
consistently	järjepidevalt
cyclone	tsüklon
export	eksport
export	ekspordi
lightning	välk
impressed	vaimustuses
impressed	rabatud
maintains	säilitab
logical	loogiline
aggressive	agressiivsed
aggressive	agressiivne
jin	jin
julie	julie
fbi	fbi
yankees	yankees
ludwig	ludwig
pond	tiigi
pond	tiik
pond	tiiki
suburban	äärelinna
enlisted	värvati
enlisted	värvatud
moments	hetki
moments	hetked
interim	vahepealne
lucky	vedas
lucky	lucky
lucky	õnneseen
lucky	õnnelik
lucky	veab
lon	lon
toy	mänguasi
bicycle	jalgratas
purely	puhtalt
fraud	pettused
fraud	pettus
fraud	pettuse
fraud	petis
lang	lang
lecture	loeng
sanctuary	varjupaik
copa	copa
nurse	medõde
nurse	õde
rivals	rivaalid
module	moodul
supplement	täiendus
lens	objektiivi
lens	läätsed
patron	patroon
commands	käsud
trend	trend
trend	suundumus
superintendent	komissar
gerald	gerald
rap	räpp
geneva	genfi
geneva	genfis
ash	ash
ash	tuhk
blade	blade
blade	tera
disappeared	kadusid
disappeared	kadus
array	massiivi
predominantly	valdavalt
committees	komiteed
committees	komiteede
committees	komisjonid
loose	lahtine
loose	lahtised
loose	lahti
boom	boom
boom	poom
sailors	meremehed
beaten	löödud
beaten	peksti
smoke	suitsu
smoke	suits
assassination	mõrvamine
lancaster	lancaster
reynolds	reynolds
divorce	lahutus
dust	tolmu
dust	tolm
saxon	saksi
separately	eraldi
translations	tõlked
zimbabwe	zimbabwe
cohen	cohen
puts	paneb
diving	sukeldumine
accounting	arvepidamine
accounting	raamatupidamine
accounting	arvestus
prussia	preisimaa
intelligent	intelligentne
intelligent	intelligentsed
cherry	kirss
cherry	kirsi
cherry	cherry
tobacco	tubakas
cleaned	puhastatud
varieties	sortide
varieties	sordid
bench	pink
bench	pingi
directions	suunad
directions	juhised
ellen	ellen
measurement	mõõtmine
paradise	paradiisi
paradise	paradiis
alexandria	alexandria
complement	täiendus
witch	nõid
attraction	külgetõmme
diana	diana
colleagues	kolleegid
busy	hõivatud
cia	cia
rankings	edetabel
aboriginal	aborigeenide
commanders	komandörid
salem	salemi
wagner	wagner
firms	firmad
sanctions	karistused
sanctions	sanktsioonid
americas	ameerika
endings	lõpud
instructor	instruktor
instructor	juhendaja
nobility	aadel
divorced	lahutatud
varies	varieerub
tomorrow	homme
unified	ühtne
scouts	luurajad
investigations	uurimised
investigations	uuringud
silva	silva
derek	derek
agenda	agenda
agenda	päevakord
provision	säte
humanity	inimlikkus
humanity	inimkonna
humanity	inimkond
admit	tunnista
terror	terrori
contestants	võistlejad
trinidad	trinidadi
distant	kauge
burke	burke
circles	ringid
assignment	loovutamine
releasing	vabastamine
releasing	vabastades
shrine	pühamu
sail	purjetada
sail	purjed
willie	willie
karnataka	karnataka
celebrate	tähistada
celebrate	tähistame
celebrate	tähista
celebrate	tähistama
vampire	vampiir
playwright	näitekirjanik
sick	haiged
sick	haige
sick	haigeks
associates	partnerid
heinrich	heinrich
ethiopia	etioopia
flags	lipud
tel	tel
drove	sõitsin
drove	sõitis
drives	sõidab
autobiography	autobiograafia
recruited	värvati
recruited	värvatud
uprising	ülestõus
edwin	edwin
velocity	kiirus
terminology	terminoloogia
coordinates	koordinaadid
brighton	brighton
viola	viola
para	para
morrison	morrison
boxer	poksija
finale	finaal
shoulder	õla
shoulder	õlg
shoulder	õlga
disabled	keelatud
disabled	puudega
tactics	taktika
ernst	ernst
innocent	süütud
innocent	süütu
rapper	räppar
privacy	privaatsuse
privacy	privaatsus
privacy	privaatsust
boeing	boeing
cites	citesi
bunch	kamp
bunch	punt
emmy	emmy
indo	indo
rosa	rosa
thermal	termilise
marines	merejalaväelased
feminist	feministlik
sculptures	skulptuurid
nationally	riiklikult
bacteria	bakterid
disorders	häired
rivalry	rivaalitsemine
prevention	ennetamine
prevention	profülaktika
prevention	ennetamise
prevention	vältimine
healthy	terved
healthy	tervena
healthy	tervislik
circus	tsirkus
speculation	spekulatsiooni
burma	birma
sec	sec
sec	sek
quiet	vaikne
knee	põlv
knee	põlve
hypothesis	hüpotees
referendum	referendum
referendum	referendumi
travelling	reisimine
estonian	eesti
pastor	pastor
sofia	sofia
tribune	tribune
lasting	kestev
permit	luba
priority	prioriteet
pounds	naelad
pounds	naela
cent	sent
consequence	tagajärjeks
consequence	tagajärg
rica	rica
furniture	mööbel
macdonald	macdonald
honest	aus
honest	ausad
innovative	uuenduslikud
innovative	uuenduslike
innovative	innovatiivne
innovative	uuenduslik
estimate	hinnang
atp	atp
rotation	rotatsiooni
rotation	pööramine
syracuse	syracuse
lecturer	lektor
lecturer	õppejõud
automated	automatiseeritud
kosovo	kosovo
classics	klassika
julius	julius
appreciated	hinnatud
naples	napoli
sebastian	sebastian
activated	aktiveeritud
barnes	barnes
acknowledged	tunnustatud
acknowledged	tunnistas
exceptions	erandid
martha	martha
drawings	joonised
drawings	joonistused
barely	vaevalt
barely	vaevu
refuge	varjupaik
refuge	pelgupaik
maharashtra	maharashtra
conventions	konventsioonid
elliott	elliott
diplomat	diplomaat
searches	otsingud
brigadier	brigaadikindral
particle	osakeste
particle	osakesed
particle	osake
malayalam	malajalami
thursday	neljapäev
icon	ikoon
icon	ikooni
genes	geenid
infinite	lõpmatu
infinite	lõputu
considerably	märkimisväärselt
considerably	märgatavalt
portraits	portreed
paste	pasta
paste	asetamine
paste	aseta
randy	randy
saxony	saksi
convoy	konvoi
annie	annie
excessive	ülemäärane
excessive	liigne
excessive	ülemäärase
believing	uskudes
believing	uskumine
rhine	rein
rhine	reini
mineral	mineraal
surgeon	kirurg
charleston	charlestoni
clause	klausel
infection	infektsioon
infection	nakkus
electron	elektron
walt	walt
cnn	cnn
confederation	konföderatsioon
confederation	konföderatsiooni
accommodate	mahutada
casino	kasiino
doctorate	doktorikraadi
aux	aux
guatemala	guatemala
settings	seadistused
mask	mask
shelter	varjupaik
shelter	peavarju
dorothy	dorothy
hopefully	loodetavasti
elimination	eritumine
elimination	kõrvaldamine
heath	heath
pregnant	rase
richards	richards
theodore	theodore
delegates	delegaadid
blair	blair
blair	blairi
fac	fac
phrases	väljendid
phrases	laused
phrases	fraase
preference	eelistus
concerto	concerto
bits	bitti
tune	viisi
lighthouse	tuletorn
lighthouse	majaka
lighthouse	majakas
stan	stan
highland	highland
mascot	maskott
acceptance	heakskiitmine
acceptance	vastuvõtmine
tight	tihe
tight	kitsas
tight	tihedalt
hub	hub
mess	segadus
routine	rutiin
dozens	kümneid
dozens	kümned
dozens	tosinaid
spotted	märgatud
spotted	nähtud
harmony	harmoonia
entrepreneur	ettevõtja
apollo	apollo
runway	raja
naked	paljas
naked	paljalt
naked	alasti
anton	anton
moses	mooses
moses	moses
legally	juriidiliselt
legally	legaalselt
legally	seaduslikult
legally	õiguslikult
fake	võlts
revolt	ülestõus
equity	omakapital
equity	omakapitali
providence	providence
investors	investorid
reliability	usaldusväärsus
reliability	usaldusväärsuse
tenor	tenor
fights	võitlused
fights	võitleb
pocket	tasku
sad	kurb
troy	trooja
troy	troy
treasure	aare
treasure	varandus
roberto	roberto
adoption	vastuvõtmine
decrease	vähenemine
decrease	vähenda
reserved	reserveeritud
forgotten	unustatud
lok	lok
crop	kärpimine
collecting	kogumine
treasury	riigikassa
trumpet	trompet
johnston	johnston
uncertain	ebakindlad
uncertain	ebakindel
norton	norton
collector	koguja
cluster	klaster
dear	kallid
dear	kallis
georges	georges
roller	roller
roller	rull
clothes	riideid
clothes	riided
enhanced	tõhustatud
compensation	hüvitis
compensation	hüvitamine
consent	nõusolek
outline	kontuur
jorge	jorge
darkness	pimedus
penalties	karistused
penalties	sanktsioonid
bombers	pommitajad
holes	augud
blow	puhu
blow	löök
cooking	süüa
trainer	treener
trainer	treeneri
trainer	koolitaja
measuring	mõõtmine
measuring	mõõte
chip	chip
chip	kiip
consciousness	teadvuse
consciousness	teadvus
archaeology	arheoloogia
latvia	läti
blogs	blogid
protecting	kaitsmine
hardy	hardy
stamp	pitser
stamp	tempel
fur	karvad
fur	karusnaha
fur	karv
estimates	hinnangud
lit	valgustatud
ritual	rituaal
ritual	rituaali
trace	jälg
marble	marmor
foundations	sihtasutuste
politically	poliitiliselt
nottingham	nottinghami
boxers	poksijad
dimension	mõõtmed
dimension	mõõde
crawford	crawford
bats	nahkhiired
yugoslav	jugoslaavia
tanzania	tansaania
motto	moto
streak	vööt
concentrated	koondunud
concentrated	kontsentreeritud
dirty	räpased
dirty	määrdunud
dirty	räpane
hayes	hayes
xbox	xbox
identifying	tuvastamine
likes	meeldib
forbes	forbes
adequate	piisav
adequate	piisavad
adequate	adekvaatne
bach	bach
alias	varjunimi
alias	alias
tough	kõva
tough	sitke
tough	karm
trails	rajad
demanded	nõudis
claire	claire
mistakes	vigu
mistakes	vead
bruno	bruno
dylan	dylan
bag	kott
bag	koti
throwing	viskamine
churchill	churchill
tan	tan
climb	roni
climb	ronida
witnesses	tunnistajad
thames	thamesi
kazakhstan	kasahstan
highlights	rõhutab
jumping	hüppavad
jumping	hüppamine
prof	prof
slovak	slovaki
slovak	slovakkia
skull	kolju
skull	pealuu
hoped	lootis
myth	müüdi
myth	müüt
mandatory	kohustuslikud
mandatory	kohustuslik
stern	stern
bet	panus
bet	kihla
bet	kihlvedu
monks	mungad
dancers	tantsijad
quantity	kogus
inventor	leiutaja
proximity	lähedus
seemingly	näiliselt
sue	sue
armament	relvastuse
barrier	tõke
creatures	olendid
creatures	olevused
creatures	elukad
logan	logan
leicester	leicester
silence	vaikimine
silence	vaikus
jessica	jessica
plateau	platoo
precedent	pretsedendi
precedent	pretsedent
walsh	walsh
zones	tsoonid
zones	tsoonide
intensity	osatähtsus
intensity	intensiivsus
intensity	valgustugevus
exterior	välised
murders	mõrvad
paragraphs	lõigud
paragraphs	lõiked
costume	kostüüm
bike	ratas
bike	jalgratas
bike	ratta
imprisonment	vangistus
suffolk	suffolk
forwards	edasi
remarkable	märkimisväärne
remarkable	tähelepanuväärne
tin	tin
tin	tina
garcia	garcia
madagascar	madagaskari
cameras	kaamerad
ammunition	laskemoon
ammunition	laskemoona
fires	tulekahjud
viewing	vaatamine
explore	avastama
builder	ehitaja
minneapolis	minneapolise
bullet	kuuli
bullet	kuul
kerry	kerry
subway	metroo
arrow	nool
economist	majandusteadlane
bread	leib
bread	leiba
lou	lou
strategies	strateegiad
rubber	kumm
rubber	kummist
rubber	kummi
rifles	vintpüssid
rifles	püssid
cognitive	kognitiivne
governorate	kubernerkond
nest	pesa
slam	slam
portsmouth	portsmouth
convince	veenda
convince	veena
bonds	võlakirjad
bonds	võlakirjade
joshua	joshua
inhabited	asustatud
casey	casey
attract	meelitada
kilometres	kilomeetreid
kilometres	kilomeetrit
pump	pumba
pump	pump
pump	pumpa
feeding	toitmine
feeding	toitmise
ain	ain
mathematician	matemaatik
diary	päevik
vulnerable	haavatav
vulnerable	haavatavad
dubai	dubai
michelle	michelle
lebanese	liibanoni
lebanese	liibanon
productive	produktiivne
happening	juhtub
researcher	uurija
della	della
baden	baden
upgraded	täiendatud
demonstration	tõendamine
demonstration	demonstratsioon
equality	võrdõiguslikkus
equality	võrdsus
philosophers	filosoofid
trap	lõksu
trap	lõks
clara	clara
invitation	kutse
marking	märgistus
marking	tähistamine
marking	tähistus
marking	märgistamine
sacramento	sacramento
certification	sertifitseerimine
precisely	täpselt
submarines	allveelaevad
prohibited	keelatud
supposedly	väidetavalt
supposedly	oletatavasti
governance	valitsemine
governance	juhtimine
frog	konna
frog	konn
vague	ähmane
mhz	mhz
secular	ilmaliku
tracking	jälgimine
spa	spa
publicity	avalikustamine
publicity	reklaam
cleared	puhastatud
gibraltar	gibraltar
gibraltar	gibraltari
renewed	uuenenud
renewed	uuendatud
reflects	peegeldab
reflects	kajastab
fever	palavik
melody	meloodia
melody	melody
supporter	toetaja
jeffrey	jeffrey
discusses	arutab
discusses	arutatakse
surnames	perekonnanimed
useless	kasutu
useless	kasutud
swift	swifti
swift	swift
tuesday	teisipäev
silly	rumal
empress	keisrinna
capabilities	võimekus
scales	kaalud
beatles	beatles
clergy	vaimulikud
jacksonville	jacksonville
sara	sara
lifestyle	elustiil
bee	mesilane
bee	bee
holders	omanikud
baltic	baltic
baltic	balti
baltic	läänemere
czechoslovakia	tšehhoslovakkia
brandon	brandon
loaded	laaditud
loaded	laetud
maya	maya
enterprises	ettevõtted
imo	imo
mature	küps
physically	füüsiliselt
breast	rind
breast	rinnanäärme
breast	rinnaga
beast	elukas
beast	koletis
raja	raja
für	für
bang	pauk
bang	paugu
griffin	griffin
rhodes	rhodes
preparing	ettevalmistamine
proportion	osakaal
ana	ana
rainbow	vikerkaar
demon	deemon
prussian	preisi
equations	võrrandid
answered	vastasid
answered	vastatud
perception	ettekujutus
perception	taju
distributor	levitaja
entities	üksused
jackie	jackie
dynamics	dünaamika
fiji	fidži
insufficient	ebapiisavad
insufficient	ebapiisav
algebra	algebra
homer	homer
larvae	vastsete
limestone	lubjakivi
johns	johns
chaos	kaos
chang	chang
layers	kihid
crater	kraater
chad	tšaadi
chad	chad
seized	konfiskeeritud
webster	webster
excess	ülemäärane
bombardment	pommitamist
hurling	hurling
ashley	ashley
dot	täpp
dot	dot
dot	täppi
translator	tõlk
translator	tõlkija
counted	loetud
hanging	ripuvad
hanging	ripub
soprano	soprano
interviewed	intervjueeris
workshops	seminaride
workshops	seminarid
terrain	maastik
belarus	valgevene
liked	meeldis
console	konsool
console	konsooli
jungle	džungel
placement	asetus
placement	paigutamine
placement	paigutus
fairy	haldjas
tourists	turistid
reasonably	mõistlikult
reasonably	põhjendatult
performs	täidab
quarterly	kvartalis
quarterly	kvartal
quarterly	kvartali
romans	roomlased
rpm	rpm
diploma	diplom
environments	keskkondade
swan	luik
swan	luige
carpenter	puusepp
petition	petitsiooni
boris	boris
boris	boriss
berry	marja
berry	berry
invention	leiutis
southampton	southamptoni
prairie	preeria
bend	painutada
app	app
app	rakendus
finalist	finalist
draws	tõmbab
maxwell	maxwell
planes	lennukid
oriental	idamaine
manufacture	valmistamine
manufacture	tootmine
coordinator	koordinaator
bombs	pommid
mohammad	mohammad
superman	superman
colombian	kolumbia
colombian	colombia
philippe	philippe
felix	felix
greene	greene
voluntary	vabatahtlik
floating	ujuvad
montenegro	montenegro
sketch	visand
mann	mann
flooding	üleujutus
flooding	üleujutused
dressed	riides
dressed	riietatud
astronomy	astronoomia
sudden	äkiline
variables	muutujad
arbitrary	meelevaldne
skiing	suusatama
timothy	timothy
cello	tšello
rafael	rafael
sphere	sfääri
sphere	kera
georg	georg
cinematography	kinematograafia
canvas	lõuend
chest	rind
chest	rindkere
chest	kirst
krishna	krishna
provider	osutaja
provider	pakkuja
frances	frances
crowned	kroonitud
wanting	tahtmine
carved	nikerdatud
poles	poolakad
cabin	salongi
cabin	majake
cabin	kabiin
civilization	tsivilisatsioon
civilization	tsivilisatsiooni
avoided	vältinud
lisbon	lissaboni
lisbon	lissabonis
tongue	keele
eliminate	kõrvaldada
panels	paneelid
darwin	darwin
cheese	juustu
cheese	juust
easter	lihavõtte
rat	rat
rat	rott
papua	paapua
insert	lisamine
descriptions	kirjeldused
debates	arutelud
informal	mitteametlik
cry	nutta
cry	nutma
cry	nuta
loyal	ustav
loyal	lojaalsed
loyal	lojaalne
surfaces	pinnad
nicolas	nicolas
institutes	instituutide
humor	huumor
madonna	madonna
cooperative	ühistu
substantially	oluliselt
winston	winston
llc	llc
drake	drake
fountain	purskkaev
consulting	konsulteerimine
patricia	patricia
ers	ers
garcía	garcía
quit	välju
aberdeen	aberdeen
verb	tegusõna
illustrations	illustratsioonid
mechanisms	mehhanismid
reds	punased
posters	plakatid
leipzig	leipzigi
santo	santo
roland	roland
evident	ilmne
telecommunications	telekommunikatsioon
telecommunications	telekommunikatsiooni
nationals	kodanikud
unanimous	ühehäälse
unanimous	üksmeelne
unanimous	ühehäälne
sherman	sherman
stefan	stefan
sleeping	magamine
sleeping	magab
alto	alto
crucial	ülioluline
thomson	thomson
prehistoric	eelajalooline
communicate	suhtlemine
communicate	suhelda
communicate	suhtle
alphabet	tähestik
zagreb	zagreb
chef	peakokk
chef	kokk
tubes	torud
carnegie	carnegie
hostile	vaenulik
hostile	vaenulikud
prizes	auhinnad
eighteen	kaheksateist
shirt	särk
shirt	särgi
weird	veider
weird	imelik
loading	laadimine
edges	servad
plantation	istandus
vernon	vernon
acre	aaker
practiced	harjutanud
wonderful	imeline
missiles	raketid
guides	juhib
finger	näpp
finger	sõrm
finger	sõrme
garage	garaaž
garage	garaaži
savage	metslane
technological	tehnoloogiline
shoes	kingad
shoes	jalanõud
climbing	ronimine
climbing	ronib
barrel	tünn
assembled	monteeritud
ham	singi
ham	sink
ham	ham
geoffrey	geoffrey
valve	klapp
valve	ventiil
commenting	kommenteerimise
osaka	osaka
beck	beck
analog	analoog
monkey	ahv
monkey	pärdik
listening	kuulamist
listening	kuulamise
listening	kuulamine
integrity	terviklikkus
integrity	ausus
integrity	terviklikkuse
definitions	määratlused
definitions	mõisted
critically	kriitiliselt
operas	oopereid
baldwin	baldwin
objections	vastuväited
marina	marina
detection	avastamise
detection	tuvastamine
detection	avastamine
sixty	kuuskümmend
linguistic	keelelise
venus	veenus
salmon	lõhe
monarchy	monarhia
francesco	francesco
abortion	abort
monica	monica
elephant	elevant
polar	polar
trademark	kaubamärk
provisional	ajutine
corn	mais
trucks	veoautod
airborne	õhus
deutsche	deutsche
absorbed	imendunud
par	par
tension	pinge
tension	pingeid
tension	pinged
pablo	pablo
aviv	avivi
cleaning	puhastus
cleaning	puhastamine
cleaning	koristamine
physicist	füüsik
catalina	catalina
disasters	katastroofide
lesbian	lesbi
rays	kiired
withdrawal	tagasivõtmine
withdrawal	tühistamise
walks	kõnnib
trailer	haagis
trailer	haagise
janet	janet
tornado	tornaado
aunt	tädi
distribute	jaotada
genesis	genesis
shallow	madal
shallow	madalad
makers	tegijad
requesting	taotlev
floors	põrandad
scattered	laiali
scattered	hajutatud
consolidated	konsolideeritud
catholicism	katoliiklus
luther	luther
pleasure	rõõm
pleasure	nauding
constructive	asjalik
constructive	konstruktiivne
webb	webb
alberto	alberto
magical	maagiline
magical	maagilised
deliberately	tahtlikult
deliberately	meelega
olive	olive
corridor	koridor
compatible	ühilduvad
receptor	retseptorid
receptor	retseptori
molecules	molekulid
kiev	kiievi
vista	vista
castro	castro
wei	wei
pleasant	meeldiv
pleasant	meeldivaks
miscellaneous	mitmesugused
lineup	rivistus
ultra	ultra
bulletin	bülletään
clinic	kliinik
itunes	itunes
patriots	patrioodid
pollution	reostuse
pollution	reostus
pollution	saaste
treasurer	laekur
herman	herman
questionable	küsitav
sally	sally
rex	rex
mvp	mvp
stuck	kinni
openly	avatult
openly	avalikult
afghan	afganistani
afghan	afgaani
vatican	vatikani
vatican	vatikan
folklore	folkloor
cruiser	ristleja
princes	printsid
silk	siidi
silk	siid
silk	siidist
agreements	lepingud
agreements	kokkulepped
trilogy	triloogia
armour	turvis
eng	eng
stamps	margid
specimens	isendid
consumers	tarbijad
defines	määratleb
cage	puuri
cage	puur
ferguson	ferguson
correspondence	kirjavahetus
illustrates	illustreerib
tehran	teherani
amanda	amanda
pos	pos
employer	tööandja
browns	pruunid
static	staatiline
tibetan	tiibeti
nixon	nixon
sociology	sotsioloogia
recreational	meelelahutuslikud
capability	võimekus
addressing	käsitlemine
panthers	pantrid
objection	vastuväide
objection	protest
objection	vastuväited
systematic	süstemaatiline
violated	rikutud
chocolate	šokolaad
chocolate	šokolaadi
helsinki	helsingi
helsinki	helsinki
bedford	bedford
cambodia	kambodža
grandmother	vanaema
rounded	ümar
rounded	ümardatud
fitness	fitness
halls	koridorid
midlands	midlandsi
jung	jung
brilliant	geniaalne
brilliant	hiilgav
libya	liibüa
transported	veetud
transported	transporditud
angela	angela
creature	elukas
creature	olend
creature	olevus
gather	koguneda
volcanic	vulkaaniline
android	android
deposits	hoiused
mentor	mentor
freeman	freeman
apartments	korterid
apartments	kortereid
uci	uci
carey	carey
hiding	peidus
hiding	peitmine
sends	saadab
meyer	meyer
lima	lima
freeway	kiirtee
kirk	kirk
batteries	patareid
batteries	akud
chains	ahelad
chains	ketid
ucla	ucla
wong	wong
ear	kõrv
ear	kõrva
servants	teenistujate
servants	teenijad
servants	teenistujad
servants	teenrid
combine	kombineerimine
combine	kombineerida
decent	korralik
hawk	kull
hawk	hawk
contestant	võistleja
cumberland	cumberland
rational	ratsionaalne
altar	altari
organize	organiseerida
subjective	subjektiivne
determination	määramine
determination	kindlaksmääramine
chennai	chennai
dong	dong
threshold	künnis
threshold	lävi
threshold	künnist
myanmar	myanmari
proud	uhke
proud	uhked
custody	hooldusõiguse
surveillance	järelevalve
threatening	ähvardav
threatening	ähvardab
threatening	ähvardavad
discharge	heakskiidu
penny	penn
penny	penny
penny	sent
astronomical	astronoomiline
rector	rektor
petroleum	nafta
bug	putukas
chapman	chapman
mud	pori
mud	muda
decree	dekreet
regulatory	reguleeriv
honey	kallis
honey	honey
honey	mesi
diagram	joonis
diagram	diagramm
diagram	skeem
infringement	rikkumise
infringement	rikkumine
complexity	keerukus
complexity	keerukust
complexity	keerukuse
riley	riley
displacement	veeväljasurve
sponsor	sponsor
ira	ira
careers	karjäär
careers	karjääri
haiti	haiti
wisdom	tarkust
wisdom	tarkus
pierce	pierce
pierce	pearce
stupid	rumal
stupid	loll
alma	alma
alexandra	alexandra
continuously	pidevalt
shuttle	süstik
hampton	hampton
eva	eva
mickey	mickey
mickey	miki
yuan	yuan
lynch	lynch
johannes	johannes
trunk	pakiruumi
genuine	ehtne
adolf	adolf
sharon	sharon
acquire	omandada
hung	hung
corrected	parandatud
corrected	korrigeeritud
gardner	gardner
artifacts	esemeid
handful	käputäis
handful	peotäis
mandate	volitused
mandate	mandaat
mandate	volitus
locked	lukus
locked	lukustatud
mohammed	mohammed
dish	roog
terrible	kohutav
reagan	reagan
rebecca	rebecca
toledo	toledo
divide	jaga
recommendations	soovitused
ideology	ideoloogia
carriers	vedajad
constantinople	konstantinoopol
fatal	saatuslik
fatal	surmav
monsters	koletised
monsters	koletisi
notified	teavitatud
notified	teatatud
bulls	pullid
harassment	ahistamine
harassment	ahistamise
censorship	tsensuur
favorable	soodne
commercially	kaubanduslikult
inserted	sisestatud
luxury	luksus
ecology	ökoloogia
emirates	emirates
neutrality	neutraalsuse
neutrality	erapooletus
chronicles	kroonika
deployment	kasutuselevõtt
jenkins	jenkins
omaha	omaha
detected	tuvastati
detected	tuvastatud
detected	avastatud
detected	avastati
harsh	karm
bundesliga	bundesliga
facilitate	hõlbustada
facilitate	hõlbustab
hermann	hermann
morton	morton
roma	roma
accredited	akrediteeritud
echo	kaja
bangkok	bangkoki
bangkok	bangkokis
