metodele	méthodes
posturi	postes
posturi	poteaux
posturi	publications
confluența	confluence
confluența	confluent
rosa	rosa
neil	neil
orientale	orientale
orientale	orientales
orientale	oriental
orientale	orientaux
murray	murray
giorgio	giorgio
bloc	bloquer
bloc	block
bloc	bloc
bloc	blocage
extremă	extrême
extremă	extrêmes
extremă	extreme
sophie	sophie
fundamentală	fondamentale
fundamentală	fondamental
fundamentală	fondamentaux
democratice	démocratique
democratice	démocrate
democratice	démocratiques
verii	cousins
verii	cousines
aventură	aventures
aventură	aventure
ciot	souche
gri	gray
gri	gris
gri	grise
gri	gris
gri	grise
producători	producteurs
producători	constructeurs
producători	fabricants
editată	modifié
editată	édité
gratuit	gratuit
gratuit	gratuits
gratuit	free
gratuit	gratuitement
gratuit	libre
proiectele	projets
versailles	versailles
floarea	fleurs
floarea	fleur
terry	terry
nordice	nordiques
nordice	nordique
desemnează	désigne
desemnează	désigner
viziune	vision
partidele	parties
catalonia	catalogne
profesie	métier
profesie	profession
mayenne	mayenne
tablouri	peintures
tablouri	toiles
tablouri	tableaux
dean	doyen
dean	dean
dean	doyenne
zagreb	zagreb
exemplul	exemple
incintă	boîtier
incintă	enceinte
magnolia	magnolia
populații	populations
bere	bières
bere	biere
bere	bière
solicitat	demandée
solicitat	demandé
solicitat	sollicité
solicitat	demandés
mandatul	mandat
mandatul	mandat
cape	cape
cape	cap
expert	expert
zahăr	saccharose
zahăr	sucre
zahăr	sucres
wagner	wagner
călugăr	monk
călugăr	moine
scandal	scandales
scandal	scandale
digitală	numérique
digitală	numériques
digitală	digital
mențiune	terme
fals	faux
fals	fausse
fals	false
fals	fausses
fals	faux
fals	imposteur
fals	simuler
fals	fausse
fals	fake
ruta	itinéraire
ruta	route
ruta	trajet
ruta	parcours
clement	clément
clement	clément
clement	clement
liberi	gratuit
liberi	gratuits
liberi	free
liberi	gratuitement
liberi	libre
arhiducele	archiduc
amintirea	souvenir
amintirea	souvenirs
amintirea	mémoire
medicamente	drogues
medicamente	drogue
medicamente	médicaments
întrebat	demandé
stări	etats
stări	états
stări	ambiances
stări	humeurs
colaborator	collaborateur
colaborator	collaboratrice
colaborator	collaborateur
colaborator	contributeur
colaborator	contributeurs
auf	auf
opiniile	opinions
lunar	mensuel
lunar	mensuellement
lunar	mensuels
lunar	mensuelle
lunar	lunaire
celulele	cellules
percuție	percussions
percuție	percussion
short	courte
short	court
short	courts
short	courtes
depășește	dépasse
depășește	excède
baron	baron
suficientă	suffisantes
suficientă	suffisants
suficientă	suffisamment
suficientă	suffisant
suficientă	suffisante
atelier	atelier
atelier	ateliers
barry	barry
mercur	mercury
mercur	mercure
tun	cannon
tun	canon
tun	canons
tun	tun
păr	cheveu
păr	cheveux
păr	coiffure
cresc	grandir
cresc	croître
cresc	pousser
concluzie	conclusion
admis	admise
admis	avoué
admis	admis
admis	admises
astrofizică	astrophysique
egalitate	égalité
egalitate	egalité
domnit	régné
domnit	régnait
identificare	identification
astronomic	astronomiques
astronomic	astronomique
demonstrează	démontrer
ideal	idéale
ideal	ideal
ideal	idéal
ungureanu	ungureanu
găsită	trouvée
găsită	trouvé
găsită	trouvées
găsită	retrouvé
găsită	trouvés
haine	vêtements
haine	vêtement
structurii	structure
abdallah	abdallah
repetat	répétés
repetat	répétée
repetat	répété
repetat	répétées
tinere	jeunes
tinere	jeune
romaniansoccer	romaniansoccer
gros	épaisse
gros	épais
gros	épaisses
calendar	calendriers
calendar	agenda
calendar	calendrier
patrimoniu	héritage
patrimoniu	patrimoine
vocale	voyelles
vocale	vocaux
vocale	chant
vocale	vocale
vocale	vocal
donat	donné
donat	donnés
dakota	dakota
valle	valle
mansur	mansur
susan	susan
susan	sylvie
holt	holt
federală	fédéral
federală	fédérale
federală	fédéraux
federală	fédérales
pont	pont
pont	pourboire
pont	pointe
pont	astuce
înlocuirea	remplacer
înlocuirea	remplaçant
înlocuirea	remplacements
înlocuirea	remplacement
înlocuirea	remplaçant
apple	pommier
apple	pommes
apple	apple
apple	pomme
nepenthes	nepenthes
dame	dames
dame	dame
strasbourg	strasbourg
sportivi	athlètes
sportivi	sportifs
tulburări	affections
tulburări	troubles
apostoli	apôtres
château	château
adăugarea	addition
adăugarea	ajout
adăugarea	ajout
adăugarea	ajoutant
formularul	forme
formularul	formulaire
grupate	regroupé
grupate	groupés
grupate	groupé
grupate	groupées
grupate	regroupés
crimă	assassiner
crimă	meurtre
crimă	assassinat
crimă	meurtres
crimă	délit
crimă	délinquance
crimă	criminalité
crimă	crime
gotic	gothique
gotic	gothiques
tre	tre
roz	rose
roz	rosé
ahmed	ahmed
latine	latine
latine	latin
latine	latines
frunzele	feuilles
exprima	exprès
exprima	exprimer
exprima	express
exprima	expresse
compoziții	compositions
moscovei	moscou
kashmir	cachemire
belgian	belge
belgian	belges
wikimapia	wikimapia
orange	orange
orange	orangé
orange	oranges
pierderile	pertes
naviga	voiles
naviga	voilier
naviga	voile
naviga	naviguer
echipament	équipements
echipament	équipement
echipament	equipements
echipament	matériel
echipament	equipement
includerea	inclusion
simona	simona
joachim	joachim
formal	officiellement
formal	formellement
formal	formels
formal	formel
formal	formelle
austin	austin
filozofia	philosophique
filozofia	philosophie
aedes	aedes
implicarea	implication
explica	expliquez
explica	expliquer
explica	explique
wall	paroi
wall	muraille
wall	mur
harald	harald
autonome	autonomes
autonome	autonomie
autonome	autonome
village	village
răspândirea	propagation
răspândirea	étalement
răspândirea	répandre
răspândirea	épandage
răspândirea	propagation
răspândirea	répandre
intensă	intense
intensă	intenses
lugoj	lugoj
mutată	déplacé
mutată	ému
mutată	déménagé
mutată	déplacée
strâmtoarea	détroit
refugiat	réfugiés
refugiat	réfugiées
refugiat	réfugiée
refugiat	réfugié
ungară	hongroise
ungară	hongroises
ungară	hongrois
scăzută	basses
scăzută	basse
scăzută	faible
scăzută	faibles
scăzută	bas
compune	compose
compune	composer
exterioară	extérieurs
exterioară	extérieur
exterioară	extérieures
exterioară	exterieur
exterioară	extérieure
ofensivă	offensif
ofensivă	offensive
ofensivă	offensant
intervenție	intervention
galilor	gaulois
fenomene	phénomènes
fenomene	phénomène
austrieci	autrichiens
austrieci	autrichiennes
austrieci	autrichien
austrieci	autrichienne
costume	déguisements
costume	costumes
costume	costumes
costume	combinaisons
muban	muban
cânta	chantons
cânta	chanter
cânta	chante
grija	attentionnée
grija	soins
grija	soin
corul	chœur
corul	chœurs
corul	chorale
corul	choeur
corul	chœurs
corul	refrain
corul	choeur
corul	chœur
modelele	maquettes
modelele	modèles
îndeplini	accomplir
reich	reich
józsef	józsef
agricol	agricole
agricol	agricoles
originile	origine
originile	origines
khan	khan
mutarea	déménagement
mutarea	bouger
mutarea	déménager
moscheea	mosquée
lățimea	largeur
lățimea	largeurs
cooper	cooper
preah	preah
invazie	envahir
invazie	invasion
invazie	invasions
ehf	ehf
brabant	brabant
dealuri	collines
danny	danny
danny	dany
determinată	déterminées
determinată	déterminée
determinată	déterminés
determinată	déterminé
tag	étiquette
tag	tag
tag	balise
perete	paroi
perete	muraille
perete	mur
amenajare	raccord
amenajare	essayage
nicholas	nicolas
nicholas	nicholas
ixodes	ixodes
istoricii	historiens
străină	étranger
străină	etranger
străină	étrangère
străină	étrangères
iubit	adoré
iubit	aimée
iubit	aimées
iubit	aimé
iubit	aimés
iubit	aimée
iubit	adoré
iubit	copain
entitate	entité
platină	platine
platină	platinum
rezolva	résoudre
rezolva	résout
indivizi	particuliers
indivizi	individus
indivizi	individuels
continental	continentale
continental	continental
continental	continentaux
caesar	caesar
caesar	césar
cruci	croix
maiorescu	maiorescu
conferit	conféré
conferit	conférés
pierdute	perdu
pierdute	perdues
pierdute	perdue
pierdute	lost
pierdute	perdus
perioadele	périodes
bianco	bianco
ilustrează	illustre
ilustrează	illustrer
ilustrează	illustrent
cardinal	cardinal
clare	clare
clare	claire
vulcan	volcan
vulcan	volcans
vulcan	vulcain
moștenit	hérité
moștenit	héritée
moștenit	héréditaire
moștenit	héritées
curentului	actuel
curentului	courant
curentului	actuels
curentului	actuelle
destinație	destination
hawaii	hawaï
hawaii	hawaii
sunetul	sound
sunetul	sonore
sunetul	son
xbox	xbox
inca	still
inca	encore
inca	toujours
gama	gamma
baby	bébé
baby	baby
evaluarea	évaluation
evaluarea	valorisation
evaluarea	évaluation
evaluarea	appréciation
evaluarea	évaluation
evaluarea	evaluation
cinematografie	cinématographie
danez	danoises
danez	danois
danez	danoise
raportat	signalé
raportat	rapporté
raportat	signalés
raportat	signalée
râurilor	fleuves
râurilor	rivières
paula	paula
acoperiș	toit
acoperiș	toit
acoperiș	toiture
conferință	conférences
conferință	conférence
iasi	iasi
legală	juridique
legală	légal
legală	légales
legală	légale
civili	civils
civili	civiles
calliphoridae	calliphoridae
elisabeth	élisabeth
elisabeth	elisabeth
citește	lecture
citește	lisez
citește	lire
citește	lis
variate	variée
variate	varié
variate	variées
variate	variés
bros	bros
prăbușit	accidenté
prăbușit	crashé
prăbușit	écrasé
prăbușit	effondré
prăbușit	écroulé
prăbușit	effondrée
clasificate	classées
clasificate	classifié
clasificate	classés
clasificate	classé
clasificate	annonces
pic	pic
administrare	administration
cereale	grain
cereale	grains
cereale	céréale
cereale	céréales
cereale	céréale
cereale	céréales
warren	warren
parlamentară	parlementaire
ferenc	ferenc
pictori	peintres
stein	stein
basel	bâle
doo	doo
étienne	étienne
trafic	trafic
trafic	circulation
baraj	dam
baraj	barrage
baraj	digue
absolvent	diplômés
absolvent	diplômée
absolvent	diplômé
islamică	islamiste
islamică	musulman
islamică	islamique
derivă	dériver
derivă	dérive
derivă	dérivants
derivă	dérivant
derivă	dériver
derivă	dérive
balta	étang
balta	flaque
aires	aires
roberts	roberts
kingdom	royaume
amândoi	both
statuie	statue
tennessee	tennessee
toamnă	automne
moștenirea	héritage
moștenirea	legacy
moștenirea	legs
moștenirea	héritage
moștenirea	héritages
oslo	oslo
turner	turner
adăugate	ajoutés
adăugate	ajouté
adăugate	ajout
adăugate	ajoutée
beta	beta
beta	bêta
beta	béta
aripi	wings
aripi	ailes
golf	golf
interzisă	interdites
interzisă	défendu
interzisă	interdite
interzisă	interdit
interzisă	interdits
interzisă	interdites
interzisă	interdite
interzisă	interdit
interzisă	interdits
numirea	nomination
contactul	contacter
contactul	contactez
contactul	contact
contactul	contacte
java	java
alexandre	alexandre
siberia	sibérie
inspector	inspectrice
inspector	inspecteur
ocean	océan
claudia	claudia
plăcut	apprécié
plăcut	aimés
plăcut	aimées
plăcut	aimée
plăcut	aimé
plăcut	agréable
plăcut	plaisant
evans	evans
franceza	francais
franceza	française
franceza	français
franceza	françaises
wien	wien
edge	bord
edge	bordure
edge	arête
edge	edge
declarație	énoncé
declarație	déclaration
declarație	déclaration
conferă	conférer
conferă	confère
discursul	discours
discursul	allocution
alabama	alabama
folosire	utilisation
folosire	usage
tabel	table
tabel	tableau
indiei	inde
indiei	indes
keith	keith
asigurată	assurée
asigurată	assurées
asigurată	assuré
asigurată	assurés
corrèze	corrèze
emise	émis
emise	émises
emise	délivrés
emise	émise
emise	délivré
campionatele	championnats
manastirea	monastère
manastirea	monastères
louisiana	louisiane
baschet	basket
baschet	basketball
organ	orgue
organ	organe
hotelul	hôtel
finistère	finistère
tranziție	transition
distanțe	distances
cald	chaud
cald	hot
cald	chaude
cald	sexy
cald	chaud
cald	chaleureux
cald	chaleureuses
cald	chaude
adânc	profond
adânc	profonds
adânc	deep
adânc	profonde
salvare	secours
salvare	sauvetage
salvare	sauveteurs
vacanță	vacances
malta	malte
fotbalul	football
radical	radical
radical	radicaux
radical	radicale
asalt	agression
asalt	assaut
asalt	agressions
renault	renault
sierra	sierra
specializate	spécialisé
specializate	spécialisée
specializate	spécialisées
specializate	spécialisés
specializate	spécialisé
specializate	spécialisée
specializate	spécialisées
specializate	spécialisés
buenos	buenos
dificultăți	difficulté
dificultăți	difficultés
dificultăți	difficultés
râurile	fleuves
râurile	rivières
tribuna	tribune
lapte	lait
grove	grove
grove	bosquet
memoriile	mémoires
memoriile	mémoires
viteze	vitesses
studios	studios
clara	clara
vieți	vies
boemia	bohême
oferind	offrir
oferind	offrant
oferind	offrande
letonia	lettonie
islanda	islande
hanovra	hanovre
hanovra	hanovre
rahman	rahman
edinburgh	edimbourg
edinburgh	édimbourg
silva	silva
democratic	démocratiquement
democratic	démocratique
democratic	démocrate
democratic	démocratiques
distinge	distinguer
vrei	veulent
vrei	envie
vrei	vouloir
vrei	veux
vrei	voulez
strategice	stratégique
strategice	stratégiques
utilizând	utiliser
utilizând	utilisant
numeric	numérique
numeric	numériques
simte	sentir
simte	ressentir
lloyd	lloyd
robinson	robinson
oldenburg	oldenburg
controverse	controverse
controverse	polémique
controverse	controverses
lunile	mois
rase	courses
rase	races
bordeaux	bordeaux
lecții	leçons
lecții	enseignements
jay	jay
soră	sister
soră	soeur
soră	sœur
teste	essais
teste	tests
teste	épreuves
aventuri	aventures
aventuri	aventures
aventuri	aventure
autorități	autorités
estimare	estimation
estimare	devis
estimare	estimations
estimare	estimation
estimare	estimations
comparativ	comparatif
comparativ	comparé
comparativ	comparative
comparativ	comparatifs
comparativ	comparativement
comparativ	comparés
comparativ	comparé
islamice	islamiste
islamice	musulman
islamice	islamique
salt	sauter
salt	saute
salt	jump
salt	saut
salt	salé
salt	sel
dezvolta	développez
dezvolta	développer
tensiune	tension
tensiune	tensions
tensiune	tension
tensiune	voltage
banda	ruban
banda	cassette
banda	bande
batman	batman
pius	pius
pius	pie
trăiască	live
trăiască	vivant
trăiască	vivre
exprimate	jeté
exprimate	coulée
exprimate	coulé
exprimate	plâtre
exprimate	exprimée
exprimate	exprimées
exprimate	exprimé
exprimate	exprimés
moneda	monnaie
moneda	devise
moneda	monnaies
moneda	devises
moneda	pièce
instalații	installations
romeo	roméo
romeo	romeo
concomitent	concomitant
concomitent	concomitante
aruncă	jeter
conservare	préservation
conservare	conservation
conservare	préservation
conservare	conservation
matilda	mathilde
matilda	matilda
recentă	récents
recentă	récent
recentă	récentes
recentă	récente
accentul	accentué
accentul	accentuation
accentul	accent
accentul	accents
trenul	train
philodromus	philodromus
bate	beat
bate	battez
bate	battu
bate	battre
bate	battement
bate	bat
bate	rythmes
bate	battements
propuse	proposée
propuse	proposé
propuse	proposées
propuse	proposés
manuscris	manuscrit
manuscris	manuscrits
tanc	réservoir
tanc	tank
tanc	citerne
tanc	cuve
veliko	veliko
zguduit	ébranlée
zguduit	secouée
zguduit	ébranlé
zguduit	secoué
zguduit	secouée
zguduit	secoué
zguduit	secouée
zguduit	ébranlé
zguduit	serré
zguduit	secoué
bolnav	malades
bolnav	malade
nguyen	nguyen
afectează	affectent
afectează	affecte
afectează	affecter
afectează	affectent
fiice	filles
nigeria	nigeria
nigeria	nigéria
gust	goûter
gust	saveur
gust	gouter
gust	goût
gilbert	gilbert
vizuale	visuels
minnesota	minnesota
allah	allah
joan	joan
latina	latine
latina	latin
latina	latines
latina	latines
latina	latino
latina	latina
latina	latine
vila	vila
vila	villa
bor	bor
bor	bore
muncitori	ouvriers
muncitori	travailleurs
györgy	györgy
gabrovo	gabrovo
strategic	stratégiquement
strategic	stratégique
strategic	stratégiques
privit	surveillés
privit	regardée
privit	regardé
privit	regardées
dennis	dennis
dennis	denis
geografia	géographie
miami	miami
lang	lang
multumesc	merci
multumesc	remerciement
multumesc	cordialement
multumesc	remerciements
bugetul	budgétaire
bugetul	budget
matthew	matthew
matthew	mathieu
matthew	matthieu
intervalul	gamme
intervalul	portée
intervalul	intervalle
intervalul	entracte
intervalul	intervalles
wisconsin	wisconsin
străzile	rues
sunete	sons
sunete	bruits
cablu	câbles
cablu	cable
cablu	câble
barajul	dam
barajul	barrage
barajul	digue
autonom	autonomes
autonom	autonomie
autonom	autonome
lucas	lucas
justin	justin
laurent	laurent
lingvistice	linguistique
northern	septentrionale
northern	nordique
northern	septentrional
northern	northern
northern	nord
astea	ces
procedura	procédure
caussols	caussols
marx	marx
lector	conférencier
primăvară	spring
primăvară	printemps
primăvară	ressort
aprox	env
gândirea	réfléchir
gândirea	pensant
gândirea	pensée
gândirea	penser
esențial	essentiel
esențial	indispensable
esențial	essentielles
esențial	essentielle
esențial	essentiels
consecutive	consécutifs
consecutive	consécutif
consecutive	consécutives
consecutive	consécutive
navarra	navarre
asimov	asimov
carnivore	carnivores
carnivore	carnivores
carnivore	carnivore
repere	souligne
repere	repères
repere	jalons
repere	étapes
cifră	chiffre
singapore	singapour
interpreta	interpréter
acoperire	enduit
acoperire	revêtement
acoperire	couvercle
acoperire	couverture
acoperire	couvrir
acoperire	housse
acoperire	couverture
wells	puits
wells	wells
pasăre	oiseau
pasăre	oiseaux
pasăre	bird
ocazional	occasionnels
ocazional	occasionnellement
ocazional	occasionnelles
ocazional	occasionnelle
ocazional	occasionnel
ocazional	occasionnellement
ocazional	parfois
dedesubt	dessous
atei	athées
fundul	fesse
fundul	cul
fundul	fesses
stadiul	étape
stadiul	stade
stadiul	scène
transforma	transformer
transforma	transforme
transforma	transformation
grădină	jardins
grădină	jardin
springs	ressorts
springs	springs
detaliate	détaillées
detaliate	détaillée
detaliate	détaillé
estimat	estimées
estimat	estimée
estimat	estimations
estimat	estimé
estimat	estimation
derivate	dérivés
derivate	dérivé
derivate	dérivée
derivate	dérivées
derivate	dérivés
derivate	dérivé
derivate	dérivée
liban	liban
scaune	chaises
scaune	fauteuils
scaune	sièges
gov	gov
béla	béla
regii	rois
regii	kings
apărând	apparaître
apărând	apparaissant
apărând	défendre
emma	emma
persană	persique
persană	perse
persană	perses
persană	persan
doyle	doyle
efectuarea	performante
efectuarea	exécutant
organe	organes
organe	orgue
organe	organe
surori	soeurs
surori	sœurs
goethe	goethe
cazimir	casimir
aug	aout
aug	août
aug	aug
eforturi	efforts
bobby	bobby
ring	bague
ring	anneau
sever	sévères
sever	graves
sever	grave
sever	sévère
faze	phases
pielea	peau
abordare	approche
abordare	démarche
vorbind	parlant
apărat	défendues
apărat	défendu
apărat	défendus
apărat	défendue
bretagne	bretagne
mina	mina
pactului	pact
pactului	pacte
cameron	cameron
revistele	revues
revistele	magazines
decisiv	déterminant
decisiv	décisives
decisiv	décisive
decisiv	décisif
sălbatice	wild
sălbatice	sauvage
sălbatice	sauvages
noroc	tchin
noroc	santé
noroc	acclamations
definiția	définition
definiția	définitions
stins	éteinte
stins	éteint
stins	éteints
stins	disparu
averea	richesses
averea	richesse
practicat	pratiqué
practicat	pratiquée
dați	donner
dați	donne
dați	donnez
țintă	cibles
țintă	objectif
țintă	cible
țintă	cibler
comunitățile	communautés
comunitățile	collectivités
nenumărate	innombrables
vânzare	soldes
vânzare	vente
cunoștință	connaissance
vărul	cousin
vărul	cousine
automată	automatiques
automată	automatisé
automată	automatique
refugiați	réfugiés
fereastră	hublot
fereastră	vitre
fereastră	fenetre
fereastră	fenêtre
fereastră	fenêtres
rector	recteur
propagandă	propagande
dominat	dominée
dominat	dominés
dominat	dominé
dominat	dominées
crească	grandir
crească	croître
crească	pousser
rebel	rebelles
rebel	rebel
rebel	rebelle
ccd	ccd
lanțul	enchaîner
lanțul	chaîne
lanțul	chaine
uruguay	uruguay
pascal	pascal
mecanica	mécano
mecanica	mécaniciens
mecanica	mécanique
mecanica	mécanicien
mecanica	mécaniques
iugoslaviei	yougoslave
iugoslaviei	yougoslavie
damian	damien
damian	damian
roll	rouler
roll	roll
roll	rouleau
preluarea	rachat
coadă	queue
coadă	file
coadă	queue
coadă	filature
coadă	tail
judecător	magistrat
judecător	juger
judecător	juge
semnează	signer
semnează	signe
semnează	panneau
semnează	signez
palermo	palerme
hugh	hugues
hugh	hugh
termică	thermale
termică	thermique
termică	thermiques
laos	laos
argumentele	argumentation
argumentele	arguments
alexandrescu	alexandrescu
uesac	uesac
fir	fils
fir	fil
fir	filetage
fir	thread
fir	fil
legiunea	légions
legiunea	légion
chip	chip
chip	jeton
chip	puce
prefect	préfet
coroană	guirlande
coroană	couronne
coroană	couronnes
coroană	crown
coroană	couronner
coroană	couronne
localizată	situés
localizată	située
localizată	localisé
localizată	situé
localizată	localisées
localizată	localisée
localizată	localisés
localizată	localisé
triburile	tribus
mon	mon
mon	lun
lisa	lisa
platoul	plateau
jpg}}	jpg}}
păsările	oiseaux
arcul	arc
arcul	bow
square	carré
square	carrés
square	square
square	carrées
doc	doc
doc	toubib
încet	lentement
încet	doucement
call	appeler
call	appelez
call	appel
call	appelle
cerul	sky
cerul	ciels
cerul	ciel
esențiale	essentiel
esențiale	indispensable
esențiale	essentielles
esențiale	essentielle
esențiale	essentiels
transferul	virement
transferul	transfer
transferul	transférer
transferul	transfert
creatorul	créatrice
creatorul	créateur
companiile	compagnies
companiile	entreprises
companiile	sociétés
silvia	silvia
silvia	sylvia
silvia	sylvie
gibson	gibson
înconjurată	entourés
înconjurată	encerclé
înconjurată	encerclés
înconjurată	entourée
înconjurată	entouré
viktor	viktor
adulți	adultes
adulți	adulte
adulți	adulte
adulți	adultes
nivele	niveaux
estadio	stade
copertă	couvercle
copertă	couverture
copertă	couvrir
copertă	housse
atribuită	attribuées
atribuită	attribué
atribuită	attribués
atribuită	attribuée
atribuită	attribué
atribuită	assignée
atribuită	assignés
atribuită	affecté
atribuită	assignées
atribuită	assigné
wood	bois
abc	abc
geo	géo
geo	geo
coordonatele	coordonnées
coordonatele	coordonnés
johan	johan
santos	santos
gif	gif
armament	armements
armament	armement
armament	armements
armament	armement
armament	armements
armament	armement
credit	crédit
simfonia	symphonique
simfonia	symphonie
marcând	marquer
marcând	pointage
marcând	notation
visul	reve
visul	rêves
visul	dream
visul	rêver
visul	rêve
eddie	eddie
eddie	eddy
întreprinderi	entreprises
mir	mir
entități	entités
pescuit	pêcheries
pescuit	pêche
pescuit	pêches
pescuit	peche
pescuit	pêcher
pescuit	pêche
proporție	proportions
proporție	proportion
opoziția	opposition
jorge	jorge
frecvența	répétition
frecvența	périodicité
frecvența	fréquence
frecvența	fréquences
atribuite	attribuées
