panorama	panorama
vještica	čarodějka
neuspjeh	neúspěch
neuspjeh	selhání
podne	polední
podne	poledne
podne	polední
podne	poledne
bacio	hodil
leipzig	lipsko
izraelski	izraelský
izraelski	izraelská
izraelski	izraelské
gerhard	gerhard
kairo	káhiře
sean	sean
sean	seana
slogan	slogan
digitalni	digitální
lara	lara
protivnici	soupeři
protivnici	odpůrci
lisa	lisa
lisa	lisu
lisa	líza
lisa	lisy
pumpe	čerpadla
uspješne	úspěšná
uspješne	úspěšně
uspješne	úspěšné
uspješne	úspěšný
jusuf	yusuf
oporavak	vymáhání
oporavak	zotavení
oporavak	obnova
oporavak	obnovy
odabir	vyberte
odabir	vybrat
odabir	zvolte
golf	golfu
golf	golf
časti	cti
časti	pocta
časti	čest
felipe	felipe
izložba	výstava
izložba	výstavy
izložba	výstava
izložba	výstavní
ubice	vrahové
ubice	vrazi
ubice	vrahy
ubice	zabijáci
ulicama	ulice
ulicama	ulic
rupa	díru
rupa	díry
rupa	díra
rupa	otvor
rupa	otvory
rupa	dírky
rupa	díry
toro	toro
vels	wales
vels	walesu
vels	wells
vels	studny
pozitivni	kladný
pozitivni	kladné
pozitivni	pozitivní
zenit	zenit
uni	uni
goveda	voly
hogwarts	bradavice
hogwarts	bradavic
tumor	tumor
tumor	nádoru
tumor	nádor
abba	abba
razmnožavanje	reprodukce
razmnožavanje	rozmnožování
kolona	kolona
niger	niger
beli	beli
janko	janko
aga	aga
kvadrata	čtverce
akt	nahý
akt	nahé
akt	nahá
akt	jednat
akt	čin
akt	akt
akt	dějství
rezolucija	usnesení
rezolucija	rozlišení
rezolucija	rezoluce
pokrenut	zahájena
pokrenut	zahájeno
pokrenut	zahájen
pokrenut	spuštěn
pokrenut	zahájena
pokrenut	zahájila
privlači	přitahuje
privlači	láká
privlači	přilákání
laugardalsvöllur	laugardalsvöllur
pljevlja	pljevlja
tvrdeći	hádání
tvrdeći	tvrdí
duhana	tabáku
duhana	tabák
fenotip	fenotyp
vraćen	vrátil
vraćen	vráceny
prilikama	příležitosti
počev	začíná
počev	začínám
počev	začínáme
slabi	slabý
slabi	slabá
slabi	slabé
pat	pat
pat	pata
pat	pat
malmö	malmö
sekundarna	sekundární
pedeset	padesát
pedeset	fifty
podvrsta	poddruh
setu	sada
setu	set
setu	nastavit
najniži	nejnižší
anderlecht	anderlecht
bremen	brémy
zidine	hradby
zidine	stěny
zidine	zdi
jedu	sníst
jedu	jíst
ćelijska	buněčné
uživa	užívá
uživa	užívá
uživa	užíváme
navijači	fanoušci
navijači	fanoušky
navijači	ventilátory
navijači	příznivci
navijači	stoupenci
potencijalno	potenciálně
proširena	rozšířené
proširena	rozšířená
graditi	postavit
graditi	postav
graditi	vybudovat
graditi	stavět
ogledala	zrcadla
ogledala	zrcátka
drveće	stromy
odmor	prázdniny
odmor	dovolenou
odmor	dovolené
odmor	dovolená
povezati	připojit
povezati	propojit
čuvar	strážce
najduža	nejdéle
najduža	nejdelší
antun	antun
genetičko	genetický
genetičko	genetické
genetičko	genetická
sobe	pokoj
sobe	místnost
sobe	místnosti
sobe	pokoje
dodjele	udělování
broz	broz
spolni	pohlavní
spolni	sexuálně
spolni	sexuální
kobilica	carina
slabost	slabost
slabost	slabosti
slabost	slabiny
brza	rychlé
brza	rychle
brza	rychlá
brza	rychlý
čeka	čeká
čeka	čekat
čeka	čekám
čeka	čekání
scenariju	scénář
boys	kluky
boys	hoši
boys	kluci
boys	chlapci
preuzimanje	stahování
preuzimanje	stahování
preuzimanje	stáhnout
preuzimanje	stažení
kimi	kimi
dvorište	nádvoří
dvorište	dvůr
najjači	nejsilnější
pretpostavka	předpoklad
pretpostavka	domněnka
pretpostavka	předpoklad
pretpostavka	předpokladu
benfica	benfica
zaključka	závěr
zaključka	závěry
sastojak	ingredience
sastojak	přísada
solna	solna
uši	uši
uši	uší
strujanja	proudy
spartak	spartakus
spartak	spartak
universal	univerzální
sestara	sestřičky
sestara	sestry
slavenska	slovanské
donald	donald
apsolutni	absolutní
ronnie	ronnieho
ronnie	ronnie
bitaka	bitev
bitaka	bitvy
dešavanja	akce
dešavanja	událostí
dešavanja	události
dešavanja	vývoj
jugozapadnom	jihozápadní
jugozapadnom	jihozápad
vojislav	vojislav
mačka	cat
mačka	kocka
mačka	kočka
mačka	kocour
skokova	skáče
skokova	skočí
skokova	skoky
neophodna	nutná
neophodna	nezbytná
neophodna	nezbytné
neophodna	nutné
neophodna	nezbytný
ravne	plochý
ravne	byt
ravne	ploché
ravne	plochá
luca	luca
colin	colin
colin	colina
colin	coline
vijećnica	hala
vijećnica	haly
vijećnica	halle
vijećnica	hall
vijećnica	sál
zadrži	udržujte
zadrži	zachovat
monroe	monroe
bara	bara
rama	rama
gudački	řetězec
mirno	pokojně
građevinski	stavebnictví
građevinski	výstavba
građevinski	stavba
građevinski	konstrukce
diskovi	disky
aspekt	hledisko
aspekt	aspekt
spušta	sestupuje
addclass	addclass
čulo	smysl
zvijeri	šelmy
zvijeri	zvíře
zvijeri	bestie
zvijeri	šelmy
zvijeri	bestie
odražava	odrážející
odražava	reflexní
odražava	odráží
prođe	míjí
prođe	projde
moral	morálku
moral	morálka
moral	morálku
moral	morálka
moral	morálku
moral	morálka
boban	boban
dovoljan	dost
dovoljan	dostačující
dovoljan	dostatečná
dovoljan	postačující
dovoljan	dostatečný
dovoljan	dostatečné
antonije	antonius
prefiks	prefix
namjeru	úmysl
namjeru	záměr
ers	ers
prikupljanje	sbírat
prikupljanje	shromažďovat
maya	mayo
maya	maya
odredbe	ustanovení
bis	bis
zločini	zločiny
stalna	trvalý
stalna	trvalá
stalna	permanentní
stalna	trvalé
stalna	stálá
dlaka	vlasy
dlaka	vlasů
dlaka	srst
dlaka	chlupy
prijateljstvo	kamarádství
prijateljstvo	přátelství
raja	raja
hansen	hansen
antropologija	antropologie
svečano	ceremoniál
svečano	obřad
svečano	slavnostní
napoli	neapol
napoli	napoli
koalicija	koalice
koalicija	koalici
ricardo	ricardo
dobrovoljno	dobrovolně
dobrovoljno	dobrovolník
rtb	rtb
markt	markt
povjerenje	důvěru
povjerenje	sebevědomí
povjerenje	důvěra
povjerenje	důvěru
povjerenje	věřit
povjerenje	důvěra
oblak	oblak
oblak	mrak
oblak	cloud
auf	auf
škoda	škoda
žica	drát
žica	dráty
korisno	užitečná
korisno	užitečný
korisno	užitečné
mentalno	mentální
mentalno	duševní
mentalno	psychicky
mentalno	duševně
mentalno	mentálně
skala	rozsah
skala	stupnice
skala	rozsahu
skala	měřítko
ruševine	trosky
ruševine	troskách
ruševine	ruiny
donesena	přijata
donesena	přijatá
stevens	stevens
proglašenja	vyhlášení
patuljasta	trpaslík
sličnost	podobnost
sličnost	podoba
trgovac	obchodník
jennifer	jennifer
preuzimanja	převzetí
jonas	jonas
prunus	prunus
away	pryč
svjedok	svědek
svjedok	svědka
svjedok	svědkyně
partnera	partner
partnera	partnera
partnera	parťák
partnera	partnerka
troškovi	náklady
troškovi	výdaje
troškovi	nákladů
troškovi	náklady
rpm	rpm
višak	přebytek
višak	přebytky
višak	nadbytek
višak	přebytek
višak	nadbytek
prazan	prázdné
prazan	prázdná
prazan	prázdno
prazan	prázdný
prazan	vyprázdnit
mayer	mayer
zabranjena	zakázané
zabranjena	zakázáno
intelektualaca	intelektuálové
dimitrije	dmitrij
krive	obviňování
tačna	přesné
tačna	přesná
tačna	precizní
tačna	přesný
tačna	pravda
tačna	true
tačna	pravdivé
rick	rick
rick	ricka
sive	šedá
sive	grey
sive	šedé
sive	greyová
sive	šedý
sive	šedivý
bilje	bylinky
bilje	byliny
kopno	pevnině
živote	žije
živote	životy
živote	životů
vojvodina	vojvodině
neophodan	nutná
neophodan	nezbytná
neophodan	nezbytné
neophodan	nutné
neophodan	nezbytný
okus	chuť
konjanika	jezdci
orbitalni	orbitální
darije	darius
ubila	zavražděný
ubila	zavražděna
ubila	zavražděná
ubila	zavražděn
ubila	zabiti
ubila	zabitý
ubila	zabita
ubila	zabit
ubila	zabil
brine	obavy
brine	starosti
opremljena	vybaveni
opremljena	vybavené
opremljena	vybavená
opremljena	vybaveno
bitan	důležitý
bitan	důležitá
bitan	důležité
bitan	důležití
prihvati	přijmout
stafa	stafa
ruta	trasa
ruta	cesta
bilten	newsletter
bilten	zpravodaj
nina	nina
nina	nino
nsdap	nsdap
sima	sima
invazija	invaze
gosti	hosty
gosti	hosté
povukla	stáhl
malezija	malajsie
afričkih	africký
afričkih	africká
afričkih	africké
kovanica	mince
kovanica	mincí
droga	léky
droga	drogy
droga	drog
droga	drogy
droga	droga
efikasno	účinné
efikasno	efektivní
efikasno	účinná
efikasno	účinné
efikasno	efektivní
efikasno	účinný
efikasno	účinně
efikasno	efektivně
istraživača	průzkumníci
vrbas	vrbas
kontroli	ovládání
kontroli	kontrola
kontroli	kontrolní
kontroli	kontrolu
testovi	testy
testovi	zkoušky
kontinent	kontinentu
kontinent	kontinent
obnova	obnovení
obnova	obnova
obnova	rekonstrukci
obnova	rekonstrukce
pristalica	příznivci
pristalica	stoupenci
pristalica	booster
stoney	stoney
pregovori	vyjednávání
pregovori	jednání
pregovori	rozhovory
pregovori	vyjednávání
pregovori	jednání
rizika	rizika
rizika	riziko
rizika	rizik
dnf	dnf
tumačenje	výklad
tumačenje	interpretace
tumačenje	tlumočení
prijeti	vyhrožování
prijeti	vyhrožoval
prijeti	ohrožující
plaća	mzda
plaća	plat
stranim	zahraniční
stranim	cizí
kal	kal
platiti	platit
platiti	zaplatit
platiti	plat
emma	emmou
emma	emma
dobara	zboží
dobara	dobroty
ekologija	ekologie
izbjeći	vyhnout
referendum	referenda
referendum	referendum
izazvala	způsobilo
izazvala	způsobil
izazvala	způsobené
odjednom	najednou
odjednom	náhle
pašić	pašić
jin	jine
jin	jin
jin	jina
grofica	hraběnka
made	vyrobil
made	vyrobeny
made	vyrobený
made	udělal
made	vyrobené
made	vyrobeno
muzičari	muzikanti
odredi	určit
vlasnici	vlastníky
vlasnici	vlastníci
vlasnici	majitelé
qemal	qemal
angažman	zasnoubení
angažman	angažmá
angažman	zásnubní
angažman	zapojení
angažman	zásnuby
punom	plné
punom	plný
punom	plná
klement	clement
oslanja	spoléhá
mon	mon
metak	kulka
metak	náboj
rupe	otvory
rupe	dírky
rupe	díry
hemijsku	tužka
hemijsku	pen
hemijsku	pero
osiguranja	pojistka
osiguranja	pojištění
osiguranja	pojišťovací
osiguranja	pojišťovnictví
futsal	futsal
ivanov	ivanov
gana	ghana
express	expres
express	express
express	vyjádřit
express	expresní
pozicijama	pozic
pozicijama	polohy
pozicijama	pozice
divlji	divočina
divlji	divoká
divlji	divoké
divlji	divoký
polazi	listí
polazi	listů
polazi	listy
skali	scullyová
litara	litrů
litara	litry
bratstvo	bratrstva
bratstvo	bratrství
bratstvo	bratrstvo
bratstvo	bratrstva
bratstvo	bratrství
bratstvo	bratrstvo
plamen	plamen
sna	snít
sna	sen
sna	dream
jarac	kozoroh
čudo	zázrak
krk	krk
doyle	doyle
dobit	zisk
dobit	zisku
dobit	výdělek
jadrana	jadranu
rommel	rommel
rastvara	rozpuštění
simbolizira	symbolizuje
napadača	útočníci
napadača	útočníky
napadača	útočníků
duboka	hluboká
duboka	hluboké
duboka	hluboko
duboka	hluboký
weber	weber
ustavni	ústavní
thomson	thomson
režnja	laloky
zatvaranje	uzavření
zatvaranje	ukončení
zatvaranje	zavírání
zatvaranje	uzavření
zaštitnik	ochránce
étienne	étienne
profesionalna	profesionální
profesionalna	profesionál
profesionalna	profesní
mjuzikl	muzikál
mjuzikl	hudební
mačke	kočky
campbell	campbell
azijski	asijský
azijski	asijská
azijski	asijské
romeo	romea
romeo	romeo
dometa	dosah
dometa	rozsah
dometa	rozmezí
sirija	sýrie
egipatska	egyptský
egipatska	egyptské
egipatska	egyptská
pijeska	písek
pijeska	písku
wta	wta
ward	ward
arhipelag	souostroví
coli	coli
pozadina	pozadí
pozadina	zázemí
pogubljen	provedený
pogubljen	proveden
pogubljen	popraven
pogubljen	provedené
razdvajanje	odloučení
razdvajanje	oddělení
razdvajanje	rozdělení
pečat	známka
pečat	razítko
pečat	pečeť
pečat	seal
programima	programů
programima	programy
programima	programů
programima	programy
franco	franco
celtic	keltské
grešku	chyba
grešku	omyl
grešku	chybu
inspiracija	inspiraci
inspiracija	inspirace
odobrenje	schválení
odobrenje	schvalování
palata	paláce
palata	palác
palata	palace
koristan	užitečná
koristan	užitečný
koristan	užitečné
primati	primátů
fleming	fleming
mol	krtek
mol	znaménko
mol	mol
staklo	sklenice
staklo	skla
staklo	sklo
povreda	zranění
povreda	úraz
povreda	újma
povreda	poranění
sisari	savců
sisari	savce
sisari	savci
sisari	savec
barthel	barthel
uređajima	přístroje
uređajima	zařízení
posthumno	posmrtné
automobili	aut
automobili	automobily
automobili	auta
maksimir	maksimir
distribuciju	distribuční
distribuciju	rozdělení
distribuciju	distribuce
distribuciju	rozložení
obilježena	označeny
obilježena	označená
obilježena	označené
obilježena	označeno
resursi	zdrojů
resursi	zdroje
resursi	prostředky
davies	davies
zastupnik	zástupce
zastupnik	představitel
zastupnik	reprezentativní
bonus	bonus
bonus	prémie
bonus	bonusy
bonus	příplatek
plaža	pláži
plaža	pláže
plaža	pláž
lucy	lucy
lokacijama	lokace
lokacijama	lokality
anatomski	anatomicky
specijalno	speciálně
specijalno	zvláště
specijalno	zvláštní
specijalno	speciální
specijalno	speciál
specijalno	special
ateizam	ateismus
drevne	starobylé
drevne	starověký
drevne	starověké
parma	parma
rejting	hodnocení
rejting	rating
rejting	hodnocení
rejting	ratingy
rejting	sledovanost
lipa	lipa
konji	koně
konji	koní
mhz	mhz
peći	trouby
peći	pece
peći	sporák
peći	kamna
peći	peci
peći	pece
phillips	phillips
lars	lars
donijeti	přinést
donijeti	přivést
peto	pátá
peto	páté
peto	pátý
označeni	označené
označeni	označen
označeni	označený
označeni	označeno
lazar	lazar
kupiti	koupit
kupiti	zakoupit
kupiti	kup
foto	fotografie
foto	photo
foto	foto
foto	fotka
foto	fotku
minimum	minimální
minimum	minimum
minimum	minimálně
shu	šu
nadzor	sledování
nadzor	dohled
nadzor	dozor
kora	kůra
kora	kůry
kora	cora
norma	norma
norma	normu
norma	norma
kuka	hook
kuka	hák
kuka	háček
hana	hannah
hana	hana
hana	hana
paralelne	souběžné
paralelne	souběžně
paralelne	paralelní
uspona	ups
piero	piero
hitchcock	hitchcock
crkava	kostely
crkava	církve
tokio	tokiu
tokio	tokio
gibson	gibson
himne	hymna
himne	hymnu
kraća	kratší
kepler	kepler
primaju	obdržet
primaju	přijímat
ole	ole
vjerovatnoća	pravděpodobnost
vjerovatnoća	pravděpodobnosti
concat	concat
krilima	křídla
lakši	snadnější
lakši	lehčí
lakši	snazší
lakši	jednodušší
uništava	zničí
uništava	ničí
vozi	řídit
vozi	drive
disney	disney
meti	cílené
tehnološki	technologický
tehnološki	technologická
tehnološki	technologické
poglavlja	kapitol
poglavlja	kapitoly
slo	slo
napulj	neapol
napetosti	hromadění
napetosti	kumulace
napetosti	akumulace
bonaparte	bonaparte
ahmet	ahmet
prijem	vstupné
prijem	přijetí
prijem	recepce
prijem	příjem
prijem	recepci
rekli	řekla
rekli	řekl
rekli	říkal
gilles	gilles
blato	bahno
blato	bahna
blato	bláto
pravna	zákonné
pravna	zákonný
pravna	právní
pravna	legální
radoslav	radoslav
detektiv	detektiv
italia	italia
norme	norma
obnovljen	obnovené
obnovljen	obnovena
administrator	správce
javier	javier
proizvoditi	produkovat
povod	příležitost
povod	příležitosti
društava	spolky
bek	beck
bek	bek
depresija	depresi
depresija	deprese
uzorka	vzorku
uzorka	vzorek
senna	senna
nih	nih
španci	španělé
maksimum	maximálně
maksimum	maximální
maksimum	maximum
mok	moku
dec	dec
dec	prosinec
pješak	pěší
pješak	pěšák
hronološki	chronologicky
nou	nou
zubi	zubů
zubi	zuby
zubi	zoubky
ted	ted
opticaju	oběhu
opticaju	oběh
brad	brada
brad	brad
obroncima	svahy
tunela	tunely
tunela	tunelů
posmatra	pozorování
posmatra	hodinek
posmatra	hodinky
posmatra	sledování
posmatra	sleduju
laurie	laurie
zabrana	zakázat
zabrana	zákaz
suárez	suárez
komunistička	komunista
komunistička	komunistická
komunistička	komunistické
ukr	ukr
markus	markus
nezadovoljstvo	nespokojenost
nezadovoljstvo	nespokojenost
talas	vlna
sierra	sierra
bush	křoví
bush	bush
bush	bushe
bush	keř
bush	bushova
upada	nájezd
pjevao	sang
pjevao	zpíval
pjevao	zpívala
slab	slabý
slab	slabá
slab	slabé
hitovi	hity
alexis	alexis
banda	gang
krista	krista
krista	kristu
jelo	pokrm
pilota	piloti
pilota	piloty
hiv	hiv
koplja	spears
koplja	kopí
koplja	oštěp
bra	podprsenka
bra	podprsenku
bra	podprsenky
lakers	lakers
pušenje	kouří
pušenje	kouření
ilirska	ilyrské
churchill	churchill
direktan	přímé
direktan	přímý
direktan	direct
direktan	přímá
betula	betula
siciliji	sicilia
okoliša	ekologické
okoliša	environmentální
okoliša	ekologická
allahu	bůh
allahu	bože
allahu	boží
théâtre	théâtre
boli	bolí
otkrije	odhalit
otkrije	odhalují
otkrije	odhalí
otkrije	objevit
otkrije	objevovat
kum	kmotr
kum	kmotra
papua	papui
kriterij	kritérium
hamza	hamza
stepa	stepi
pijanist	pianista
misty	misty
iznose	částky
administracija	administrativa
administracija	podání
administracija	správa
čarobnjak	kouzelník
čarobnjak	čaroděj
čarobnjak	čaroději
suđenja	zkoušky
tragovima	vodítka
tragovima	kroky
theodor	theodor
udp	udp
paz	paz
ikona	ikonu
ikona	ikona
ikona	ikony
glad	hladomor
glad	hlad
francuza	francouz
parc	parc
planirana	plánované
planirana	plánováno
planirana	plánovaný
planirana	naplánované
planirana	plánovaná
access	přístupu
access	přístup
stalnih	přetrvávající
stalnih	vytrvalý
stalnih	trvalá
stalnih	nonstop
proizlazi	vzniká
principi	zásady
principi	zásadami
principi	principy
izgubi	ztratí
izgubi	ztrácí
izgubi	prohrát
izgubi	ztratit
homer	homer
republikanska	republikáni
republikanska	republikán
republikanska	republikánské
gan	gunn
bruto	hrubý
bruto	hnus
bruto	hrubé
bruto	hrubá
classic	klasika
classic	classic
classic	klasické
classic	klasická
classic	klasický
gandhi	gándhí
jednaki	rovni
jednaki	rovný
jednaki	rovné
izdavanje	vydávající
izdavanje	vydávání
izdavanje	emise
izdavanje	vydání
hubble	hubble
einstein	einstein
civilna	občanský
civilna	civilní
civilna	občanská
civilna	občanské
civilna	občanskoprávní
civilna	civilní
civilna	civilista
teritorijalna	teritoriální
teritorijalna	územní
schalke	schalke
mine	miny
mine	doly
stabilan	stáj
stabilan	stabilní
emily	emily
ferenc	ferenc
nosača	přepravce
nosača	dopravce
nosača	nosič
dođu	pojď
operacijama	úkony
operacijama	operace
drina	drina
hepburn	hepburn
ribolov	rybolov
ribolov	rybolovu
ribolov	rybaření
naboj	poplatek
naboj	obvinění
naboj	nálož
naboj	nabít
siva	šedé
siva	gray
siva	šedý
siva	šedivý
siva	šedá
siva	šedá
siva	grey
siva	šedé
siva	greyová
siva	šedý
siva	šedivý
kane	kane
šupljina	dutiny
pokrivaju	krýt
pokrivaju	obal
pokrivaju	krytí
pokrivaju	pokrytí
osmi	osmá
osmi	osmé
osmi	osmý
hamlet	hamlet
bekr	bakr
wimbledon	wimbledon
udata	manželé
udata	vdaná
udata	ženatý
skladištenje	sklad
skladištenje	úložiště
skladištenje	uchovávání
skladištenje	skladování
idejama	nápady
idejama	nápadů
obnovio	obnovené
obnovio	obnovena
ponuda	nabídku
ponuda	nabídnout
ponuda	nabídka
ekspedicija	výprava
ekspedicija	expedice
rumunski	rumunské
dugogodišnji	dlouholetý
tvorac	stvořitel
tvorac	tvůrce
tvorac	stvořiteli
studijama	studium
studijama	studie
budizam	buddhismus
čovječnosti	lidstvo
čovječnosti	lidskost
čovječnosti	lidskosti
potpuna	úplná
potpuna	dokončit
potpuna	dokončeno
potpuna	kompletní
logos	loga
princeton	princetonu
princeton	princeton
izdavačke	nakladatelství
izdavačke	vydavatelství
izdavačke	zveřejňování
izdavačke	publikování
izdavačke	zveřejnění
arheološka	archeologické
levi	levi
mečeva	zápasy
mečeva	shody
mečeva	zápalky
mečeva	odpovídá
brz	rychlé
brz	rychle
brz	rychlá
brz	rychlý
leslie	leslie
uzorak	vzorku
uzorak	vzorek
melbourne	melbourne
vjerskim	náboženský
vjerskim	náboženská
vjerskim	náboženské
govornika	řečníků
odabran	vybrán
odabran	vybraná
odabran	vybráno
odabran	vybrané
odabran	vybraný
izvrši	provést
izvrši	vykonat
izvrši	popravit
izloženi	vystaveno
izloženi	vystaven
izloženi	vystavené
izloženi	nechráněný
basic	základní
wallis	wallis
držala	držené
držala	držen
držala	držel
gómez	gómez
kornjača	turtle
kornjača	želva
kornjača	želví
čeljusti	drápy
jabuke	jablek
jabuke	jablka
jedinstveno	jedinečně
jedinstveno	jedinečný
jedinstveno	unikátní
jedinstveno	jedinečná
jedinstveno	jedinečné
uzimajući	braní
tajno	tajně
tajno	potají
ravnoteža	rovnováhy
ravnoteža	rovnováha
jutro	ráno
jutro	ranní
roosevelt	roosevelt
arg	arg
pokrenuta	spuštěn
pokrenuta	zahájena
pokrenuta	zahájila
deutsche	deutsche
auguste	auguste
roberts	roberts
vista	vista
lociran	umístěné
lociran	umístěno
kontinentalno	vnitrozemí
kontinentalno	vnitrozemských
jednakost	rovnost
advokat	advokát
advokat	právnička
advokat	právník
advokat	advokát
shell	shell
mehanika	mechanika
mehanika	mechaniky
fer	fer
fer	fér
fer	spravedlivý
fer	férové
