залізний	இரும்பு
товариш	தோழர்
відверто	தாக்கியதால்
сортування	கூட்டுத்தொகை
організми	உயிரினங்கள்
десант	தாக்குதல்
більшим	பெரியது
місій	பயணங்கள்
путін	புட்டின்
юридичні	சட்டம்
юридичні	சட்ட
юридичні	சட்டப்பூர்வமான
труси	உள்ளாடைகள்
барбара	பார்பரா
колу	கோக்
копіювання	நகல்
копіювання	நகலெடுத்தல்
подарунок	பரிசு
подарунок	அன்பளிப்பு
подарунок	நடப்பு
подарунок	தற்போதைய
буркіна	புர்க்கினா
продати	விற்க
продати	விற்கவும்
продати	விற்பனை
помічника	உதவியாளர்
стамбул	இஸ்தான்புல்
рівність	சமத்துவம்
захоплено	படையெடுத்து
відчуває	புலன்கள்
прочитати	வாசி
прочитати	படியுங்கள்
прочитати	வாசிக்க
прочитати	படித்த
прочитати	படித்தது
прочитати	படி
мовознавство	மொழியியல்
існуючі	இருக்கும்
електроніка	மின்னணுவியல்
електроніка	எலக்ட்ரானிக்ஸ்
електроніка	எலக்ட்ரானிக்
електроніка	மின்னணு
зімбабве	ஜிம்பாப்வே
перетворити	மாற்று
зварювання	வெல்டிங்
дизайнер	வடிவமைப்பாளர்
дизайнер	டிசைனர்
партнерів	தோழர்கள்
дощів	மழை
цинку	துத்தநாக
комуністи	கம்யூனிஸ்டுகள்
судові	கோர்ட்
судові	நீதிமன்றம்
ленін	லெனின்
говорили	பேசுவதை
говорили	பேசுகிறார்கள்
говорили	பேசிக்கொண்டு
говорили	பேசுகிறேன்
говорили	பேசினார்
говорили	பேசினார்கள்
фрукти	பழ
фрукти	பழம்
фрукти	கனி
фрукти	பழங்கள்
міф	கட்டுக்கதை
здавалося	தோன்றியது
партнер	துணை
партнер	பங்குதாரர்
партнер	கூட்டாளர்
партнер	துணைவர்
дельта	டெல்டா
чудовий	அதிசயமாக
чудовий	அற்புதமான
очікування	காத்துக்
очікування	காத்திருக்கிறோம்
очікування	காத்திருத்தல்
очікування	காத்திருக்கிறேன்
очікування	காத்திருக்கிறது
налаштування	அமைவு
налаштування	அமை
налаштування	அமைப்பு
налаштування	வடிவமைப்பு
налаштування	கட்டமைப்பு
налаштування	முன்னுரிமைகள்
налаштування	விருப்பங்கள்
налаштування	விருப்பத்தேர்வுகள்
налаштування	அமைப்புகள்
налаштування	அமைப்புகளில்
рушій	இயந்திரம்
рушій	பொறி
рушій	என்ஜின்
старші	பழைய
навички	திறமைகள்
навички	திறன்கள்
рядовий	பிரைவேட்
рядовий	pvt
зустрічей	சந்திப்புகள்
зустрічей	சந்திப்புகள்
зустрічей	கூட்டங்கள்
діалог	கேள்வி
діалог	வினவல்
діалог	டயலாக்
діалог	வசனம்
діалог	உரையாடல்
діалог	உரையாடல்
едо	எடோ
порошенко	பொரொசென்கோ
лівих	இடதுசாரிகள்
купити	வாங்குதல்
купити	வாங்கு
купити	வாங்க
купити	வாங்கு
купити	வாங்கவும்
цивільний	சிவில்
потяги	ரயில்கள்
принцеси	இளவரசிகள்
доставки	ஷிப்பிங்
підводного	நீருக்கடியில்
завершується	முடிவடைகிறது
завершується	முடிகிறது
завершується	முடிகிறது
шини	டயர்கள்
шини	பேருந்து
шини	பஸ்
захисники	பாதுகாவலர்
захисники	பாதுகாவலர்கள்
дане	டேன்
житель	குடிமகன்
житель	சிட்டிசன்
демократичний	ஜனநாயக
сирія	சிரியா
індіана	இன்டியானா
боже	ஆண்டவர்
боже	தெய்வமே
боже	கடவுளின்
боже	கடவுள்
боже	தேவன்
боже	அல்லாஹ்
ситуаціях	சந்தர்ப்பங்கள்
зараження	பாதிக்கப்பட்ட
форд	ஃபோர்ட்
фірмі	ஆழமாகப்
юхимович	ரஸ்புடின்
лід	ஈயம்
лід	லீட்
лід	பனி
лід	ஐஸ்
лід	பனிக்கட்டி
демо	டெமோ
прибрати	சுத்தமாக
прибрати	சுத்தமான
прибрати	நீக்குக
прибрати	நீக்கு
палаті	வார்ட்
палаті	வார்டு
нагірно	nagorno
темний	டார்க்
темний	இருள்
темний	இருண்ட
темний	இருட்டு
мусульмани	முஸ்லிம்
мусульмани	முஸ்லீம்
мусульмани	இஸ்லாமியர்கள்
мусульмани	முஸ்லிம்கள்
облога	முற்றுகை
ходів	நகர்வுகள்
ніколас	நிக்கோலஸ்
брами	கேட்ஸ்
баррі	பாரி
лувр	லூவர்
фішер	ஃபிஷர்
фішер	பிஷர்
додаткова	கூடுதலாக
додаткова	கூடுதல்
додаткова	supplementary
припинено	நிறுத்தப்பட்டது
припинено	தடைசெய்யப்பட்ட
припинено	கைவிடப்பட்டது
гарно	அருமை
перекласти	மொழிபெயர்ப்பு
перекласти	மொழிபெயர்க்க
перекласти	முக்கோணம்
корі	கோரி
корі	கோரி
корі	கோரி
трудові	தொழிலாளர்
перемагає	வெற்றி
перемагає	வெற்றிபெறும்
груди	நெஞ்சு
груди	மார்பு
груди	மார்பக
груди	மார்பகம்
груди	நெஞ்சத்தை
чекати	காத்திரு
вченим	மேதை
птаха	பறவை
стадія	நிலையில்
стадія	மேடை
пояснив	விளக்கினார்
автоматична	தானியங்கு
автоматична	தானியங்கி
автоматична	தன்னியக்கம்
автоматична	தன்னியக்கமாக
автоматична	தன்னியக்க
сухі	வறண்டு
сухі	வறண்ட
сухі	உலர்
сухі	உலர்ந்த
сухі	காய்ந்த
поповнення	படைகள்
жива	உயிருடன்
жива	உயிரோடு
фасо	ஃபாசோ
фізично	உடல்ரீதியாக
фізично	உடலும்
дивитися	பார்க்கவும்
дивитися	காணுங்கள்
дивитися	காணவும்
дивитися	கைக்கடிகாரம்
дивитися	கவனி
дивитися	பார்த்து
дивитися	பார்க்கிறேன்
дивитися	பார்த்துக்
дивитися	காண்கிறார்
ставлять	இனம்
ставлять	இனப்பெருக்கம்
таємниця	மர்மம்
таємниця	புதிர்
таємниця	இரகசியம்
таємниця	ரகசிய
таємниця	ரகசியம்
таємниця	சீக்ரெட்
таємниця	ரகசியம்
творців	படைப்பாளிகள்
застосувати	பொருந்தும்
застосувати	செயலாக்கு
застосувати	பயன்படுத்து
печер	குகைகள்
коротко	சுருக்கமான
вагон	வேகன்
тяжко	கடினமாக
тяжко	கடின
тяжко	கடினமான
тяжко	கடினம்
тяжко	நர்சிங்
потрібний	பாப்ஸ்
ректора	rector
молодша	இளைய
куб	கியூப்
напали	தாக்கிய
універсальний	ஒருங்கிணைக்கப்பட்ட
подивитися	பார்
подивитися	பார்க்க
подивитися	காண்கிறேன்
подивитися	பார்க்கவும்
подивитися	காணுங்கள்
подивитися	காணவும்
подивитися	கைக்கடிகாரம்
подивитися	கவனி
подивитися	பார்
подивитися	தோற்றம்
очікується	எதிர்ப்பார்த்த
очікується	எதிர்பார்த்த
очікується	எதிர்பார்க்கப்படுகிறது
очікується	நிலுவையில்
очікується	நிலுவை
матвій	மத்தேயு
членство	உறுப்பினர்
оригінальне	மூலம்
оригінальне	மூல
оригінальне	மெய்யான
оригінальне	ஒரிஜினல்
оригінальне	அசல்
звернутися	ஆலோசனை
повітряна	வான்வழி
повітряна	ஏரியல்
повітряна	ஏர்
ірак	ஈராக்
гомер	ஹோமர்
степ	steppe
тінь	நிழல்
тінь	நிழலை
переглянути	உலாவுதல்
переглянути	மதிப்பாய்வு
переглянути	மதிப்புரை
переглянути	கண்ணோட்டம்
переглянути	பார்
переглянути	பார்க்க
переглянути	காண்கிறேன்
переглянути	பார்வை
переглянути	காட்சி
переглянути	காட்டு
антологія	anthology
інтенсивність	உக்கிர
інтенсивність	செறிவு
інтенсивність	பலம்
інтенсивність	வலிமை
поклав	டெபாசிட்
християни	கிறிஸ்துவ
християни	கிறித்தவர்
паша	பாஷா
викрадення	கடத்தல்
простіше	எளிதானது
олівер	ஆலிவர்
фундамент	அறக்கட்டளை
фундамент	பவுண்டேஷன்
фундамент	அடித்தளம்
окреме	தனி
окреме	பிரிக்கவும்
оподаткування	வரிவிதிப்பு
ходити	நடந்து
ходити	நடத்தல்
ходити	நடக்கிறார்
ходити	வாக்கிங்
ходити	நடைப்பயிற்சி
заборонені	தடுக்கப்பட்டு
хоккайдо	ஹொக்கைடோ
волтер	வால்டர்
ключі	விசைகள்
ключі	சாவிகள்
землеробство	வேளாண்மை
землеробство	விவசாய
землеробство	விவசாயம்
землеробство	விவசாயத்திற்கு
бак	பக்
бак	bak
бак	bac
самка	பெண்
таблиць	அட்டவணைகள்
гарольд	ஹரோல்ட்
скрізь	எங்கும்
приєднатися	சேர்
приєднатися	இணை
приєднатися	சேர
приєднатися	இணைந்து
платон	பிளேட்டோ
чия	யாருடைய
чия	யாருடையது
грудей	மார்பக
грудей	மார்பகம்
грудей	நெஞ்சத்தை
сенатор	செனட்டர்
глибокий	ஆழமான
глибокий	ஆழ்ந்த
глибокий	ஆழமானது
глибокий	ஆழமாக
просте	சாதாரணம்
просте	சுலபமான
просте	எளிமையானது
просте	எளிய
хутро	ஃபர்
чеської	செக்
дано	கொடுத்த
дано	கொடுக்கப்பட்ட
посадку	இறங்கும்
скандал	ஊழல்
скандал	விவகாரம்
арабські	அரபு
арабські	அரபி
астронавти	விண்கலத்தில்
патент	காப்புரிமை
супер	சுப்பர்
супер	super
супер	சூப்பர்
супер	மேன்மையான
їсти	உண்ணுதல்
їсти	உண்பது
їсти	சாப்பிட
їсти	உண்
відправлення	புறப்பாடு
відправлення	புறப்படும்
зручності	வசதிக்காக
прихід	வரவு
чверть	கால்
чверть	காலாண்டு
протест	போராட்டம்
інтенсивно	அடர்த்தியாக
меню	மெனு
меню	பட்டி
брюссель	பிரசல்ஸ்
забезпечувати	adequately
яйце	முட்டை
боснія	பாஸ்னியா
турецькі	துருக்கிய
турецькі	துருக்கி
побачила	பார்த்தார்
побачила	பார்த்தேன்
складна	கடினமாக
складна	கடின
складна	கடினமான
складна	கடினம்
владимир	விளாடிமிர்
сир	சீஸ்
трилер	திரில்லர்
путіна	புட்டின்
сніг	பனி
мануель	மானுவல்
дейв	டேவ்
візит	விஜயம்
візит	வருகை
візит	பார்க்கவும்
чинний	செல்லுபடியாகும்
чинний	செல்லாத
чинний	முறையான
чинний	validity
чинний	முறையான
напої	குடிக்க
напої	குடி
напої	பானம்
напої	பானங்கள்
напої	பானங்கள்
куль	தோட்டாக்கள்
співає	பாடுகிறார்
співає	பாடும்
співає	பாடுகிறார்
альфонсо	அல்போன்சோ
альфонсо	அல்போன்சா
класичні	பழமையான
класичні	தொன்மையான
класичні	கிளாசிக்
картах	வரைபடம்
картах	வரைபடங்கள்
грант	கிரான்ட்
співав	சங்
співав	பாடினார்
фінансова	பொருளாதாரம்
жук	வண்டு
надані	அளித்து
надані	வழங்கப்படும்
надані	வழங்கிய
надані	வழங்கப்பட்ட
ведмідь	கரடி
сьомий	ஏழாம்
протока	நீரிணை
імператриця	பேரழகி
контролює	கட்டுப்பாடுகள்
ісландія	ஐஸ்லாந்து
компаніями	வணிகங்கள்
компаніями	நிறுவனங்கள்
логічно	logically
вдова	விதவை
кан	காங்
кан	காங்க்
кан	kan
ботаніка	தாவரவியல்
фрази	வாக்கியங்கள்
символіка	symbolism
суха	வறண்டு
суха	வறண்ட
суха	உலர்
суха	உலர்ந்த
суха	காய்ந்த
нормандії	normandie
гая	கையா
негативний	எதிர்மறை
негативний	கெட்டது
вказівки	வழிகாட்டல்
вказівки	நேர்
вказівки	நேர்வழி
вказівки	வழிகாட்டுதல்கள்
вказівки	வழிமுறைகள்
вказівки	அறிவுரைகள்
вказівки	ஆணைகள்
здобич	இரை
благодійний	தொண்டு
цезар	சீசர்
теннессі	டென்னிசி
ханство	khanate
інна	இந்ந
боббі	பாபி
організовані	ஏற்பாடு
номера	எண்ணி
номера	எண்
номера	எண்ணை
анголи	அங்கோலா
приймав	பணியாளர்
вінсент	வின்சென்ட்
нікола	நிக்கோலா
нікола	nikola
традиційне	பாரம்பரிய
традиційне	பாரம்பரியம்
підземний	நிலத்தடி
голосувати	வாக்கு
юра	ஜூரா
домашній	முகப்பு
домашній	இல்ல
домашній	வீடு
домашній	வீட்டில்
різноманіття	வேற்றுமை
кримінальний	கிரிமினல்
кримінальний	குற்றவியல்
запиту	கேள்வி
запиту	வினவல்
соціальне	சமூகங்கள்
соціальне	சோஷியல்
соціальне	சமூகம்
соціальне	சமூக
буддизм	பௌத்தம்
описати	விவரிக்க
описати	அலசி
готовність	தயாராக
готовність	தயார்
готовність	பிறப்பித்தது
узбекистан	உஸ்பெக்கிஸ்தான்
черепа	மண்டை
геометрія	வடிவியல்
геометрія	வடிவவியல்
учасникам	பங்கேற்பாளர்கள்
християнська	கிறிஸ்துவ
християнська	கிறித்தவர்
справжня	ரியல்
справжня	உண்மையான
справжня	நிஜம்
ледве	அதிகமாக
шум	சத்தம்
шум	இரைச்சல்
віа	வழியாக
віа	மூலமாக
релігій	மதங்கள்
конвенція	மாநாடு
конвенція	கருத்தரங்கம்
архіпелаг	தீவுக்கூட்டம்
прорив	திருப்புமுனை
маркетинг	சந்தைப்படுத்துதல்
маркетинг	மார்க்கெட்டிங்
маркетинг	விற்பனை
маркетинг	சந்தைப்படுத்தல்
джоан	ஜோன்
джекі	ஜாக்கி
інвестиції	முதலீடுகள்
інвестиції	முதலீடு
альберто	ஆல்பர்டோ
футів	பாதங்கள்
футів	அடி
футів	பாதம்
футів	பாதங்களை
футів	கால்களும்
складів	அசைகள்
рекорди	பதிவுகள்
рекорди	சாதனைகள்
нести	சுமந்து
їжа	உணவு
їжа	சாப்பாடு
християнський	கிறிஸ்துவ
християнський	கிறித்தவர்
чеська	செக்
показані	காட்டப்படும்
показані	காட்டப்பட்டது
показані	காட்டப்பட்ட
думав	சிந்தனை
думав	நினைத்தேன்
думав	எண்ணம்
думав	நினைத்ததை
громадське	பொதுவானது
громадське	பொதுவான
громадське	பொது
гарний	கம்பீரம்
перевал	பாஸ்
перевал	pass
білок	புரதம்
юнацтва	இளமை
юнацтва	யூத்
юнацтва	இளைஞர்கள்
юнацтва	இளைஞர்
юнацтва	இளைஞர்களின்
злочинців	குற்றவாளிகள்
вопросы	வினாக்கள்
вопросы	கேள்விகள்
рідина	திரவம்
рідина	திரவ
рідина	திரவம்
натхнення	தூண்டல்
натхнення	உத்வேகம்
репутацію	புகழை
чимось	ஏதாவது
чимось	எதாவது
чимось	ஏதோ
чимось	எதையோ
джеррі	ஜெர்ரி
знімати	படப்பிடிப்பு
випадкових	குறிப்பிலா
випадкових	நிலையில்லாத
випадкових	ஒழுங்கற்ற
випадкових	சீரற்ற
персональний	சொந்தமான
персональний	சொந்த
персональний	தனிப்பட்ட
персональний	தனிப்பட்டது
землетрус	நிலநடுக்கம்
богу	ஆண்டவர்
богу	தெய்வமே
богу	கடவுளின்
богу	கடவுள்
богу	தேவன்
богу	அல்லாஹ்
невідоме	தெரியாதவர்
невідоме	தெரியாத
невідоме	தெரியாதது
регулярний	வழக்கமானது
регулярний	வழக்கம்
регулярний	வழக்கமான
покращити	மேம்பட
робітника	பணியாளர்
мюллер	முல்லர்
мюллер	முல்லர்
рой	ராய்
клієнта	வாடிக்கையாளரின்
клієнта	வாடிக்கையாளர்
клієнта	உறுப்பினர்
клієнта	கிளையன்ட்
допомогли	உதவியது
чесно	நேர்மையாக
запах	செண்ட்
запах	சென்ட்
запах	நாற்றம்
запах	வாசனை
запах	மணம்
гострий	கூர்மை
гострий	கூர்மையான
деніел	டேனியல்
деніел	டானியல்
циклів	சுழல்கள்
робін	ராபின்
закрити	மூடு
закрити	மூடவும்
експерт	நிபுணர்கள்
експерт	வல்லுநர்
експерт	வல்லுனர்
експерт	நிபுணர்
голуб	புறா
маркус	மார்க்கஸ்
маркус	மார்கஸ்
монгольська	மங்கோலிய
брюсселі	பிரசல்ஸ்
пальці	விரல்கள்
пальці	விரல்களால்
пальці	விரல்களை
явка	அட்டை
плита	தட்டில்
плита	தட்டு
плита	அடுப்பு
ініціатива	முனைப்பு
саундтрек	ஒலிப்பதிவு
робот	தானியங்கி
робот	ரோபாட்
робот	ரோபோ
визначати	வரையறுக்க
ігорович	கிவா
переробити	மீளுருவாக்க
цифра	இலக்க
фред	பிரெட்
зворотний	reverse
вузькі	குறுகலான
професорів	பேராசிரியர்கள்
лоуренс	லாரன்ஸ்
дощ	மழை
навігації	உலாவல்
балет	ballet
балет	பாலே
розпізнавання	உரிமம்
розпізнавання	அணுகல்
джин	ஜின்
джин	ஜீன்
джин	மரபணு
ліжок	படுக்கைகள்
оману	ஓமன்
маямі	மியாமி
плакат	சுவரொட்டி
плакат	போஸ்டர்
увійти	புகுபதிகை
увійти	உள்நுழைவு
увійти	நுழை
увійти	உள்ளிடு
увійти	நுழைந்து
увійти	உள்ளிடவும்
залишилось	மீதம்
залишилось	மீதமுள்ள
плату	கட்டணம்
ранок	காலை
аллен	ஆலன்
аллен	அலன்
презентації	முன்வைப்பு
отруєння	poisoning
вайт	ஒயிட்
вайт	வெள்ளை
овочі	காய்கறி
овочі	காய்கறிகள்
неаполь	நாபொலி
ахмед	அகமது
ахмед	அஹ்மத்
пагорб	குன்று
пагорб	ஹில்
горіння	combustion
рейси	விமானங்கள்
бін	பீன்
бін	மொச்சை
корону	கிரீடம்
росс	ரோஸ்
росс	ராஸ்
реалізм	நிஜம்
темна	டார்க்
темна	இருள்
темна	இருண்ட
темна	இருட்டு
ернест	எர்னஸ்ட்
певне	குறிப்பான
певне	குறிப்பிட்ட
канзас	கன்சாஸ்
ринків	சந்தைகள்
майбутні	பின்வருவன
майбутні	எதிர்வரும்
майбутні	இனிவரும்
майбутні	வரவிருக்கும்
майбутні	வரப்போகும்
подорожей	டிராவல்ஸ்
подорожей	பயணங்களை
подорожей	பயணங்கள்
леві	லேவி
леві	லெவி
заповнення	நிரப்பல்
заповнення	நிரப்புதல்
заповнення	நிரப்பும்
заповнення	நிரப்பு
заповнення	நிரப்ப
допоможе	உதவுகிறது
русла	கடுமையான
кваліфікація	தகுதி
лініями	வரிகள்
лініями	கோடுகள்
нікарагуа	நிக்கராகுவா
відвідати	வருகை
митець	கலைஞர்
митець	கலைஞன்
митець	ஓவியர்
алея	மால்
змінної	மாறி
змінної	மாறிகள்
космонавт	astronaut
вогні	விளக்கும்
вогні	விளக்குகள்
вогні	விளக்கு
напій	குடிக்க
напій	குடி
напій	பானம்
сумніву	ஐயம்
сумніву	சந்தேகம்
сумніву	doubt
далекий	தொலைவில்
далекий	இதுவரை
александер	அலெக்சாண்டர்
мінор	சிறு
мінор	மைனர்
колегія	collegium
кілометри	kilometres
кілометри	கிலோமீட்டர்கள்
кілометри	கிலோமீட்டர்
оплати	கட்டணம்
джонатан	ஜொனாதன்
конкакаф	concacaf
безвісти	மியா
ном	நோம்
товар	தயாரிப்பை
товар	தயாரிப்பு
товар	தயாரிப்பைப்
товар	பொருள்
невже	உண்மையில்
невже	உண்மையிலே
гострі	கூர்மை
гострі	கூர்மையான
франсіско	பிரான்சிஸ்கோ
видала	வெளியிட்டார்
забрали	எடுத்த
оае	uae
відповідали	பொருந்திய
проїзд	சவாரி
хотіла	தேவை
математична	கணிதம்
факто	facto
живим	உயிருடன்
живим	உயிரோடு
бабуся	பாட்டி
бабуся	பாட்டியின்
бабуся	பாட்டியை
бабуся	பாட்டி
кішки	பூனைகள்
кішки	கேட்ஸ்
катастрофа	பேரழிவு
катастрофа	பேரிடர்
ідеологія	கருத்தியல்
ідеологія	சித்தாந்தம்
різноманітність	வேற்றுமை
різноманітність	பல்வேறு
тонкий	மெல்லிய
христина	கிறிஸ்டினா
христина	கிறிஸ்டின்
крісті	கிறிஸ்டி
крісті	கிறிஸ்டி
крісті	கிரிஸ்டி
крісті	கிறிஸ்டி
анти	anti
бал	பந்து
ралі	ஊர்வலம்
ралі	பேரணி
темп	டெம்போ
дружині	மனைவியின்
дружині	மனைவியை
дружині	மனைவிக்கும்
дружині	மனைவி
пережив	பிழைத்து
переїхали	நகர்த்தப்பட்டது
переїхали	நகர்த்த
переїхали	நகர்ந்து
бізнесмен	தொழிலதிபர்
верде	வர்டி
підкорення	கைப்பற்ற
заєць	ஹரே
цвіте	மலர
акцент	உச்சரிப்பில்
жертва	தியாகத்தை
жертва	தியாகம்
жертва	பாதிக்கப்பட்டவர்
жертва	பாதிக்கப்பட்ட
туркменістану	துர்க்மெனிஸ்தான்
анімаційний	அனிமேஷன்
надруковано	அச்சடிக்கப்பட்ட
назовні	அவுட்
назовні	வெளியில்
назовні	வெளியே
креслення	சதி
креслення	சூழ்ச்சி
креслення	கோலங்கள்
креслення	வரைதல்
японці	ஜப்பானிய
заслужена	உரித்தான
націоналізм	தேசியம்
лівану	லெபனான்
моніторинг	கண்காணிப்பு
ангел	ஏஞ்சல்
ангел	தேவதை
ангел	தேவதையே
організатори	ஏற்பாட்டாளர்கள்
юнайтед	யுனைடெட்
юнайтед	ஐக்கிய
юнайтед	united
юнайтед	ஐக்கியம்
клітинах	சிசு
прокурор	வழக்கறிஞரை
кроків	படிகள்
кроків	அடிகள்
данте	டான்டே
снаряд	ஆயுதம்
снаряд	எறியம்
біблія	பைபிள்
біблія	பைபிளில்
поттер	பாட்டர்
гамільтон	ஹாமில்டன்
масиві	வரிசைகள்
старіння	ageing
обговорювати	விவாதிக்க
подавати	emit
юань	யுவான்
ресурсу	வள
ресурсу	வளம்
рейс	விமானம்
круглий	வட்ட
круглий	சுற்றறிக்கை
знайомство	சந்திக்கும்
знайомство	சந்திப்பு
знайомство	சந்தித்தனர்
киргизстану	கிர்கிஸ்தான்
ніколя	நிக்கோலஸ்
типова	முன்னிருப்பு
типова	இயல்பிருப்பு
типова	முன்னிருந்த
типова	இயல்புநிலை
дракон	டிராகன்
звірі	மிருகங்கள்
звірі	விலங்குகள்
просив	கேட்டேன்
просив	கேட்கப்பட்டது
просив	கேட்டார்
просив	கேட்டாள்
ногу	காலில்
ногу	கால்
фінська	பின்னிஷ்
уважно	கவனமாக
сек	விநாடிகள்
сек	நொடிகள்
сек	வினாடிகள்
сек	நொடி
сек	நொடிகள்
пляж	கடற்கரை
базова	தளம்
базова	பேஸ்
базова	அடிப்படை
заплановано	திட்டமிடப்பட்டது
заплановано	திட்டமிட்டு
перешкоди	தடைகள்
яскраві	பிரகாசமான
яскраві	பிரகாசமாக
кімнат	அறைகள்
прохід	அறிவதற்கான
кук	குக்
кук	cooke
розрахунки	calculation
розрахунки	கணக்கீடுகள்
канадська	கனடிய
канадська	கனேடிய
інтернат	அனாதை
ньюкасл	newcastle
домашня	உள்நாட்டு
піт	பீடி
піт	பீட்
піт	பியட்
канцлер	வேந்தர்
даллас	டல்லாஸ்
оболонка	ஓடு
оболонка	தோல்
розмовляють	பேசுங்கள்
розмовляють	பேச
розмовляють	பேசு
розмовляють	பேசவும்
мусить	வேண்டியது
рекламу	விளம்பரம்
рекламу	விளம்பரங்கள்
рекламу	வர்த்தகம்
кароль	கரோல்
дзвони	பெல்ஸ்
ємність	கொண்மம்
телескопа	தொலைநோக்கி
готова	தயாராக
готова	தயார்
скрипка	வயலின்
складати	உயர்த்த
ключа	டோக்கன்
тех	tech
мінімальна	குறைந்தபட்சம்
мінімальна	குறைந்தபட்ச
викладати	கற்பித்தல்
викладати	போதனை
викладати	கற்பிக்கும்
пейдж	பக்கத்தை
пейдж	பக்கம்
пейдж	பக்கத்தைப்
пейдж	பக்கத்தில்
юність	இளமை
юність	யூத்
юність	இளைஞர்கள்
юність	இளைஞர்
юність	இளைஞர்களின்
джеффрі	ஜெப்ரி
джеффрі	ஜெஃப்ரி
втрату	இழப்பு
сонячний	சன்னி
сонячний	வெயில்
сонячний	வெய்யில்
сонячний	சோலார்
сонячний	சூரிய
протоколи	நெறிகள்
виді	இனங்கள்
гонок	இன
єрусалим	எருசலேம்
приїхали	வந்தது
домогтися	சாதிக்க
стамбулі	இஸ்தான்புல்
залізна	இரும்பு
бернард	பெர்னார்ட்
ногами	பாதங்கள்
ногами	அடி
ногами	பாதம்
ногами	பாதங்களை
ногами	கால்களும்
нормальний	இயல்பான
нормальний	சாதாரணம்
нормальний	இயல்பு
нормальний	இயல்பாக
нормальний	சாதாரண
відмінностей	வேறுபாடுகள்
вибачте	மன்னிக்கவும்
вибачте	வருந்துகிறேன்
пацієнта	நோயாளி
атлантичний	அட்லாண்டிக்
нестор	நெஸ்டர்
береза	பீச்
береза	பிர்ச்
судан	சூடான்
картер	கார்டர்
картер	கார்ட்டர்
ніка	நைக்
базар	பஜார்
грам	கிராம்
лілія	லில்லி
вантажу	பேலோட்
гуго	ஹுகோ
гуго	ஹியூக்
піраміда	பிரமிட்
скарб	புதையல்
скарб	பொக்கிஷம்
незначна	சிறு
незначна	மைனர்
щелепи	தாடை
саймон	சைமன்
григор	கிரிகோர்
кенії	கென்யா
маска	முகமூடி
лауреатів	laureates
зазначені	குறிப்பிடப்பட்டுள்ளது
зазначені	குறிப்பிடவில்லை
зазначені	குறிப்பிட்ட
зазначені	குறிப்பிடப்பட்டது
режими	வகைகள்
прихильник	ரசிகன்
прихильник	ரசிகர்
прихильник	விசிறி
морган	மோர்கன்
бота	போத்தா
маркс	மார்க்ஸ்
відокремлення	பிரிவினையை
відокремлення	பிரித்தல்
