paquets	csomagok
traspàs	átvitel
traspàs	áthelyezés
traspàs	transzfer
traspàs	átadás
compartit	közös
compartit	osztott
compartit	megosztotta
compartit	megosztott
compartit	megosztva
pero	pero
desapareguda	hiányzik
desapareguda	eltűnt
desapareguda	hiányzó
butlletí	hírlevél
hercegovina	hercegovina
groenlàndia	grönlandi
groenlàndia	grönland
maquinari	hardver
oceania	óceánia
studio	studio
studio	stúdió
nadiu	bennszülött
nadiu	őslakos
nadiu	őshonos
nadiu	bennszülöttek
shadow	árnyékok
shadow	árny
shadow	árnyék
indo	indo
aixeca	felvonók
aixeca	felvonó
zoologia	zoológia
efectius	katonák
efectius	csapatok
toro	toro
campanes	harang
campanes	harangok
extraordinària	rendkívüli
basar	bazár
vuitè	nyolcadik
ron	ron
ron	ront
migració	áttérés
migració	átállás
migració	bevándorlás
migració	migráció
antropologia	antropológia
princeton	princeton
baptiste	baptiste
carro	szekér
carro	kosár
carro	kocsit
estatuts	alapszabály
contínuament	folyamatosan
assignat	hozzárendelve
assignat	kijelölt
solana	solana
solana	napsütés
solana	napsugár
solana	napfény
precisa	pontos
turner	turner
palaus	paloták
mesopotàmia	mezopotámia
pradesh	prades
vestuari	szekrény
vestuari	jelmez
vestuari	jelmezek
renúncia	lemondását
renúncia	lemondás
caigut	bukott
caigut	elesett
disset	seventeen
disset	tizenhét
controlada	ellenőrzött
circumferència	kör
circumferència	kört
circumferència	kerület
circumferència	kerülete
epidèmia	járványok
epidèmia	járvány
transversal	keresztirányú
divulgació	közzététel
salvatges	vademberek
salvatges	vadak
salvatges	barbárok
naturalista	természettudós
moderat	közepes
moderat	mérsékelt
moderat	mérséklődött
moros	mórok
abolició	eltörlése
guillaume	guillaume
visitant	látogatói
visitant	látogató
visitant	látogató
visitant	látogatás
visitant	látogatóban
dolç	édesek
dolç	édes
larry	larry
patent	szabadalmi
patent	szabadalom
twitter	twitter
wayne	wayne
cerimònies	szertartások
escates	mérleg
vocabulari	szótár
vocabulari	szókincse
pila	kupac
pila	halom
pila	stack
dick	fasz
dick	dick
dick	farok
prior	hírnök
prior	előzetes
edimburg	edinburgh
motocicletes	motorkerékpár
motocicletes	motorok
arsenal	arsenal
transformacions	átalakulások
desapareix	eltűnik
acusació	vád
delictes	bűncselekmények
delictes	bűnök
afirmació	megerősítés
ortiz	ortiz
avenç	áttörés
cia	cia
cia	cia
pink	pink
pink	rózsaszín
pink	rózsaszínű
iglesias	iglesias
dave	dave
ventre	méh
hannover	hanover
submarí	tengeralattjáró
llibertats	szabadságjogok
llibertats	szabadságok
servidors	szerverek
excepcions	kivételek
excepcions	kivétel
jamaica	jamaica
letó	lett
evolucionar	fejlődni
generat	keletkező
generat	generált
generat	keletkezett
sals	sói
ken	ken
ken	kene
observador	megfigyelő
observador	megfigyelői
observador	megfigyelők
tiberi	tiberius
fotogràfica	fényképészeti
controlat	ellenőrzött
quintana	quintana
valoració	értékelés
valoració	értékelési
dany	dany
interaccions	kölcsönhatások
interaccions	kölcsönhatás
pesant	heavy
pesant	súlyos
pesant	nehéz
atlanta	atlanta
atlanta	atlantában
atlanta	atlantai
substitueix	helyettesíteni
recomana	ajánlani
recomana	ajánlom
recomana	ajánlja
recomana	ajánljuk
recomana	ajánl
recomana	ajánlja
houston	houston
houston	houstonban
singapur	szingapúr
deure	kötelesség
deure	vám
aprenent	tanítvány
aprenent	gyakornok
rubí	rubin
rubí	ruby
northern	észak
northern	északi
sul	sul
fritz	fritz
marxista	marxista
edgar	edgar
fallida	csőd
pietat	irgalom
pietat	kegyelem
pietat	mercy
phil	phil
andreas	andreas
somme	somme
joies	ékszereket
joies	ékszerek
antecedents	háttér
antecedents	háttere
antecedents	háttérben
ryan	ryan
versalles	versailles
pica	pike
pica	pica
qualificació	besorolás
qualificació	minősítés
qualificació	minősítési
búlgar	bolgár
deutsche	deutsche
albacete	albacete
repúbliques	köztársaságok
susan	susant
susan	susan
convidats	vendég
convidats	vendégek
bàrbara	barbara
infern	pokol
infern	pokol
revolucionaris	forradalmárok
lost	vesztett
lost	elveszett
lost	lost
mini	mini
filòsofs	filozófusok
rosario	rosario
buits	hiányosságok
salvat	megmentette
salvat	mentve
salvat	mentett
permanents	állandó
permanents	végleges
permanents	tartós
permanents	maradandó
modest	szerény
segments	szegmensek
nikolai	nikolai
nikolai	nyikolaj
marcos	marcos
gestionar	kezelése
amplitud	amplitúdó
especialitzats	szakosodott
especialitzats	szakosított
geologia	geológia
avaluar	értékelje
avaluar	értékeli
banca	pad
banca	padon
llars	háztartás
llars	háztartások
gall	kakas
desnivell	lejtő
aristocràcia	arisztokrácia
piscina	medence
piscina	biliárd
atles	atlas
allegro	allegro
clars	világos
clars	tiszta
acusats	vádlottak
nuevo	nuevo
artesans	kézműves
suplent	alternatív
participacions	részvények
participacions	részvény
participacions	részesedés
marató	maraton
ànimes	lelkek
ànimes	lelkünk
ànimes	lelkeket
ànimes	lelkük
cec	vakon
cec	vak
cec	vakok
secretària	titkárnő
secretària	titkár
feliç	boldogság
feliç	boldog
exiliats	száműzöttek
distribuïts	elosztva
distribuïts	elosztott
distribuïts	osztott
marino	marino
madame	asszonyom
emigració	kivándorlás
multimèdia	multimédiás
creades	létrehozott
creades	létrehozva
creades	teremtett
fosfat	foszfát
ipa	ipa
enclavament	enklávé
ferrara	ferrara
mag	mágus
mag	varázsló
mag	bűvész
mag	mag
act	aktus
act	felvonás
autobusos	autóbusz
autobusos	buszok
ovelles	bárány
ovelles	juh
ovelles	birkák
ovelles	juhok
ovelles	birka
confirma	megerősítés
confirma	megerősítése
confirma	megerősíteni
confirma	megerősítve
mariner	tengerész
mariner	matróz
mariner	hajós
adjacent	szomszédos
matilde	matilda
gloria	gloria
logotip	logó
infinit	végtelen
infinit	végtelen
jason	jason
guerrer	harcos
römer	römer
revestiment	bevonat
comandants	parancsnokok
perfecta	tökéletes
charlotte	charlotte
actualització	frissítés
actualització	frissítése
rectes	egyenesen
rectes	egyenes
cromosoma	kromoszóma
diccionaris	szótár
diccionaris	szótárak
coca	kóla
coca	kokó
coca	coca
inundacions	árvíz
sanz	sanz
salts	búvárkodás
salts	búvár
salts	merülés
salts	ugrik
gregorio	gregorio
zur	zur
milícia	milícia
helen	helen
sergent	őrmester
ambulància	mentő
ambulància	mentők
peña	pena
excavació	ásatás
barons	bárók
kosovo	koszovó
kosovo	koszovói
emès	kibocsátott
emès	kiadott
emès	kiadva
gots	gótok
vaca	tehenet
vaca	tehén
econòmicament	gazdaságilag
sebastián	sebastian
ciment	cement
cadira	széket
cadira	szék
transbordador	komp
transbordador	komppal
làser	lézer
claudio	claudio
apòstol	apostol
coloració	színező
progressiva	fokozatos
progressiva	haladó
progressiva	progresszív
quaderns	notebook
adhesió	tagság
adhesió	tagsági
fum	füst
niu	fészket
niu	fészek
consolat	konzulátus
masters	masters
masters	mesterek
wallace	wallace
amos	amos
amos	masters
amos	mesterek
pretendent	kérő
pretendent	udvarló
peó	gyalog
dotzena	tizenkettedik
dotzena	twelfth
significatius	jelentős
significatius	szignifikáns
mon	mon
erosió	erózió
verona	verona
sabor	íz
sabor	aroma
sabor	íz
civilitzacions	civilizációk
hugh	hugh
lara	lara
butaca	karosszék
simpson	simpson
implementació	végrehajtás
implementació	végrehajtására
implementació	megvalósítás
guido	guido
robinson	robinson
cabells	haj
cabells	szőr
bemoll	lapos
bemoll	lakás
bemoll	sík
arturo	arturo
divuit	tizennyolc
acabats	befejezi
bobby	bobby
consonant	mássalhangzó
revelació	jelenések
estrasburg	strasbourgban
estrasburg	strasbourgi
estrasburg	strasbourg
hort	gyümölcsös
horda	horda
ibáñez	ibáñez
ajuntaments	önkormányzatok
ajuntaments	települések
adolfo	adolfo
budisme	buddhizmus
cretaci	kréta
volant	repül
volant	repülés
volant	repülő
sostingut	sharp
sostingut	éles
sostingut	tartós
bakr	bakr
oceans	óceánok
consorci	konzorcium
otan	nato
honda	honda
pastures	legelő
pastures	legelők
empat	nyakkendő
empat	döntetlen
desena	tizedik
aguda	akut
compatible	kompatibilis
compatible	összeegyeztethető
pastors	juhász
pastors	pásztorok
telecomunicacions	távközlés
telecomunicacions	távközlési
precursor	prekurzor
morris	morris
side	oldalra
side	oldalam
side	side
consentiment	hozzájárulás
consentiment	beleegyezése
pàdua	padua
charente	charente
paradís	paradicsom
paradís	mennyország
paradís	paradise
caserna	barakk
múltiple	többszörös
múltiple	többszörösen
laos	laosz
kara	kara
llegendari	legendás
adaptada	átalakított
cristall	kristályos
cristall	crystal
cristall	kristály
duo	duó
musa	múzsa
transparent	áttetsző
transparent	átlátszó
transparent	átlátható
olimpíada	olimpia
acusacions	vádak
auguste	auguste
potassi	kálium
espiral	spirál
feminista	feminista
einstein	einstein
bitllets	jegyek
bitllets	jegyeket
bitllets	jegy
companya	társ
companya	társa
warren	warren
forçat	kényszer
forçat	kényszerített
forçat	erőltetett
quars	kvarc
quentin	quentin
garantia	garancia
garantia	garancia
garantia	kezesség
garantia	biztosíték
eficient	hatékony
eficient	hatékonyan
eficient	eredményes
trilogia	trilógia
tonalitat	árnyalat
destacable	figyelemreméltó
electrodomèstics	berendezések
electrodomèstics	készülék
electrodomèstics	készülékek
forjat	hamisított
palerm	palermo
mòduls	modulok
sorprenent	meglepő
arrebossat	ütő
nenes	csajok
nenes	lányok
xbox	xbox
llenç	vászon
operatius	operatív
atòmica	atom
exiliat	száműzték
exiliat	száműzött
compliment	megfelelés
compliment	megfelelőség
compliment	megfeleltetés
vladimir	vlagyimir
vladimir	vladimir
adolescent	tinédzser
adolescent	tizenéves
adolescent	tini
mònaco	monaco
estalvis	megtakarítás
estalvis	megtakarítások
vie	vie
erik	erik
firma	aláírás
diversa	sokszínű
balcans	balkáni
balcans	balkán
conversa	társalgás
conversa	beszélgetés
conversa	beszélgetést
somnis	álmokat
somnis	álmok
somnis	álom
müller	müller
palmas	palmas
castilla	castilla
yusuf	yusuf
bari	bárium
bari	bari
estratègies	stratégiák
heidelberg	heidelberg
concedida	nyújtott
homo	homo
homo	buzi
homo	homokos
margarita	margarita
minories	kisebbségek
esprint	sprint
visigots	vizigótok
conducció	vezet
conducció	vezetés
conducció	vezetési
xocolata	csoki
xocolata	csokoládé
disposicions	rendelkezések
disposicions	rendelkezés
rèptils	hüllők
acompanya	kíséri
edita	edit
edita	módosítás
edita	szerkesztés
edita	szerkesztése
decoratius	dekoratív
vacant	üresedés
vacant	betöltetlen
quintet	kvintett
descripcions	leírások
disminueix	csökken
bossa	táska
bossa	zacskó
bossa	táskát
bossa	zsák
stark	stark
processador	feldolgozó
nan	nan
württemberg	württemberg
capitalisme	kapitalizmus
delegats	küldöttek
ambientals	környezetvédelmi
ambientals	környezet
ambientals	környezeti
springs	springs
springs	rugó
hispano	hispano
yuan	yuan
begudes	italok
begudes	italok
begudes	italt
begudes	iszik
begudes	ital
challenge	kihívás
cilindres	palackok
cilindres	henger
amants	szeretők
amants	szerelmesek
hàbit	szokás
afer	viszony
afer	viszonya
argila	agyag
argila	clay
tunis	tunisz
gremi	céh
dallas	dallasban
dallas	dallasi
dallas	dallas
criminals	bűnözők
criminals	bűnözőknek
immediat	azonnali
viatgers	utazók
patinatge	korcsolyázni
dennis	dennis
reims	reims
etimologia	etimológia
rotterdam	rotterdam
panteó	pantheon
bàltic	balti
ronald	ronald
fórmules	képletek
fórmules	képletek
antàrtida	antarktisz
intèrprets	tolmácsok
intèrprets	előadók
pioners	úttörők
fossa	fossa
eddie	eddie
calent	forró
calent	hot
calent	meleg
calent	dögös
bateries	telepek
bateries	elem
bateries	akkumulátorok
bateries	elemek
montgomery	montgomery
trencat	megtört
trencat	törött
trencat	törve
coronada	koronás
comunisme	kommunizmus
irene	irene
vilar	vilar
positius	pozitívak
positius	pozitív
núñez	nunez
strauss	strauss
cerro	cerro
fabricat	gyártottak
fabricat	előállított
fabricat	gyártott
jacint	jácint
rècords	feljegyzések
rècords	records
rècords	nyilvántartások
rècords	nyilvántartás
ecologia	ökológia
baltimore	baltimore
nantes	nantes
plomes	tollak
plomes	toll
sistemàtica	szisztematikus
sistemàtica	módszeres
tit	titus
brabant	brabant
combinacions	kombináció
combinacions	kombinációk
colin	colin
llemosí	limousin
estructurals	szerkezeti
estructurals	strukturális
lliura	mérleg
lliura	font
rita	rita
cries	utódok
transformada	átalakítás
simètrica	szimmetrikus
simètrica	szimmetrikus
wellington	wellington
frescos	frissen
frescos	friss
significatives	jelentős
significatives	szignifikáns
bush	bush
bush	bokor
defensiu	védekező
defensiu	védekezés
recompensa	jutalom
romàntica	romantikus
cavitat	üreg
exactes	pontos
pardo	pardo
fontaine	fontaine
balduí	baldwin
ardenes	dudor
salsa	szósz
salsa	mártás
nielsen	nielsen
mostrava	mutatta
mostrava	mutatott
mostrava	megmutatta
granit	gránit
corredors	futók
negro	néger
vinci	vinci
franca	franca
iris	iris
harrison	harrison
nicholas	nicholas
nicholas	miklós
sastre	szabó
retard	késedelem
retard	késlekedés
retard	késés
pascal	pascal
salzburg	salzburg
brooklyn	brooklyn
brooklyn	brooklynban
brooklyn	brooklyni
superioritat	felsőbbrendűség
pipí	pepin
repeteix	ismétlés
repeteix	hurok
valeri	valerij
valeri	valeri
acceleració	gyorsulás
continents	kontinens
cohen	cohen
federals	szövetségiek
embarcacions	csónak
embarcacions	hajók
ravenna	ravenna
degà	dean
degà	dékán
glasgow	glasgow
disposades	elrendezett
vancouver	vancouver
clube	clube
mixt	kevert
mixt	vegyes
mixt	keverve
abel	abel
formals	formális
caracas	caracas
pelegrinatge	zarándoklat
convocatòria	hívás
convocatòria	hívd
bombai	bombay
bombai	mumbai
anglo	anglo
cher	cher
escàndol	botrány
escàndol	botrányos
léon	léon
làmines	ágynemű
làmines	lepedő
bucarest	bukarest
concursos	versenyek
concursos	versenyek
ling	ling
blaus	blues
américa	américa
polinomi	polinom
espases	kard
espases	kardok
reg	öntözés
serbis	szerbek
regal	ajándék
seleccionat	kijelölt
seleccionat	kiválasztva
seleccionat	kiválasztott
croat	horvát
diploma	oklevél
diploma	diploma
metz	metz
matt	matt
batejat	keresztelték
abi	abi
supervisió	felügyelet
progressiu	fokozatos
progressiu	haladó
progressiu	progresszív
bots	botok
poderosos	erőteljes
poderosos	erős
deep	mély
reflex	reflex
botó	gombot
botó	gomb
extret	kivont
plens	full
plens	teljes
ulster	ulster
calvo	kopasz
calvo	calvo
armand	armand
hampshire	hampshire
seques	szárított
seques	szárítva
veterans	veteránok
julián	julian
julián	julián
agut	szoprán
guàrdies	őrök
bridge	híd
bridge	bridge
vuitena	nyolcadik
dijous	csütörtökön
dijous	csütörtök
baby	baba
baby	bébi
reyes	reyes
mercader	kereskedő
vestíbul	lobbi
nomenats	kijelölt
nomenats	kinevezett
gala	gála
cabana	kunyhó
cabana	kabin
johns	johns
extensions	meghosszabbítás
extensions	kiterjesztés
extensions	kiterjesztések
darmstadt	darmstadt
integrats	integrált
cilindre	hengeres
cilindre	henger
pesos	súlyokat
inquisició	inkvizíció
ref	bíró
celler	pince
celler	pincészet
constança	constance
ploma	pen
ploma	tollat
ploma	toll
ploma	toll
angular	szögletes
innovacions	innováció
innovacions	innovációk
continuat	folyamatos
continuat	folytatása
continuat	folytatta
continuat	folytatás
continuat	folytatódott
nits	éjszakák
nits	éjszakánként
pendents	fülbevaló
donades	megadott
donades	adva
donades	megadva
donades	adott
joão	joão
mani	mani
express	express
express	expressz
convencionals	hagyományos
carnaval	majális
carnaval	karnevál
yang	yang
desfer	visszacsinálni
desfer	visszavonás
cartells	plakátok
dominada	uralta
ametlla	mandula
ornamental	díszítő
resurrecció	feltámadás
obaga	umbria
sufragi	választójog
consultat	konzultált
domèstic	hazai
domèstic	belföldi
mill	mill
mill	malom
llavor	vetőmag
llavor	mag
armstrong	armstrong
sky	égbolt
sky	sky
sky	ég
esborrany	vázlat
esborrany	tervezetét
esborrany	huzat
esborrany	tervezet
esborrany	radír
tesis	szakdolgozat
tor	tor
evitant	kerülni
evitant	elkerülése
ordena	rendezés
notari	közjegyző
grams	gramm
grams	nagyi
schneider	schneider
responsabilitats	feladatok
responsabilitats	felelősség
plantacions	ültetvények
subdivisió	branch
subdivisió	ág
meyer	meyer
facilita	elősegíti
facilita	megkönnyíti
exercit	gyakorolt
localment	helyben
localment	helyileg
tracció	vontató
incidents	incidens
segells	bélyeg
segells	bélyegző
segells	bélyegeket
segells	bélyeget
lents	lencsék
lents	lencse
acad	acad
valent	bátor
convençut	meggyőzte
feixista	fasiszta
nòmades	nomádok
escalada	mászni
escalada	mászik
escalada	hegymászó
studios	studios
atributs	attribútumok
farmàcies	gyógyszertárak
farmàcies	gyógyszertár
eugène	eugène
berg	berg
resistents	ellenálló
resistents	ellenáll
resistents	rezisztens
resistents	rugalmas
banks	banks
banks	bankokkal
banks	bankok
pensant	gondolkodás
pensant	gondolkodik
pensant	gondolkodom
pensant	gondolkodó
mauritània	mauritánia
discografia	diszkográfia
òptic	optikai
ressonància	rezonancia
embaràs	terhességi
embaràs	terhesség
alegria	joy
alegria	öröm
alegria	örömöt
mineria	bányászati
mineria	bányász
siena	siena
cromosomes	kromoszómák
ain	ain
horts	gyümölcsösök
guerrero	guerrero
demandes	követel
demandes	követelés
demandes	követelések
demandes	igények
cadascú	mindegyik
divinitat	istenség
judicis	perek
judicis	kísérletek
