mainland	continente
jeremy	jeremy
listen	ouça
listen	ouve
impressive	impressionante
impressive	impressionantes
bradley	bradley
surely	certamente
egg	egg
egg	ovo
egg	ovos
conquest	conquista
rod	vara
rod	rod
rod	haste
rod	cana
cdp	cdp
algorithm	algoritmo
burn	queime
burn	queimar
burn	queimadura
burn	burn
burn	queima
thesis	tese
thesis	teses
lover	amante
lover	lover
capitol	capitol
capitol	capitólio
remembered	lembrou
remembered	lembrada
remembered	lembrado
remembered	lembrei
ferdinand	ferdinand
ferdinand	fernando
marshal	marechal
marshal	marshal
judaism	judaísmo
balls	tomates
balls	bolas
balls	bailes
nacional	nacional
wrestlers	lutadores
ahmed	ahmed
sin	pecado
sin	pecar
sin	sin
holocaust	holocausto
edgar	edgar
saxophone	saxofone
retain	reter
curriculum	curriculum
curriculum	currículo
wishes	desejos
prepare	preparar
ruins	ruínas
ibm	ibm
rochester	rochester
nigerian	nigeriano
nigerian	nigéria
nigerian	nigerianos
pitched	campal
jesse	jesse
malaysian	malaio
malaysian	malásia
atlas	atlas
telegraph	telégrafo
telegraph	telegraph
cannon	canhões
cannon	cannon
cannon	canhão
encounter	encontro
emily	emily
dissolved	dissolvido
dissolved	dissolvidos
dissolved	dissolução
dissolved	dissolvida
dissolved	dissolveu
catalogue	catálogo
discrimination	discriminações
discrimination	discriminação
myspace	myspace
reveal	revelar
reveal	revele
wizard	wizard
wizard	mágico
wizard	assistente
wizard	mago
wizard	feiticeiro
teen	teen
teen	adolescente
spots	pintas
spots	manchas
spots	spots
bomber	bombista
bomber	bombardeiro
foods	comidas
foods	alimentos
quest	quest
quest	demanda
connor	conner
connor	connor
screenplay	argumento
screenplay	guião
screenplay	roteiro
motors	motores
motors	motors
minimal	mínimo
minimal	mínimos
minimal	mínima
muscle	músculos
muscle	músculo
muscle	muscular
prestigious	prestigiado
prestigious	prestígio
sustainable	sustentável
sustainable	sustentáveis
chelsea	chelsea
strict	rigoroso
strict	estrito
strict	rigorosa
strict	estrita
kingston	kingston
kingston	florença
sheep	ovinos
sheep	ovelha
sheep	carneiros
sheep	ovelhas
andrea	andreia
andrea	andrea
complaints	reclamações
complaints	queixas
complaints	denúncias
connects	conecta
nursing	enfermagem
defenders	defesas
defenders	defensores
richardson	richardson
triangle	triângulo
nato	otan
nato	nato
teeth	dentes
teeth	dente
occasional	ocasionalmente
occasional	ocasional
occasional	ocasionais
strictly	rigorosamente
strictly	estritamente
harper	harper
fluid	fluido
fluid	fluidos
fed	alimentado
fed	fed
fed	alimentados
newfoundland	newfoundland
disbanded	dissolvida
comparable	comparável
comparable	comparáveis
documentation	documentação
brien	brien
compounds	compostos
pointing	apontar
pointing	apontando
edmund	edmundo
edmund	edmund
instances	instâncias
naturally	naturalmente
forcing	forçando
ussr	urss
laser	laser
laser	lasers
lat	lat
sculptor	escultor
guild	guild
observer	observador
observer	observadora
observer	observadores
worlds	mundos
imprisoned	aprisionado
wrestler	lutador
wrestler	wrestler
praise	elogio
praise	elogios
praise	louvor
parishes	freguesias
parishes	paróquias
bones	bones
bones	ossos
bones	espinhas
css	css
cox	cox
contracts	contratos
consequences	conseqüências
consequences	consequências
provisions	disposições
provisions	provisões
circulation	circulação
circulation	tiragem
butterfly	butterfly
butterfly	borboleta
hugo	hugo
abolished	aboliu
abolished	abolida
abolished	abolidos
abolished	abolido
algeria	argélia
edu	edu
armies	exércitos
separation	separação
spy	spy
spy	espia
spy	espião
spy	espiã
cliff	penhasco
cliff	precipício
cliff	cliff
technically	tecnicamente
reactions	reacções
reactions	reações
lithuanian	lituano
lithuanian	lituana
lithuanian	lituânia
lithuanian	lituanos
trick	truque
trick	trick
curve	curva
accidents	acidentes
horizontal	horizontal
horizontal	horizontais
legends	legends
legends	lendas
enzyme	enzimas
enzyme	enzima
freight	frete
freight	mercadorias
lacks	carece
hydrogen	hidrogénio
hydrogen	hidrogênio
broadcasts	transmissões
viii	viii
caroline	caroline
caroline	carolina
pull	puxa
pull	puxar
pull	puxe
plymouth	plymouth
twentieth	vigésima
twentieth	twentieth
twentieth	vigésimo
cuts	corta
cuts	cortes
mediation	mediação
airfield	aeródromo
catalog	catálogo
dale	dale
synthesis	síntese
rape	colza
rape	violações
rape	violação
rape	estupro
seoul	seul
seoul	seoul
engagement	noivado
engagement	interação
engagement	envolvimento
coin	moeda
coin	moedas
lucy	lúcia
lucy	lucy
lucy	lucia
consequently	consequentemente
platinum	platina
twins	gémeos
twins	gémeas
twins	gêmeos
twins	gêmeas
memories	lembranças
memories	memórias
memories	recordações
robertson	robertson
verified	verificadas
verified	verificados
verified	verificada
verified	verificado
anthology	antologia
milton	milton
geological	geológico
geological	geológica
geological	geológicas
defining	definindo
dinner	janta
dinner	jantar
hosting	hospedagem
thriller	suspense
thriller	thriller
retreat	retiro
retreat	recuo
retreat	retirada
retreat	recuar
retreat	retirar
albany	albany
abdul	abdul
ignore	ignore
ignore	ignorem
ignore	ignorar
ignore	ignora
migration	migração
migration	migrações
carefully	cuidadosamente
magnitude	magnitude
magnitude	amplitude
sudan	sudão
manages	gerencia
manages	gere
duration	duração
henderson	henderson
explorer	explorer
explorer	explorador
marco	marco
marco	marcos
fusion	fusão
aids	sida
aids	ajudas
aids	auxílios
aids	aids
reflected	reflectida
reflected	reflectido
reflected	refletida
afraid	medo
presbyterian	presbiteriana
automobile	automóvel
pound	libra
allegedly	supostamente
allegedly	pretensamente
allegedly	alegadamente
delay	demora
delay	atrasar
delay	atrasos
delay	atraso
delay	adiar
developers	programadores
developers	desenvolvedores
semifinals	semifinais
semifinals	semifinal
belfast	belfast
arctic	ártico
arctic	arctic
arctic	árctico
kurt	kurt
mayors	prefeitos
windsor	windsor
assumption	suposição
assumption	pressuposto
assumption	assunção
plates	pratos
plates	placas
plates	chapas
fourteen	fourteen
fourteen	quatorze
fourteen	catorze
nominee	nomeada
disruption	perturbação
monroe	monroe
hearts	corações
hearts	copas
hearts	hearts
belgrade	belgrado
victories	vitórias
extending	estendendo
pale	pálido
pale	pálida
pursuit	perseguição
glory	glórias
glory	glória
glory	glory
destroyer	destruidor
destroyer	destroyer
destroyer	destruidora
deeply	profundamente
lectures	palestras
affiliate	afiliados
affiliate	afiliação
affiliate	filial
affiliate	afiliado
affiliate	afiliada
preston	preston
deceased	defunto
deceased	falecida
deceased	falecido
deceased	falecidos
speaks	fala
gathering	reunindo
gathering	recolha
angry	zangada
angry	raiva
angry	irado
angry	irritado
angry	zangado
incomplete	incompletas
incomplete	incompleta
incomplete	incompleto
incomplete	incompletos
enrolled	inscrito
enrolled	inscritos
configuration	configuração
brad	brad
skill	habilidade
skill	perícia
skill	habilidades
intense	intensa
intense	intensas
intense	intensos
intense	intenso
tasmania	tasmânia
commitment	empenho
commitment	compromisso
commitment	empenhamento
commitment	comprometimento
loved	amei
loved	amava
loved	amado
loved	amada
loved	amados
loved	amadas
reforms	reformas
rulers	governantes
uruguay	uruguai
sustained	sustentado
sustained	sustentou
sustained	sustentada
napoleon	napoleão
napoleon	napoleon
confirm	confirmar
confirm	confirmem
confirm	confirme
breed	raça
breed	mestiço
auxiliary	auxiliares
auxiliary	auxiliar
enabled	habilitado
enabled	ativada
enabled	ativado
discography	discografia
licence	licenças
licence	licença
refugees	refugiados
adrian	adriano
adrian	adrian
pipe	tubo
pipe	cano
pipe	cachimbo
pipe	pipe
pipe	canos
karen	karen
altered	alterados
altered	alterado
altered	alterada
altered	alteradas
budapest	budapeste
designers	designers
designers	estilistas
heir	herdeiro
heir	herdeira
advisor	conselheiro
advisor	assessor
illustrate	ilustrar
illustrate	ilustram
authorized	autorizado
authorized	autorizou
authorized	autorizadas
authorized	autorizados
authorized	autorizada
hide	esconder
hide	ocultar
announcement	anuncio
announcement	anúncio
compact	compactos
compact	compacto
compact	compacta
tissue	tecidos
tissue	tecido
particles	partículas
receiver	receptor
receiver	destinatário
civilians	civis
marsh	pântano
marsh	marsh
vinyl	vinil
delayed	retardada
delayed	atrasada
delayed	atraso
delayed	atrasado
wednesday	quarta
checking	verificando
checking	verificação
chilean	chilena
chilean	chileno
chilean	chilenos
hey	ei
hey	hey
chambers	secções
chambers	chambers
chambers	câmaras
demo	demonstração
demo	demo
agrees	concorda
ahmad	amam
ahmad	ahmad
santos	santos
paying	pagar
paying	pagando
interpreted	interpretados
interpreted	interpretadas
interpreted	interpretado
interpreted	interpretada
submit	submeter
submit	enviar
desired	desejadas
desired	desejada
desired	desejado
desired	desejados
followers	seguidores
observatory	observatório
problematic	problemática
problematic	problemáticas
problematic	problemático
problematic	problemáticos
springfield	springfield
kit	estojo
kit	kit
remarks	observações
burton	burton
monarch	monarca
monarch	monarcas
observations	observações
beetle	besouro
beetle	escaravelho
beetle	besouros
beetle	fusca
promised	prometido
promised	prometi
promised	prometida
promised	prometeu
palomar	palomar
cream	nata
cream	creme
cream	natas
cream	cream
presenter	apresentadora
presenter	apresentador
potter	potter
copyvio	copyvio
favourite	favorito
transformation	transformações
transformation	transformação
mcdonald	mcdonald
mcdonald	mcdonalds
bavaria	baviera
kumar	kumar
nineteenth	xix
severely	severamente
severely	gravemente
mixture	mistura
browser	navegador
browser	browser
endangered	ameaçada
endangered	ameaçadas
mate	companheiro
mate	mate
everybody	todos
lyon	lyon
illustration	ilustração
illustration	ilustrações
kyle	kyle
afl	afl
brook	ribeiro
brook	brook
brook	riacho
geometry	geometria
ping	ping
extends	alarga
extends	estende
aggregate	agregar
aggregate	agregada
aggregate	agregado
aggregate	agregados
variants	variantes
baroque	barroca
baroque	barroco
iso	iso
collapsed	ruiu
collapsed	desmoronou
collapsed	desabou
integral	integral
jake	jake
hopes	esperanças
cornell	cornell
modes	modos
servant	serva
servant	servo
kenny	kenny
hurt	ferido
hurt	magoar
hurt	doeu
hurt	machucar
maker	criador
maker	maker
inline	inline
carlo	carlo
lynn	lynn
stability	estabilidade
hoping	esperando
imposed	impostas
imposed	imposta
confusing	confusa
confusing	confusas
confusing	confuso
summaries	sínteses
summaries	resumos
beetles	coleópteros
beetles	besouros
joel	joel
jets	jets
jets	jatos
jets	jactos
logos	logos
logos	logotipos
vital	vital
vital	vitais
malcolm	malcolm
malcolm	malcom
winnipeg	winnipeg
kilometers	quilómetros
kilometers	quilômetros
songwriters	compositores
buddhism	budismo
nose	nariz
respected	respeitado
respected	respeitadas
respected	respeitados
respected	respeitada
pace	ritmo
pace	pace
thunder	trovão
thunder	trovões
thunder	thunder
centered	centralizado
centered	centrada
centered	centradas
centered	centrado
physicians	médicos
bolivia	bolívia
forget	esqueça
forget	esquecer
forget	esquece
implies	implica
implies	insinua
crops	culturas
crops	colheitas
halifax	halifax
toll	portagens
toll	portagem
monk	monk
monk	monge
extraordinary	extraordinária
extraordinary	extraordinárias
extraordinary	extraordinário
extraordinary	extraordinários
lessons	ensinamentos
lessons	lições
lessons	aulas
pub	pub
paralympics	paralimpíadas
monte	monte
segments	segmentos
deer	veados
deer	veado
deer	cervo
wireless	wireless
mysterious	misteriosos
mysterious	misterioso
mysterious	misteriosa
mysterious	misteriosas
consultant	consultora
consultant	consultor
fraser	fraser
formats	formatos
jam	geleia
jam	compota
jam	jam
jam	geléia
chicken	frango
chicken	galinhas
chicken	galinha
chicken	chicken
chicken	frangos
enable	ativar
enable	activar
enable	habilitar
idol	ídolo
idol	ídolos
idol	idol
reid	reid
births	partos
births	nascimentos
amazing	incrível
amazing	incrivel
amazing	fantástico
amazing	amazing
pet	pet
pet	bichinho
upset	perturbado
upset	chateado
upset	chateada
upset	perturbada
upset	transtornado
loves	ama
loves	amores
stretch	alongar
stretch	alongamento
stretch	esticar
stretch	estica
nominate	indico
nominate	nomear
striking	marcantes
striking	marcante
striker	atacante
striker	striker
accidentally	acidentalmente
louisville	louisville
hopkins	hopkins
eds	eds
goddess	deusa
burials	enterros
resumed	retomou
resumed	retomados
resumed	retomada
resumed	retomado
resumed	reaberta
satisfy	satisfazer
satisfy	satisfazem
notion	noção
voltage	voltagem
voltage	tensão
betty	betty
marion	marion
geology	geologia
consistently	consistentemente
cyclone	ciclone
export	exporta
export	exportação
export	exportações
export	exportar
lightning	relâmpago
lightning	relâmpagos
lightning	lightning
impressed	impressionada
impressed	impressionou
impressed	impressionados
impressed	impressionado
maintains	mantém
logical	lógico
logical	lógica
logical	lógicas
aggressive	agressiva
aggressive	agressividade
aggressive	agressivas
aggressive	agressivos
aggressive	agressivo
jin	jin
julie	julie
fbi	fbi
yankees	ianques
yankees	yankees
ludwig	ludwig
ludwig	luís
suburban	suburbano
suburban	suburbana
enlisted	alistado
enlisted	alistou
moments	moments
moments	momentos
moments	instantes
conjunction	conjunção
interim	interino
interim	provisório
interim	intercalar
argues	argumenta
lucky	sortuda
lucky	sorte
lucky	lucky
lucky	sortudo
lon	lon
regiments	regimentos
prevented	impediu
prevented	prevenido
toy	toy
toy	brinquedo
bicycle	bicicleta
purely	puramente
interactions	interações
interactions	interacções
fraud	fraude
fraud	fraudes
lang	lang
arcade	arcada
arcade	arcade
lecture	palestras
lecture	palestra
sanctuary	santuário
dragons	dragões
dragons	dragons
copa	copa
careful	cuidado
nurse	enfermeira
nurse	enfermeiro
rivals	rivais
module	módulo
supplement	suplementos
supplement	complemento
supplement	suplemento
lens	lente
lens	lentes
patron	patrono
patron	padroeiro
commands	comandos
trend	tendência
trend	tendências
superintendent	superintendente
gerald	gerald
gerald	geraldo
rap	rap
geneva	genebra
ash	ash
ash	cinza
ash	cinzas
blade	lâmina
blade	blade
disappeared	desapareceram
disappeared	desaparecido
disappeared	sumiu
disappeared	desapareceu
array	array
array	matriz
patrolling	patrulhar
predominantly	predominantemente
committees	comitês
committees	comissões
committees	comités
loose	solto
loose	frouxo
loose	solta
boom	boom
boom	bum
sailors	marinheiros
beaten	espancado
beaten	vencido
beaten	batido
smoke	fumo
smoke	fumaça
smoke	fumar
smoke	fumos
smoke	fuma
assassination	assassinato
assassination	assassínio
lancaster	lancaster
reynolds	reynolds
divorce	divorcio
divorce	divórcio
divorce	divórcios
dust	dust
dust	pó
dust	poeiras
dust	poeira
saxon	saxão
saxon	saxões
saxon	saxon
separately	separadamente
separately	separado
grain	grão
grain	cereais
grain	grãos
executives	executivos
translations	traduções
zimbabwe	zimbabué
zimbabwe	zimbabwe
zimbabwe	zimbábue
cohen	cohen
diving	mergulhar
diving	mergulho
carroll	carroll
accounting	contabilidade
accounting	contabilização
mesa	mesa
prussia	prússia
intelligent	inteligentes
intelligent	inteligente
cherry	cherry
cherry	cereja
cherry	cerejeira
underlying	subjacentes
underlying	subjacente
tobacco	tabaco
cleaned	limpos
varieties	variedades
varieties	castas
bench	banco
bench	bancada
directions	direcções
directions	direções
directions	indicações
ellen	ellen
measurement	medições
measurement	mensuração
measurement	medição
paradise	paraiso
paradise	paraíso
paradise	paradise
alexandria	alexandria
complement	complemento
complement	complementar
witch	bruxo
witch	bruxa
attraction	atracção
attraction	atração
diana	diana
personalities	personalidades
colleagues	colegas
busy	ocupados
busy	ocupado
busy	ocupada
cia	cia
screenwriter	argumentista
screenwriter	roteirista
rankings	ranking
rankings	rankings
rankings	classificações
aboriginal	aborígene
aboriginal	aborígenes
commanders	comandantes
salem	salem
wagner	wagner
firms	firmas
sanctions	sanções
americas	américas
endings	finais
instructor	instrutor
instructor	instrutora
nobility	nobreza
divorced	divorciada
divorced	divorciados
divorced	divorciado
varies	varia
tomorrow	amanha
tomorrow	amanhã
manuscripts	manuscritos
unified	unificado
unified	unificada
clarify	clarificar
clarify	esclarecer
scouts	escuteiros
scouts	escoteiros
scouts	olheiros
scouts	batedores
investigations	investigações
investigations	inquéritos
silva	silva
derek	derek
agenda	agenda
provision	disposição
provision	provisão
humanity	humanidade
admit	admitir
admit	admita
admit	admite
terror	terror
contestants	concorrentes
contestants	competidores
trinidad	trindade
trinidad	trinidad
distant	distante
distant	distantes
burke	burke
circles	círculos
assignment	cessão
assignment	atribuição
releasing	soltando
releasing	liberando
recalled	lembrou
recalled	recordou
shrine	santuário
sail	navegar
sail	vela
willie	willy
willie	willie
karnataka	karnataka
celebrate	celebrar
celebrate	celebra
celebrate	celebre
celebrate	comemorar
ranch	rancho
collaborated	colaboraram
collaborated	colaborou
collaborated	colaborado
vampire	vampira
vampire	vampire
vampire	vampiro
playwright	dramaturgo
sick	enjoado
sick	doentio
sick	doente
sick	doentes
associates	sócios
associates	associados
associates	associadas
heinrich	heinrich
ethiopia	etiópia
flags	flags
flags	bandeiras
tel	tel
