podwozie	chassis
wnioski	முடிவு
wnioski	conclusion
rak	கடகம்
rak	புற்றுநோய்
radiowy	ரேடியோ
radiowy	வானொலி
emi	எமி
emi	emi
somerset	சமர்செட்
atlantyku	அட்லாண்டிக்
pytaj	கேள்
pytaj	கேட்க
ronald	ரொனால்ட்
parki	பூங்கா
parki	பார்க்
parki	பூங்காக்கள்
hong	ஹாங்
rain	மழை
jam	யாம்
jam	ஜம்
jam	ஜாம்
pozytywne	நல்லது
pozytywne	நேர்மறை
pozytywne	நேர்
pętli	வளையங்கள்
pętli	சுழற்சி
pętli	கண்ணி
pętli	மடக்கு
pętli	லூப்
historie	கதைகள்
sheffield	sheffield
intensywnie	அடர்த்தியாக
niepełnosprawnych	முடக்கப்பட்டது
niepełnosprawnych	முடக்கப்பட்ட
niepełnosprawnych	ஊனமுற்ற
kolejce	வரிசைப்படுத்தப்பட்ட
kolejce	வரிசையில்
przejęcia	கைய
libii	லிபியா
fizyka	இயற்பியல்
islamu	இஸ்லாம்
islamu	இசுலாம்
islamu	இஸ்லாத்தை
islamu	இஸ்லாமியம்
naczelnik	வார்டன்
sporów	மோதல்கள்
malarzy	ஓவியர்கள்
jeremy	ஜெரெமி
nagrobek	கல்லறை
haiti	ஹெய்டி
rozmieszczenie	உருவரை
calcio	calcio
dłoni	உள்ளங்கை
dłoni	பாம்
dłoni	பனை
wiara	நம்பிக்கை
wiara	நம்பிக்கை
jesień	இலையுதிர்
jesień	வீழ்ச்சி
jesień	விழும்
jesień	விழுதல்
jesień	விழுந்து
jesień	ஃபால்
rejestracji	பதிவுசெய்தல்
rejestracji	பதிவு
myślenia	நினைத்து
myślenia	நினைத்துக்
myślenia	நினைத்துக்கொண்டு
myślenia	சிந்தனை
zmiennych	மாறிகள்
prześladowań	துன்புறுத்தல்
kolorado	கொலராடோ
bezpośredni	டைரக்ட்
bezpośredni	நேரடி
derby	derby
głębokie	ஆழமான
głębokie	ஆழ்ந்த
głębokie	ஆழமானது
głębokie	ஆழமாக
przejęcie	கைய
przejęcie	கையகப்படுத்துதல்
pieszych	பாதசாரிகள்
pieszych	பாதசாரிகள்
laurent	laurent
plakat	சுவரொட்டி
plakat	போஸ்டர்
inicjatywa	முனைப்பு
bohaterka	நாயகி
bohaterka	கதாநாயகி
wdowa	விதவை
cole	கோல்
kulturowe	கலாச்சார
kulturowe	பண்பாட்டு
kulturowe	பாரம்பரியம்
prywatny	தனியார்
prywatny	தனிப்பட்ட
prywatny	தனிப்பட்டது
prywatny	தனி
prywatny	தனிப்பட்டதாக
boliwii	பொலிவிய
boliwii	பொலிவியா
wyrażenia	வாக்கியங்கள்
wyrażenia	கூற்று
wyrażenia	வெளிப்பாடு
gazy	வாயுக்கள்
gazy	காசா
edu	edu
nasion	விதை
nasion	விதைகள்
nasion	விதை
nasion	வித்து
flora	flora
śródziemnego	மத்தியதரைக்கடல்
siódme	ஏழாம்
starsza	பழைய
esp	esp
porównania	ஒப்பீடு
porównania	ஒப்பீடுகள்
phillips	ஃபிலிப்ஸ்
antwerpii	antwerp
münchen	münchen
chaos	குழப்பம்
chaos	குழப்பமான
zarzut	செய்பவர்களாகவும்
zarzut	குற்றச்சாட்டை
ustaw	அமை
dialog	டயலாக்
dialog	வசனம்
dialog	உரையாடல்
palace	அரண்மனை
sztuczne	செயற்கை
baltimore	பால்டிமோர்
ogrodzie	தோட்டத்தில்
ogrodzie	தோட்டம்
robertson	ராபர்ட்சன்
apple	ஆப்பிள்
wiosna	ஸ்பிரிங்
wiosna	வசந்தம்
wiosna	வசந்தகால
wiosna	வசந்த
rządowe	அரசு
rządowe	அரசாங்கம்
śpiewa	பாடுகிறார்
śpiewa	பாடும்
śpiewa	பாடுகிறார்
jessica	ஜெசிகா
jessica	ஜெசிக்கா
bibliotekę	நூலகம்
moritz	moritz
din	din
wyjaśnić	விளக்க
wyjaśnić	விளக்கவும்
orbitę	சுற்றுப்பாதை
mohamed	முகம்மது
mohamed	mohamed
osobowość	ஆளுமை
ciężki	கனமான
ciężki	கனரக
ciężki	கனமாக
ciężki	கடும்
zarejestrowany	பதிவுசெய்யப்பட்டது
zależność	சார்ந்த
child	குழந்தை
oddanie	அர்ப்பணிப்பு
oddanie	பக்தி
oddanie	மெய்யியல்
oddanie	மோட்சம்
podejścia	அணுகுமுறை
okładki	கவர்
okładki	உறை
podmiot	பொருள்
url	url
url	யுஆர்எல்
url	வலைமனை
rzymian	ரோமர்
zaproszony	அழைக்கப்பட்டார்கள்
zaproszony	அழைக்கப்பட்டது
zaproszony	அழைக்கப்பட்டார்
zaproszony	அழைக்கப்பட்டனர்
wież	கோபுரங்கள்
ostro	தோராயமான
ostro	கரடு
ostro	கடினம்
kość	எலும்பு
sucha	வறண்டு
sucha	வறண்ட
sucha	உலர்
sucha	உலர்ந்த
sucha	காய்ந்த
współpracownik	இணை
lokomotywy	locomotives
lokomotywy	locomotive
bibliotek	நூலகங்கள்
księżniczki	இளவரசி
księżniczki	இளவரசிகள்
kopiowania	நகலெடுத்தல்
techniczna	தொழில்நுட்ப
świadomość	விழிப்புணர்வு
miles	மைல்கள்
miles	மைல்
mongolii	மங்கோலியா
smak	ரசனை
smak	சுவை
smak	சுவைத்து
smak	சுவை
utrata	இழப்பது
utrata	இழப்பு
weber	வெபர்
zatwierdzony	அனுமதிக்கப்பட்டது
zatwierdzony	அங்கீகரிக்கப்பட்டது
przestępstwa	குற்றங்களை
przestępstwa	குற்றங்களில்
przestępstwa	குற்றங்களை
przestępstwa	குற்றங்கள்
przestępstwa	குற்றம்
jutro	நாளைக்கு
jutro	நாளைய
jutro	நாளை
ostre	கூர்மை
ostre	கூர்மையான
ostre	காரம்
ostre	கடிய
szybkość	வேகம்
podgatunki	subspecies
zrozumieć	புரிந்து
zrozumieć	புரிந்துகொள்ளும்
zrozumieć	புரியும்
pytań	வினாக்கள்
pytań	கேள்விகள்
software	மென்பொருள்
zatopiony	சுங்கன்
wiktorii	விக்டோரியா
panował	ஒப்பற்ற
sandra	சாண்ட்ரா
wallace	வாலஸ்
wellington	வெலிங்டன்
regionalny	மண்டல
zakonnica	நூன்
następna	அடுத்தது
następna	அடுத்து
następna	அடுத்த
wyroby	கட்டுரைகள்
wyroby	கட்டுரை
wyroby	பொருட்கள்
wyroby	தயாரிப்புகள்
strategii	உத்திகள்
strategii	உத்திகளை
strategii	வியூகம்
strategii	உத்தி
informuje	அறிவிக்க
informuje	தெரிவியுங்கள்
świeckich	மதச்சார்பற்ற
emmy	எம்மி
satelitarne	செயற்கைக்கோள்
satelitarne	மேற்கோள்கள்
zabawy	வேடிக்கை
zabawy	வேடிக்கையானது
tajemnicy	ரகசியம்
operatora	ஆபரேட்டர்
ćwiczeń	பயிற்சிகள்
nico	நிகோ
wymiana	இடமாற்றம்
wymiana	பரிமாற்றம்
przeznaczenia	தலைவிதி
przeznaczenia	விதி
łuk	ஆர்க்
atlancie	அட்லாண்டா
regionalna	மண்டல
smoka	டிராகன்
tajne	இரகசியம்
tajne	ரகசிய
tajne	ரகசியம்
tajne	சீக்ரெட்
tajne	வரையறுக்கப்பட்ட
julius	ஜூலியஸ்
ciepło	வெப்பம்
ciepło	வெப்பத்தை
ciepło	வெயிலின்
ciepło	வெதுவெதுப்பான
ciepło	பூசி
rozwiązać	தீர்க்க
aniołów	தேவதைகள்
aniołów	மலக்குகள்
gość	பையன்
gość	ஆள்
gość	விருந்தினர்
gość	விருந்தாளி
gość	விருந்தினராக
gran	கிரான்
fale	அலை
fale	வேவ்
fale	அலைகள்
fale	அலை
statut	statute
dochodów	வருவாய்
dochodów	வருமானம்
strażnik	கார்டியன்
szerokiej	அகன்ற
dyplomatyczne	ராஜதந்திர
częstotliwość	அதிர்வெண்
częstotliwość	எண்ணிக்கை
too	கூட
matematyka	கணிதம்
matematyka	கணிதம்
matematyka	கணிதம்
matematyka	கணித
wbc	wbc
berkeley	பெர்க்லி
rydze	ரிகா
wiarę	நம்பிக்கை
kostki	கணுக்கால்
kostki	கட்டிகள்
rozbudowa	விரிவாக்கம்
rozbudowa	விரிவடைகிறது
przeprowadzona	நடத்தப்பட்ட
przeprowadzona	நடத்தியது
przeprowadzona	நடத்திய
nowoczesne	நவீன
emily	எமிலி
ostateczny	அல்டிமேட்
ostateczny	இறுதியான
ostateczny	இறுதியான
ostateczny	இறுதி
fin	துடுப்பு
clinton	கிளின்டன்
clinton	கிளிண்டன்
czwartek	வியாழன்
czwartek	வியாழக்கிழமை
eduard	எடுவர்டு
nauczanie	கற்பித்தல்
nauczanie	போதனை
nauczanie	கற்பிக்கும்
rejestr	பதிவு
rejestr	பதிவேடு
rzadkie	அரிய
rzadkie	அரிதான
syntezy	தொகுப்புவினை
przemysłowy	தொழிற்சாலை
przemysłowy	தொழில்துறை
słup	கம்பம்
słup	தூண்
doradca	ஆலோசகர்
doradca	ஆலோசகர்
uderzył	ஹிட்
uderzył	அடி
cokolwiek	எதுவாயினும்
cokolwiek	செய்தாலும்
cokolwiek	எதையும்
audi	ஆடி
nsdap	nsdap
arabii	அரேபியா
panie	இறைவனின்
panie	இறைவனை
panie	இறைவன்
panie	இறைவா
panie	இறைவனிடம்
panie	பெண்களே
panie	பெண்டிர்
kong	காங்
tradycję	பாரம்பரியம்
cali	கலி
cali	அங்குலம்
edgar	எட்கர்
twoja	உங்கள்
twoja	உங்களின்
twoja	உனது
twoja	உன்
jensen	ஜென்சன்
chrzest	ஸ்நானம்
chrzest	ஞானஸ்நானம்
fia	fia
przegrana	வீழ்ச்சி
przegrana	தோல்விக்கு
przegrana	தோல்வியை
przegrana	இழப்பது
england	இங்கிலாந்து
dee	டீ
sprzeczne	மாறாக
zasadnicza	அடிப்படையான
asystenta	உதவியாளர்
rheinland	rheinland
wagon	வேகன்
rodzeństwa	உடன்பிறப்புகள்
zniszczyć	அழிய
zniszczyć	அழித்து
dialogu	டயலாக்
dialogu	வசனம்
dialogu	உரையாடல்
missisipi	மிசிசிப்பி
historycznie	historically
christine	கிறிஸ்டின்
marynarka	கடற்படை
marynarka	ஜாக்கெட்
stężenia	கவனம்
stężenia	செறிவு
czynne	இயங்கும்
czynne	செயல்பாட்டில்
czynne	செயலில்
czynne	செயல்படும்
odbiór	over
odbiór	ஓவர்
odbiór	ரசீது
odbiór	பெறுகிறார்
odbiór	பெறுதல்
odbiór	பெறுகிறது
odbiór	வரவேற்பு
czeskie	செக்
ashley	ஆஷ்லே
obywatele	குடிமக்கள்
obywatele	குடிமகன்
obywatele	சிட்டிசன்
piętro	மாடியில்
piętro	மாடி
piętro	தரை
salon	சலூன்
ain	அய்ன்
ain	ஐன்
mięsa	இறைச்சி
czynnik	காரணி
mechaniczne	மெக்கானிக்கல்
nbc	nbc
podłoże	தரை
podłoże	மைதானம்
podłoże	மைதானத்தில்
mauzoleum	mausoleum
butler	பட்லர்
zlewni	catchment
obserwuje	பார்த்து
obserwuje	பார்க்கிறேன்
obserwuje	பார்த்துக்
obserwuje	காண்கிறார்
samuela	சாமுவேல்
paliwo	எரி
paliwo	எரிசக்தி
paliwo	எரிபொருள்
paliwo	பெட்ரோல்
zatrudnienia	வேலைவாய்ப்பு
ren	ரென்
ren	ரைன்
grey	பழுப்பு
grey	சாம்பல்
tokyo	டோக்கியோ
okno	சாளரம்
odzyskać	மீட்க
odzyskać	மீட்டெடுக்க
odzyskać	மீட்பது
kolumbia	கொலம்பியா
kolumbia	கொலம்பியா
germain	ஜெர்மைன்
glenn	கிளென்
treningi	பயிற்சியை
treningi	பயிற்சி
prosi	கேட்கும்
kwiat	மலரும்
kwiat	மலர்
kwiat	பூ
kwiat	மலர்களால்
wieki	நூற்றாண்டுகளாக
aaron	ஆரோன்
operacyjnych	இயங்கியல்
council	மன்றம்
council	கவுன்சில்
council	சபை
camp	முகாம்
fabio	ஃபேபியோ
okrążenie	மடியில்
ręczny	கையிருப்பு
ręczny	கையடக்க
komiksów	காமி
komiksów	காமிக்ஸ்
mann	மன்
zwykły	வழக்கமானது
zwykły	வழக்கம்
zwykły	வழக்கமான
misje	பயணங்கள்
misje	நோக்கம்
trzyma	வைத்திருக்கிறது
rycerzy	மாவீரர்கள்
pokonany	தாக்கப்பட்ட
norm	norms
norm	தரநிலைகளை
norm	தரநிலைகளைப்
norm	தரநிலைகள்
standardy	தரநிலைகளை
standardy	தரநிலைகளைப்
standardy	தரநிலைகள்
poprosił	கேட்டேன்
poprosił	கேட்கப்பட்டது
poprosił	கேட்டார்
poprosił	கேட்டாள்
węgiel	நிலக்கரி
węgiel	கரி
węgiel	கார்பன்
bass	பாஸ்
automatyczna	தானியங்கு
automatyczna	தானியங்கி
automatyczna	தன்னியக்கம்
automatyczna	தன்னியக்கமாக
automatyczna	தன்னியக்க
prosto	நேராக
prosto	நேர்
prosto	நேரான
prezentacji	முன்வைப்பு
domeny	டொமைன்கள்
domeny	தளங்கள்
domeny	தளம்
domeny	டொமைன்
domeny	களம்
dame	டேம்
wzory	மாடல்கள்
wzory	வடிவங்கள்
wzory	டிசைன்கள்
wzory	சூத்திரங்கள்
strunowce	முதுகுநாணி
joel	ஜோயல்
porównanie	ஒப்பீடு
porównanie	ஒப்பிட்டு
dell	டெல்
ewy	ஈவ்
ewy	மாலை
osobisty	சொந்தமான
osobisty	சொந்த
osobisty	தனிப்பட்ட
osobisty	தனிப்பட்டது
carmen	கார்மென்
oun	cns
jądro	கரு
jądro	கருப்பன்
jądro	கோர்
salomona	சாலமன்
pearl	முத்து
wiktoria	விக்டோரியா
przodków	முன்னோர்கள்
przodków	மூதாதை
chińskie	சீன
chińskie	சீனம்
lodu	பனி
lodu	ஐஸ்
lodu	பனிக்கட்டி
liber	liber
przydatne	பயனுள்ள
przydatne	பயனுள்ளது
przydatne	பயனுள்ளதாக
jowisza	ஜூபிடர்
jowisza	வியாழன்
jowisza	செவ்வாய்
zaangażowanie	நிச்சயதார்த்தம்
zaangażowanie	ஈடுபாடு
zaangażowanie	ஈடுபாடு
zaangażowanie	அர்ப்பணிப்பு
rzemiosła	கைத்தொழில்கள்
zapach	செண்ட்
zapach	சென்ட்
zapach	வாசனை
zapach	மணம்
zapach	நறுமணம்
żyjący	வாழ்ந்து
żyjący	வாழும்
żyjący	வசிக்கும்
żyjący	வாழ்வது
rozszerzenie	விரிவாக்கம்
mercury	புதன்
konsulat	consulate
prezentowane	சிறப்பானது
prezentowane	சிறப்பு
prezentowane	சிறப்பானவை
kazań	போதனைகளை
uroczyste	பண்டிகை
greckie	கிரீக்
greckie	கிரேக்க
venus	வீனஸ்
homo	ஹோமோ
wien	வீன்
bergen	பேர்கன்
ciemne	டார்க்
ciemne	இருள்
ciemne	இருண்ட
ciemne	இருட்டு
lokalnie	உள்நாட்டில்
zawarty	கொண்ட
wymagane	கோரப்பட்டது
wymagane	தேவை
wymagane	தேவையானவை
wymagane	தேவையான
wymagane	அவசியம்
wymagane	தேவைப்படுகிறது
metry	மீட்டர்
bit	பிட்டு
bit	பிட்
bomba	குண்டு
bomba	வெடிகுண்டு
tunelu	சுரங்கம்
ekspertów	நிபுணர்கள்
ekspertów	நிபுணர்கள்
ekspertów	வல்லுநர்
ekspertów	வல்லுனர்
ekspertów	நிபுணர்
sparta	எசுபார்த்தா
misjonarz	missionary
dorosłe	பெரியவர்கள்
ściana	சுவர்
newton	நியூட்டன்
pliki	கோப்பு
pliki	கோப்புகள்
personelu	ஊழியர்களுக்கான
personelu	பணியாளர்களின்
personelu	ஊழியர்கள்
personelu	பணியாளர்கள்
personelu	ஊழியர்
con	con
tylny	பின்புறம்
wiązanie	பழகிக்
wiązanie	இனைப்பு
liverpool	லிவர்பூல்
emanuel	இமானுவேல்
dublin	டப்லின்
przeglądu	மதிப்பாய்வு
przeglądu	மதிப்புரை
przeglądu	கண்ணோட்டம்
andre	ஆண்ட்ரே
andre	ஆண்ட்ரே
niebie	சொர்க்கம்
niebie	வானம்
nocny	இரவில்
nocny	இரவும்
nocny	இரவு
umysłu	மனது
umysłu	மனதைக்
umysłu	மனதில்
umysłu	மனம்
umysłu	மனதை
umysłu	மனதிற்கு
josh	ஜோஷ்
zastrzeżenia	இடஒதுக்கீடு
sądy	நீதித்துறை
sądy	நீதிமன்றங்கள்
jasności	தெளிவு
jasności	ஒளிர்வு
jasności	பிரகாசம்
jasności	வெளிச்சம்
sobota	சனிக்கிழமை
sobota	சனி
zajęte	busy
wrogów	பகைவர்கள்
wrogów	எதிரிகள்
chirurgii	அறுவை
uczucia	உணர்வுகளை
uczucia	உணர்வுகள்
uczucia	உணர்கிறார்
nintendo	நிண்டெண்டோ
armstrong	ஆம்ஸ்ட்ராங்
cezar	சீசர்
zainteresowań	ஆர்வங்கள்
klasycznego	பாரம்பரிய
podłogi	தரைகள்
komety	comet
boca	பார்க்கின்றேன்
piasku	மணல்
piasku	மண்
kota	கோட்டா
nestor	நெஸ்டர்
sodu	சோடியம்
leśnictwa	காடுகள்
tempo	பேஸ்
tempo	டெம்போ
zrozumienia	புரிதல்
ronnie	ரோனி
przeznaczenie	இலக்கு
przeznaczenie	சேருமிடம்
przeznaczenie	சேரும்
przeznaczenie	தலைவிதி
przeznaczenie	விதி
biblia	பைபிள்
biblia	பைபிளில்
naród	தேசம்
trwało	நீடித்தது
liderów	தலைவர்கள்
sonda	விசாரணை
warta	சிந்தும்
zmienione	திருத்தப்பட்ட
zmienione	மாறிவிட்டது
zmienione	மாற்றப்பட்டது
zmienione	மாற்றப்பட்ட
zmienione	திருத்தப்பட்டது
zmienione	மாற்றப்பட்டது
zmienione	மாற்றப்பட்ட
sin	பாவம்
sin	பாவத்தை
meyer	மேயர்
postawa	மனோபாவம்
postawa	மனப்பான்மை
postawa	பரிணாமத்தை
rozpoznanie	reconnaissance
rozpoznanie	அங்கீகாரம்
scalemajor	scalemajor
timeaxis	timeaxis
dale	டேல்
potrzebuje	தேவையா
potrzebuje	தேவை
potrzebuje	வேண்டும்
potrzebuje	தேவைகளை
forever	என்றென்றைக்கும்
forever	என்றென்றும்
forever	எப்போதும்
forever	நிரந்தரமாக
cat	பூனையை
cat	பூனை
wydawcy	வெளியீட்டாளர்கள்
wydawcy	வெளியீட்டாளர்
biuletyn	செய்திமடல்
freedom	விடுதலை
freedom	சுதந்திரம்
freedom	சுதந்திர
imagesize	imagesize
yang	யாங்
fabrykę	தொழிற்சாலையில்
fabrykę	தொழிற்சாலை
ekran	திரை
dołączyła	இணைந்துள்ளார்
dołączyła	இணைந்தது
dołączyła	சேர்ந்துள்ளார்
dołączyła	சேர்ந்தார்
dołączyła	இணைந்தார்
sal	ஸல்
sal	சல்
sal	சால்
plotarea	plotarea
lucy	லூசி
sebastiana	செபாஸ்டியன்
allan	ஆலன்
walczyli	போராடினார்
walczyli	போராடிய
ostry	கூர்மை
ostry	கூர்மையான
ostry	கடிய
równoległy	இணையான
równoległy	இணையாக
edytuj	தொகு
edytuj	தொகுக்க
edytuj	திருத்து
wells	வெல்ஸ்
wells	கிணறுகள்
fizyczna	பூத
aut	aut
możliwy	சாத்தியமா
możliwy	சாத்தியமே
możliwy	சாத்தியம்
oświetlenie	மின்னல்
oświetlenie	விளக்கில்
clarke	கிளார்க்
ograniczeń	கட்டுப்பாடுகள்
protokół	நெறிமுறை
astronomii	வானியல்
protesty	போராட்டம்
protesty	எதிர்ப்புகள்
ciemności	இருள்
ciemności	இருட்டு
ahmed	அகமது
ahmed	அஹ்மத்
ahmed	அஹ்மத்
płótnie	கேன்வாஸ்
gerhard	கெரார்டு
generacja	தலைமுறை
karate	கராத்தே
przybyła	வந்தது
kapitału	மூலதனம்
kapitału	தலைநகரம்
foster	வளர்ப்பு
harvey	ஹார்வி
płatki	இதழ்கள்
płatki	தானியம்
krytykę	விமர்சனங்கள்
krytykę	திறனாய்வு
krytykę	விமர்சனம்
eugene	யூஜின்
wspomniany	குறிப்பிட்டுள்ளார்
druk	அச்சிடுதல்
druk	அச்சில்
burza	புயல்
najbliższych	நெருங்கிய
edwards	எட்வர்ட்ஸ்
nowoczesny	நவீன
nowoczesny	சமகால
posterunek	நிலையம்
grobie	கல்லறை
grobie	கல்லறை
guillermo	கில்லர்மோ
dochody	வருவாய்
dochody	வருமானம்
dochody	வருவாய்
ruth	ரூத்
piętra	தரைகள்
zorganizowane	ஏற்பாடு
szerzej	அகலமான
towarowy	சரக்கு
bukareszcie	புக்கரெஸ்ட்
przyjaźń	நட்பு
gotowy	தயாராக
gotowy	தயார்
franków	பிராங்குகள்
cywilów	பொதுமக்கள்
med	med
body	உடல்
body	உடலில்
body	பாடி
higgins	ஹிக்கின்ஸ்
archeologii	தொல்லியல்
zarejestrowane	பதிவுசெய்யப்பட்டது
crystal	கிரிஸ்டல்
dzwon	பெல்
dzwon	மணி
rozmowa	நேர்காணல்
rozmowa	பேட்டி
