depressione	depresszió
razze	fajták
formando	képező
hunt	vadászat
hunt	hunt
hunt	vadászatot
coloni	telepesek
coloni	telepesek
testimone	szemtanú
testimone	tanú
mercati	piacokon
mercati	piacok
vacante	betöltetlen
crebbe	megnőtt
crebbe	nőtt
lontana	távoli
sfruttare	kihasználják
sposare	feleségül
palmer	palmer
scrivi	írj
scrivi	írni
scrivi	írjon
reed	reed
emily	emily
napoletana	nápolyi
acquisito	megszerezte
acquisito	beszerzett
acquisito	szerzett
acquisito	megszerzett
rivalità	rivalizálás
rivalità	rivalizálás
provoca	provokálja
sequel	folytatás
pellicole	filmek
pellicole	filmeket
pellicole	fólia
pellicole	film
hms	hms
reality	valóság
transizione	átállás
transizione	átmenet
transizione	áttérés
transizione	átmeneti
transizione	átmeneti
taiwan	tajvani
taiwan	tajvan
taiwan	tajvani
pour	tölts
cardinali	bíborosok
müller	müller
müller	müller
xxi	xxi
cantato	sang
cantato	énekelt
cantato	énekeltem
cantato	sung
freccia	íjász
freccia	nyíl
colpevole	bűnös
protocollo	protokoll
protocollo	jegyzőkönyv
claire	claire
folla	tömegek
folla	tömeg
concorrente	versenyző
concorrente	versenytárs
libia	líbia
uniforme	egységes
uniforme	egyenruhás
uniforme	egyenruha
josh	josh
ribellione	felkelés
ribellione	lázadás
raro	ritka
fausto	fausto
fausto	faust
dimostrazione	bemutató
dimostrazione	demó
dimostrazione	bemutató
dimostrazione	demonstrációs
dimostrazione	tüntetés
concesse	nyújtott
eseguiti	kivégezték
eseguiti	végrehajtott
eseguiti	elvégzett
impressione	benyomást
impressione	benyomás
run	futás
aperti	nyitva
duchessa	hercegnő
cavo	kábel
cavo	kábelek
gallese	wales
gallese	walesi
carmelo	carmelo
carmelo	carmel
separata	külön
separata	különálló
separata	elkülönített
separata	külön
siviglia	seville
invita	meghívó
invita	felkéri
invita	meghívókat
invita	meghívás
invita	meghívni
invita	meghívó
invita	meghívás
invita	meghívást
omicidi	emberölés
omicidi	gyilkosság
omicidi	gyilkosságok
omicidi	gyilkosságok
residente	rezidens
residente	lakos
umbria	umbria
atletico	sportos
atletico	atlétikai
holmes	holmes
diga	gátat
diga	gát
reato	bűntett
reato	bűncselekmény
reato	bűnözés
reato	bűn
reato	bűntény
reato	bűncselekmény
reato	bűncselekmények
continuamente	folyamatosan
continuamente	folyamatosan
continuamente	állandóan
continuamente	folyamatosan
militante	harcias
militante	militáns
sismica	szeizmikus
contemporaneo	kortárs
trasformare	átalakítás
associati	társai
associati	kapcsolódó
associati	társult
filadelfia	philadelphiában
filadelfia	philadelphia
filadelfia	philadelphiai
vertice	csúcs
vertice	csúcstalálkozó
attuazione	végrehajtás
attuazione	végrehajtására
attuazione	megvalósítás
gregory	gregory
gregory	gergely
narrativa	elbeszélés
narrativa	kitaláció
narrativa	fikció
procuratore	ügyész
procuratore	főügyész
operatori	üzemeltetők
dar	dar
verbo	ige
verbo	igét
distribuita	elosztva
distribuita	elosztott
distribuita	osztott
uguali	egyenlők
uguali	egyenlőek
uguali	egyenlő
uguali	egyenlők
uguali	egyenlő
creatore	teremtő
creatore	készítő
creatore	alkotó
creatore	teremtő
leva	kart
macchia	folt
macchia	maszat
intenzioni	szándékai
intenzioni	szándék
intenzioni	szándék
intenzioni	szándéka
rudolf	rudolf
soglia	küszöb
ortodossa	ortodox
hope	remény
hope	remélem
liberato	felszabadult
liberato	freed
automatica	automata
automatica	automatikus
pirenei	pireneusok
guardare	óra
guardare	vigyázz
guardare	nézni
guardare	nézem
guardare	nézi
nuotatore	úszó
rivali	rivális
rivali	riválisok
rivali	rivális
manoscritti	kéziratok
manoscritti	kéziratot
manoscritti	kézirat
controllata	leányvállalat
controllata	leányvállalata
controllata	ellenőrzött
rettore	dean
rettore	dékán
beatles	beatles
costruttori	építők
costruttori	gyártói
costruttori	gyártók
significativa	érdemi
significativa	tartalmas
significativa	értelmezhető
significativa	jelentős
significativa	szignifikáns
bombardamenti	robbantások
bombardamenti	bombázás
bombardamenti	robbantás
bombardamenti	bombázás
lou	lou
tubo	cső
tubo	pipa
tubo	tubus
tubo	cső
adottata	elfogadva
adottata	elfogadott
decisivo	döntő
decisivo	meghatározó
contenenti	tartalmazó
impostazione	beállítás
canonico	canon
rex	rex
soffitto	mennyezet
soffitto	plafon
giove	jupiter
comprensione	megértés
comprensione	egyetértés
comprensione	megértő
comprensione	megértést
fisici	fizikai
recensioni	értékelések
recensioni	vélemények
arrivata	megérkezett
arrivata	megérkeztek
vangelo	evangélium
caratterizzati	jellemez
caratterizzati	jellemzett
rogers	rogers
imperatrice	császárnő
ieri	tegnapi
ieri	tegnap
intervallo	tartomány
intervallo	távolság
intervallo	intervallum
poetica	költői
divisi	osztva
divisi	megosztott
divisi	megosztva
violinista	hegedűs
violinista	hegedűs
pericoloso	veszélyes
pericoloso	veszélyes
citate	idézett
citate	hivatkozott
true	igaz
true	igazi
analogo	analóg
secondario	középfokú
secondario	másodlagos
slovenia	szlovénia
negativa	negatív
gaio	gaius
crociera	cruise
sufficientemente	kellően
sonic	sonic
anteprima	előnézete
carol	carol
han	han
pura	tisztán
pura	tiszta
inaugurazione	megnyitás
inaugurazione	nyitás
inaugurazione	megnyitó
inaugurazione	nyitó
inaugurazione	nyílás
adolf	adolf
correre	futás
aggiornata	frissítés
aggiornata	frissített
eccezionalmente	kivételesen
beat	legyőzni
sprint	sprint
dinamo	dinamo
liberty	szabadság
trinità	trinity
guillermo	guillermo
gallia	gall
australian	ausztrál
australian	ausztrália
violento	erőszakos
riforme	reformok
riforme	reform
riforme	reformokat
riforme	reformok
cipro	ciprusi
cipro	ciprus
cipro	cipruson
demoni	démon
demoni	démonok
demoni	démonok
massachusetts	massachusetts
corde	kötelek
corde	kötél
corde	szálat
cellula	cella
cellula	sejt
presidenti	elnökök
presidenti	elnökök
presidenti	elnökei
presidenti	elnök
mine	aknák
mine	enyém
carità	jótékonyság
carità	jótékonysági
leggende	legendák
leggende	legendák
leggende	legendája
leggende	legenda
saverio	xavier
molecole	molekula
molecole	molekulák
sacrificio	áldozat
sacrificio	áldozatot
architetti	építészek
cava	cava
sospetto	gyanú
sospetto	gyanakvó
sospetto	gyanús
sospetto	gyanúsított
sospetto	gyanús
terminale	terminál
lombardi	lombardi
benzina	benzin
benzina	benzin
benzina	gázolaj
zar	cár
reggente	régens
five	öt
five	öten
rispettare	tiszteletet
rispettare	tisztelet
olanda	holland
fatica	kimerültség
fatica	fáradtság
generazioni	nemzedékek
generazioni	generációk
hal	hal
derivati	származékok
derivati	származékos
consentito	engedélyezett
consentito	megengedett
consentito	engedélyezett
consentito	engedélyezve
consentito	megengedett
seggi	ülések
seggi	ülés
cantare	énekelni
cantare	énekelj
cantare	énekel
cantare	ének
cantare	éneklés
cantare	énekelni
cantare	énekel
provinciali	tartományi
referendum	népszavazás
referendum	népszavazások
apostolo	apostol
fischio	sípot
fischio	síp
fischio	fütyül
lodi	lodi
contee	megyék
gestore	menedzser
gestore	vezető
gestore	kezelő
gestore	igazgató
teramo	teramo
israeliano	izraeli
israeliano	izraeliek
indie	indie
africano	afrikai
suite	lakosztály
suite	suites
suite	lakosztály
qualifica	minősített
qualifica	kötelezett
qualifica	végzettség
qualifica	minősítés
qualifica	minősítési
qualifica	képesítés
guillaume	guillaume
see	egt
lino	lino
lino	vászon
lino	ágynemű
lino	len
capaci	képes
ira	harag
conduzione	magatartás
curtis	curtis
enormi	hatalmas
enormi	óriási
efficienza	hatékonyság
nina	nina
significativi	jelentős
significativi	szignifikáns
ritmica	ritmikus
nodo	csomópont
nodo	csomót
nodo	csomó
heaven	mennyben
heaven	mennyország
heaven	menny
unire	egyesíteni
unire	egyesülni
ostacoli	korlátok
ostacoli	akadályok
ostacoli	gátfutás
ostacoli	akadályokat
ostacoli	akadály
ostacoli	akadályok
ostacoli	akadály
sinfonia	szimfonikus
pasta	tésztát
pasta	tészta
pasta	paszta
massacro	mészárlás
massacro	vérfürdő
massacro	vérontás
massacro	mészárlás
massacro	vérfürdő
massacro	mészárlás
massacro	vágás
rolling	rolling
rolling	forog
rolling	gurul
fall	esés
fall	őszi
fall	zuhanás
fall	ősszel
fall	ősz
leoni	leoni
leoni	oroszlán
leoni	oroszlánok
convegno	konferencia
convegno	konferencián
boemia	csehország
derivata	származékos
centimetri	centiméter
centimetri	centiméter
centimetri	centi
centimetri	hüvelyk
ginnastica	tornász
ginnastica	torna
ginnastica	tornász
ginnastica	torna
identificare	azonosítani
identificare	azonosítható
amanti	szeretők
amanti	szerelmesek
mason	mason
mason	kőműves
odore	szag
odore	szag
odore	szag
odore	illat
marca	brand
marca	márka
alain	alain
frutta	gyümölcs
frutta	gyümölcsök
frutta	gyümölcsöt
frutta	gyümölcs
frutta	gyümölcsök
algeria	algéria
algeria	algériai
algeria	algéria
gradualmente	fokozatosan
calice	kehely
calice	serleg
crimini	bűncselekmények
crimini	bűnök
crimini	bűnözés
crimini	bűn
crimini	bűntény
crimini	bűncselekmény
crimini	bűncselekmények
organico	organikus
organico	szerves
estinzione	kihalás
trattare	kezelni
trattare	kezeljük
catene	láncok
catene	lánc
catene	lánc
rara	ritka
rimuovere	eltávolítás
rimuovere	eltávolítása
eyes	szemed
eyes	szeme
eyes	szem
eyes	szemek
ultimate	végső
face	arcát
face	arc
face	arca
sinonimi	szinonimák
vettore	vektor
vettore	fuvarozó
vettore	szállító
vettore	hordozó
appassionato	szenvedélyes
appassionato	szenvedélyesen
mons	mons
fabbricato	gyártottak
fabbricato	előállított
fabbricato	gyártott
sensibilità	érzékenység
dominazione	dominanciáját
causando	okoz
gola	torka
gola	torok
gola	torkát
gola	szurdok
annuario	évkönyv
annuario	évkönyvek
irene	irene
songs	dalok
songs	dalokat
soap	szappan
soap	szappant
mvp	mvp
gatti	macskák
gatti	cicák
cameron	cameron
evidenti	nyilvánvaló
naturalista	természettudós
suonato	játszott
suonato	játszottam
sforza	sforza
cintura	öv
gorizia	gorizia
procedimento	eljárás
uccisione	gyilkol
uccisione	gyilkolás
marziale	martial
giovan	giovan
parchi	parkok
parchi	parks
attacca	támadások
attacca	támad
attacca	támadásokat
trovati	megtalált
trovati	megtaláltam
trovati	talált
distanze	távolságok
distanze	távolság
abbandona	elhagyni
uruguay	uruguay
certezza	bizonyosság
certezza	bizonyosságot
felix	felix
felix	félix
cook	cook
cook	főzni
cook	főz
cook	szakács
cook	főzés
lotte	lotte
lotte	küzd
materie	alanyok
materie	témák
birra	sör
birra	sört
fallito	elbukott
fallito	sikertelen
sviluppi	fejlemények
sviluppi	fejlesztések
stanze	helyiségek
stanze	szoba
stanze	szobákban
stanze	szobák
dita	ujjak
dita	ujj
dita	uj
dita	ujja
dita	ujját
dita	ujj
dita	uj
klaus	klaus
continuando	folytatás
altopiano	highland
altopiano	fennsík
sierra	sierra
rivolto	címzett
confessa	bevallja
jeremy	jeremy
elegante	elegáns
copa	copa
operaio	dolgozó
operaio	munkavállaló
operaio	munkás
becker	becker
adiacente	szomszédos
cannes	cannes
volare	repülni
volare	repülés
volare	repül
volare	repülj
volare	repül
volare	repülés
volare	repülő
democratici	demokratikus
democratici	demokrata
democratici	demokraták
democratici	demokraták
democratici	demokrata
organizzati	szervezett
organizzati	rendezett
organizzati	szervezett
pontificia	pápai
giuridico	jogi
giuridico	legális
giuridico	törvényes
ambientali	környezetvédelmi
ambientali	környezet
ambientali	környezeti
sentimento	érzés
sentimento	érzem
sentimento	érezni
sentimento	érzéssel
sentimento	érzéseit
sentimento	érzések
sentimento	érzelmek
parroco	lelkész
parroco	tiszteletes
tubi	csövek
tubi	tömlők
tubi	csövek
tubi	csöveket
scafo	burkolat
scafo	hull
scafo	hajótest
positivi	pozitívak
positivi	pozitív
positivi	pozitívak
money	pénz
money	pénzt
sopravvivere	túlélni
sopravvivere	túlélő
sopravvivere	túlélni
sopravvivere	túlélés
ricercatori	kutatói
ricercatori	kutatók
cifre	számjegye
cifre	számjegy
cifre	számjegy
cifre	számjegyű
cifre	számadatok
cifre	számok
cifre	figurák
consorzio	konzorcium
mensile	havi
mensile	havonta
inviare	küldj
inviare	küld
inviare	küldeni
trek	trek
rookie	újonc
vasi	edények
vasi	edényeket
vasi	vázák
amor	amor
picture	képet
picture	kép
picture	fénykép
giocata	játszott
giocata	játszottam
stili	styles
costanza	constance
par	par
superfici	felületek
legenda	legendák
legenda	legendája
legenda	legenda
succede	előfordul
succede	megtörténik
povertà	szegénység
povertà	szegénységben
povertà	nyomor
fibre	szálak
fibre	rost
fibre	szál
fibre	rost
fibre	szálak
espresse	kifejezett
espresse	kifejezésre
espresse	kifejtett
avellino	avellino
ettari	hektár
ettari	hektár
crociata	keresztes
crociata	hadjárat
aggiunti	hozzáadott
aggiunti	felvéve
concorrenza	versengés
concorrenza	konkurencia
concorrenza	verseny
españa	españa
beck	beck
veloci	gyorsan
veloci	gyors
veloci	gyorsan
veloci	gyors
xxx	xxx
annualmente	éves
annualmente	évenkénti
annualmente	évenként
annualmente	évente
annualmente	évente
caduto	leesett
caduto	fell
caduto	esett
caduto	elesett
caduto	bukott
caduto	elesett
contenute	tartalmazta
contenute	tartalmazott
leslie	leslie
sorgenti	springs
sorgenti	rugó
sorgenti	forrás
sorgenti	források
jedi	jedi
jedi	jedik
bizantina	bizánci
clara	clara
competenze	alkalmasság
competenze	képesítő
competenze	hatáskörök
competenze	kompetenciák
competenze	készségek
competenze	képességek
competenze	készség
competenze	szakértelem
competenze	hatáskör
competenze	hatásköre
competenze	szakértelem
competenze	szakértelemmel
competenze	hatáskörök
competenze	hatáskör
quartetto	kvartett
funzionario	hivatalos
funzionario	tisztviselő
productions	productions
productions	produkció
stadi	stadionok
stadi	szakaszok
prezzi	árak
rinuncia	lemondás
sacri	szent
enzima	enzim
scelti	választott
scelti	kiválasztottak
scelti	kiválasztott
poetessa	költő
coloniale	gyarmati
gang	banda
gang	bandák
lana	gyapjú
lana	lana
adiacenti	szomszédos
adiacenti	szomszédos
disastro	katasztrófa
testimoni	tanúk
testimoni	szemtanúk
testimoni	szemtanú
testimoni	tanú
diffusi	széleskörű
diffusi	diffúz
magnus	magnus
quattordici	tizennégy
tronco	törzs
registri	nyilvántartás
registri	nyilvántartások
considerazioni	szempontok
considerazioni	megfontolások
straordinario	rendkívüli
camere	helyiségek
camere	szoba
camere	szobákban
camere	szobák
alimentari	zöldséges
vicinanza	közelség
qualifiche	minősített
qualifiche	kötelezett
qualifiche	végzettség
qualifiche	képesítés
archeologia	régészet
archeologia	régészet
cresta	ridge
apprezzato	értékelte
solido	tömör
solido	szilárd
straniera	külföldi
straniera	külföldi
straniera	kül
straniera	külföldiek
muri	falak
muri	falakat
catanzaro	catanzaro
servito	szolgálta
servito	szolgált
apparente	látszólagos
owen	owen
kenneth	kenneth
randy	randy
controllato	ellenőrzött
controllato	ellenőrizve
controllato	ellenőriztem
controllato	ellenőrzött
controllato	ellenőrizte
marta	marta
marta	martha
architettonico	építészet
architettonico	építészeti
short	rövid
short	alacsony
short	röviden
oslo	oslo
grammy	grammy
abbigliamento	ruházat
abbigliamento	ruházata
abbigliamento	ruhák
abbigliamento	ruházat
abbigliamento	ruha
abbigliamento	ruhák
abbigliamento	ruha
abbigliamento	ruhát
where	hol
where	ahol
serpente	snake
serpente	kígyó
serpente	kígyó
felicità	boldogság
felicità	boldogságot
particolarità	sajátosságai
particolarità	sajátosságai
illustrato	illusztrált
most	legtöbb
straordinaria	rendkívüli
interessati	érintett
interessati	aggódó
interessati	érdeklődő
interessati	érdekel
interessati	érdekelt
interessati	érdekelne
interessati	érdeklődni
vincente	győztes
vincente	nyertes
peggio	legrosszabb
peggio	rosszabb
rare	ritka
trasmessi	továbbított
trasmessi	közvetített
bosnia	bosznia
bosnia	boszniai
rivolte	lázadás
rivolte	zavargások
rivolte	zavargások
rivolte	felkelések
cornice	keret
vivente	élni
vivente	élő
capitan	kapitány
nona	nona
nona	kilencedik
lapide	sírkő
lapide	sírkő
lapide	sírkő
urss	szovjetunió
celebrato	ünnepelt
territoriali	területi
hits	találat
sapienza	bölcsesség
offerto	felajánlott
offerto	kínált
offerto	felkínált
offerto	felajánlotta
vampiro	vámpírok
vampiro	vámpír
strisce	szalagok
strisce	csík
strisce	csíkos
maturità	lejárat
drive	vezetni
drive	vezess
drive	meghajtó
dottorato	doktori
dottorato	doktori
dottorato	phd
miracolo	csoda
corda	kötelet
corda	kötél
corda	akkord
ninja	ninja
ninja	nindzsa
ninja	nindzsák
triangolo	háromszög
incinta	várandós
incinta	terhes
incinta	vemhes
greatest	legnagyobb
gallerie	galériák
gallerie	alagutak
gallerie	alagút
confermata	megerősített
confermata	megerősítve
confermata	megerősítette
confermata	igazolt
cittadella	citadella
fortunato	szerencse
fortunato	szerencsés
fortunato	fortunato
human	ember
human	emberi
vestiti	ruhák
vestiti	ruha
vestiti	ruhát
corsica	corsica
trophy	trófea
inviati	elküldött
inviati	elküldve
inviati	küldött
carnevale	majális
carnevale	karnevál
impulso	pulzus
impulso	impulzus
impulso	impulzus
lucy	lucy
asiatico	ázsiai
eco	visszhang
eco	echo
lars	lars
latini	latin
latini	latinul
urbino	urbino
powell	powell
ricognizione	felderítés
ricognizione	felderítő
ricognizione	felderítés
ricognizione	felderítő
mind	elme
lento	lassú
lento	lassan
illustratore	illusztrátor
venduta	eladva
venduta	eladott
venduta	elkelt
mars	marson
mars	mars
jonas	jonas
public	nyilvános
public	nyilvánosság
public	nyilvánosan
public	publikus
fortificazioni	erődítmény
fortificazioni	erődítmény
thailandia	thaiföld
thailandia	thaiföldi
radiazione	sugárzás
vario	sokszínű
vario	változatos
vario	egyéb
vario	egyebek
vario	különféle
vario	vegyes
sopravvivenza	túlélés
accompagnata	kísérte
xavier	xavier
visitatori	látogatók
visitatori	látogatói
visitatori	látogató
visitatori	látogatói
visitatori	látogató
roberta	roberta
saltare	ugorj
saltare	ugrás
saltare	skip
saltare	ugrál
laguna	laguna
alpha	alpha
alpha	alfa
rappresentati	képviselt
rappresentati	képviselte
derek	derek
nestor	nestor
stoccarda	stuttgart
tullio	tullius
galli	gallok
galli	kakasok
atlantic	atlanti
nutre	táplálja
nutre	táplálkozik
seguaci	követői
ricostruito	rekonstruált
secondari	középfokú
secondari	másodlagos
nominata	jelöltek
nominata	jelölt
butler	butler
butler	inas
butler	komornyik
sospeso	felfüggesztett
apostoli	apostolok
walt	walt
vendute	eladva
vendute	eladott
vendute	elkelt
volti	arcokat
volti	arcok
cooperazione	együttműködés
verlag	verlag
egiziano	egyiptomi
mississippi	mississippi
armeno	örmény
miniere	bányászati
miniere	bányász
miniere	aknák
uniche	egyedülálló
uniche	páratlan
uniche	egyedi
ashley	ashley
afghanistan	afganisztán
afghanistan	afganisztáni
miranda	miranda
armistizio	fegyverszünet
armistizio	fegyverszünet
missile	rakéta
missile	rakéta
pugno	ütés
pugno	ököl
liegi	liège
astronomia	csillagászat
astronomia	csillagászati
pensione	nyugdíj
pensione	nyugdíjak
pensione	panzió
saudita	szaúdi
saudita	szaúd
masse	tömegek
ezio	ezio
depositi	betétek
depositi	betét
corruzione	vesztegetés
corruzione	korrupció
mila	mila
direttiva	irányelv
avviato	kezdődött
avviato	kezdte
avviato	elkezdődött
avviato	kezdeményezett
spettro	ghost
spettro	szellem
spettro	kísértet
spettro	spektrum
pannelli	panelek
garcia	garcia
garcia	garcía
genera	generálni
genera	generál
illuminazione	megvilágítás
illuminazione	megvilágosodás
illuminazione	világító
illuminazione	világítás
singapore	szingapúr
fisher	fisher
minacce	fenyegetés
minacce	fenyegetések
minacce	veszélyek
minacce	fenyegetés
dovere	kötelesség
dovere	vám
armstrong	armstrong
mezzogiorno	dél
mezzogiorno	délben
mezzogiorno	délben
mangiare	evés
mangiare	enni
mangiare	eszik
mangiare	egyél
aurora	aurora
trappola	csapda
albano	albano
bucarest	bukarest
karen	karen
esposta	kitett
meccanismi	mechanizmus
meccanismi	mechanizmusok
bang	bumm
fattoria	farm
fattoria	gazdaság
marinai	tengerészek
marinai	tengerészek
camp	camp
camp	tábor
barriera	korlát
barriera	akadály
petrolio	olaj
petrolio	kőolaj
petrolio	olajjal
petrolio	olajat
petrolio	kőolaj
petrolio	ásványolaj
mas	mas
protestante	protestáns
jaime	jamie
jaime	jaime
avanguardia	vanguard
primario	elsődleges
primario	primer
bin	bin
bin	kuka
duncan	duncan
amata	szerette
amata	szerettek
amata	imádott
amata	szeretett
amata	imádott
amata	szeretett
arancione	orange
arancione	narancssárga
arancione	narancs
lipsia	lipcsei
orazio	horatio
orazio	horace
tyler	tyler
elite	elit
joel	joel
combinata	együttesen
combinata	együttes
combinata	kombinált
alpini	alpesi
incisione	rézkarc
wendy	wendy
stand	áll
stand	állj
stand	fülke
stand	booth
assassinato	meggyilkolták
assassinato	megölte
assassinato	meggyilkolt
rom	rom
rom	romák
rom	roma
sacramento	sacramento
sacramento	szentség
disposizioni	rendelkezések
disposizioni	rendelkezés
complete	komplett
complete	teljes
complete	teljessé
protetto	védett
carburante	tüzelőanyag
carburante	üzemanyag
xbox	xbox
rabbia	düh
rabbia	harag
rabbia	dühöt
rabbia	haragot
rabbia	veszettség
rabbia	veszett
rabbia	düh
rabbia	harag
erroneamente	tévesen
julien	julien
edwin	edwin
kenny	kenny
spinto	lökte
