மற்றும்	et
முதலில்	premier
முதலில்	premiers
சார்ந்த	relatif
சார்ந்த	relative
சார்ந்த	parent
சார்ந்த	dépendance
சார்ந்த	dépendances
சார்ந்த	basée
சார்ந்த	basés
சார்ந்த	basé
மேல்	top
மேல்	haut
நாடு	pays
மட்டும்	seul
மட்டும்	uniquement
மட்டும்	seulement
மட்டும்	seule
அடிப்படையில்	essentiellement
அடிப்படையில்	fondamentalement
அடிப்படையில்	base
அடிப்படையில்	fondement
எண்	compter
எண்	compte
எண்	comte
எண்	nombre
எண்	numéro
குறிப்பிட்ட	déclaré
குறிப்பிட்ட	précisé
குறிப்பிட்ட	spécifiés
குறிப்பிட்ட	spécifiée
குறிப்பிட்ட	spécifié
குறிப்பிட்ட	spécifiques
குறிப்பிட்ட	spécifique
செய்ய	faites
செய்ய	faire
சிறிய	petit
சிறிய	petits
சிறிய	petites
சிறிய	petite
சிறிய	petit
சிறிய	peu
சிறிய	petite
வந்த	vint
வேறு	autre
வேறு	autres
மார்ச்	marche
மார்ச்	mars
நிலையில்	état
நிலையில்	condition
நிலையில்	étape
நிலையில்	stade
நிலையில்	scène
பெண்	fille
பெண்	fillette
பெண்	femme
பெண்	femelle
பெண்	femelles
பெண்	féminin
பெண்	femmes
பெண்	femme
வெற்றி	succes
வெற்றி	succès
வெற்றி	success
வெற்றி	réussite
வெற்றி	gagne
வெற்றி	victoires
வெற்றி	gagnante
வெற்றி	gagner
வெற்றி	gagnant
வெற்றி	gagné
வெற்றி	gagnée
வெற்றி	gagnées
வெற்றி	won
வெற்றி	gagnés
வெற்றி	victoire
வெற்றி	victoires
வெற்றி	victoire
வெற்றி	gagnez
வெற்றி	gagner
வெற்றி	gagnant
இணைப்பு	branchement
இணைப்பு	raccordement
இணைப்பு	connexion
இணைப்பு	lien
இணைப்பு	fixation
இணைப்பு	attachement
திரைப்படம்	film
திரைப்படம்	film
வகை	catégorie
வகை	catégories
வகை	taper
வகை	type
வகை	tapez
வகை	mode
ஐந்து	five
ஐந்து	cinq
அதே	pareil
அதே	meme
அதே	identique
அதே	mêmes
அதே	même
சிறப்பு	vedette
சிறப்பு	recommandés
சிறப்பு	vedettes
சிறப்பு	spéciales
சிறப்பு	spécial
சிறப்பு	spéciaux
சிறப்பு	spéciale
தமிழர்	tamouls
கட்டுரைகள்	articles
படி	lecture
படி	lisez
படி	lire
படி	lis
படி	step
படி	étape
மனித	humaine
மனித	humains
மனித	humain
பெரும்பாலும்	presque
பெரும்பாலும்	quasi
பெரும்பாலும்	pratiquement
பெரும்பாலும்	quasiment
பெரும்பாலும்	souvent
பெரும்பாலும்	principalement
பெரும்பாலும்	essentiellement
பெரும்பாலும்	surtout
கட்சி	partie
கட்சி	parti
கட்சி	fete
கட்சி	soirée
கட்சி	fête
பொது	commune
பொது	fréquent
பொது	fréquents
பொது	commun
பொது	publics
பொது	publiques
பொது	public
பொது	publique
பொது	généraux
பொது	généralités
பொது	générale
பொது	général
கல்லூரி	collège
கல்லூரி	université
இசை	musiques
இசை	musique
முறையில்	mode
நாட்டின்	pays
மத்திய	central
மத்திய	centrale
மில்லியன்	million
மில்லியன்	millions
மில்லியன்	millions
நகரம்	ville
நகரம்	villes
எந்த	lesquels
எந்த	laquelle
எந்த	lequel
எனப்படும்	appelée
எனப்படும்	appelé
எனப்படும்	appelés
நீர்	eaux
நீர்	eau
செய்யும்	faisant
செய்யும்	faire
இணைந்து	joindre
இணைந்து	rejoignez
இணைந்து	adhérer
இணைந்து	rejoindre
விக்கிப்பீடியா	wikipédia
விக்கிப்பீடியா	wikipedia
சென்று	partis
சென்று	parti
சென்று	gone
பார்க்க	consultez
பார்க்க	voyez
பார்க்க	voir
பார்க்க	vois
அணி	matrice
அணி	matrix
அணி	équipe
அணி	equipe
எழுதிய	ecrit
எழுதிய	écrite
எழுதிய	écrit
எழுதிய	écrites
எழுதிய	écrits
எழுதிய	écrivit
எழுதிய	écrit
நிலையம்	station
நிலையம்	gare
தொடர்பான	connexe
தொடர்பான	connexes
தொடர்பான	lié
தொடர்பான	liés
மீட்டர்	mètre
மீட்டர்	compteurs
மீட்டர்	mètres
மீட்டர்	compteur
மீட்டர்	mètre
இடத்தில்	place
இடத்தில்	endroit
இடத்தில்	lieu
கோவில்	temple
கோவில்	tempe
மாதம்	mois
மதுரை	madurai
ஆய்வு	etude
ஆய்வு	étudier
ஆய்வு	étude
ஆய்வு	recherches
ஆய்வு	recherche
வட	nord
குறைந்த	moindre
குறைந்த	basses
குறைந்த	basse
குறைந்த	faible
குறைந்த	faibles
குறைந்த	bas
குறைந்த	moins
டிசம்பர்	décembre
டிசம்பர்	decembre
டிசம்பர்	dec
டிசம்பர்	déc
முன்	front
முன்	avant
முன்	devant
முன்	pre
முன்	pré
முன்	auparavant
முன்	avant
வாழ்க்கை	vie
சனவரி	janvier
புனித	saintes
புனித	sainte
புனித	sacré
புனித	saint
ஆகியவை	vis
இரண்டாவது	second
இரண்டாவது	deuxième
இரண்டாவது	deuxieme
இரண்டாவது	seconde
இரண்டாவது	secondaires
இரண்டாவது	secondaire
ஆங்கிலம்	anglaise
ஆங்கிலம்	francais
ஆங்கிலம்	anglais
அங்கு	là
தொழில்	affaires
தொழில்	entreprise
தொழில்	entreprises
தொழில்	industrie
தொழில்	métier
தொழில்	profession
பழைய	ancienne
பழைய	anciens
பழைய	ancien
பழைய	vieux
பழைய	vieille
பழைய	âgées
பழைய	aîné
ஆண்டுகள்	années
ஆண்டுகள்	ans
குறிப்பாக	particulièrement
குறிப்பாக	particulièrement
குறிப்பாக	surtout
குறிப்பாக	spécialement
குறிப்பாக	spécifiquement
குறிப்பாக	précisément
குறிப்பாக	spécialement
குறிப்பாக	spécialement
பார்க்கவும்	visite
பார்க்கவும்	visitez
பார்க்கவும்	visiter
பார்க்கவும்	regardez
பார்க்கவும்	montre
பார்க்கவும்	montres
பார்க்கவும்	regarder
பார்க்கவும்	regarde
துறை	département
துறை	port
குறிக்கும்	pointage
குறிக்கும்	pointant
கடல்	marin
கடல்	marins
கடல்	marine
கடல்	mer
கடல்	océan
போல	comme
போல	aime
போல	aiment
போல	genre
போல	aimez
இதற்கு	pour
சிறு	petit
சிறு	petits
சிறு	petites
சிறு	petite
சிறு	mineures
சிறு	mineure
சிறு	mineur
தென்	méridional
தென்	sud
உயர்	élevée
உயர்	hautes
உயர்	haut
உயர்	haute
உயர்	élevé
உயர்	luxe
உயர்	deluxe
வடக்கு	nord
ஆட்சி	royaume
ஆட்சி	règle
ஆட்சி	gouvernance
ஆட்சி	règne
ஆட்சி	régner
மக்களின்	gens
மக்களின்	personnes
நோய்	maladie
நோய்	maladie
நோய்	maladies
தேர்தல்	élection
தேர்தல்	election
தேர்தல்	élections
உற்பத்தி	production
உற்பத்தி	fabrication
ஆக	aout
ஆக	août
ஆக	aug
வந்தது	arrivés
வந்தது	arrivé
வந்தது	vint
கலை	arts
கலை	art
கலை	artistique
தங்கள்	leur
தங்கள்	leurs
சமூக	sociale
சமூக	sociaux
சமூக	social
போல்	bol
போல்	comme
போல்	aime
போல்	aiment
போல்	genre
போல்	aimez
தர	qualite
தர	qualité
நூற்றாண்டு	siecle
நூற்றாண்டு	siècle
நூற்றாண்டு	century
அவருடைய	sa
அவருடைய	his
அவருடைய	ses
அவருடைய	son
உலகின்	mondes
அமெரிக்கா	amerique
அமெரிக்கா	amérique
அமெரிக்கா	amérique
அமெரிக்கா	amériques
பகுதிகளில்	domaines
பகுதிகளில்	zones
வந்து	viens
வந்து	venez
வந்து	come
வந்து	venir
பரிசு	cadeau
பரிசு	cadeaux
பிரிவு	catégorie
பிரிவு	catégories
பிரிவு	division
பிரிவு	circonscription
பிரிவு	section
உடல்	organisme
உடல்	carrosserie
உடல்	organe
உடல்	corps
இவர்கள்	ces
கூட	meme
கூட	même
கூட	également
கூட	aussi
கூட	egalement
கூட	trop
கூட	too
எழுத்தாளர்	rédacteur
எழுத்தாளர்	auteur
எழுத்தாளர்	écrivain
எழுத்தாளர்	scénariste
குழு	groupe
இலக்கிய	littérature
இலக்கிய	littéraire
இலக்கிய	littéraires
விளையாட்டு	jeux
விளையாட்டு	jeu
விளையாட்டு	sport
விளையாட்டு	sports
விளையாட்டு	gibier
விளையாட்டு	match
விளையாட்டு	jeu
விளையாட்டு	sportif
விளையாட்டு	sportive
விளையாட்டு	sport
உறுப்பினர்கள்	membres
உறுப்பினர்கள்	adhérents
இறப்பு	décès
இறப்பு	death
இறப்பு	mort
இறப்பு	mortalité
அடி	pieds
அடி	touché
அடி	frappé
அடி	frapper
துணை	associé
துணை	partenaire
துணை	associée
துணை	partenaires
துணை	soutien
துணை	assistance
துணை	appui
துணை	mœurs
துணை	vice
துணை	sub
துணை	adjoint
துணை	député
துணை	adjointe
பதிப்பு	edition
பதிப்பு	édition
பதிப்பு	version
சொல்	dites
சொல்	say
சொல்	dire
சொல்	dis
சொல்	mot
தெற்கு	méridional
தெற்கு	sud
கட்டுரை	essai
கட்டுரை	article
கட்டுரை	composition
கட்டுரை	articles
வட்டம்	cercle
சராசரி	moyen
சராசரி	moyennes
சராசரி	moyenne
தொலைக்காட்சி	téléviseur
தொலைக்காட்சி	télévision
தொலைக்காட்சி	télé
முன்னாள்	ancien
முன்னாள்	ancienne
எண்ணிக்கை	compter
எண்ணிக்கை	compte
எண்ணிக்கை	comte
எண்ணிக்கை	répétition
எண்ணிக்கை	périodicité
எண்ணிக்கை	fréquence
எண்ணிக்கை	fréquences
தவிர	exclure
தவிர	sauf
தவிர	excepté
நடிகர்	comédien
நடிகர்	acteur
பாடல்கள்	chanson
பாடல்கள்	chansons
இன்று	hui
இன்று	aujourdhui
சட்டம்	ossature
சட்டம்	cadre
சட்டம்	loi
சட்டம்	droit
சட்டம்	juridique
சட்டம்	légal
சட்டம்	légales
சட்டம்	légale
சட்டம்	agir
சட்டம்	loi
சட்டம்	acte
சட்டம்	act
அருகில்	proche
அருகில்	près
அருகில்	proximité
அருகில்	proche
நேரம்	temps
நேரம்	heure
முதலாவது	première
முதலாவது	premières
முதலாவது	premier
முதலாவது	premiers
நாம்	let
மூலமாக	via
மூலமாக	via
உணவு	alimentaire
உணவு	nourriture
உணவு	alimentation
பெப்ரவரி	fevrier
பெப்ரவரி	février
பகுதிகள்	segments
பகுதிகள்	composante
பகுதிகள்	composant
பகுதிகள்	régions
பகுதிகள்	pièces
பகுதிகள்	parties
பகுதிகள்	domaines
பகுதிகள்	zones
நிறுவனங்கள்	organismes
நிறுவனங்கள்	organisations
நிறுவனங்கள்	compagnies
நிறுவனங்கள்	entreprises
நிறுவனங்கள்	sociétés
ஜனவரி	janvier
எழுத்தாளர்கள்	scénaristes
எழுத்தாளர்கள்	auteurs
எழுத்தாளர்கள்	écrivains
நல்ல	bons
நல்ல	bien
நல்ல	bonne
நல்ல	bon
நல்ல	bonnes
அடுத்த	prochain
அடுத்த	suivante
அடுத்த	suivant
அடுத்த	prochaine
அடுத்த	next
படம்	photo
படம்	image
படம்	photo
படம்	image
பாதுகாப்பு	défense
பாதுகாப்பு	sécuritaire
பாதுகாப்பு	sûr
பாதுகாப்பு	coffre
பாதுகாப்பு	protection
பாதுகாப்பு	sûreté
பாதுகாப்பு	sécurité
பாதுகாப்பு	securite
பாதுகாப்பு	securité
பாதுகாப்பு	sûreté
பாதுகாப்பு	sécurité
தந்தை	pére
தந்தை	pere
தந்தை	père
பங்கு	rôle
பார்க்கப்பட்ட	visionné
பயன்படுத்தி	utiliser
பயன்படுத்தி	utilisant
அவர்களின்	leur
அவர்களின்	leurs
செய்த	fait
செய்த	fabriqués
செய்த	faite
செய்த	fabriqué
பதிவு	impression
பதிவு	enregistrer
பதிவு	enregistrez
பதிவு	registre
பதிவு	enregistre
பதிவு	record
பதிவு	enregistrer
பதிவு	inscription
பதிவு	enregistrement
பதிவு	immatriculation
பதிவு	publier
பதிவு	poste
பதிவு	publication
ஐரோப்பிய	européens
ஐரோப்பிய	européennes
ஐரோப்பிய	européenne
ஐரோப்பிய	européen
முழுவதும்	complètement
முழுவதும்	pleinement
முழுவதும்	entièrement
முழுவதும்	totalement
முழுவதும்	complètement
முழுவதும்	complétement
முழுவதும்	entièrement
முழுவதும்	totalement
முழுவதும்	completement
முழுவதும்	complète
முழுவதும்	pleine
முழுவதும்	plein
முழுவதும்	complet
முழுவதும்	complète
முழுவதும்	complets
முழுவதும்	complètes
முழுவதும்	complet
பயனர்	utilisateur
பயனர்	usager
தொடர்	serial
தொடர்	série
தொடர்	continuer
தொடர்	continue
தொடர்	continuons
தொடர்	continuez
தொடர்	poursuivre
தொடர்	procéder
போன்றவை	etc
ஜூன்	juin
ஜூன்	jun
ஜூன்	juin
வழியாக	via
உறுப்பினர்	membres
உறுப்பினர்	membre
உறுப்பினர்	membres
உறுப்பினர்	adhésion
உறுப்பினர்	client
ஆசிரியர்	rédacteur
ஆசிரியர்	éditeur
ஆசிரியர்	rédactrice
ஆசிரியர்	editeur
ஆசிரியர்	professeur
ஆசிரியர்	enseignante
ஆசிரியர்	enseignant
ஆசிரியர்	institutrice
ஆசிரியர்	auteure
ஆசிரியர்	auteur
ஆஃப்	off
ஆஃப்	hors
முக்கியமான	importante
முக்கியமான	important
முக்கியமான	importantes
முக்கியமான	importants
முக்கியமான	critique
முக்கியமான	critiques
தொடர்பு	contacter
தொடர்பு	contactez
தொடர்பு	contact
தொடர்பு	contacte
செய்தார்	did
ஜூலை	juillet
ஆற்றல்	énergie
ஆற்றல்	énergies
ஆற்றல்	energie
கிலோ	kilo
வேலை	travaux
வேலை	travail
வேலை	travailler
சமய	religieux
சமய	religieuses
சமய	religieuse
பணி	travaux
பணி	travail
பணி	travailler
பணி	tâche
கதை	récit
இடையே	entre
பட்டம்	diplôme
பட்டம்	degré
பட்டம்	kite
வழி	sentier
வழி	piste
வழி	façon
வழி	manière
வழி	way
அப்போது	ensuite
அப்போது	alors
அப்போது	puis
விடுதலை	liberation
விடுதலை	libération
விடுதலை	liberté
ஆகஸ்ட்	aout
ஆகஸ்ட்	août
தேதி	date
பிறந்த	naissance
இன்னும்	et
இன்னும்	still
இன்னும்	encore
இன்னும்	toujours
ஜான்	jean
ஜான்	john
ஜான்	jon
ஜான்	jaan
அடுத்து	prochain
அடுத்து	suivante
அடுத்து	suivant
அடுத்து	prochaine
அடுத்து	next
சேவை	service
கருத்து	commentaire
கருத்து	commente
கருத்து	commenter
கருத்து	commentaires
கருத்து	rétroaction
கருத்து	thème
காரணம்	raisons
காரணம்	raison
காரணம்	cause
தனி	privée
தனி	privé
தனி	privés
தனி	distinct
தனி	séparés
தனி	séparé
தனி	séparées
தனி	séparer
அவருக்கு	lui
நீண்ட	boing
நீண்ட	longues
நீண்ட	longs
நீண்ட	longue
நீண்ட	longtemps
நீண்ட	long
பள்ளி	ecole
பள்ளி	école
மற்றொரு	another
மகன்	fils
மகன்	fiston
சர்வதேச	international
சர்வதேச	internationaux
சர்வதேச	internationale
எல்லா	toute
எல்லா	toutes
எல்லா	tous
எல்லா	tout
எல்லா	all
பொருட்கள்	objets
பொருட்கள்	produits
பொருட்கள்	approvisionnement
பொருட்கள்	fournitures
மின்	électrique
மின்	electrique
என்றால்	moyens
என்றால்	signifie
ஏழு	seven
ஏழு	sept
நடைபெற்ற	tenu
முன்னர்	auparavant
முன்னர்	précédemment
முன்னர்	auparavant
முன்னர்	avant
பொறியியல்	ingénierie
பொறியியல்	génie
கா	kha
அமைப்புகள்	organismes
அமைப்புகள்	organisations
அமைப்புகள்	paramètres
அமைப்புகள்	réglages
அமைப்புகள்	configuration
அமைப்புகள்	paramétrage
மொழிகள்	langues
அத்துடன்	également
அத்துடன்	aussi
அத்துடன்	egalement
முழு	complète
முழு	pleine
முழு	plein
முழு	complet
முதன்மை	top
முதன்மை	haut
முதன்மை	primaire
முதன்மை	primaires
முதன்மை	principal
முதன்மை	principales
முதன்மை	main
முதன்மை	principale
முதன்மை	principaux
மணி	mani
மணி	heure
மணி	cloche
மணி	clochette
மணி	bell
தொகுப்பு	paquetage
தொகுப்பு	forfait
தொகுப்பு	paquet
தொகுப்பு	colis
தொகுப்பு	ramassage
தொகுப்பு	recouvrement
