zime	winters
ohrani	behou
ohrani	handhaaf
ohrani	onderhou
sanj	drome
sigismund	sigismund
dram	dram
leseno	wooden
leseno	hout
petrov	petrov
gene	gene
trupa	romp
označeni	gemerk
sporno	betwis
sporno	omstrede
subjekt	onderwerp
subjekt	entiteit
leslie	les
leslie	leslie
kuga	plaag
daljnogled	teleskoop
specifični	spesifiek
specifični	spesifieke
rane	wonde
trdne	soliede
trdne	solied
profesionalno	professioneel
profesionalno	professionele
valentina	valentina
valentina	valentino
švico	switserland
plesni	skimmel
obrti	handewerk
akt	wet
spremljanje	monitering
spremljanje	monitor
demokracija	demokrasie
wang	wang
leipzig	leipzig
stefano	stefano
dežja	reën
okrogle	rondte
four	vier
zaposlena	employed
zaposlena	besig
oxfordu	oxford
čista	suiwer
biološke	biologiese
zmaja	kite
nevarna	gevaarlike
nevarna	gevaarlik
nevarna	gevaarlike
ante	ante
montgomery	montgomery
barja	vleie
pekel	hell
pekel	inferno
pekel	hells
trgovanje	verruil
trgovanje	handel
trgovanje	trading
epizoda	episode
aluminij	aluminium
aluminij	aluminium
flota	fleet
kanadsko	kanadese
kanadsko	kanadees
akademski	akademiese
akademski	akademies
popotnik	traveler
popotnik	swerwer
popotnik	reisiger
moment	oomblik
semen	seeds
standardi	standaarde
garden	tuin
težavo	probleem
težavo	problem
brezplačno	gratis
brezplačno	vry
brezplačno	free
kandidatov	kandidate
televizijo	televisie
glenn	glen
glenn	glenn
marussia	marussia
odkrita	ontdekte
odkrita	opgespoor
odkrita	bespeur
bližje	nader
obraza	gesiggie
obraza	gesig
produkti	produkte
magister	magister
berry	bessie
berry	berry
železna	yster
razkol	skisma
strehe	dakke
gas	gas
niki	nicki
niki	niki
oak	oak
rojene	gebore
prusija	pruise
polobli	halfrond
zaprti	geslote
zaprti	gesluit
zaprti	toegemaak
testi	toetse
rušilcev	destroyers
verstappen	verstappen
brien	brien
zdravi	gesonde
pariški	parys
madison	madison
delle	delle
privrženci	volgelinge
operator	operator
pasme	rasse
stabilen	stabiel
stabilen	stable
stabilen	stabiele
cat	kat
klinični	kliniese
oddaljeno	verre
oddaljeno	afgeleë
oddaljeno	remote
kemična	chemiese
spremenjena	gewysig
cerro	cerro
enotnost	unity
prometni	traffic
prometni	verkeer
globalno	wêreldwyd
globalno	global
globalno	globale
globalno	globaal
opozorilo	waarskuwing
katerikoli	enige
avtoceste	highways
redna	gereelde
darilo	geskenk
jorge	jorge
euler	euler
aretiran	arrest
harper	harper
uporniki	rebels
uporniki	rebelle
sloves	reputasie
pridobijo	verkry
ugodno	gunstig
saška	sakse
dihal	respiratoriese
ovire	versperrings
ovire	hindernisse
ovira	hindernis
ovira	barrier
cole	cole
campo	campo
čile	chili
namerava	voornemens
izvoljena	elected
izvoljena	verkose
piva	bier
piva	beers
zaklad	treasure
finančna	finansiële
finančna	finansieel
razsežnost	dimensie
razsežnost	dimension
zabavo	party
zabavo	feesvieringe
zabavo	partytjie
zabavo	vermaak
konvencije	konvensie
konvencije	convention
konvencije	gebruike
zbirajo	versamel
srbi	juk
nepravilno	verkeerd
nepravilno	verkeerdelik
spusti	druppel
spusti	val
connecticut	connecticut
vodilna	voorste
vodilna	leidende
stanford	stanford
pakistan	pakistan
srečen	gelukkig
pionir	pioneer
pionir	pionier
demo	demo
demo	demonstrasie
württemberg	württemberg
natančen	presiese
natančen	akkurate
natančen	akkuraat
natančen	presiese
natančen	presies
emma	emma
balet	ballet
aparat	apparaat
warwick	warwick
mrk	eclipse
ekonomija	econ
ekonomija	ekonomie
ekonomija	ekonomie
ekonomija	ekonomies
bello	bello
bello	bella
bogastva	riches
bogastva	rykdom
gole	bare
zvest	lojaal
zvest	loyal
zvest	lojale
zvest	faithful
lažji	makliker
lažji	ligter
ano	ana
povprečje	gemiddelde
povprečje	gemiddeld
gozdarstvo	bosbou
depresija	depressie
sosednji	aangrensende
hud	hud
vpogled	insig
vpogled	opsoek
vpogled	insigte
športnik	atleet
kirurg	chirurg
aluminijev	aluminium
perspektive	perspektiewe
perspektive	perspektief
mlajša	jonger
rjava	bruin
prazno	leeg
prazno	leë
prazno	egipte
prazno	leë
prazno	blank
poklicna	professioneel
poklicna	professionele
pomočnika	assistent
pomočnika	helper
protein	protein
protein	proteïen
pričakovali	verwag
galaksija	galaxy
galaksija	sterrestelsel
brooklyn	brooklyn
temple	tempel
temple	temple
večno	verewig
večno	ewige
osmi	eighth
tokov	strome
lokomotiva	lokomotief
sonda	ondersoek
kuge	plaag
jakost	sterkte
vaščani	villagers
sončna	sunny
sončna	sonnige
sončna	sonnig
sončna	solar
nositi	dra
nositi	carry
nositi	wear
znamka	handelsmerk
moss	mos
moss	moss
rodov	genera
štajerska	stiermarke
informacija	informasie
informacija	inligting
tedne	weke
sektor	sektor
oklahoma	oklahoma
dušik	stikstof
prostorsko	ruimtelike
walsh	walsh
mio	mia
mio	mio
črpalka	pomp
torpedo	drilvis
luther	luther
lane	lane
fifa	fifa
preliv	dressing
vladavina	reign
bolgari	bulgare
steffi	steffi
luke	luke
luke	lukas
kritični	kritieke
kritični	krities
kritični	kritiese
kritični	kritiek
dušika	stikstof
združi	versmelt
združi	samevoeging
združi	saamsmelt
združi	kombineer
združi	saamstaan
patton	patton
neposredne	direk
neposredne	rig
neposredne	direkte
obiskovalci	besoekers
pink	pienk
čaščenje	aanbidding
čaščenje	aanbidding
čaščenje	worship
omejeni	beperkte
omejeni	beperk
omejeni	beperk
fletcher	fletcher
peters	peters
filippo	filippo
pojasnilo	verduideliking
pojasnilo	clarification
tisočletje	millennia
tisočletje	millennium
plače	loon
plače	salaris
plače	salarisse
ocenjevanje	beoordeling
rex	rex
astronomijo	sterrekunde
ciper	cyprus
roza	pienk
diplomo	diploma
dodaten	ekstra
konzul	consul
sten	mure
kapital	hoofstad
eksplozija	ontploffing
vrtenje	rotasie
vrtenje	spinning
banja	banja
ugotovitev	aangaan
glukoze	glukose
naročila	gesorteer
naročila	bestel
naročila	orde
naročila	bestel
naročila	volgorde
naročila	bestelling
naročila	rangskik
naročila	orders
naročila	bestellings
objavljene	gepubliseer
podružnice	takke
karta	kaartjie
karta	kaarte
poslanstvo	missie
poslanstvo	sending
amon	amon
amon	amoen
venera	venus
kmetijski	agricultural
budizem	boeddhisme
kršitev	skending
poskuse	eksperimente
ilija	ilja
sloni	elephants
pečat	seal
pečat	seël
irsko	ierse
irsko	irish
irsko	iers
irsko	ierland
spodbujanje	aanmoediging
spodbujanje	promosie
spodbujanje	bevorder
spodbujanje	promoveer
spodbujanje	bemark
kmeta	boere
kmeta	farmer
pivo	bier
pivo	beers
vrtec	kleuterskool
vrtec	kleuterskool
hercegovine	herzegowina
znamenja	merke
znamenja	omens
znamenja	tekens
bratranec	niggie
bratranec	neef
organe	organe
lepote	skoonheid
lauda	lauda
zakonodajo	wetgewing
caroline	caroline
soares	soares
raznolikost	verskeidenheid
raznolikost	verskeidenheid
romantike	romanse
nogo	voet
krajša	korter
lamborghini	lamborghini
sporna	betwis
sporna	omstrede
skladišče	warehouse
skladišče	berging
northrop	northrop
islamski	islamitiese
računalniška	rekenaar
thomson	thomson
vega	vega
posvečeno	toegewyde
posvečeno	dedicated
posvečeno	opgedra
profile	profiele
basel	basel
gif	gif
ogrodje	raam
prizore	skerms
prizore	scenes
prizore	tonele
temeljna	fundamentele
izrecno	uitdruklik
izrecno	pertinent
izrecno	eksplisiet
izrecno	eksplisiete
augustus	august
klubi	klawer
klubi	klubs
kalijev	kalium
toledo	toledo
potrditev	bevestiging
potrditev	bevestig
slapovi	watervalle
rezidenca	woonplek
avstralijo	australië
uma	uma
baziliko	minor
habsburžani	habsburgs
portugalsko	portugese
portugalsko	portugees
portugalsko	portugal
strop	plafon
hartmann	hartmann
izdano	uitgereik
označi	merk
označi	merker
označi	markus
označi	merk
označi	mark
spori	teenstrydighede
spori	botsings
spori	geskille
spori	dispute
grace	grace
digitalna	digitale
digitalna	digital
dur	dur
zmanjšana	afgeneem
zlo	boos
zlo	bose
iowa	iowa
pearl	pearl
centimetrov	sentimeter
centimetrov	duime
centimetrov	duim
aaron	aaron
gnezdo	nes
razdeljeni	ingedeel
razdeljeni	verspreide
normandiji	normandië
vest	bewussyn
amy	amy
grič	heuwel
grič	hill
koreji	korea
clay	clay
prvaki	champions
jude	jude
fiat	fiat
magnetni	magnetiese
sirije	sirië
plastike	plastiek
hmas	hmas
omejene	beperkte
omejene	beperk
duet	duet
duet	duet
duet	duo
slovaški	slowaaks
obalna	coastal
afriški	afrikaanse
afriški	afrikaan
afriški	afrika
afriški	african
risbe	tekeninge
vita	vita
fazah	stages
daljša	langer
rolf	rolf
eksperimentalno	eksperimentele
eksperimentalno	eksperimenteel
devica	virgo
devica	virgin
devica	maagd
negativen	negatiewe
negativen	negatief
poceni	goedkoop
bariton	bariton
pan	pan
ploščice	teël
ploščice	geteël
ploščice	teëls
scena	scene
scena	toneel
dietrich	dietrich
zadetek	doellyn
zadetek	getref
zadetek	tref
bains	bains
fanta	seuns
magic	toor
magic	magic
vetrovi	winds
ogromne	huge
albrecht	albrecht
maine	maine
toplotno	termiese
dos	dos
jensen	jensen
lindsay	lindsay
františek	františek
vrstice	rye
vrstice	reëls
mehanika	mechanics
narejeni	gemaak
osborne	osborne
junakov	heroes
junakov	helde
ozek	smal
žalosti	hartseer
težava	probleem
težava	problem
emily	emily
trdnost	sterkte
izhod	afvoer
izhod	verlaat
oslo	oslo
sled	trail
sled	spoor
sled	herring
sled	trace
sklop	cluster
sklop	saamstel
sklop	gemeente
jun	jun
jun	july
jun	junie
zimo	winter
sok	sap
krovu	bord
vztrajno	aanhoudend
vztrajno	hardnekkige
alge	alg
kovina	metaal
kilogramov	ponde
peru	peru
izdaj	uitgawes
izdaj	kwessies
miško	muis
pričakovanja	expectations
pričakovanja	verwagting
lidija	lydia
apple	appel
apple	apple
dubrovnik	dubrovnik
ogroženih	bedreigde
odgovori	antwoord
odgovori	antwoorde
odgovori	antwoorde
kroglo	orb
pesniki	digters
havilland	havilland
winter	winter
bonifacij	bonifatius
pravilna	korrek
ustrezna	relevante
ustrezna	relevant
ustrezna	gepas
ustrezna	geskikte
ustrezna	gepas
ustrezna	toepaslike
ustrezna	voldoende
začetno	aanvanklike
maščevanje	vengeance
maščevanje	wraak
maščevanje	revenge
železov	yster
sierra	sierra
občutljivost	teerheid
ribolov	visvang
blata	mud
vatikan	vatikaan
vprašal	gevra
messerschmitt	messerschmitt
kong	kong
enterprise	onderneming
prepovedana	verbode
prepovedana	verbande
prepovedana	verban
zadovoljen	tevrede
oglaševanje	reklame
oglaševanje	advertering
oglaševanje	advertensies
torre	torre
jabolko	appel
jabolko	apple
kal	kal
dosledno	konsekwent
izračun	berekening
izračun	reken
odmerek	dose
digitalno	digitale
digitalno	digital
kandidati	kandidate
kandidati	aansoekers
gmbh	gmbh
ubitih	gedood
ubitih	doodgemaak
ubitih	vermoor
novica	nuus
aplikacije	toepassings
aplikacije	programme
aplikacije	aanwendings
aplikacije	aansoeke
aplikacije	toepassings
steza	volg
steza	snit
steza	baan
steza	spoor
steza	runway
pepel	ashes
pepel	ash
gov	gov
litva	litaue
iva	iva
kult	cult
nemec	duits
latvija	letland
frekvence	frekwensies
parametre	parameters
gustave	gustave
okrožij	distrikte
obdelava	behandeling
jeklo	staal
prisilno	geforseer
prisilno	gedwing
oblaki	wolke
algebra	algebra
žarek	beam
žarek	straal
žarek	lewendige
operativno	operasionele
beatles	beatles
klic	oproep
klic	bel
klic	roep
klic	skakel
budimpešti	budapest
ustavno	ingryping
ustavno	konstitusionele
ustavno	grondwetlike
sesalci	mammals
predmestju	suburbs
predmestju	voorstede
predmestju	suburban
grosjean	grosjean
bivanje	woonplek
rogers	rogers
terapije	therapy
youthyears	youthyears
standarde	standaarde
warner	warner
produkcije	productions
olimpijada	olimpiade
maščob	fats
maščob	vet
maščob	fat
cesare	cesare
podjetji	ondernemings
podjetji	enterprises
kosi	stukke
odstotek	persentasie
odstotek	persent
miss	mejuffrou
miss	miss
miss	mej
šaha	skaak
avril	avril
mara	mara
nepričakovano	onverwags
nepričakovano	onverwags
nepričakovano	onverwagte
nepričakovano	onverwagse
ist	ist
regionalno	streek
priznani	herken
priznani	erkende
izvoz	uitvoer
izvoz	verstryk
katerokoli	enige
strel	skoot
prevodnost	geleidingsvermoë
montrealu	montreal
express	express
nadomesti	oorskryf
nadomesti	oordra
nadomesti	spasie
iljušin	ilyushin
slikanje	skilder
slikanje	skildery
petdeset	vyftig
men	mans
men	manne
gnus	afgryse
izvolitev	verkiesing
fleming	fleming
udarci	blows
sveže	vars
templjev	tempels
regina	regina
stavki	staking
stavki	strike
stavki	frases
stavki	sinne
fontana	fontana
fontana	fontein
mačke	katte
mačke	cats
salvador	salvador
kap	beroerte
trajanje	duur
trajanje	tydperk
trajanje	tydsduur
innsbrucku	innsbruck
magdalena	magdalene
magdalena	magdalena
magdalena	río
riga	riga
serijsko	serie
jerry	jerry
najdeni	gekry
najdeni	gevind
prijateljica	vriend
zvestobo	fidelity
weiss	weiss
tostring	tostring
centrov	sentrums
starše	ouers
volumen	volume
približek	volmag
približek	instaan
vito	vito
izvršni	uitvoerende
tehta	weeg
lado	lado
afganistanu	afghanistan
koristno	bruikbare
koristno	nuttig
koristno	nuttige
koristno	gehelp
koristno	hulpvaardig
koristno	behulpsaam
koristno	nuttig
nadaljevalo	volgehoue
nadaljevalo	deurlopende
nadaljevalo	voortdurende
vzela	took
okuženih	besmette
okuženih	besmet
okuženih	aangetaste
tvoje	joune
tvoje	jou
renato	renato
kmetijsko	agricultural
kmetijsko	agri
sončno	sunny
sončno	sonnige
sončno	sonnig
sončno	solar
štirideset	veertig
tkiv	tissues
pero	feather
pero	pen
johanna	johanna
avro	avro
partner	vennoot
partner	maat
partner	lewensmaat
partner	metgesel
kolidž	kollege
brest	brest
znamk	brands
črn	swart
denarno	monetêre
usmerjeni	regie
usmerjeni	gerig
sedeži	sitplekke
toulouse	toulouse
felice	felice
hranil	nutrient
balkan	balkan
kapitala	hoofstad
izjava	stelling
izjava	verklaring
meshid	meshid
gorsko	berg
opazovalec	observer
celični	sellulêre
sirijo	sirië
ustanovni	stigting
obiskovalce	besoekers
authorlink	authorlink
nino	nina
nino	nino
emanuel	emanuel
plesa	dans
suhe	droë
suhe	dry
suhe	droog
realizem	realisme
sredozemsko	mediterreense
izraelski	israeliese
izraelski	israel
izgine	verdwyn
zbrana	versamelde
zima	winter
obtok	sirkulasie
sands	sands
natalija	natalia
frekvenca	frekwensie
ipa	ipa
zdravstvo	gesondheidsorg
vejo	tak
violina	viool
nemščina	duits
émile	émile
fry	fry
klarinet	klarinet
vesela	gelukkig
prebiva	woonagtig
jezikoslovje	taalkunde
luksemburg	luxembourg
peska	sand
kardinali	kardinale
magyar	magyar
učinkoviti	doeltreffende
učinkoviti	doeltreffend
učinkoviti	effektief
lase	hare
romane	romans
roža	blom
poslopja	geboue
natančnost	presisie
natančnost	akkuraatheid
carmen	carmen
evro	euro
zavarovanje	collateral
zavarovanje	versekering
susan	susan
alois	alois
tropskih	tropiese
koncerte	konserte
bauer	bauer
bauer	bouwer
helene	helene
prispe	aankoms
prispe	arriveer
nicole	nicole
organiziran	georganiseerde
organiziran	georganiseerd
organiziran	georganiseer
datavalue	datavalue
podgorica	podgorica
seattle	seattle
vmesni	intermediate
spopadi	teenstrydighede
spopadi	botsings
evangeličanska	evangeliese
evangeličanska	evangelies
uradniki	departementele
uradniki	amptenare
orla	eagle
orla	arend
upravitelj	bestuurder
upravitelj	administrateur
letel	flew
ponovitev	herhaling
ponovitev	hardloop
pen	pen
računalniki	rekenaars
debelo	dik
argentino	argentinië
soncem	son
parco	parco
logo	logo
logo	kenteken
gegenwart	gegenwart
gline	clay
hitrejši	gouer
hitrejši	vinniger
biologija	biologie
beneška	venesiese
moder	gebeur
moder	wise
eugenio	eugenio
meteorit	meteoriet
gred	shaft
letne	seisoene
letne	jaarlikse
asp	asp
strela	weerlig
cecil	cecil
objava	plasing
objava	plaas
objava	publisering
istanbul	istanbul
istanbul	istanboel
bennett	bennett
sodnikov	regters
skladišča	pakhuise
puško	geweer
resničnost	realiteit
resničnost	werklikheid
timo	timo
mat	matte
mat	mat
mat	skaakmat
padavine	neerslag
plenilci	raiders
emile	emile
cameron	cameron
break	breek
break	blaaskans
centri	sentrums
centri	sentrums
romano	romano
mozart	mozart
mississippi	mississippi
ujeti	vang
ujeti	vasgevang
ujeti	vasgekeer
ciudad	ciudad
prikazano	vertoon
prikazano	uitgebeeld
papa	papa
hrt	greyhound
generator	generator
monika	monika
poklical	geroep
poklical	gebel
poklical	naamlik
začasni	tydelik
začasni	geheue
začasni	tydelike
začasni	provisional
zakonsko	legally
skrajni	uiters
skrajni	extreme
kopno	grond
kopno	mainland
faktorji	faktore
malcolm	malcolm
ujet	gevang
ujet	vasgevang
ujet	vasgekeer
neuradno	unofficial
kovanec	muntstuk
kovanec	coin
shaw	shaw
petelin	cock
petelin	haan
block	blokkeer
block	blok
titan	titanium
titan	titan
izgnanstvu	exile
laval	laval
santana	santana
izboljšave	verbeterings
greg	greg
sébastien	sébastien
raznolikosti	verskeidenheid
generacijo	generasie
razdeljene	ingedeel
niger	niger
tvoj	jou
tvoj	joune
