бухгалтер	محاسب
натяк	ایما
натяк	شائبہ
натяк	احتمال
англієць	برطانوی
візуальний	عینی.
візуальний	بصری
візуальний	عینی.
візуальний	نظری
тонів	تان
профілактика	تدارک
навчитися	ہدایت
навчитися	واقف
щомісяця	حیض.
щомісяця	حیض.
щомісяця	ماہوار
проповідь	تلقین
проповідь	ہدایت
проповідь	وعظ
проповідь	تلقین
проповідь	ہدایت
душею	روح
незмінною	پورا
незмінною	سالم
елементарні	سادہ
елементарні	بنیادی
елементарні	صاف
чуття	معقول
чуття	سمجھنا.
чуття	پالینا.
чуття	(بعدہ
чуття	فہم
достовірність	دستبرداری
кишені	منّا
суперництво	ہمسری
суперництво	ٹکّر.
кристалічних	بلوری
улюблена	پسندیدہ
впевненість	جرأتمندی.
вакуум	خلاروب.
вакуум	خلا
вакуум	خلاروب.
кошик	حرامی
закінчилась	بیش
закінчилась	بالا-
закінчилась	اوپر
закінчилась	قبضہ
закінчилась	ختم
закінчилась	مزید
закінчилась	اضافی.
закінчилась	زائد
закінчилась	بیرونی.
закінчилась	برتر.
закінчилась	لیٹنے
закінчилась	افضل
закінчилась	بعبور
фургон	چھڑلا.
фургон	چھاج
фургон	ہراول.
укриття	تحفظ
укриття	خطرے
укриття	آڑ
укриття	بچاؤ
укриття	پناہ
укриття	تحفظ
укриття	خطرے
укриття	آڑ
укриття	بچاؤ
зненацька	معاً
зненацька	فوراً
зненацька	یکبارگی
покупки	خریداہواسامان
суфікс	-ing
суфікс	-fy
суфікс	بڑھانے
суфікс	اضافہ
суфікс	حدود.
суфікс	وسعت
суфікс	توسیع
суфікс	طوالت.
суфікс	پھیلاؤ
суфікс	پہنائی
щоденна	معمولی
контейнер	ظرف
гуру	استاد
бан	بددعا
бан	امتناع
бан	لعنت.
бан	(banned
бан	بددعا
бан	بندش
бан	امتناع
бан	لعنت.
бан	(banned
коробочка	مجمل
коробочка	خلاصہ
обіцянку	اقرار.
обіцянку	قول
обіцянку	عہد
обіцянку	اقرار.
обіцянку	قول
обіцянку	وعدہ
перпендикулярно	استادہ
перпендикулярно	کھڑا.
перпендикулярно	سُتواں
перпендикулярно	استادہ
перпендикулярно	کھڑا.
перпендикулярно	کھڑا
перпендикулярно	عمود
перпендикулярно	سُتواں
прецедент	اوّلیت
префікс	non-
топологія	مقامیات
розважальний	تفریحی
молодою	خرد.
караван	کارواں.
караван	قافلہ
караван	کارواں.
інфекція	چھوت
голландська	جرمنی
голландська	ولندیزی.
голландська	ایفریکان.
голландська	بیوی
лан	تال
лан	روشنی
лан	عدسہ
лан	تال
лан	روشنی
бензин	پٹرول.
батьківського	جدّاعلیٰ.
батьківського	پُرکھا
батьківського	بانی
батьківського	موجد
батьківського	جڑ
батьківського	اصل
шина	تھکانا.
шина	تھکنا
шина	تھکانا.
пиріг	چمار.
пиріг	شکر
пиріг	موچی
пиріг	چمار.
пиріг	شکر
пиріг	افراتفری.
новина	اطلاع
саміт	قمّہ.
саміт	مذاکرات
відсотки	تناسب.
відсотки	دلچسپی
відсотки	منافع
відсотки	بیاج.
відсотки	سُود
відсотки	دلچسپی
відсотки	فائدہ
відсотки	منافع
відсотки	بیاج.
кохана	محبوب
кохана	محبوبہ.
кохана	معصوم
кохана	دلدار.
кохана	محبوب
кохана	دلارا
кохана	پسندیدہ
кохана	چہیتا
кохана	حسین
кохана	دلکش.
кохана	مرغوب.
кохана	خوبصورت
кохана	دلدار.
кохана	محبوب
кохана	دلارا
кохана	پسندیدہ
кохана	چہیتا
кохана	حسین
кохана	دلکش.
кохана	پیارا
кохана	مرغوب.
кохана	خوبصورت
їсть	خوراک
симпатії	شرکت
симпатії	اکثربعدہ
симпатії	ہمدردی.
симпатії	تعزیت.
бажаючих	تیار
бажаючих	تیار
бажаючих	آمادہ
бажаючих	راضی
джейк	ٹھیک
джейк	درست
надлишок	نازیبا
надлишок	تجاوز.
надлишок	زیادتی
отрута	بھٹکانا.
отрута	بہکانا
отрута	ہوا
отрута	بھٹکانا.
отрута	سم
отрута	زہر
отрута	بہکانا
отрута	ہوا
хочеш	غربت-
хочеш	غیرموجودگی
бонд	تعلق
бонд	چپکنا
бонд	چپکن
бонд	تھامنا.
бонд	معاہدہ
бонд	جوڑنا.
бонд	الصاق.
тісто	نقدی.
готуватися	طعن
готуватися	طنز
готуватися	گھیرنا
готуватися	استہزا.
диктатор	زبردست
усвідомлює	آگاہ.
усвідомлює	مطلع
пдв	حوض
пдв	ہودی
пдв	ماٹ
внук	نواسا.
внук	پوتا
родючі	مخترع
глобальний	عالمگیر
травма	دہاکا
травма	بپتا.
травма	مصیبت
матеріальне	اسم.
матеріальне	وقیع.
матеріальне	تجویز
справедливий	مُبّیضہ
справедливий	حتمی.
справедливий	صاف
справедливий	اچھا
справедливий	منصفانہ
справедливий	گورا
справедливий	ٹھیک
справедливий	واضح
справедливий	تعریفی
справедливий	حسین
справедливий	عمدہ
справедливий	مکمل
справедливий	حسینہ.
справедливий	مہربان
раб	بندہ
пацієнт	صابر
пацієнт	ضابط
пацієнт	انگیزنے
сусід	ملحق
сусід	پڑوسی
сусід	ملحق
сусід	ہمسایہ
досконало	بالکل
досконало	سالم
досконало	نرا
досконало	کامل
наліт	لوحین.
наліт	دھات
позитивне	ظاہر
позитивне	بامقصد
позитивне	بیّن
позитивне	اضافے
позитивне	حتمی
позитивне	تعمیری
позитивне	مثبت
позитивне	واثق
позитивне	زائد
позитивне	محکم
позитивне	پکّا
позитивне	قطعی
позитивне	حقیقی
сліпих	بہانہ
ніздрі	منخر
ніздрі	نتھنا
ніздрі	منخر
дебати	بحث
абзац	پارا.
вічність	دوام
роса	شادابی
роса	تازگی
роса	شبنم
роса	اوس
роса	شادابی
роса	تازگی
сміх	قہقہہ
сміх	کھلکھلانا.
сміх	کامیاب
сміх	کھلکھلانا.
сміх	ہنسنا
сміх	کامیاب
коректно	راستی
коректно	درستی
надійний	(بیان
надійний	پختہ
надійний	راست
надійний	مرتکز
надійний	(ورزش
надійний	مضبوط
надійний	کھرا.
напишіть	مضمون
напишіть	لکھوانا.
напишіть	علامت
напишіть	متن
напишіть	قلم
напишіть	(صفحہ
напишіть	فقرہ
напишіть	لکھنا
шлюз	ڈیوڑھی.
шлюз	باب.
розумна	مُستعد
розумна	پُھرتیلا
розумна	ذہین.
розумна	ہنرمند
розумна	مُستعد
розумна	پُھرتیلا
розумна	ہوشیار
розумна	ذہین.
розумна	تیز
розумна	چالاک
розумна	ہنرمند
мішок	پتلون
мішок	تحقیرکرنا
мішок	پاجامہ
мішок	کثرت
мішок	پھلانا
захоче	بعدہ
зради	عیّاری.
зради	دھوکا
зради	عیّاری.
красива	دلکش
красива	عمدہ
красива	نفیس
красива	اعلیٰ
красива	خوبصورت
стайні	کھوکھا
стайні	جامد
стайні	روکنے
відкинути	رد
відкинути	ترک
відкинути	بھلانا
відкинути	بکھرنا
відкинути	جاؤ!.
відкинути	رخصت
відкинути	فارغ
відкинути	توڑنا
відкинути	ردکرنا
відкинути	ماننے
класифікувати	درجے
дитяче	آل
дитяче	طفل
дитяче	پیرو
дитяче	اولاد
кенгуру	کنگرو
збиток	گمشدگی.
збиток	نقصان
збиток	گمشدگی.
збиток	نقصان
збиток	گھاٹا
збиток	ضرر
величі	عظمت
величі	بُزرگی
тягар	لادنا
тягар	ستانا.
тягар	لادنا
тягар	ستانا.
тягар	بوجھ
меморандум	نجی
кульки	پھٹکی
дів	چھلانگ
дів	بٹوے
дів	ڈبکی
дів	چھلانگ
дів	بٹوے
дів	غوطہ
дів	ڈبکی
невизначений	مبہم
невизначений	لامحدود.
яскрава	روشن
яскрава	ہوشیار
яскрава	فطین
яскрава	طباع
яскрава	ذہین
яскрава	چونچال
яскрава	منور
яскрава	طرز
яскрава	چیختے
яскрава	اونچا
яскрава	شوخ
яскрава	تیز
яскрава	بھڑکیلا
розумні	مُستعد
розумні	پُھرتیلا
розумні	ذہین.
розумні	ہنرمند
розумні	مُستعد
розумні	پُھرتیلا
розумні	ہوشیار
розумні	ذہین.
розумні	تیز
розумні	چالاک
розумні	ہنرمند
розумні	ذہین
розумні	ہوشیار
зменшують	گھٹنا.
зменшують	گھٹنا.
зменшують	گھٹانا
небезпечна	مخدوش.
небезпечна	خطرناک
небезпечна	مخدوش.
візуальні	عینی.
візуальні	بصری
візуальні	عینی.
візуальні	نظری
тен	دس.
тен	x)
тен	x
дисплей	نظرفریبی.
дисплей	مظاہرہ.
дисплей	تماشا.
дисплей	نمائش
дисплей	دکھاوا
конус	مخروط.
плащ	چھپانا
плащ	غلاف
плащ	خول
плащ	ڈھانپنا
плащ	برساتی
захисний	بطوردفاع
захисний	تحفظ
захисний	بچاؤ
горн	بھونپو
горн	گجر
горн	بنانا.
горн	سنکھ
горн	گھگو
горн	بھونپو
горн	گجر
горн	بنانا.
горн	سنکھ
горн	گھگو
горн	شاخ
міністру	قسیس
міністру	دیوان
міністру	وزیر
міністру	قسیس
міністру	دیوان
фантастична	طرفہ.
фантастична	نرالا
видимого	ملموس.
видимого	محکم
видимого	واضح
сніданок	ناشتہ
винен	مجرم
прат	بیوقوف
прат	سرین.
гостя	مہمان
гостя	ریڈیو
тверде	سخت
тверде	کڑا
тверде	سخت
тверде	کڑا
тверде	کٹّر
контур	منصوبے
контур	گھیرا
домовитися	لگانا
домовитися	سلوک
домовитися	برتاؤ
домовитися	پہنچانا
домовитися	چھیڑنا
домовитися	جڑنا
домовитися	سودا.
домовитися	کثرت
домовитися	بانٹنا.
домовитися	معاملہ
гарячий	مشتاقانہ.
гарячий	برانگیختہ
гарячий	ُپرجوش
гарячий	ضرب
гарячий	جذباتی.
гарячий	سرگرم
гарячий	درشتی
гарячий	گرمانا.
гарячий	سختی
солідарність	اتحاد
усмішка	روشن
усмішка	مسکرانا
усмішка	بہلانا.
усмішка	out
усмішка	تبسّم
усмішка	مسکراہٹ
усмішка	ہنسی.
усмішка	خوشنودی
податкова	مکلف
податкова	دباؤ.
податкова	ٹیکس
податкова	مکلف
податкова	دباؤ.
податкова	کر
податкова	محصول
податкова	ٹیکس
шульга	کھبّا
серйозна	اہم
серйозна	معقول.
серйозна	معتبر
серйозна	اہم
серйозна	معقول.
серйозна	معتبر
серйозна	سنجیدہ
серйозна	متین
злодій	سارق
злодій	دزد.
злодій	اچکا
злодій	سارق
злодій	دزد.
злодій	اچکا
злодій	چور
консоль	پردے
ура	خداحافظ.
сорочка	بلاؤز.
сорочка	بلاؤز.
сорочка	قمیص
здати	لگانا
здати	سلوک
здати	برتاؤ
здати	پہنچانا
здати	چھیڑنا
здати	جڑنا
здати	سودا.
здати	کثرت
здати	بانٹنا.
здати	معاملہ
текстовий	حواشی
текстовий	موضوع
текстовий	تلخیص
текстовий	متنی.
пропорційно	متناسب.
пропорційно	تقابلی
чарівник	جادوگر.
чарівник	ساحر
чарівник	ساحر.
чарівник	ساحر.
чарівник	جادوگر
шкідливі	مضر
капуста	کاہل
рідкісна	خوشگوار-
рідкісна	طُرفہ.
рідкісна	لطیف
рідкісна	غیرمعمولی
рідкісна	خوشگوار-
рідкісна	طُرفہ.
рідкісна	نایاب
рідкісна	لطیف
рідкісна	غیرمعمولی
підбір	تشنج
підбір	جوڑنا
підбір	مطابق
підбір	مناسب
підбір	درست
підбір	موزونیت
підбір	معقول
підбір	توانا
підбір	مربوط
підбір	متناسب
гніву	غضب.
гніву	قہر
гніву	غضب.
атрибут	امتیاز
атрибут	خصوصیت
атрибут	صفت
обстановка	مکان
переможний	مظفر
переможний	فاتح
переможний	منصور.
обом	دونوں
попросити	پوچھنا
одноголосно	متفقہ
звички	لت
звички	پوشاک.
звички	لت
звички	عادت
звички	پوشاک.
таблички	تختہ
таблички	قرص
таблички	لوح.
фунт	حصار.
фунт	پیسنا
муки	ایذا
муки	صعوبت.
правильність	معقولیت
покрова	درخواست.
покрова	دعا.
покрова	سفارش
покрова	شفاعت.
глядач	بینندہ.
глядач	ناظر
зграї	in
зграї	جماعت
зграї	اون
зграї	out
маску	شمامہ
маску	face-pack
маску	بہروپ
маску	آڑبننا.
маску	بھپارا
маску	بناوٹ
маску	مقنع.
маску	سوانگ
маску	دھوکا.
організатора	بستہ
лічильник	برعکس
лічильник	جواب-
лічильник	متضاد
лічильник	اُلٹا
лічильник	ضد
лічильник	مخالف
лічильник	خلاف
інструментальний	اسما
інструментальний	سازینہ
саллі	فرار
саллі	دھاوا.
саллі	یورش
машиніст	into
машиніст	through
спробуйте	آزمانا.
корми	دنبالہ.
корми	درشت
корми	پشت.
корми	پچھاڑی
гаю	شاخسار.
ковзання	انخلاع
ковзання	سرکانے
ковзання	کھسکانے
ковзання	کھسکاؤ
консервативна	باکفایت
консервативна	محتاط.
гук	پنجہ.
гук	جال.
гук	چرانا
гук	آنکڑا.
гук	درانتی
гук	پھندا
вальс	out
тиха	معلومات
тиха	خاموش
тиха	معلومات
мокра	بھیگا
мокра	شراب
мокра	(پینٹ
мокра	تری
мокра	متوڑا
мокра	برسات
мокра	مریل
мокра	فضول.
мокра	(ملک
мокра	بھگونا
мокра	رطوبت.
мокра	مشروب.
мокра	گیلا
мокра	نمی
крохмаль	نشاستہ
сумно	حقیر
сумно	المناک
сумно	شرمناک
сумно	مدّھم
сумно	رنجیدہ
сумно	حقیر
сумно	المناک
сумно	شرمناک
сумно	مدّھم
звір	حیوان
періодичність	دورانیت
подразнення	اشتعال
дужки	گروہ
дужки	حلقہ
дужки	طبقہ
дужки	وقفہ
дужки	قوسین
гаряче	مشتاقانہ.
гаряче	برانگیختہ
гаряче	ُپرجوش
гаряче	ضرب
гаряче	جذباتی.
гаряче	سرگرم
гаряче	درشتی
гаряче	گرمانا.
гаряче	سختی
мантії	غلاف
мантії	چادر
мантії	ملوک
мантії	۱۳:۲)
точним	مماثل
точним	ویساہی.
пропустити	of
фіолетовий	ارغوانی
долучитися	باندھنا
долучитися	ساجھا
диктатура	آمریت
інтенсивний	پُرزور
інтенсивний	قوی
інтенсивний	(جذبہ
інтенсивний	حسّاس
інтенсивний	پُرزور
інтенсивний	قوی
інтенсивний	شدید
інтенсивний	(جذبہ
інтенсивний	حسّاس
погашення	پختگی
погашення	بلوغ
погашення	پختگی
погашення	بلوغ
погашення	رسیدگی
домініканський	ڈومینیکی.
рахувати	گننا
загадка	رازداری
загадка	خفیہ
загадка	پوشیدہ
загадка	نامعلوم
загадка	رمزیت
загадка	رازداری
загадка	خفیہ
загадка	پوشیدہ
загадка	راز
загадка	نامعلوم
загадка	رمزیت
загадка	بھید
загадка	معمّا
загадка	بجھارت.
загадка	چیستان
загадка	واقعہ
загадка	چکرانے
прозорі	منشا
прозорі	شیشئی
прозорі	بہانہ
прозорі	کھرا
прозорі	غرض
прозорі	نمایاں
прозорі	منشا
прозорі	شفّاف
прозорі	شیشئی
прозорі	بہانہ
прозорі	کھرا
прозорі	غرض
прозорі	نمایاں
етно	کفّار.
місток	land-bridge
гнучкість	لچکداری
непомітно	کھسکنا
непомітно	چکنا
непомітно	سٹکنا.
непомітно	کھسکنے
непомітно	نکلنے
непомітно	پھسلنا
непомітно	نادیدہ.
вагітна	بھرپور.
вагітна	پُرتخیّل
вагітна	پُرمغز
радикальна	بڑھیا
радикальна	اساس
радикальна	اساسی-
радикальна	جڑ
радикальна	عمیق
копіювати	مثل
копіювати	مثنّیٰ
копіювати	نسخہ
копіювати	نقّالی
копіювати	چربہ
копіювати	نقل
копіювати	مثل
копіювати	مثنّیٰ
копіювати	نسخہ
копіювати	نقّالی
мотузки	down
мотузки	جکڑنا.
мотузки	لہاس
мотузки	(بعدہ
мотузки	(عموماًبعدہ
мотузки	سوت
мотузки	down
мотузки	جکڑنا.
мотузки	لہاس
мотузки	(بعدہ
мотузки	(عموماًبعدہ
мотузки	ریسمان
мотузки	سوت
скарбниця	ریاست
регістр	حادثہ
регістр	واقعہ
регістр	واردات.
регістр	کوائف.
регістр	معاملہ
регістр	اموات
регістр	فرد
регістр	رفتار
регістр	فہرست
регістр	انطباق.
регістр	سجل
регістр	اموات
регістр	فرد
регістр	رفتار
регістр	دفتر
регістр	فہرست
регістр	انطباق.
регістр	سجل
одкровення	الہام
установчі	رکن
установчі	جزو
трансфер	ٹکٹ
трансфер	املاک
трансфер	کلب
евакуація	اخراج
евакуація	انخلاء
духи	افسردہ
духи	شدید
духи	نہایت
духи	رونے
духи	بغایت
вухо	سماعت
вухо	اذن
вухо	توجہ.
плавати	تیرنا
трафік	مراسم
трафік	تعلق
трафік	مقدار
трафік	ضخامت.
мелодію	آہنگ
мелодію	سُر
чек	چیک
голий	تبصرے
голий	کھلا
голий	مبرّا.
голий	سادہ
голий	پتّیوں
голий	(چراغ
голий	آشکارا
голий	بالوں
голий	کھلا.
голий	عریاں.
голий	تبصرے
голий	کھلا
голий	مبرّا.
голий	سادہ
голий	پتّیوں
голий	ننگا
голий	عاری
голий	برہنہ
голий	(چراغ
голий	آشکارا
голий	بالوں
голий	کھلا.
голий	عریاں.
голий	گنجا
небесні	ربّانی.
небесні	اعلیٰ.
небесні	ربّانی
небесні	ارفع
небесні	سماوی
небесні	اعلیٰ.
небесні	ربّانی
небесні	ارفع
відчути	احساس
відчути	سوچنا
материнська	مادرانہ.
перлина	مروارید
телевізор	television
телевізор	واصل.
отрути	بھٹکانا.
отрути	بہکانا
отрути	ہوا
отрути	بھٹکانا.
отрути	سم
отрути	زہر
отрути	بہکانا
отрути	ہوا
твоя	تمھارا
твоя	معروف.
твоя	تمھارا
шеллі	نازک
бідний	معمولی
бідний	کچا
бідний	گھٹیا
бідний	مفلس
бідний	نادار
бідний	معمولی
бідний	کچا
бідний	گھٹیا
бідний	مفلس
бідний	غریب
втілити	نشان
втілити	مثال
лелека	سارس
лелека	بگلا
вічна	غیرمبدّل
вічна	مسلسل
вічна	لازمانی.
вічна	دائمی
рівновага	ٹھہراؤ
кран	کرین
кран	جرّثقیل.
кран	کھٹاکا
кран	تھپکنا
кран	ف
кран	بھرنا.
кран	دستک
кран	کھٹاکا
кран	تھپکنا
кран	ف
кран	بھرنا.
кран	نل
кран	دستک
трансформація	تحوّل
трансформація	تقلیب.
пляшка	ہمت
пляшка	بوتل
пляшка	ہمت
молота	پھرکی
молота	پھینکنے
молота	سایہ
молота	بحساب
молота	در
молота	منعقدکرنا.
молота	جھاڑنا.
молота	پھرکی
молота	پھینکنے
молота	سایہ
молота	بحساب
молота	در
молота	منعقدکرنا.
молота	جھاڑنا.
молота	پھینکنا
небес	آخرت.
небес	آسمان
небес	آخرت.
примірник	قضیہ
примірник	مقدمہ.
примірник	مثال
примірник	نظیر.
голден	اعلیٰ
голден	زریں
голден	اہم
дарування	پیمان.
гриф	گدھ
гриф	کرگس.
доза	سزا
треш	around
треш	لکڑی
треш	چھٹپٹانا.
тире	ہلّہ
тире	تیزی
тире	طراری
тире	بل.
тире	زور
тире	اکڑفوں
тире	جھپاکا
щільна	گنجان
щільна	گاڑھا
щільна	گنجان
щільна	گاڑھا
щільна	کثیف
щільна	گھنا
покликання	روزگار.
покликання	مصروفیت
покликання	روزگار.
покликання	پیشہ
покликання	مصروفیت
віддані	پکاّ
капелюх	دلانا.
крейда	چاک
крейда	کھریا
генерація	تناسل.
генерація	پیڑھی
генерація	نسل
генерація	تناسل.
генерація	پیڑھی
гібрид	کبرا
гібрид	خاکستری
покази	کوڑا.
турка	تندخو
турка	وحشی
ногою	پا
небесний	ربّانی.
дейл	وادی
виліт	آزمائش
виліт	روانگی
виліт	آزمائش
наречений	نوشہ
наречений	دولھا
наречений	نوشہ
наречений	عریس
наречений	دولھا
очистити	جلّاب.
очистити	تزکیے
очистити	مٹانا.
очистити	کاملاً
очистити	قائل
очистити	راستہ)
очистити	واضح
очистити	(رکاوٹ
очистити	علاحدہ
очистити	نِلوہ
очистити	(الف)خالی
очистити	مطمئن
очистити	کاملاً
очистити	صاف
очистити	قائل
очистити	راستہ)
очистити	واضح
очистити	(رکاوٹ
очистити	علاحدہ
очистити	نِلوہ
очистити	(الف)خالی
очистити	مطمئن
очистити	صفائی
очистити	قطعاً
очистити	سْتھرا
очистити	کاملاً
очистити	فحاشی
очистити	پُھرتیلا
очистити	ستھرائی
очистити	ہموار
очистити	واضح
очистити	تیز
очистити	مکمل
очистити	تازہ
очистити	بنانا
очистити	سڈول
кальцій	مرمر
натиснути	(بعدہٗupon
натиснути	دبانے
натиснути	ڈھالنے
натиснути	نچوڑنے
натиснути	اخبار
закордоном	پُرخطا.
вазописець	نقاش
аркуша	سلیٹ
аркуша	سلیٹی
переконливо	متفنّی.
витратами	مہنگا
сяйво	روشن
сяйво	تمتماہٹ.
сяйво	جذبہ
сяйво	گرمانے
сяйво	جوش.
сяйво	روشن
сяйво	تمتماہٹ.
сяйво	تمتمانا
сяйво	جذبہ
сяйво	گرمانے
сяйво	جوش.
хвилювання	جوش
хвилювання	تہیج
хвилювання	اشتعال
хвилювання	برانگیختگی
хвилювання	شورش
хвилювання	آشوب.
хвилювання	اُبال
хвилювання	فساد
хвилювання	آندھی
хвилювання	طوفان.
хвилювання	ہیجان.
формальний	منظم
формальний	مستقل
формальний	ثقہ
формальний	منضبط.
формальний	مربوط
формальний	مثالی-
формальний	ہموار-
формальний	مکمل
видимість	رویت
видимість	دکھاؤ.
гітару	قطار.
гітару	گٹار
етичних	پسندیدہ
етичних	اعلیٰ.
агресія	دھونس
агресія	زبردستی-
агресія	جارحیت
агресія	جنگجوئی
шовку	حریر.
шовку	حریری
шовку	حریر.
шовку	ریشم
шовку	حریری
насилля	زیادتی
насилля	تشدّد.
інтернаціонал	واقع
інтернаціонал	مستعمل
мотивації	ترغیب
поправка	ترمیم
спіраль	چکّردار
спіраль	مرغولہ
вторинної	ثانوی
опублікувати	منصب.
опублікувати	بلّی
опублікувати	عہدہ
стандартне	وضع
стандартне	رائج
стандартне	عام
стандартне	مصدقہ.
стандартне	خوبی
стандартне	معیار
ісламський	اسلامی
ванна	دھلانا
навчати	مُعلّمی.
заявка	للکارنا.
заявка	کوشش
компілятор	مولف.
компілятор	مرتب
компілятор	مدوّن
глузд	معقول
глузд	سمجھنا.
глузд	پالینا.
глузд	(بعدہ
глузд	فہم
наклеп	اتہام.
наклеп	الزام
наклеп	تحریر
пережити	زندہ
закріпити	لنبوتری
закріпити	کانٹی
закріпити	بروچ.
закріпити	up
комерційну	کاروبار
комерційну	مباشرت.
комерційну	مجامعت
закупівлі	فراہمی
закупівлі	حصول
вмістити	تشنج
вмістити	جوڑنا
вмістити	مطابق
вмістити	مناسب
вмістити	درست
вмістити	موزونیت
вмістити	معقول
вмістити	توانا
вмістити	مربوط
вмістити	متناسب
меншості	اقلیت.
меншості	مذہب
світанок	آغاز.
попіл	پیلی.
вітчизняні	گھریلو
весняні	لچک
весняні	زقند.
весняні	لوچ.
весняні	لچک
весняні	چھلانگ
весняні	زقند.
весняні	لوچ.
лабіринт	جنجال
лабіринт	چکّر
лабіринт	پھیر
поширити	حصّہ
поширити	خیال
поширити	(بعدہ
поширити	شریک
хижак	ہلّاک
намагатися	کارروائی
намагатися	کارروائی
намагатися	سعی
намагатися	کوشش
рукав	آستین.
дисидент	منحرف
дисидент	اقتدار
дисидент	ناموافق
нейтральний	آزاد.
нейтральний	نامرد
нейтральний	ہلکا
нейтральний	مبہم
нейтральний	بھورا
нейтральний	پسماندہ
шедевр	شاہکار.
репутація	امتیاز
репутація	(بعدہ
репутація	for
репутація	اعتبار
бойкот	مقاطعہ
дтп	وقوعہ
дтп	لاگو.
дтп	پڑنا.
джуді	زن.
розрізнити	عدو.
розрізнити	حریف
заручини	منگنی.
заручини	ملاقات
секретний	خفیہ
секретний	خفیہ
секретний	پوشیدہ
секретний	راز
гігант	دیو
гігант	جن.
комарів	مچھر
паралельний	تقابل.
паралельний	موازنہ
авторитетне	معتبر
авторитетне	سرکاری
авторитетне	مستند
забуття	نسیان
забуття	درگزر.
забуття	معافی
доросла	فحش
доросла	جوان
доросла	فحش
доросла	بالغ
надзвичайна	ممتاز
хеш	تُومنا.
більшовик	کمیونسٹ.
балтійське	لِتھوانی
атмосферний	سماوی
атмосферний	فضائی
дивне	جادوئی
дивне	نصیب.
дивне	طلسماتی
дивне	نرالا
дивне	جادوئی
дивне	نصیب.
дивне	طلسماتی
дивне	نرالا
дивне	عجیب
холод	جوش
холод	بالکل
холод	جذبہ
холод	مہر
холод	زکام
холод	مدّھم
холод	یکلخت
холод	شیتل
холод	جوش
холод	سرد
холод	بالکل
холод	جذبہ
холод	بارِد
холод	نزلہ
холод	مہر
холод	زکام
холод	مدّھم
холод	یکلخت
холод	شیتل
спогад	حافظہ
коза	احمق.
тар	بیسوا.
тар	رنڈی
помічники	مددگار.
помічники	ماتحت.
кома	اغما.
покупця	گاہک.
покупця	مشتری
покупця	گاہک.
покупця	خریدار
покупця	مشتری
прекрасні	دلکش
прекрасні	عمدہ
прекрасні	نفیس
прекрасні	اعلیٰ
прекрасні	خوبصورت
горизонтальна	افقی
ложа	بسانا
ложа	رکھنا
ложа	ٹھہرنا
ложа	سمانا
ложа	اعتراض
бум	گہری
сири	بیزار
жахливий	شرمندہ.
жахливий	نہایت.
жахливий	بہت
гала	جشن
гала	کھیلوں
гала	تہوار.
мінеральна	فِلز
мінеральна	فِلز
мінеральна	معدنی
подумав	تفکّر
подумав	منصوبہ.
подумав	تدبیر
подумав	منشا.
подумав	(بعدہ
подумав	مقصد
